Date ,Report Type ,Street ,Sub-Division
5/27/2005,POSSESS FIREARMS BY CONVICTED FELONS ,BAPTIST ROAD ,LACKEY
9/21/2005,CITIZEN REQUESTED ASSISTANCE ,BAPTIST ROAD ,LACKEY
9/23/2005,ARSON ,BAPTIST ROAD ,LACKEY
10/7/2005,"ASSAULT, SIMPLE ",BAPTIST ROAD ,LACKEY
11/14/2005,ANNOYING PHONE CALLS ,BAPTIST ROAD ,LACKEY
3/16/2005,DRUNK IN PUBLIC ,BAPTIST ROAD & YORKTOWN ROAD ,LACKEY
1/3/2005,"BURGLARY, RESIDENTIAL ",BARHAM BOULEVARD ,RIVERMEADE
1/3/2005,"BURGLARY, RESIDENTIAL ",BARHAM BOULEVARD ,RIVERMEADE
1/9/2005,"ASSAULT, SIMPLE ",BARHAM BOULEVARD ,RIVERMEADE
1/16/2005,"DAMAGE PROPERTY, PRIVATE ",BARHAM BOULEVARD ,RIVERMEADE
1/16/2005,RUNAWAY JUVENILE ,BARHAM BOULEVARD ,RIVERMEADE
1/24/2005,CITIZEN REQUESTED ASSISTANCE ,BARHAM BOULEVARD ,RIVERMEADE
2/21/2005,PEEPING INTO OCCUPIED DWELLING ,BARHAM BOULEVARD ,RIVERMEADE
3/11/2005,OBSCENE/THREATENING PHONE CALL ,BARHAM BOULEVARD ,RIVERMEADE
3/15/2005,GRAND LARCENY ,BARHAM BOULEVARD ,RIVERMEADE
3/20/2005,"ASSAULT, SIMPLE, DOMESTIC ",BARHAM BOULEVARD ,RIVERMEADE
3/20/2005,BRANDISHING FIREARM ,BARHAM BOULEVARD ,RIVERMEADE
3/20/2005,CRUELTY TO ANIMALS ,BARHAM BOULEVARD ,RIVERMEADE
3/21/2005,"ASSAULT, SIMPLE ",BARHAM BOULEVARD ,RIVERMEADE
4/13/2005,DEAD ON ARRIVAL ,BARHAM BOULEVARD ,RIVERMEADE
4/23/2005,"DAMAGE PROPERTY, PRIVATE ",BARHAM BOULEVARD ,RIVERMEADE
4/30/2005,THREATEN TO BURN ,BARHAM BOULEVARD ,RIVERMEADE
5/6/2005,ABDUCTION/KIDNAPPING ,BARHAM BOULEVARD ,RIVERMEADE
5/6/2005,RAPE ,BARHAM BOULEVARD ,RIVERMEADE
5/6/2005,RAPE ,BARHAM BOULEVARD ,RIVERMEADE
5/6/2005,RUNAWAY JUVENILE ,BARHAM BOULEVARD ,RIVERMEADE
5/10/2005,"LARCENY,FROM MOTOR VEHICLE ",BARHAM BOULEVARD ,RIVERMEADE
5/11/2005,OBSCENE/THREATENING PHONE CALL ,BARHAM BOULEVARD ,RIVERMEADE
5/20/2005,"ASSAULT, SIMPLE ",BARHAM BOULEVARD ,RIVERMEADE
5/31/2005,"DAMAGE PROPERTY, PRIVATE ",BARHAM BOULEVARD ,RIVERMEADE
6/14/2005,"ASSAULT, SIMPLE ",BARHAM BOULEVARD ,RIVERMEADE
6/21/2005,"DAMAGE PROPERTY, PRIVATE ",BARHAM BOULEVARD ,RIVERMEADE
7/5/2005,CITIZEN REQUESTED ASSISTANCE ,BARHAM BOULEVARD ,RIVERMEADE
7/9/2005,ROBBERY ,BARHAM BOULEVARD ,RIVERMEADE
7/26/2005,"DAMAGE PROPERTY, PRIVATE ",BARHAM BOULEVARD ,RIVERMEADE
9/20/2005,"ASSAULT, SIMPLE ",BARHAM BOULEVARD ,RIVERMEADE
9/29/2005,"MANUF, SALE, POSS CONTROL SUBST -SCHED III,IV,V ",BARHAM BOULEVARD ,RIVERMEADE
10/22/2005,"DAMAGE PROPERTY, PRIVATE ",BARHAM BOULEVARD ,RIVERMEADE
10/27/2005,CITIZEN REQUESTED ASSISTANCE ,BARHAM BOULEVARD ,RIVERMEADE
11/9/2005,"ASSAULT, SIMPLE ",BARHAM BOULEVARD ,RIVERMEADE
11/10/2005,"ASSAULT, AGGRAVATED ",BARHAM BOULEVARD ,RIVERMEADE
11/11/2005,DEAD ON ARRIVAL ,BARHAM BOULEVARD ,RIVERMEADE
11/17/2005,"BURGLARY, RESIDENTIAL ",BARHAM BOULEVARD ,RIVERMEADE
11/26/2005,TRESPASSING ,BARHAM BOULEVARD ,RIVERMEADE
12/3/2005,"ASSAULT, SIMPLE, DOMESTIC ",BARHAM BOULEVARD ,RIVERMEADE
3/26/2005,"LARCENY,FROM MOTOR VEHICLE ",BRIGHTWOOD TERRACE ,GRAND OAKS
1/28/2005,"DAMAGE PROPERTY, PRIVATE ",BROWNS LANE ,LACKEY
11/20/2005,CITIZEN REQUESTED ASSISTANCE ,BROWNS LANE ,LACKEY
1/26/2005,GRAND LARCENY ,CABOT DRIVE ,WILLIAMS TERRACE
4/18/2005,GRAND LARCENY ,CANNON ROAD ,BATTLE PARK
8/7/2005,"DAMAGE PROPERTY, PRIVATE ",CANNON ROAD ,BATTLE PARK
5/30/2005,"ASSAULT, SIMPLE ",CANNON ROAD & OLD YORK-HAMPTON HIGHWAY ,BATTLE PARK
5/3/2005,"BURGLARY, RESIDENTIAL ",CHURCH ROAD ,LACKEY
5/17/2005,"BURGLARY, RESIDENTIAL ",CHURCH ROAD ,LACKEY
6/11/2005,CITIZEN REQUESTED ASSISTANCE ,CHURCH ROAD ,LACKEY
11/2/2005,"LARCENY,FROM MOTOR VEHICLE ",CHURCH ROAD ,LACKEY
11/2/2005,MOTOR VEHICLE THEFT ,CHURCH ROAD ,LACKEY
11/28/2005,CITIZEN REQUESTED ASSISTANCE ,CHURCH ROAD ,LACKEY
11/29/2005,CITIZEN REQUESTED ASSISTANCE ,CHURCH ROAD ,LACKEY
12/30/2005,"ASSAULT, SIMPLE, DOMESTIC ",CHURCH ROAD ,LACKEY
1/22/2005,MISSING PERSON ,COBURN COURT ,COBURN COURT
5/18/2005,CITIZEN REQUESTED ASSISTANCE ,COBURN COURT ,COBURN COURT
8/9/2005,PETIT LARCENY ,COBURN COURT ,COBURN COURT
8/23/2005,RECOVERED VEHICLE-STOLEN OTHER JURISDICTION ,COBURN COURT ,COBURN COURT
1/14/2005,GRAND LARCENY ,COOK ROAD ,YORKTOWN
3/2/2005,CITIZEN REQUESTED ASSISTANCE ,COOK ROAD ,YORKTOWN
4/22/2005,CITIZEN REQUESTED ASSISTANCE ,COOK ROAD ,YORKTOWN
8/1/2005,GRAND LARCENY ,COOK ROAD ,YORKTOWN
8/9/2005,"SALE, POSSESSION CONTROLLED SUBSTANCE ",COOK ROAD ,YORKTOWN
9/2/2005,"BURGLARY, BUSINESS ",COOK ROAD ,YORKTOWN
9/2/2005,"DAMAGE PROPERTY, BUSINESS ",COOK ROAD ,YORKTOWN
9/19/2005,CITIZEN REQUESTED ASSISTANCE ,COOK ROAD ,YORKTOWN
9/19/2005,DISORDERLY CONDUCT ,COOK ROAD ,YORKTOWN
9/27/2005,"DAMAGE PROPERTY, BUSINESS ",COOK ROAD ,YORKTOWN
10/12/2005,CITIZEN REQUESTED ASSISTANCE ,COOK ROAD ,YORKTOWN
12/12/2005,HIT & RUN ,COOK ROAD ,YORKTOWN
12/18/2005,"DAMAGE PROPERTY, BUSINESS ",COOK ROAD ,YORKTOWN
8/14/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,COOK ROAD & BALLARD STREET ,YORKTOWN
10/20/2005,"DAMAGE PROPERTY, BUSINESS ",COOK ROAD & BALLARD STREET ,YORKTOWN
11/5/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,COOK ROAD & BALLARD STREET ,YORKTOWN
11/5/2005,DRIVING W/SUSPENDED OR REVOKED LICENSE ,COOK ROAD & BALLARD STREET ,YORKTOWN
4/23/2005,POSSESSION OF MARIJUANA ,COOK ROAD & FALCON ROAD ,YORKTOWN
4/1/2005,CITIZEN REQUESTED ASSISTANCE ,COOK ROAD & GOOSLEY ROAD ,YORKTOWN
5/1/2005,"DAMAGE PROPERTY, PRIVATE ",COOK ROAD & OLD YORK HAMPTON HWY ,YORKTOWN
6/27/2005,UNLAWFUL POSSESS ALCOHOLIC BEVERAGE ,COOK ROAD & SURRENDER ROAD ,YORKTOWN
7/24/2005,DRIVING AFTER FORFEITURE OF LICENSE ,COOK ROAD & SURRENDER ROAD ,YORKTOWN
7/24/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,COOK ROAD & SURRENDER ROAD ,YORKTOWN
7/24/2005,UNLAWFUL POSSESS ALCOHOLIC BEVERAGE ,COOK ROAD & SURRENDER ROAD ,YORKTOWN
2/12/2005,UNLAWFUL POSSESS ALCOHOLIC BEVERAGE ,COOK ROAD AND BALLARD STREET ,YORKTOWN
4/14/2005,CITIZEN REQUESTED ASSISTANCE ,COOL COURT ,YORKTOWN SQUARE
5/20/2005,CITIZEN REQUESTED ASSISTANCE ,COOL COURT ,YORKTOWN SQUARE
7/13/2005,ROBBERY ,COOL COURT ,YORKTOWN SQUARE
7/13/2005,USE FIREARM IN COMMISSION OF FELONY ,COOL COURT ,YORKTOWN SQUARE
9/26/2005,CITIZEN REQUESTED ASSISTANCE ,COOL COURT ,YORKTOWN SQUARE
10/25/2005,CITIZEN REQUESTED ASSISTANCE ,COOL COURT ,YORKTOWN SQUARE
11/6/2005,CITIZEN REQUESTED ASSISTANCE ,COOL COURT ,YORKTOWN SQUARE
12/10/2005,"ASSAULT, SIMPLE ",COOL COURT ,YORKTOWN SQUARE
11/1/2005,"DAMAGE PROPERTY, BUSINESS ",COOL COURT & WHITT COURT ,YORKTOWN SQUARE
11/1/2005,MAIMING ,COOL COURT & WHITT COURT ,YORKTOWN SQUARE
8/27/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,CRAWFORD ROAD ,LACKEY
8/17/2005,CITIZEN REQUESTED ASSISTANCE ,CRAWFORD ROAD & GOOSLEY ROAD ,LACKEY
12/28/2005,CARRYING CONCEALED WEAPON -1ST OFFENSE ,CRAWFORD ROAD & NATIONAL PARK FIRE TRAIL ,LACKEY
2/11/2005,MOTOR VEHICLE THEFT ,CRAWFORD ROAD & PARK SERVICE OVERPASS ,LACKEY
4/11/2005,CARRYING CONCEALED WEAPON -1ST OFFENSE ,CRAWFORD ROAD & TOWER LANE ,LACKEY
4/11/2005,POSSESSION OF MARIJUANA ,CRAWFORD ROAD & TOWER LANE ,LACKEY
6/25/2005,CITIZEN REQUESTED ASSISTANCE ,CRAWFORD ROAD & TOWER LANE ,LACKEY
6/27/2005,CITIZEN REQUESTED ASSISTANCE ,DOGWOOD ROAD ,LACKEY
8/16/2005,"MANUF, SALE, POSS CONTROL SUBST -SCHEDULE I,II ",GEORGE WASH MEM HWY & EDGEHILL LANE ,
1/6/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEORGE WASH MEM HWY & GOOSLEY ROAD ,
1/5/2005,RECKLESS - GENERAL ,GEORGE WASH MEM HWY & PARK SERVICE OVERPASS,
1/5/2005,USING ABUSIVE LANGUAGE ,GEORGE WASH MEM HWY & PARK SERVICE OVERPASS,
1/5/2005,"DRIVING UNDER THE INFLUENCE,DRUGS ",GEORGE WASH MEM HWY & SIEGE LANE ,
1/5/2005,POSSESSION OF MARIJUANA ,GEORGE WASH MEM HWY & SIEGE LANE ,
5/21/2005,CITIZEN REQUESTED ASSISTANCE ,GEORGE WASHINGTON MEMORIAL HIGHWAY ,
5/22/2005,"ASSAULT, SIMPLE ",GEORGE WASHINGTON MEMORIAL HIGHWAY ,
6/19/2005,CITIZEN REQUESTED ASSISTANCE ,GEORGE WASHINGTON MEMORIAL HIGHWAY ,
6/20/2005,CITIZEN REQUESTED ASSISTANCE ,GEORGE WASHINGTON MEMORIAL HIGHWAY ,YORKTOWN
8/8/2005,ATTEMPTED SUICIDE ,GEORGE WASHINGTON MEMORIAL HIGHWAY ,YORKTOWN
5/25/2005,GAS THEFT ,GEORGE WASHINGTON MEMORIAL HIGHWAY ,
5/26/2005,SEXUAL BATTERY ,GEORGE WASHINGTON MEMORIAL HIGHWAY ,
10/16/2005,CITIZEN REQUESTED ASSISTANCE ,GEROGE WASHINGTON MEMORIAL HIGHWAY ,YORKTOWN
11/19/2005,"DAMAGE PROPERTY, PRIVATE ",GEROGE WASHINGTON MEMORIAL HIGHWAY ,YORKTOWN
6/10/2005,CITIZEN REQUESTED ASSISTANCE ,GOODWIN NECK ROAD ,SEAFORD
1/5/2005,MAIMING ,GOOSLEY ROAD ,YORKTOWN
1/30/2005,CITIZEN REQUESTED ASSISTANCE ,GOOSLEY ROAD ,YORKTOWN
3/18/2005,CITIZEN REQUESTED ASSISTANCE ,GOOSLEY ROAD ,YORKTOWN
7/24/2005,"BURGLARY, RESIDENTIAL ",GOOSLEY ROAD ,YORKTOWN
7/24/2005,"DAMAGE PROPERTY, PRIVATE ",GOOSLEY ROAD ,YORKTOWN
8/18/2005,ABUSE AND NEGLECT OF CHILDREN ,GOOSLEY ROAD ,YORKTOWN
6/25/2005,DRUNK IN PUBLIC ,GOOSLEY ROAD & GEORGE WASH MEM HWY ,YORKTOWN
2/3/2005,"PRODUCE, DISTRIBUTE, CHILD PORNOGRAPHY ",HAMILTON ROAD ,COAST GUARD STATION
10/11/2005,LOST PROPERTY ,HAMILTON ROAD ,COAST GUARD STATION
1/22/2005,CITIZEN REQUESTED ASSISTANCE ,LAFAYETTE ROAD ,TEMPLE FARMS
2/21/2005,CITIZEN REQUESTED ASSISTANCE ,LAFAYETTE ROAD ,TEMPLE FARMS
5/3/2005,CITIZEN REQUESTED ASSISTANCE ,LAFAYETTE ROAD ,TEMPLE FARMS
10/17/2005,CITIZEN REQUESTED ASSISTANCE ,LAFAYETTE ROAD ,TEMPLE FARMS
2/16/2005,"ASSAULT, AGGRAVATED ",LEIGH ROAD ,KINGS COURT
2/18/2005,CITIZEN REQUESTED ASSISTANCE ,LEIGH ROAD ,KINGS COURT
3/13/2005,POSSESSION OF MARIJUANA ,LEIGH ROAD ,KINGS COURT
5/9/2005,"SALE, POSSESSION CONTROLLED SUBSTANCE ",LEIGH ROAD ,KINGS COURT
5/18/2005,"SALE, POSSESSION CONTROLLED SUBSTANCE ",LEIGH ROAD ,KINGS COURT
6/13/2005,CITIZEN REQUESTED ASSISTANCE ,LEIGH ROAD ,KINGS COURT
6/14/2005,"ASSAULT, SIMPLE, DOMESTIC ",LEIGH ROAD ,KINGS COURT
6/14/2005,"DAMAGE PROPERTY, PRIVATE ",LEIGH ROAD ,KINGS COURT
9/14/2005,GRAND LARCENY ,LEIGH ROAD ,KINGS COURT
10/6/2005,ARSON ,LEIGH ROAD ,KINGS COURT
10/6/2005,DRUNK IN PUBLIC ,LEIGH ROAD ,KINGS COURT
10/12/2005,SEXUAL BATTERY ,LEIGH ROAD ,KINGS COURT
12/29/2005,"ASSAULT, SIMPLE, DOMESTIC ",LEIGH ROAD ,KINGS COURT
1/4/2005,DRIVING W/SUSPENDED OR REVOKED LICENSE ,LEIGH ROAD & GOOSLEY ROAD ,KINGS COURT
1/4/2005,POSSESSION OF MARIJUANA ,LEIGH ROAD & GOOSLEY ROAD ,KINGS COURT
6/26/2005,CITIZEN REQUESTED ASSISTANCE ,LEIGH ROAD & WALNUT DRIVE ,KINGS COURT
1/15/2005,"ASSAULT, SIMPLE, DOMESTIC ",MAGNOLIA LANE ,HICKORY HILLS
4/20/2005,"ASSAULT, SIMPLE, DOMESTIC ",MAGNOLIA LANE ,HICKORY HILLS
4/20/2005,RESISTING ARREST W/O THREAT OF FORCE ,MAGNOLIA LANE ,HICKORY HILLS
10/30/2005,"ASSAULT, SIMPLE ",MAGNOLIA LANE ,HICKORY HILLS
10/30/2005,"DAMAGE PROPERTY, PRIVATE ",MAGNOLIA LANE ,HICKORY HILLS
5/23/2005,CREDIT CARD THEFT ,MAIN STREET ,YORKTOWN
5/23/2005,"DAMAGE PROPERTY, PRIVATE ",MAIN STREET ,YORKTOWN
5/23/2005,CITIZEN REQUESTED ASSISTANCE ,MAIN STREET & ZWEYBRUCKEN ROAD ,
7/2/2005,"ASSAULT, SIMPLE ",MAPLE ROAD ,LACKEY
10/9/2005,RAPE ,MAPLE ROAD,LACKEY
3/24/2005,GRAND LARCENY ,MAURICE COURT ,ENDVIEW WOODS
1/21/2005,RUNAWAY JUVENILE ,MOORE HOUSE ROAD ,TEMPLE FARM
1/30/2005,CITIZEN REQUESTED ASSISTANCE ,MOORE HOUSE ROAD ,TEMPLE FARM
4/27/2005,"ASSAULT, SIMPLE, DOMESTIC ",MOORE HOUSE ROAD ,TEMPLE FARM
5/22/2005,CITIZEN REQUESTED ASSISTANCE ,MOORE HOUSE ROAD ,TEMPLE FARM
5/22/2005,"DAMAGE PROPERTY, PRIVATE ",MOORE HOUSE ROAD ,TEMPLE FARM
8/5/2005,"ASSAULT, SIMPLE ",MUSE LANE ,LACKEY
9/25/2005,"ASSAULT, SIMPLE, DOMESTIC ",MUSE LANE ,LACKEY
5/29/2005,SEXUAL BATTERY ,NANCY COURT ,YORKTOWN TERRACE
7/3/2005,CREDIT CARD THEFT ,"NORTH HAMILTON ROAD, COAST GUARD STATION ",
12/1/2005,OBSCENE/THREATENING PHONE CALL ,"NORTH HAMILTON ROAD, COAST GUARD STATION ",
1/4/2005,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,LACKEY
1/6/2005,"SALE, DISTRIBUTE MARIJUANA ",OLD WILLIAMSBURG ROAD ,LACKEY
1/9/2005,OBSCENE/THREATENING PHONE CALL ,OLD WILLIAMSBURG ROAD ,LACKEY
1/11/2005,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,LACKEY
1/16/2005,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,LACKEY
2/22/2005,"DAMAGE PROPERTY, PRIVATE ",OLD WILLIAMSBURG ROAD ,LACKEY
2/22/2005,RUNAWAY JUVENILE ,OLD WILLIAMSBURG ROAD ,LACKEY
2/25/2005,MOTOR VEHICLE THEFT ,OLD WILLIAMSBURG ROAD ,LACKEY
2/27/2005,ATTEMPTED SUICIDE ,OLD WILLIAMSBURG ROAD ,LACKEY
3/2/2005,"SALE, DISTRIBUTE MARIJUANA >1/2 OZ <=5 LB ",OLD WILLIAMSBURG ROAD ,
3/4/2005,"DAMAGE PROPERTY, PRIVATE ",OLD WILLIAMSBURG ROAD ,LACKEY
3/9/2005,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,LACKEY
3/18/2005,GRAND LARCENY ,OLD WILLIAMSBURG ROAD ,LACKEY
3/29/2005,"DAMAGE PROPERTY, PRIVATE ",OLD WILLIAMSBURG ROAD ,LACKEY
3/29/2005,LOST PROPERTY ,OLD WILLIAMSBURG ROAD ,LACKEY
4/15/2005,LOST PROPERTY ,OLD WILLIAMSBURG ROAD ,LACKEY
4/16/2005,"DAMAGE PROPERTY, BUSINESS ",OLD WILLIAMSBURG ROAD ,LACKEY
4/22/2005,GRAND LARCENY ,OLD WILLIAMSBURG ROAD ,LACKEY
5/14/2005,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,LACKEY
5/30/2005,"BURGLARY, RESIDENTIAL ",OLD WILLIAMSBURG ROAD ,LACKEY
5/30/2005,"DAMAGE PROPERTY, PRIVATE ",OLD WILLIAMSBURG ROAD ,LACKEY
6/2/2005,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,
6/3/2005,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,LACKEY
6/10/2005,PETIT LARCENY ,OLD WILLIAMSBURG ROAD ,
6/10/2005,TRESPASSING ,OLD WILLIAMSBURG ROAD ,
6/16/2005,MOTOR VEHICLE THEFT ,OLD WILLIAMSBURG ROAD ,LACKEY
6/19/2005,DRUNK IN PUBLIC ,OLD WILLIAMSBURG ROAD ,LACKEY
6/21/2005,"BURGLARY, RESIDENTIAL ",OLD WILLIAMSBURG ROAD ,LACKEY
7/4/2005,"COUNTERFEITING/FORGERY, ALL OTHERS ",OLD WILLIAMSBURG ROAD ,LACKEY
7/8/2005,ABDUCTION & KIDNAPPING ,OLD WILLIAMSBURG ROAD ,
7/8/2005,ROBBERY ,OLD WILLIAMSBURG ROAD ,
7/8/2005,DISPLAY FIREARM IN COMMISSION OF FELONY ,OLD WILLIAMSBURG ROAD ,
7/10/2005,UNAUTHORIZED USE OF VEHICLE ,OLD WILLIAMSBURG ROAD ,LACKEY
7/14/2005,PETIT LARCENY ,OLD WILLIAMSBURG ROAD ,LACKEY
7/17/2005,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,LACKEY
7/19/2005,"ASSAULT, SIMPLE, DOMESTIC ",OLD WILLIAMSBURG ROAD ,LACKEY
7/27/2005,"BURGLARY, RESIDENTIAL ",OLD WILLIAMSBURG ROAD ,LACKEY
8/1/2005,ELUDING POLICE ,OLD WILLIAMSBURG ROAD ,LACKEY
8/9/2005,"DAMAGE PROPERTY, PRIVATE ",OLD WILLIAMSBURG ROAD ,LACKEY
8/9/2005,TRESPASSING ,OLD WILLIAMSBURG ROAD ,LACKEY
8/10/2005,"COUNTERFEITING/FORGERY, ALL OTHERS ",OLD WILLIAMSBURG ROAD ,LACKEY
8/22/2005,ABUSE AND NEGLECT OF CHILDREN ,OLD WILLIAMSBURG ROAD ,LACKEY
8/22/2005,"DAMAGE PROPERTY, PRIVATE ",OLD WILLIAMSBURG ROAD ,LACKEY
8/26/2005,DRUNK IN PUBLIC ,OLD WILLIAMSBURG ROAD ,LACKEY
9/5/2005,"ASSAULT, SIMPLE, DOMESTIC ",OLD WILLIAMSBURG ROAD ,LACKEY
9/15/2005,"ASSAULT, SIMPLE ",OLD WILLIAMSBURG ROAD ,LACKEY
9/19/2005,"DAMAGE PROPERTY, PRIVATE ",OLD WILLIAMSBURG ROAD ,LACKEY
9/20/2005,OBSCENE/THREATENING PHONE CALL ,OLD WILLIAMSBURG ROAD ,LACKEY
9/29/2005,"DAMAGE PROPERTY, PRIVATE ",OLD WILLIAMSBURG ROAD ,LACKEY
10/3/2005,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,LACKEY
10/7/2005,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,LACKEY
10/24/2005,CONSPIRACY TO COMMIT FELONY ,OLD WILLIAMSBURG ROAD ,LACKEY
10/24/2005,CONTRIBUTING TO THE DELINQUENCY OF A MINOR ,OLD WILLIAMSBURG ROAD ,LACKEY
10/24/2005,PROSTITUTION OR SOLICITATION OF PROSTITUTE ,OLD WILLIAMSBURG ROAD ,LACKEY
10/24/2005,SOLICITATION TO COMMIT FELONY ,OLD WILLIAMSBURG ROAD ,LACKEY
10/27/2005,DRUNK IN PUBLIC ,OLD WILLIAMSBURG ROAD ,LACKEY
10/28/2005,ANNOYING PHONE CALLS ,OLD WILLIAMSBURG ROAD ,LACKEY
10/30/2005,"ASSAULT, SIMPLE, DOMESTIC ",OLD WILLIAMSBURG ROAD ,LACKEY
10/30/2005,"DAMAGE PROPERTY, PRIVATE ",OLD WILLIAMSBURG ROAD ,LACKEY
11/4/2005,"ASSAULT, SIMPLE, DOMESTIC ",OLD WILLIAMSBURG ROAD ,LACKEY
11/8/2005,"DAMAGE PROPERTY, PRIVATE ",OLD WILLIAMSBURG ROAD ,LACKEY
11/15/2005,ASSAULT OR BATTERY BY MOB ,OLD WILLIAMSBURG ROAD ,LACKEY
11/19/2005,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,LACKEY
11/20/2005,"ASSAULT, SIMPLE ",OLD WILLIAMSBURG ROAD ,LACKEY
11/23/2005,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,LACKEY
11/26/2005,"ASSAULT, SIMPLE ",OLD WILLIAMSBURG ROAD ,LACKEY
11/26/2005,"DAMAGE PROPERTY, PRIVATE ",OLD WILLIAMSBURG ROAD ,LACKEY
12/6/2005,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,LACKEY
12/19/2005,"ASSAULT, SIMPLE ",OLD WILLIAMSBURG ROAD ,LACKEY
12/28/2005,FUGITIVE FROM JUSTICE ,OLD WILLIAMSBURG ROAD ,LACKEY
12/29/2005,DRUNK IN PUBLIC ,OLD WILLIAMSBURG ROAD ,LACKEY
2/17/2005,"LARCENY,FROM MOTOR VEHICLE ",OLD YORK-HAMPTON HIGHWAY,YORKTOWN
3/2/2005,CITIZEN REQUESTED ASSISTANCE ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
3/12/2005,GRAND LARCENY ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
4/4/2005,MOTOR VEHICLE THEFT ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
4/5/2005,PETIT LARCENY ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
5/6/2005,CITIZEN REQUESTED ASSISTANCE ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
5/6/2005,POSSESSION OF MARIJUANA ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
5/15/2005,CITIZEN REQUESTED ASSISTANCE ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
5/24/2005,"DAMAGE PROPERTY, PRIVATE ",OLD YORK-HAMPTON HIGHWAY,YORKTOWN
5/24/2005,GRAND LARCENY ,OLD YORK-HAMPTON HIGHWAY,YORKTOWN
