TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Gate City PD ,2008,5527.88,111,0,1,1,0,1,2,9,0,0,8,30,2,1,3,0,0,20,49,0,0,0,0,0,8
Glade Spring PD0 ,1456,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glasgow PD ,1136,1232.39,14,0,0,0,0,0,1,2,0,0,1,7,0,0,1,0,0,2,0,0,0,0,0,0,0
Glen Lyn PD ,113,16814.15,19,0,0,0,0,0,1,3,0,0,2,9,1,1,0,1,0,4,1,0,0,0,0,0,0
Gordonsville PD ,1529,2943.1,45,0,0,0,0,1,0,9,0,0,0,18,1,2,3,1,1,8,5,0,0,0,0,0,1
Gretna PD ,1250,2000,25,0,2,0,0,0,1,3,1,0,5,4,1,1,1,0,0,2,6,0,0,0,0,0,0
Grottoes PD ,2710,1697.41,46,0,0,0,0,0,0,6,0,0,3,20,0,2,2,0,0,10,5,0,0,0,0,0,1
Grundy PD ,1010,1089.1,11,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,2,0,0,0,0,0,0,0
Halifax PD ,1296,1466.04,19,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0,2
Haymarket PD ,1909,3404.92,65,0,0,0,1,0,0,6,0,1,0,23,0,2,3,0,2,10,28,0,0,0,0,0,1
Haysi PD ,491,2647.65,13,0,0,0,0,0,0,2,0,0,1,9,0,0,3,0,0,0,0,0,0,0,0,0,0
Herndon PD ,24268,4075.32,989,0,7,5,7,18,25,208,0,1,27,332,8,12,66,6,0,169,126,2,8,1,2,0,7
Hillsville PD ,2709,6792.17,184,0,2,3,1,2,5,28,0,0,6,70,7,9,6,0,0,35,23,0,0,0,0,0,2
Honaker PD ,1423,1335.2,19,0,0,0,0,0,4,11,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0
Hurt PD ,1286,1399.68,18,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,4,6,0,0,0,0,0,1
Independence PD ,929,1937.56,18,0,0,0,0,1,0,1,0,0,0,5,0,3,2,1,0,5,1,0,0,0,0,0,0
Jonesville PD ,1030,3300.97,34,0,0,0,0,0,0,13,0,0,0,13,0,0,1,0,0,7,1,0,0,0,0,0,0
Kenbridge PD ,1237,2182.7,27,0,0,1,1,0,5,4,0,0,4,9,0,0,1,0,0,0,2,0,0,0,0,0,1
Kilmarnock PD ,1469,4901.29,72,0,0,0,2,1,0,7,0,0,2,34,0,4,4,4,1,16,0,0,0,0,0,0,2
LaCrosse PD ,601,998.33,6,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Lawrenceville PD ,1301,3689.46,48,0,2,0,2,0,0,3,0,0,8,19,2,1,3,1,0,9,4,0,0,0,0,1,2
Lebanon PD ,3398,5738.66,195,0,1,0,3,0,2,17,0,0,11,105,4,4,21,3,0,23,17,0,0,0,0,0,1
