Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
State Police,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Martinsville PD,13706,9506.78,1303,0,3,1,7,20,34,278,2,0,65,411,27,32,72,9,0,202,161,0,0,0,0,0,21
State Police,,,6,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0
Newport News PD,183412,7952.04,14585,15,82,34,68,246,486,3804,64,1,947,4282,341,214,1202,82,35,2357,1433,7,16,0,70,1,796
State Police,,,64,0,0,0,1,0,3,1,5,0,0,0,5,1,15,0,0,0,33,0,0,0,0,0,4
Norfolk PD ,246392,8884.62,21891,29,82,82,184,414,846,4189,44,1,2035,8030,725,154,737,62,32,3527,1757,6,8,4,128,0,157
State Police ,,,88,0,0,0,0,0,0,2,0,0,0,1,6,1,58,1,0,0,18,0,0,0,0,0,6
Norton PD ,4057,8479.17,344,0,3,5,2,2,3,78,0,0,17,167,4,9,15,2,0,53,53,0,0,0,0,0,7
State Police ,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petersburg PD ,32781,8279.18,2714,7,2,6,9,56,92,580,3,1,336,673,85,18,71,17,4,430,434,1,1,0,1,0,88
State Police ,,,42,0,0,0,0,0,2,0,0,0,0,4,2,1,0,0,1,0,33,0,0,0,0,0,0
Poquoson PD ,12076,3287.51,397,0,3,1,2,0,15,112,2,0,14,117,4,10,25,0,1,81,56,0,2,0,0,0,11
State Police ,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portsmouth PD ,96871,10877.35,10537,12,36,30,56,178,360,2418,5,2,1544,3650,205,95,777,35,29,1700,658,0,5,1,10,1,155
State Police ,,,25,0,0,0,0,0,0,0,0,0,0,0,3,1,12,0,0,1,9,0,0,0,0,0,3
Radford PD ,17139,7503.35,1286,0,4,8,11,7,72,272,2,1,79,328,11,28,130,4,5,234,409,0,2,0,0,0,16
State Police ,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Richmond PD ,211172,9052.33,19116,37,61,26,72,598,585,3953,46,6,1678,5496,847,240,854,75,57,3095,2044,5,19,1,65,2,632
State Police ,,,125,0,0,1,0,0,5,1,0,0,0,3,7,6,14,1,1,2,91,0,0,0,0,0,11
Roanoke PD ,98913,12718.24,12580,9,20,29,52,142,264,4669,21,2,631,3667,177,93,398,68,10,1674,1984,1,14,0,19,0,248
State Police ,,,162,0,0,0,1,0,0,2,1,0,0,9,0,0,33,0,0,1,114,0,1,0,0,0,3
Salem PD ,25274,5226.71,1321,2,1,3,2,12,8,322,1,0,74,507,27,24,64,15,7,185,221,0,3,0,0,1,20
State Police ,,,14,0,0,0,0,0,0,0,0,0,0,1,0,2,8,0,0,0,4,0,0,0,0,0,1
Staunton PD ,24577,6221.26,1529,1,4,11,21,5,29,321,7,1,70,510,18,14,120,14,19,202,201,2,1,0,0,0,27
State Police ,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1
Suffolk PD ,87831,7410.82,6509,7,36,23,59,64,161,2130,24,1,505,1992,98,83,313,19,15,1014,555,2,7,0,11,0,132
State Police ,,,14,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,0,2
Virginia Beach PD ,449628,5525.23,24843,17,40,76,168,304,274,6053,99,15,1411,9390,440,305,1737,268,39,3447,2816,16,48,2,61,3,582
State Police ,,,129,2,0,0,0,0,1,0,0,0,0,2,16,1,81,0,0,2,24,0,0,0,0,0,26
Waynesboro PD ,21015,7213.89,1516,0,6,11,30,8,23,340,0,0,101,557,36,25,98,12,10,281,192,0,1,0,0,0,31
State Police ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Williamsburg PD ,14893,3565.43,531,1,6,0,4,6,13,123,0,1,12,180,8,12,38,4,5,84,90,0,1,0,2,0,13
State Police ,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Winchester PD ,26961,8816.43,2377,1,11,10,24,29,34,611,4,0,108,868,32,41,163,21,22,320,506,1,1,0,3,0,39
State Police ,,,156,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,146,0,0,0,1,0,3
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
