Arrests by Offense,Accomack,,Albemarle ,,Alleghany ,,Amelia ,,Amherst ,,Appomattox,,Arlington,,Augusta,,Bath,,Bedford,,Bland,,Botetourt,,Brunswick ,,Buchanan ,,Buckingham ,,Campbell ,,Caroline ,,Carroll,,Charles City,,Charlotte,,Chesterfield,,Clarke,,Craig,,Culpeper,,Cumberland,,Dickenson,,Dinwiddie,,Essex,,Fairfax,,Fauquier,,Floyd,,Fluvanna,,Franklin,,Frederick,,Giles,,Gloucester,,Goochland,,Grayson,,Greene,,Greensville,,Halifax,,Hanover,,Henrico,,Henry,,Highland,,Isle of Wight,,James City,,King & Queen,,King George,,King William,,Lancaster,,Lee,,Loudoun,,Louisa,,Lunenburg,,Madison,,Mathews,,Mecklenburg,,Middlesex,,Montgomery,,Nelson,,New Kent,,Northampton,,Northumberland,,Nottoway,,Orange,,Page,,Patrick,,Pittsylvania,,Powhatan,,Prince Edward,,Prince George,,Prince William,,Pulaski,,Rappahannock,,Richmond,,Roanoke,,Rockbridge,,Rockingham,,Russell,,Scott,,Shenandoah,,Smyth,,Southampton,,Spotsylvania,,Stafford,,Surry,,Sussex,,Tazewell,,Warren,,Washington,,Westmoreland,,Wise,,Wythe,,York,,Total County,
Burglary,17,3,23,3,4,0,2,0,6,0,0,0,44,3,39,0,1,0,24,1,5,0,16,1,9,1,19,0,5,0,28,0,9,0,4,0,2,0,6,0,170,58,5,1,0,0,16,2,2,0,3,0,37,4,11,0,209,58,13,2,1,0,4,1,29,2,38,7,5,0,37,12,6,0,9,0,5,2,3,0,15,0,37,2,65,14,54,5,0,0,5,2,27,9,0,0,6,1,7,1,0,0,18,0,44,1,2,0,3,1,1,0,13,0,11,10,2,2,36,0,0,0,10,0,4,0,5,0,7,0,7,1,1,1,22,0,34,0,9,2,4,0,21,4,98,51,29,2,0,0,3,0,34,4,17,0,16,0,40,0,36,1,10,2,16,3,9,0,19,8,20,3,2,0,5,0,111,3,14,0,23,0,17,0,23,3,11,0,42,14,1931,311
Larceny,44,9,322,55,10,2,16,1,43,5,15,0,543,94,85,0,4,0,75,5,7,0,47,7,18,0,80,3,14,1,129,2,54,2,25,0,7,0,14,0,1409,486,18,2,8,0,237,15,10,0,63,0,66,8,52,2,2856,575,89,1,2,2,4,2,140,11,359,29,56,1,121,24,12,0,16,0,76,9,4,0,138,12,420,55,839,265,274,6,0,0,33,3,135,40,3,0,74,14,22,2,6,0,64,0,638,44,50,3,11,2,6,1,20,0,127,21,7,2,248,16,7,0,32,3,12,2,24,0,60,6,57,5,29,4,41,0,85,6,38,10,87,4,32,6,987,191,329,2,0,0,11,1,462,15,53,5,86,2,114,2,69,1,99,9,162,2,17,0,389,19,435,7,7,6,25,0,342,4,171,16,325,5,40,0,220,8,78,1,400,72,15590,2253
Motor Vehicle Theft,5,5,5,0,2,0,2,0,2,1,0,0,23,0,1,0,0,0,3,0,0,0,4,1,4,0,6,0,0,0,6,0,4,0,3,0,0,0,1,0,0,0,1,1,1,0,14,0,1,1,1,0,8,1,1,0,92,26,2,0,0,0,1,1,7,1,8,0,2,0,9,0,4,0,0,0,1,1,0,0,3,1,8,2,9,1,13,2,0,0,3,1,0,0,6,0,0,0,1,6,0,0,0,0,15,3,1,0,1,0,4,0,1,0,6,0,0,0,8,0,4,0,0,0,0,3,1,0,5,2,4,0,1,0,2,0,3,1,3,2,1,0,0,0,21,12,1,0,0,0,2,0,9,0,6,1,2,0,3,0,6,0,4,0,5,1,1,0,0,0,17,1,0,0,2,0,4,2,7,1,2,1,1,0,15,1,2,0,1,0,438,83
Counterfeiting/Forgery,4,0,17,0,3,0,1,0,1,0,0,0,100,0,6,0,0,0,9,0,2,0,7,0,5,0,5,0,2,0,6,0,5,0,3,0,0,0,2,0,124,10,1,0,0,0,9,0,2,0,0,0,7,0,2,0,210,4,7,2,0,0,0,0,13,0,18,0,2,0,2,0,1,0,3,0,0,0,0,0,7,0,42,0,11,0,12,0,0,0,2,0,16,0,2,0,3,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,1,0,4,0,1,0,0,0,8,0,4,0,1,0,4,3,2,0,1,0,3,0,8,0,99,2,10,0,0,0,4,0,14,0,1,0,5,0,6,0,8,0,6,1,2,0,3,0,17,0,42,0,0,0,0,0,30,0,3,0,15,0,3,0,5,0,5,0,47,0,1068,22
Fraud,4,1,28,0,2,0,0,0,1,0,1,0,118,2,10,0,1,0,8,0,0,0,3,0,1,0,15,0,2,0,17,2,11,0,2,0,0,0,0,0,292,25,2,0,0,0,51,0,1,0,8,0,19,0,5,0,485,23,48,0,0,0,0,0,19,0,49,3,2,0,14,0,0,0,3,0,7,0,0,0,4,0,159,2,61,1,48,2,0,0,8,0,18,4,1,0,13,0,7,0,1,0,4,0,91,3,4,0,0,0,1,0,2,0,5,0,0,0,20,0,5,0,11,0,1,0,6,0,15,0,7,0,4,0,7,0,3,0,17,0,1,0,10,2,209,21,114,0,0,0,0,0,67,1,13,0,7,0,20,0,8,0,21,0,10,0,4,0,32,1,56,0,1,0,3,0,19,0,20,0,43,1,3,0,16,0,11,0,57,6,2497,100
Embezzlement,3,0,23,0,0,0,0,0,2,0,0,0,68,0,7,0,0,0,4,0,0,0,2,0,1,0,7,0,1,0,2,0,5,0,0,0,0,0,0,0,110,4,0,0,0,0,4,0,1,0,1,0,5,0,1,0,212,2,4,0,0,0,1,0,2,0,15,0,3,0,5,0,4,0,0,0,4,0,1,0,6,0,25,0,30,1,18,0,0,0,3,0,20,0,0,0,8,0,1,0,1,0,0,0,53,1,0,0,1,0,0,0,0,0,4,0,0,0,6,0,0,0,9,0,0,0,0,0,3,0,7,0,0,0,1,0,2,0,3,0,7,0,4,0,81,1,6,0,0,0,0,0,11,0,3,0,4,0,4,0,1,0,3,0,8,0,0,0,15,1,33,0,0,0,2,0,10,0,6,0,8,0,0,0,8,0,2,0,35,0,950,10
Stolen Property,4,1,4,0,0,0,0,0,0,0,0,0,21,1,7,0,0,0,1,0,0,0,1,0,0,1,7,0,1,0,2,0,0,1,2,0,0,0,0,0,59,18,1,0,0,0,5,1,1,0,2,0,5,1,1,0,75,32,4,1,0,0,1,0,8,0,2,1,0,0,0,0,2,0,3,0,0,0,0,0,3,0,10,0,13,2,0,0,0,0,3,1,3,0,0,0,1,0,0,0,0,0,3,0,5,1,0,0,1,0,0,0,0,0,3,1,1,0,8,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,53,17,5,0,0,0,0,0,4,1,1,0,2,0,2,0,8,0,1,0,9,0,2,0,8,1,9,0,0,0,1,0,8,0,0,0,7,0,1,0,8,0,5,0,5,0,421,83
Vandalism,15,2,39,4,9,0,5,0,4,0,1,0,63,13,15,0,3,4,13,4,2,0,11,3,9,3,13,0,14,0,26,0,14,0,13,0,2,0,6,0,125,151,3,0,2,0,31,4,5,2,10,0,9,3,8,0,210,183,28,1,1,0,3,0,20,1,33,11,7,0,7,5,2,0,4,0,9,1,3,0,22,0,26,32,51,19,33,1,0,0,5,0,19,11,3,0,4,0,3,0,0,2,1,0,36,3,3,0,3,0,5,1,7,0,14,1,0,0,42,2,4,0,10,6,5,3,9,0,13,0,12,1,2,0,7,0,25,0,6,3,14,2,8,0,112,68,26,3,0,0,0,0,32,3,9,1,19,2,21,0,22,0,25,3,15,3,6,1,20,6,77,0,8,0,3,4,31,2,26,2,21,1,10,0,26,3,7,3,21,16,1726,603
Drug/Narcotic Offenses,83,8,170,27,45,0,12,0,75,8,7,0,697,49,104,3,10,2,167,30,19,0,191,13,54,0,90,4,110,1,92,1,86,0,62,1,6,0,32,1,2131,320,27,4,0,0,295,17,37,5,32,0,132,6,74,0,3433,444,475,4,7,1,26,0,225,12,435,24,100,1,152,20,43,0,35,2,34,11,73,0,247,8,617,50,698,36,123,1,2,0,108,7,120,43,9,2,88,0,15,3,8,1,10,0,679,33,84,2,56,1,19,3,89,2,238,8,4,0,288,12,35,1,75,5,43,0,5,0,75,2,76,10,110,4,42,0,89,4,67,12,93,3,117,13,1926,269,198,4,37,2,9,0,300,31,139,3,211,8,126,0,136,3,225,17,121,3,77,4,562,12,564,13,4,0,73,1,404,11,367,12,220,11,96,5,108,5,265,5,187,33,20562,1737
"Sex Offenses, Nonforcible",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,2,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,54,7
Pornography,0,0,8,1,0,0,0,0,0,0,1,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,1,1,0,0,2,0,0,2,0,0,26,5,0,0,0,0,0,0,4,1,2,2,0,0,2,1,0,0,1,1,1,0,0,0,0,0,6,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,8,9,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,3,2,1,0,0,0,0,6,0,0,0,0,0,7,0,1,0,2,0,1,0,2,0,0,0,2,1,133,34
Gambling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2
Prostitution,0,0,5,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,138,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,433,1
Bribery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Weapon Law Violations,4,0,22,2,4,0,4,1,5,0,3,0,40,2,20,0,0,0,15,2,3,0,11,0,7,0,12,0,9,0,19,0,16,0,12,0,1,0,0,0,222,46,2,2,4,0,8,1,1,0,6,0,16,5,3,0,85,22,21,0,1,2,2,0,35,4,21,2,8,0,13,3,1,1,4,1,3,0,5,0,21,1,39,7,60,8,26,0,1,0,13,1,20,2,2,0,9,1,3,0,3,0,2,0,27,1,10,0,5,0,1,0,3,0,11,1,0,0,24,1,3,0,2,2,3,0,3,0,8,0,5,0,3,0,12,0,25,0,10,2,9,0,12,1,87,16,20,2,3,1,1,0,29,3,13,0,11,1,11,0,10,0,20,0,22,1,4,0,22,0,25,2,3,0,4,0,16,0,18,1,14,1,8,0,19,0,22,0,18,1,1443,153
TOTAL GROUP A,303,32,970,136,157,4,76,5,209,18,44,0,2278,204,443,4,32,6,565,64,53,1,380,45,131,7,487,10,265,11,656,10,400,10,280,3,45,0,148,4,6199,2061,88,14,37,0,949,74,128,11,192,0,413,48,240,5,10612,1737,928,31,18,7,91,5,737,66,1299,134,272,5,523,85,120,1,136,4,206,39,123,0,663,36,1814,218,2380,493,1032,42,3,0,290,20,606,178,61,3,262,19,136,21,57,5,234,0,2177,116,261,5,134,11,87,9,151,2,538,51,31,5,1093,57,94,4,225,36,138,20,114,0,261,16,257,31,203,9,245,3,598,13,214,46,302,13,324,48,5476,1026,1044,26,62,3,57,4,1429,103,347,21,447,20,572,8,457,7,580,60,589,19,214,6,1443,82,1918,45,66,13,156,6,1292,31,799,48,894,28,270,11,849,37,514,17,1009,222,66702,8274
Bad Checks,2,0,33,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,19,0,1,0,4,0,2,0,38,0,5,0,11,0,0,0,59,0,0,0,25,0,32,0,1,0,4,0,3,0,9,0,6,0,12,0,9,0,34,0,9,0,0,0,0,0,47,0,14,0,11,0,4,0,3,0,0,0,1,0,0,0,5,0,19,0,2,0,5,0,0,0,1,0,3,0,1,0,0,0,0,0,2,0,9,0,23,0,0,0,9,0,0,0,1,0,38,0,0,0,18,0,1,0,1,0,2,0,11,0,4,0,0,0,1,0,18,0,11,0,2,0,2,0,9,0,28,0,61,0,1,0,1,0,9,0,3,0,50,0,23,0,20,0,6,0,54,0,2,0,21,0,17,0,1,0,0,0,74,0,4,0,38,0,7,0,53,0,0,0,10,0,1087,0
Curfew/Loitering/Vagrancy,0,15,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,1,1,0,0,0,0,6,404
Disorderly Conduct,12,1,13,3,6,0,1,0,1,1,4,0,33,6,11,0,1,0,5,11,0,0,4,13,8,0,0,0,0,0,11,0,3,0,4,1,0,0,3,1,529,123,1,0,1,0,13,9,4,0,1,0,3,2,4,0,190,80,16,0,0,0,1,2,21,23,3,8,1,0,32,3,3,0,1,1,6,0,5,1,14,2,10,0,11,81,5,0,0,0,3,0,2,15,1,1,5,0,1,1,3,0,2,0,38,0,4,0,3,1,0,0,0,0,9,1,0,0,8,1,2,0,0,1,3,0,2,0,5,0,2,0,3,0,8,0,10,0,2,0,10,3,8,11,110,31,22,1,0,0,2,0,12,20,1,4,13,1,2,0,2,0,9,3,4,0,2,0,18,5,49,1,0,0,10,1,14,4,10,3,5,0,1,0,18,2,3,0,3,4,1439,487
Driving Under Influence,75,1,206,1,44,0,27,0,90,0,41,1,709,2,182,4,8,0,140,1,24,0,85,1,59,0,83,0,38,0,151,0,77,1,101,1,11,0,61,0,1055,8,52,0,23,0,160,0,31,0,62,0,47,0,17,0,3081,22,307,0,20,0,87,0,214,2,271,0,61,0,135,0,71,0,34,1,31,1,44,0,136,0,382,3,334,1,79,1,4,0,111,0,192,6,33,0,76,0,34,1,13,0,60,0,687,3,101,0,30,1,58,0,9,0,137,0,27,2,387,1,46,0,47,2,29,1,42,0,64,0,104,2,135,1,29,1,95,0,56,0,138,0,53,0,1636,5,96,0,42,0,18,0,293,1,74,1,201,4,97,0,138,0,99,0,119,1,76,0,264,1,498,3,6,0,40,0,166,0,174,1,106,1,78,0,187,1,151,0,151,4,16453,96
