Address,DateTime,Number,Type,Category
MERRIMAC RD  / PRICES FORK RD,2016-01-08,2016-00000380,Traffic Stop,Traffic
OLD ROANOKE RD  / COMPTON DR,2016-01-08,2016-00000381,Traffic Stop,Traffic
3200 BLOCK BRADSHAW RD,2016-01-08,2016-00000388,Motor Vehicle Crash- W/Injuries,Traffic
3200 BLOCK BRADSHAW RD,2016-01-08,2016-00000001,Motor Vehicle Crash- W/Injuries,Traffic
3200 BLOCK BRADSHAW RD,2016-01-08,2016-00000012,Motor Vehicle Crash- W/Injuries,Traffic
000 BLOCK RD INTERSTATE 81 S RAMP,2016-01-08,2016-00000401,Motor Vehicle Crash,Traffic
1600 BLOCK PEPPERS FERRY RD,2016-01-08,2016-00000525,Traffic Stop,Traffic
PEPPERS FERRY RD  / DOMINION DR,2016-01-08,2016-00000529,Traffic Stop,Traffic
4700 BLOCK ROANOKE RD,2016-01-08,2016-00000413,Motor Vehicle Crash,Traffic
4900 BLOCK RINER RD,2016-01-08,2016-00000414,Motor Vehicle Crash,Traffic
3900 BLOCK SOUTH MAIN ST,2016-01-08,2016-00000315,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2016-01-08,2016-00000418,Traffic Stop,Traffic
1600 BLOCK PEPPERS FERRY RD,2016-01-08,2016-00000419,Traffic Stop,Traffic
PRICES FORK RD  / WALNUT SPRING RD,2016-01-09,2016-00000425,Traffic Stop,Traffic
400 BLOCK BRANCH RD SE RT 460 BYPASS WBL,2016-01-09,2016-00000569,Traffic Stop,Traffic
1600 BLOCK PEPPERS FERRY RD,2016-01-09,2016-00000575,Traffic Stop,Traffic
4100 BLOCK PANDAPAS POND RD,2016-01-09,2016-00000439,Traffic Stop,Traffic
4300 BLOCK NORTH FORK RD,2016-01-09,2016-00000443,Hit and Run,Traffic
NORTH FORK RD  / FOX HOLLOW RD,2016-01-09,2016-00000445,Reckless Driving,Traffic
3100 BLOCK NORTH FORK RD,2016-01-09,2016-00000444,Traffic Stop,Traffic
PEPPERS FERRY RD  / ROLLING HILLS DR,2016-01-09,2016-00000447,Motor Vehicle Crash- W/Injuries,Traffic
PEPPERS FERRY RD  / ROLLING HILLS DR,2016-01-09,2016-00000014,Motor Vehicle Crash- W/Injuries,Traffic
PEPPERS FERRY RD  / ROLLING HILLS DR,2016-01-09,2016-00000075,Motor Vehicle Crash- W/Injuries,Traffic
PRICES FORK RD  / MCCOY RD,2016-01-09,2016-00000450,Reckless Driving,Traffic
1600 BLOCK PEPPERS FERRY RD,2016-01-09,2016-00000452,Traffic Stop,Traffic
TYLER RD  / MUD PIKE,2016-01-09,2016-00000459,Motor Vehicle Crash,Traffic
10400 BLOCK ROANOKE RD,2016-01-10,2016-00000469,DUI,Traffic
,2016-01-10,2016-00000480,Reckless Driving,Traffic
3900 BLOCK SOUTH MAIN ST,2016-01-10,2016-00000482,Motor Vehicle Crash,Traffic
5700 BLOCK MCCOY RD,2016-01-10,2016-00000483,Traffic Hazard,Traffic
2100 BLOCK YELLOW SULPHUR RD,2016-01-10,2016-00000486,Traffic Hazard,Traffic
000 BLOCK RD INTERSTATE 81 N RAMP,2016-01-11,2016-00000499,Motor Vehicle Crash- W/Injuries,Traffic
000 BLOCK RD INTERSTATE 81 N RAMP,2016-01-11,2016-00000095,Motor Vehicle Crash- W/Injuries,Traffic
000 BLOCK RD INTERSTATE 81 N RAMP,2016-01-11,2016-00000016,Motor Vehicle Crash- W/Injuries,Traffic
000 BLOCK RD INTERSTATE 81 N RAMP,2016-01-11,2016-00000017,Motor Vehicle Crash- W/Injuries,Traffic
000 BLOCK RD INTERSTATE 81 N RAMP,2016-01-11,2016-00000001,Motor Vehicle Crash- W/Injuries,Traffic
2900 BLOCK PILOT RD,2016-01-11,2016-00000511,Traffic Stop,Traffic
1800 BLOCK RADFORD RD,2016-01-11,2016-00000532,Motor Vehicle Crash,Traffic
6600 BLOCK ROANOKE RD,2016-01-12,2016-00000538,Traffic Stop,Traffic
1100 BLOCK HIGHTOP RD,2016-01-12,2016-00000553,Traffic Stop,Traffic
,2016-01-12,2016-00000003,Motor Vehicle Crash- W/Injuries,Traffic
,2016-01-12,2016-00000014,Motor Vehicle Crash- W/Injuries,Traffic
,2016-01-12,2016-00000106,Motor Vehicle Crash- W/Injuries,Traffic
,2016-01-12,2016-00000017,Motor Vehicle Crash- W/Injuries,Traffic
,2016-01-12,2016-00000001,Motor Vehicle Crash- W/Injuries,Traffic
4700 BLOCK CALLOWAY ST,2016-01-12,2016-00000579,Traffic Stop,Traffic
2200 BLOCK RINER RD,2016-01-12,2016-00000580,Traffic Stop,Traffic
500 BLOCK COAL BANK HOLLOW RD,2016-01-12,2016-00000587,Motor Vehicle Crash,Traffic
JULIET LN  / PINEY WOODS RD,2016-01-12,2016-00000589,Traffic Hazard,Traffic
ADAMS MARKE DR  / MERRIMAC RD,2016-01-12,2016-00000590,Motor Vehicle Crash,Traffic
ADAMS MARKE DR  / MERRIMAC RD,2016-01-12,2016-00000591,DUI,Traffic
5100 BLOCK NORTH FORK RD,2016-01-13,2016-00000600,Motor Vehicle Crash,Traffic
3400 BLOCK TYLER RD,2016-01-13,2016-00000621,Motor Vehicle Crash,Traffic
TYLER RD  / MEADOW CREEK RD,2016-01-13,2016-00000625,Motor Vehicle Crash,Traffic
WARM HEARTH DR  / NUTHATCH WAY,2016-01-13,2016-00000626,Motor Vehicle Crash- W/Injuries,Traffic
WARM HEARTH DR  / NUTHATCH WAY,2016-01-13,2016-00000034,Motor Vehicle Crash- W/Injuries,Traffic
WARM HEARTH DR  / NUTHATCH WAY,2016-01-13,2016-00000071,Motor Vehicle Crash- W/Injuries,Traffic
3900 BLOCK SOUTH MAIN ST,2016-01-14,2016-00000513,Traffic Stop,Traffic
2300 BLOCK TYLER RD,2016-01-14,2016-00000643,Motor Vehicle Crash,Traffic
3900 BLOCK SOUTH MAIN ST,2016-01-14,2016-00000893,Traffic Stop,Traffic
CARRIAGE RD  / FIVE POINTS RD,2016-01-14,2016-00000647,Traffic Stop,Traffic
RADFORD RD  / PLUM CREEK RD,2016-01-14,2016-00000650,Traffic Stop,Traffic
PEPPERS FERRY RD  / CONSTITUTION RD,2016-01-14,2016-00000658,Traffic Stop,Traffic
DAIRY RD / FAIRVIEW CHURCH RD,2016-01-14,2016-00000660,Reckless Driving,Traffic
PILOT RD  / MAXWELL LN,2016-01-14,2016-00000670,Motor Vehicle Crash,Traffic
PEPPERS FERRY RD  / NOLEN RD,2016-01-14,2016-00000922,Traffic Stop,Traffic
HIGHTOP RD  / MERRIMAC RD,2016-01-14,2016-00000553,Traffic Stop,Traffic
2900 BLOCK RADFORD RD,2016-01-14,2016-00000683,Traffic Stop,Traffic
1300 BLOCK WALTON RD,2016-01-15,2016-00000689,Motor Vehicle Crash,Traffic
MERRIMAC RD  / HIGHTOP RD,2016-01-15,2016-00000699,Traffic Stop,Traffic
6400 BLOCK INDIAN VALLEY RD,2016-01-15,2016-00000700,Motor Vehicle Crash,Traffic
4600 BLOCK PRICES FORK RD,2016-01-15,2016-00000703,Traffic Stop,Traffic
OLDTOWN RD  / SHAWNEE DR,2016-01-15,2016-00000707,Traffic Stop,Traffic
000 BLOCK RD INTERSTATE 81 S RAMP,2016-01-15,2016-00000711,Motor Vehicle Crash- W/Injuries,Traffic
000 BLOCK RD INTERSTATE 81 S RAMP,2016-01-15,2016-00000020,Motor Vehicle Crash- W/Injuries,Traffic
000 BLOCK RD INTERSTATE 81 S RAMP,2016-01-15,2016-00000152,Motor Vehicle Crash- W/Injuries,Traffic
1100 BLOCK SMITH CREEK RD,2016-01-15,2016-00000712,Motor Vehicle Crash- W/Injuries,Traffic
1100 BLOCK SMITH CREEK RD,2016-01-15,2016-00000008,Motor Vehicle Crash- W/Injuries,Traffic
1100 BLOCK SMITH CREEK RD,2016-01-15,2016-00000024,Motor Vehicle Crash- W/Injuries,Traffic
PEPPERS FERRY RD / PRICES FORK RD,2016-01-15,2016-00000722,Motor Vehicle Crash,Traffic
MCCOY RD  / TIPPLE RD,2016-01-15,2016-00000727,Motor Vehicle Crash,Traffic
100 BLOCK DARK RUN RD,2016-01-16,2016-00000737,Traffic Stop,Traffic
ROANOKE RD  / DARK RUN RD,2016-01-16,2016-00000739,Traffic Stop,Traffic
1400 BLOCK WALTON RD,2016-01-16,2016-00000740,Motor Vehicle Crash,Traffic
4000 BLOCK RINER RD,2016-01-16,2016-00000743,Traffic Stop,Traffic
100 BLOCK CHRISMAN MILL RD,2016-01-16,2016-00000746,Motor Vehicle Crash,Traffic
1500 BLOCK WALTON RD,2016-01-16,2016-00000753,Motor Vehicle Crash,Traffic
PEPPERS FERRY RD  / NOLEN RD,2016-01-16,2016-00001028,Traffic Stop,Traffic
PEPPERS FERRY RD  / NOLEN RD,2016-01-16,2016-00001031,Traffic Stop,Traffic
2100 BLOCK GARDNER ST,2016-01-16,2016-00000772,Traffic Stop,Traffic
3900 BLOCK SOUTH MAIN ST,2016-01-17,2016-00000665,Traffic Stop,Traffic
1000 BLOCK ROCK RD,2016-01-17,2016-00000787,Motor Vehicle Crash,Traffic
2600 BLOCK PILOT RD,2016-01-17,2016-00000788,Motor Vehicle Crash,Traffic
900 BLOCK DEN HILL RD,2016-01-17,2016-00000790,Motor Vehicle Crash,Traffic
2200 BLOCK BROOKSFIELD RD,2016-01-17,2016-00000794,Motor Vehicle Crash,Traffic
RUSTIC RIDGE RD  / CORNSTALK RD,2016-01-17,2016-00000796,Motor Vehicle Crash,Traffic
2600 BLOCK CATAWBA RD,2016-01-17,2016-00000807,Motor Vehicle Crash,Traffic
5100 BLOCK NORTH FORK RD,2016-01-18,2016-00000815,Motor Vehicle Crash,Traffic
3800 BLOCK RADFORD RD,2016-01-18,2016-00000816,Motor Vehicle Crash,Traffic
900 BLOCK LUSTERS GATE RD,2016-01-18,2016-00000829,Traffic Stop,Traffic
3400 BLOCK PEPPERS FERRY RD,2016-01-18,2016-00000830,Traffic Stop,Traffic
100 BLOCK BRAKE RD,2016-01-18,2016-00000836,Reckless Driving,Traffic
HIGHTOP RD  / MADDY DR,2016-01-18,2016-00000733,Traffic Stop,Traffic
PEPPERS FERRY RD  / NOLEN RD,2016-01-18,2016-00001118,Traffic Stop,Traffic
000 BLOCK RD INTERSTATE 81 S RAMP,2016-01-18,2016-00000854,Motor Vehicle Crash,Traffic
2400 BLOCK PEPPERS FERRY RD,2016-01-19,2016-00000859,Traffic Stop,Traffic
3900 BLOCK OLDTOWN RD,2016-01-19,2016-00000864,Motor Vehicle Crash,Traffic
4500 BLOCK PILOT RD,2016-01-19,2016-00000884,Hit and Run,Traffic
1200 BLOCK ROCK RD,2016-01-19,2016-00000680,Traffic Stop,Traffic
CHILDRESS RD  / TYLER RD,2016-01-19,2016-00000902,Reckless Driving,Traffic
3000 BLOCK RADFORD RD,2016-01-20,2016-00000905,Traffic Stop,Traffic
WALTON RD  / PEPPERS FERRY RD,2016-01-20,2016-00000906,Traffic Stop,Traffic
3400 BLOCK PEPPERS FERRY RD,2016-01-20,2016-00000908,Traffic Stop,Traffic
1400 BLOCK RADFORD RD,2016-01-20,2016-00000909,DUI,Traffic
1400 BLOCK RADFORD RD,2016-01-20,2016-00001182,DUI,Traffic
ROANOKE RD  / EASTERN MONTGOMERY LN,2016-01-20,2016-00000910,Traffic Stop,Traffic
PILOT RD  / CRAIGS MOUNTAIN RD,2016-01-20,2016-00000911,Motor Vehicle Crash,Traffic
4400 BLOCK FISHERS VIEW RD,2016-01-20,2016-00000915,Motor Vehicle Crash,Traffic
500 BLOCK WEEPING WILLOW LN,2016-01-20,2016-00000933,Traffic Stop,Traffic
3000 BLOCK RINER RD,2016-01-20,2016-00000934,Traffic Stop,Traffic
1700 BLOCK UNION VALLEY RD,2016-01-20,2016-00000935,Radar,Traffic
1600 BLOCK UNION VALLEY RD,2016-01-20,2016-00000936,Traffic Stop,Traffic
1400 BLOCK RADFORD RD,2016-01-20,2016-00000938,Traffic Stop,Traffic
PEPPERS FERRY RD  / NOLEN RD,2016-01-20,2016-00001223,Traffic Stop,Traffic
PEPPERS FERRY RD  / NOLEN RD,2016-01-20,2016-00001224,Traffic Stop,Traffic
RADFORD RD  / GANTT DR,2016-01-20,2016-00000939,Traffic Stop,Traffic
,2016-01-20,2016-00000205,Motor Vehicle Crash- W/Injuries,Traffic
,2016-01-20,2016-00000033,Motor Vehicle Crash- W/Injuries,Traffic
1200 BLOCK WALTON RD,2016-01-20,2016-00000947,Motor Vehicle Crash,Traffic
3300 BLOCK GLADE RD,2016-01-20,2016-00000948,Motor Vehicle Crash,Traffic
1200 BLOCK ALLEGHANY SPRING RD,2016-01-20,2016-00000958,Motor Vehicle Crash- W/Injuries,Traffic
1200 BLOCK ALLEGHANY SPRING RD,2016-01-20,2016-00000008,Motor Vehicle Crash- W/Injuries,Traffic
1200 BLOCK ALLEGHANY SPRING RD,2016-01-20,2016-00000037,Motor Vehicle Crash- W/Injuries,Traffic
MUD PIKE  / SEVEN MILE TREE RD,2016-01-20,2016-00000950,Motor Vehicle Crash,Traffic
1200 BLOCK LOVELY MOUNT DR,2016-01-20,2016-00000952,Motor Vehicle Crash- W/Injuries,Traffic
3800 BLOCK MCCOY RD,2016-01-20,2016-00000983,Motor Vehicle Crash,Traffic
1200 BLOCK LOVELY MOUNT DR,2016-01-20,2016-00000035,Motor Vehicle Crash- W/Injuries,Traffic
1200 BLOCK LOVELY MOUNT DR,2016-01-20,2016-00000207,Motor Vehicle Crash- W/Injuries,Traffic
000 BLOCK RD INTERSTATE 81 N RAMP,2016-01-20,2016-00000954,Motor Vehicle Crash,Traffic
FIRE TOWER RD  / RADFORD RD,2016-01-20,2016-00000951,Motor Vehicle Crash,Traffic
,2016-01-20,2016-00000208,Motor Vehicle Crash- W/Injuries,Traffic
,2016-01-20,2016-00000036,Motor Vehicle Crash- W/Injuries,Traffic
1400 BLOCK MERRIMAC RD,2016-01-20,2016-00000953,Motor Vehicle Crash,Traffic
2000 BLOCK BROOKSFIELD RD,2016-01-20,2016-00000957,Motor Vehicle Crash- W/Injuries,Traffic
,2016-01-20,2016-00000210,Motor Vehicle Crash- W/Injuries,Traffic
HARDING RD  / ANCHOR RD,2016-01-20,2016-00000119,Motor Vehicle Crash- W/Injuries,Traffic
2000 BLOCK BROOKSFIELD RD,2016-01-20,2016-00000056,Motor Vehicle Crash- W/Injuries,Traffic
2000 BLOCK BROOKSFIELD RD,2016-01-20,2016-00000120,Motor Vehicle Crash- W/Injuries,Traffic
,2016-01-20,2016-00000038,Motor Vehicle Crash- W/Injuries,Traffic
500 BLOCK WALTON RD,2016-01-20,2016-00000964,Motor Vehicle Crash,Traffic
5100 BLOCK NORTH FORK RD,2016-01-20,2016-00000965,Motor Vehicle Crash,Traffic
3000 BLOCK CATAWBA RD,2016-01-21,2016-00000976,Motor Vehicle Crash,Traffic
CHILDRESS RD  / TYLER RD,2016-01-21,2016-00000979,Motor Vehicle Crash,Traffic
HARDING RD  / YARROW RD,2016-01-21,2016-00000980,Motor Vehicle Crash,Traffic
4600 BLOCK NORTH FORK RD,2016-01-21,2016-00000990,Traffic Hazard,Traffic
SIDNEY CHURCH RD  / CAMP CARYSBROOK RD,2016-01-21,2016-00000994,Motor Vehicle Crash,Traffic
,2016-01-21,2016-00001306,Traffic Stop,Traffic
4100 BLOCK PEARMAN RD,2016-01-21,2016-00001001,Motor Vehicle Crash,Traffic
,2016-01-21,2016-00001002,Traffic Stop,Traffic
HARKRADER ST  / MUD PIKE,2016-01-21,2016-00001316,Traffic Stop,Traffic
,2016-01-21,2016-00000039,Motor Vehicle Crash- W/Injuries,Traffic
,2016-01-21,2016-00001016,Traffic Stop,Traffic
PANDAPAS POND RD  / CRAIG CREEK RD,2016-01-21,2016-00001018,Motor Vehicle Crash- W/Injuries,Traffic
PANDAPAS POND RD  / CRAIG CREEK RD,2016-01-21,2016-00000063,Motor Vehicle Crash- W/Injuries,Traffic
PANDAPAS POND RD  / CRAIG CREEK RD,2016-01-21,2016-00000127,Motor Vehicle Crash- W/Injuries,Traffic
2800 BLOCK CAMP CARYSBROOK RD,2016-01-21,2016-00001019,Motor Vehicle Crash,Traffic
RINER RD  / LIFE DR,2016-01-21,2016-00001027,Motor Vehicle Crash,Traffic
900 BLOCK LIFE DR,2016-01-21,2016-00001340,Motor Vehicle Crash,Traffic
5200 BLOCK PRICES FORK RD,2016-01-22,2016-00001047,Motor Vehicle Crash,Traffic
2100 BLOCK FAIRVIEW CHURCH RD,2016-01-22,2016-00001055,Motor Vehicle Crash,Traffic
5600 BLOCK MCCOY RD,2016-01-23,2016-00001073,Traffic Hazard,Traffic
PRICES FORK RD  / BRUNSWICK DR,2016-01-23,2016-00001075,Motor Vehicle Crash,Traffic
400 BLOCK NATIONAL DR,2016-01-24,2016-00001083,Motor Vehicle Crash,Traffic
900 BLOCK POLLARD RD,2016-01-24,2016-00001084,Traffic Hazard,Traffic
4100 BLOCK PILOT RD,2016-01-24,2016-00001087,Traffic Hazard,Traffic
3400 BLOCK RADFORD RD,2016-01-24,2016-00001093,Traffic Hazard,Traffic
3900 BLOCK CRABAPPLE RD,2016-01-24,2016-00001099,Traffic Hazard,Traffic
RADFORD RD  / WALTON RD,2016-01-24,2016-00001109,Traffic Hazard,Traffic
1000 BLOCK SHOWALTER DR,2016-01-25,2016-00001124,Motor Vehicle Crash,Traffic
,2016-01-25,2016-00001526,Traffic Stop,Traffic
PEPPERS FERRY RD  / NOLEN RD,2016-01-25,2016-00001532,Traffic Stop,Traffic
3900 BLOCK SOUTH MAIN ST,2016-01-25,2016-00001533,Traffic Stop,Traffic
300 BLOCK SWITCHBACK RD,2016-01-25,2016-00001137,Motor Vehicle Crash,Traffic
4300 BLOCK RINER RD,2016-01-25,2016-00001146,Traffic Stop,Traffic
1400 BLOCK RADFORD RD,2016-01-25,2016-00001147,Traffic Stop,Traffic
3600 BLOCK RADFORD RD,2016-01-25,2016-00001149,Traffic Stop,Traffic
3600 BLOCK RADFORD RD,2016-01-25,2016-00001151,Traffic Stop,Traffic
3100 BLOCK PEPPERS FERRY RD,2016-01-25,2016-00001152,Traffic Stop,Traffic
3600 BLOCK RADFORD RD,2016-01-25,2016-00001153,Traffic Stop,Traffic
1400 BLOCK RADFORD RD,2016-01-25,2016-00001154,Traffic Stop,Traffic
2100 BLOCK GARDNER ST,2016-01-25,2016-00001156,Traffic Stop,Traffic
10000 BLOCK ROANOKE RD,2016-01-25,2016-00001157,Traffic Stop,Traffic
4600 BLOCK PRICES FORK RD,2016-01-25,2016-00001158,Traffic Stop,Traffic
2100 BLOCK GARDNER ST,2016-01-25,2016-00001161,Traffic Stop,Traffic
2300 BLOCK TYLER RD,2016-01-26,2016-00001173,Traffic Stop,Traffic
PRICES FORK RD  / MCCOY RD,2016-01-26,2016-00001174,Traffic Stop,Traffic
2900 BLOCK LITTLE RIVER RD,2016-01-26,2016-00001176,Motor Vehicle Crash,Traffic
1200 BLOCK ALLEGHANY SPRING RD,2016-01-26,2016-00001183,Motor Vehicle Crash- W/Injuries,Traffic
2200 BLOCK ELLETT RD,2016-01-26,2016-00001191,Motor Vehicle Crash,Traffic
200 BLOCK ALLEGHANY SPRING RD,2016-01-26,2016-00001193,Motor Vehicle Crash,Traffic
3200 BLOCK VICKER SWITCH RD,2016-01-26,2016-00001195,Motor Vehicle Crash,Traffic
OLD ROANOKE RD  / ROANOKE RD,2016-01-27,2016-00001214,Traffic Stop,Traffic
1500 BLOCK TURNBERRY LN,2016-01-27,2016-00001224,Traffic Stop,Traffic
RINER RD  / CHILDRESS RD,2016-01-27,2016-00001225,Traffic Stop,Traffic
4500 BLOCK EASTERN MONTGOMERY LN,2016-01-27,2016-00001246,Radar,Traffic
CHILDRESS RD / DRY VALLEY RD,2016-01-27,2016-00001254,Reckless Driving,Traffic
100 BLOCK JENNELLE RD,2016-01-27,2016-00001258,Traffic Hazard,Traffic
INDIAN VALLEY RD / CHILDRESS RD,2016-01-27,2016-00001271,Motor Vehicle Crash,Traffic
5100 BLOCK NORTH FORK RD,2016-01-28,2016-00001280,Motor Vehicle Crash,Traffic
TYLER RD  / LOVELY MOUNT DR,2016-01-28,2016-00001281,Motor Vehicle Crash,Traffic
DOMINION DR  / PEPPERS FERRY RD,2016-01-28,2016-00001720,Traffic Stop,Traffic
PEPPERS FERRY RD  / DOMINION DR,2016-01-28,2016-00001724,Traffic Stop,Traffic
500 BLOCK ALLEGHANY SPRING RD,2016-01-28,2016-00001305,Traffic Hazard,Traffic
6500 BLOCK STONES KEEP LN,2016-01-28,2016-00001316,Traffic Stop,Traffic
ROANOKE RD  / NORTH FORK RD,2016-01-28,2016-00001317,Traffic Stop,Traffic
1400 BLOCK RADFORD RD,2016-01-28,2016-00001318,Traffic Hazard,Traffic
OLD ROANOKE RD  / COMPTON DR,2016-01-28,2016-00001325,Traffic Stop,Traffic
PEPPERS FERRY RD  / NOLEN RD,2016-01-28,2016-00001750,Traffic Stop,Traffic
BRAKE RD  / DUKE LN,2016-01-28,2016-00001328,Traffic Stop,Traffic
8700 BLOCK ROANOKE RD,2016-01-28,2016-00001337,Traffic Stop,Traffic
5100 BLOCK NORTH FORK RD,2016-01-28,2016-00001340,Traffic Stop,Traffic
PRICES FORK RD  / MCCOY RD,2016-01-28,2016-00001342,Traffic Stop,Traffic
PRICES FORK RD  / DOUBLETREE LN,2016-01-29,2016-00001345,Traffic Stop,Traffic
2400 BLOCK PEPPERS FERRY RD,2016-01-29,2016-00001346,Traffic Stop,Traffic
6200 BLOCK NORRIS RUN RD,2016-01-29,2016-00001347,Motor Vehicle Crash,Traffic
