Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Fredericksburg PD ,22544,12238.28,2759,2,9,15,26,44,78,701,2,0,95,964,64,29,153,35,6,568,293,3,2,0,1,1,33
State Police ,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Galax PD ,6706,9603.34,644,0,2,12,5,2,18,179,0,0,30,228,15,8,8,4,0,143,63,0,1,1,0,0,12
State Police ,,,9,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,2,0,0,0,0,0,0
Hampton PD ,144204,7571.91,10919,8,34,43,105,212,213,1969,15,1,770,3989,405,93,589,156,27,2395,1113,7,6,0,14,0,400
State Police ,,,127,0,0,0,0,0,7,0,0,0,0,0,1,2,69,0,2,0,43,0,0,0,0,0,15
Harrisonburg PD ,45632,6265.34,2859,1,13,12,21,25,104,475,6,1,254,915,79,45,183,36,15,865,278,1,1,0,1,0,50
State Police ,,,313,0,1,0,1,0,0,3,0,0,0,3,1,1,11,0,2,0,294,0,0,0,0,0,8
Hopewell PD ,23263,11378.58,2647,3,2,12,18,76,188,661,6,0,303,610,104,33,86,11,18,634,214,4,0,1,0,0,45
State Police ,,,20,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0
Lexington PD ,7211,2274.3,164,0,0,0,1,1,2,20,0,0,5,66,1,1,7,2,0,49,19,0,0,0,0,0,2
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynchburg PD ,70734,10024.88,7091,4,34,29,98,101,217,2355,16,2,433,2257,155,65,285,50,22,1339,774,5,4,5,4,0,186
State Police ,,,39,0,0,0,0,0,0,0,0,0,0,3,0,0,19,0,0,0,17,0,0,0,0,0,0
Manassas PD ,36225,7434.09,2693,4,33,20,35,50,75,676,5,2,180,834,87,39,171,12,6,603,218,4,0,0,2,0,26
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Manassas Park PD ,14050,3921.7,551,0,5,6,4,4,14,113,3,0,18,159,21,3,25,3,3,145,92,0,0,0,1,1,21
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinsville PD ,14393,9449.03,1360,1,2,2,4,25,31,254,4,0,102,419,21,36,51,9,0,331,109,1,0,1,0,0,24
State Police ,,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0,1
Newport News PD ,180978,10618.41,19217,16,105,72,101,513,639,4792,87,5,1487,5464,502,333,930,119,45,3829,1994,9,4,1,39,1,1024
State Police ,,,90,0,0,0,0,0,0,1,0,0,0,0,0,1,45,0,1,1,42,0,0,0,0,0,7
Norfolk PD ,235092,10099.87,23744,26,36,80,170,1045,783,3712,56,2,1770,9222,1074,227,508,97,26,4591,918,6,3,2,77,1,135
State Police ,,,170,0,0,0,0,0,2,0,0,0,0,7,2,2,114,1,1,0,39,0,0,0,0,0,11
Norton PD ,4161,9997.59,416,0,1,1,2,1,9,41,1,0,27,254,3,8,6,1,2,74,37,0,0,0,0,0,11
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petersburg PD ,30489,18459.11,5628,5,94,29,28,257,335,1037,9,1,867,1322,330,61,198,24,19,1689,397,1,1,0,12,0,415
State Police ,,,53,0,0,0,0,0,1,1,0,0,0,2,0,0,6,1,1,0,46,0,0,0,0,0,3
Poquoson PD ,11791,4902.04,578,0,4,4,5,0,11,159,5,0,33,166,9,8,19,3,1,143,61,2,2,0,0,0,19
State Police ,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
Portsmouth PD ,97599,12650.74,12347,15,78,58,22,350,303,2878,8,3,1133,4216,358,152,518,74,37,3209,778,4,5,2,10,0,355
State Police ,,,23,0,0,0,0,0,0,0,0,0,0,1,0,6,15,0,0,0,7,0,0,0,0,0,0
Radford PD ,15584,10170.68,1585,1,4,4,14,8,66,400,5,1,143,364,17,35,90,4,8,390,266,1,5,0,0,0,21
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Richmond PD ,195463,11211.32,21914,31,82,53,95,779,727,4743,51,5,1750,5344,1024,353,577,106,36,4363,2646,2,0,1,88,4,825
State Police ,,,110,0,0,0,1,0,3,4,0,1,0,8,3,16,19,2,1,6,58,0,0,0,0,0,3
Roanoke PD ,92344,14849.9,13713,11,41,48,49,213,474,4439,41,2,992,3886,302,113,392,92,10,2388,1561,3,9,0,62,0,353
State Police ,,,73,0,0,0,0,0,5,0,0,0,0,0,1,2,33,0,0,1,33,0,0,0,0,0,0
Salem PD ,24749,6081.05,1505,2,3,1,4,7,28,295,2,0,103,633,36,49,72,30,7,327,153,0,4,0,0,0,23
State Police ,,,10,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,0,0,2,0,0,0,0,0,0
Staunton PD ,23097,7472.83,1726,2,7,5,5,13,37,356,5,1,60,526,25,41,154,14,16,306,227,1,1,0,2,0,30
State Police ,,,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0
Suffolk PD ,81907,7326.6,6001,5,27,29,60,90,188,1869,31,2,391,1628,138,105,225,35,15,1195,515,2,4,3,11,0,151
State Police ,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0
Virginia Beach PD ,431451,6776.2,29236,14,82,73,179,539,417,6963,133,11,1930,10048,651,327,1394,240,67,5080,2901,18,26,8,82,2,687
State Police ,,,165,0,0,0,0,0,4,0,0,0,0,1,3,6,90,1,0,0,65,0,0,0,0,0,6
Waynesboro PD ,20614,8028.52,1655,1,9,3,15,21,70,428,5,1,90,512,37,47,110,27,9,331,187,0,0,0,0,0,53
State Police ,,,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Williamsburg PD ,13354,3893.96,520,0,4,3,7,9,10,100,1,1,13,224,12,15,32,7,0,75,49,0,0,0,0,0,9
State Police ,,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20,0,0,0,0,0,0
Winchester PD ,26209,11366.32,2979,1,19,8,44,36,41,683,6,1,202,1074,55,66,174,40,24,612,355,1,5,0,4,0,45
State Police ,,,167,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,20,142,0,0,0,0,0,1
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
