Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Clifton Forge,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
Fraud,72,3,4,0,43,0,1,0,64,0,1,0,1,0,28,2,2,0,45,2,9,2,5,0,1,0,5,0,22,0,13,0,101,2,37,1,12,0,0,0,68,2,21,1,7,0,31,0,96,7,48,1,2,0,0,0,2,0,16,0,1,0,16,2,7,0,56,2,33,0,13,1,114,6,43,3,6,0,10,0,1056,37
Embezzlement,21,1,3,0,5,0,1,0,17,0,0,0,0,0,37,3,0,0,15,0,3,0,2,0,1,0,10,0,16,0,1,0,71,2,13,1,9,0,0,0,21,0,7,0,2,1,8,0,56,5,30,0,0,0,7,0,29,0,8,0,0,0,6,0,6,0,11,2,11,0,12,0,97,3,13,4,9,0,10,4,568,26
Stolen Property,2,3,2,1,4,0,0,0,7,0,0,0,0,0,6,2,1,0,0,1,1,0,0,0,0,0,5,0,10,0,2,1,38,16,10,3,8,0,0,0,14,1,3,1,0,0,1,0,38,21,33,2,0,0,15,6,1,0,28,1,0,0,0,2,1,0,4,0,2,3,7,1,29,14,6,5,2,0,12,6,292,90
Vandalism,41,12,13,3,12,7,3,2,71,6,0,0,1,2,20,12,0,1,73,5,18,7,4,0,0,0,17,2,22,2,7,6,38,9,25,3,21,1,3,0,59,12,14,2,11,10,26,24,104,71,45,17,5,0,18,1,7,0,67,7,0,0,135,89,0,0,22,19,35,13,31,1,198,152,27,6,14,8,21,8,1228,520
Drug/Narcotic Offenses,214,22,121,0,118,3,10,1,294,39,22,2,6,3,151,21,14,0,175,7,110,6,20,0,1,0,77,6,337,29,15,1,699,47,234,8,177,16,17,3,457,36,122,3,32,9,71,7,1356,165,1086,34,28,4,203,11,23,12,985,22,3,0,853,128,80,1,97,16,62,2,148,17,1724,305,93,18,63,6,246,25,10544,1035
"Sex Offenses, Nonforcible",1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,9,1,0,0,1,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,2,0,10,3,0,0,0,0,2,1,46,8
Pornography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0
Gambling,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,20,6
Prostitution,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,34,0,132,0,0,0,3,0,0,0,39,0,0,0,65,0,20,0,0,0,0,0,1,0,107,0,0,0,0,0,0,0,438,1
Bribery,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0
Weapon Law Violations,8,3,2,1,12,2,0,0,42,5,3,0,2,1,28,3,8,0,70,6,16,1,6,0,0,0,10,4,20,2,4,2,125,17,8,0,19,0,2,1,57,10,13,2,10,4,15,2,133,44,64,8,5,2,20,3,7,0,85,5,4,0,109,37,13,0,11,2,10,2,41,10,206,57,23,3,4,2,20,6,1235,247
TOTAL GROUP A,1202,215,314,48,678,41,57,11,1343,120,28,2,52,10,785,327,90,14,1562,93,429,134,147,2,12,3,330,27,817,76,219,34,2789,301,681,65,760,42,56,6,2007,285,421,34,145,98,586,96,4331,1074,3392,290,155,27,578,53,131,38,3178,132,10,0,4019,1040,181,2,578,127,711,123,975,70,7044,1889,782,141,277,65,677,242,42529,7397
Bad Checks,22,0,43,0,28,2,7,0,748,0,0,0,0,0,28,0,0,0,199,0,27,0,0,0,1,0,31,0,131,0,152,0,80,0,2,0,58,0,0,0,146,0,29,0,15,0,57,0,0,0,190,0,0,0,20,0,2,0,50,0,0,0,61,0,15,0,92,0,58,1,129,0,201,0,25,0,4,0,224,1,2875,4
Curfew/Loitering/Vagrancy,34,0,0,1,0,0,0,0,0,12,0,0,0,3,0,24,0,0,0,108,0,42,0,0,0,0,0,6,0,0,0,1,0,83,0,0,1,71,0,1,4,0,0,0,0,0,0,0,1,177,0,0,0,0,2,6,0,9,0,19,0,0,5,59,0,0,0,0,0,0,0,11,23,865,0,0,0,15,0,0,70,1513
Disorderly Conduct,109,5,5,1,13,1,1,0,42,7,0,0,14,1,24,7,3,1,71,26,34,7,2,2,0,0,4,0,74,1,15,3,16,6,3,0,14,2,2,0,81,13,66,3,11,5,64,9,87,35,1047,60,0,0,77,3,0,0,69,1,0,0,71,133,0,0,10,4,43,11,30,2,849,257,23,4,9,1,17,0,3000,611
Driving Under Influence,273,2,38,1,148,1,19,1,201,4,55,0,5,0,182,2,57,4,357,4,117,2,59,3,1,0,35,0,71,0,52,0,421,0,35,0,9,0,72,0,412,3,272,1,104,3,89,0,303,11,798,1,83,1,59,0,36,0,264,0,0,0,168,2,170,0,121,1,108,5,133,1,2490,15,148,5,77,1,382,5,8424,79
Drunkenness,745,2,38,0,396,0,16,1,435,1,2,0,58,0,85,3,78,2,687,8,106,0,65,0,6,0,48,0,482,5,77,3,679,2,18,2,93,0,61,1,556,0,417,2,59,0,161,2,858,4,2061,4,118,1,44,3,17,3,357,0,0,0,338,1,54,0,169,2,230,3,55,2,3683,20,236,9,145,0,162,0,13895,86
"Family Offenses, Nonforcible",2,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,14,0,3,0,12,0,6,0,8,1,0,0,7,1,0,0,0,0,0,0,162,4,212,1,9,0,0,0,0,0,107,0,0,0,12,0,1,0,4,0,4,0,6,6,11,1,15,0,2,0,15,1,622,15
Liquor Laws Violations,628,19,10,9,38,9,1,1,26,8,0,0,6,2,45,12,2,7,25,8,12,8,1,3,0,1,16,1,63,5,40,25,13,6,18,3,14,8,19,2,339,23,98,16,2,6,26,15,27,66,1656,31,49,12,42,3,21,9,62,8,0,0,99,0,27,1,14,5,24,31,25,5,1377,381,24,29,29,11,175,34,5093,823
Peeping Tom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,8,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,2,0,28,4
Runaway,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,126,0,1,0,0,0,1,0,72,0,1,0,0,0,0,0,241,0,142,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,3,0,51,0,2,0,1,0,87,0,2,0,8,0,802
Trespass of Real Property,141,7,28,4,24,1,1,0,139,9,0,0,7,0,38,16,2,0,207,21,36,9,7,0,1,0,17,1,65,5,18,1,144,11,4,2,60,1,9,0,437,45,51,3,7,0,36,1,269,143,1311,93,0,0,64,7,2,0,558,5,0,0,23,4,47,0,18,5,56,24,44,8,488,147,17,1,5,1,29,6,4410,581
Conspiracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1
All Other (except Traffic),406,55,143,21,158,8,39,0,1177,145,32,3,78,2,730,40,43,3,2192,225,149,14,62,20,0,0,156,1,736,84,79,7,2952,46,127,8,238,26,17,1,1653,121,489,54,156,22,302,44,671,420,6812,1480,170,6,488,19,26,11,2662,17,1,0,6864,62,163,15,544,57,142,7,958,18,10149,909,393,57,35,9,801,30,42993,4067
TOTAL GROUP B,2361,101,307,37,807,22,84,3,2769,186,89,3,168,8,1134,145,185,18,3739,400,484,83,196,28,9,1,308,9,1636,100,436,40,4319,280,217,16,495,109,181,6,3637,278,1422,80,354,36,735,71,2388,1104,14090,1812,429,20,797,50,104,32,4130,50,1,0,7641,262,477,16,972,77,666,134,1380,55,19275,2597,883,192,306,40,1807,85,81418,8586
GRAND TOTAL,3563,316,621,85,1485,63,141,14,4112,306,117,5,220,18,1919,472,275,32,5301,493,913,217,343,30,21,4,638,36,2453,176,655,74,7108,581,898,81,1255,151,237,12,5644,563,1843,114,499,134,1321,167,6719,2178,17482,2102,584,47,1375,103,235,70,7308,182,11,0,11660,1302,658,18,1550,204,1377,257,2355,125,26319,4486,1665,333,583,105,2484,327,123947,15983
