Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Fredericksburg PD ,26024,9994.62,2601,2,6,1,15,19,86,733,5,1,88,922,20,25,184,10,9,440,358,2,3,0,4,0,32
State Police ,,,23,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,19,0,0,0,0,0,1
Galax PD ,7176,9810.47,704,0,4,10,4,1,25,184,0,1,17,269,6,23,31,4,3,109,98,1,2,0,1,0,15
State Police ,,,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Hampton PD ,138848,7435.46,10324,9,26,16,58,146,143,2200,27,2,764,3673,266,259,492,98,27,2164,992,5,4,1,6,0,443
State Police ,,,99,0,0,0,0,0,4,1,0,0,0,1,1,2,44,0,1,1,45,0,0,0,0,0,8
Harrisonburg PD ,50862,5082.37,2585,1,14,15,17,25,71,578,6,0,154,898,28,27,188,15,13,587,300,0,11,0,2,2,63
State Police ,,,274,0,0,0,0,0,0,0,0,0,0,4,0,2,6,0,0,0,265,0,0,0,0,0,2
Hopewell PD ,22845,9879.62,2257,2,4,3,11,32,54,691,5,0,212,621,51,49,102,6,13,390,249,1,3,0,1,0,45
State Police ,,,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
Lexington PD ,7356,2175.09,160,0,0,0,0,0,1,16,0,0,37,51,0,1,4,0,0,34,31,0,0,0,0,0,4
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Lynchburg PD ,77203,7460.84,5760,3,37,34,94,46,185,2114,13,1,369,1665,72,60,371,27,14,727,898,0,5,1,13,1,111
State Police ,,,89,0,0,0,0,0,0,1,0,0,0,1,0,1,12,0,0,0,74,0,0,0,0,0,3
Manassas PD ,39902,6701.41,2674,2,27,8,37,51,74,689,7,0,116,761,50,20,236,8,5,545,458,1,10,0,3,0,35
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Manassas Park PD ,14838,4171.72,619,0,2,1,4,1,19,145,0,0,20,203,13,2,35,4,12,97,134,1,2,0,0,0,18
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinsville PD ,13908,8807.88,1225,1,1,6,6,7,25,298,5,0,77,319,20,20,55,11,2,211,161,0,1,0,0,0,36
State Police ,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Newport News PD ,183331,8436.1,15466,20,60,50,76,273,416,3798,71,1,1028,4491,267,302,1279,62,35,2582,1638,8,5,2,92,0,840
State Police ,,,52,0,0,0,0,0,1,0,0,0,0,0,2,0,26,0,1,0,20,0,0,0,0,0,3
Norfolk PD ,245803,8908.76,21898,34,44,76,156,491,737,3881,58,0,2108,8450,677,205,637,62,22,3600,1461,5,8,5,148,0,169
State Police ,,,116,0,0,0,0,0,0,3,0,0,0,1,10,1,72,0,0,0,27,0,0,0,0,0,4
Norton PD ,4193,8633.43,362,0,4,0,1,0,4,63,0,0,11,202,3,6,24,5,0,45,51,0,2,0,0,0,7
State Police ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Petersburg PD ,33112,9803.09,3246,5,1,7,14,56,104,623,5,0,379,841,99,21,82,17,13,469,637,4,1,0,2,0,109
State Police ,,,73,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,71,0,0,0,0,0,0
Poquoson PD ,12291,2953.38,363,0,1,0,3,0,10,148,4,0,3,30,1,10,5,0,0,107,70,2,1,0,0,0,8
State Police ,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
Portsmouth PD ,97450,10596.2,10326,11,58,41,74,183,230,2660,14,2,1224,3447,215,145,725,48,43,1795,635,2,2,2,12,0,219
State Police ,,,29,0,0,0,0,0,0,1,0,0,0,0,4,1,18,0,0,0,6,0,0,0,0,0,0
Radford PD ,16714,8388.17,1402,1,2,9,14,9,59,288,2,0,103,341,19,82,166,3,6,292,369,0,3,0,0,0,22
State Police ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond PD ,208834,10453.75,21831,42,67,38,66,635,639,4500,50,2,2005,6197,920,303,852,74,48,3802,2298,4,20,4,110,1,726
State Police ,,,94,0,0,0,0,1,2,0,1,0,0,1,2,2,6,0,0,1,85,0,0,0,0,0,5
Roanoke PD ,98641,13749.86,13563,9,32,40,66,141,354,4987,42,2,945,3620,244,72,420,57,13,2006,1840,2,7,0,57,1,240
State Police ,,,57,0,0,0,0,0,0,2,1,0,0,3,0,0,19,1,0,0,30,0,0,0,0,0,2
Salem PD ,25267,5299.4,1339,0,2,0,6,5,3,373,0,0,75,478,27,21,60,22,2,256,201,0,0,0,3,0,17
State Police ,,,7,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0
Staunton PD ,24512,6209.2,1522,0,4,8,30,11,23,318,5,0,58,457,9,76,129,18,17,226,177,4,4,0,2,0,35
State Police ,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Suffolk PD ,86463,6926.66,5989,2,41,28,68,52,189,1944,18,2,356,1826,92,95,291,21,10,938,575,1,9,0,2,0,159
State Police ,,,11,0,0,0,0,0,0,0,1,0,0,1,1,0,6,0,0,0,3,0,0,0,0,0,0
Virginia Beach PD ,447489,5803.04,25968,21,56,58,145,326,357,6130,123,17,1558,9699,487,474,1770,274,45,3636,2786,14,21,19,56,0,547
State Police ,,,114,0,0,0,0,0,0,1,0,0,0,7,4,6,58,0,0,1,34,0,0,0,0,1,5
Waynesboro PD ,21378,7867.9,1682,0,4,11,25,9,50,444,1,0,88,627,38,39,100,14,5,313,140,0,4,0,0,0,29
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Williamsburg PD ,14503,4274.97,620,0,6,2,6,8,10,170,0,0,27,227,9,8,35,7,1,107,76,0,0,0,0,0,7
State Police ,,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
Winchester PD ,27208,9614.81,2616,0,8,9,23,17,33,676,5,0,166,1017,29,37,166,20,15,352,523,0,3,0,3,0,36
State Police ,,,130,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,124,0,0,0,0,0,1
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
