Date ,Report Type ,Street ,Sub-Division
4/29/2005,"DAMAGE PROPERTY, PRIVATE ",CHEADLE LOOP ROAD ,CHEADLE HEIGHTS
7/1/2005,"DAMAGE PROPERTY, PRIVATE ",CHEADLE LOOP ROAD ,CHEADLE HEIGHTS
7/20/2005,"DAMAGE PROPERTY, PRIVATE ",CHEADLE LOOP ROAD ,CHEADLE HEIGHTS
7/20/2005,PETIT LARCENY ,CHEADLE LOOP ROAD ,CHEADLE HEIGHTS
7/20/2005,TRESPASSING ,CHEADLE LOOP ROAD ,CHEADLE HEIGHTS
8/17/2005,"DAMAGE PROPERTY, PRIVATE ",CHEADLE LOOP ROAD ,CHEADLE HEIGHTS
8/17/2005,"DAMAGE PROPERTY, PRIVATE ",CHEADLE LOOP ROAD ,CHEADLE HEIGHTS
8/17/2005,"DAMAGE PROPERTY, PRIVATE ",CHEADLE LOOP ROAD ,CHEADLE HEIGHTS
8/17/2005,"DAMAGE PROPERTY, PRIVATE ",CHEADLE LOOP ROAD ,CHEADLE HEIGHTS
8/24/2005,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",CHEADLE LOOP ROAD ,CHEADLE HEIGHTS
8/31/2005,"MANUF, SALE, POSS CONTROL SUBST -SCHED III,IV,V ",CHEADLE LOOP ROAD ,CHEADLE HEIGHTS
9/6/2005,"MANUF, SALE, POSS CONTROL SUBST -SCHED III,IV,V ",CHEADLE LOOP ROAD ,CHEADLE HEIGHTS
9/10/2005,PETIT LARCENY ,CHEADLE LOOP ROAD ,CHEADLE HEIGHTS
9/28/2005,HIT & RUN ,CHEADLE LOOP ROAD ,CHEADLE HEIGHTS
10/31/2005,ARSON ,CHEADLE LOOP ROAD ,CHEADLE HEIGHTS
12/5/2005,"DAMAGE PROPERTY, PRIVATE ",CHEADLE LOOP ROAD ,CHEADLE HEIGHTS
5/2/2005,ANNOYING PHONE CALLS ,CHISMANS POINT ROAD ,CHISMANS POINT
5/29/2005,"ASSAULT, SIMPLE, DOMESTIC ",CREEK CIRCLE ,YORK POINT
6/17/2005,MISSING PERSON ,CROCKETT ROAD ,EVERGREEN SHORES
8/19/2005,CITIZEN REQUESTED ASSISTANCE ,CROCKETT ROAD ,EVERGREEN SHORES
9/4/2005,DRUNK IN PUBLIC ,CROCKETT ROAD ,EVERGREEN SHORES
5/6/2005,"ASSAULT, SIMPLE, DOMESTIC ",DE ALBA LANE ,SEAFORD
1/28/2005,"BURGLARY, RESIDENTIAL ",EVERGREEN CIRCLE ,EVERGREEN SHORES
1/28/2005,GRAND LARCENY ,EVERGREEN CIRCLE ,EVERGREEN SHORES
2/6/2005,CURSING/OBSCENE LANGUAGE ,FALCON DRIVE ,BETHEL MANOR
9/4/2005,"ASSAULT, SIMPLE, DOMESTIC ",FOX LANE ,SEAFORD
9/15/2005,"DAMAGE PROPERTY, PRIVATE ",GEORGE WASH MEM HWY & GOODWIN NECK RD ,GRAFTON
9/28/2005,CITIZEN REQUESTED ASSISTANCE ,GEORGE WASHINGTON MEMORIAL HIGHWAY ,
11/13/2005,RUNAWAY JUVENILE ,HERITAGE PLACE ,HERITAGE HAMLET
12/31/2005,"ASSAULT, SIMPLE, DOMESTIC ",HERITAGE PLACE ,HERITAGE HAMLET
7/25/2005,"DAMAGE PROPERTY, PRIVATE ",HOLMES BOULEVARD ,WILLOW LAKES
6/25/2005,CITIZEN REQUESTED ASSISTANCE ,JOANNE DRIVE ,CHEADLE HEIGHTS
8/17/2005,"DAMAGE PROPERTY, PRIVATE ",JOANNE DRIVE ,CHEADLE HEIGHTS
12/17/2005,CITIZEN REQUESTED ASSISTANCE ,KENNETH DRIVE ,SAFORD SHORES
8/10/2005,GRAND LARCENY ,LANDING ROAD ,SEAFORD
9/7/2005,OBSCENE/THREATENING PHONE CALL ,LANDING ROAD ,SEAFORD
10/18/2005,ANNOYING PHONE CALLS ,LANDING ROAD ,SEAFORD
10/18/2005,ANNOYING PHONE CALLS ,LANDING ROAD ,SEAFORD
10/18/2005,STALKING ,LANDING ROAD ,SEAFORD
10/18/2005,STALKING ,LANDING ROAD ,SEAFORD
10/22/2005,ANNOYING PHONE CALLS ,LANDING ROAD ,SEAFORD
5/1/2005,"ASSAULT, SIMPLE, DOMESTIC ",LEWIS DRIVE ,SEAFORD
5/1/2005,"ASSAULT, SIMPLE, DOMESTIC ",LEWIS DRIVE ,SEAFORD
10/2/2005,"DAMAGE PROPERTY, PRIVATE ",LEWIS DRIVE ,SEAFORD
10/13/2005,"DAMAGE PROPERTY, PRIVATE ",LEWIS DRIVE ,SEAFORD
8/23/2005,CITIZEN REQUESTED ASSISTANCE ,LUDLOW DRIVE ,SOMMERVILLE
1/31/2005,DEAD ON ARRIVAL ,MASTIN AVENUE ,HERITAGE HAMLET
3/17/2005,TRESPASSING ,MC PHERSON COURT ,SOMMERVILLE
5/9/2005,"LARCENY,FROM MOTOR VEHICLE ",MC PHERSON COURT ,SOMMERVILLE
6/23/2005,CREDIT CARD FRAUD ,MC PHERSON COURT ,SOMMERVILLE
11/23/2005,CITIZEN REQUESTED ASSISTANCE ,MC PHERSON COURT ,SOMMERVILLE
3/18/2005,"ASSAULT, SIMPLE, DOMESTIC ",MELODY LANE ,MELODY HEIGHTS
12/28/2005,RUNAWAY JUVENILE ,MELODY LANE ,MELODY HEIGHTS
10/11/2005,"DAMAGE PROPERTY, PRIVATE ",MUSTANG COURT ,BETHEL MANOR
6/20/2005,GRAND LARCENY ,OLD SEAFORD ROAD ,SEAFORD
4/19/2005,PEEPING INTO OCCUPIED DWELLING ,PAMELA PLACE ,HERITAGE HAMLET
9/9/2005,DEAD ON ARRIVAL ,PARK LANE ,YORKSHIRE PARK
6/16/2005,"ASSAULT, SIMPLE, DOMESTIC ",PARKER LANE ,SEAFORD
6/17/2005,MISSING PERSON ,PARKER LANE ,SEAFORD
8/26/2005,"BURGLARY, RESIDENTIAL ",PRESSON ROAD ,SEAFORD
8/26/2005,"DAMAGE PROPERTY, PRIVATE ",PRESSON ROAD ,SEAFORD
8/26/2005,GRAND LARCENY ,PRESSON ROAD ,SEAFORD
11/9/2005,ABUSE AND NEGLECT OF CHILDREN ,PRESSON ROAD ,SEAFORD
4/26/2005,"DAMAGE PROPERTY, PRIVATE ",PUTNAM DRIVE ,ROBANNA SHORES
5/10/2005,CITIZEN REQUESTED ASSISTANCE ,RAYMOND DRIVE ,SEAFORD SHORES
9/23/2005,"ASSAULT, SIMPLE, DOMESTIC ",RAYMOND DRIVE ,SEAFORD SHORES
9/23/2005,CITIZEN REQUESTED ASSISTANCE ,RAYMOND DRIVE ,SEAFORD SHORES
11/22/2005,DRUNK IN PUBLIC ,RAYMOND DRIVE ,SEAFORD SHORES
12/7/2005,LOST PROPERTY ,RAYMOND DRIVE ,SEAFORD SHORES
12/21/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,RAYMOND DRIVE ,SEAFORD SHORES
12/21/2005,RECKLESS - GENERAL ,RAYMOND DRIVE ,SEAFORD SHORES
12/21/2005,REFUSE BLOOD/BREATH TEST ,RAYMOND DRIVE ,SEAFORD SHORES
3/30/2005,UNAUTHORIZED USE OF VEHICLE ,ROBANNA DRIVE ,ROBANNA SHORES
2/10/2005,FAILURE TO PERFORM CONSTRUCTION AFTER ADVANCE ,SEAFORD RD ,
1/14/2005,COMPUTER FRAUD >=$200 ,SEAFORD ROAD ,
1/18/2005,CITIZEN REQUESTED ASSISTANCE ,SEAFORD ROAD ,
4/11/2005,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,
7/16/2005,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,
7/16/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,SEAFORD ROAD ,
7/16/2005,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,SEAFORD ROAD ,
7/26/2005,"ASSAULT, SIMPLE ",SEAFORD ROAD ,
7/27/2005,GRAND LARCENY ,SEAFORD ROAD ,
9/1/2005,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",SEAFORD ROAD ,
9/5/2005,"ASSAULT, SIMPLE ",SEAFORD ROAD ,
9/10/2005,CITIZEN REQUESTED ASSISTANCE ,SEAFORD ROAD ,
9/20/2005,GRAND LARCENY ,SEAFORD ROAD ,
9/29/2005,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,
10/9/2005,CITIZEN REQUESTED ASSISTANCE ,SEAFORD ROAD ,
11/4/2005,CITIZEN REQUESTED ASSISTANCE ,SEAFORD ROAD ,
12/5/2005,"ASSAULT, SIMPLE, DOMESTIC ",SEAFORD ROAD ,
8/17/2005,"DAMAGE PROPERTY, PRIVATE ",SHARON DRIVE ,
8/17/2005,"DAMAGE PROPERTY, PRIVATE ",SHARON DRIVE ,
8/17/2005,PETIT LARCENY ,SHARON DRIVE ,
4/7/2005,BAD CHECKS ,SHIRLEY ROAD ,
6/13/2005,"BURGLARY, RESIDENTIAL ",SIMMONS DRIVE ,
8/10/2005,MOTOR VEHICLE THEFT ,SIMMONS DRIVE ,
5/6/2005,"BURGLARY, RESIDENTIAL ",SOMMERVILLE WAY ,
7/18/2005,"DAMAGE PROPERTY, PRIVATE ",SOMMERVILLE WAY ,
8/29/2005,"DAMAGE PROPERTY, PRIVATE ",SOMMERVILLE WAY ,
9/3/2005,"DAMAGE PROPERTY, PRIVATE ",SOMMERVILLE WAY ,
10/1/2005,CITIZEN REQUESTED ASSISTANCE ,SOMMERVILLE WAY ,
12/17/2005,CITIZEN REQUESTED ASSISTANCE ,SOMMERVILLE WAY ,
10/28/2005,"DAMAGE PROPERTY, BUSINESS ",SOMMERVILLE WAY AND RAYMOND DRIVE ,
6/27/2005,CITIZEN REQUESTED ASSISTANCE ,SPARRER ROAD ,
4/21/2005,DEATH INVESTIGATION ,SUNSET DRIVE ,
3/25/2005,"DEATH, SUICIDE ",TRAVIS CIRCLE ,
1/13/2005,"ASSAULT, SIMPLE, DOMESTIC ",VISTA DRIVE ,
6/2/2005,CITIZEN REQUESTED ASSISTANCE ,VISTA DRIVE ,
6/30/2005,CREDIT CARD FRAUD ,VISTA DRIVE ,
6/30/2005,IDENTITY FRAUD ,VISTA DRIVE ,
3/27/2005,DEATH INVESTIGATION ,WILDEY ROAD ,
10/19/2005,CITIZEN REQUESTED ASSISTANCE ,WILDEY ROAD ,
12/20/2005,"ASSAULT, SIMPLE ",WILDEY ROAD ,
12/20/2005,"DAMAGE PROPERTY, PRIVATE ",WILDEY ROAD ,
3/22/2005,RUNAWAY JUVENILE ,WINSOME HAVEN DRIVE ,
3/23/2005,CITIZEN REQUESTED ASSISTANCE ,WINSOME HAVEN DRIVE ,
4/11/2005,RUNAWAY JUVENILE ,WINSOME HAVEN DRIVE ,
10/17/2005,CITIZEN REQUESTED ASSISTANCE ,WINSOME HAVEN DRIVE ,
11/30/2005,LOST PROPERTY ,WINSOME HAVEN DRIVE ,
12/1/2005,CITIZEN REQUESTED ASSISTANCE ,WINSOME HAVEN DRIVE ,
11/7/2005,DAMAGE PROPERTY ,WORNOM DRIVE ,
4/11/2005,CREDIT CARD FRAUD ,YORK POINT DRIVE ,
4/11/2005,CREDIT CARD FRAUD ,YORK POINT DRIVE ,
4/11/2005,CREDIT CARD FRAUD ,YORK POINT DRIVE ,
4/11/2005,IDENTITY FRAUD ,YORK POINT DRIVE ,
4/11/2005,IDENTITY FRAUD ,YORK POINT DRIVE ,
4/12/2005,CREDIT CARD FRAUD ,YORK POINT DRIVE ,
4/12/2005,CREDIT CARD FRAUD ,YORK POINT DRIVE ,
4/12/2005,CREDIT CARD FRAUD ,YORK POINT DRIVE ,
4/12/2005,CREDIT CARD FRAUD ,YORK POINT DRIVE ,
4/12/2005,CREDIT CARD FRAUD ,YORK POINT DRIVE ,
4/12/2005,CREDIT CARD FRAUD ,YORK POINT DRIVE ,
4/12/2005,CREDIT CARD FRAUD ,YORK POINT DRIVE ,
5/19/2005,"DAMAGE PROPERTY, PRIVATE ",YORK POINT DRIVE ,
10/29/2005,DEAD ON ARRIVAL ,YORK POINT DRIVE ,
8/31/2005,TRESPASSING ,YORK POINT ROAD,
