FIPPS,LOCALITY,COURT,Fines/Cost/ Interest Assessed,Amount sent to Collections,Collection Agent Remittance,Court Receipts,Court %
045,CRAIG,JUVENILE,0.00,0.00,0.00,0.00,0.00%
045,CRAIG,COMBINED,"62,030.94","12,184.70",0.00,"48,295.44",77.86%
047,CULPEPER,CIRCUIT,"627,268.92","136,511.59",0.00,"430,259.73",68.59%
047,CULPEPER,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
047,CULPEPER,JUVENILE,0.00,0.00,0.00,0.00,0.00%
047,CULPEPER,COMBINED,"1,495,144.46","291,586.48",0.00,"1,140,489.61",76.28%
049,CUMBERLAND,CIRCUIT,"98,342.71","22,702.92",0.00,"55,139.59",56.07%
049,CUMBERLAND,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
049,CUMBERLAND,JUVENILE,0.00,0.00,0.00,0.00,0.00%
049,CUMBERLAND,COMBINED,"210,109.53","46,016.75",0.00,"162,816.81",77.49%
051,DICKENSON,CIRCUIT,"184,766.42","112,479.08",0.00,"99,975.98",54.11%
051,DICKENSON,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
051,DICKENSON,JUVENILE,0.00,0.00,0.00,0.00,0.00%
051,DICKENSON,COMBINED,"322,023.62","112,336.66",0.00,"219,909.03",68.29%
053,DINWIDDIE,CIRCUIT,"505,663.90","244,275.82",0.00,"238,978.99",47.26%
053,DINWIDDIE,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
053,DINWIDDIE,JUVENILE,0.00,0.00,0.00,0.00,0.00%
053,DINWIDDIE,COMBINED,"1,323,682.05","401,705.02",0.00,"865,828.32",65.41%
057,ESSEX,CIRCUIT,"242,478.25","17,012.19",0.00,"186,205.10",76.79%
057,ESSEX,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
057,ESSEX,JUVENILE,0.00,0.00,0.00,0.00,0.00%
057,ESSEX,COMBINED,"950,937.80","133,431.28",0.00,"822,272.65",86.47%
059,FAIRFAX\FX CITY,CIRCUIT,"11,084,522.59",0.00,0.00,"10,901,408.95",98.35%
059,FAIRFAX\FX CITY,GENERAL DISTRICT,"23,356,611.01","4,184,833.57",0.00,"18,079,640.41",77.41%
059,FAIRFAX\FX CITY,JUVENILE,"731,632.40","189,316.72",0.00,"515,003.17",70.39%
059,FAIRFAX\FX CITY,COMBINED,0.00,0.00,0.00,0.00,0.00%
061,FAUQUIER,CIRCUIT,"1,226,810.69","246,392.29",0.00,"1,006,605.41",82.05%
061,FAUQUIER,GENERAL DISTRICT,"2,434,794.07","364,440.60",0.00,"2,034,292.00",83.55%
061,FAUQUIER,JUVENILE,"89,851.73","22,907.14",0.00,"58,587.46",65.20%
061,FAUQUIER,COMBINED,0.00,0.00,0.00,0.00,0.00%
063,FLOYD,CIRCUIT,"108,897.41","36,782.39",0.00,"87,424.19",80.28%
063,FLOYD,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
063,FLOYD,JUVENILE,0.00,0.00,0.00,0.00,0.00%
063,FLOYD,COMBINED,"118,513.92","18,364.82",0.00,"96,639.50",81.54%
065,FLUVANNA,CIRCUIT,"194,208.44","41,841.14",0.00,"93,541.68",48.17%
065,FLUVANNA,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
065,FLUVANNA,JUVENILE,0.00,0.00,0.00,0.00,0.00%
065,FLUVANNA,COMBINED,"324,189.53","58,603.03",0.00,"240,912.94",74.31%
067,FRANKLIN,CIRCUIT,"610,661.10","334,210.29",0.00,"327,990.53",53.71%
067,FRANKLIN,GENERAL DISTRICT,"871,659.30","190,882.19",0.00,"645,986.25",74.11%
067,FRANKLIN,JUVENILE,"71,681.83","22,298.34",0.00,"34,509.54",48.14%
067,FRANKLIN,COMBINED,0.00,0.00,0.00,0.00,0.00%
069,FREDERICK,CIRCUIT,"732,950.94","224,810.35",0.00,"514,712.45",70.22%
069,FREDERICK,GENERAL DISTRICT,"1,730,209.70","370,495.19",0.00,"1,284,734.72",74.25%
069,FREDERICK,JUVENILE,"83,813.80","15,732.04",0.00,"58,896.32",70.27%
069,FREDERICK,COMBINED,0.00,0.00,0.00,0.00,0.00%
071,GILES,CIRCUIT,"379,574.98","150,874.24",0.00,"205,797.92",54.22%
071,GILES,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
071,GILES,JUVENILE,0.00,0.00,0.00,0.00,0.00%
071,GILES,COMBINED,"705,392.45","150,925.26",0.00,"573,225.00",81.26%
073,GLOUCESTER,CIRCUIT,"369,234.99","203,505.76",0.00,"193,719.25",52.47%
073,GLOUCESTER,GENERAL DISTRICT,"743,693.79","154,374.38",0.00,"597,532.71",80.35%
073,GLOUCESTER,JUVENILE,"67,272.57","24,494.88",0.00,"42,460.30",63.12%
073,GLOUCESTER,COMBINED,0.00,0.00,0.00,0.00,0.00%
075,GOOCHLAND,CIRCUIT,"300,916.86","93,817.49",0.00,"128,834.34",42.81%
075,GOOCHLAND,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
075,GOOCHLAND,JUVENILE,0.00,0.00,0.00,0.00,0.00%
075,GOOCHLAND,COMBINED,"660,324.59","85,102.87",0.00,"561,220.66",84.99%
077,GRAYSON\GALAX,CIRCUIT,"363,875.22","39,022.38",0.00,"178,168.53",48.96%
077,GRAYSON\GALAX,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
077,GRAYSON\GALAX,JUVENILE,0.00,0.00,0.00,0.00,0.00%
077,GRAYSON\GALAX,COMBINED,"247,294.49","63,154.34",0.00,"172,080.66",69.59%
079,GREENE,CIRCUIT,"408,227.94","35,307.88",0.00,"340,835.58",83.49%
079,GREENE,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
079,GREENE,JUVENILE,0.00,0.00,0.00,0.00,0.00%
079,GREENE,COMBINED,"824,788.56","92,630.77",0.00,"695,375.43",84.31%
081,GREENESVILLE,CIRCUIT,"2,273,747.71","279,860.64",0.00,"2,033,950.33",89.45%
081,GREENESVILLE,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
081,GREENESVILLE,JUVENILE,0.00,0.00,0.00,0.00,0.00%
081,GREENESVILLE,COMBINED,"3,491,975.30","756,437.22",0.00,"2,648,496.53",75.85%
083,HALIFAX,CIRCUIT,"571,429.75","197,717.50",0.00,"268,114.47",46.92%
083,HALIFAX,GENERAL DISTRICT,"864,532.53","165,023.22",0.00,"642,329.91",74.30%
083,HALIFAX,JUVENILE,"20,604.76","10,231.88",0.00,"10,169.71",49.36%
083,HALIFAX,COMBINED,0.00,0.00,0.00,0.00,0.00%
085,HANOVER,CIRCUIT,"1,425,030.34","617,459.43",0.00,"852,140.17",59.80%
085,HANOVER,GENERAL DISTRICT,"2,462,687.94","528,743.62",0.00,"1,820,484.91",73.92%
085,HANOVER,JUVENILE,"115,570.82","27,358.25",0.00,"86,198.48",74.58%
085,HANOVER,COMBINED,0.00,0.00,0.00,0.00,0.00%
087,HENRICO,CIRCUIT,"5,355,554.19","2,411,859.10",0.00,"3,132,125.51",58.48%
087,HENRICO,GENERAL DISTRICT,"7,193,735.93","1,930,704.99",0.00,"5,255,647.65",73.06%
087,HENRICO,JUVENILE,"329,956.30","165,335.07",0.00,"171,065.29",51.84%
087,HENRICO,COMBINED,0.00,0.00,0.00,0.00,0.00%
089,HENRY,CIRCUIT,"752,318.85","364,490.30",0.00,"357,526.12",47.52%
089,HENRY,GENERAL DISTRICT,"1,204,556.57","282,478.79",0.00,"813,661.64",67.55%
089,HENRY,JUVENILE,"124,455.18","57,251.58",0.00,"50,563.46",40.63%
089,HENRY,COMBINED,0.00,0.00,0.00,0.00,0.00%
091,HIGHLAND,CIRCUIT,"33,951.36","9,015.25",0.00,"28,230.87",83.15%
091,HIGHLAND,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
091,HIGHLAND,JUVENILE,0.00,0.00,0.00,0.00,0.00%
091,HIGHLAND,COMBINED,"91,526.55","7,135.49",0.00,"80,094.66",87.51%
093,ISLE OF WIGHT,CIRCUIT,"471,171.21","169,354.72",0.00,"304,266.63",64.58%
093,ISLE OF WIGHT,GENERAL DISTRICT,"875,882.20","196,997.36",0.00,"667,650.20",76.23%
093,ISLE OF WIGHT,JUVENILE,"52,351.79","16,572.33",0.00,"30,865.87",58.96%
093,ISLE OF WIGHT,COMBINED,0.00,0.00,0.00,0.00,0.00%
097,KING & QUEEN,CIRCUIT,"222,937.38","29,121.14",0.00,"190,132.47",85.29%
097,KING & QUEEN,GENERAL DISTRICT,"448,896.71","72,650.26",0.00,"395,536.67",88.11%
097,KING & QUEEN,JUVENILE,"17,297.50","6,296.26",0.00,"10,925.40",63.16%
097,KING & QUEEN,COMBINED,0.00,0.00,0.00,0.00,0.00%
099,KING GEORGE,CIRCUIT,"622,035.91","48,998.85",0.00,"511,331.18",82.20%
099,KING GEORGE,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
099,KING GEORGE,JUVENILE,0.00,0.00,0.00,0.00,0.00%
099,KING GEORGE,COMBINED,"708,915.55","126,134.06",0.00,"556,516.44",78.50%
101,KING WILLIAM,CIRCUIT,"252,479.71","42,728.70",0.00,"193,789.05",76.75%
101,KING WILLIAM,GENERAL DISTRICT,"415,289.88","89,361.57",0.00,"321,475.12",77.41%
101,KING WILLIAM,JUVENILE,"24,516.88","10,098.51",0.00,"15,421.07",62.90%
101,KING WILLIAM,COMBINED,0.00,0.00,0.00,0.00,0.00%
103,LANCASTER,CIRCUIT,"251,835.83","164,959.05",0.00,"93,284.06",37.04%
103,LANCASTER,GENERAL DISTRICT,"273,804.80","45,118.60",0.00,"217,610.58",79.48%
103,LANCASTER,JUVENILE,"19,307.62","5,515.00",0.00,"12,151.79",62.94%
103,LANCASTER,COMBINED,0.00,0.00,0.00,0.00,0.00%
105,LEE,CIRCUIT,"639,921.11","684,959.15",0.00,"116,497.45",18.20%
105,LEE,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
105,LEE,JUVENILE,0.00,0.00,0.00,0.00,0.00%
105,LEE,COMBINED,"478,304.44","188,903.92",0.00,"264,301.91",55.26%
107,LOUDOUN,CIRCUIT,"3,825,306.63","192,810.57",0.00,"3,230,258.21",84.44%
107,LOUDOUN,GENERAL DISTRICT,"4,995,540.61","674,262.52",0.00,"4,275,736.33",85.59%
107,LOUDOUN,JUVENILE,"110,765.78","24,598.50",0.00,"84,943.62",76.69%
107,LOUDOUN,COMBINED,0.00,0.00,0.00,0.00,0.00%
109,LOUISA,CIRCUIT,"501,099.64","82,416.79",0.00,"214,064.18",42.72%
109,LOUISA,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
109,LOUISA,JUVENILE,0.00,0.00,0.00,0.00,0.00%
109,LOUISA,COMBINED,"805,735.79","153,125.14",0.00,"613,600.80",76.15%
111,LUNENBURG,CIRCUIT,"176,851.06","107,030.80",0.00,"76,055.01",43.01%
111,LUNENBURG,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
111,LUNENBURG,JUVENILE,0.00,0.00,0.00,0.00,0.00%
111,LUNENBURG,COMBINED,"310,985.17","77,522.85",0.00,"231,912.89",74.57%
113,MADISON,CIRCUIT,"562,869.90","22,468.23",0.00,"534,694.92",94.99%
113,MADISON,GENERAL DISTRICT,0.00,0.00,0.00,0.00,0.00%
113,MADISON,JUVENILE,0.00,0.00,0.00,0.00,0.00%
113,MADISON,COMBINED,"1,322,134.60","113,195.72",0.00,"1,189,285.67",89.95%
115,MATHEWS,CIRCUIT,"84,783.22","40,695.36",0.00,"63,772.12",75.22%
115,MATHEWS,GENERAL DISTRICT,"100,193.63","28,295.67",0.00,"75,106.01",74.96%
115,MATHEWS,JUVENILE,"15,193.39","6,409.69",0.00,"6,335.50",41.70%
115,MATHEWS,COMBINED,0.00,0.00,0.00,0.00,0.00%
117,MECKLENBURG,CIRCUIT,"679,432.69","192,614.26",0.00,"456,039.03",67.12%
117,MECKLENBURG,GENERAL DISTRICT,"2,226,686.86","483,032.38",0.00,"1,646,818.00",73.96%
117,MECKLENBURG,JUVENILE,"48,958.63","17,865.50",0.00,"28,039.84",57.27%
117,MECKLENBURG,COMBINED,0.00,0.00,0.00,0.00,0.00%
119,MIDDLESEX,CIRCUIT,"112,459.91","64,674.04",0.00,"81,564.66",72.53%
119,MIDDLESEX,GENERAL DISTRICT,"317,405.45","69,214.02",0.00,"266,824.21",84.06%
119,MIDDLESEX,JUVENILE,"19,812.09","6,473.85",0.00,"8,744.42",44.14%
119,MIDDLESEX,COMBINED,0.00,0.00,0.00,0.00,0.00%
121,MONTGOMERY,CIRCUIT,"1,090,432.95","497,764.50",0.00,"650,899.67",59.69%
121,MONTGOMERY,GENERAL DISTRICT,"2,676,169.50","639,481.07",0.00,"2,218,155.24",82.89%
121,MONTGOMERY,JUVENILE,"83,710.64","29,252.10",0.00,"47,888.20",57.21%
121,MONTGOMERY,COMBINED,0.00,0.00,0.00,0.00,0.00%
125,NELSON,CIRCUIT,"167,950.02","65,257.16",0.00,"85,290.23",50.78%
125,NELSON,GENERAL DISTRICT,"516,108.02","61,720.32",0.00,"423,844.66",82.12%
125,NELSON,JUVENILE,"34,313.94","13,158.33",0.00,"17,522.72",51.07%
125,NELSON,COMBINED,0.00,0.00,0.00,0.00,0.00%
127,NEW KENT,CIRCUIT,"208,319.25","66,616.22",0.00,"151,507.60",72.73%
127,NEW KENT,GENERAL DISTRICT,"990,274.90","245,952.94",0.00,"758,418.34",76.59%
127,NEW KENT,JUVENILE,"55,097.39","7,718.69",0.00,"21,011.22",38.13%
127,NEW KENT,COMBINED,0.00,0.00,0.00,0.00,0.00%
131,NORTHAMPTON,CIRCUIT,"309,979.42","118,684.39",0.00,"143,482.11",46.29%
131,NORTHAMPTON,GENERAL DISTRICT,"1,232,638.15","464,440.40",0.00,"813,720.41",66.01%
131,NORTHAMPTON,JUVENILE,"126,015.58","7,650.00",0.00,"4,017.73",3.19%
131,NORTHAMPTON,COMBINED,-,-,0.00,-,0.00%
