tractcode,state,sta,county,countyname,tract,hhuniv,estimated_number_foreclosures,estimated_number_mortgages,estimated_foreclosure_rate,total_90_day_vacant_residential_addresses,total_residential_addresses,estimated_90_day_vacancy_rate,total_hicost_2004_to_2006_HMDA_loans,total_2004_to_2006_HMDA_loans,estimated_hicost_loan_rate,bls_unemployment_rate,ofheo_price_change
51013101800,51,VA,013,Arlington County,101800,"5,182",13,"2,275",0.6%,21,"7,153",0.3%,55,"1,499",3.7%,2.6%,-9.1%
51013101900,51,VA,013,Arlington County,101900,976,4,472,0.8%,12,944,1.3%,17,311,5.5%,2.6%,-9.1%
51013102000,51,VA,013,Arlington County,102000,"3,916",7,819,0.9%,21,"4,017",0.5%,29,540,5.4%,2.6%,-9.1%
51013102100,51,VA,013,Arlington County,102100,860,8,472,1.7%,4,926,0.4%,35,311,11.3%,2.6%,-9.1%
51013102200,51,VA,013,Arlington County,102200,"2,466",52,"1,549",3.4%,4,"2,725",0.1%,226,"1,021",22.1%,2.6%,-9.1%
51013102300,51,VA,013,Arlington County,102300,"2,026",28,"1,331",2.1%,12,"2,086",0.6%,121,877,13.8%,2.6%,-9.1%
51013102400,51,VA,013,Arlington County,102400,"1,536",11,789,1.4%,4,"1,621",0.2%,49,520,9.4%,2.6%,-9.1%
51013102500,51,VA,013,Arlington County,102500,"2,011",12,589,2.0%,4,"2,078",0.2%,53,388,13.7%,2.6%,-9.1%
51013102600,51,VA,013,Arlington County,102600,"1,129",15,562,2.7%,4,"1,151",0.3%,67,370,18.1%,2.6%,-9.1%
51013102700,51,VA,013,Arlington County,102700,"2,199",5,225,2.2%,22,"2,251",1.0%,21,148,14.2%,2.6%,-9.1%
51013102800,51,VA,013,Arlington County,102800,"3,484",67,"2,474",2.7%,4,"3,573",0.1%,294,"1,630",18.0%,2.6%,-9.1%
51013102900,51,VA,013,Arlington County,102900,"3,782",19,"2,578",0.7%,8,"4,268",0.2%,81,"1,699",4.8%,2.6%,-9.1%
51013103000,51,VA,013,Arlington County,103000,"1,702",8,"1,281",0.6%,4,"1,735",0.2%,36,844,4.3%,2.6%,-9.1%
51013103100,51,VA,013,Arlington County,103100,"1,566",51,"1,213",4.2%,37,"1,546",2.4%,223,799,27.9%,2.6%,-9.1%
51013103200,51,VA,013,Arlington County,103200,"3,637",20,"1,317",1.5%,269,"3,849",7.0%,88,868,10.1%,2.6%,-9.1%
51013103300,51,VA,013,Arlington County,103300,488,4,185,2.2%,11,395,2.8%,16,122,13.1%,2.6%,-9.1%
51013103401,51,VA,013,Arlington County,103401,177,0,26,0.0%,0,"1,307",0.0%,0,17,0.0%,2.6%,-9.1%
51013103402,51,VA,013,Arlington County,103402,"2,006",2,238,0.8%,0,"2,943",0.0%,7,157,4.5%,2.6%,-9.1%
51013103500,51,VA,013,Arlington County,103500,"4,866",5,735,0.7%,220,"7,029",3.1%,23,484,4.8%,2.6%,-9.1%
51013103600,51,VA,013,Arlington County,103600,"1,781",6,571,1.1%,17,"1,832",0.9%,25,376,6.6%,2.6%,-9.1%
51013103700,51,VA,013,Arlington County,103700,"1,002",7,823,0.9%,4,"1,412",0.3%,32,542,5.9%,2.6%,-9.1%
51013103800,51,VA,013,Arlington County,103800,"1,407",11,498,2.2%,103,"2,573",4.0%,48,328,14.6%,2.6%,-9.1%
51015070100,51,VA,015,Augusta County,070100,"1,203",13,305,4.3%,0,807,0.0%,66,201,32.8%,3.8%,0.0%
51015070200,51,VA,015,Augusta County,070200,"1,379",11,448,2.5%,0,"1,564",0.0%,64,295,21.7%,3.8%,0.0%
51015070300,51,VA,015,Augusta County,070300,"1,755",30,"1,247",2.4%,0,"2,094",0.0%,173,822,21.0%,3.8%,0.0%
51015070400,51,VA,015,Augusta County,070400,"1,930",20,596,3.4%,0,"1,865",0.0%,106,393,27.0%,3.8%,0.0%
51015070500,51,VA,015,Augusta County,070500,"1,816",21,686,3.1%,1,"1,901",0.1%,113,452,25.0%,3.8%,0.0%
51015070600,51,VA,015,Augusta County,070600,"2,529",28,"1,572",1.8%,0,"3,264",0.0%,174,"1,036",16.8%,3.8%,0.0%
51015070700,51,VA,015,Augusta County,070700,"2,473",26,976,2.7%,0,"2,157",0.0%,143,643,22.2%,3.8%,0.0%
51015070800,51,VA,015,Augusta County,070800,"2,320",33,996,3.3%,0,"2,428",0.0%,178,656,27.1%,3.8%,0.0%
51015070900,51,VA,015,Augusta County,070900,"1,837",18,827,2.2%,2,"2,106",0.1%,106,545,19.4%,3.8%,0.0%
51015071000,51,VA,015,Augusta County,071000,"2,003",17,742,2.3%,0,"1,818",0.0%,98,489,20.0%,3.8%,0.0%
51015071100,51,VA,015,Augusta County,071100,"3,546",45,"1,697",2.7%,0,"4,032",0.0%,251,"1,118",22.5%,3.8%,0.0%
51015071200,51,VA,015,Augusta County,071200,"2,066",18,918,2.0%,1,"2,285",0.0%,108,605,17.9%,3.8%,0.0%
51017980100,51,VA,017,Bath County,980100,"2,053",7,308,2.3%,0,975,0.0%,42,203,20.7%,3.6%,0.0%
51019030101,51,VA,019,Bedford County,030101,"1,986",16,"1,390",1.2%,0,"2,408",0.0%,116,916,12.7%,3.7%,0.0%
51019030102,51,VA,019,Bedford County,030102,"3,238",22,"2,325",0.9%,27,"3,745",0.7%,176,"1,532",11.5%,3.7%,0.0%
51019030201,51,VA,019,Bedford County,030201,"2,015",11,"1,577",0.7%,12,"3,011",0.4%,101,"1,039",9.7%,3.7%,0.0%
51019030202,51,VA,019,Bedford County,030202,"1,906",13,728,1.8%,7,"2,131",0.3%,80,480,16.7%,3.7%,0.0%
51019030300,51,VA,019,Bedford County,030300,"1,462",7,407,1.7%,18,"1,493",1.2%,44,268,16.4%,3.7%,0.0%
51019030401,51,VA,019,Bedford County,030401,"1,210",5,310,1.6%,13,"1,272",1.0%,33,204,16.2%,3.7%,0.0%
51019030402,51,VA,019,Bedford County,030402,"2,484",19,731,2.6%,29,"2,832",1.0%,108,482,22.4%,3.7%,0.0%
51019030501,51,VA,019,Bedford County,030501,"1,409",15,574,2.6%,3,"1,596",0.2%,83,378,22.0%,3.7%,0.0%
51019030502,51,VA,019,Bedford County,030502,"1,977",19,"1,056",1.8%,0,"2,946",0.0%,117,696,16.8%,3.7%,0.0%
51019030601,51,VA,019,Bedford County,030601,"1,199",16,656,2.4%,0,"1,418",0.0%,94,432,21.8%,3.7%,0.0%
51019030602,51,VA,019,Bedford County,030602,"1,478",11,554,2.0%,4,"1,516",0.3%,67,365,18.4%,3.7%,0.0%
51019030603,51,VA,019,Bedford County,030603,"1,087",9,341,2.6%,9,"1,213",0.7%,52,225,23.1%,3.7%,0.0%
51019030604,51,VA,019,Bedford County,030604,"1,011",10,334,3.0%,7,"1,060",0.7%,55,220,25.0%,3.7%,0.0%
51019030605,51,VA,019,Bedford County,030605,"1,336",10,367,2.7%,3,"1,137",0.3%,58,242,24.0%,3.7%,0.0%
51021990100,51,VA,021,Bland County,990100,"1,406",4,194,2.1%,1,859,0.1%,19,128,14.8%,5.5%,0.0%
51021990200,51,VA,021,Bland County,990200,"1,149",4,194,2.1%,0,929,0.0%,20,128,15.6%,5.5%,0.0%
51023040100,51,VA,023,Botetourt County,040100,"1,376",12,351,3.4%,3,"1,312",0.2%,68,231,29.4%,3.4%,0.0%
51023040200,51,VA,023,Botetourt County,040200,"1,714",13,683,1.9%,0,"1,427",0.0%,83,450,18.4%,3.4%,0.0%
51023040300,51,VA,023,Botetourt County,040300,"3,120",14,"1,833",0.8%,29,"3,690",0.8%,132,"1,208",10.9%,3.4%,0.0%
51023040400,51,VA,023,Botetourt County,040400,"2,722",20,"1,232",1.6%,16,"2,641",0.6%,133,812,16.4%,3.4%,0.0%
51023040500,51,VA,023,Botetourt County,040500,"2,730",32,"1,571",2.0%,26,"2,932",0.9%,199,"1,035",19.2%,3.4%,0.0%
51025990100,51,VA,025,Brunswick County,990100,"1,507",12,212,5.7%,0,"1,572",0.0%,47,140,33.6%,6.7%,0.0%
51025990200,51,VA,025,Brunswick County,990200,"2,421",22,287,7.7%,19,"2,173",0.9%,92,189,48.7%,6.7%,0.0%
51025990300,51,VA,025,Brunswick County,990300,"2,334",17,340,5.0%,1,"2,104",0.0%,68,224,30.4%,6.7%,0.0%
51027990100,51,VA,027,Buchanan County,990100,"2,179",17,212,8.0%,4,"2,611",0.2%,73,140,52.1%,6.1%,0.0%
51027990200,51,VA,027,Buchanan County,990200,"1,438",6,70,8.6%,0,163,0.0%,26,46,56.5%,6.1%,0.0%
51027990300,51,VA,027,Buchanan County,990300,"1,503",3,39,7.7%,0,98,0.0%,13,26,50.0%,6.1%,0.0%
51027990400,51,VA,027,Buchanan County,990400,"1,150",6,85,7.1%,0,72,0.0%,25,56,44.6%,6.1%,0.0%
51027990500,51,VA,027,Buchanan County,990500,700,3,73,4.1%,0,176,0.0%,13,48,27.1%,6.1%,0.0%
51027990600,51,VA,027,Buchanan County,990600,"1,653",7,106,6.6%,0,277,0.0%,28,70,40.0%,6.1%,0.0%
51027990700,51,VA,027,Buchanan County,990700,"1,873",12,153,7.8%,0,"1,003",0.0%,52,101,51.5%,6.1%,0.0%
51029990100,51,VA,029,Buckingham County,990100,"2,399",20,370,5.4%,0,"1,020",0.0%,90,244,36.9%,5.1%,0.0%
51029990200,51,VA,029,Buckingham County,990200,"2,913",9,253,3.6%,0,7,0.0%,44,167,26.3%,5.1%,0.0%
51031020100,51,VA,031,Campbell County,020100,"3,786",43,"1,310",3.3%,122,"4,473",2.7%,217,863,25.1%,4.3%,0.0%
51031020200,51,VA,031,Campbell County,020200,"1,662",7,443,1.6%,57,"1,924",3.0%,42,292,14.4%,4.3%,0.0%
51031020300,51,VA,031,Campbell County,020300,"1,659",8,643,1.2%,10,"1,707",0.6%,51,424,12.0%,4.3%,0.0%
51031020400,51,VA,031,Campbell County,020400,"5,108",52,"1,930",2.7%,55,"5,699",1.0%,270,"1,272",21.2%,4.3%,0.0%
51031020500,51,VA,031,Campbell County,020500,"2,563",18,643,2.8%,23,"2,609",0.9%,92,424,21.7%,4.3%,0.0%
51031020600,51,VA,031,Campbell County,020600,"1,602",17,492,3.5%,15,"1,568",1.0%,84,324,25.9%,4.3%,0.0%
51031020700,51,VA,031,Campbell County,020700,"1,498",16,313,5.1%,121,"1,612",7.5%,76,206,36.9%,4.3%,0.0%
51031020800,51,VA,031,Campbell County,020800,"1,147",13,349,3.7%,0,"1,149",0.0%,64,230,27.8%,4.3%,0.0%
51031020900,51,VA,031,Campbell County,020900,"1,628",16,352,4.5%,6,"1,194",0.5%,76,232,32.8%,4.3%,0.0%
51033990100,51,VA,033,Caroline County,990100,"1,260",28,660,4.2%,0,959,0.0%,125,435,28.7%,5.2%,-0.4%
51033990200,51,VA,033,Caroline County,990200,"1,181",50,"1,053",4.7%,0,"1,586",0.0%,224,694,32.3%,5.2%,-0.4%
51033990300,51,VA,033,Caroline County,990300,"1,125",23,519,4.4%,0,693,0.0%,105,342,30.7%,5.2%,-0.4%
51033990400,51,VA,033,Caroline County,990400,655,15,344,4.4%,0,816,0.0%,70,227,30.8%,5.2%,-0.4%
51033990500,51,VA,033,Caroline County,990500,"2,837",247,"4,943",5.0%,0,"4,311",0.0%,"1,112","3,257",34.1%,5.2%,-0.4%
51033990600,51,VA,033,Caroline County,990600,967,52,873,6.0%,0,"1,119",0.0%,232,575,40.3%,5.2%,-0.4%
51035990100,51,VA,035,Carroll County,990100,"1,509",13,288,4.5%,18,"1,476",1.2%,51,190,26.8%,7.3%,0.0%
51035990200,51,VA,035,Carroll County,990200,"2,032",17,370,4.6%,0,"1,867",0.0%,66,244,27.0%,7.3%,0.0%
51035990300,51,VA,035,Carroll County,990300,"1,926",12,344,3.5%,0,"1,805",0.0%,45,227,19.8%,7.3%,0.0%
51035990400,51,VA,035,Carroll County,990400,"2,151",16,416,3.8%,1,"2,163",0.0%,59,274,21.5%,7.3%,0.0%
51035990500,51,VA,035,Carroll County,990500,"1,998",14,410,3.4%,34,"2,134",1.6%,49,270,18.1%,7.3%,0.0%
51035990600,51,VA,035,Carroll County,990600,"2,572",20,513,3.9%,2,"2,578",0.1%,74,338,21.9%,7.3%,0.0%
51036600100,51,VA,036,Charles City County,600100,985,20,446,4.5%,0,"1,223",0.0%,88,294,29.9%,5.3%,-0.4%
51036600200,51,VA,036,Charles City County,600200,812,21,352,6.0%,0,866,0.0%,91,232,39.2%,5.3%,-0.4%
51036600300,51,VA,036,Charles City County,600300,872,10,214,4.7%,0,740,0.0%,46,141,32.6%,5.3%,-0.4%
51037990100,51,VA,037,Charlotte County,990100,"2,313",28,575,4.9%,0,"2,099",0.0%,117,379,30.9%,6.1%,0.0%
51037990200,51,VA,037,Charlotte County,990200,"1,141",12,212,5.7%,0,958,0.0%,51,140,36.4%,6.1%,0.0%
51037990300,51,VA,037,Charlotte County,990300,"1,500",12,223,5.4%,0,"1,455",0.0%,52,147,35.4%,6.1%,0.0%
51041100106,51,VA,041,Chesterfield County,100106,"1,182",9,619,1.5%,5,"1,203",0.4%,55,408,13.5%,4.0%,-0.4%
51041100107,51,VA,041,Chesterfield County,100107,997,2,74,2.7%,3,"1,174",0.3%,11,49,22.4%,4.0%,-0.4%
51041100205,51,VA,041,Chesterfield County,100205,"2,449",84,"1,345",6.2%,9,"2,837",0.3%,403,886,45.5%,4.0%,-0.4%
51041100206,51,VA,041,Chesterfield County,100206,"2,109",98,"1,865",5.3%,3,"2,511",0.1%,480,"1,229",39.1%,4.0%,-0.4%
51041100207,51,VA,041,Chesterfield County,100207,"3,027",99,"2,184",4.5%,16,"3,227",0.5%,494,"1,439",34.3%,4.0%,-0.4%
51041100208,51,VA,041,Chesterfield County,100208,993,12,643,1.9%,10,"1,091",0.9%,71,424,16.7%,4.0%,-0.4%
51041100300,51,VA,041,Chesterfield County,100300,"1,030",24,422,5.7%,9,"1,052",0.9%,115,278,41.4%,4.0%,-0.4%
51041100403,51,VA,041,Chesterfield County,100403,"1,481",17,958,1.8%,6,"2,037",0.3%,98,631,15.5%,4.0%,-0.4%
51041100404,51,VA,041,Chesterfield County,100404,"1,008",8,121,6.6%,6,"1,035",0.6%,38,80,47.5%,4.0%,-0.4%
51041100405,51,VA,041,Chesterfield County,100405,825,13,232,5.6%,19,856,2.2%,61,153,39.9%,4.0%,-0.4%
51041100406,51,VA,041,Chesterfield County,100406,316,2,59,3.4%,34,649,5.2%,9,39,23.1%,4.0%,-0.4%
51041100407,51,VA,041,Chesterfield County,100407,"1,245",31,552,5.6%,18,"1,323",1.4%,149,364,40.9%,4.0%,-0.4%
51041100408,51,VA,041,Chesterfield County,100408,"2,861",60,"1,983",3.0%,0,"3,253",0.0%,316,"1,307",24.2%,4.0%,-0.4%
51041100501,51,VA,041,Chesterfield County,100501,"2,468",74,"2,381",3.1%,0,"3,241",0.0%,387,"1,569",24.7%,4.0%,-0.4%
51041100504,51,VA,041,Chesterfield County,100504,"2,851",107,"2,891",3.7%,0,"4,135",0.0%,544,"1,905",28.6%,4.0%,-0.4%
51041100505,51,VA,041,Chesterfield County,100505,"1,875",41,"1,399",2.9%,0,"2,679",0.0%,217,922,23.5%,4.0%,-0.4%
51041100506,51,VA,041,Chesterfield County,100506,"1,719",24,883,2.7%,0,"2,052",0.0%,128,582,22.0%,4.0%,-0.4%
51041100600,51,VA,041,Chesterfield County,100600,669,15,193,7.8%,101,766,13.2%,72,127,56.7%,4.0%,-0.4%
51041100701,51,VA,041,Chesterfield County,100701,"1,907",70,"1,099",6.4%,5,"2,099",0.2%,338,724,46.7%,4.0%,-0.4%
51041100702,51,VA,041,Chesterfield County,100702,562,25,417,6.0%,0,760,0.0%,119,275,43.3%,4.0%,-0.4%
51041100703,51,VA,041,Chesterfield County,100703,"2,024",59,"1,950",3.0%,0,"2,678",0.0%,311,"1,285",24.2%,4.0%,-0.4%
51041100804,51,VA,041,Chesterfield County,100804,"1,736",54,"1,121",4.8%,2,"1,929",0.1%,267,739,36.1%,4.0%,-0.4%
51041100805,51,VA,041,Chesterfield County,100805,"1,641",83,"1,414",5.9%,18,"1,833",1.0%,403,932,43.2%,4.0%,-0.4%
