ID,State,Stop - Date,Stop - Time,Location - Raw,County Name,County FIPS,Fine Grained Location,Police Department,Driver Gender,Driver Age - Raw,Driver Age,Driver Race - Raw,Driver Race,Violation - Raw,Violation,Search Conducted,Search Type - Raw,Search Type,Contraband Found,Stop Outcome,Is Arrested,Officer ID,Officer Race
VA-2006-033808,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-033809,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-033810,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-033811,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-033812,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-033813,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-033814,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-033815,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-033816,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-033817,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-033818,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-033819,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-033820,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-033821,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-033822,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,2358,White
VA-2006-033823,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-033824,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-033825,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-033826,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-033827,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-033828,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-033829,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-033830,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-033831,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-033832,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-033833,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,3923,White
VA-2006-033834,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4617,White
VA-2006-033835,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4617,White
VA-2006-033836,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4617,White
VA-2006-033837,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4617,White
VA-2006-033838,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4617,White
VA-2006-033839,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,4617,White
VA-2006-033840,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
VA-2006-033841,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
VA-2006-033842,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
VA-2006-033843,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
VA-2006-033844,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
VA-2006-033845,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
VA-2006-033846,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
VA-2006-033847,VA,2006-01-28,,84,Scott County,51169,,,,,,White,White,,,FALSE,,,FALSE,,,5903,White
