Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
Burglary,31,8,13,9,25,2,0,0,20,1,131,13,5,1,5,3,9,0,9,0,0,0,4,1,3,1,20,0,1,2,108,60,20,2,23,0,6,0,50,23,4,1,3,0,10,2,187,95,59,38,5,0,44,19,3,3,47,11,12,0,164,28,118,25,15,4,6,1,26,14,155,103,13,0,4,0,9,1,1367,471
Larceny,326,106,29,5,120,0,2,0,113,19,625,38,260,120,15,6,186,0,64,13,5,1,29,2,40,1,177,17,59,10,440,193,100,5,68,1,14,0,392,126,48,4,16,6,98,23,407,326,570,95,58,6,231,16,16,1,267,24,60,3,547,81,561,191,88,15,101,21,169,4,1065,546,123,13,45,2,210,135,7744,2175
Motor Vehicle Theft,10,18,0,0,3,0,0,2,1,1,34,5,5,4,2,3,3,0,6,1,0,0,1,0,5,3,0,0,1,0,27,13,5,0,0,0,0,0,0,0,6,2,4,0,9,2,32,31,2,7,0,0,1,0,1,0,18,1,5,1,69,15,60,18,9,1,0,0,0,0,45,19,7,9,5,0,0,0,376,156
Counterfeiting/Forgery,33,0,11,0,30,0,0,0,11,0,57,1,27,0,0,0,10,0,8,1,1,0,8,0,4,2,35,0,4,0,38,1,29,0,9,0,0,1,30,0,13,0,1,0,19,3,78,0,42,0,0,0,25,0,1,0,32,0,10,0,52,1,75,1,84,9,18,0,10,0,129,5,34,0,8,0,13,1,989,26
Fraud,90,2,7,0,22,0,0,0,28,0,110,0,37,2,0,0,39,0,12,1,2,0,7,0,0,0,34,1,6,0,66,8,45,0,13,0,7,0,61,1,24,0,6,0,13,0,109,1,128,0,2,0,50,0,2,0,47,0,15,0,131,3,95,3,27,1,32,1,34,0,202,10,34,1,22,1,23,1,1582,37
Embezzlement,56,9,1,0,12,0,1,0,12,0,51,1,38,5,1,0,8,0,4,1,3,0,4,0,3,0,21,1,1,0,54,2,27,0,5,0,0,0,28,0,7,0,6,0,8,0,53,3,21,0,1,0,9,0,3,0,10,0,3,0,15,0,54,3,14,2,9,0,11,0,95,6,7,2,5,0,20,3,681,38
Stolen Property,14,6,1,0,9,0,0,0,5,1,42,4,10,0,0,0,1,0,2,0,0,0,0,0,5,0,7,1,1,0,30,2,8,0,9,0,0,0,10,0,2,1,2,1,0,0,34,15,69,5,0,0,26,7,0,1,28,0,8,1,34,4,3,1,0,1,0,2,10,0,54,13,3,2,0,0,13,2,440,70
Vandalism,40,17,4,4,19,2,1,0,31,3,23,0,31,14,1,6,37,0,5,4,1,0,5,5,7,1,28,5,8,1,44,36,40,7,23,1,3,0,42,9,14,0,7,2,34,11,78,117,60,11,10,0,74,7,3,1,84,5,27,0,119,32,127,28,22,13,20,9,27,1,249,208,35,50,13,1,25,8,1421,619
Drug/Narcotic Offenses,323,44,139,12,208,6,6,1,189,17,1429,81,159,25,12,0,142,2,80,8,4,0,24,5,70,9,299,5,45,1,1080,119,303,8,163,3,8,2,737,57,170,13,52,7,77,13,1854,206,876,31,34,0,314,19,22,9,1053,18,175,3,2073,68,1031,101,119,9,159,22,298,7,2062,327,159,16,109,8,258,26,16315,1308
"Sex Offenses, Nonforcible",1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,9,1,3,1,0,0,1,0,1,0,3,0,0,0,2,0,0,0,0,0,1,0,2,0,7,0,1,0,0,0,2,0,45,4
Pornography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,38,0
Gambling,43,1,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,81,4
Prostitution,11,0,0,0,6,0,0,0,6,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,127,0,176,0,0,0,1,0,0,0,24,0,0,0,42,1,150,0,0,0,0,0,7,0,72,0,0,0,0,0,0,0,654,1
Bribery,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0
Weapon Law Violations,42,13,17,4,11,1,1,0,20,3,115,9,18,4,1,0,42,0,6,1,0,0,2,0,13,2,20,1,3,1,153,33,17,1,22,0,0,0,65,9,17,0,7,2,10,6,187,69,126,6,2,0,55,7,3,1,102,2,10,0,204,18,87,31,9,4,17,3,62,4,286,85,21,2,14,2,22,6,1809,330
TOTAL GROUP A,1538,337,336,46,675,17,17,3,831,71,4155,245,745,235,101,23,979,2,307,48,29,4,134,20,285,30,835,42,194,20,3172,705,828,42,584,5,66,3,2220,273,557,32,170,25,491,100,5108,1395,3286,297,144,7,1480,156,89,24,2820,117,495,10,5512,612,3615,595,563,82,561,90,1240,53,8004,2332,717,143,342,27,856,228,54081,8496
Bad Checks,20,0,87,0,26,0,0,0,473,0,80,0,29,0,0,0,244,0,29,0,0,0,1,0,13,0,30,0,70,0,19,0,212,0,37,0,1,0,111,0,13,0,0,0,19,0,0,0,111,0,0,0,12,0,7,0,34,0,121,1,22,0,12,0,24,0,56,0,39,0,90,0,7,0,0,0,82,0,2131,1
Curfew/Loitering/Vagrancy,17,1,0,3,0,0,0,0,0,2,0,44,0,47,0,0,1,80,0,22,0,0,0,0,0,7,0,0,0,2,2,332,0,1,0,8,0,1,7,2,0,0,1,5,0,0,6,507,0,0,0,0,0,22,0,9,0,25,0,0,0,10,7,10,0,0,0,0,0,104,76,859,2,4,0,0,0,0,119,2107
Disorderly Conduct,139,13,7,2,22,4,1,0,31,3,74,36,23,25,5,3,75,3,18,1,4,0,24,0,8,0,26,0,11,4,18,31,48,2,20,0,1,0,96,12,49,9,3,1,47,19,17,30,1066,121,13,0,63,12,0,1,79,4,50,0,95,100,139,136,30,14,14,22,58,5,748,228,25,1,2,3,23,5,3172,850
Driving Under Influence,458,1,117,1,144,0,24,1,155,2,588,3,242,1,58,0,170,1,54,0,1,0,42,0,51,0,162,2,70,0,487,2,217,0,50,0,61,1,251,1,195,1,114,1,98,0,284,3,539,1,107,1,86,0,14,0,156,1,127,0,169,0,331,0,120,0,109,0,249,4,1657,8,130,0,112,1,223,2,8222,39
Drunkenness,818,1,66,0,472,0,13,0,577,3,559,2,66,1,86,1,526,0,51,0,25,0,85,10,32,1,124,0,149,1,1051,5,394,0,102,0,119,3,446,1,540,9,68,0,79,0,743,17,1683,8,157,0,100,1,23,2,371,0,139,0,470,4,1842,3,171,2,174,0,161,0,3271,26,191,2,125,2,88,1,16157,106
"Family Offenses, Nonforcible",14,0,1,0,15,0,0,0,2,0,17,0,32,1,0,0,0,0,2,0,0,0,0,0,5,0,9,0,0,0,49,0,5,0,5,0,0,0,9,0,1,0,7,0,1,0,219,8,200,0,2,0,17,0,0,0,63,0,3,0,181,1,17,0,1,0,6,0,39,0,35,0,11,1,4,0,35,1,1007,12
Liquor Laws Violations,655,42,25,21,15,5,0,0,70,2,140,52,25,20,12,6,29,7,12,5,2,0,9,16,22,2,29,1,19,12,19,14,370,3,5,2,33,6,188,19,70,19,2,1,50,8,47,62,619,16,18,4,20,5,17,22,68,1,494,15,38,4,120,3,24,8,51,17,38,5,904,311,19,10,48,5,70,18,4396,769
Peeping Tom,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,35,3
Runaway,0,191,0,0,0,0,0,0,0,57,0,495,0,44,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,488,0,0,0,0,0,1,0,45,0,1,0,1,0,0,0,723,0,116,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,5,0,56,0,0,0,6,0,2249
Trespass of Real Property,313,20,47,6,50,3,0,0,246,6,237,18,25,18,10,4,183,6,34,10,7,0,45,1,14,0,68,5,6,0,214,43,49,0,28,1,1,0,241,16,51,3,2,0,16,5,130,216,932,79,16,3,121,17,13,7,667,7,21,1,427,24,457,50,29,2,42,9,111,4,588,207,22,8,6,2,22,0,5491,801
Conspiracy,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,32,1
All Other (except Traffic),502,33,160,33,808,33,26,1,952,29,2425,143,805,42,48,1,1985,52,353,23,6,0,99,4,155,2,550,24,52,2,3972,138,1660,9,277,6,12,2,1979,70,528,42,43,4,635,85,427,525,6509,1615,103,0,1889,45,16,4,3271,15,275,3,3373,37,938,126,536,26,702,28,1073,12,9498,582,661,37,55,2,1056,26,48414,3861
TOTAL GROUP B,2941,302,510,66,1566,45,64,2,2506,104,4126,793,1247,199,219,15,3214,149,558,64,46,0,305,31,300,12,1001,32,380,21,5833,1053,2958,15,524,17,229,14,3328,166,1447,84,240,13,945,117,1873,2094,11659,1956,416,8,2308,103,90,45,4710,53,1232,20,4776,180,3868,344,935,53,1154,76,1768,134,16880,2226,1068,119,352,15,1600,59,89176,10799
GRAND TOTAL,4479,639,846,112,2241,62,81,5,3337,175,8281,1038,1992,434,320,38,4193,151,865,112,75,4,439,51,585,42,1836,74,574,41,9005,1758,3786,57,1108,22,295,17,5548,439,2004,116,410,38,1436,217,6981,3489,14945,2253,560,15,3788,259,179,69,7530,170,1727,30,10288,792,7483,939,1498,135,1715,166,3008,187,24884,4558,1785,262,694,42,2456,287,143257,19295
