Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Fredericksburg PD,21651,10161.19,2200,1,11,15,17,29,61,195,6,1,71,801,77,54,131,42,2,537,340,3,0,0,9,0,47
State Police,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
Galax PD10,6873,9064.46,623,1,0,2,5,3,16,145,5,0,17,251,11,28,10,1,1,121,49,0,0,0,0,0,10
State Police,,,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Hampton PD,145708,8137.51,11857,11,37,52,123,269,240,2072,37,1,769,3637,522,167,647,189,36,2493,1248,10,1,1,10,0,543
State Police,,,79,0,0,0,0,0,3,2,0,0,0,2,2,2,42,0,2,0,23,0,0,0,0,0,6
Harrisonburg PD,44461,6594.54,2932,4,20,16,16,28,82,474,9,0,253,938,72,70,176,47,15,881,289,3,2,0,2,0,59
State Police,,,191,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,190,0,0,0,0,0,1
Hopewell PD,22556,12120.94,2734,1,15,14,29,50,85,809,13,0,180,735,124,59,83,14,11,672,242,1,0,0,3,0,92
State Police,,,43,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,33,0,0,0,0,0,2
Lexington PD,7230,2821.58,204,0,0,0,2,2,1,34,0,0,16,89,2,6,7,0,0,44,15,0,0,0,0,0,2
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynchburg PD,68758,9587.25,6592,2,44,33,64,91,217,1904,23,0,440,1999,167,78,261,47,22,1238,860,1,0,7,3,0,170
State Police,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
Manassas PD,36576,7994.31,2924,2,38,15,50,74,106,723,12,1,164,968,123,45,191,25,5,355,303,1,2,0,1,0,43
State Police,,,5,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Manassas Park PD,13910,5895.04,820,0,1,6,18,8,24,165,1,0,35,271,45,9,24,7,3,235,79,2,0,0,1,0,16
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinsville PD,14320,9636.87,1380,0,4,3,9,12,30,242,3,0,72,427,36,90,40,18,0,304,127,2,0,0,0,1,36
State Police,,,27,0,0,0,0,0,1,1,0,0,0,2,0,0,2,1,0,1,19,0,0,0,0,0,0
Newport News PD,181416,11145.1,20219,19,146,108,186,475,824,5337,87,4,1619,5346,779,337,771,134,66,4023,1978,8,8,3,127,1,938
State Police,,,68,0,0,0,1,0,4,3,0,0,0,1,1,0,24,0,2,3,35,0,1,0,0,0,2
Norfolk PD,236092,10233.3,24160,27,63,95,183,942,760,3795,76,5,1501,9006,1023,213,518,93,64,4590,1507,9,4,5,238,0,204
State Police,,,90,1,0,0,0,0,6,5,0,0,0,1,1,1,54,1,0,1,18,0,1,0,0,0,16
Norton PD,3827,9563.63,366,0,0,3,1,1,13,36,1,0,20,174,8,18,11,1,0,92,51,0,0,0,0,0,7
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petersburg PD,30479,16677.06,5083,7,47,30,29,171,232,1070,7,1,546,1326,218,123,222,13,27,1666,412,2,1,0,1,0,198
State Police,,,30,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,24,0,0,0,0,0,2
Poquoson PD,11852,2792.78,331,0,1,0,0,1,14,70,1,0,25,104,4,4,7,1,1,93,31,0,1,0,0,0,6
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Portsmouth PD,98733,12171.21,12017,18,92,37,30,339,485,2961,12,0,1088,3611,355,138,254,61,41,3100,1235,3,5,12,27,0,443
State Police,,,10,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,6,0,0,0,0,0,0
Radford PD0,15319,9804.82,1502,1,5,8,7,7,39,333,5,1,113,405,28,23,70,7,10,362,267,2,2,0,0,0,26
State Police,,,7,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Richmond PD,192032,13096.25,25149,77,122,75,130,993,917,4903,70,6,2271,6421,1476,295,548,64,23,4890,2808,3,1,1,84,0,818
State Police,,,44,0,1,0,0,1,1,4,0,0,0,3,0,3,1,0,0,0,33,0,0,0,0,0,3
Roanoke PD,92328,15097.26,13939,12,49,60,61,222,668,3850,36,4,1000,4029,442,224,396,99,7,2465,1528,5,5,1,144,1,335
State Police,,,57,0,0,0,0,0,1,0,0,0,0,1,1,0,26,0,1,1,24,0,0,0,0,0,2
Salem PD,24673,6038.99,1490,0,4,3,7,16,12,271,1,1,91,609,32,76,67,30,1,424,155,0,0,0,0,0,27
State Police,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0
Staunton PD,22649,9448.54,2140,0,7,5,4,12,35,348,11,0,115,649,37,114,149,28,12,522,201,1,0,0,2,0,49
State Police,,,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,0,0,0,0,0,0
Suffolk PD,79524,8023.99,6381,8,36,25,52,107,263,1815,27,0,434,2006,148,114,183,36,13,1207,481,3,3,1,7,0,203
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Virginia Beach PD,433549,7273,31532,19,84,116,223,687,446,7035,165,8,2062,10235,599,374,1150,246,73,6521,3178,20,12,2,76,0,805
State Police,,,95,0,0,0,0,0,2,0,0,0,0,0,2,6,41,0,0,0,39,0,0,0,0,0,13
Waynesboro PD,20006,8777.37,1756,0,6,4,23,13,87,404,11,1,107,506,42,90,114,15,5,377,148,1,1,0,0,1,52
State Police,,,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,44,0,0,0,0,0,0
Williamsburg PD,13330,4673.67,623,3,10,5,6,8,11,161,0,0,22,208,14,15,42,9,0,88,97,0,0,0,0,0,19
State Police,,,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1
Winchester PD,25996,12609.63,3278,0,12,5,24,48,53,832,5,1,204,1167,75,90,122,39,52,748,425,3,1,0,8,0,66
State Police,,,140,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,137,0,1,0,0,0,2
