Date ,Report Type ,Street ,Sub-Division
10/27/2005,RUNAWAY JUVENILE ,EAST ROCHAMBEAU DRIVE ,BRUTON
10/29/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
11/2/2005,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,BRUTON
11/9/2005,RUNAWAY JUVENILE ,EAST ROCHAMBEAU DRIVE ,BRUTON
11/12/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
11/22/2005,"FRAUD, ALL OTHERS ",EAST ROCHAMBEAU DRIVE ,BRUTON
11/22/2005,"FRAUD, ALL OTHERS ",EAST ROCHAMBEAU DRIVE ,BRUTON
11/25/2005,"LARCENY,FROM MOTOR VEHICLE ",EAST ROCHAMBEAU DRIVE ,BRUTON
11/28/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
11/28/2005,"LARCENY,FROM MOTOR VEHICLE ",EAST ROCHAMBEAU DRIVE ,BRUTON
11/28/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
11/30/2005,CITIZEN REQUESTED ASSISTANCE ,EAST ROCHAMBEAU DRIVE ,BRUTON
11/30/2005,RAPE ,EAST ROCHAMBEAU DRIVE ,BRUTON
12/9/2005,"DAMAGE PROPERTY, PRIVATE ",EAST ROCHAMBEAU DRIVE ,BRUTON
12/10/2005,"LARCENY,FROM MOTOR VEHICLE ",EAST ROCHAMBEAU DRIVE ,BRUTON
12/12/2005,CONTRIBUTING TO THE DELINQUENCY OF A MINOR ,EAST ROCHAMBEAU DRIVE ,BRUTON
12/12/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
12/12/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
12/14/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
12/20/2005,FALSELY SUMMONS OR FALSE REPORT TO POLICE ,EAST ROCHAMBEAU DRIVE ,BRUTON
12/22/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
12/24/2005,ANNOYING PHONE CALLS ,EAST ROCHAMBEAU DRIVE ,BRUTON
12/30/2005,"FORGING, UTTERING ",EAST ROCHAMBEAU DRIVE ,BRUTON
12/30/2005,PETIT LARCENY ,EAST ROCHAMBEAU DRIVE ,BRUTON
3/28/2005,PETIT LARCENY ,ENGLISH GARDEN WAY ,LIGHTFOOT PLANTATION
8/16/2005,"DAMAGE PROPERTY, PRIVATE ",ENGLISH GARDEN WAY ,LIGHTFOOT PLANTATION
8/16/2005,"LARCENY,FROM MOTOR VEHICLE ",ENGLISH GARDEN WAY ,LIGHTFOOT PLANTATION
9/6/2005,"LARCENY,FROM MOTOR VEHICLE ",ENGLISH GARDEN WAY ,LIGHTFOOT PLANTATION
9/12/2005,"BURGLARY, BUSINESS ",EWELL ROAD ,EWELL INDUSTRIAL PARK
9/12/2005,"DAMAGE PROPERTY, PRIVATE ",EWELL ROAD ,EWELL INDUSTRIAL PARK
9/12/2005,GRAND LARCENY ,EWELL ROAD ,EWELL INDUSTRIAL PARK
7/11/2005,DAMAGE PROPERTY ,FENTON MILL ROAD ,BRUTON
7/11/2005,UNAUTHORIZED USE OF AUTO ,FENTON MILL ROAD ,BRUTON
12/18/2005,CITIZEN REQUESTED ASSISTANCE ,FENTON MILL ROAD ,BRUTON
12/8/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,FENTON MILL ROAD & QUAKER MEETING HOUSE ROAD ,BRUTON
12/8/2005,POSSESSION OF MARIJUANA ,FENTON MILL ROAD & QUAKER MEETING HOUSE ROAD ,BRUTON
12/8/2005,REFUSE BLOOD/BREATH TEST ,FENTON MILL ROAD & QUAKER MEETING HOUSE ROAD ,BRUTON
6/5/2005,"DAMAGE PROPERTY, PRIVATE ",FOREST LANE ,SKIMINO FARMS
10/12/2005,CITIZEN REQUESTED ASSISTANCE ,FOREST LANE ,SKIMINO FARMS
6/3/2005,CITIZEN REQUESTED ASSISTANCE ,HOWARD JOHNSON PARKING LOT ,
3/13/2005,"POSSESSION OF SCHEDULE I,II CONTROLLED SUBSTANCE ",INDIANA LANE ,SKIMINO HILLS
5/25/2005,"DAMAGE PROPERTY, PRIVATE ",INDIANA LANE ,SKIMINO HILLS
11/12/2005,ABDUCTION & KIDNAPPING ,INDIANA LANE ,SKIMINO HILLS
11/12/2005,PETIT LARCENY ,INDIANA LANE ,SKIMINO HILLS
11/12/2005,SEXUAL BATTERY ,INDIANA LANE ,SKIMINO HILLS
2/10/2005,LOST PROPERTY ,IRON STONE LANE ,
1/31/2005,GRAND LARCENY ,LIGHTFOOT ROAD ,BRUTON
2/26/2005,GAS THEFT ,LIGHTFOOT ROAD ,BRUTON
3/25/2005,PETIT LARCENY ,LIGHTFOOT ROAD ,BRUTON
3/28/2005,GAS THEFT ,LIGHTFOOT ROAD ,BRUTON
3/29/2005,GAS THEFT ,LIGHTFOOT ROAD ,BRUTON
4/11/2005,GAS THEFT ,LIGHTFOOT ROAD ,BRUTON
4/15/2005,"ASSAULT, SIMPLE, DOMESTIC ",LIGHTFOOT ROAD ,BRUTON
4/21/2005,GAS THEFT ,LIGHTFOOT ROAD ,BRUTON
4/21/2005,GAS THEFT ,LIGHTFOOT ROAD ,BRUTON
4/23/2005,LOST PROPERTY ,LIGHTFOOT ROAD ,BRUTON
5/7/2005,GAS THEFT ,LIGHTFOOT ROAD ,BRUTON
5/9/2005,"DAMAGE PROPERTY, PRIVATE ",LIGHTFOOT ROAD ,BRUTON
5/9/2005,PETIT LARCENY ,LIGHTFOOT ROAD ,BRUTON
6/5/2005,LOST PROPERTY ,LIGHTFOOT ROAD ,BRUTON
6/15/2005,GRAND LARCENY ,LIGHTFOOT ROAD ,BRUTON
6/16/2005,GRAND LARCENY ,LIGHTFOOT ROAD ,BRUTON
7/1/2005,"DAMAGE PROPERTY, PRIVATE ",LIGHTFOOT ROAD ,BRUTON
7/1/2005,"LARCENY,FROM MOTOR VEHICLE ",LIGHTFOOT ROAD ,BRUTON
7/7/2005,PETIT LARCENY ,LIGHTFOOT ROAD ,BRUTON
7/12/2005,"DAMAGE PROPERTY, PRIVATE ",LIGHTFOOT ROAD ,BRUTON
7/12/2005,"DAMAGE PROPERTY, PRIVATE ",LIGHTFOOT ROAD ,BRUTON
7/12/2005,"LARCENY,FROM MOTOR VEHICLE ",LIGHTFOOT ROAD ,BRUTON
7/12/2005,"LARCENY,FROM MOTOR VEHICLE ",LIGHTFOOT ROAD ,BRUTON
7/18/2005,DEAD ON ARRIVAL ,LIGHTFOOT ROAD ,BRUTON
7/21/2005,GRAND LARCENY ,LIGHTFOOT ROAD ,BRUTON
7/21/2005,GRAND LARCENY ,LIGHTFOOT ROAD ,BRUTON
7/25/2005,EMBEZZLEMENT <$200 ,LIGHTFOOT ROAD ,BRUTON
8/1/2005,"DAMAGE PROPERTY, PRIVATE ",LIGHTFOOT ROAD ,BRUTON
8/1/2005,"DAMAGE PROPERTY, PRIVATE ",LIGHTFOOT ROAD ,BRUTON
8/1/2005,PETIT LARCENY ,LIGHTFOOT ROAD ,BRUTON
8/6/2005,GAS THEFT ,LIGHTFOOT ROAD ,BRUTON
8/16/2005,GAS THEFT ,LIGHTFOOT ROAD ,BRUTON
8/22/2005,MOTOR VEHICLE THEFT ,LIGHTFOOT ROAD ,BRUTON
8/26/2005,CITIZEN REQUESTED ASSISTANCE ,LIGHTFOOT ROAD ,BRUTON
10/7/2005,"ASSAULT, SIMPLE ",LIGHTFOOT ROAD ,BRUTON
11/5/2005,RAPE ,LIGHTFOOT ROAD ,BRUTON
5/16/2005,"DAMAGE PROPERTY, PRIVATE ",LONDONDERRY LANE ,BANBURY CROSS
5/16/2005,PETIT LARCENY ,LONDONDERRY LANE ,BANBURY CROSS
9/6/2005,CITIZEN REQUESTED ASSISTANCE ,MACON CIRCLE ,SKIMINO HILLS
4/23/2005,DRIVING W/SUSPENDED OR REVOKED LICENSE ,MERRIMAC TRAIL ,WILLIAMSBURG EAST
3/6/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,MERRIMAC TRAIL & RT 132 ,WILLIAMSBURG EAST
1/15/2005,"DAMAGE PROPERTY, PRIVATE ",MOORETOWN ROAD ,BRUTON
1/19/2005,VIOLATE PROTECTIVE ORDERS ,MOORETOWN ROAD ,BRUTON
1/21/2005,GRAND LARCENY ,MOORETOWN ROAD ,BRUTON
1/29/2005,CITIZEN REQUESTED ASSISTANCE ,MOORETOWN ROAD ,BRUTON
1/31/2005,TRESPASSING ,MOORETOWN ROAD ,BRUTON
1/31/2005,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,MOORETOWN ROAD ,BRUTON
2/6/2005,GRAND LARCENY ,MOORETOWN ROAD ,BRUTON
2/10/2005,"FORGING, UTTERING ",MOORETOWN ROAD ,BRUTON
3/6/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,MOORETOWN ROAD ,BRUTON
3/9/2005,THEFT OR RECEIPT OF STOLEN FIREARM ,MOORETOWN ROAD ,BRUTON
3/12/2005,DEATH INVESTIGATION ,MOORETOWN ROAD ,BRUTON
3/30/2005,GRAND LARCENY ,MOORETOWN ROAD ,BRUTON
4/4/2005,GRAND LARCENY ,MOORETOWN ROAD ,BRUTON
4/14/2005,CREDIT CARD THEFT ,MOORETOWN ROAD ,BRUTON
4/14/2005,UNAUTHORIZED USE OF VEHICLE ,MOORETOWN ROAD ,BRUTON
5/11/2005,GRAND LARCENY ,MOORETOWN ROAD ,BRUTON
7/12/2005,"DAMAGE PROPERTY, PRIVATE ",MOORETOWN ROAD ,BRUTON
7/12/2005,"LARCENY,FROM MOTOR VEHICLE ",MOORETOWN ROAD ,BRUTON
7/29/2005,POSSESSION OF MARIJUANA ,MOORETOWN ROAD ,BRUTON
8/4/2005,DRIVING W/SUSPENDED OR REVOKED LICENSE ,MOORETOWN ROAD ,BRUTON
8/6/2005,DRUNK IN PUBLIC ,MOORETOWN ROAD ,BRUTON
8/10/2005,"LARCENY,FROM MOTOR VEHICLE ",MOORETOWN ROAD ,BRUTON
8/24/2005,"ASSAULT, SIMPLE ",MOORETOWN ROAD ,BRUTON
8/24/2005,BRANDISHING FIREARM ,MOORETOWN ROAD ,BRUTON
9/29/2005,GRAND LARCENY ,MOORETOWN ROAD ,BRUTON
9/29/2005,"LARCENY,FROM MOTOR VEHICLE ",MOORETOWN ROAD ,BRUTON
10/10/2005,GRAND LARCENY ,MOORETOWN ROAD ,BRUTON
10/10/2005,GRAND LARCENY ,MOORETOWN ROAD ,BRUTON
10/20/2005,"DRIVING UNDER THE INFLUENCE,ALCOHOL ",MOORETOWN ROAD ,BRUTON
2/17/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,MOORETOWN ROAD & AIRPORT ROAD ,BRUTON
2/25/2005,POSSESSION OF MARIJUANA ,MOORETOWN ROAD & AIRPORT ROAD ,BRUTON
12/22/2005,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,MOORETOWN ROAD & OLD MOORETOWN ROAD ,BRUTON
12/22/2005,REFUSE BLOOD/BREATH TEST ,MOORETOWN ROAD & OLD MOORETOWN ROAD ,BRUTON
12/3/2005,POSSESSION OF MARIJUANA ,MOORETOWN ROAD & OLD TAYLOR ROAD ,BRUTON
1/19/2005,DRIVING W/SUSPENDED OR REVOKED LICENSE ,MOORETOWN ROAD & RICHMOND ROAD ,BRUTON
5/25/2005,"DAMAGE PROPERTY, PRIVATE ",NEVADA CIRCLE ,SKIMINO HILLS
4/12/2005,CITIZEN REQUESTED ASSISTANCE ,NEWMAN ROAD ,BRUTON
5/20/2005,CITIZEN REQUESTED ASSISTANCE ,NEWMAN ROAD ,BRUTON
5/20/2005,LOST PROPERTY ,NEWMAN ROAD ,BRUTON
1/8/2005,MISSING PERSON ,OAKTREE ROAD ,OAKTREE
1/18/2005,POSSESSION OF MARIJUANA ,PENN DRIVE ,OLD QUAKER ESTATES
