Address,DateTime,Number,Type,Category
1500 BLOCK PEPPERS FERRY RD,2018-01-04,2018-00000235,Traffic Stop,Traffic
LADYBUG RD / RADFORD RD,2018-01-04,2018-00000163,Traffic Stop,Traffic
3400 BLOCK PEPPERS FERRY RD,2018-01-04,2018-00000165,Traffic Stop,Traffic
,2018-01-04,2018-00000170,Traffic Stop,Traffic
2200 BLOCK MASH RUN RD,2018-01-04,2018-00000171,Motor Vehicle Crash,Traffic
1500 BLOCK PEPPERS FERRY RD,2018-01-04,2018-00000270,Traffic Stop,Traffic
3000 BLOCK RINER RD,2018-01-04,2018-00000041,Motor Vehicle Crash- W/Injuries,Traffic
3000 BLOCK RINER RD,2018-01-04,2018-00000181,Motor Vehicle Crash- W/Injuries,Traffic
3000 BLOCK RINER RD,2018-01-04,2018-00000003,Motor Vehicle Crash- W/Injuries,Traffic
3000 BLOCK RINER RD,2018-01-04,2018-00000002,Motor Vehicle Crash- W/Injuries,Traffic
3000 BLOCK RINER RD,2018-01-04,2018-00000020,Motor Vehicle Crash- W/Injuries,Traffic
OLD PIKE RD  / GOLD RUSH RD,2018-01-04,2018-00000185,Motor Vehicle Crash,Traffic
5100 BLOCK NORTH FORK RD,2018-01-04,2018-00000187,Motor Vehicle Crash,Traffic
3400 BLOCK PEPPERS FERRY RD,2018-01-04,2018-00000199,Traffic Stop,Traffic
4600 BLOCK PRICES FORK RD,2018-01-05,2018-00000208,Traffic Stop,Traffic
CROZIER RD / ROANOKE RD,2018-01-05,2018-00000216,Traffic Hazard,Traffic
4300 BLOCK PRICES FORK RD,2018-01-05,2018-00000217,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-01-05,2018-00000218,Traffic Stop,Traffic
4600 BLOCK RINER RD,2018-01-05,2018-00000005,Motor Vehicle Crash- W/Injuries,Traffic
4600 BLOCK RINER RD,2018-01-05,2018-00000003,Motor Vehicle Crash- W/Injuries,Traffic
4600 BLOCK RINER RD,2018-01-05,2018-00000232,Motor Vehicle Crash- W/Injuries,Traffic
1600 BLOCK RADFORD RD,2018-01-05,2018-00000238,Motor Vehicle Crash,Traffic
2300 BLOCK TYLER RD,2018-01-05,2018-00000252,Motor Vehicle Crash,Traffic
1600 BLOCK PEPPERS FERRY RD,2018-01-05,2018-00000259,Traffic Stop,Traffic
PEPPERS FERRY RD / VICKER SWITCH RD,2018-01-05,2018-00000261,Traffic Stop,Traffic
2100 BLOCK YELLOW SULPHUR RD,2018-01-06,2018-00000278,Traffic Stop,Traffic
PEPPERS FERRY RD  / COAL HOLLOW RD,2018-01-06,2018-00000284,Traffic Stop,Traffic
5000 BLOCK ENTERPRISE DR,2018-01-06,2018-00000289,Motor Vehicle Crash,Traffic
CALLOWAY ST  / ROANOKE RD,2018-01-06,2018-00000292,Traffic Stop,Traffic
,2018-01-06,2018-00000295,Motor Vehicle Crash,Traffic
000 BLOCK MAIN ST INTERSTATE 81 S RAMP,2018-01-06,2018-00000305,Motor Vehicle Crash,Traffic
,2018-01-06,2018-00000306,Traffic Stop,Traffic
TYLER RD  / CHILDRESS RD,2018-01-06,2018-00000313,Motor Vehicle Crash,Traffic
ALLEGHANY SPRING RD  / KIRK HOLLOW RD,2018-01-06,2018-00000318,Traffic Stop,Traffic
ROANOKE RD / CROZIER RD,2018-01-06,2018-00000322,Traffic Stop,Traffic
6400 BLOCK ROANOKE RD,2018-01-06,2018-00000324,Traffic Stop,Traffic
4000 BLOCK RINER RD,2018-01-07,2018-00000336,Traffic Stop,Traffic
,2018-01-07,2018-00000352,Traffic Hazard,Traffic
RADFORD RD / PLUM CREEK RD,2018-01-07,2018-00000356,Traffic Stop,Traffic
PARKWAY DR SE / FALLING BRANCH RD SE,2018-01-07,2018-00000490,Traffic Stop,Traffic
MERRIMAC RD  / PRICES FORK RD,2018-01-07,2018-00000361,Traffic Stop,Traffic
FIRE TOWER RD  / BROOKSIDE DR,2018-01-07,2018-00000362,Traffic Stop,Traffic
600 BLOCK UNION VALLEY RD,2018-01-07,2018-00000365,Traffic Hazard,Traffic
,2018-01-07,2018-00000373,Reckless Driving,Traffic
,2018-01-07,2018-00000378,Traffic Stop,Traffic
RINER RD  / CAMP CARYSBROOK RD,2018-01-07,2018-00000381,Reckless Driving,Traffic
,2018-01-07,2018-00000535,Reckless Driving,Traffic
,2018-01-07,2018-00000386,Reckless Driving,Traffic
WALTON RD  / HAWLEY RD,2018-01-07,2018-00000387,Traffic Stop,Traffic
PEPPERS FERRY RD  / COAL HOLLOW RD,2018-01-07,2018-00000394,Traffic Stop,Traffic
1500 BLOCK RADFORD RD,2018-01-07,2018-00000395,Traffic Stop,Traffic
1600 BLOCK AUBURN SCHOOL DR,2018-01-07,2018-00000396,Traffic Stop,Traffic
PEPPERS FERRY RD  / ARSENAL CIR,2018-01-08,2018-00000400,Traffic Stop,Traffic
RADFORD RD  / BARRINGER MOUNTAIN RD,2018-01-08,2018-00000405,Traffic Stop,Traffic
RADFORD RD  / WALTON RD,2018-01-08,2018-00000410,Traffic Stop,Traffic
3900 BLOCK MCCOY RD,2018-01-08,2018-00000412,Motor Vehicle Crash,Traffic
400 BLOCK BRANCH RD SE RT 460 BYPASS EBL,2018-01-08,2018-00000554,Radar,Traffic
400 BLOCK BRANCH RD SE RT 460 BYPASS EBL,2018-01-08,2018-00000556,Traffic Stop,Traffic
PEPPERS FERRY RD / DOMINION DR,2018-01-08,2018-00000562,Traffic Stop,Traffic
COAL BANK HOLLOW RD  / PEARMAN RD,2018-01-08,2018-00000425,Motor Vehicle Crash,Traffic
COAL BANK HOLLOW RD  / BATTS RD,2018-01-08,2018-00000431,Motor Vehicle Crash,Traffic
,2018-01-08,2018-00000427,Motor Vehicle Crash- W/Injuries,Traffic
,2018-01-08,2018-00000001,Motor Vehicle Crash- W/Injuries,Traffic
,2018-01-08,2018-00000083,Motor Vehicle Crash- W/Injuries,Traffic
,2018-01-08,2018-00000031,Motor Vehicle Crash- W/Injuries,Traffic
4500 BLOCK WAYSIDE DR,2018-01-08,2018-00000428,Motor Vehicle Crash,Traffic
1700 BLOCK RADFORD RD,2018-01-08,2018-00000432,Motor Vehicle Crash,Traffic
MCCOY RD  / DAISY RD,2018-01-08,2018-00000001,Motor Vehicle Crash- W/Injuries,Traffic
MCCOY RD  / DAISY RD,2018-01-08,2018-00000435,Motor Vehicle Crash- W/Injuries,Traffic
PEPPERS FERRY RD  / WALTON RD,2018-01-08,2018-00000593,Traffic Stop,Traffic
2800 BLOCK FORAGE RD,2018-01-08,2018-00000438,Motor Vehicle Crash,Traffic
RADFORD RD  / BARRINGER MOUNTAIN RD,2018-01-08,2018-00000440,Motor Vehicle Crash,Traffic
BRIGGS RD / KIRK CT,2018-01-08,2018-00000442,Motor Vehicle Crash,Traffic
5500 BLOCK PRICES FORK RD,2018-01-08,2018-00000443,Motor Vehicle Crash,Traffic
PANDAPAS POND RD / AUTUMN LN,2018-01-08,2018-00000447,Motor Vehicle Crash,Traffic
PEPPERS FERRY RD  / ARSENAL CIR,2018-01-08,2018-00000446,Motor Vehicle Crash,Traffic
5100 BLOCK NORTH FORK RD,2018-01-08,2018-00000014,Motor Vehicle Crash- W/Injuries,Traffic
5100 BLOCK NORTH FORK RD,2018-01-08,2018-00000006,Motor Vehicle Crash- W/Injuries,Traffic
5100 BLOCK NORTH FORK RD,2018-01-08,2018-00000449,Motor Vehicle Crash- W/Injuries,Traffic
,2018-01-08,2018-00000605,Motor Vehicle Crash,Traffic
1300 BLOCK CHRISMAN MILL RD,2018-01-08,2018-00000450,Motor Vehicle Crash,Traffic
6400 BLOCK ROANOKE RD,2018-01-08,2018-00000454,Motor Vehicle Crash,Traffic
2400 BLOCK CAMP CARYSBROOK RD,2018-01-08,2018-00000455,Motor Vehicle Crash,Traffic
600 BLOCK MOUNT PLEASANT RD,2018-01-08,2018-00000456,Motor Vehicle Crash,Traffic
600 BLOCK MOUNT PLEASANT RD,2018-01-08,2018-00000459,Motor Vehicle Crash,Traffic
600 BLOCK MOUNT PLEASANT RD,2018-01-08,2018-00000460,Motor Vehicle Crash,Traffic
BRADSHAW RD / NORTH FORK RD,2018-01-09,2018-00000468,Motor Vehicle Crash,Traffic
GEORGES RUN RD  / ALLEGHANY SPRING RD,2018-01-09,2018-00000469,Motor Vehicle Crash,Traffic
3800 BLOCK RINER RD,2018-01-09,2018-00000472,Motor Vehicle Crash,Traffic
4900 BLOCK GRAYSONTOWN RD,2018-01-09,2018-00000473,Motor Vehicle Crash,Traffic
RINER RD  / DESIGN LN,2018-01-09,2018-00000477,Motor Vehicle Crash,Traffic
PEPPERS FERRY RD  / NOLEN RD,2018-01-09,2018-00000645,Traffic Stop,Traffic
000 BLOCK RD INTERSTATE 81 S RAMP,2018-01-09,2018-00000002,Motor Vehicle Crash- W/Injuries,Traffic
000 BLOCK RD INTERSTATE 81 S RAMP,2018-01-09,2018-00000105,Motor Vehicle Crash- W/Injuries,Traffic
000 BLOCK RD INTERSTATE 81 S RAMP,2018-01-09,2018-00000037,Motor Vehicle Crash- W/Injuries,Traffic
000 BLOCK RD INTERSTATE 81 S RAMP,2018-01-09,2018-00000496,Motor Vehicle Crash- W/Injuries,Traffic
3000 BLOCK RINER RD,2018-01-09,2018-00000501,Reckless Driving,Traffic
,2018-01-10,2018-00000370,Reckless Driving,Traffic
,2018-01-10,2018-00000682,Reckless Driving,Traffic
DOMINION DR / PEPPERS FERRY RD,2018-01-10,2018-00000718,Traffic Stop,Traffic
MOUNT TABOR RD  / PRESTON FOREST DR,2018-01-10,2018-00000557,Traffic Hazard,Traffic
4100 BLOCK PEARMAN RD,2018-01-10,2018-00000563,Motor Vehicle Crash,Traffic
,2018-01-10,2018-00000744,Traffic Stop,Traffic
TRIANGLE ST / SOUTH MAIN ST,2018-01-10,2018-00000572,Traffic Stop,Traffic
LUSTERS GATE RD  / CLUBHOUSE RD,2018-01-10,2018-00000576,Motor Vehicle Crash,Traffic
7100 BLOCK ROANOKE RD,2018-01-10,2018-00000577,Traffic Stop,Traffic
PEPPERS FERRY RD  / ARSENAL CIR,2018-01-10,2018-00000579,Traffic Stop,Traffic
MCCOY RD / RIVERSIDE DR,2018-01-10,2018-00000581,Traffic Stop,Traffic
,2018-01-10,2018-00000584,Reckless Driving,Traffic
,2018-01-10,2018-00000766,Reckless Driving,Traffic
ROANOKE RD  / DEN HILL RD,2018-01-11,2018-00000595,Traffic Stop,Traffic
ROANOKE RD / CROZIER RD,2018-01-11,2018-00000621,Traffic Stop,Traffic
3200 BLOCK RINER RD,2018-01-11,2018-00000622,Traffic Stop,Traffic
ROANOKE RD  / GRAHAM ST,2018-01-11,2018-00000631,Traffic Stop,Traffic
ROANOKE RD / FRIENDSHIP RD,2018-01-11,2018-00000636,Traffic Stop,Traffic
900 BLOCK HIGHTOP RD,2018-01-11,2018-00000450,Reckless Driving,Traffic
900 BLOCK HIGHTOP RD,2018-01-11,2018-00000640,Reckless Driving,Traffic
PEPPERS FERRY RD  / MASS CIR,2018-01-11,2018-00000644,Traffic Stop,Traffic
ALLEGHANY SPRING RD / FLICK DR,2018-01-11,2018-00000645,Traffic Stop,Traffic
1400 BLOCK WALTON RD,2018-01-11,2018-00000648,Motor Vehicle Crash,Traffic
PEPPERS FERRY RD / VICKER SWITCH RD,2018-01-11,2018-00000655,Traffic Stop,Traffic
PEPPERS FERRY RD  / MASS CIR,2018-01-11,2018-00000661,Reckless Driving,Traffic
3900 BLOCK KIRK HOLLOW RD,2018-01-11,2018-00000025,Motor Vehicle Crash- W/Injuries,Traffic
3900 BLOCK KIRK HOLLOW RD,2018-01-11,2018-00000011,Motor Vehicle Crash- W/Injuries,Traffic
3900 BLOCK KIRK HOLLOW RD,2018-01-11,2018-00000672,Motor Vehicle Crash- W/Injuries,Traffic
,2018-01-11,2018-00000131,Motor Vehicle Crash- W/Injuries,Traffic
,2018-01-11,2018-00000044,Motor Vehicle Crash- W/Injuries,Traffic
,2018-01-11,2018-00000680,Traffic Hazard,Traffic
RADFORD RD  / BARRINGER MOUNTAIN RD,2018-01-11,2018-00000681,Traffic Stop,Traffic
RADFORD RD / ROCK RD,2018-01-11,2018-00000682,Traffic Stop,Traffic
1500 BLOCK PEPPERS FERRY RD,2018-01-11,2018-00000829,Traffic Stop,Traffic
2500 BLOCK TYLER RD,2018-01-11,2018-00000684,Traffic Stop,Traffic
4300 BLOCK RINER RD,2018-01-11,2018-00000687,Traffic Stop,Traffic
RUSTIC RIDGE RD  / RINER RD,2018-01-11,2018-00000693,Traffic Stop,Traffic
6600 BLOCK ROANOKE RD,2018-01-11,2018-00000695,Traffic Stop,Traffic
4600 BLOCK RINER RD,2018-01-11,2018-00000697,Traffic Stop,Traffic
6600 BLOCK ROANOKE RD,2018-01-12,2018-00000701,Traffic Stop,Traffic
3800 BLOCK RINER RD,2018-01-12,2018-00000707,Traffic Stop,Traffic
4000 BLOCK RINER RD,2018-01-12,2018-00000709,Traffic Stop,Traffic
1600 BLOCK AUBURN SCHOOL DR,2018-01-12,2018-00000712,Traffic Stop,Traffic
1500 BLOCK PEPPERS FERRY RD,2018-01-12,2018-00000876,Traffic Stop,Traffic
000 BLOCK FORK RD INTERSTATE 81 S RAMP,2018-01-12,2018-00000743,Reckless Driving,Traffic
1700 BLOCK TYLER RD,2018-01-12,2018-00000752,Traffic Stop,Traffic
TRIANGLE ST / SOUTH MAIN ST,2018-01-12,2018-00000754,Traffic Stop,Traffic
2900 BLOCK TYLER RD,2018-01-12,2018-00000756,Traffic Stop,Traffic
MOUNT TABOR RD  / SHILO WAY,2018-01-12,2018-00000553,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-01-12,2018-00000759,Traffic Stop,Traffic
PRICES FORK RD  / DOUBLETREE LN,2018-01-12,2018-00000760,Traffic Stop,Traffic
4000 BLOCK RINER RD,2018-01-12,2018-00000761,Traffic Stop,Traffic
3900 BLOCK SOUTH MAIN ST,2018-01-12,2018-00000768,Traffic Stop,Traffic
,2018-01-12,2018-00000769,Traffic Stop,Traffic
2900 BLOCK PEPPERS FERRY RD,2018-01-13,2018-00000773,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-01-13,2018-00000568,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-01-13,2018-00000775,Traffic Stop,Traffic
RINER RD  / CLOVERLEA DR,2018-01-13,2018-00000776,Traffic Stop,Traffic
4000 BLOCK PRICES FORK RD,2018-01-13,2018-00000782,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-01-13,2018-00000783,Traffic Stop,Traffic
3400 BLOCK PEPPERS FERRY RD,2018-01-13,2018-00000785,DUI,Traffic
6600 BLOCK ROANOKE RD,2018-01-13,2018-00000792,Traffic Stop,Traffic
RINER RD  / LAUREL RIDGE MILL RD,2018-01-13,2018-00000798,Motor Vehicle Crash,Traffic
1700 BLOCK TYLER RD,2018-01-13,2018-00000806,Traffic Stop,Traffic
1700 BLOCK TYLER RD,2018-01-13,2018-00000807,Traffic Stop,Traffic
SENECA HOLLOW RD  / ROANOKE RD,2018-01-13,2018-00000808,Motor Vehicle Crash,Traffic
,2018-01-13,2018-00000809,Motor Vehicle Crash,Traffic
3400 BLOCK PEPPERS FERRY RD,2018-01-13,2018-00000150,Motor Vehicle Crash- W/Injuries,Traffic
3400 BLOCK PEPPERS FERRY RD,2018-01-13,2018-00000048,Motor Vehicle Crash- W/Injuries,Traffic
3400 BLOCK PEPPERS FERRY RD,2018-01-13,2018-00000811,Motor Vehicle Crash- W/Injuries,Traffic
3700 BLOCK CATAWBA RD,2018-01-13,2018-00000815,Motor Vehicle Crash,Traffic
1700 BLOCK TYLER RD,2018-01-13,2018-00000817,Traffic Stop,Traffic
,2018-01-13,2018-00000955,Traffic Stop,Traffic
ROANOKE RD / ALLEGHANY SPRING RD,2018-01-13,2018-00000819,Traffic Stop,Traffic
1700 BLOCK TYLER RD,2018-01-13,2018-00000820,Traffic Stop,Traffic
CHILDRESS RD  / PINEY WOODS RD,2018-01-13,2018-00000821,Traffic Stop,Traffic
ROANOKE RD / ALLEGHANY SPRING RD,2018-01-13,2018-00000822,Traffic Stop,Traffic
MEADOW CREEK RD / TYLER RD,2018-01-13,2018-00000823,Traffic Stop,Traffic
WALTON RD  / RADFORD RD,2018-01-13,2018-00000826,Traffic Stop,Traffic
1400 BLOCK RADFORD RD,2018-01-13,2018-00000827,Traffic Stop,Traffic
81400 BLOCK 81 RAMP RT 460 BYPASS WBL,2018-01-13,2018-00000967,Traffic Stop,Traffic
WALTON RD  / RADFORD RD,2018-01-13,2018-00000831,Traffic Stop,Traffic
MERRIMAC RD / BEE LN,2018-01-13,2018-00000968,Traffic Stop,Traffic
PEPPERS FERRY RD / DOMINION DR,2018-01-14,2018-00000838,Traffic Stop,Traffic
PEPPERS FERRY RD / DOMINION DR,2018-01-14,2018-00000974,Traffic Stop,Traffic
MCCOY RD  / LONG SHOP RD,2018-01-14,2018-00000841,Traffic Stop,Traffic
TUCKER RD  / PRICES FORK RD,2018-01-14,2018-00000842,Traffic Stop,Traffic
1400 BLOCK RADFORD RD,2018-01-14,2018-00000843,Traffic Stop,Traffic
RADFORD RD  / HARMAN DR,2018-01-14,2018-00000982,Traffic Stop,Traffic
4000 BLOCK RINER RD,2018-01-14,2018-00000851,Reckless Driving,Traffic
2400 BLOCK PEPPERS FERRY RD,2018-01-14,2018-00000854,DUI,Traffic
,2018-01-14,2018-00001001,Reckless Driving,Traffic
10400 BLOCK ROANOKE RD,2018-01-14,2018-00000878,Traffic Stop,Traffic
JENNELLE RD  / YELLOW SULPHUR RD,2018-01-15,2018-00000886,Motor Vehicle Crash,Traffic
WHITETHORNE RD  / MCCOY RD,2018-01-15,2018-00000888,Motor Vehicle Crash,Traffic
ROANOKE RD  / DEN HILL RD,2018-01-15,2018-00000895,Traffic Hazard,Traffic
JENNELLE RD  / CINNABAR RD,2018-01-15,2018-00000901,Traffic Stop,Traffic
,2018-01-15,2018-00000902,Reckless Driving,Traffic
,2018-01-15,2018-00000707,Reckless Driving,Traffic
3600 BLOCK RADFORD RD,2018-01-15,2018-00000912,Traffic Stop,Traffic
RADFORD RD  / ZIEGLER ST,2018-01-15,2018-00000915,Traffic Stop,Traffic
RADFORD RD  / ZIEGLER ST,2018-01-15,2018-00000917,Traffic Stop,Traffic
100 BLOCK JENNELLE RD,2018-01-15,2018-00001083,Traffic Stop,Traffic
RADFORD RD  / FIRE TOWER RD,2018-01-15,2018-00000918,Traffic Stop,Traffic
3600 BLOCK RADFORD RD,2018-01-15,2018-00000920,Traffic Stop,Traffic
3200 BLOCK RINER RD,2018-01-15,2018-00000921,Traffic Stop,Traffic
RINER RD  / LARKSPUR CIR,2018-01-16,2018-00000925,Reckless Driving,Traffic
ROANOKE RD / FRIENDSHIP RD,2018-01-16,2018-00000951,Traffic Stop,Traffic
CEDAR RUN RD  / JENNELLE RD,2018-01-16,2018-00000954,Motor Vehicle Crash,Traffic
3900 BLOCK PILOT RD,2018-01-16,2018-00000956,Motor Vehicle Crash,Traffic
,2018-01-16,2018-00000957,Traffic Stop,Traffic
RUSTIC TRL / PEPPERS FERRY RD,2018-01-16,2018-00000962,Traffic Hazard,Traffic
4000 BLOCK RINER RD,2018-01-16,2018-00000964,Motor Vehicle Crash,Traffic
,2018-01-16,2018-00000968,Motor Vehicle Crash,Traffic
,2018-01-16,2018-00000972,Motor Vehicle Crash,Traffic
2300 BLOCK TYLER RD,2018-01-16,2018-00000969,Reckless Driving,Traffic
,2018-01-16,2018-00000004,Motor Vehicle Crash- W/Injuries,Traffic
,2018-01-16,2018-00000189,Motor Vehicle Crash- W/Injuries,Traffic
,2018-01-16,2018-00000056,Motor Vehicle Crash- W/Injuries,Traffic
RADFORD RD / ROCK RD,2018-01-16,2018-00000979,Traffic Stop,Traffic
6600 BLOCK ROANOKE RD,2018-01-16,2018-00000980,Traffic Stop,Traffic
RADFORD RD / ROCK RD,2018-01-16,2018-00000981,Traffic Stop,Traffic
ROANOKE RD / CROZIER RD,2018-01-16,2018-00000982,Traffic Stop,Traffic
4100 BLOCK RINER RD,2018-01-16,2018-00000983,Traffic Stop,Traffic
2400 BLOCK PEPPERS FERRY RD,2018-01-16,2018-00000986,Traffic Stop,Traffic
PEPPERS FERRY RD  / BELVIEW DR,2018-01-16,2018-00000987,Traffic Stop,Traffic
4200 BLOCK PEPPERS FERRY RD,2018-01-16,2018-00000989,Traffic Stop,Traffic
3200 BLOCK RINER RD,2018-01-16,2018-00000991,Traffic Stop,Traffic
,2018-01-17,2018-00001002,Motor Vehicle Crash,Traffic
4300 BLOCK RINER RD,2018-01-17,2018-00001003,Motor Vehicle Crash,Traffic
,2018-01-17,2018-00001194,Motor Vehicle Crash,Traffic
,2018-01-17,2018-00001004,Motor Vehicle Crash,Traffic
,2018-01-17,2018-00001010,Motor Vehicle Crash,Traffic
MERRIMAC RD / BEE LN,2018-01-17,2018-00001011,Motor Vehicle Crash,Traffic
3400 BLOCK PEPPERS FERRY RD,2018-01-17,2018-00001013,Motor Vehicle Crash,Traffic
ELLETT RD  / TALON LN,2018-01-17,2018-00001017,Motor Vehicle Crash,Traffic
ELLETT RD  / TALON LN,2018-01-17,2018-00001201,Motor Vehicle Crash,Traffic
BIG SPRING DR  / ROANOKE RD,2018-01-17,2018-00001018,Motor Vehicle Crash,Traffic
2800 BLOCK DEN HILL RD,2018-01-17,2018-00001023,Motor Vehicle Crash,Traffic
SILVER LAKE RD  / CHRISMAN MILL RD,2018-01-17,2018-00001024,Motor Vehicle Crash,Traffic
000 BLOCK RD INTERSTATE 81 N RAMP,2018-01-17,2018-00001025,Motor Vehicle Crash,Traffic
ADAMS MARKE DR / QUEZ DR,2018-01-17,2018-00001027,Motor Vehicle Crash,Traffic
2800 BLOCK DEN HILL RD,2018-01-17,2018-00001038,Motor Vehicle Crash,Traffic
4700 BLOCK OLD PIKE RD,2018-01-17,2018-00001043,Hit and Run,Traffic
WOODROW RD  / ELLETT RD,2018-01-17,2018-00001044,Traffic Hazard,Traffic
,2018-01-18,2018-00001074,Motor Vehicle Crash,Traffic
400 BLOCK BRANCH RD SE RT 460 BYPASS EBL,2018-01-18,2018-00001259,Radar,Traffic
400 BLOCK BRANCH RD SE RT 460 BYPASS WBL,2018-01-18,2018-00001265,Traffic Stop,Traffic
200 BLOCK TURTLE XING,2018-01-18,2018-00001085,Motor Vehicle Crash,Traffic
2300 BLOCK TYLER RD,2018-01-18,2018-00000214,Motor Vehicle Crash- W/Injuries,Traffic
2300 BLOCK TYLER RD,2018-01-18,2018-00000059,Motor Vehicle Crash- W/Injuries,Traffic
2300 BLOCK TYLER RD,2018-01-18,2018-00001086,Motor Vehicle Crash- W/Injuries,Traffic
1600 BLOCK PEPPERS FERRY RD,2018-01-18,2018-00001270,Traffic Stop,Traffic
000 BLOCK RD INTERSTATE 81 N RAMP,2018-01-18,2018-00001088,Traffic Stop,Traffic
1600 BLOCK PEPPERS FERRY RD,2018-01-18,2018-00001272,Traffic Stop,Traffic
1500 BLOCK PEPPERS FERRY RD,2018-01-18,2018-00001273,Traffic Stop,Traffic
PANDAPAS POND RD / CRAIG CREEK RD,2018-01-18,2018-00000829,Reckless Driving,Traffic
PANDAPAS POND RD / CRAIG CREEK RD,2018-01-18,2018-00001095,Reckless Driving,Traffic
ALLEGHANY SPRING RD / ROANOKE RD,2018-01-18,2018-00001101,Reckless Driving,Traffic
,2018-01-18,2018-00000840,Traffic Stop,Traffic
3900 BLOCK SOUTH MAIN ST,2018-01-18,2018-00000843,Traffic Stop,Traffic
8200 BLOCK ROANOKE RD,2018-01-19,2018-00001125,Traffic Stop,Traffic
PEPPERS FERRY RD / DOMINION DR,2018-01-19,2018-00001333,Traffic Stop,Traffic
PEPPERS FERRY RD / DOMINION DR,2018-01-19,2018-00001128,Traffic Stop,Traffic
RIFFE ST / ROANOKE RD,2018-01-19,2018-00001140,Traffic Stop,Traffic
RIFFE ST / ROANOKE RD,2018-01-19,2018-00001143,Traffic Stop,Traffic
,2018-01-19,2018-00001158,Traffic Hazard,Traffic
FIVE POINTS RD  / RINER RD,2018-01-19,2018-00001362,Traffic Stop,Traffic
5000 BLOCK PILOT RD,2018-01-19,2018-00001160,Traffic Stop,Traffic
3000 BLOCK PEPPERS FERRY RD,2018-01-19,2018-00001162,Reckless Driving,Traffic
400 BLOCK CONSTITUTION RD,2018-01-19,2018-00001163,Traffic Stop,Traffic
3400 BLOCK PEPPERS FERRY RD,2018-01-19,2018-00001164,DUI,Traffic
4000 BLOCK PRICES FORK RD,2018-01-19,2018-00001165,Traffic Stop,Traffic
1700 BLOCK TYLER RD,2018-01-19,2018-00001171,Traffic Stop,Traffic
4300 BLOCK PRICES FORK RD,2018-01-19,2018-00001174,Traffic Stop,Traffic
MUD PIKE  / SEVEN MILE TREE RD,2018-01-19,2018-00001177,Traffic Stop,Traffic
SILVER LAKE RD  / RADFORD RD,2018-01-19,2018-00001180,Traffic Stop,Traffic
RADFORD RD  / ZIEGLER ST,2018-01-20,2018-00001185,Traffic Stop,Traffic
