PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,GAMBLING-BETTING/WAGERING,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,TRUANCY - STREET WATCH,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,13,198,24,1,,,,,1,,,1,,,,,2,,,,,,,,1,,,,,,,,,1,,,,1,,,,1,,,,,15,,,,,,,,,,,,,,,,,,,,
SOUTH,13,199,53,1,,,,,1,,,2,,,,,12,,,,,,,2,1,,,3,,,1,,,,,,,7,2,,,1,,,,,,,,,5,9,,,,,3,,1,1,,,,,,,1
SOUTH,13,200,31,2,,,,,1,1,,5,,,,,1,,,,,1,,1,1,,,1,,,,1,,,2,,,4,,,,,,,,,,,,,,4,,,,,1,,2,,,,,,,,3
SOUTH,13,201,47,2,,,,,,,,7,,,,,3,,1,,,,,3,,,3,,,,,,,,2,,,4,2,,1,,,,,,,1,,,,7,,,,,4,,2,,,1,,,,1,3
SOUTH,13,202,11,1,,1,,,2,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
SOUTH,13,203,20,1,,2,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,3,,,3,,,,1,,,,,,,1,,,4,,,,,1,,,,,,,,,,2
SOUTH,13,204,17,,,2,,,1,,,1,,,,,1,,,,,,,,,,2,,,,,,,,2,,,,1,,,,,,,,,,,,,4,,,,,2,,,1,,,,,,,
SOUTH,13,205,19,,,,,,1,,,2,,,,,3,,,,,,,,1,,2,,,,,,,,,,,3,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,1
SOUTH,13,206,14,1,,,,,3,1,,1,,,,,2,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,1
SOUTH,13,207,8,,,1,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,
SOUTH,13,208,4,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
SOUTH,13,209,9,,,,,,,,,,,,,,4,,1,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
SOUTH,13,210,5,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
SOUTH,13,211,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
SOUTH,13,212,4,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,213,39,1,,,,,7,,,10,,,,,5,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,3,,,,5,,,,,,,,1,,,,,,1,3
SOUTH,13,214,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
SOUTH,13,215,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
SOUTH,13,216,18,2,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,6,,,,,,,,,,,,,,,2
SOUTH,13,217,33,2,,,,,4,,,4,1,,,,3,,,,,,,,,,,2,,1,,,,,1,,,3,3,,1,,,,,,,,,,1,4,,,,,1,,,,,1,,,,1,
SOUTH,13,218,53,2,,1,,,4,,,8,,,,,7,,,,,,,,4,,,,,,,,,,1,,,5,,,,,,1,,,1,1,,,,10,,,1,,1,,1,1,,,1,,,,3
SOUTH,13,219,28,2,,2,,,1,1,,2,,1,,,2,,,,,,,,,,,1,,,,,,,1,1,,2,,,,,,,,,,,,,,7,,,,,1,,,1,,,,,,1,2
SOUTH,13,220,24,1,,,,,3,,,3,,,,,6,,,,,,,,,,1,,,,,,,,,,1,1,1,,,2,,,,,,,,,,2,,,,,,,,2,,,,,1,,
SOUTH,13,221,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
SOUTH,14,224,75,2,,,,,3,,,10,1,,,,9,,,,,,,,1,,,,1,,,,,1,2,3,1,1,,1,1,2,,,,,1,2,,,,13,,,1,,3,,3,2,1,,,,,1,9
SOUTH,14,225,71,2,,,1,,8,,,11,,1,,,8,,,,,1,,,2,,,,,,,,,,2,,1,8,2,,,1,,,,,,1,,,,6,,,,,2,,1,3,,1,,,2,1,6
SOUTH,14,226,26,1,,1,,,1,,,7,,,,,4,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,3,,1,,,,,1,,,,,,,,4
SOUTH,14,229,61,4,,1,,,2,,,7,,,,,14,,,,,,,1,2,,,,,,,,,,1,1,,4,1,,,,,,,,,,1,,,15,,,,,2,,1,,,,,,,,4
SOUTH,14,230,50,1,1,,,,2,,,8,,,,,4,,,,,,,,1,,,,,,2,1,,,3,2,,8,2,,,,,,,,,,,,,3,,,,1,3,,3,1,,,,,1,1,2
SOUTH,14,231,84,2,,,,,3,,,8,,,,,18,,1,,,,,1,1,,1,2,,,,,,,4,1,,5,,,2,1,,,,,,2,,,,13,,,,,4,,,1,1,2,,,1,,10
SOUTH,14,232,37,2,,,,,2,,,5,1,,,,2,,,,,,1,2,,,,,,,1,,,,,,,2,,,,1,,,,,,,,,3,11,,,,,1,,,1,,,,,1,1,
SOUTH,14,235,44,1,,,,,3,,,7,,,,,4,,,,,1,,1,,,1,,,,,,,,1,3,,3,3,,,,,,,,,1,,,,5,,,,,1,,3,1,,,2,,1,1,1
SOUTH,14,236,36,,,,,,2,,,1,,,,,6,,,,,,,,,,1,,,,,,,,,1,1,1,,,,,,,,,,3,,,,7,,,,1,2,,2,2,,,,,1,1,4
SOUTH,14,239,32,1,,,1,,2,,,7,,,,,2,,,,,1,,,,,,,,,,,,,,2,,2,,,2,,,,,,,1,,,,3,,,,,,,3,1,,,,,,1,3
SOUTH,14,240,6,,,,,,2,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,14,241,21,,,,,,3,,,1,,,,,1,,,,,,,,1,,,,,,,,,,2,,,2,,,1,,,,,,,,,,,4,,,,2,1,,1,,,,,,,1,1
SOUTH,14,242,42,2,,,,,4,,,3,,,,,2,,,,,,,,,,1,,,,,,,,3,8,,9,2,,,,,,,,,1,,,,1,,,1,1,2,,,,,,,,,2,
SOUTH,14,247,16,1,,,,,2,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,4,,,,,,,3,,,,,,,,1
SOUTH,14,248,58,3,,1,,,5,,,10,1,,,,3,,,,,1,,,3,,,1,,1,,,,,1,,,4,4,,,,,,,,,2,,,,8,,,1,1,1,,2,1,,,,,,,4
CENTRAL,21,13,11,,,,,,2,,,2,,,,,,,,,,,,,3,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
CENTRAL,21,14,23,,,,,,,,,1,1,,,,1,,,,,,,1,1,,,,,2,,,,,1,,,5,4,,,,,,,,,,,,,2,,,1,,,,1,1,,,,,,1,
CENTRAL,21,15,9,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,
CENTRAL,21,16,20,,,,,,1,,,2,,,,,1,1,,,,,,,1,,,,,,,,,,,1,1,1,2,,,,,,,,,1,,,,,,,,1,,,2,,1,1,1,,,1,1
CENTRAL,21,17,6,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,1,,
CENTRAL,21,183,20,,1,,,,,,,,,,,,1,,,,,1,,1,1,,,2,,,1,,,,1,,,4,1,,,,,,,1,,1,,,,2,,,,,,,,,,,2,,,,
CENTRAL,21,184,51,3,,2,1,,4,,1,7,,,,,4,,,,,,1,1,,,1,,,,,,1,,1,3,,3,2,,1,1,,1,,,,1,,,,2,,,,1,1,,2,,1,,,,1,,4
CENTRAL,21,185,39,2,,1,,,2,,,5,1,,,,6,,,,,,,,3,,1,,,,,,,,1,6,,2,,,1,,,,,,,1,,,,1,,,1,1,,,,2,,,,,,,2
CENTRAL,21,186,8,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,1,1,,,,,,,1
CENTRAL,21,187,23,1,,1,,,4,,,1,,,,,4,,,,,,,1,,,2,2,,,,,,,,,,1,2,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,1,
CENTRAL,21,188,24,1,,,,,1,,,2,,,,,1,,,,,,,,2,,,,,,,,,,2,,,1,,,,,,,,,,1,,,,6,,,,,3,,2,,,,,,,,2
CENTRAL,21,189,17,,,,,,,,,1,,2,,,2,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,1,,,,,4,,,,,,,,1,,1,,,,,1
CENTRAL,21,19,13,,,,,,,,,,1,,,,1,,1,,,,,,,,2,,,,,,,,,,,2,2,,,,,,,,1,,,,2,,,,,,1,,,,,,,,,,
CENTRAL,21,190,10,,,2,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,
CENTRAL,21,191,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
CENTRAL,21,192,15,,,,,,1,1,,1,,,,,,,1,,,,,,3,,,,,,,,,,1,,,1,,,,1,,,,,1,,,,1,1,,,1,,1,,,,,,,,,,
CENTRAL,21,193,10,,,1,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,
CENTRAL,21,194,18,,,,,,,1,,4,,,,,1,,,,,,,,3,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,4,,,,,,,1,,,,,,,1,
CENTRAL,21,195,25,,,1,,,,,,3,1,,,,2,,,,,,,,,,,1,,,,,,,1,1,,1,3,,,,,,,,,1,,,,5,,,,,3,,1,,,,,,,,1
CENTRAL,21,196,37,,,,,,2,,,2,,,,,5,,,,,,,1,,,,,,,,,,,2,,,2,,,1,2,,,,,1,2,,,,9,,,1,,,,1,1,,,1,,1,,3
CENTRAL,21,197,31,,1,,,,,,,1,2,,,,7,,,,,,,1,1,,1,,,1,,,,,2,,,,,,1,,,1,,,1,1,,,,6,,,,1,1,,,,,,1,,,,1
CENTRAL,21,20,3,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
CENTRAL,21,21,7,,,,,,,,,1,,,,,,,1,,,1,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CENTRAL,21,22,35,,,1,,,,,,2,,,,1,2,,,,,1,,,3,,,,,,,,,,,,,3,2,,,,,,,,,2,1,,,8,,,1,,1,,1,2,,,,,1,1,2
CENTRAL,21,24,17,,,,,,1,,,2,,,,,2,,,,,1,,1,2,,,,,1,,,,2,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,
CENTRAL,22,23,5,,,,,,,,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
CENTRAL,22,25,9,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,2,
CENTRAL,22,26,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
CENTRAL,22,27,6,,,,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,
CENTRAL,22,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
CENTRAL,22,30,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,
CENTRAL,22,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,33,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
CENTRAL,22,34,10,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,2,,,,2,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,
CENTRAL,22,35,3,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
CENTRAL,22,36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CENTRAL,22,37,4,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,38,4,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
CENTRAL,22,39,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,40,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
CENTRAL,22,41,5,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,42,16,,,,1,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,9,,,,,,1,,,,,,,,,,
CENTRAL,22,43,7,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,
CENTRAL,22,44,12,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,1,,,4,,,,,,1,,
CENTRAL,22,45,6,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,
CENTRAL,22,46,43,1,,,,,3,,,19,,,,,1,,,,,,,,,,,1,,,,,,,,,,3,2,,,1,,,,,,3,,,,3,,,,1,,,2,,,,,1,,1,1
CENTRAL,22,47,13,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,,,,1,,,,,,,,,,1,,,,1,,,2,,,,,,,,
CENTRAL,22,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,49,14,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,2,,,1,,,,,,,,,,,,,,1,1,,1,,1,,2,,,,,,,,1
CENTRAL,22,50,32,,,2,,,2,,,6,,,,,2,,,,,,,,,,,,,,,,,,,1,,3,,,,,,2,,,,,,,,5,,,,,,,6,1,,1,,,,,1
CENTRAL,22,51,28,,,,,,1,,,4,,,,,1,,,,,1,,1,,1,,,,,,,,,2,,,2,3,,,,,,,,,1,,,,5,,,,1,1,,1,,,,,,,1,2
CENTRAL,22,52,7,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
CENTRAL,22,53,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,
CENTRAL,22,54,15,,,1,,,,,1,2,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,2,,,,1,,,1,,,1,,,,,
CENTRAL,22,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,56,12,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,1,,,5,,,,1,,,,
CENTRAL,22,59,10,,,,,,,,,2,,,,,,,,,,,,1,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,60,56,1,,,,,3,,,6,1,,,,5,1,,,,,,,,,,1,,,,,,,3,,,1,5,1,,,,,,,,2,,,4,3,,,,4,3,,6,,1,1,,,,,4
CENTRAL,22,64,22,,,,,,,,1,3,1,,,,1,,,,,,,,,,,,,,,,,,3,1,,,,1,,,,,,,,,,,7,,,,,,1,,1,,,,,,,1,1
CENTRAL,23,155,128,,,2,,,,,1,7,,,,,5,,2,,,,,2,1,,1,8,,,,,,,4,,,18,16,,,1,,,,,,,,,29,13,,,1,,7,,4,4,,,,,,2,
CENTRAL,23,156,74,,,2,,,3,1,,6,,,,1,6,,,,,,,,2,,1,,,,,,,,2,3,,4,5,,4,,,,,,15,,,,1,6,,,,,3,,4,,1,,,,,4,
CENTRAL,23,157,110,,,,,2,,,,7,,,,,5,,,,,,,2,3,,4,6,,1,3,,,,,,,6,9,,,,,,,,,2,,,32,7,,,1,,5,1,8,2,,2,1,,,1,
CENTRAL,23,158,21,,,1,,,2,,,,,,,,6,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,2,,,,1,1,1,1,1,,,,,,1,
CENTRAL,23,159,76,2,,1,,,8,,,9,1,,,,2,,,,,,1,,3,,,6,,,1,,,,5,,,5,2,,,1,,,,,,1,,,3,9,,,2,,3,,7,1,,,,,1,1,1
CENTRAL,23,160,18,,,,,,,,,3,,,,,5,,1,,,,,1,1,,,,,,,,,,1,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,23,161,34,,,,,,2,,3,8,1,,,,1,1,,,,,,,,,,,,,,,,,1,1,,5,2,1,1,,,,,,,,,,,6,,,,,1,,,,,,,,,,
CENTRAL,24,162,53,2,,,,,,,,6,,,1,1,7,,,,,,,,2,,3,,,,1,,,,1,,,7,5,,,,,,,,,,,,2,8,,,,,2,,1,3,,,,,,,1
CENTRAL,24,163,54,,,,1,,2,,,9,1,,,1,6,,,,,,,,1,,,1,,,,,,1,3,3,,3,1,,,,,,,,,2,1,,,6,,,,,2,,4,,,,,,3,,3
CENTRAL,24,164,12,,,,,,,,,2,,,,,1,,,,,,,,,,,6,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,24,165,93,,,2,,,2,,,12,2,1,,,4,,,,,,,4,4,,2,6,,,2,,,1,2,2,,6,2,,,1,,1,,,,3,,,4,11,,,1,1,4,,10,,,,,,,1,2
CENTRAL,24,166,13,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,1,2,,1,1,,,,,,1,
CENTRAL,24,167,30,,,1,,,1,,1,3,,,,,6,,1,,,,,,,,1,1,,1,1,,,,,1,,1,2,,1,,,,,,,1,,,,1,,,1,,,,2,,,,1,,,,2
CENTRAL,24,168,14,,,1,,,,,,2,1,,,,1,,,,,,,,,,,,,,,,,1,2,,,,2,,,,,,,1,,,,,,1,,,,1,1,,,,,,,,,,
CENTRAL,24,169,38,,1,,,,1,,,6,,,,1,4,,,,,,,,3,,,,,,,,,,5,,,3,1,,,,,,1,,,1,,,,5,,,,,2,,1,,,,,,1,1,1
CENTRAL,24,170,39,,,,,,1,,1,4,,,,1,5,,,,,,,,,,,,,,,,,,1,,,5,2,,1,,,1,,,,1,,,1,8,,,,,,,1,,,,,,1,3,2
CENTRAL,24,171,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
CENTRAL,24,172,29,,,,,,,,,2,1,1,,,4,,1,,,,,3,1,,,,,,,,,,1,5,,2,,,,,,,,,,,,,1,3,,,,,3,,1,,,,,,,,
CENTRAL,24,173,24,,,1,,,,1,,2,,,,,5,,,,,,,1,,,,1,,,,,,,,,,3,,,,,,,,,,3,,,,1,,,,,1,,2,,,,,,,,3
CENTRAL,24,174,7,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
