PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,ASSIST/PROMOTE PROSTITUTION,BAD CHECKS,BRIBERY,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,TEST OFFENSE,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,12,2,31,,,,,,,,,,,3,1,,,,1,,,,,2,,,,,2,,,,,,,2,,,2,2,,,,,1,,,,,,,,8,,,,1,1,2,1,1,,,,,,1
SOUTH,12,3,60,1,1,2,,,,,,,,8,,,,,,,1,,,,,,35,,,,,,,,,1,1,,,4,,,,,,,,,,,,,3,,,,,,2,1,,,,,,,
SOUTH,12,4,23,,,,,,,,,,,3,,,,,2,,,,,1,,1,1,,1,5,,,,,,1,,,,2,,,,,,,,,,,,1,1,,1,,,,1,,1,,,,,1,
SOUTH,12,6,23,,,,,,,,,,,6,1,,,1,1,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,1,,,,1,,,5,1,,,,,2,
SOUTH,12,7,18,,,,,,,,,,1,1,,,,,2,,,,,,,1,2,,,,,,,,,2,,,1,2,1,,,,,,,,,,,,1,,,,,,,1,2,1,,,,,
SOUTH,12,9,4,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,198,47,,1,,,,,,,,,,,,,,2,,,,,,,,1,,2,6,,,,,,,,,3,7,,,,,,,,,,,,20,3,,,,,,,,2,,,,,,
SOUTH,13,199,23,,,,,,,,,,,2,,,,,,,,,,,,,,,1,1,1,,,,,2,,,3,4,,,,,,,,,,,,,4,,,,,,1,,2,,,,,1,1
SOUTH,13,200,20,2,,,,,,,,1,,5,,,,,,,,,,,,,,,1,1,,,,,,1,,,1,,,,,,,,,,,,,,3,,,,1,,1,,1,,1,,,,1
SOUTH,13,201,54,,,,,,,,1,,,8,1,,,,1,,,,,,,,3,,2,1,,,,,,,,,4,2,,2,,,,,,1,,,,2,11,,,1,,,4,4,1,,1,,1,3,
SOUTH,13,202,18,,,1,,,,,,,,2,,,,,1,,,,,,,6,,,,,,,,,,1,,,,1,,,,,,,,,,,,,2,,,1,,,,1,1,,,,1,,
SOUTH,13,203,13,,,,,,,,1,,,4,1,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,2,,,,2,,,,,,,,,,,,,,
SOUTH,13,204,25,,,,,,,,4,,,4,1,,,,,,,,,1,,,1,,,,,,,,,2,,,,1,,1,,,,,,,2,,,,3,,,,,,,3,,,,,,1,1
SOUTH,13,205,11,,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,1,1,,,,,,,,,,,,,2,
SOUTH,13,206,9,,,,,,,,,,1,2,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,2,,,,,,,1,
SOUTH,13,207,15,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,2,,4,1,,,,,,,,,,1,,,1,,1,,1,,,,1,,,,,,
SOUTH,13,208,13,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,1,,,,,,,,,,,4,,,,,,,,1,,,,,,
SOUTH,13,209,11,,,,,,,,,,,4,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1
SOUTH,13,210,13,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,3,,,4,,,,,,2,
SOUTH,13,211,14,2,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,1,,,,,,1,,
SOUTH,13,212,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,213,26,3,,,,,,,1,1,,3,,,,,,,,,,,,1,1,,,,,,,,,1,1,,1,,,,,,,,,,1,,,,6,,,,,,2,,1,,,,,,3
SOUTH,13,214,16,,,,,,,,,,,6,,,,,1,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,2,,,,1,,,1,1,,,,,1,
SOUTH,13,216,12,,,,1,,,,1,,,,,,,,3,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,1,,,,,,1
SOUTH,13,217,14,,,,,,,,,,,1,,,,,1,,2,,,,,,,,,2,,,,,,,,,1,,,,1,,,,,,,,,1,2,,,,,,,,,,,,,,3
SOUTH,13,218,17,,,,,,,,2,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,1,,,,2,,,,,,,,1,,,,,2,2
SOUTH,13,219,32,2,,,,,,,1,,,5,,,,,1,,,,,,,,1,,2,,,,,,,,1,,4,2,,,1,,1,,,,1,,,,6,,,,,,1,,,,,,,2,1
SOUTH,13,220,21,,,,,,,,2,,,2,1,,,,2,,,,,,,,1,,,,1,,,,,2,,,4,,,,,,,,,,2,,,,,,,,,,1,1,,,,,,1,1
SOUTH,13,221,3,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,14,224,79,1,,1,,,,1,2,,,12,,,,1,12,,,,,,,,,,,,,,1,,,6,,,4,3,1,,,,,,,,,,,,17,,,1,,,3,1,2,,1,,,,9
SOUTH,14,225,42,5,,2,1,,,,,,,6,,,,,6,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,1,1,,,9,,,,,,1,1,,,,,,,4
SOUTH,14,226,19,,,2,,,,,1,,,3,,,,1,3,,,,,,,,1,,,,,,,,,,,,2,1,,,,,,,,,1,,,,1,,,,1,,,1,,,,,1,,
SOUTH,14,229,39,1,,,1,,,,1,,,2,,,,,10,,,,,,,,2,,,,1,,,,,1,,,3,2,,,,,,,,,2,,,,7,,,,,,2,1,1,,,,,,2
SOUTH,14,230,53,4,,1,,,,,1,,,11,1,1,,,3,,,,,,,,1,,1,,,,,,1,,,,10,,,,1,,,,,,1,,,,7,,1,,,,,1,,,,,,1,6
SOUTH,14,231,77,,1,,,,,,2,,,12,4,,,,20,,,,,,,,,,,1,,,,,,3,5,1,3,,,2,1,,1,,,,1,,,,11,,,,1,,3,2,1,,,,,,2
SOUTH,14,232,41,,,1,,,,,5,1,,5,,,,,4,,,,,,,,,,,,,1,,,,1,,,8,,,,,,1,,,,1,,,1,5,,,,,,1,,3,,,,,1,2
SOUTH,14,235,29,,,,,,,,,1,,6,,,,,2,,,,,,,,2,,,2,,1,,,,,,,3,2,,,,,,,,,,,,,5,,,,,,,,1,,,,,,4
SOUTH,14,236,30,2,,,,,,,1,,,3,1,,,,3,,,,,,,,,,,,1,,,,,1,1,,,2,,,,,,,,,,,,,6,,,,,,,,1,,,,2,1,5
SOUTH,14,239,26,2,,,1,,,,2,1,,4,,,,,,,,,,,,,1,,,,,,,,1,2,2,,1,1,,,,,1,,,,1,,,,3,,,,,,,,,,1,,,,2
SOUTH,14,240,6,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,
SOUTH,14,241,17,,,1,,,,,4,,,3,,,,,,,,,,,,,1,,,,,,,,,1,1,,4,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,
SOUTH,14,242,38,,,,,,,,4,,,6,2,,,,1,,,,,,,,,,2,,,,,,,,1,,5,,1,,,,,,,,2,,,,4,,,,,,2,1,3,,,,,3,1
SOUTH,14,247,19,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,3,,,,,,4,,,,1,,,3,
SOUTH,14,248,48,4,,,1,,,,2,1,,11,1,,,,6,,,,,,,,1,,,,,,,,,1,1,,2,1,,,2,,,,,,1,,,,6,,,1,,,,1,,,,,,2,3
CENTRAL,11,197,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,13,9,,,1,,,,,1,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,
CENTRAL,21,14,28,,,,,,,,1,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,8,2,,,,,1,,,,,,,1,2,,,,2,,,4,1,,,,1,,1
CENTRAL,21,15,9,,1,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
CENTRAL,21,16,5,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,17,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
CENTRAL,21,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,183,20,,,1,,,,,,,,1,,,,,1,,,,,,,1,,,2,,,1,,,,1,,,3,1,,,,,,,,,,,,1,3,,,2,,,1,,,,,,,1,
CENTRAL,21,184,39,1,,1,1,,,,4,,,9,,,,,5,1,,,,1,,,,,1,,,,,,,,1,,2,1,,,,,,,,,1,1,,,5,,,1,,,,,1,,,,,,2
CENTRAL,21,185,20,,,,1,,,,,,,1,1,,,,2,,,,,,,,2,,,,,,,,,,1,,2,3,,1,,,,,,,,,,,3,,,1,,,,,1,,,,,,1
CENTRAL,21,186,7,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,
CENTRAL,21,187,29,,1,1,,,,,1,,,3,,,,,,,,,,,,,3,,1,6,,,,,,,,,1,2,,1,2,,,,,,1,,,,4,,,,,,1,,,,,,,,1
CENTRAL,21,188,19,,1,1,,,,,2,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,2,,,,6,,,,,,1,,,,,,,,1
CENTRAL,21,189,23,,,1,,,,,2,,,1,,,,,3,,,,,1,1,,1,,1,,,,,,,,,,1,2,,,,,,,,,1,,,,4,,,,1,,,2,,,,,,1,
CENTRAL,21,19,12,,,,,,,,,,,,,,,,1,,1,,,,,,1,,1,2,,,,,,1,,,,3,,,,,,,,,,,,1,,,,,,,,1,,,,,,,
CENTRAL,21,190,22,,,1,,,,,,,,1,,,,1,2,,,,,,,,1,,,,,,,,,,,1,3,,,,,,,,,8,1,,,,2,,,,,,,,,,,,,,1
CENTRAL,21,191,8,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,1
CENTRAL,21,192,13,,,1,,,,,1,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,1,,,1,,,1,,1,,,,,,
CENTRAL,21,193,11,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,1,,,,3,,,,,,1,,,1,,,,,
CENTRAL,21,194,28,1,,1,,,,,1,,,5,,,,,1,,1,,,,,,,,,1,,,,,,1,,,3,,,1,,,,,,,,,,,7,,,1,,,,,,,1,,,,3
CENTRAL,21,195,16,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,,1,,,1,,,2,,,,,,1,1,
CENTRAL,21,196,15,,,,,,,,,,1,3,,,,,2,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,,,,,1,,,,1
CENTRAL,21,197,20,,,,,,,,1,,,1,,,,,2,,,,1,,,,,,,,,,,,,5,,,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
CENTRAL,21,20,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,21,10,,,1,,,,,,,,2,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
CENTRAL,21,22,18,,,,,,,,1,,,1,,,,,2,,1,,,,,1,,,,1,,,,,,1,,,1,2,,,,,,,,,1,,,,1,,,1,,,,2,1,,,,,,1
CENTRAL,21,24,11,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,1,,,,,,1,,3,,,,,,,,1
CENTRAL,22,23,4,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,25,20,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,8,,,1,,,5,,,,,,1,,
CENTRAL,22,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
CENTRAL,22,28,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,29,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,32,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,34,18,,,,,,,,,,1,1,1,1,,,2,,1,,,,,,,,1,1,,,,,,,,,1,3,,,,,,,,,,,,1,2,,,,,,,,1,,,,,1,
CENTRAL,22,35,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,36,3,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CENTRAL,22,37,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
CENTRAL,22,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,39,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,40,4,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,41,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,42,16,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,,
CENTRAL,22,43,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
CENTRAL,22,44,10,,,1,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,
CENTRAL,22,45,6,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,46,15,,,1,,,,,2,,,2,,,,,,,,,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,2,,,,1,,,2,,,,,,1,
CENTRAL,22,47,10,,,1,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,3,,,,,,,1,,,,,,,
CENTRAL,22,48,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,49,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
CENTRAL,22,50,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,
CENTRAL,22,51,14,,,1,,,,,1,,,1,1,,,,,,,,,,,,,,1,1,,,,,,2,,,,,,1,,,,,,,,,,,3,,,1,,,1,,,,,,,,
CENTRAL,22,52,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,53,4,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,54,8,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,,1,,
CENTRAL,22,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,56,6,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
CENTRAL,22,59,10,,,,,,,,,,,1,,,,,,,,,,,,,,1,,2,,,,,,,,,1,,,,,,,,,,,,,1,1,,,1,,,1,1,,,,,,,
CENTRAL,22,60,37,,,,,,,,1,,,2,,,,1,4,,,,,,,,,,1,8,,,,,,1,1,,3,3,,1,,,,,,,1,,,,5,,,,,,3,,,,,,2,,
CENTRAL,22,64,25,,,1,,,,,,,1,1,1,,,,,,1,,,,,,,,1,3,,,,,,2,,,2,1,,,,,,,,,,,,8,2,,,,1,,,,,,,,,,
CENTRAL,23,155,181,,1,,,,,,2,,1,10,,,,1,7,,1,,,,,,2,,4,22,,,,,,1,1,,18,13,,,2,,,,,,,,,63,7,,,2,,,9,10,1,,,,1,,2
CENTRAL,23,156,84,1,,2,,,,,1,2,,11,,,,,4,,,,,,,,3,1,4,2,,,,1,,1,3,1,11,8,,,,,,,,6,1,,,,10,,,,,,1,3,2,,,,,3,2
CENTRAL,23,157,135,,1,1,,,,,2,,,5,,,,,1,,3,,,,,3,1,,,24,,1,,,1,2,,1,7,19,,,1,,1,,1,6,,,,34,7,,,,,,7,5,1,,,,,,
CENTRAL,23,158,16,,,,,,,,1,,,5,,,,,,,,,,,,,,,,1,,,,,,1,,1,,1,,,,,1,,,,,,,,2,,,,,,1,2,,,,,,,
CENTRAL,23,159,78,2,,3,,,,,4,2,2,5,3,,,,1,,1,,,,1,,3,,1,1,,,,,1,4,,,2,6,,,1,,,1,,,,2,,5,14,,,2,,,3,4,2,,,,1,,1
CENTRAL,23,160,12,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,1,3,,,1,,,,,,,,,,,,,,,,1,2,1,,,,,,
CENTRAL,23,161,37,,,,,,,,1,,1,4,,,,,3,,1,,,,,,3,,1,1,,,,,,3,2,,,2,,,1,,1,,,,,,,,6,,1,,,,2,3,,,1,,,,
CENTRAL,24,162,59,,,1,,1,,,8,,,7,,,,1,7,,,,,,,3,1,,3,,,1,,,,3,,,5,4,,,,,,,,,,1,,,6,,,,,,1,3,1,,,,,2,
CENTRAL,24,163,37,,1,,,,,,1,1,,7,1,,,,2,,,,,1,,,4,,,2,,,,,,1,,,4,1,,,,,,,,,,1,,,5,,,,,,2,2,1,,,,,,
CENTRAL,24,164,13,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,2,,,,1,,,,,,1,,,,2,,,,,,,,1,,,,,,2
CENTRAL,24,165,86,,1,1,1,,,,8,,1,7,,1,,,9,,1,,,,,1,,,4,11,,1,,,,2,,,3,6,,1,1,,,,1,,,,,8,9,,,1,,,3,,,,1,,1,1,1
CENTRAL,24,166,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,1,,,,1,,,,1
CENTRAL,24,167,13,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,2,,,,,,2,1,,,,,,,
CENTRAL,24,168,16,1,,2,,,,,,,,2,1,,,,1,,,,,,,,,,,,,,,,,2,,,1,1,,,,,,,,,,,,,3,,,,,,,,,,,,,2,
CENTRAL,24,169,84,1,,4,,,,,4,,,6,,,,,6,,,,,,1,,2,,2,,,,,,,3,1,1,4,3,,1,1,,,,,,3,,,,13,1,,,6,,1,10,3,,,,2,3,2
CENTRAL,24,170,37,,,,,,,,1,,,5,,,,,4,,,,,,,,,,,,2,,,,,1,1,,2,2,,,,,,,,,,,,1,9,,,,,,,4,,,,,2,2,1
CENTRAL,24,171,5,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,24,172,25,,,,,,,,2,,,4,1,,,,4,,,,,,,2,,,2,1,,,,,,,,,1,2,,,,,,,,,,,,1,1,,,,1,,1,2,,,,,,,
CENTRAL,24,173,27,,,,,,,,4,,,,,,,,4,,,,,,,,,,,2,,2,,,1,,,,1,1,,,,,,,1,,,,,1,5,,,,,,1,,1,,,,1,1,1
CENTRAL,24,174,8,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,
CENTRAL,24,175,18,,,1,,,,,,,,1,,,,,4,,,,,,,,1,,,,,,,,,,,,2,1,,,,,,,,,,,,,1,,,1,3,,,1,,,,,1,1,
