PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,ASSIST/PROMOTE PROSTITUTION,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,TRUANCY - STREET WATCH,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,246,26,,,,,,,,1,,4,1,,,,3,,,,,,,,,,,,,,,,1,,,4,2,,,,,,,,,,,,,,5,,,1,,,2,,,,,,,,2
SOUTH,12,10,16,,,,,,,,,,2,,,,,1,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,2,2,,,,,,4,,,,,,,1,1
SOUTH,12,11,15,,,,1,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,1,,,4,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,1,2
SOUTH,12,12,19,,,,1,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,4,,3,3,,1,,,,,,,,,,,1,2,,,,1,,,,,,,,,,
SOUTH,12,2,33,2,,2,,,,1,,,4,1,,,,,,,,,,,,1,,,,,,,,2,1,,4,4,,1,,,,,,,,,,,,5,,,,,,3,1,,,,,,,1
SOUTH,12,3,29,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,3,3,,1,1,,,,,,,,,,1,6,,,,1,,4,1,,1,,,,1,
SOUTH,12,4,31,,,,,,,,,1,3,,,,,1,1,,,,,,1,2,,1,,,,,,1,,,5,2,,,,,,,,,,,,,,5,,,,,,7,,,,,,,1,
SOUTH,12,6,31,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,1,,,1,,,,5,,,,,,,,,,1,,,,3,,,1,,,13,,,,,,,2,
SOUTH,12,7,17,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,3,,,1,1,,,,,,,,,,,2,,,,,,1,1,,,,,,2,
SOUTH,12,9,12,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,1,,,5,,,,,,,,
SOUTH,13,198,81,,,,,,,,,,1,1,,,1,3,,4,,,1,,1,4,,1,5,1,,,,1,1,,9,4,,,1,,,,,,,2,,,35,4,,,,1,,,,,,,,,,
SOUTH,13,199,33,1,,,,,,,,,1,,,,,2,1,1,,,,,,,,,2,,,,,2,,,5,5,,,,,,,,1,,,,,1,5,1,,,2,,1,1,,,,,,1,
SOUTH,13,200,40,3,,,,,,2,1,,4,,,,,2,,,,,,,,,,,,,,,1,5,,1,6,,,,,,,,1,,,,1,,,9,,1,,1,,,,,,,,2,,
SOUTH,13,201,57,5,,1,,,,2,,,5,,,,,2,,1,,,1,,2,,,,2,1,1,,,4,,,5,4,,1,,,,,,,,1,,,,6,,,2,3,,4,1,,,,,,2,1
SOUTH,13,202,22,,,,,,,,,,7,1,,,,,,,,,,,,,,1,,,,,,1,,,3,2,,1,,,,,,,,1,,,,2,,,,1,,,1,,,,,,1,
SOUTH,13,203,17,1,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,1,,,2,1,,,,,,,,,,,,,,3,,1,1,,,1,,,,,,,1,2
SOUTH,13,204,20,,,,,,,1,,,6,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,2,,,,,,,,1,2,2
SOUTH,13,205,20,2,,,,,,1,,,4,1,,,,,,,,,,,1,,,,,1,,,,,1,,2,2,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,1,1
SOUTH,13,206,19,,,,,,,1,,,3,,,,1,,,,,,,,,1,,,,,,,,,,,3,2,,,,,,,,,,,,,,3,,,1,,,2,,,,,,,2,
SOUTH,13,207,7,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
SOUTH,13,208,14,,,1,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,1,2,,,,,,,,,,,,,,5,,,,1,,,,,,,,,,
SOUTH,13,209,20,,,1,,,,1,,,1,,,,,2,,1,,,,,1,,,,,,,,,2,,,1,,,,,,,,,,,,1,,4,1,,,1,,,1,1,,,,,,1,
SOUTH,13,210,10,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,211,13,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,3,,,,1,,,1,,,,,,,
SOUTH,13,212,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
SOUTH,13,213,32,,,2,1,,,1,,,5,,,,,1,,,,,1,,,1,,,,,,,,1,1,,3,1,,,1,,,,,,,,,,,7,,,2,,,2,,,,,,,,2
SOUTH,13,214,21,1,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,2,,1,1,,,,,,,,,,2,,,,7,,,1,,,,,,,,,,,1
SOUTH,13,215,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,216,11,1,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,1
SOUTH,13,217,18,,,,,,,1,,,2,,,,,2,,,,,,,,,,,2,,,,,1,,,2,,,,,,,,,,,2,,,,4,,,,,,,1,,,,,,,1
SOUTH,13,218,15,1,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,2,,1,2,,1,,,,,,,,,,,,5,,,,,,,,,,,,,,
SOUTH,13,219,32,1,,,,,,,,,6,,,,,2,1,,,,,,,1,,,,,,,,1,,,1,,,,1,,,,,,,1,,,,5,,1,,6,,1,,,,,,,1,3
SOUTH,13,220,25,,,1,,,,2,,,6,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,6,2,,,,,2,,,,,,,,3
SOUTH,13,221,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,14,224,64,1,,,,,,1,,,8,1,,,,6,,,,,,,,,,,,,1,,1,3,1,,6,9,,,,,,,,1,,2,,,,14,,1,,,,1,1,,,,,1,,5
SOUTH,14,225,68,5,,,,,,7,,,6,1,,,,10,,,,,,,,2,,1,1,,,,,4,1,,4,2,,1,,,,,,,,,,,,13,,1,,,,1,3,,,,,1,1,3
SOUTH,14,226,36,1,,,,,,4,,,5,,,,,3,,,,,,,,,,,,,1,,,2,,,6,,,,,,,,,,,,,,,11,,,,,,,1,,,,,,,2
SOUTH,14,229,45,1,,,1,,,1,,,5,,,,,,,,1,,,,,5,,,,,,1,,2,,,6,2,,1,,,,,,,,1,1,,,9,,,,1,,,3,,,,,,1,3
SOUTH,14,230,40,3,,,,,,4,,,6,,,,,1,,,,,1,,,2,,,,,,,2,3,2,,4,1,,,,,,,,,,1,,,,3,,,,2,,1,,,,,,,3,1
SOUTH,14,231,47,2,,,,,,3,,,5,,,,,4,,,,,,,1,2,,,2,1,,,,2,2,,12,1,,1,,,,,,,,,,,,4,,,,2,,1,1,,,,,,1,
SOUTH,14,232,34,,,,,,,4,,,2,,,,,,,,,,,,4,1,,,,,,,,,2,,6,1,,,,,,,,,,,,,,5,,,1,2,,2,1,,,,,2,1,
SOUTH,14,235,26,2,,,,,,2,,,3,1,,,,3,,,,,,,,1,,,1,,,1,1,1,,1,3,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,1,
SOUTH,14,236,32,,,1,,,,,,,2,1,,,,1,,,,,,,,1,,1,,,,,,1,1,,9,2,,,,,,,,,,2,,,,4,,,,,,2,2,,,,,,,2
SOUTH,14,239,26,,,,,,,,1,,4,,,,,2,,,,,,,,2,,,,,,,,,1,,4,,,,,,,,,,,,,,,5,,,,,,3,1,,,,,1,,2
SOUTH,14,240,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
SOUTH,14,241,23,,,,,,,2,,,8,,,,,,,,,,,,,1,,,,,,,,1,,,3,1,,,,,,,,,,,,,,2,,,2,1,,,1,,,,,,,1
SOUTH,14,242,33,1,,,,,,2,,,5,,,,,1,,,,,,,,,,3,,,,,,1,,,5,1,,,,,,,,,,,,,,9,,,1,,,,1,,1,,,,1,1
SOUTH,14,247,12,,,1,,,,1,,1,1,,,,,2,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
SOUTH,14,248,51,,,,1,,,3,,,11,,,,,3,,,,,,,,1,,,,,,,,,2,1,5,2,,1,1,,,,,,,,,,,10,,1,,,,1,3,,1,,,1,1,2
SOUTH,23,156,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,34,147,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
CENTRAL,12,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,13,16,,,,,,,,,,6,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,3,,,,,,2,1,,,,,,,1
CENTRAL,21,14,29,,1,1,,,,3,,,1,,,,,1,,,,,,,,1,,2,,1,,,,,,,8,2,,,1,,,,,,,,,,1,2,,,,,,1,1,,,,,,1,1
CENTRAL,21,15,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
CENTRAL,21,16,7,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,
CENTRAL,21,17,7,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,1,
CENTRAL,21,18,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,183,19,,,,,,,,,,2,1,,,,1,,,,,,,1,,,,,,,,,1,,,2,2,,,,,,,,,,,,,1,6,,,1,,,,,,,,,,1,
CENTRAL,21,184,35,,,2,,,,2,,,7,,,,,2,,,,,,,,,1,,,,,,,2,1,,2,1,,1,,,,,,,,,,,,8,,1,1,,,,,,,,,,2,2
CENTRAL,21,185,31,1,,,,,,1,,1,2,2,,,,,,,,,,,,2,,,,,,,,1,,,4,,,,,,,,,,,,,,,3,,,2,,,7,1,,,,,1,1,2
CENTRAL,21,186,8,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,
CENTRAL,21,187,21,,,,,,,,,,8,1,,,,1,,,,,,,2,,,,,,,,,,,,3,1,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,2
CENTRAL,21,188,27,4,,,,,,,,,2,1,,,,1,,,,,,,,,,,,,,1,,,1,,2,,,1,,,,,,,,,,,,2,,1,,,,2,1,,,,,,1,7
CENTRAL,21,189,21,,,,,,,1,,,2,,,,,1,,,,,,,,3,,,1,,,,,,,,,1,,,,,,,,,,,,,,4,,,,1,,5,1,,,,,,,1
CENTRAL,21,19,25,,,,,,,2,,,,,,,,1,,1,,,,,1,9,,,1,,,,,,,,2,4,,,,,,,,,,,1,,1,,,1,,,,1,,,,,,,,
CENTRAL,21,190,10,1,,,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
CENTRAL,21,191,9,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,
CENTRAL,21,192,10,,,,,,,,,,,1,,,,,,,,,1,,,2,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,1
CENTRAL,21,193,15,,,,,,,3,,1,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,1,,,3,,1,,,,,,1
CENTRAL,21,194,14,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,3,,,1,1,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,
CENTRAL,21,195,15,,,,,,,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,2,6,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,
CENTRAL,21,196,25,,,1,,,,1,,,2,,,,,2,,,,,,,1,2,,,,,,,,,,,1,,,,,,,,,,,1,1,,,7,1,,,,,,3,,,,,,1,1
CENTRAL,21,197,26,1,,,,,,,,,3,1,,,,2,,,,,,,,1,1,1,,,,,,1,2,,2,1,,,1,,,,,,,,1,,,4,,,1,,,,1,,,,,,,2
CENTRAL,21,20,5,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
CENTRAL,21,21,9,,,,,,,,,,,,,,,,,,,,,,,3,,1,2,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,22,23,,,,1,,,2,,,4,,,,,1,,,,,,,1,,,,1,,,,,1,1,,4,,,,,,,,,,,,1,,,3,,,1,,,1,,,,,,,,1
CENTRAL,21,24,13,,,,,,,,1,,1,1,,,,1,,,,,,,,1,,,,,,,,,,,2,1,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,2
CENTRAL,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
CENTRAL,22,25,17,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,2,,,1,,,,5,,,,,,,,,,,,,,4,,,,1,,,1,,,,,,,
CENTRAL,22,26,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,29,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,30,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,31,4,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
CENTRAL,22,33,4,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,34,21,,,,,,,,,1,4,,,,,1,,,,,,,1,,,,,,,,,,,,2,3,,,,,,,,,,,,,4,1,,,1,1,,1,,,,,,,1,
CENTRAL,22,36,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,37,4,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,38,8,,,,,,,,,,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,39,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,40,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,42,8,,,,,,,1,,,4,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,43,6,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
CENTRAL,22,44,26,2,,,,,,4,,,3,,,,,1,1,,,,,,1,,,1,3,,,,,1,1,,1,1,,,,,,,,,,,,,,,1,,1,,,3,,,1,,,,,
CENTRAL,22,45,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,46,32,,,,,,,7,,1,6,,,,,,,,,,,,,,,,,,,,,,1,,2,2,,,,,,,,,,2,1,,,9,,,,,,,,,,,,,,1
CENTRAL,22,47,13,,,,,,,1,,1,2,,,,,1,,,,,,,,1,,,1,,,,,,,,2,,1,,,,,,,,,,,,,2,,,,,,1,,,,,,,,
CENTRAL,22,49,6,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,50,7,,,1,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,
CENTRAL,22,51,33,,,2,,,,5,,,12,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,1,,,,1,,,,2,,,1,,,2,,,,,,,2,1
CENTRAL,22,52,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,53,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,54,10,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,
CENTRAL,22,55,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,56,9,1,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
CENTRAL,22,59,6,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
CENTRAL,22,60,47,,,,1,,,3,,,4,,,,,4,,,,,,,,2,,1,3,1,1,,,3,6,,5,4,,1,2,,,,,,,,,,,2,,,1,1,,1,,,,,,,,1
CENTRAL,22,64,33,,,,,,,1,1,,2,,,1,,2,,,,,,,,5,,1,,,,,,1,,,,2,,,,,,,,,,,,,4,5,,,,2,,6,,,,,,,,
CENTRAL,23,155,156,,,1,,,,,,,8,,,,,2,,8,,,,,2,11,,3,8,,,,,2,,,23,18,,,,,,,,,,2,,,50,5,,,1,,,6,1,,,,,,1,4
CENTRAL,23,156,104,,1,1,1,,,1,,,13,1,,,,2,,,,,,,,4,,2,1,,,,,3,3,,11,13,,1,,,2,,,1,,,,,,9,,1,5,1,,15,2,,,,,3,3,4
CENTRAL,23,157,150,,,,,,,1,,,11,,,,,3,,1,,,,,3,10,,1,3,,,,,4,1,,13,16,,1,1,,,,,,1,3,,,41,6,,,1,9,,13,,,,,,,1,6
CENTRAL,23,158,10,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,1,,,,1,,,2,,,,,,,
CENTRAL,23,159,80,1,1,,,,,2,,,8,,,,,4,,,,,3,,1,4,,,,,,,,1,2,,7,8,,,1,,1,,,,,1,,,3,15,,,1,1,,7,3,,,,,,3,2
CENTRAL,23,160,8,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
CENTRAL,23,161,29,,,1,,,,2,,,4,,,,,2,,,,,,,1,,,,1,,,,,,,,5,2,,,,,,,,,,,1,,,3,,,,,,3,2,,,,,,1,1
CENTRAL,24,162,63,,1,,,,1,1,,,3,,1,,,1,,1,,,,,2,3,,,,,,,,1,1,1,11,10,,,,,1,,,,,,,,1,10,,,,2,,4,,,,,,1,3,3
CENTRAL,24,163,32,1,,,,,,4,,,3,1,,,,,,,,,,,,,,,,,,,,,2,,2,5,,,,,,,,,,,,,,4,,,,4,,1,3,,,,,,2,
CENTRAL,24,164,6,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1
CENTRAL,24,165,63,,,,,,,3,1,,8,,,,,5,,1,,,,,,10,,1,6,,,,,2,3,,4,3,,,,,,,,,,,,,3,7,,1,1,1,,1,,,,,,,1,1
CENTRAL,24,166,14,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,5,,,,,,1,,,,,,,3,
CENTRAL,24,167,24,,,,,,,1,,,2,,,,,,,,,,,,,2,,1,2,,,,,2,,,4,3,,,,,,,,,,,,,3,3,,,,,,1,,,,,,,,
CENTRAL,24,168,10,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,1,
CENTRAL,24,169,53,2,,2,,,,3,,,11,,,,,2,,,,,,,,3,,,,,,,,3,1,,7,4,,1,,,,,,,,1,1,,,4,,1,,,,1,1,,,,,2,1,2
CENTRAL,24,170,38,,,1,,,,4,,,8,,,,,1,,,,,,,,,,,1,,,,,1,,,6,2,,,1,,,,,,,2,2,,3,1,,1,,2,,1,,,,,,,,1
CENTRAL,24,171,5,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,
CENTRAL,24,172,32,,,,,,,1,,1,1,1,,,,1,,1,,,,,2,3,,,5,,,,,,,,1,2,,,,,1,,,,,1,,,1,3,,,1,,,4,,,,,,,2,
CENTRAL,24,173,16,,,,,,,,,,3,,,,,2,,,,,,,1,1,,,1,1,,,,,,,1,2,,,,,,,,,,,,,1,,,,1,1,,1,,,,,,,,
CENTRAL,24,174,6,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,1,,,,,,,
CENTRAL,24,175,14,,,,,,,,,,,,,,,,,,,,,,1,2,,2,1,,,,,,3,,,1,,,,,,,,,,,,,1,,,,,1,,2,,,,,,,,
