PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,GAMBLING-BETTING/WAGERING,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,246,46,2,,,,5,,,9,,,,,1,,,,,,,,3,,,,,,,,,1,,,2,,,,1,,,,,,,1,,,10,,,,,1,4,1,,1,,,,4
SOUTH,12,10,25,,,,,1,,,4,1,,,,1,,,,,,,1,,,,,,,,,,1,,,3,,,1,,,,,,,,,,4,2,,,2,,,4,,,,,,,
SOUTH,12,11,22,,,,,,,,2,1,,,1,1,,,,,,,,1,,,,,,,,,,,,2,3,,,,,,,,,,,,,7,,,,,1,2,1,,,,,,
SOUTH,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,2,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,1
SOUTH,12,2,41,,,1,,,,,3,1,,,,3,,,,,,,1,,,2,1,,,,,,3,,,3,1,,,,,,,,,,2,,,13,,,1,,1,1,2,,,,,1,1
SOUTH,12,3,27,,,2,,2,,,3,,,,,2,,1,,,,,,1,,,,,,,,,1,,,4,3,,1,,,,,,,,,,,1,,,,,1,1,1,,,,2,,1
SOUTH,12,4,27,,,,,,,,,,,,,5,,,,,,,,1,,1,,,1,,,,1,,,3,3,,,,,,1,,,,,,1,2,,,1,,3,3,,,,,,1,
SOUTH,12,6,29,,,,,1,,,7,,,,,1,,,,,,,,,,,,,,,,,1,1,,1,3,,,,,,,,,,,,,3,,,,,,9,1,,,,,1,
SOUTH,12,7,21,2,,,,,,,2,,,,,3,,,,,,1,,1,,,,,,,,,1,,2,1,1,,,,,,,,,1,,,,1,,,,,,2,,,1,,1,,1
SOUTH,12,9,10,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,,,,,,,,,,,,,,,,2,,1,1,,,,,1,
SOUTH,13,198,15,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,
SOUTH,13,199,42,2,,,,1,,,3,,,,,8,,1,,,,,,1,,,1,,,,,,,,,5,2,,1,2,,,,1,,,,,2,6,,,,,3,1,,,1,,,,1
SOUTH,13,200,21,,,,,1,,,1,,,,,3,,,,,,,,,,1,,,,,,,1,2,,,,,1,,,,,,,,,,,8,,,1,,1,,,,1,,,,
SOUTH,13,201,51,,,,,1,,,5,1,,,,3,,1,,,,,4,1,,2,1,,,1,,,2,,,4,4,,1,,,,,,,3,,,1,6,,,,,1,3,2,,,,,2,2
SOUTH,13,202,19,,,,1,,,,4,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,4,3,,,,,1,1
SOUTH,13,203,16,1,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,1,,,,,2,1,,,,,,,1
SOUTH,13,204,26,,,,,2,,,3,1,,,,4,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,1,,,,5,,,1,,,,1,,,,,,2
SOUTH,13,205,26,3,,1,,1,,1,1,,,,,1,,,,,,,,2,,,,,,,,,1,,,6,,,,,,,,,,,,,2,3,,,,,1,1,1,,,,,,1
SOUTH,13,206,20,,1,1,,1,,1,3,,,,,3,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,1,1,1,1,,,,,,1,1
SOUTH,13,207,19,,,,,2,,,4,,,,,,,,,,,,,1,,,,,,,,,,2,,5,,,,,,,,,,,,,,1,,,,,3,,,,,,,,1
SOUTH,13,208,17,1,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,1,,,6,,,,,,,,,,,,,2,,,,,,,2,,,,,,1
SOUTH,13,209,15,,,,,,,,2,,,,,1,,,,,,1,,,,,1,,,,,,,,,2,1,,,,,,,,,1,,,,3,,,,,,,2,,,,,,1
SOUTH,13,210,9,1,,,,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
SOUTH,13,211,12,,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
SOUTH,13,212,3,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,213,51,,,1,,13,,,4,,,,,4,,,,,,,,4,,1,1,,,1,,,,,,3,5,,,,,,,1,,,,,,4,,,,,2,2,,,,1,,2,2
SOUTH,13,214,5,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,
SOUTH,13,216,15,1,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,2,,,,1,,1,,,,,,,3
SOUTH,13,217,23,2,,,,2,,,2,,,,,3,,,,,,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,3,,,,,1,1,1,,,,,1,1
SOUTH,13,218,64,4,,,,3,,1,8,1,,,,7,,,,,1,,,2,,,,,,1,1,,2,1,2,,3,1,,,,2,,,,3,,1,,8,,,,,1,,1,,,,,1,9
SOUTH,13,219,34,,,,1,1,,,3,,,,,3,,,,,,,1,,,1,,,,1,,,1,,1,3,,,,,,,,,,1,,,,7,,,,,2,2,,,,,1,,5
SOUTH,13,220,21,,,,,2,,,2,,,,,3,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,1,,,,2,,,,,1,2,1,,,,,1,3
SOUTH,14,224,89,1,,2,,4,,,16,1,,,,9,,,,,1,,,2,,1,,,,1,,,8,6,1,7,,,,,,,,,,1,3,,,12,,,,1,1,,,,,,,,11
SOUTH,14,225,64,3,,1,,3,,,11,,,,,8,,,,,,,,,,,,,,,,,3,5,,3,2,,,,,,,,,,2,,,10,,,,,1,1,3,,,,,3,5
SOUTH,14,226,21,,,,1,1,,,4,,,,,6,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,4,,,,,,,1,,,,,,1
SOUTH,14,229,40,,,,,,,,6,,,,,8,,,,,,,,,,,,,,,,,,1,,5,1,1,,,,,,,,1,,,,8,,1,,,1,1,,,,,,,6
SOUTH,14,230,38,,,,,2,,,3,2,,,,6,,,,,,,,2,,,,,,,,,,4,,3,,,1,,,1,,,,,1,,,3,,,1,,2,3,1,,,,1,,2
SOUTH,14,231,69,,,,,4,,,7,,,,,14,,,,,,,,1,,,,,,,,,1,1,,4,2,,2,,,,,,,4,1,,,11,1,,,,2,,3,1,,,,2,8
SOUTH,14,232,39,2,,,,4,,,8,,,,,4,,,,1,1,,,2,,,,,,1,,,,,,4,,,1,,,,,,,,,,,5,,,,,1,,1,1,1,,,,2
SOUTH,14,235,49,2,,,,3,,1,9,,,,,5,,,,,1,,,1,,1,,,,,,,2,1,,1,,,,1,,,,,1,1,,,,8,,,,,,3,2,,1,1,1,1,2
SOUTH,14,236,75,5,,1,,4,,,8,,,,,8,,,,,,,,,,,,1,,1,1,2,2,,,4,6,,1,,,,,,,2,,,,7,,1,1,1,,6,2,,,,,2,9
SOUTH,14,239,41,1,,,,7,,,3,,,,,1,,,,,1,,,,,,,,,1,,,,6,,1,,,,,,,,,,,,,,7,,,,,2,6,1,,,,,2,2
SOUTH,14,240,11,1,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,1,,1,2,,,,,,,
SOUTH,14,241,31,2,,,,4,,,3,,,,,1,,,,,,,,,,,,,,,,,1,2,,7,2,,,,,,,,,,,,,2,,,,1,2,3,1,,,,,,
SOUTH,14,242,51,3,,,,12,,,7,,,,,3,,,,,2,,,,,,,,,,,,1,1,,2,1,,1,,,,,,,2,,,,5,,,1,,1,1,3,,,,1,,4
SOUTH,14,247,32,,,,1,5,,1,3,1,,,,3,,,,,,1,,,,,,,,,,,,,2,3,,,,,,,1,,,,,,,6,,1,,,1,1,,,,,1,,1
SOUTH,14,248,67,,,2,,5,,,14,,1,,,8,,,,,,,,,,,,,1,,,,1,1,,,2,,,2,,,,,,1,,,,12,,1,,1,4,3,,,,,,1,7
CENTRAL,21,13,15,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,1,,,,3,,1,,,,1,1,,,,,1,2
CENTRAL,21,14,22,,,1,,,,,7,,,,,1,,,,,,,,,,,,,,,,,2,,,2,1,,,,,,,,,1,,,1,2,,,,1,1,1,,,,,,,1
CENTRAL,21,15,12,,,3,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,3,,,,,,,
CENTRAL,21,16,20,,1,,,,,,4,,,,,2,,,,,,,,,,,,,1,,,,,2,,4,2,,,,,,,,,,,,,2,,,,,,,1,,,,,,1
CENTRAL,21,17,5,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,
CENTRAL,21,18,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
CENTRAL,21,183,10,,,,,,,,1,,,,,3,,,,,,,,2,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1
CENTRAL,21,184,51,1,,1,,6,,,7,,,,,2,,,,,1,,,,1,,,,,,,,2,,1,2,1,,,1,,,,,,1,1,,,13,,1,1,,1,1,1,,,,,1,4
CENTRAL,21,185,59,,,2,,3,1,,9,,,,,6,,,,,,1,,2,,,,,,1,,,2,6,,,2,,,,,,,,1,3,,,,5,,,,2,,1,1,1,2,,1,1,6
CENTRAL,21,186,8,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,1,,,,,,,,
CENTRAL,21,187,26,1,,1,,,,,4,,,,,4,,,,,,1,,,,,,,,,,1,2,,,1,2,,,,,,,,,,,,1,2,,,,1,,1,,,,,,,4
CENTRAL,21,188,36,1,,3,,2,,1,4,,,,,1,,,,,,,,,,,,,,,,,2,,,3,2,,,,,,,,,,,,,9,,,,,1,1,,,1,,1,,4
CENTRAL,21,189,18,,,,,,,,2,,1,,,2,,,,,,,,2,,,,,,,,,1,,,3,2,,,,,,,,,1,,,,1,,,,,1,,,,,,,,2
CENTRAL,21,19,11,,,,,,,,2,,,,1,1,,,,,,,,1,,1,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,1,
CENTRAL,21,190,15,1,1,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,2,,,,,,6,,,,,,,,,,,,,
CENTRAL,21,191,7,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
CENTRAL,21,192,10,1,,,,,1,,1,,,,,2,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,2
CENTRAL,21,193,10,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,2,,,,1,,,,
CENTRAL,21,194,25,3,,,,2,1,,6,1,,,,2,,,,,,,,1,,,,,,,,,,1,,1,1,,1,,,,,,,,,,,2,,,,,1,,,,,,,,2
CENTRAL,21,195,11,,,,,2,,,1,,,,,1,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,3,,,1,,,,,,,,,,
CENTRAL,21,196,48,2,,,2,,,,7,,,,,3,,1,,,,,1,1,,1,,,1,,,,2,,,2,,,,,,,,,,2,,,,11,,,2,,1,2,,,,1,,2,4
CENTRAL,21,197,32,,,6,1,1,,,2,,,,,3,,,1,,,,,,,,,,,,,,2,1,,,3,,,,,1,,,,,,,,9,,,,,1,1,,,,,,,
CENTRAL,21,20,7,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
CENTRAL,21,21,11,1,,,,1,,,1,,,,,,,,,,,,3,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,
CENTRAL,21,22,30,,,1,,3,,,3,,,,,1,,,,,,,,1,,,,,1,,,,,,1,,1,,,1,,,,,,,,,,8,,,1,,1,1,3,,,,,3,
CENTRAL,21,24,18,,,,,,,,3,,,,,1,,,,,,,,,,1,,,,,,,1,3,,3,1,,2,,,,,,,,,,,1,,,,1,,,,,,1,,,
CENTRAL,22,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,
CENTRAL,22,25,15,,,,,,,,,2,,,,3,,,,,,,,1,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,1,,4,1,,,,,,,
CENTRAL,22,26,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,27,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,
CENTRAL,22,28,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
CENTRAL,22,29,3,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,22,30,10,,,,2,1,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
CENTRAL,22,31,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,32,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,33,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,34,29,1,1,,,,,1,2,1,,,,2,,,,,,,,1,,2,4,,,,,1,,1,,,6,,,,,,,,,,,,1,2,,,,,1,1,1,,,,,,
CENTRAL,22,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,36,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
CENTRAL,22,38,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,39,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
CENTRAL,22,40,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
CENTRAL,22,42,29,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,5,1,,,,,,,,,,,,9,1,,,,3,1,5,,,,,,,1
CENTRAL,22,43,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,22,44,17,,,,,,,,1,1,,,,2,,,,,,,1,,,,,,,,,,,,,3,3,,,,,,,,,,,,,4,,,1,,,1,,,,,,,
CENTRAL,22,45,10,,,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,2,,,,,,,
CENTRAL,22,46,24,1,,,,4,,,4,2,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,7,,,,,2,2,,,,,,,
CENTRAL,22,47,23,1,,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,1,2,,4,1,,,,,1,,,,,,,,3,,,1,,3,1,,,,,,,
CENTRAL,22,48,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,49,18,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,4,,,,,,2,,,,,,,
CENTRAL,22,50,20,1,,1,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,1,,,,1,,,,,,,3,,,,,1,3,,,,,,,
CENTRAL,22,51,34,,,1,,7,,,4,1,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,3,,,,5,,,,,1,5,1,,,1,,,1
CENTRAL,22,52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,53,12,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,3,,3,,,,,,,
CENTRAL,22,54,12,,,,,1,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,1,,1,,,,1,1
CENTRAL,22,55,9,,,1,,1,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,56,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
CENTRAL,22,59,7,,,,,,,,2,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,60,40,1,,2,,5,,,5,,,,,3,,,,,,,1,,,,2,,,,,,,,,3,3,,,,,,,,,,,,1,4,,,,,2,5,1,,,,,1,1
CENTRAL,22,64,36,,,1,,1,,,1,1,,,,2,,,,,,,,2,,,1,,,,,,1,1,,5,1,,,,,,,,,,,,7,1,,,,1,4,4,1,,,1,,,
CENTRAL,23,155,105,,1,,,,,,6,,,,,3,,,,,,,2,3,,1,10,,,1,,,2,,,14,14,,1,,,,,,,,,,20,7,,,,,8,7,3,,,,,1,1
CENTRAL,23,156,98,1,,,,4,,,10,3,,,,4,,,,,,,,3,,1,1,,,,,,5,6,,5,7,,1,,,3,,,,2,1,,,12,,1,1,1,4,9,5,,,,2,5,1
CENTRAL,23,157,148,1,1,,,2,,,8,,,,,1,,3,,,,,1,,1,,21,,,1,,,4,,,18,15,,,1,,,1,,,,,,40,14,,,,1,5,5,1,,1,,,,2
CENTRAL,23,158,20,,,,,1,,,1,,,,,5,,,,,,,,,,,,,,,,,1,,,2,3,,,,,,,,,,,,,1,,,,2,,4,,,,,,,
CENTRAL,23,159,83,2,1,2,1,4,,1,11,1,,,,3,,,,,,,1,2,,1,2,,,,,,4,2,,6,4,,,1,,,,,,,1,,1,15,,,,,2,8,2,,,,2,,3
CENTRAL,23,160,14,,,,,1,,,2,,,,,2,,,,,,,,,,1,,,,,,,2,,,,2,,,1,,,,1,,,,,,,,,,,2,,,,,,,,
CENTRAL,23,161,35,,,,,1,,,5,,,,,,,,,,,,3,1,,,1,,,1,,,,,,2,8,,,1,,1,,,,2,1,,1,3,,,,,1,1,1,,,,,,1
CENTRAL,24,162,50,1,,1,,,,2,4,,,,,2,1,1,,,,,,1,,,1,,,,,,5,,,5,4,,,,,,,,,1,,,1,12,,,1,,3,1,2,,,,,,1
CENTRAL,24,163,50,1,,,,,,,8,1,,,,2,,,,,1,,,1,,,,,,,,,3,3,1,4,,,,2,1,1,,,,1,,,,9,,,,,2,5,2,,,,,,2
CENTRAL,24,164,4,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,24,165,93,1,1,,,4,,,10,1,,,,4,,1,,,,,5,,,3,6,,,,,1,2,1,,12,9,,,,,,,,,,,,5,11,,,,,3,6,1,,2,,,2,2
CENTRAL,24,166,10,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,2,1,,,,,,,
CENTRAL,24,167,40,,1,,,,,,3,,,1,,4,,,,,,,1,,,,2,,,,,,2,1,,3,3,,,,,,,,,,,,1,3,,,,,8,2,1,,,,1,2,1
CENTRAL,24,168,9,,,1,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,
CENTRAL,24,169,42,1,,1,,5,1,,9,,,,,1,,,,,,,,,,,,,,,,,3,2,,1,1,,,,,1,,,,,,,,10,,,1,,1,1,1,,,,,2,
CENTRAL,24,170,44,1,,,,3,,,6,,,,1,4,,,,,,1,1,,,,,,,,,,,1,,4,1,,1,,,1,,,,1,,,1,9,,,,,,2,,2,,,1,1,2
CENTRAL,24,171,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,2,,,,,,,,,,,,,
CENTRAL,24,172,30,,,1,,,,,3,,,,,3,,1,,,,,1,1,,3,4,,,1,,,,,,2,3,,,,,,,,,,,,,7,,,,,,,,,,,,,
CENTRAL,24,173,16,,,,,1,,,4,,,,,1,,,,,,,,,,,2,,,,,1,,,,1,1,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,1
CENTRAL,24,174,13,,,,,1,,,2,,,,,1,,,,,,,,1,,,,,,,,,2,1,,1,,,,,,,,,,,,,,2,,,,,,1,,,,,,1,
CENTRAL,24,175,8,,1,,,,1,,1,,,,,,,,,,,,1,1,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,176,14,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,2,2,,,,,,,,,,,,,3,,,,,1,,1,,,,,1,
CENTRAL,24,177,17,,,,,,,,2,1,,,,1,,,,,,,,1,,,,,,,,,,,,1,1,,1,,,1,,,,,,,,2,,,,,2,1,2,,,,,1,
CENTRAL,24,178,5,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
CENTRAL,24,179,8,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,
CENTRAL,24,180,27,,,,,1,,2,2,1,,,,,,1,,,,,,,,,,,1,,,,2,,1,2,1,,,,,,1,,,,,,,6,,,,,1,,2,,,,,1,2
CENTRAL,24,181,12,,,,,,1,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,1,1,,,,,,1,
CENTRAL,24,182,10,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,2,,1,,,,1,,,,,,,,,,1,,,,,1,1,1,,,,,,
