PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SHOPLIFTING,SIMPLE ASSAULT,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,13,207,9,,,,,,2,,,1,,,,,,,,,,,,,1,,,,,,,,,3,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,
SOUTH,13,208,13,,,1,,,4,,,1,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,2,,,,1,1,,,,,,,
SOUTH,13,209,13,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,1,,,1,,,1,,,,,,,,1,,3,,,1,,1,,,,,,,,1
SOUTH,13,210,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,1,,,,,,1
SOUTH,13,211,24,,,,,,,,,4,,,,,2,,,,,1,,,,,,,,1,,1,,,,1,,,,,,,,1,,,,,,7,,,,5,1,,,,,,,
SOUTH,13,212,4,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
SOUTH,13,213,23,,,1,,,2,,,6,,,,,,,,,,,,,,,,1,,,,,1,2,,1,,,,,,,,,,,1,,,3,,,,1,2,,,,,,1,1
SOUTH,13,214,13,,,,,,,,,1,,,,,,,,,1,1,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,1,1,,1,,,,,,1,
SOUTH,13,216,13,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,3
SOUTH,13,217,22,,,,,,1,,,1,,,,,1,,,,,1,,1,1,,,3,,,,,1,1,,2,,,,,,,,,,,,,,3,,,,1,3,2,,,,,,
SOUTH,13,218,21,1,,,,,1,1,,2,,,,,2,,,,,,,,1,,,,,,,,1,2,,3,,,,,,,,,,,1,1,,3,,,,,,,,,,,,2
SOUTH,13,219,28,1,,,,,1,,,4,,,,,,,,,,,,1,,,,,,,1,,1,1,,,,1,1,,,,,,,,2,,,5,,1,,1,,1,,,,,2,4
SOUTH,13,220,14,,,,,,1,,,1,,,,,1,,,,,,,,2,,1,,,,,,1,2,,,,,,,,,,,,,,,,1,,,,,,3,,1,,,,
SOUTH,14,224,45,2,,,1,,1,,,8,1,,,,2,,,,,,,,2,,,,,,,,2,1,,3,2,,,2,,,,,,,1,1,,7,,,,3,,3,,,,,1,2
SOUTH,14,225,45,4,,,,,3,,,8,1,,,,4,,,,,,,,2,,1,2,,,,,1,,,6,4,,1,,,,,,,,1,,,4,,1,,,,,,,,,,2
SOUTH,14,226,30,,,,,,3,,,3,,,,,1,,,,,,,1,,,,1,,,,,3,3,,2,2,,,,,1,,,,,,,,6,,,,,1,,,,,1,,2
SOUTH,14,229,38,1,,,,,1,,,3,1,,,,1,,,,,,1,,4,,,,1,1,,,1,3,,3,3,,,1,,,,,,,,,,5,,,,1,,1,,,,,3,3
SOUTH,14,230,27,2,,,1,,1,1,,3,,,,,1,,,,,,,,,,,,,,,,1,,,8,,,,,,,,,,,,,,7,,,,,,2,,,,,,
SOUTH,14,231,91,1,,1,1,,1,,,11,2,,,,3,,,,,,,2,1,,,35,,,,,1,1,,6,1,,2,,,,,,,,,1,,8,,2,1,1,,3,,,,,,6
SOUTH,14,232,24,1,,,,,3,,,2,1,,,,1,,,,,,,,,,,,,1,,,1,2,,1,1,,1,,,,,,,,,,2,4,,,,,,,,,,2,,1
SOUTH,14,235,44,,,,,,2,,,5,,,,,2,,,,,,,1,,,,1,,1,,,2,1,,3,3,,1,,,2,,,,,1,,,9,,,1,3,,2,,,,,2,2
SOUTH,14,236,28,,,,,,,,,2,,,,,1,,,,,,,,1,,1,,,,,,1,,,4,4,,,1,,,,,,,3,,,3,,,,2,2,1,,1,,,,1
SOUTH,14,239,27,2,,,,,6,,,1,,,,,1,,,,,,,,,,,,,,,,3,1,,2,,,,,,,,,,,1,,,6,,,,1,,,,1,,,1,1
SOUTH,14,240,9,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,3,,,,,,,
SOUTH,14,241,14,,,,,,4,,,3,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,1,,2,,,,,1,,,,,,,
SOUTH,14,242,29,,,,1,,1,1,,1,,,,,2,,,,,1,,,,,,,,,,,2,,,1,2,,,,,1,,,,,2,,,6,,,,,2,1,,1,,,1,3
SOUTH,14,247,19,,,,,,3,,,5,,,,,2,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,1,,,2,,,,2,1,,,,,,,
SOUTH,14,248,35,,,1,,,6,1,,5,1,,,,,,,,,,,,1,,,,,,,,1,,,3,1,,,,,,,,,,1,,,7,,,,2,3,,,,,,1,1
CENTRAL,21,13,7,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,,,,,
CENTRAL,21,14,29,,1,,1,,,,,9,,,1,,,,,,,,,,1,,1,,,,,,,,,9,1,,,1,,1,,,,,,,,1,,,,,2,,,,,,,
CENTRAL,21,15,8,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,1,,
CENTRAL,21,16,9,,,,,,1,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,1,,
CENTRAL,21,17,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,
CENTRAL,21,18,5,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,
CENTRAL,21,183,19,,,,,,,,,1,1,,,,2,,,,,,,,1,,,,,,,,,,,2,3,,,,,,,,,,,,3,4,,,,,1,,,,,,,1
CENTRAL,21,184,37,1,,,,,4,,,6,1,,,,2,,,,,,,1,,,,,,,,,,1,,3,1,,,,,,,,,,1,,,8,,,2,,2,1,,,,,,3
CENTRAL,21,185,28,,,1,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,1,2,,3,2,,,,,1,,,,,,,,4,,,3,1,6,,,,,,1,
CENTRAL,21,186,14,,,,,,2,,,2,,,,1,1,,,,,,,,,,,,,,,,,1,,2,,1,,1,,,,,,,,,,,,1,,,1,1,,,,,,
CENTRAL,21,187,26,1,,,,,1,,,3,,,,,4,,,,,,,,,,,1,,1,,,,1,,2,,,,,,,,,,,1,,,6,,1,,1,1,,,,,,,2
CENTRAL,21,188,31,1,,,,,2,,,,,,,,1,,,,,,,,1,,1,,,,,,2,1,,1,,,,,,,,,,,1,,,4,,,5,3,3,1,,,,,1,3
CENTRAL,21,189,12,,,,,,,,,1,1,,,,1,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,2,1,1,,,,,,
CENTRAL,21,19,13,1,,,,,,,,2,,,,,1,,,,,,,,,,,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,
CENTRAL,21,190,14,,,,,,,,,2,1,,,,3,,,,,,,,,,,,,1,,,1,1,,1,1,,,,,,,,,,,,,2,,,,1,,,,,,,,
CENTRAL,21,191,9,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,2,,,,,,,,2
CENTRAL,21,192,22,,,,,,2,1,,1,,,,1,3,,,,,,,1,,,,2,,,,,1,1,,2,1,,,,,,,,,,1,,2,,,,1,,1,,,,,,1,
CENTRAL,21,193,7,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,2,,,,,,,,,,,,
CENTRAL,21,194,19,,,1,1,,1,,,1,,,,,1,,,,,,,3,,,,,,,,,,1,,1,4,,,,,1,,,,,1,,,1,,,,2,,,,,,,,
CENTRAL,21,195,30,3,,,,,,,,1,1,,,,3,,,,,,,,1,,,1,,,,,,1,,2,,,,,,,,,1,,2,,,6,,,,1,3,1,,,,,,3
CENTRAL,21,196,34,2,,,,,1,,,9,1,,,,,,1,,,,,,2,,,2,,,,,,,,1,1,,,,1,,,,,,1,,4,2,,,,1,,4,,,,,,1
CENTRAL,21,197,27,,1,1,1,,1,1,,1,,,,1,1,,,,,1,1,,2,,1,1,,,,,,1,,1,1,,1,,,,,,,,,,,6,,,,,1,1,,1,,,,
CENTRAL,21,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,1,
CENTRAL,21,21,7,,,1,,,,,,,,,,,,,,,,,,2,,,1,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,21,22,32,,1,1,,,2,,,2,,1,,,2,1,,,,,,,,,2,,,,,,1,,,4,2,,,1,,1,,,,,,,,6,,,2,1,1,1,,,,,,
CENTRAL,21,24,30,,,1,,,,,,,,,,,8,,,,,,,,,,,,,,,,,11,,1,,,2,,,,,,,,,,,3,,,,3,,,,,,,,1
CENTRAL,22,23,4,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,25,23,1,,,,,,,,1,1,,,,3,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,6,,,,4,1,2,,,,1,,1
CENTRAL,22,26,3,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
CENTRAL,22,27,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,28,3,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
CENTRAL,22,29,4,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
CENTRAL,22,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,34,15,,,,,,,,,2,,,,,,,,,,,,4,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,1,,,,2,2,,,,,,,
CENTRAL,22,35,3,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,37,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,
CENTRAL,22,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
CENTRAL,22,42,8,,,,,,,,,1,,,,,1,,,,,,,,,,,2,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,1,,,,,,
CENTRAL,22,43,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
CENTRAL,22,44,18,,,,1,,3,,,3,1,,,,1,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,2,,1,,,1,,,1,,,,,,,1
CENTRAL,22,45,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,
CENTRAL,22,46,23,1,,1,,,2,,,3,,,,,,,,,,,,,1,,1,,,,,,,1,,2,2,,,,,,,,,,,,,6,,,,2,1,,,,,,,
CENTRAL,22,47,26,,,,,,1,,,3,1,,,,,,,,,,,,,,3,,,,,,1,2,,,2,,1,,,,,,,,,,,6,,,2,,3,1,,,,,,
CENTRAL,22,49,13,,,,,,2,,,2,,,1,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,2,2,,,,,,,
CENTRAL,22,50,5,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,
CENTRAL,22,51,22,,,,,,,1,,1,,,,,,,1,,,,,,,,,1,,,,,,1,,2,1,,2,,,,,,,,1,1,1,4,,,,2,1,,,,,,1,1
CENTRAL,22,52,5,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,53,7,,,,,,,,,,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,
CENTRAL,22,54,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,3,,,,,,2,
CENTRAL,22,56,3,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,59,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,60,33,,,,,,,,,5,,,,,1,,,,,,,,1,,1,1,,,,,2,2,,2,5,,1,,,,,,,,1,,2,3,,,1,1,1,,,1,,,1,1
CENTRAL,22,64,28,,,,,,,,,2,1,,,,1,,,,,1,,1,1,,,1,,,,,,,,1,5,,,,,,,,,,,,9,1,,,,,4,,,,,,,
CENTRAL,23,155,188,1,1,,,,,,,3,,,1,,4,,2,,,,,1,28,,7,20,,,,,3,,,15,22,,,1,,,,1,,,1,,45,8,,,,11,8,3,,,,,1,1
CENTRAL,23,156,115,,1,1,,,2,,,11,2,,1,,2,,,,,,,1,3,,2,,,1,1,,3,5,,12,15,,1,1,,1,,,,,,,1,9,1,1,7,5,10,2,,,,6,5,2
CENTRAL,23,157,142,,1,,,,,,,6,,,,,,,4,,,,,3,12,,,11,,3,,,2,1,1,20,10,,,,,,,1,,,1,,31,7,1,1,1,6,11,2,1,,1,,,4
CENTRAL,23,158,9,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,4,,,,,,,,,,,,,,,,1,,1,,,,,,,
CENTRAL,23,159,77,1,,,,,2,2,,9,3,,,,4,,,,,,,2,2,,1,2,,1,,,1,1,,6,4,,1,,,3,1,,,,2,,2,12,1,2,1,2,2,2,,,1,,3,1
CENTRAL,23,160,14,,,,,,,,,1,,,,,2,,,,,,,1,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,2,4,,,,,,1,
CENTRAL,23,161,45,,,,,,1,,,2,,,,,3,,,,,,,,3,,1,2,,,,,,,,7,3,,,3,,1,,,,,,1,,7,,,,2,6,1,,,,,1,1
CENTRAL,24,162,63,,,,,1,1,,,3,,1,,,12,1,,,,,,2,,,,1,,,,,2,,,3,5,,,,,1,,,,,,,,8,,,,6,4,4,,,,2,2,4
CENTRAL,24,163,45,2,,1,,,2,,,1,,,,,,,,,,,,,2,,1,,,,,,1,7,1,4,2,,,1,,,,,,,,,,7,,,2,1,6,,,,,1,3,
CENTRAL,24,164,11,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,2,,1,,,,1,1,,,,,,,,1
CENTRAL,24,165,67,,,,,,5,,,5,1,,,,3,,1,,,,,2,4,,4,2,,,,,1,,,5,10,,1,,,,,,,,3,,5,5,,,,3,4,1,,,,1,1,
CENTRAL,24,166,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,3,,,,,,
CENTRAL,24,167,34,,,1,,,,,,3,,,,,1,,1,,,,,1,3,,2,1,,,,,,,,5,1,,,,,,,,,,1,,,6,,,,1,3,,,,,,,4
CENTRAL,24,168,16,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,1,,1,,,1,,,1,,,,,,,,1,,,2,,5,,,,,,1,
CENTRAL,24,169,70,2,,2,,,9,,,9,1,,,,1,,,1,,1,,,1,,,,,1,,,2,1,,5,5,,,,,,,,,,1,,,1,,,3,3,12,2,,,1,1,5,
CENTRAL,24,170,32,2,,,,,2,,,4,,,1,,3,,,,,,,1,,,4,,,,,,,,,2,2,,,,,,,,,,3,,,5,,,,,,1,,,,,,2
CENTRAL,24,171,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,172,21,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,3,,,,,,,,,,2,,4,,,,,1,3,1,,,,,1,1
CENTRAL,24,173,31,,,,,,,,,2,,,,,1,,,,,,,,1,,,2,,1,,,1,1,,2,4,,,,,,,,,,2,,,7,,,1,,4,,,,,,,2
CENTRAL,24,174,6,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,
CENTRAL,24,175,11,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,2,2,,,,,,,,,,,,1,3,,,,,,,,,,,,
CENTRAL,24,176,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,2,1,,,,,,
CENTRAL,24,177,23,,,1,,,9,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,2,4,1,,,,,,
CENTRAL,24,178,5,,,,,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
CENTRAL,24,179,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,2,,,,,,,,,1
CENTRAL,24,180,26,,,,,,3,,,1,,,,,4,,1,,,,,,2,,,1,,,,,1,,,,3,,,1,,,,,,,,,,3,,,1,3,1,,,,,,,1
CENTRAL,24,181,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,24,182,3,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
CENTRAL,31,77,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,57,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,58,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1
NORTH,31,61,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
NORTH,31,62,14,,,,,,,,,1,,,,1,1,,,,,1,,,,,,,,,,,1,,,3,,,,1,,,,,,,,,,1,,,,2,,,,,2,,,
NORTH,31,63,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,66,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,67,3,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,68,7,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,
NORTH,31,69,7,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,
