PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,13,202,19,,,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,2,4,,1,1,,,,,,,,,,,1,,1,,,,,,,1,1,,,,,,
SOUTH,13,203,13,,,,,,1,,,4,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,1
SOUTH,13,204,23,1,,,,,,,,8,,,,,1,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,4,,1,,,,,,,,,,,1,4
SOUTH,13,205,12,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,2,2,,,,,,,1,1,,,,,,
SOUTH,13,206,8,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,
SOUTH,13,207,16,,,1,,,,,,2,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,2,,,,1,,,5,1,,,,,1,
SOUTH,13,208,11,,,1,,,1,,,1,1,,,,,,,,,,,,1,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
SOUTH,13,209,10,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,1,2,,,,,,,,1,,,,,1,
SOUTH,13,210,14,1,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,2,,,,2,,,,1,,,,1,,1
SOUTH,13,211,13,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,1,2,,1,,,,,,,,,,,2,,,,,1,,,,,,,,1,2
SOUTH,13,212,5,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
SOUTH,13,213,41,1,,1,,,8,,,4,1,,,,2,,,,,,,,1,,1,,,,,,,,1,1,6,,,,,,,,,,,,,8,,,,,,,4,,,,,,1,1
SOUTH,13,214,39,4,,1,,,2,,1,1,1,,,,1,,,,,,,,,,,,,,,,2,2,,1,2,,1,,,1,,,,1,,,,8,,,1,,,,,1,,,,,6,2
SOUTH,13,215,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
SOUTH,13,216,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
SOUTH,13,217,18,,,1,,,,,1,2,1,,,,1,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,3,,,,1,,,,,1,,,1,,,,,2,1
SOUTH,13,218,17,,,,,,1,,,2,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,2,,,,4,,,,1,,,2,1,,,,,1,
SOUTH,13,219,26,1,,,,,4,,1,2,,,,1,3,,1,,,,,,,,1,,,,,,1,1,,2,,,,,,,,,,,,,,3,,2,,,,,,,,,,,1,2
SOUTH,13,220,19,1,,1,,,2,,3,2,,,,,,,,,,,,,1,,,,,,,,1,,,2,,,,,,,,,,,,,,1,,,,,,,,3,,,,1,,1
SOUTH,14,224,37,,,,1,,1,,,6,,,,1,3,,,,,,,,1,,,,,1,,1,3,2,,1,,,,,,,,,,,,,,6,,,,2,,,1,1,1,2,,,,3
SOUTH,14,225,53,1,,1,,,3,,,5,,,,,4,,,,,,,1,1,,,,,,,,5,3,1,6,2,,2,,,,,,,,1,,,8,,1,,,,,,,,,,,3,5
SOUTH,14,226,18,2,,,,,2,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,4,1,,,,,,,,,,,,,2,,,,1,,,,,,,,,,3
SOUTH,14,229,36,,,,,,1,1,1,3,,1,,,4,,,,,,,,1,,,,,1,,,2,1,,3,1,,,,,1,,,1,,,,,6,,1,,,,,2,,,,,,1,4
SOUTH,14,230,54,,,,,,4,,,6,1,,,1,4,,,,,,,,2,,,,,,,,1,7,,4,1,,,1,,,,,,2,,,,7,,,1,,,,,1,,,,1,3,7
SOUTH,14,231,49,6,,1,,,5,,,6,,,,,5,,,,,,,1,1,,,,,,,,1,,,4,3,,,1,,,,,,1,,,,4,,,,,,,1,2,,,,,1,6
SOUTH,14,232,17,,,,,,1,,,2,,,,,1,,,,,,,,,,,,,1,,,1,1,,5,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,2
SOUTH,14,235,44,2,,,,,1,2,,6,2,,,,,,,,,,,,2,,2,,,1,,,4,7,,4,1,,,,,,,,,,,,,4,,1,,,,,,,,,,,,5
SOUTH,14,236,34,,,,,,1,,,3,2,,,1,7,,,,,,1,,1,,1,,,,,,,3,,3,1,,,,,,,,,,1,,,3,,,,,,,,1,,,,,4,1
SOUTH,14,239,18,,,,,,1,,,4,1,,,,,,,,,,,,,,,,,,,,1,1,,3,1,,1,,,1,,,,,,,,1,,,,,,,2,,,,,1,,
SOUTH,14,240,9,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,
SOUTH,14,241,9,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
SOUTH,14,242,31,,,,,,2,,,3,1,,,,1,,,,,,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,5,,2,1,1,,,1,1,,,,,3,3
SOUTH,14,247,25,,,1,1,,2,,,3,,,,,1,,,,,,,,1,,,,,,1,,,,,3,,,,,,,,,,,,,,3,,2,1,,,,2,1,,,,,,3
SOUTH,14,248,40,1,,1,,,1,,,5,,,,,6,,,,,,,,2,,,,,,,,,,,2,1,,,,,1,,,,1,,,,9,,1,,1,,,2,1,,,,,1,4
CENTRAL,21,13,13,,,,,,1,,,3,,,,,,,,,,,,1,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
CENTRAL,21,14,14,,,,,,1,,,1,,,,,1,,,,,1,,,2,,,,,,,1,,,,1,1,,,,,2,,,,,1,,,,,,,,,,,,,,,,,2
CENTRAL,21,15,2,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,16,7,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,
CENTRAL,21,18,3,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,21,183,10,,,,,,2,,,1,,,,,,,,,,,,,2,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,
CENTRAL,21,184,28,2,,,,,1,,2,1,2,,,,6,,1,,,,,,1,,,,,,,,,,,2,1,,1,,,1,,,,1,,,1,2,,,,,1,,,,,,,,,2
CENTRAL,21,185,17,,,,,,2,,,3,,,,,1,,,,,,,,,,1,,,,,,,,,3,1,,,,,,,,,,,,,3,,,,1,,,1,1,,,,,,
CENTRAL,21,186,9,,,,,,1,,,4,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,
CENTRAL,21,187,15,,,,,,,,,3,1,,,,2,,,,,,,1,2,,,,,,,,1,,,,1,,,,,,,,,,,,,2,,,,,,,,1,,,,,1,
CENTRAL,21,188,17,1,,,,,1,,,,,,,,2,,,,,1,,,,,,,,,,,2,1,,2,,,,,,,,,,,1,,,2,,,,,,,,,,,,1,2,1
CENTRAL,21,189,29,,,1,,,1,,,2,,,,,2,,,,,,,,,,,7,,,,,1,,,5,,,,,,,,,,1,,,,3,,,1,,1,,1,1,,,,,1,1
CENTRAL,21,19,31,,,,,,1,,,,1,,1,,3,,2,,,,,2,,,,6,,,,,,,,2,7,,,,,,,,,1,,,3,,,,,,,,1,1,,,,,,
CENTRAL,21,190,8,,,1,,,1,,,2,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,21,191,8,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,,,,,,1,
CENTRAL,21,192,10,,,,,,,,2,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,1,,1,,1,,,,1,,,,,,,,,1,,,,,
CENTRAL,21,193,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,1,,,,1,,,,1,,,1,,,,,,,,,,,
CENTRAL,21,194,19,,,,1,,1,,,4,,,,,2,,,,,,,1,1,,1,,,,,,,1,,2,1,,,1,,,,,,,,,,2,,,,,,,1,,,,,,,
CENTRAL,21,195,12,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,1,,1,,,,,,,2
CENTRAL,21,196,12,1,,,,,,,,1,,,,,2,,,,,,,,,,,1,,,,,1,,1,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,2,,
CENTRAL,21,197,25,1,,,,,,,,1,1,,,,2,,,,,2,1,,1,,,,,,,,2,1,,,1,,1,,1,,,,,,,,,5,,,1,,,,,1,,,,1,,2
CENTRAL,21,20,7,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,2,,,,,,,
CENTRAL,21,21,7,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,2,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1
CENTRAL,21,22,34,,,,,,8,,,7,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,3,,,,6,1,,5,1,,,,,,
CENTRAL,21,24,13,,,,,,,,,1,,,,,5,,,,,,,,1,,,,,,,,,1,,,2,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1
CENTRAL,22,23,4,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,25,24,,1,,,,,,,1,2,,,1,2,,,,,,,,,,,,,,,,,,1,4,1,,,1,,,,,,,,,1,6,,,1,,1,,1,,,,,,,
CENTRAL,22,26,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
CENTRAL,22,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,28,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,29,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
CENTRAL,22,30,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,34,12,,,,,,,,,1,,,,,,,,,,,,,2,,,4,,,,,,,,1,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,
CENTRAL,22,35,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,37,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
CENTRAL,22,38,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,39,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,42,18,,,,,,,,,1,,,,,,,1,,,,,1,1,,,2,,,,,,3,,1,1,,,1,,,,,,,,,3,1,,,,,,,2,,,,,,,
CENTRAL,22,43,3,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,44,25,,,,,,,,,1,,,,,1,,,,,,,1,2,,,9,,,,,,1,1,1,1,,,,,1,,,,1,,,,1,,,,,,,1,,,,,,2,1
CENTRAL,22,45,3,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,46,41,1,,2,,,,1,,5,2,,,,3,,,,,,,,,,,4,,,,,,1,1,4,2,,,,,,,,,1,1,,,3,,,,1,1,,1,3,,,1,,2,1
CENTRAL,22,47,27,,,,,,1,,1,2,,,,,2,,,,,,,1,2,,,6,,,,,,1,,,1,,,,,,,,,1,,,,3,,,,,,,5,,,,,,1,
CENTRAL,22,48,3,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
CENTRAL,22,49,7,,,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,50,8,,,,1,,2,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,51,28,,,,,,2,,,1,1,,,1,4,,,,,,,1,,,,,,,,,,1,,6,2,,,,,1,,,,1,,,,2,,,,,1,,2,,,,,,1,1
CENTRAL,22,52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
CENTRAL,22,53,11,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,1,,,1,2,,,1,,,,,,,
CENTRAL,22,54,8,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,1,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,
CENTRAL,22,55,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,56,3,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,59,11,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,1,,,,,,
CENTRAL,22,60,39,,,,,,,,,6,1,,,,2,,,,,,,1,3,,,3,,,,,,,,5,2,,,,,,,,,1,,,1,2,,,1,1,1,,5,1,,,,1,1,1
CENTRAL,22,64,30,,,2,,,1,,,3,,,,,1,,,,,,,,,,,,,,,,,3,,3,3,,,,,,,,,1,,,3,3,,,,,,,3,2,,,,1,1,
CENTRAL,23,155,135,2,,1,1,,,,,6,,,,,5,,2,,,,1,,8,,3,9,,,,,1,,,15,10,,,,1,1,,,,1,,,42,3,,,,1,5,,6,4,,2,,,1,4
CENTRAL,23,156,71,,,1,,,4,1,,2,,,,,4,,1,,,1,,,4,,1,2,,1,,,2,1,,8,10,,,,,1,,,,1,1,,1,7,,,,,1,,7,2,,,,3,2,2
CENTRAL,23,157,132,1,,,,,,,,1,,1,,,6,,3,,,,,,13,,1,13,,2,,,2,,,13,17,,1,2,,2,1,,,2,,,29,11,,,,,3,,1,,,,,,2,5
CENTRAL,23,158,25,,,,,,,,,4,,,,,12,,,,,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,1,,,,,,,1
CENTRAL,23,159,68,1,1,,,,4,1,1,10,1,1,,1,5,,,,,,,1,2,,,2,,,,,1,4,,1,3,,1,,,1,,,,1,,,1,15,,,,,,,2,1,,,,,3,3
CENTRAL,23,160,37,1,,1,,,,,,3,,,1,,3,,,,,,,,1,,1,1,,,,,2,,,2,10,,,,,1,,,,1,,,5,,,,,,1,,2,,,,,,,1
CENTRAL,23,161,47,1,,1,1,,1,,,4,,,,1,3,,1,1,,,1,2,3,,,2,,,,,1,,,3,6,,,,,2,,,,,1,,1,4,,,,,2,,2,1,,,,,1,1
CENTRAL,24,162,77,2,2,,,,,,,4,2,,,,10,,2,,,,,3,1,,,,,,,,,,1,7,4,,,,,,,14,,2,,,,3,,,1,,2,,7,2,,,,,4,4
CENTRAL,24,163,37,2,,1,,,2,,,5,,,,,3,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,6,,,,2,,,3,1,,,,,4,3
CENTRAL,24,164,10,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,2,,,,1,,,,,,,,,,
CENTRAL,24,165,78,,,,,,2,,1,9,1,,,,7,,1,,,,,1,4,,2,1,,,,,2,,,6,4,,,,,1,,,,3,,,6,8,,,,2,,,10,1,,,,,3,3
CENTRAL,24,166,16,,,1,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,2,,,,,,,1,1,,,,1,,2
CENTRAL,24,167,47,,,,,,2,,,2,1,,,1,2,,1,,,,,,3,,,1,,,,,2,,,2,8,,,1,,1,,9,,,,,3,3,,,,,1,,,,,,,,3,1
CENTRAL,24,168,8,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,
CENTRAL,24,169,44,,,,,,4,,,5,1,,,,1,,,,,1,,,3,,,,,,,,1,7,,4,3,,,,,,,,,,1,,,3,,,1,1,,,1,1,,,,,5,1
CENTRAL,24,170,31,,,,1,,,,,3,,,,,3,,,,,,,,1,,1,,,,,,,,,2,3,,,2,,1,,,,1,,,2,6,,,1,,,,2,1,,,,,1,
CENTRAL,24,171,3,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,172,17,,,,,,2,,,1,,,,,,,,,,,,1,,,,2,,,,,,1,,,3,,,,,1,,,,,,,,3,,,,,,,2,,,,,,,1
CENTRAL,24,173,27,1,,,,,1,,,4,,,,,7,,,,,,,,1,,,,,,,,1,,,4,1,,,,,2,,,,1,,,,,,,1,,,,1,,,,,,,2
CENTRAL,24,174,8,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
CENTRAL,24,175,5,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
CENTRAL,24,176,11,,,,,,,1,,1,2,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,2,,,,,,,,1,,,,,,,1,,,,,,,
CENTRAL,24,177,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
CENTRAL,24,178,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,179,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
CENTRAL,24,180,33,2,,1,,,2,,,4,,,,,2,,,,,,,1,2,,,,,1,,,2,,1,2,1,,,1,,,,,,,,,3,1,,,1,,,,3,,,,,1,1,1
CENTRAL,24,181,13,,,,,,,1,,1,,,,,2,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,2,,,1,1,,,,,1,1
CENTRAL,24,182,7,,1,,,,1,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
CENTRAL,32,109,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
