PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,13,219,15,1,,1,,3,,,1,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,1,1
SOUTH,13,220,13,,,,,,,,4,,,,,1,,,,1,,,2,,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
SOUTH,13,221,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
SOUTH,14,224,62,3,,,1,2,,1,13,1,,,,5,,,,,,,,,1,,1,,,,5,,,7,1,,,,,,,,,,2,,,,13,,1,,,,,,,,,,,,5
SOUTH,14,225,54,3,,1,,3,,,8,,,,,5,,,,1,,1,3,,,,,,,,3,3,,5,1,,,,,1,,,,,,,,,7,,1,,,1,,1,,,,,,,6
SOUTH,14,226,28,1,,,,2,1,,7,,,,,3,,,,,,,1,,,,,,,,,2,,1,2,,,,,,,,,,,1,,,3,,,,,1,,,,,,,,1,2
SOUTH,14,229,26,,,,,,,,4,,,,,,,,,,1,,,,1,,,,,,1,,,6,1,,1,,,,,,,,,,,,6,,1,,,,,,1,,1,,,,2
SOUTH,14,230,45,1,,2,,1,,,5,1,,,,5,,,,,1,5,,,,,,,,,1,,,6,1,,,1,,,,,,,,,,,11,,,,,,,2,1,,,,,1,
SOUTH,14,231,60,3,,,,2,,,8,1,,,,4,,,,,,,1,,,1,,,,,4,3,1,8,2,,1,1,,,,,,,2,,,,7,,,,,,,1,3,,,,1,2,4
SOUTH,14,232,28,,,1,,1,,,3,1,,,,1,,,,,,,,,,4,,,,,1,1,,2,2,,,,,,,,,,,,,,2,,,,,,,1,1,,,,1,4,2
SOUTH,14,235,43,1,,3,,3,,,11,,,,,,,,,1,,,6,,,,,,,,,,,4,1,,,,,,,,,,1,,,,3,,,,,1,,4,,,,,,,4
SOUTH,14,236,19,1,,,,1,,,5,,,,,1,,,,1,,,,,,,,,,,3,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
SOUTH,14,239,29,,,1,,6,1,,3,,,,,1,,,,,,,1,,,,,,,,,,,3,,,,,,1,,,,,,,,,6,,,,,1,,1,1,,,,,1,2
SOUTH,14,240,16,,,,,1,,,5,,,,,,,,,,,,,,,,,,1,,1,1,,2,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,1
SOUTH,14,241,18,,,,,2,,,1,1,,,,2,,,,,,,2,,,,,,,,,,,1,1,,,,,1,,,,,1,1,,,,,,,3,,,2,,,,,,,
SOUTH,14,242,31,1,,,,2,,,7,,,,,2,,,,,,,1,,1,,,,,,,1,,2,,,,,,,,,,,1,,,,3,,,,1,,,2,,,,,,3,4
SOUTH,14,247,22,,,1,,1,,,7,,,,,,,,,,,,1,,,,1,,,,1,,,3,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,1,3
SOUTH,14,248,46,2,,,,,,,8,1,,,,4,,,,,,,3,,,,,,,,2,1,,2,1,,,,,,,,,,,,,,13,1,,,,1,,,1,,,,,2,4
SOUTH,31,221,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,12,7,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,13,20,,,,,1,,,3,,,,,1,,,,,,,,,,4,,,,,2,,,2,2,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,1,1
CENTRAL,21,14,17,,,2,,1,,,1,,,,,1,,,,,,,1,,2,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,1,,2,,,,,,,
CENTRAL,21,15,13,,,,,,,1,2,,,,,,,,,,,,2,,,,,,,,,,,6,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
CENTRAL,21,16,9,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
CENTRAL,21,17,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
CENTRAL,21,18,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
CENTRAL,21,183,22,,,,,,,,2,,,,,1,,,,,,1,,,,,,,,,,,,2,4,,,,,,,,,,,,,1,5,,,,,1,,3,,,,,1,,1
CENTRAL,21,184,36,,,,,8,,,3,2,,,,1,,,,,,,,,,,,,,,,2,,5,1,,1,,,,,,,,2,,,,3,,,1,,,,3,2,,,,,,2
CENTRAL,21,185,14,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
CENTRAL,21,186,9,,,,,1,,,1,,,1,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2
CENTRAL,21,187,17,1,,,,,,,2,,,,,1,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,2,,,1,4,,,,,,,1,,,,,,,1
CENTRAL,21,188,22,,,,,2,,,4,,,,,,,,,,,,2,,,,,,,,1,,,6,1,,,,,,,,,,,,,,1,,,,1,,,2,,,,,,1,1
CENTRAL,21,189,11,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,1,
CENTRAL,21,19,18,1,,,,,,,,,,,,,,,,,,2,1,,1,3,,,,,,,,3,,,,,,,,,,,1,,,1,1,,,,,1,1,,,,,,,,2
CENTRAL,21,190,7,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,21,191,7,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,
CENTRAL,21,192,18,,,,1,1,,,3,1,,,,1,,,,,,,2,1,,1,,,,,,,,2,2,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,
CENTRAL,21,193,12,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,3,,,,,1,,,1,,,,,,1
CENTRAL,21,194,16,1,,,,,,,2,,,,,,,,,,,1,1,,,1,,,,,,2,,,2,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,1
CENTRAL,21,195,16,,,,,1,,1,3,,,,,1,,,,,,1,,,1,,,,,,,,,2,1,,,,,,,,,,,,,,1,,,,,,,3,,1,,,,,
CENTRAL,21,196,30,2,,,1,1,,,10,,,,,1,,,,,,,,,,,,,,,1,,,3,1,,,,,,,,,,,,,,3,,,2,,,,2,,,,,,2,1
CENTRAL,21,197,27,,2,1,,,,,2,1,,,,4,,,,,,,,,1,,,,,,,,,1,,,,2,,,,,1,,,,,,6,,,,,1,,1,2,,,,,1,1
CENTRAL,21,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,4,1,,,,,,
CENTRAL,21,21,17,,,1,,,,,2,,,,,,,,,,,,,,1,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,1
CENTRAL,21,22,36,1,2,,,1,,,6,2,,,,1,,,1,1,,,1,,,1,,,,,,,,2,5,,,,,1,,,,,,2,,,7,,,1,1,,,,,,,,,,
CENTRAL,21,24,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
CENTRAL,22,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,
CENTRAL,22,25,26,1,,1,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,1,,3,,,,,,,,,11,,,,1,1,,1,2,,,,,,1
CENTRAL,22,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,
CENTRAL,22,28,3,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,29,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
CENTRAL,22,30,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,31,3,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
CENTRAL,22,33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,34,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,1,,,,,,,,,,2,2,,,,,,,,,,,,,,
CENTRAL,22,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
CENTRAL,22,36,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
CENTRAL,22,37,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,39,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,40,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,41,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,42,8,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,1,
CENTRAL,22,43,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,44,11,,,,,2,,,2,,,,,,,,,,,,1,,2,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
CENTRAL,22,45,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,46,32,,,2,1,4,,,2,,,,,,,,,,,,1,,2,,,,,,1,1,,7,,,,,,,,,,,,,,,8,,,1,,,,1,1,,,,,,
CENTRAL,22,47,26,1,,,,1,,,7,,,,,,,,,,,,,,1,,,,,,,,,6,,,,,,,,,,,1,,,,3,,,,,1,,1,1,,,,,1,2
CENTRAL,22,49,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,50,11,,,,,,,,6,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,
CENTRAL,22,51,36,,,,,1,,,6,,,,,1,,,,1,,1,3,,,,,,1,,,,,3,2,,,,,,1,,,,1,,,,3,,,,1,,,3,3,1,,,,2,2
CENTRAL,22,53,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,
CENTRAL,22,54,12,,,,,,,1,,,,,1,2,,,,,,,,,,,,,,,,1,,2,2,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,
CENTRAL,22,55,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,56,8,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
CENTRAL,22,59,6,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,
CENTRAL,22,60,61,2,,1,,5,,,8,,,,,,,,,,,,4,,1,3,,,,,,,,2,7,,,,,2,,,,,1,,,1,9,,,,1,1,,8,1,,,,,1,3
CENTRAL,22,64,54,,,1,,,,,3,,,1,1,2,,,,,,1,1,,1,3,,,,,1,,,3,5,,,,,,,,,,1,,,8,5,,,,2,,,9,2,,,,,3,1
CENTRAL,23,155,167,,1,,,1,1,,7,2,,,1,2,,2,1,,,1,5,,2,24,,,,,,,,19,16,,,1,,,,,,,,,,47,4,,1,,1,5,,15,4,,,,,1,3
CENTRAL,23,156,107,1,,2,,1,,1,13,1,,,,4,,,,1,,2,5,,1,2,,2,,,5,1,,8,10,,,,,2,,,,,4,,,,9,,,,2,2,,10,1,,1,,7,4,5
CENTRAL,23,157,144,1,,,,1,,,7,,,,,2,,,,,,,7,,,17,,,,2,,1,,22,25,,1,1,,,,,,1,,,,31,6,,,,,3,,6,3,,,,,3,4
CENTRAL,23,158,19,,,,,,,,2,,,,,2,,,,,,1,1,,,,,,,,,2,,3,,,,,,,,,,,1,,,,3,,1,,,,,1,2,,,,,,
CENTRAL,23,159,110,3,,1,,7,,,14,,,,1,3,,2,,,,,3,,,10,,,,,,8,,14,4,,,1,,1,1,,,,3,,,2,8,,,3,2,1,,10,2,,,,,3,3
CENTRAL,23,160,15,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,1,,5,,,,,,,
CENTRAL,23,161,53,1,,,,2,,,9,,,,,2,,,,,,,3,,3,,,1,,,,,,3,6,,,,,,,,1,,,2,,1,9,,1,,2,1,,3,,,,,,1,2
CENTRAL,24,162,63,1,,,,3,,1,4,,,,,5,,2,,2,,1,,,2,1,,,,1,2,,,11,9,,,,,,,,,,1,,,,6,,,1,,2,,2,1,,,,1,2,2
CENTRAL,24,163,36,1,,,,8,,,3,1,,,,2,,1,,,,,1,,2,,,,1,,,,,2,3,,,,,,,,,,2,,,,6,,,,,1,,1,,,,,,,1
CENTRAL,24,164,10,,,1,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,2,,,,,,1,
CENTRAL,24,165,83,3,,1,,3,,,12,,,,,5,,,,,,1,8,1,1,9,,,,,4,2,,5,6,,,,,,,,,,1,,,3,8,,,,,1,,4,2,,,,,1,2
CENTRAL,24,166,6,1,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
CENTRAL,24,167,43,,1,1,,2,,,7,,,,1,2,,1,,,,,3,,1,3,,,,,2,,,2,3,,,1,,1,,,,,,1,,,6,,,,1,1,,2,1,,,,,,
CENTRAL,24,168,13,,,,,,,,5,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,1,,,,,,1
CENTRAL,24,169,64,,,,1,4,,,11,2,,,,2,,,,,1,1,1,,,,,,,,2,1,,6,7,,,,,1,,,,,,1,,,12,,,1,,,,5,2,,,,1,1,1
CENTRAL,24,170,41,2,,,,1,,1,3,,,,,1,,,,,,1,,,1,1,,,,,2,1,,3,6,,,1,,,,,,,1,,,5,4,,,,,,,,,,,,1,2,4
CENTRAL,24,171,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,1
CENTRAL,24,172,22,,,,,1,,,4,,,,,,,,,,,1,1,,,1,,,,,1,,,3,3,,,,,,,,,,,,,2,1,,,,,1,,1,,,,,,1,1
CENTRAL,24,173,29,2,,,,,,,1,,,,,1,,,,,,1,,,1,2,,,,,,,,2,3,,,,,,,,,,1,,,1,6,,,,2,,,4,,,,,,,2
CENTRAL,24,174,12,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,1,1
CENTRAL,24,175,13,,,,,,,,3,,,,,1,,,,,,,1,,,,,,,,2,1,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1
CENTRAL,24,176,9,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,177,20,,,,,,,,7,,,,,1,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,1,,,,5,,,,,,1,1
CENTRAL,24,178,6,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
CENTRAL,24,179,4,,,,,2,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,180,27,,,,,3,,1,3,,,,,,,,,,,1,2,,2,2,,,,,,,,3,,,,,,,,,,,,,,4,5,,,,,,,,1,,,,,,
CENTRAL,24,181,20,,,1,,,,,1,,,,,2,,,,,,,2,,,,,,,1,1,,,2,,,,,,,,,,,,,,,5,,,,,1,,1,2,,,,,1,
CENTRAL,24,182,8,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
