PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD - WELFARE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,LOITERING,MISSING PERSON,NEGLECT CHILD,NEGLIGENT MANSLAUGHTER,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
CENTRAL,21,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,
CENTRAL,21,183,30,,,,,,1,,,2,2,,,,2,,,,,,,,,,,,,,,,,,,7,2,,,,,,,,1,,,,,9,3,,,,,,,,,,,,1,,
CENTRAL,21,184,43,,,2,1,,2,,1,7,,,,,3,,,,,,1,2,,,,,,,,,1,4,,3,,,,,1,,,,,,,,,,9,,,,,,,,3,,,,2,,1
CENTRAL,21,185,35,1,,1,,,1,,,3,,,,,3,,,,,,,1,,,,,,,,,3,,,4,2,,,,,,,,,,,,,,6,,,,1,2,1,2,1,,,,1,2,
CENTRAL,21,186,12,,,,,,3,,,3,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,
CENTRAL,21,187,26,2,,2,,,1,,,4,,,,,2,,,,,,,,,,1,,,,,,1,,,4,1,,1,,1,,,,,,1,,,,4,,,,,,,,,,,,,1,
CENTRAL,21,188,23,,,,1,,3,,1,3,,,,,2,,,,,,,,,,,,,,,,1,1,,2,2,,,1,1,,,,,,,,,,5,,,,,,,,,,,,,,
CENTRAL,21,189,16,1,1,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,1,,,4,,1,,,,,,,,,,,,,3,,,,,1,,1,,,,,,,
CENTRAL,21,19,15,,1,,,,1,,,,,,,,,1,1,,,,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,,3,1,,,,,,,1,2,,,,,,
CENTRAL,21,190,18,1,,,,,3,,,4,1,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,3,,,,,1,,1,,,,,,,
CENTRAL,21,191,15,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,2,,,,,1,,1,1,,,,,2,
CENTRAL,21,192,12,,,,,,1,,,2,,,,,1,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,1
CENTRAL,21,193,13,1,,,,,1,,,2,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,1,,1,,,1,,,,,,1
CENTRAL,21,194,23,1,,,,,1,,,5,1,,,,2,,,,,,,1,,,1,,,,,,,2,,3,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,1
CENTRAL,21,195,17,,,,,,2,,,1,,,,,1,,,,,,,,,,,,,2,,,1,2,,,3,,,,,,,,,,,,,,1,,,1,1,,,2,,,,,,,
CENTRAL,21,196,41,,,1,,,1,,,5,,,,,4,,,,,,,2,,,,,,,,,,,,7,2,,,1,,,,,,,1,,,5,7,,,,,1,,1,,,,,1,1,1
CENTRAL,21,197,39,,2,2,1,,2,,1,1,1,,1,,5,,,,,,,,,,,,,,,,1,3,,3,2,,,,,,,,,1,,,,,10,,,,,2,,,,,,,,1,
CENTRAL,21,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,21,21,12,,,,,,1,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,2,1,,,,,,,,,,1,1,,1,,,,,,,,1,1,,,,,,
CENTRAL,21,22,48,,1,1,1,,4,,,9,,,,,5,,,,,,1,,,,,,,,,,,,,3,3,,,,,,,,,,1,,,,7,,,,3,,,4,2,,,,1,1,1
CENTRAL,21,24,11,,,,1,,,,,,,,,,2,,,,,,1,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
CENTRAL,22,23,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,25,16,1,1,,,,,,,2,,,,,1,,,,1,,,1,,,,,,,,,1,,,,2,,,,,,,,,,,,,,2,,,1,,,,1,,,,,,1,1
CENTRAL,22,27,6,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
CENTRAL,22,28,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,29,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,7,,,,,,,
CENTRAL,22,30,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
CENTRAL,22,32,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,34,14,,,1,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,2,,1,1,1,,,,,,,1,,,,,,1,2,,,,,1,,,,,,,,,
CENTRAL,22,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,37,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
CENTRAL,22,38,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,39,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,
CENTRAL,22,40,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,
CENTRAL,22,42,9,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,1,,,,,,,1,,,,,,,
CENTRAL,22,43,8,,,,4,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
CENTRAL,22,44,5,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,2,1,,5,,,,,,,
CENTRAL,22,46,21,,,1,,,1,,,4,2,,,,1,,,,,,,1,,,1,,,,,,,2,,1,3,,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,
CENTRAL,22,47,20,,,,,,,,,1,,,,,,,1,,,,4,1,,,1,,,,,,,1,,1,3,,,1,1,,,,,,1,,,,1,,,,,1,,2,,,,,,,
CENTRAL,22,48,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,49,2,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,50,9,,,,,,,,,3,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,
CENTRAL,22,51,30,,,1,,,1,,,4,,,1,,,,,,,,1,1,,,,,,,,,3,,,3,3,,,,,,,,,,,,,1,5,,,1,,3,,1,,,,,,,1
CENTRAL,22,53,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,
CENTRAL,22,55,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,56,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
CENTRAL,22,59,12,,,,,,1,,,2,,,,,,,,,,,,1,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,
CENTRAL,22,60,34,1,,,,,5,,,2,,,,,2,,,,,,,,,,,2,,,,,1,1,,3,3,,,,1,,,,,,,,,2,4,,,,,2,,2,,,2,,,,1
CENTRAL,22,64,32,,,,,,,,,4,,1,,,,,,,,,,,,,,2,,,,,,,,2,,,,1,,,,1,,,,,,12,2,,,1,,2,,2,,,1,,,1,
CENTRAL,23,155,110,,,1,,,,,,6,,1,,,6,,1,,,,,1,,,3,15,,,,1,2,1,,12,11,,,,,,,,,,1,,,25,5,,,,,3,,8,4,,,,,,3
CENTRAL,23,156,85,,,4,,,5,,,12,,,,,4,,1,,,,1,2,,,,1,,,,,5,1,,5,7,,,,,1,,2,,,1,,,,10,1,,2,3,2,,5,2,,1,,1,2,4
CENTRAL,23,157,118,1,1,2,,,,1,1,2,,,,,2,,4,,,,2,1,,1,2,7,,1,,,2,1,,19,14,,,,1,,,,1,,,1,,29,6,,,,1,9,,1,1,,,1,2,,1
CENTRAL,23,158,22,,,2,,,4,,,,,,,1,4,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,2,,,,,2,,,,,,,,2,1
CENTRAL,23,159,85,1,,2,1,1,7,1,,15,,,,1,4,,,,,1,,,,,,1,,,,,4,,,5,9,,,,,,,,,3,2,,,,14,,,,1,2,,1,3,,,,,2,4
CENTRAL,23,160,11,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,
CENTRAL,23,161,38,,,1,,,1,,,6,2,,,,3,,,,,,2,2,,,,,,,,,1,,,2,5,,,,1,,,,,,,1,,,5,,1,,1,1,,2,,,,,,1,
CENTRAL,24,162,56,,,4,,,,,,5,,,,,4,,,,,,7,2,,,,,,,,,2,,2,4,7,,,,,,,,,,,,,1,7,,,,1,6,,2,1,,,,,,1
CENTRAL,24,163,56,,,,,,1,,,10,,,,,4,,,,,1,,1,,,,2,,1,,1,4,1,1,6,2,,,1,1,,,,,,,,,,8,,,,,3,,3,2,,,,,,3
CENTRAL,24,164,16,,,2,,,2,,,1,,,,,2,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,1,,1,,,,,,,
CENTRAL,24,165,85,4,,,,1,8,,,3,,,,,2,,,,,,6,4,,,2,3,,,,,2,10,1,2,3,,,,1,,,,,,2,1,,3,8,,,,1,3,,8,2,,,,,1,4
CENTRAL,24,166,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,2,1,,,,,1,2
CENTRAL,24,167,21,1,,,,,,,,4,,,,,2,,1,,,,,1,,,1,1,,,,,,,,,4,,,,,,,,,,2,,,,1,,,,,1,,1,1,,,,,,
CENTRAL,24,168,9,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,,2,,,,,,1,
CENTRAL,24,169,71,1,,,,,3,,,8,1,,,,3,,,,3,,,,,,1,1,,,,,1,,1,6,6,,,,1,,1,2,,,,,,,7,,,2,,5,,12,2,,,,1,2,1
CENTRAL,24,170,30,,,,,,3,,,2,,,,,3,,1,,,,,,,,,,,,1,,4,,,,3,,,,1,,,,,,1,1,,1,5,,,,,,,1,1,,1,,,,1
CENTRAL,24,171,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
CENTRAL,24,172,20,,,,,,,,,3,,,,,,,1,,,,1,1,,,2,3,,,,,1,,,1,4,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,
CENTRAL,24,173,17,,,,,,,,,1,,,,,4,,,,,,,,,,,,,,,1,,,,,2,,,,,,,1,,,1,,,,1,,,1,,3,,,1,,,,,,1
CENTRAL,24,174,12,,,,,,1,,,3,,,,,,,,,,,,,,1,1,,,,,,1,2,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
CENTRAL,24,175,18,2,1,1,,,2,,,2,,,,,2,,,,,,,,,,,,,,,,1,,,2,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1
CENTRAL,24,176,10,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,4,,,,,,,,,,,1,,,
CENTRAL,24,177,12,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,1,,,,,6,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,24,178,4,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,179,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,180,20,1,,1,,,,,1,2,2,,,,,,1,,,,1,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,1,,2,,1,,,,,1,1,
CENTRAL,24,181,4,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,24,182,9,,,,,,,,,1,,,,1,1,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,
NORTH,31,57,4,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
