PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,POCKET PICKING,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEH RECOVERY(OUT OF JURIS),VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,245,32,,,,,5,,,2,,,,,5,,,,,,,,,,,,,,,4,1,2,1,,,,,,1,,,,,,4,,,1,,,,2,1,,,,,2,,1
SOUTH,11,246,17,1,,,,2,,,1,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,2,1,2
SOUTH,12,10,14,,,,,1,,,1,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,3,,,,,,,2,1,,,,,,1,1
SOUTH,12,11,22,1,,2,,,,,1,1,,,,1,,,,,,,,,,,,,,,2,1,,3,1,,1,1,,2,,,,,,3,,,,,,,,,,,,,,2,
SOUTH,12,12,19,,,1,,,,,3,,,,,,,,,,,,,,,1,,1,,,,6,,,3,,,,,,,,,,,1,,,,,2,,1,,,,,,,,
SOUTH,12,2,38,2,,1,,,,,3,,,,,2,,,,,1,,,,1,1,,1,,,3,1,1,3,2,,,,,,1,,,,,12,,,,,,,,1,,,,,,1,1
SOUTH,12,250,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,12,3,27,1,,,,2,,,3,,,,,1,,,1,,,,1,,,,,,,,,,,3,4,,,,,,,,1,,,4,,,,,,,1,1,,,,,,3,1
SOUTH,12,4,28,1,,,,,,,2,2,,,,1,,,,,,,2,,4,1,,,,,,1,,4,2,,,,,,,2,,,1,3,,,,,,,,,,1,,,,,1
SOUTH,12,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
SOUTH,12,6,15,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,5,1,,,,,,,,,,,1,,,,,,,2,1,,,,,,,1
SOUTH,12,7,8,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,
SOUTH,12,9,7,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,1
SOUTH,13,198,60,,,,,,,,2,,,,1,5,,,,,,1,1,,1,3,,,,1,,,,10,6,,,,,,,,,,25,3,,,,,,,1,,,,,,,,
SOUTH,13,199,39,1,,,,,1,,1,,,,,2,,1,,1,,3,,,,2,,,,,3,1,,7,4,,,,,1,,,,,1,5,,,,,,,1,,,1,,,,1,2
SOUTH,13,200,16,,,1,,1,,,3,,,,1,,,,,,,,,,,,,,,,2,,,4,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,1
SOUTH,13,201,53,,,,,,,,4,2,1,,,1,,,,,,7,1,,,,,,,,2,2,,4,7,,,,,,,,,,1,9,,,,,2,,7,,,,,,,3,
SOUTH,13,202,11,1,,,,1,,,1,,,,,,,,,1,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1
SOUTH,13,203,15,,,,,1,,,3,3,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,1,,,,2,,,2,,,,,,,,
SOUTH,13,204,15,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,2,,,,,,,1,,,,,,,,
SOUTH,13,205,16,1,,,,3,,,2,,,,,1,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,3,,,1,,,,,,,,,,,1,1
SOUTH,13,206,17,,,1,,,,,3,,,,,,,,,,,,1,,1,,,1,,,1,,,2,,,,,,1,,,,,,2,,,,,,,3,,,,,,,1,
SOUTH,13,207,21,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,1,,5,1,,,,,,,1,,,,1,,,1,2,,,3,,,,,1,,2,
SOUTH,13,208,9,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,2,,,,,,,,,,,,,,,,,,1,,,,,,,2,
SOUTH,13,209,16,,,,,,,,1,,,,1,3,,,,,,,1,,,,1,,,,1,,1,,,,,,,,,,,,2,4,,,,,,,,1,,,,,,,
SOUTH,13,210,11,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,1,,,,,,,1,1,,,,1,,1,1
SOUTH,13,211,12,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,1,,3,1,,,,,,,,,,,2,,,,,1,,,,,,,,,,1
SOUTH,13,212,4,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
SOUTH,13,213,41,1,,,,3,,1,6,,,,,1,,,,1,,,1,,1,,,,,,,,,3,3,,,,,1,,,,,,10,,,,,1,,1,,,,,,,5,2
SOUTH,13,214,17,1,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,1,1,,3,1,,,,,,,1,,,,2,,,,,,,1,,,,,,,1,2
SOUTH,13,216,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,
SOUTH,13,217,23,,,,,1,,,6,1,,,,,,,,,1,,,,,,,,,,1,3,,2,2,,,,,,,,,,,2,,,,,,,1,3,,,,,,,
SOUTH,13,218,22,,,,,,,,3,,,,,,,,,,,,2,,,,1,,,,1,1,,1,1,,,,,,,3,,,,2,,1,,,,,1,,,,,1,,,4
SOUTH,13,219,13,,,,,5,,,1,,,,,,,,,,,1,,,,,,,,,1,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1
SOUTH,13,220,21,1,,,1,1,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,,1,,,,,,5,,,,,1,,1,1,,,,,,1,1
SOUTH,13,221,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,14,224,65,,,,,5,,,11,1,,,,5,,,,,,,2,,,,,,,1,6,2,,3,1,,,2,,2,,,,,,14,,,,1,,,2,2,,1,,,,,4
SOUTH,14,225,63,3,,2,1,2,,,8,,1,,1,6,,,,,,,,,,,,,1,,2,3,1,6,,,,,,1,,1,1,,1,16,,,,,,,,,,,,,,,6
SOUTH,14,226,31,2,,,,1,,,4,,,,,2,,,,,,1,,,,,,,,,1,,,4,1,,,,,2,,2,,,,2,,,,1,,,2,1,,,,,,1,4
SOUTH,14,229,24,,,1,,1,,,3,,,,,,,,,,,,1,,,,,1,,,,,,4,,,,,,1,,1,,,,4,,,,1,,,1,1,,,,,,3,1
SOUTH,14,230,32,1,,1,,3,,1,4,,,,,2,,,,,,,,,1,,,,,1,4,2,,3,,,1,1,,,,,,,,5,,,,,,,,,,,,,,1,1
SOUTH,14,231,49,4,1,,,4,,,4,,,,1,2,,,,,,,,,,,,,1,,3,1,,7,2,,,,1,,,,,,,8,,,,1,,,2,2,,1,,,,,4
SOUTH,14,232,42,,,,,1,,,5,,,,,1,,,,,,1,2,,,1,,,,,,3,,1,2,,1,,,,,,,,,11,,,,6,,,2,1,,,,,,2,2
SOUTH,14,235,48,1,,,,2,,,4,,,,,4,,,,,,,1,,1,,,,,,1,13,,6,1,,,1,,1,,,,,,7,,,,2,,,,,,,,,1,,2
SOUTH,14,236,27,,,,,2,,,3,1,,,,,,,,,,,,,1,,,,,,2,2,,4,,,2,,,,,,,,,7,,,,1,,,1,1,,,,,,,
SOUTH,14,239,45,2,,,,1,,,2,,,,,2,,,,2,,2,,,,,,,,,2,1,,7,1,,,,,,,1,,,,10,,,,1,1,,2,,,,,,,1,7
SOUTH,14,240,9,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,1,,
SOUTH,14,241,17,,,1,,1,,,1,,,,,1,,,,,,,,,,,,1,,,,2,,1,,,,,,1,,1,,,,2,,,,1,,,1,,,,,,,2,1
SOUTH,14,242,33,1,,,1,2,,,4,1,,,,1,,,,,,,1,,,1,,1,,,,1,,7,1,,,,,1,,1,,,,2,,,1,1,,,2,,,,,,,1,2
SOUTH,14,247,18,1,,,,,,1,5,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,5,1,,,,,1,1,
SOUTH,14,248,54,2,,,,2,1,,11,2,,,,4,,,,,,,,,1,,,,1,1,4,,,4,1,,,1,,,,,1,,,11,,,,,,,,1,,,,,1,1,4
CENTRAL,21,13,18,,,,,1,,,4,1,,,,,,,,,,,,,1,,,,,,,,,2,1,,,,,,,1,,,,4,,,,,1,,2,,,,,,,,
CENTRAL,21,14,18,1,,1,,,,,2,,,,,1,,,,,,,1,,,1,,,,,,,,,3,,,,,1,,,,,,4,,,,,,,1,,,,,,,1,1
CENTRAL,21,15,11,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,4,,,1,,,,,
CENTRAL,21,16,11,1,,,,1,,,2,,,,,1,,,,,,2,,,,,,,,,,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,,,
CENTRAL,21,17,11,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,1,,,1,4,,,2,,,,,,,,
CENTRAL,21,18,9,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,4,,,,,,,1,
CENTRAL,21,183,20,,1,,,1,,,,1,,,,,,,,,,,2,,1,1,,,,,1,,,1,4,,,,,,,1,,,,4,,,,,,,,,,,,,,,2
CENTRAL,21,184,40,2,,1,,5,,,10,,,,,1,,,,,,1,1,,,,,,,,,1,,3,1,,,,,,,,,,1,7,,,,,,,2,,,,,,,2,2
CENTRAL,21,185,27,,,,,2,1,,,1,,,,3,,,,,,,,,1,,,,,,2,,,2,3,,,,,,,,,,,3,,,1,2,,,4,,,,,,,,2
CENTRAL,21,186,5,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
CENTRAL,21,187,23,,,,,1,,,2,1,,,,3,,1,,,,1,2,,,,,,,,,1,,2,2,,,,,,,,,1,,4,,,,,,,1,,,,,,,,1
CENTRAL,21,188,17,2,,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,1,1,,2,,,,,,1,,,,,,4,,,,,,,,,,,,,,1,1
CENTRAL,21,189,16,,,1,,,1,,,,,,,2,,,,,,,,,,,,,,,,1,,6,1,,1,,,,,,,,,2,,,,,1,,,,,,,,,,
CENTRAL,21,19,20,,,,,2,,,2,,,,,,,1,,,,3,,,1,1,1,,,,1,,,1,2,,,,,,,1,,,2,,,,,,,,,1,,,,,,,1
CENTRAL,21,190,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
CENTRAL,21,191,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,
CENTRAL,21,192,19,1,,,,2,,,,,,,,,,,,,,,,,1,3,,,,,,,,3,2,,,,,,,,,,2,1,,,,,,,1,,,,,,,3,
CENTRAL,21,193,9,,,1,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,1
CENTRAL,21,194,24,,1,1,1,1,,1,2,1,,,,1,,,,,,,,,1,1,,,,,1,,,3,,,,,,1,,,,,,4,,,1,,,,1,,,,,,,1,1
CENTRAL,21,195,14,,,,,,,,4,,,,,2,,,,,,,1,,,,,,,,,,,1,3,,,,,1,,,1,,,,,,,,,,,,,,,,,,1
CENTRAL,21,196,28,1,,1,,,,,2,,,,,2,,,,,,,4,,,,,,,,1,,,4,1,,,,,,,,,,,5,,,1,1,,,,2,,,,1,1,,1
CENTRAL,21,197,28,,,,,,2,,3,,,,,2,,,,,,,2,,,,,,,,1,1,,,4,,2,1,,,,,,,,7,,,,,,,1,,,1,,1,,,
CENTRAL,21,21,10,,,,,,,,3,,,,,1,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
CENTRAL,21,22,27,,,1,,5,1,,2,,,,,,,,,,,2,1,,,,,,,,1,,,2,1,,,,,,,1,,,,4,,,,1,,,,,,,,1,,3,1
CENTRAL,21,24,26,,,,,,,,3,,,,,,,,,,,,,,,,,,,,4,3,,2,2,,,,,,,,,,,5,,,,1,1,,5,,,,,,,,
CENTRAL,22,23,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,25,19,1,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,2,2,,,,,,,1,,,,4,,,,,1,,,1,,,,,,1,
CENTRAL,22,27,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,2,,,,,,,,
CENTRAL,22,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,
CENTRAL,22,30,2,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
CENTRAL,22,33,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,34,18,,,,,,,,1,,,,,1,,,,,,2,1,,,,,,,,,,,4,1,,,,,,,,,,6,,,,,,1,,1,,,,,,,,
CENTRAL,22,35,2,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,36,4,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,37,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,38,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
CENTRAL,22,40,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,1,
CENTRAL,22,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
CENTRAL,22,42,11,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,2,,,,,,,,,,4,,,,,,,,1,,,,,,,1,
CENTRAL,22,43,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,
CENTRAL,22,44,22,,,,,1,,,2,1,,,,1,,,,,,,1,,,1,,,,,1,,,1,1,,,,,2,,1,,,,1,,,1,,,,4,,,,,,,2,1
CENTRAL,22,45,7,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,3,,,,,,,,
CENTRAL,22,46,30,,,,,,,,4,1,,,,,,,,1,,,2,,,1,,,,,,,,7,1,,,,,,,1,,,,2,,,,2,,,3,2,1,,,,,,2
CENTRAL,22,47,51,2,,,,,,,7,,,,,2,,,,,,1,20,,2,,,,,,,,,4,,,,,,,,,1,,,2,,,,1,,,6,1,,,,,,2,
CENTRAL,22,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,49,10,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,2,,,,,,,1,,,,,,,,
CENTRAL,22,50,11,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,1,,,2,1,,,,,,,1
CENTRAL,22,51,62,1,,,1,3,,,14,,,,,,,,,,,,,,1,2,,,,1,5,4,,3,1,,,,,,,1,,,,11,,,1,,,,3,,,1,,,1,3,5
CENTRAL,22,52,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,54,6,,,1,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,56,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,
CENTRAL,22,59,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,
CENTRAL,22,60,39,1,,,,5,,2,5,,,,,3,,,,,,,,,3,2,,,,,,1,,2,6,,,,,,,,,,,5,,,,1,,,1,2,,,,,,,
CENTRAL,22,64,25,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,4,1,,,,,,,,,,3,5,,,,2,,,3,1,,,,1,,,1
CENTRAL,23,155,147,,,,,,,,6,1,,,,2,,,,,,1,17,,3,13,,,,,3,,1,12,32,,,1,2,,1,,,,24,10,,,1,1,2,,5,5,,,,,,4,
CENTRAL,23,156,83,,,2,,2,,,5,4,,,,5,,,,,,1,4,,,3,,,,1,,1,,10,10,,,,,2,,1,,,,3,,,1,6,,,14,2,,,,1,,3,2
CENTRAL,23,157,134,,1,,,,,,2,,,,,4,,1,,1,,4,13,,1,23,,,,,2,,,15,9,,,2,,,,2,,,34,5,,,,2,,,8,2,,,,,,,3
CENTRAL,23,158,17,,,,,,,,1,,,,,4,,,,,,,2,,,,,,,,,,,,2,,,,,,,1,,,,1,,,,,,,4,1,,,,,,,1
CENTRAL,23,159,85,1,,1,,3,,,16,,,,,3,1,,,,,2,2,,1,2,,,,,3,1,2,7,1,,,,,2,,1,2,,,15,,,,,2,1,3,1,,1,,1,,6,4
CENTRAL,23,160,32,,,,,1,,,3,,,,,1,,,,,,1,,,2,1,,1,,,2,,,4,7,,,,,,,,,,6,1,,,,,,,,,,,,,,1,1
CENTRAL,23,161,43,,,,,1,,1,5,1,,,,1,,,,,,2,4,,2,,,,,,1,1,,6,7,,,,,2,,,1,,,2,,,1,1,,1,2,,,,,,,,1
CENTRAL,24,162,43,2,,,,,,,2,,,,,6,,4,,,,2,2,,1,,,,,,,,,2,5,,,,,,,1,1,,,4,,,,,2,,2,3,,,,1,,1,2
CENTRAL,24,163,38,1,,1,,1,1,,3,,,,,1,,,,,,,1,,,,,,,1,,,1,2,1,,,,1,,,1,,,,12,,,1,,,,4,1,,,,,,3,1
CENTRAL,24,164,9,,,,,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,1,
CENTRAL,24,165,87,1,,1,,6,,,11,1,,,,5,,,,,,2,5,,3,1,,,,,1,1,,10,5,,,,,1,,3,1,,5,7,,,1,2,,,6,2,,,,1,,1,4
CENTRAL,24,166,15,,,,,,,,2,,,,,1,,,,,,,2,,,,,,,,,,,6,,,,,,1,,,,,,2,,,,,,,,,,,,,,,1
CENTRAL,24,167,33,,,,,,,,3,,,,1,5,,,,1,,1,1,,,,,,,,,,,1,2,,,,,,,1,,,3,3,,,1,,2,,6,1,,,,,,,1
CENTRAL,24,168,9,,,,,,,,1,4,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
CENTRAL,24,169,58,,,,,3,,,6,,,,,2,,,,,,1,2,,1,,,,,,1,4,,3,2,,,,,1,,1,,,,10,,,,3,1,,11,,,,,,1,5,
CENTRAL,24,170,44,,,,,3,,,6,1,,,,1,,,,,,,1,,1,2,,,,,1,,1,2,4,,,,,1,,3,,,1,10,,,,,,1,,1,,,,1,,2,1
CENTRAL,24,171,6,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,172,35,,,1,,,,,5,,,,,4,,1,,,,2,1,,4,1,,,,,,,,5,1,,,,,1,,,,,1,2,,,,,1,,5,,,,,,,,
CENTRAL,24,173,28,,,,,,,,2,,,,,2,,,,,,2,1,,,,,,,1,1,,,3,1,,,,,2,,,,,2,6,,,1,,,,2,1,,,,,,1,
CENTRAL,24,174,14,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,2,,,1,,,,2,,,,,,,,1
CENTRAL,24,175,23,,,,,2,,,2,1,,,,,,,,,,,,,,,,,1,,1,1,,1,1,,,,,,,1,,,2,5,,,,,,,1,2,,,,,,,2
CENTRAL,24,176,13,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,1,,,,,,,,4,,,2,,,,,,,,1
CENTRAL,24,177,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,
CENTRAL,24,178,7,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1
CENTRAL,24,179,5,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,
CENTRAL,24,180,36,1,,,,,,,5,1,,,,4,,,,,,2,1,,1,,,,,,1,,,3,5,,,,,1,,1,,,,3,,1,,2,,,1,2,,,,,,,1
CENTRAL,24,181,21,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,2,2,,4,1,,,,,,,,,,,,,,1,2,,,7,,,,,,,,
CENTRAL,24,182,9,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,2,,,,,,,,,,,,,,2,1
CENTRAL,32,109,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
NORTH,31,57,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,58,16,2,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,3,,,3,,,,1,,,2,
NORTH,31,61,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,62,12,1,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,2,,2,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,1
NORTH,31,63,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,1,,,,,
NORTH,31,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
