PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BRIBERY,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,13,218,25,,,,,,,3,,,3,1,,,,3,,,,,,,,,,,,,,,,,1,,2,,,1,1,,,,,,,,,,7,,,,,,,,,,,,,3
SOUTH,13,219,19,2,,1,,,,5,,,4,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,3
SOUTH,13,220,26,1,,1,,,,1,,,8,,,,,,,,,,,,,,,,,,,,,3,1,,3,1,,,,,,,,,,,,,3,,,,1,,1,,,,,,1,1
SOUTH,13,221,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,14,224,56,1,,,,,,4,,,6,1,,,,5,,,,,,,,1,,,,2,,,,3,2,,6,1,,,,,1,,,,,1,,,14,,1,1,,,,,,1,,,,5
SOUTH,14,225,72,2,,,1,,,7,2,,8,,,,,6,,,,,,,,3,,,2,,,,,2,11,,8,,,,,,,,,,3,,,,3,,,1,,1,3,,,1,,1,2,5
SOUTH,14,226,28,,,,,,,3,,,3,,,,,2,,,,,,,,,,,,1,1,,,1,1,,4,1,,,,,,,,,1,,,,2,,1,1,,1,,1,,,2,,,2
SOUTH,14,229,38,1,,,,,,3,,2,3,,,,,2,,,,,,,,,,,1,,,,,2,3,,4,5,,2,1,1,,,,,,,,,2,,,,,,1,2,,,,,,3
SOUTH,14,230,41,4,,,,,,5,,,2,,,,,2,,,,,,,,1,,,1,,,,,,2,2,4,3,,1,1,,,,,,2,,,,5,,,,,,3,,,,,,2,1
SOUTH,14,231,58,2,,1,,,,1,,1,7,,,,,7,,1,,,,,,,,5,,,,,,2,1,,10,3,,,,,,,,,3,1,,,1,,1,,,2,3,3,,,,1,,2
SOUTH,14,232,25,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,1,1,,2,1,,1,,,,,,,1,,,,4,,,,,,3,2,,,,,1,3
SOUTH,14,235,53,2,,,,,,4,,,5,1,,,,2,,,,,,1,,2,,1,3,,,,,3,3,,5,2,,,,,,,,,1,,,,3,,,,1,,6,,,,,1,1,6
SOUTH,14,236,35,1,,,,,,3,,,3,,,,,6,,,,,,,,,,,,,,,,,2,,6,2,,,,,,,,,1,,,,1,,,,,,1,2,,,,,4,3
SOUTH,14,239,28,,,,,,,2,,,7,,,,,2,,,,,,,,1,,,,,,,,,,,4,1,,,,,1,,,,,,,,4,,,1,1,,1,1,,,,,1,1
SOUTH,14,240,6,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,1
SOUTH,14,241,25,,,,1,,,1,,,4,,,,,3,,,,,,,,,,1,,,1,,,,,,3,1,,,,,,,,,2,,,,2,,,,1,,4,1,,,,,,
SOUTH,14,242,35,,,,,,,1,,,7,1,,,,1,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,3,,,,2,,3,5,,1,,,1,4
SOUTH,14,247,39,2,,1,,,,4,1,,7,,,,,4,,,,,,,,3,,,,1,,,1,1,1,,1,1,,,,,,,,,,,,,3,,,,1,,3,,,1,,,2,1
SOUTH,14,248,50,3,,,,,,4,1,,10,,,,,7,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,,,,10,,,,,,,1,,,,,2,6
CENTRAL,13,198,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,21,13,8,1,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,1
CENTRAL,21,14,16,2,,,,,,1,,,2,,,,,1,,,,,,,,1,,,,,,,,,1,,1,3,,,,,,,,,,,,,1,,,,,,1,,,,,,1,1
CENTRAL,21,15,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,
CENTRAL,21,16,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,21,17,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
CENTRAL,21,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
CENTRAL,21,183,14,1,,,,,,3,,,2,1,,,,1,,,,,1,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,,
CENTRAL,21,184,36,,,1,,,,7,,,5,,,,,2,,,,,,1,,,,,,,,,,,2,,2,1,,,,,,,,,,,,1,5,1,,,,,1,1,,,,1,2,3
CENTRAL,21,185,31,,1,,,,,6,,,2,,,,,1,,,,,,,,,,,,,,,,,3,,3,,,1,,,,,,,,,,,4,,,,4,,2,1,,,,,2,1
CENTRAL,21,186,2,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,187,31,,,,,,,1,,,4,,,,,1,,,,,,,1,1,,1,,,,,,3,,1,3,3,,,,,,,,,2,,,,7,,,1,,,,,,,,,,2
CENTRAL,21,188,28,,,1,,,,1,,,5,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,13,,,,,1,,,,,,,,3
CENTRAL,21,189,11,,,,,,,2,,,1,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,2,1,1,,,,,,
CENTRAL,21,19,13,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,,2,,,2,,,,,,,1,1,,,,,,2
CENTRAL,21,190,11,,,,,,,,,,1,1,,,,1,,,,,,,,,,,1,,,,,,,,2,1,,,,,,,,,,,,,1,,,,,1,,,,,,,2,
CENTRAL,21,191,5,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,
CENTRAL,21,192,15,,,,,,,1,,,2,,,,,,,,,,,,1,,,,1,,,,,,,,2,,,1,,,,,,,1,,,,4,,,,,,,,,,,,1,1
CENTRAL,21,193,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,21,194,18,,,,,,,4,,,,1,,,,2,,1,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,1,3,,,,,,,1,,,,,1,1
CENTRAL,21,195,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,1,,1,,,,,,
CENTRAL,21,196,24,,,,,,,1,,,5,,,,,1,,,,,,,,,,,2,,,,,1,,,2,2,,,,,,,,,,,,,6,,,,,,,1,,,,,2,1
CENTRAL,21,197,38,,1,,,,,2,,,3,,,,,3,,,,,,,,1,,,,,,,,,4,,3,1,,1,3,,,,,,,2,,,11,,,,,,,,,1,,1,,1
CENTRAL,21,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,
CENTRAL,21,21,11,,,,,1,,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,
CENTRAL,21,22,32,1,,,,,,6,,,6,,,,,,,,,,,,,3,,1,,,,,,1,,,2,1,,,,,,,,,,,,,4,,,,,,2,1,,,,1,2,1
CENTRAL,21,24,15,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,4,,3,,,,,,,,,,,,,,4,,,,,,,,,,,,1,
CENTRAL,22,23,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
CENTRAL,22,25,20,,,,,,,,,,2,,,,,1,,1,,1,,,,1,,,1,,,,,,,,3,1,,,,,2,,,,,,,,4,,,,,1,2,,,,,,,
CENTRAL,22,26,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,22,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,22,34,16,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,5,2,,,,,,,,,,,,3,1,,,1,,,2,,,,,,,
CENTRAL,22,35,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,36,4,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,
CENTRAL,22,38,4,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,22,39,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
CENTRAL,22,41,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,22,42,9,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,2,,,,,,,,,1,,,,,,,,2
CENTRAL,22,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
CENTRAL,22,44,12,1,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,2,1,,,1,1,,,,,,,,,2,,,,,,,,,,,,,
CENTRAL,22,45,9,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,3,,,,,,1,,,,,2,,
CENTRAL,22,46,41,,,,,,,4,1,1,6,2,,,,2,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,6,,,,4,,8,1,,1,,,1,
CENTRAL,22,47,22,,,,,,,1,,,2,,,,,,,,,,,,1,1,,,1,,,,,,2,,1,1,,1,,,,,,,,1,,,2,,,,5,,3,,,,,,,
CENTRAL,22,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,49,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,50,23,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,1,1,,2,2,,,,,,,,,,,,,1,,,,2,,8,,,,,,3,
CENTRAL,22,51,46,1,,1,,,,2,,,4,1,,,,4,,,,,,,,,1,1,2,,,,,,1,,5,1,,1,1,,,,,,,,,,2,,,,8,,8,1,,,,1,,
CENTRAL,22,52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CENTRAL,22,53,13,,,,,,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,5,,,,,,,
CENTRAL,22,54,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,1,,,,,,,,,,,2,,1,1,,,,,,1
CENTRAL,22,55,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,56,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
CENTRAL,22,59,9,,,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,1,,,,,,,
CENTRAL,22,60,41,,,,,,,4,,1,3,,,,,,,,,,1,,,4,,1,2,,1,,,2,,1,2,4,,,1,,,,,,,,,2,3,,,,1,1,4,1,,,,,,2
CENTRAL,22,64,32,1,,,,,,,1,,1,,,,,,,,,,,,,,,1,2,,,,,,1,,1,3,,,,,,,,,,,,5,2,,,2,3,1,8,,,,,,,
CENTRAL,23,155,145,1,1,,,,,1,,,6,1,,,,5,,1,1,,,,2,8,,3,7,,,,,2,,,20,20,,,1,,1,,,,,,,42,7,,,,,6,5,2,,,,,1,1
CENTRAL,23,156,82,1,,,,,,2,,,7,,,,,1,,,,,,,,6,,1,1,,1,,,1,,,8,16,,,,,,,,,,,,,5,,,,4,1,16,1,,,,1,9,
CENTRAL,23,157,124,3,1,1,,,,,,1,5,,,,,3,,7,,,,,1,3,,1,5,,,,,,1,,15,20,,,,,,,1,,2,,,41,3,,,,1,2,2,1,,,,,3,1
CENTRAL,23,158,18,,,1,,,,,,,1,,,,,5,,,,,,,,1,,,,,,,,,1,,1,,,,,,2,,,,,1,,,1,,,,,,3,,,,,1,,
CENTRAL,23,159,86,1,,,,,,7,,,11,1,,,,4,,,,,1,,1,2,,2,2,,,,,,3,,8,4,,,1,,1,,,,1,1,,3,15,,,,1,,10,2,,,,1,2,1
CENTRAL,23,160,29,1,,,,,,,,,1,,,,,2,,1,,,,,1,,,2,,1,,,,,,,1,9,,,,,,,,,,,,3,1,,,,1,,5,,,,,,,
CENTRAL,23,161,56,,,,,,,3,,1,10,,,,,,,,,,1,,,,,,3,,,,,2,,,5,2,,,,,,,,,,,,2,2,,,,3,1,16,1,,,,,2,2
CENTRAL,24,162,67,3,,1,,,,1,,,9,,,,,6,,1,,1,,,4,,,,,,1,,1,1,1,,9,7,,,,,,,,,1,1,,1,9,,1,,,2,2,,,,,,2,2
CENTRAL,24,163,48,1,,,1,,,4,,,2,,,,,4,,,,,,,,2,,,,,,,,,1,,3,3,,,,,,,,,3,1,,,9,,,1,,,6,2,,,,,1,4
CENTRAL,24,164,8,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,,2,,,,,,,
CENTRAL,24,165,102,2,1,1,,,,4,,,12,,,,,8,,,,,,,2,7,,3,1,,,,,1,2,,6,6,,,,,,,,,3,,,9,3,,,,1,1,15,5,,,,1,4,4
CENTRAL,24,166,11,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,3,,,,,,1,,,,,,,
CENTRAL,24,167,40,1,,,,,,,,,3,1,,,,2,,3,,,,,,1,,,2,,,,,,,,7,3,,1,,,,,,,,,,,4,,,,,2,4,2,,,,,3,1
CENTRAL,24,168,12,1,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,1,4,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,
CENTRAL,24,169,80,3,,,,,,2,,,15,1,,,,1,,1,,,1,,,,,1,,,,,,,2,3,5,6,,,,,,,,,2,,,,9,,,1,6,,10,,,1,,1,3,6
CENTRAL,24,170,46,1,,,,,,1,1,,5,,,,,2,,,,,,,,1,,,1,,,,,,3,,5,2,,,,,,,,,2,,,10,6,,,,1,1,1,,,,,,,3
CENTRAL,24,171,5,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
CENTRAL,24,172,33,,,,,,,2,,1,,1,,,,3,,,,,,,1,2,,3,,,,,,,1,,3,3,,,,,1,,,,1,,,2,3,,,,1,,3,1,,,,,,1
CENTRAL,24,173,29,,,,,,,1,,,4,,,,,2,,1,,,,,,1,,,4,,,,,2,,,1,2,,1,,,,,,,,,,2,1,,,,1,,5,,,,,,1,
CENTRAL,24,174,5,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
CENTRAL,24,175,12,1,,,,,,1,,,2,1,,,,,,,,,,,,1,,,,,,,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CENTRAL,24,176,10,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,2,,,,,,1,
CENTRAL,24,177,10,,,,,,,2,,,2,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,1,
CENTRAL,24,178,7,,,,,,,3,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
CENTRAL,24,179,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,2,,2,,,,,1,,
CENTRAL,24,180,40,,,,,,,5,,,3,2,,,,3,,,,,,,1,2,,,1,,1,,,,,,1,2,,2,,,,,1,,2,,,3,4,,,,,1,5,,,,,,1,
CENTRAL,24,181,25,,,,,,,,,,6,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,3,,,,1,4,7,1,,,,,,
CENTRAL,24,182,4,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
