PRECINCT,BEAT,RA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAGS-IMPROPER DISPLAY OF,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,13,205,27,1,,,,1,,,4,,,,,2,,,,1,,,,,,1,,,,,2,1,,2,2,,,,,,,,,,,,1,,,,,,,1,2,1,,,,,3,2
SOUTH,13,206,19,,,,1,2,1,,2,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,6,,,,,,,2,,,,,,,
SOUTH,13,207,9,1,,1,,1,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,
SOUTH,13,208,11,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,1,,,,,,,1,1,,,,,,1
SOUTH,13,209,11,,,,,2,,,1,,,,,,,,,,,1,1,,,1,,,,,,,1,,2,,,,,,,,,,,,1,,,,,,,,1,,,,,,,
SOUTH,13,210,8,1,,,,2,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
SOUTH,13,211,8,1,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SOUTH,13,212,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,213,39,1,1,1,,3,,,4,,,,,1,,,,,,,,,4,,,,,,,5,,3,4,,,,,1,,,,1,,,,4,,,,,,2,,2,,,,1,,1
SOUTH,13,214,6,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,
SOUTH,13,216,5,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
SOUTH,13,217,10,,,,,1,,,2,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,1,,,,,,1,
SOUTH,13,218,21,1,,,,2,,,3,,,,,1,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,2,,,,5,,,,,,,,2,,,,,,2
SOUTH,13,219,24,1,,1,,1,,,8,1,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,1,,,,4,,,,,,1,1,,,,,,,2
SOUTH,13,220,21,,,,,1,,,4,,,,,1,,,,,,,1,,1,,1,,,,2,,,1,1,,,,,,,,,,,1,,4,,,,,,1,,2,,,,,,
SOUTH,13,221,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
SOUTH,14,224,73,4,,,1,2,,,11,,1,,,9,,,,1,,1,,,2,,,,,1,4,,,1,5,,1,,,,,,,3,,,,10,,1,,,1,4,1,,,,,,1,8
SOUTH,14,225,78,3,,1,,4,,,14,,,,,10,,,,,,,,,,1,,,,,6,,,17,,,,,,,,,,2,,,,8,,1,,,,2,1,1,,,,,1,6
SOUTH,14,226,27,1,,,,1,,,4,1,,,,3,,,,,,,,,,,,,,,,,,6,2,,,,,1,,,,,,,,6,,,,,,,1,,,,,,,1
SOUTH,14,229,53,1,,1,,3,,,6,1,,,,1,,,,,,,,,1,,,,,1,4,5,1,2,,,1,,,,,,,1,1,,,13,,,,,1,3,1,,,,,,1,4
SOUTH,14,230,52,3,,,2,2,,,9,,,,,2,,,,,,,1,,,,,,,1,1,1,1,3,1,,1,,,,,,,,,,,15,,,,,,,1,2,,1,,,1,4
SOUTH,14,231,76,3,,,,1,,,9,,,,1,15,,,,,,,1,,,6,,,,,2,3,,7,5,,,,,,,,,,,,,11,,,,,,1,3,,1,1,,1,1,4
SOUTH,14,232,29,1,,,,1,1,,6,,,,,1,,,,,,1,,,,,,,,,1,,,5,4,,,,,,,,,1,,,,4,,,,,,,,,,,,,2,1
SOUTH,14,235,45,1,,2,1,3,,,6,,,,,4,,,,,,,,,,1,,2,,1,4,,,3,1,,,,,,,,,,,,,9,,,1,,,,,,,,,,4,2
SOUTH,14,236,31,2,,,,2,,,3,,,,,4,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,2,,,,3,,,,,,,1,,,,,2,2,6
SOUTH,14,239,30,,,,,3,,,3,,,,,1,,,,1,,,2,,,,,,,,,4,,3,,,,,,1,,,,1,,,,5,,,,,,1,2,,,1,,,1,1
SOUTH,14,240,9,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,1,,1
SOUTH,14,241,19,1,,1,,,,,3,,,,,1,,,,,,,1,,,,,,,,,,,5,,,,,,,,,,2,,,,2,,,,,,1,,,,,,,,2
SOUTH,14,242,25,,,1,1,4,,,2,,,,,,,,,,,,1,,,,,,,,,,,4,,,,1,,,,,,,,,,4,,,,,,,4,1,,,,,1,1
SOUTH,14,247,17,,,,,1,,,2,,,,,1,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,2,,,,,,3,1
SOUTH,14,248,60,1,,,,2,,,13,,,,,3,,,,,,,1,,,,,1,,,4,,,5,2,,,,,,,,,,,,,18,,1,,,,,1,1,,,,,1,6
CENTRAL,21,13,16,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,2,2,,2,2,,,,,,,,,,,,,2,,,,,,1,2,,,,,,1,
CENTRAL,21,14,26,,,,,1,,,,,,,,2,,1,,,,,,,1,,,1,,,,,,4,4,,,,,,,,,,,,,2,,,1,,1,2,3,,,,,2,,1
CENTRAL,21,15,5,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
CENTRAL,21,16,6,,,1,,1,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CENTRAL,21,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,18,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,183,20,,,1,,,,,1,,,,,4,,1,,,,,1,,,1,,1,,,1,,,1,2,,,,,,,,,,,,1,3,,,,,,2,,,,,,,,
CENTRAL,21,184,48,1,,2,2,1,,,9,,,,,3,,,,,,,,,,,,,,,1,1,1,3,2,,2,,,,,,,3,,,,10,,,1,,,2,1,1,,,,,,2
CENTRAL,21,185,28,,,1,,7,,,3,1,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,7,,,,,1,,,,,,,,3,1
CENTRAL,21,186,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,,,,,,,
CENTRAL,21,187,27,,,,,1,,,3,,,,,4,,,,,,1,2,,1,,,,,,,,,5,2,,1,,,,,,1,,,,,2,,,,,,1,,,,,,,1,2
CENTRAL,21,188,28,1,,,,1,,,4,,,,,5,,,,,,,,,,,,,1,,2,3,,1,1,,,,,1,,,,,,,,2,,,,,1,1,1,,,,1,,,2
CENTRAL,21,189,31,,,1,,,,1,3,,,,,1,,,,1,,,,,,,,,,,,,,3,3,,,,,,,,7,1,1,,,3,,,,,1,3,,1,,1,,,,
CENTRAL,21,19,21,,,,,,,,,,,,,,,,,,,2,,,1,12,,,,,,,,1,2,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,
CENTRAL,21,190,22,,,,,2,,,4,,,,,,,,,,,1,1,,,1,,,,,,,,1,,,,1,,,,,5,,,,,3,,,,,,1,,,,,,1,1,
CENTRAL,21,191,9,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,1,,,2,,,,,,1,,,,,,,,1
CENTRAL,21,192,14,,,,,1,,,1,,,,,1,,1,,,,2,,,1,2,,,,,1,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,1,,
CENTRAL,21,193,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,2,,,,,,,,
CENTRAL,21,194,17,,,2,,,,,4,1,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,1
CENTRAL,21,195,16,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,1,1,,2,1,,,,,,,,1,,,,,3,,,,,3,,,,,,,,,
CENTRAL,21,196,55,2,1,,1,5,1,,2,1,,,,6,,,,,,,,,2,2,,,,1,1,1,,2,2,,,,,,,,,,,,7,5,,,,,,2,3,3,1,,,1,1,2
CENTRAL,21,197,41,1,,1,,2,,1,3,,,,,8,,,,1,,,,,,,,,,,2,3,1,2,,,,,1,,,,2,,,,,7,,,,,,,,,1,,,1,2,2
CENTRAL,21,20,5,,,1,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
CENTRAL,21,21,7,,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,
CENTRAL,21,22,42,1,,2,,2,,,3,1,,,1,4,,,,,,1,2,,3,,,,,,2,,,3,1,,,,,,,,,1,,,,4,,,1,,3,1,2,,,,,,4,
CENTRAL,21,24,6,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
CENTRAL,22,23,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,25,13,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,1,,,3,,,,,1,,2,1,,,,,,1
CENTRAL,22,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
CENTRAL,22,28,4,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,29,2,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,30,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
CENTRAL,22,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,34,13,,,,,,,1,,,,,,,,,,,,,1,,1,2,,,,,1,,,2,,1,,1,,,,,,,,,,,,,,,,1,2,,,,,,,
CENTRAL,22,35,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,38,2,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,40,15,,,,,1,,,,,,,,,,,,,,,,,12,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,41,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,42,18,,,,,2,,,,,,,,,,,,,,,4,,,3,,,,,1,,,1,2,,,,,2,,,,,,,,1,,,1,,,,,,,,,,,1
CENTRAL,22,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,44,15,,,1,,,,,3,1,,,,,,,,,,1,,,,1,,,,1,2,,,,,,,,,,,,,,,,,2,,,,,2,1,,,,,,,,
CENTRAL,22,45,5,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
CENTRAL,22,46,23,1,,,,1,,,2,,,,,3,,,,,,,,,,,,,,,2,,,2,1,,,,,,,,,,,,,3,,,,,,3,1,1,,,,,2,1
CENTRAL,22,47,9,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,2,,,,,,2,
CENTRAL,22,48,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
CENTRAL,22,49,8,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,
CENTRAL,22,50,11,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,1
CENTRAL,22,51,15,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,6,,,1,,,,4,1,,,,,,
CENTRAL,22,52,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
CENTRAL,22,53,7,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2,,,,,,,
CENTRAL,22,54,9,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,2,1,,,,,,,
CENTRAL,22,55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,56,4,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,59,4,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
CENTRAL,22,60,92,,,2,,3,,,6,1,,,,2,,,,,,3,1,,1,46,,,,,1,,,4,4,,,,,,,,,,1,,1,5,,,,,,2,5,3,,,,,,1
CENTRAL,22,64,31,,,1,,,,,,1,,,,,,,,,,,2,,,8,,,,,,,,2,1,,,,,,,,,,,,6,2,,,,,2,2,3,,,,,1,,
CENTRAL,23,155,160,,,,,1,,,5,,,,,1,,4,,,,,3,,3,32,,1,,,5,,,12,16,,,,,,1,,,1,,,30,8,,,1,,4,9,19,2,,,,,,2
CENTRAL,23,156,79,,,1,,6,,,6,1,,,,,,,1,,,,2,,2,2,,,,,3,1,,9,15,,,,,3,,,,1,,,,6,,,1,,5,3,6,3,,,,1,,1
CENTRAL,23,157,129,,,2,,,,,3,,,,,7,,5,,,,1,,,1,17,,,,,3,1,,17,15,,,1,,,,,,1,,,30,8,,,,,3,5,5,,,1,,,1,2
CENTRAL,23,158,17,,1,,,2,,,2,,,,,3,,,,,,1,,,2,,,,,,,1,,1,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,1
CENTRAL,23,159,111,,,1,1,16,,2,14,2,,,,5,,,,,2,,1,,,3,,,,,2,,,8,5,,2,1,,,2,,6,3,,,3,11,,,1,,,,9,3,,,,2,1,5
CENTRAL,23,160,15,,,,,,,,1,1,,,,1,,,,,,1,,,,,,2,,,,,,3,2,,,,,,,,,,,,1,1,,,,,,1,1,,,,,,,
CENTRAL,23,161,38,,,,,1,,,8,,,,,1,,,,,,1,2,,,,,,,,,,,5,2,,,1,,,,,,,1,,1,5,,,1,,,5,2,,,,,,2,
CENTRAL,24,162,47,,,2,,1,,1,5,,1,,,3,,,,1,,1,,,3,3,,,,,2,,,6,1,,,,,1,,,,,,,1,5,,,,,2,3,1,4,,,,,,
CENTRAL,24,163,41,,,2,,2,,,5,,,,1,2,,,,,,,1,,1,,,,,,1,1,,4,3,,,,,1,,,,1,,,1,7,,1,1,,,2,1,,,,,1,1,1
CENTRAL,24,164,11,,,,,,,,1,,,,,,,,,,,,1,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,
CENTRAL,24,165,102,,,2,,5,,2,3,,,,1,4,1,3,,,,10,7,,1,7,,,,1,2,3,,12,4,,,,1,1,,,,2,,,13,6,,,,,,4,3,,,,,2,,2
CENTRAL,24,166,11,,,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,1,,,1,,,,1,1,,,,,,
CENTRAL,24,167,41,1,,1,,2,,,3,,,,,4,,,,,,,,,3,11,,,,,1,,,2,3,,,,,,,,,,,,,6,,,,,1,,1,,,,,,1,1
CENTRAL,24,168,13,,2,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,2,
CENTRAL,24,169,87,2,,,,9,,1,8,,,,,5,,,,,,,3,,,,,1,,,1,3,,8,6,,,,,,,,,,,1,,16,,,,,1,3,11,2,,,,2,3,1
CENTRAL,24,170,39,2,,1,1,1,,,,,,,,,,,,,,1,4,,,1,,,1,,2,1,,2,2,,,1,,,,,,3,,,1,9,,,,,,,2,,,,,,,4
CENTRAL,24,171,13,,,,,,,,3,,,,,4,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,2
CENTRAL,24,172,20,,1,,,1,,,1,,,,,1,1,,,,,2,1,,1,4,,,,,,,,,2,,,,,,,1,,,,,2,,,,,,,1,,,,,,,,1
CENTRAL,24,173,22,,,,,,,,,,1,,,3,,,,,,,,,,4,1,,,,,,,3,2,,,,,1,,,,,,,,3,,,,,1,,1,,,,2,,,
CENTRAL,24,174,12,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,2,,,,,,,,,,1,,,,2,,,,,,2,2,,,,,,,
CENTRAL,24,175,23,,,,,3,,,2,,,1,,2,,,,,,1,,,,2,1,,,,1,,,4,1,,,2,,,,,,,,,,2,,,,,,1,,,,,,,,
CENTRAL,24,176,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,1,,2,,1,,,,,,,
CENTRAL,24,177,23,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,1,,,,,,,,,6,,,,,1,1,7,1,,,,,1,
CENTRAL,24,178,11,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,4,,,,,,1,1,,,,,,,
CENTRAL,24,179,6,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,
CENTRAL,24,180,28,,,,,1,,,5,1,,,,3,,1,,,,,,,,,,,,,2,,,1,2,,,,,1,,,,,,,,4,,,,,,1,2,3,,,1,,,
CENTRAL,24,181,13,,,,,,,,3,,,,,3,,,,,1,,,,,,1,,,,,,,,2,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,
CENTRAL,24,182,9,,,1,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
NORTH,31,57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,58,9,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1,1,,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,
NORTH,31,61,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,62,8,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,2,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
