PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BRIBERY,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,12,12,12,,,1,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,1,,3,,,,,,1,
SOUTH,12,2,28,1,1,,,,,,,,4,,,,,1,,,,,,1,1,,2,,,,,,6,,,1,1,,,1,,,,,,,,,,,4,,,,,1,,1,1,,,,,1,
SOUTH,12,3,20,1,,,,,,2,,,2,,,,,,,,,,,1,1,,,1,,,,,2,,,,4,,,,,,,,,,,,,,2,,,,,2,,,1,,,,,1,
SOUTH,12,4,29,1,,,,,,,,,6,,,,,1,,,,,,1,4,,,,1,,,,1,,,1,5,,,,,,,,,,1,,,,2,,,,,1,,2,1,,1,,,,
SOUTH,12,6,24,1,1,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,1,3,,,,1,,,,,,,,,,1,,,1,,,,4,1,,,,,1,1
SOUTH,12,7,21,,,,,,,1,,,6,,,,,,,,,,,,1,,,,,,,,,,,5,1,,,,,,,,,,,,,,2,,,,,1,,1,2,,,,,1,
SOUTH,12,9,18,,,2,,,,,,,2,1,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,4,,,,,,,2,1,,,,,2,1
SOUTH,13,198,53,,,,,,,,,,2,,,,,4,,,,,,1,,,1,1,2,,,,1,,,4,6,,,,,,,,,,2,,,21,5,,,,,1,,,,,,,1,,1
SOUTH,13,199,48,2,,1,,,,2,,,6,,,,,3,,1,,,,3,,,2,2,,2,,,1,,,4,4,,,,,,,,,,1,,,,8,,,,,1,,5,,,,,,,
SOUTH,13,200,30,,,,,,,4,,,7,,,,,3,,,,,,,,,,,,,,,,,,3,1,,1,,,,,,1,,,,,,5,,,2,,2,,,,,,,1,,
SOUTH,13,201,47,2,,2,,,,1,,,6,,,1,,1,,,,,,5,,,,1,,1,,,1,,,4,5,,,,,,,,,,2,,,1,5,,,,,4,,,1,,,,1,,3
SOUTH,13,202,17,,,,,,,3,,,5,,,,,,,,,,,,2,,,1,,,,,,,,,2,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,1,
SOUTH,13,203,22,,,1,,,,4,,,3,,,,,1,,,,,,,,,,,,,,,,2,,2,4,,,,,,1,,,,,,,,2,,,,,1,,,,,,,,1,
SOUTH,13,204,24,3,1,,,,,2,,,3,,,,,6,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,2
SOUTH,13,205,22,1,,1,,,,1,,,2,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,3,7,,,1,,,,,,,,,,,2
SOUTH,13,206,16,1,,,,,,1,,,2,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,3,,,1,,,,1,1,,,,,,1
SOUTH,13,207,8,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,3,1,,,,,,
SOUTH,13,208,19,,,,,,,,,,4,,,,,,,,,,,,1,,,,1,,,,1,,,5,1,,,1,,,,,,,2,,,,1,,,,,,,1,,,,,,,1
SOUTH,13,209,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1
SOUTH,13,210,10,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,4,,,,,,,1,,,,,,,
SOUTH,13,211,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,3,1,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,
SOUTH,13,212,7,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,1
SOUTH,13,213,50,1,,,,,,19,,,7,,,,,1,,,,1,,,,,,,,,,,,2,,1,3,,1,,,,,,,,1,,,,6,,,,,,,,2,,,,1,1,3
SOUTH,13,214,13,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,1,,,,4,,,,,1,,,,,,,,1,
SOUTH,13,216,8,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,
SOUTH,13,217,12,1,,,,,,,,,1,,,,,1,,,,,,,1,,,1,,,,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,
SOUTH,13,218,28,1,,,,,,3,,,4,,,,,3,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,5,,,,,5,,,1,,1,,,1,1
SOUTH,13,219,36,,,,,,,2,,,4,,,,1,7,,,,1,,,,,,,,,,,,,,6,,,,,,,,,,,,1,,,5,,,,,3,,,3,,1,,,,2
SOUTH,13,220,15,,,,,,,2,,,,2,,,,,,,,,,,1,,,1,,,,,2,,,2,,,,,,,,,,,,,,,2,,,,,1,,,1,,,,,1,
SOUTH,13,221,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,14,224,63,2,,,,,,3,,,6,,1,,,10,,,,,,1,,,,2,,,,,6,,1,3,,,,,,,,,,,2,1,,,11,,2,,,2,,1,,,1,,,3,5
SOUTH,14,225,45,1,,,,,,3,,,7,,,,,5,,,1,,,,,,,,,,1,,4,,,6,2,,,1,,,,,,,1,1,,,6,,,,,1,,,1,1,,,,,3
SOUTH,14,226,26,1,,,,,,3,,,1,,,,,,,,,,,,2,,,,2,,,,2,,1,3,2,,,,,,,,,,,,,,4,,,,,1,,,2,,,,,2,
SOUTH,14,229,36,2,,,,,,1,,,1,,1,,,1,,,,,,,,,1,,,,,,1,2,,5,1,,,,1,,,,,,,,,,10,,,,,5,,,1,,1,,,,2
SOUTH,14,230,45,2,,,,,,3,,1,9,,,,,2,,,,,,,2,,,,1,,,,2,1,,3,,,1,,,,,,,,,,,,9,,,,,,,,1,,1,,,2,5
SOUTH,14,231,110,5,,,,,,2,1,,12,,1,,,21,,,,,,1,,,,,1,,,,5,,2,9,5,,1,,,,,,,,1,,,,20,,,2,,1,,2,2,,1,,1,2,12
SOUTH,14,232,41,1,,,,,,12,,,6,,,,,2,,,,,,,1,,,2,,,,,,1,,2,4,,,,,,,,,,,,,,4,,,,,,,2,,,,,,,4
SOUTH,14,235,42,1,,,,,,5,,,10,,,,,1,,,,,,1,,,,2,,,,,1,1,,8,,,,1,,,,,,,1,,,,7,,,,,2,,,,,,,,,1
SOUTH,14,236,34,1,,,,,,2,,,5,,,,,5,,,,,,,,,,,,,,,,1,,3,1,,2,,,,,,,,,1,,,2,,,,,1,,2,,,,,,4,4
SOUTH,14,239,37,1,,,,,,4,,,4,1,,,,3,,,,,,,,,,,,,,,2,,,3,3,,,1,,,,,,,,1,,,1,,,1,,4,,2,1,,,,1,2,2
SOUTH,14,240,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,
SOUTH,14,241,11,,,,,,,2,,,2,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,2,
SOUTH,14,242,23,,,1,,,,3,,,2,1,,,,1,,,,,,,,,,,,,,,,1,,3,,,1,,,,,,,,,,,,2,,,,,,,3,1,,,,,3,1
SOUTH,14,247,17,,,1,,,,3,,,3,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,3,,,,,,,1,1,,,,,,1
SOUTH,14,248,43,3,,,,,,6,,,8,1,,,,1,,,,,,,,,,,,,,,,3,,1,,,,1,,,,,,,1,,,,8,,,1,,1,,,2,,,,,1,5
CENTRAL,21,13,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,
CENTRAL,21,14,21,1,,,,,,,1,,1,,,,,1,,1,,,,,1,,1,,,,,,,,,5,,,,,,,,,,,,,,,1,,,,1,1,,5,,,,,,1,
CENTRAL,21,15,11,,,,,,,,,,2,,,,,,,,,,,,1,,1,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,
CENTRAL,21,16,6,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CENTRAL,21,17,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
CENTRAL,21,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
CENTRAL,21,183,18,,,1,,,,,,,1,,,,,1,,,,,,,1,,,1,,,,,1,1,,3,2,,,,,,,,,,,,,3,,,,,,1,,2,,,,,,,
CENTRAL,21,184,41,1,,,,,,2,1,,3,,,,,,,,,,,,1,,,1,,,,2,4,3,,2,1,,,,,,,1,,,1,,,1,7,,,1,1,1,,2,2,,,,,,3
CENTRAL,21,185,31,1,,2,,,,,,,3,1,,,,3,,,,,,1,,,,,,1,,,2,1,,4,1,,,,,,,,,,,,,,1,,,1,,2,,4,1,,,,,,2
CENTRAL,21,186,7,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,
CENTRAL,21,187,21,,,,,,,,,,3,1,,,,1,,,,,,,1,,,,,,,,,,,3,1,,,,,,,,,,,,,,5,,,1,,1,,,1,1,,,,1,1
CENTRAL,21,188,41,,1,,,,,3,,,8,1,,,1,2,,,,,,,1,,,,,,,,2,3,,1,2,,,,,,,,,,4,,,,4,,,2,,,,1,1,,,,1,,3
CENTRAL,21,189,18,1,1,,,,,,,,,,,,,2,,,,1,,1,,,1,,,,,,2,,,,1,,,,,,,,,,,,,,2,,,,,2,,3,,,,,,1,
CENTRAL,21,19,16,,,,1,,,1,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,4,3,,,,,1,,1,,,,,,,
CENTRAL,21,190,8,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,
CENTRAL,21,191,7,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,192,13,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,1,,,2,1,,,,,,,,,,,,,,2,,,,1,,,1,1,,,,,,
CENTRAL,21,193,10,,,,,,,1,,,1,,,,,1,,,,1,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,
CENTRAL,21,194,23,,,,,,,,,1,5,,,,,2,,,,,,,1,,,,,,,,1,1,,2,2,,,1,,,,,,,1,,,,2,,,,,,,,,,,,2,1,1
CENTRAL,21,195,9,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,,,1,,,,,,,,,,,1,,,,,,,2,,,,,,1,
CENTRAL,21,196,31,,,,,,,3,,,5,1,,,,3,,,,,,,3,,1,1,,,,,1,,1,2,,,,1,,,,,,,,,,,3,,,,1,2,,1,1,,,,,1,
CENTRAL,21,197,24,1,1,1,,,,,,,1,,,,,2,,,,1,,,,,2,,,,,,1,2,,,2,,2,,,,,1,,,,,,,3,,1,,,,,2,,,,,,,1
CENTRAL,21,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
CENTRAL,21,21,15,,,,,,,3,,,,,,,,,,,,,,1,4,,,1,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,2,,,,,,,,,
CENTRAL,21,22,25,1,1,,,,,1,,,5,,,,,3,,,,,,1,,,,,,,,,3,,,1,2,,,,,,,,,,,,,,1,,,,,1,,1,3,,,,,,1
CENTRAL,21,24,19,,,,,,,,,,3,,,,,2,,,,1,,,,,,,,,,,,3,,2,,,1,,,1,,,,,,,,,2,,,,,,,3,,,,,,,1
CENTRAL,22,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,
CENTRAL,22,25,11,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,3,,,1,,2,,,,,,,,,
CENTRAL,22,26,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,27,2,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,28,8,,,,,,,1,,,2,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
CENTRAL,22,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,31,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,33,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,34,15,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,2,1,,,,,,,,,,,,,1,2,,,,2,3,,1,,,,,,,
CENTRAL,22,35,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
CENTRAL,22,37,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,38,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
CENTRAL,22,39,3,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,40,4,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,41,3,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,42,10,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,1,1,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,
CENTRAL,22,43,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CENTRAL,22,44,9,,,1,,,,1,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,1,,,,,,,
CENTRAL,22,45,11,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,
CENTRAL,22,46,29,,,2,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,1,,1,3,,,,,,,,,,1,,,,3,,,,4,1,,6,,,,1,,2,
CENTRAL,22,47,34,,,,,,,1,,,4,,,,,,,,,,,,,,,1,,,,,1,,,3,2,,,,,,,,,,,,,,4,,,,4,,,12,,,,,1,1,
CENTRAL,22,48,8,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,,,
CENTRAL,22,49,7,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,,,,,,,
CENTRAL,22,50,23,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,2,1,1,,,,,,,,,,,,,,7,,,,3,,,4,,,,,,,
CENTRAL,22,51,26,1,,1,,,,2,,,7,,,,,1,,,,,,,,,1,,,,,,,,,3,2,,,,,,,,,,1,,,,4,,,,,,,1,,,,,,,2
CENTRAL,22,52,8,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,
CENTRAL,22,53,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,
CENTRAL,22,54,7,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,1,,,,
CENTRAL,22,55,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,56,14,,,1,2,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,1,,1,,,,,,,
CENTRAL,22,59,8,,,,,,,,,,1,,,,,,,,,,,,,,1,2,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,
CENTRAL,22,60,36,,,,,,,2,,,3,,,,,1,,,,,,1,2,,2,2,,,,,,,,4,3,,,,,,,,,,4,,,1,2,1,,1,1,2,,,,,,,,,4
CENTRAL,22,64,26,,,,,,,,,,2,,,,,1,,,,,,,1,,1,,,,,,,,,,1,,,,,1,,,,,,,,10,5,,,,,2,,1,1,,,,,,
CENTRAL,23,155,188,2,2,2,,1,,,,1,6,,,,1,6,,4,,,,4,4,,1,13,,1,,,3,1,,15,18,,,1,,,,,1,,1,,,64,9,,,1,,11,,9,3,,1,,,1,1
CENTRAL,23,156,75,,,3,,,,2,,,6,,,,,5,,,,,,,2,,1,6,,3,,,1,1,,9,4,,1,1,,,,,,,,,,,9,,,2,,3,,10,2,,,,2,,2
CENTRAL,23,157,141,,,,,,,2,,,7,1,,,,6,,4,,,,3,4,,1,15,,1,,,1,,,11,16,,,,,,,1,,,1,,,46,1,,1,,1,8,,5,1,,,,,1,3
CENTRAL,23,158,25,,,,,,,2,,,4,,,,,6,,,,,,,1,,1,,,,,,1,,,1,2,,,,,,,,,,,,,,2,,,,,1,,2,,,,,,1,1
CENTRAL,23,159,79,1,,2,,,,2,,,9,2,,,,8,,,,,,,,,1,2,,1,,,2,7,,5,5,,,,,1,,1,,,,,,2,8,,,,,7,,9,2,,,1,,,1
CENTRAL,23,160,27,,,,,,,1,,,6,,,,,2,,2,,,,,1,,,,,2,,,,,,2,2,,,,,,,,,,,,,,1,,,,,1,,6,,,,,,,1
CENTRAL,23,161,44,,,3,,,,3,1,,6,,,,,1,,1,,,,3,1,,,1,,,,,1,1,,5,4,,1,,,,,,,,,,,,7,,,,,3,,1,,,,,1,,
CENTRAL,24,162,81,1,1,,,,,1,,,8,,,,,12,,1,,,,2,4,,1,,,2,1,,,,,5,11,,,1,,,,1,,,3,,,,9,1,,,,3,,7,2,,,,1,1,2
CENTRAL,24,163,33,3,,1,,,,1,,,9,,,,,4,,,,,,,,,,,,,,1,,,,2,1,,,1,,,,,,,,,,,6,,,,,,,2,,,,,,1,1
CENTRAL,24,164,8,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,1,
CENTRAL,24,165,102,1,,,,,,5,,,12,1,,,,8,,2,,,,1,5,,3,8,,1,,,,2,,8,6,,1,1,,,,,,,4,,,13,7,,,1,,,,3,3,,,,,,6
CENTRAL,24,166,6,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,24,167,37,,,,,,,1,,,2,2,,,1,3,,1,,,,2,,,,,,,,,,,,6,1,,,,,1,,,,,1,1,,1,7,,,,1,3,,1,1,,,,,,1
CENTRAL,24,168,17,,,,,,,,,,3,1,,,,1,,,,,,,,,,,,,,,,2,1,3,,,1,,,,,,,,,,,,1,,,2,,,,1,1,,,,,,
CENTRAL,24,169,64,,1,,1,,,2,,,9,,,,,3,,,,,,,,,1,,,,,,2,1,,5,5,,1,1,,,,,,,3,,,,10,,,1,2,,,10,,,1,,2,,3
CENTRAL,24,170,25,,,,,,,1,,,1,,,,,4,,1,,,,,1,,,,,,,,,,,3,,,,,,,,,,,3,,,,2,,2,,,,,1,1,,,,1,2,2
CENTRAL,24,171,11,,,,,,,,,,,,,,,2,,,,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,1
CENTRAL,24,172,19,,,,,,,,,,3,,,,1,1,,,,,,1,,,1,,,,,,,,,,2,,1,,,1,,,,,1,,,1,4,,,,,1,,1,,,,,,,
CENTRAL,24,173,20,,,1,,,,1,,,4,,,,,1,,,,,,,,,,2,,,,,1,1,,,5,,,,,,,,,,,,,,2,,,,,1,,,,,,,,1,
CENTRAL,24,174,15,,,,,,,2,,,,,,,,2,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,2,
CENTRAL,24,175,20,1,1,,,,,,,,,,,1,1,2,,,,,,,1,,,,1,,,,,,,2,2,,,,,,,,,,,,,1,3,,,,,,,1,2,,,,,,1
CENTRAL,24,176,14,,,,,,,1,,,2,2,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,1,,,,,,,,,,,1,2,,,,1,,
CENTRAL,24,177,11,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,1,
CENTRAL,24,178,12,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,5,1,,1,,,,,,,
CENTRAL,24,179,10,,1,1,,,,2,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,
CENTRAL,24,180,22,,,,,,,,,,3,,,,,4,,,,,,,1,,,1,,,,,,,,3,1,,,,,,,,,,1,,,2,4,,,,,1,,1,,,,,,,
