PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SHOPLIFTING,SIMPLE ASSAULT,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEH RECOVERY(OUT OF JURIS),VEHICLE THEFT,WEAPON OFFENSE
NORTH,31,65,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
NORTH,31,66,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,31,67,7,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,31,68,5,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,
NORTH,31,69,15,,,,,,1,,,2,,,,,,,,,,,,,1,,,,,,1,1,,4,1,,,,,,,,,,,,2,,,1,,1,,,,,,,,
NORTH,31,70,66,4,,,,,2,,,12,1,,,4,,,,1,,,1,,1,1,,,,,1,2,,9,3,1,1,,,,,,,2,,2,10,,,,,2,,,,,,1,,5
NORTH,31,71,5,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,31,72,4,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,
NORTH,31,73,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
NORTH,31,74,16,,,,,,1,,,2,,,,,,,,,,,1,,,,,,,,2,,,2,,,,,,,,,,,,,5,,,,,2,,,,,,,1,
NORTH,31,75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,31,76,4,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,31,77,14,,,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,3,,1,1,,1,,,,,,,,,,1,,,,,1,,,,,,,,2
NORTH,31,78,4,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
NORTH,31,79,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,81,9,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,1,,,,,,,,,,,,,,,,
NORTH,31,82,18,1,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,1,2,,1,2,,,,,,,,,1,1,,4,,,,,1,,,,,1,,,
NORTH,31,83,46,,,,,,4,,,6,1,,,1,,,,,,,1,,,1,,,,,,,,10,1,,1,,,,,,,2,,,8,,,,,3,2,,,,,1,3,1
NORTH,31,84,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
NORTH,31,85,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,
NORTH,31,86,9,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,3,,,,,,,1,,,,,,
NORTH,31,87,9,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,1,1,,2,1,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,31,88,22,2,,,1,,,,,2,,,,2,,,,,,,1,,,,,,,,1,,,,6,,,,,,,1,,,,,3,,,,,1,,,,,1,,1,
NORTH,31,92,13,,,1,,,,,,1,,,,2,,,,,,,,,,,,,,,1,,,1,2,,,,,,,,,,,,,,,2,,,,,,,1,,,2
NORTH,31,93,10,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,3,,1,,,,,,,1,,,,,,,,,,,,,1,1,,1
NORTH,31,94,33,,1,,,,2,,,2,,,,4,,,,,,,,,2,,,1,,,,1,,2,9,1,,,,,,,,,,1,1,,,,,1,1,,,,,,2,2
NORTH,31,95,25,,,,,,1,1,,4,,,,,,,,,,,,,,,,,,,2,,,3,2,1,,,,,,,,1,,,6,,,1,,1,,,,,,,,2
NORTH,31,96,41,2,,,,,2,,,4,,,,1,,,,,,,1,,2,,,,,,1,,,2,1,1,,,,,,,,2,1,,8,,,2,,5,1,,,,,,1,4
NORTH,32,100,10,,,,,,1,1,2,2,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,
NORTH,32,101,26,3,,,,,,,,2,1,,,,,,,,,2,,,2,2,,,,,1,1,,2,2,1,,,,,,,,,,,2,,,,1,2,,,1,,,,1,
NORTH,32,102,25,,,,,,1,,,3,,,,,,,,,,3,4,,1,2,,,,,1,,,1,2,,,,,,,,,,,,4,,,1,,1,,,,,,,1,
NORTH,32,103,10,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,3,,,1,1,,,,,,,,,1,,,1,,,,,,1,,,,,,,
NORTH,32,104,51,1,,,,,3,,,8,1,,,,,,,,,,2,,2,,,,,,1,,2,5,1,,,,,,,,,1,,,14,,1,,1,3,,,1,,,,2,2
NORTH,32,105,78,1,,,,,5,,,6,2,,,3,,1,,,,,4,,,2,,,,,4,4,,12,1,,,,3,,,,,,,,13,,,2,1,4,5,,,1,1,,2,1
NORTH,32,106,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,107,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1
NORTH,32,109,64,,1,1,,,,,,3,,,,,,,,,,2,4,,,12,,,,,1,2,,8,2,,,,1,,,,,1,,3,5,,,1,1,9,1,,1,,,1,1,3
NORTH,32,110,26,,,,,,2,,1,7,,,,2,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,8,,,,,,2,,,,,,,2
NORTH,32,111,7,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,
NORTH,32,112,10,,,1,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,3,,,,,1,,,,,,,,1,,1,,,,,,,,,,,
NORTH,32,114,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,1,,,1,,,,,,,,
NORTH,32,115,16,,,,,,,,,1,,,1,1,,,,,,,1,1,1,3,,,,,,,,2,2,,,,,,,,,1,,,,,,,,,1,,,,,,,1
NORTH,32,89,5,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,90,9,,,,,,,,,1,,,1,1,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
NORTH,32,91,6,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,32,97,7,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,1,,,
NORTH,32,98,15,,,,,,,,,2,1,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,4,,1,,,1,1,,,,,,,1
NORTH,32,99,3,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,116,28,2,,2,,,,,,4,,,,1,,,,,,,2,,,,,,1,,2,,,1,,,,,1,,,,,,,,5,,,,,2,1,,,,,,2,2
NORTH,33,118,82,,,1,1,,11,1,,7,1,,,,,,,1,1,,4,,,3,,,,,4,2,,11,3,1,1,,,,,,,,,,8,,1,5,1,7,1,,1,,,,2,3
NORTH,33,119,77,,,2,1,,1,1,,15,,,,2,,2,,,,3,,,1,,,1,,1,3,,,9,7,,,,,,,,,1,,,7,,1,7,,3,1,,1,,1,,2,4
NORTH,33,120,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,33,121,48,2,,,,,4,,1,8,,,,1,,,,,1,,1,,2,,,,,,2,,,4,2,,1,,,,,,,,,,5,,,2,,7,1,,,,2,,2,
NORTH,33,122,8,2,,,,,1,,,2,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
NORTH,33,123,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,124,20,,1,1,,,,1,,,,,,,,1,,,,,,,1,,,1,,,,,1,1,1,,,,2,,,,,,,,6,,,,,,1,,,,1,,1,
NORTH,33,125,11,,1,1,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,1,3,,,,,,,,,,,,1,,,,,,,,,,1,,,
NORTH,33,126,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,33,127,14,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,11,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,33,128,7,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,2,
NORTH,33,130,4,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,
NORTH,33,131,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,33,132,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,34,137,9,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,
NORTH,34,138,48,,,,,,1,,1,4,1,1,,2,,,,,,1,,,,1,,2,,,2,,,2,3,,,,,,,,,1,,,11,,,4,,6,,,,,1,,3,1
NORTH,34,139,81,2,,1,,,2,,,12,1,,,4,,,,,,1,4,,,1,,,,,6,3,,8,5,1,,,1,1,,,,1,,,9,1,,3,,5,1,,1,,,1,3,3
NORTH,34,140,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NORTH,34,141,35,1,,,,,5,,1,3,1,,,,,,,,,,,,,1,,,,,2,1,,3,,,1,,1,,,,,,1,,7,,,,,6,,,,,1,,,
NORTH,34,142,19,,,1,,,1,,,1,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,1,,10,,,,,1,,,
NORTH,34,143,67,1,1,1,,,4,,,9,,,,3,,,,,,,5,,2,3,,1,,,1,1,,3,5,,,,1,,,,,1,,,11,,,6,,4,1,,,,1,,1,1
NORTH,34,144,8,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,1,,,,,1,,
NORTH,34,145,16,,,,,,1,,1,2,1,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,3,,4,,,,,,,,
NORTH,34,146,21,1,,1,,,,,,3,,,,,,,,,,,,,,,,2,,,2,1,,,2,1,,1,,,,,,,1,,3,,,,,1,1,,,,,,,1
NORTH,34,147,13,,,,,,,,,,,,,,,,,,,3,2,1,1,1,,1,,,,1,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,
NORTH,34,148,17,,,,,,,,,2,,,,1,,,,,,,1,,1,2,,,,,,,,2,1,,,,,,,,,,,,2,,,2,,,1,,,,1,,1,
NORTH,34,149,53,,,,,,1,,,5,1,,,1,,,,,,8,4,,1,2,,,,,2,2,,2,6,,,,,,,,,1,,6,5,,,1,,1,2,,,,1,,1,
NORTH,34,150,7,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,1,
NORTH,34,151,7,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,
NORTH,34,152,70,1,1,,,,1,,1,7,1,,,2,,,,,,1,5,,,,,,,,3,1,,5,6,,1,,1,,,,,,,13,5,,1,1,1,4,3,,,,,,3,2
NORTH,34,153,40,1,,,,,,,,4,,,,1,,,,,,5,3,1,5,2,,1,,,1,,,1,3,,,,,,,,,,,,3,1,1,,1,3,2,,,,,,,1
NORTH,34,154,54,2,,2,,,1,,1,9,1,,,,,,,,,,1,,,,,1,,,,5,,6,2,,,,,,,,,1,1,1,10,,,,1,1,1,,,,1,1,1,4
