PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,14,224,85,1,,,,,2,1,,8,1,1,,,11,,,,1,,,,,,,,,,,1,2,1,,10,7,,,1,,,,,1,,1,,,,19,,1,,,,3,1,,,,1,3,7
SOUTH,14,225,58,6,,,,,6,,,6,,,,,9,,,,,,,1,,,1,,,,,,4,2,,4,,,1,,,,,,,,,,,,10,,,,,,1,1,,,,1,2,3
SOUTH,14,226,41,4,,,,,3,,,1,1,,,,4,,,,,,,1,,,,,1,,,,3,1,,7,2,,,,,,,,,,,,,,5,,2,,2,,,1,,,,,,3
SOUTH,14,229,66,4,,,1,,,,,8,,,,,5,,,,,,1,5,,,,,,1,,,3,,,9,2,,,,,,,,,,2,,,,14,,,,2,,,2,,,,,1,6
SOUTH,14,230,49,1,,,,,7,,,7,1,,,,1,,,,1,,,2,,,,1,,,,1,3,,,7,4,,,,,,,,,,,,,,7,,,,2,,1,,,,,,2,1
SOUTH,14,231,67,3,1,1,1,,6,,,9,1,,,,4,,,,,,2,1,,1,1,,,,,,3,2,,10,2,,,,,,,,,,1,,,,11,,,,1,,,1,,,,,2,3
SOUTH,14,232,30,,,,,,2,,,,,,,,,,,,,,5,,,,1,,1,,,,,1,,3,4,,,,,,,,,,,,,,8,,,,,,1,2,,,,2,,
SOUTH,14,235,59,4,,1,,,8,,,4,1,,,,6,,,,,,,2,,,1,1,,1,,1,2,1,,6,1,,1,,,,,,,,1,,,,8,,,,,,3,1,,,,,2,3
SOUTH,14,236,35,1,,,,,5,,1,3,1,,,,,,,,,,,,,,,,1,,,,,,,6,4,,,,,,,,,,1,,,,7,,,,1,,1,2,,1,,,,
SOUTH,14,239,32,1,,1,1,,2,1,,7,,,,1,3,,,,,,,,,,,,,,,,1,1,,4,,,,,,,,,,,,,,,4,,,,,,1,,,,,1,,3
SOUTH,14,240,7,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1
SOUTH,14,241,29,,,,,,4,,,3,1,,,,,,,,,,,1,,,,,,,,,1,,1,3,2,,,,,,,,,,1,1,,,3,,,,1,,1,2,,,,,2,2
SOUTH,14,242,50,1,,,1,,2,,,8,1,,,,2,,,,,,,,,3,,,,,,,1,,1,8,1,,,,,,,,,,,,,,10,,,1,,,2,3,,1,1,,2,1
