PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,ROBBERY,"SEX ASSAULT, RAPE",SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,14,231,74,4,1,,2,1,1,,10,,,,,9,,,,,,,,2,,,,1,,,,2,5,,5,2,,,,,,,,,2,,,9,,,,,4,,1,1,,,,,1,11
SOUTH,14,232,27,,,,,1,,,4,,,,,2,,,,,,,,1,,1,1,,,,,,1,1,1,1,,,,,,,,,1,,,7,,,,,2,,,,,,,,1,2
SOUTH,14,235,60,3,,,,5,1,,11,2,,,,3,,1,,,1,,,1,,1,,,,2,,1,,,3,4,,,2,,,,,,,,,8,,,,,2,,,1,,,,,,8
SOUTH,14,236,34,1,,,,4,,,5,,,,,5,,,,,,,,,,,,,1,,,,,,2,1,1,,,,,,,1,,,,5,,2,,,,,,,,,,,,6
SOUTH,14,239,35,2,,,,2,,,3,,,,,5,,,,,,,,2,,,,,,,,1,,,6,,,,,,,,,,,1,,6,,,,,1,,2,,,,,,,4
SOUTH,14,240,4,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SOUTH,14,241,25,2,,,,2,,,6,,,,,2,,,,,,,,1,,,,,,,1,1,3,,1,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,,2
SOUTH,14,242,28,2,,,,,,,8,,,,,,,,,,,,,1,,,,,,,,,2,,4,1,,,,,,,,,,,,7,,,1,,,,1,,,,,,,1
SOUTH,14,247,23,1,,,,1,,,2,,,,,2,,,,,,,,1,,,,,,,,,4,,3,2,,,,,,,,,,,,2,,,,1,,,1,,1,,,,,2
SOUTH,14,248,61,2,,,,13,,,10,,,,,5,,,,,,,,3,,,,,,,,1,2,,,1,,,,,,,,,,,,8,,1,,,,,3,3,,,,1,2,6
SOUTH,31,57,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,13,13,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,2,,2,1,,,,,,,,,,,,2,,,,,,,,,,,,,,2
CENTRAL,21,14,21,1,,,,,,,2,1,,,,1,,,,,,,,1,,,,,,,,1,1,,1,1,,,1,,,,,,,,1,2,,,,,,,1,1,,,,,3,2
CENTRAL,21,15,7,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,21,16,6,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
CENTRAL,21,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,
CENTRAL,21,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,21,183,18,,1,,,1,,,2,,,,,,,,,,,,,,,,3,,,,,,,,1,1,,,,,,,,,,,,4,,,,,,,4,,,,,,,1
CENTRAL,21,184,60,2,,2,,5,1,,16,,,,,2,,,,,1,,,2,,,,,,,,3,3,,1,,,2,2,,,,,,,1,,10,,,,,1,,,2,,,,1,,3
CENTRAL,21,185,57,,,,,2,1,3,4,,,,1,3,,,,,,,,,,,,,,,,,9,,4,3,,1,,,,,,,,,,3,,,,3,2,,14,3,,,,,,1
CENTRAL,21,186,11,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,1,,,4,,,,,,,
CENTRAL,21,187,54,3,,1,,1,,,12,,,,,4,,,,,,,1,1,,2,,,,,,3,,1,4,1,,,1,,,,,,,,,7,,1,,1,1,,4,2,,1,,,,2
CENTRAL,21,188,25,1,,,,1,,,2,,,,,2,,,,,,,,2,,,,,1,,,1,,,2,,,,1,,,,,,2,,,4,,,1,1,,,1,,,,,,,3
CENTRAL,21,189,21,,,,,,,,4,,,,,1,,,,,,,3,,,,,,,,,1,,,1,1,,,,,,,1,,,,,2,,,,,4,,2,,,,,,,1
CENTRAL,21,19,14,,1,1,,1,,,1,,,,,,1,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,1,,2,,,,
CENTRAL,21,190,14,,,1,,1,,,2,,,,,2,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,1,,,1,,1,,1,,,,,,,
CENTRAL,21,191,4,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,192,15,,,,,,1,,3,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,4,,,,,,,3,,,,,,,1
CENTRAL,21,193,5,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,21,194,19,,,,,1,,,2,,,,,1,,,,,,,1,3,,,,1,,,,,,,1,1,,,,,,,,,,,2,4,,,,,1,,,,,1,,,,
CENTRAL,21,195,11,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,5,,,,,,,,,,,,,,1
CENTRAL,21,196,16,1,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,2,,,,,,,3,1,,,,,,1
CENTRAL,21,197,27,1,1,,,,,,1,1,,,,1,,,,1,3,,,1,,,,,,,1,1,2,,,2,,,2,,,,,,,,,8,,,,1,,,,,,,,,,
CENTRAL,21,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,21,12,,,,,1,,,,,,,,1,,,,,,,2,,,,,,,,,1,,,,2,,,,,,,,,,,1,2,,,,,,,1,1,,,,,,
CENTRAL,21,22,20,,,,,4,,,1,,,,1,3,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,3,,1,,,,,,,
CENTRAL,21,24,25,,1,,,,,,5,,,,,2,,,,,,,,,,,1,,,,,,3,,2,1,,,,,,,,,,,,2,,,1,1,4,,2,,,,,,,
CENTRAL,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
CENTRAL,22,25,25,,,,,,,,2,1,,,,3,,2,,,,,1,,,,2,2,,,,1,,,,,,,,,1,,,,,,,5,,,,,2,,2,,,,,,1,
CENTRAL,22,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,27,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,28,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,29,5,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,30,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,34,8,,,,,,,,1,1,,,,1,,,,,,,,,,,1,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,
CENTRAL,22,35,5,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,36,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,38,2,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,39,2,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,40,3,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,41,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,42,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,
CENTRAL,22,43,8,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,2,,,,,,,,,1
CENTRAL,22,44,20,1,,,,,,,3,2,,,,2,,,,,,,1,,,1,2,,,,,1,,,2,1,,,,,,,,,,,,2,,,,,,,1,,,,,,,1
CENTRAL,22,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,46,36,,,,,8,,,1,,,,,1,,,,,,,,,,,,,,,,,7,,1,1,,,,,1,,,,1,,,4,,,,3,4,,2,1,,,,,,1
CENTRAL,22,47,26,,,,,,,1,4,,,,,2,,,,,,,,3,,1,,,,,,,,,2,,,,,,1,,,,,,,5,,,1,1,,1,3,,,,,1,,
CENTRAL,22,49,10,,,,,1,,,1,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,2,,,,,,1,
CENTRAL,22,50,14,1,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,1,,,,,,,,,1,,,1,,,,1,,,,,,,
CENTRAL,22,51,41,1,,,1,3,,1,6,,,,,,,,,,1,,1,,,1,,,,,,,1,,2,1,,,,,,,,,1,2,1,7,,,1,,,1,4,2,,,,,2,1
CENTRAL,22,52,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
CENTRAL,22,53,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,54,9,,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,1,1,,,,,,
CENTRAL,22,55,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
CENTRAL,22,56,8,,,,,1,,1,1,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
CENTRAL,22,59,7,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,
CENTRAL,22,60,43,,,,,5,,2,5,,,,,2,,,,,,,,,,,3,,,,,1,1,,4,6,,,,,1,,,,,,,7,,,1,,1,,1,2,,,,1,,
CENTRAL,22,64,35,,,,,2,,,4,1,,,,,,,,,,,,1,,,2,,,,,1,3,,1,1,,,,,,,,,,,9,3,,,,,,,4,,,,,,3,
CENTRAL,23,155,160,,,,,,1,1,6,1,,,,2,,3,,,,,,3,,2,9,,1,,,2,,,17,23,,,2,,,,,,,,61,5,,1,,,7,,6,3,,,,,,4
CENTRAL,23,156,94,1,,1,,4,1,,11,2,,,,2,,,,,,,,6,,1,,,,,1,4,1,,12,10,,,,,1,,,,,,,10,,,1,4,1,,13,3,,2,,,2,
CENTRAL,23,157,114,,,1,,,,,5,1,,,,1,,6,,,,,1,2,,2,4,2,,,,1,,,12,18,,1,1,,,,,,,,29,6,,,,1,6,,11,,,,,,2,1
CENTRAL,23,158,21,,1,,,,,,,1,,,1,5,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,7,,,,1,,,,,,,,1,,,,1,,
CENTRAL,23,159,75,2,,1,,3,1,,7,,,,1,2,,2,,,1,,,1,,,1,,1,,1,3,1,,3,3,,1,,,3,,,,,,3,18,1,,,1,1,,6,1,,,,1,1,4
CENTRAL,23,160,6,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,1,,,,,,,,,
CENTRAL,23,161,45,,,,,1,,,8,,,,,2,,,,,,,4,2,,,,,,,,,,1,2,5,,,,,,,,,1,1,,7,,,,1,1,,8,1,,,,,,
CENTRAL,24,162,51,,,,,2,,,4,,,,,6,,,,,,,,1,,,,,1,,1,1,,,4,9,,,1,,,,,,,,,5,,1,,,8,,3,1,,,,,2,1
CENTRAL,24,163,40,,,1,,4,,1,3,,,,,1,1,,,,,,1,1,,,,,,,,,2,,2,3,,,1,,1,,,,,,,9,,,1,,,,4,1,,1,,,1,1
CENTRAL,24,164,10,,1,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,1,,,,,,1,,,,,,,2,,,1,,,,,,,,,,1,
CENTRAL,24,165,106,,2,2,,12,1,3,15,2,,,,4,1,,,,,,2,2,,3,5,,,,,5,3,,6,7,,,1,,,,,6,2,,8,3,,,,1,1,,1,4,,1,,1,2,
CENTRAL,24,166,8,,,,,1,,,2,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,
CENTRAL,24,167,27,,,,,1,,1,3,,,,,4,,,,,,,,1,,1,,,,,,1,,,4,3,,,,1,,,,1,1,,,1,1,,,,3,,,,,,,,,
CENTRAL,24,168,10,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,2,1,,,,,,
CENTRAL,24,169,51,1,,4,,1,,,5,,,,1,6,1,,,,,,,1,1,,,,,,,1,,,4,1,,,,,1,,,,,1,,8,,,1,1,1,,4,1,,,,,5,1
CENTRAL,24,170,48,1,,1,,3,,1,9,,,,,4,,,,,,,,,,,,,,,,1,,,6,7,,,1,,,,,,,,,8,,,,,3,,2,,,1,,,,
CENTRAL,24,171,4,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,172,15,,,,,,1,,2,,,,,,,,,,,,,,,,,,1,,,,,,2,4,,,,,,,,,,,1,1,,,,,,,2,1,,,,,,
CENTRAL,24,173,21,,,,,,,,5,,,,,2,,,,,,,,,,1,,,,,,1,,,3,3,,,1,,,,,,1,,1,1,,,,1,1,,,,,,,,,
CENTRAL,24,174,5,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,
CENTRAL,24,175,14,,,,,2,,,2,,,,,2,,,,,,,,1,,,,,,,,1,,,2,,,,,,,,,,1,,1,2,,,,,,,,,,,,,,
CENTRAL,24,176,10,,,,,2,,,,1,,,,,,,,,,,,,,1,,,,,,2,,,,1,,,,,1,,,,,,,1,,,1,,,,,,,,,,,
CENTRAL,24,177,13,,,,,5,,,2,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,
CENTRAL,24,178,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
CENTRAL,24,179,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,180,34,1,1,2,,2,,,4,1,,,,1,,,,,,,,,1,,1,,,,,1,1,,2,7,,,,,,,,,,,1,1,,,,1,,,3,,,1,,,1,1
CENTRAL,24,181,18,,,,,,,,6,,,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,2,,,,,,3,1
CENTRAL,24,182,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH,31,57,7,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,
NORTH,31,58,17,,,,,,,,,,,1,,3,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,2,,,1,3,,3,,,
NORTH,31,61,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,
NORTH,31,62,22,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,1,1,,,1,,,,,,,,1,,6,,,,,1,,,,,,3,,,2
