PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD - WELFARE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,245,39,,,2,,,8,,,4,,,,,3,,,,,,,2,,,,5,,,,,,,1,,2,2,,,,,,,,,1,,,,5,,,,,1,,,,,1,,1,,1
SOUTH,11,246,30,,,,,,3,,,4,,,,,3,,,,,,1,2,,,,,,,,,,2,1,,2,,,,,,,,,,,,,,6,,,,,2,,,,1,,,1,1,1
SOUTH,12,10,22,,,,,,,,,3,,,,,,,,,,,1,,,,1,3,,,,,,1,,,1,,,,1,,,,,,,,,,5,,,,,,,3,1,,,,,1,1
SOUTH,12,11,28,,,,,,1,2,,5,1,,,,1,,,,,,3,,,,,,,,,,,,1,,1,4,,,,,,,,,,,,,2,,,,,,,4,1,,,,,1,1
SOUTH,12,12,17,1,,,,,,,,2,,,,,1,,,,,,,,,,,1,,,,,,1,,,,2,,,,,,,,,,,,,4,,,,,2,,1,,,,,,1,1
SOUTH,12,2,42,1,,1,,,,,,5,1,,,,5,,,,,,4,1,,,4,1,,,,,,3,,,3,1,,,,,,1,,,,,,,5,,,2,,1,,3,,,,,,,
SOUTH,12,3,37,1,,,1,,,,,6,,,,,,,,,,,,,,,,12,,,,,,,,,1,3,,,,,,,,,,,,,6,,,,1,,,3,3,,,,,,
SOUTH,12,4,32,,,,,,,,1,3,,,,,2,,1,,,,1,2,,,7,2,,,,,,,,,2,3,,,,,,,,,,,,3,2,,,,,,,1,1,,,,,1,
SOUTH,12,6,20,,,1,,,1,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,1,3,,,,,,1,,,,,,,3,,,,2,,,2,3,,,,,,
SOUTH,12,7,5,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
SOUTH,12,9,11,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,1,1,,1,2,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1
SOUTH,13,198,11,,,,,,,1,,2,,,,,3,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,
SOUTH,13,199,72,2,,3,2,,2,1,,7,,,,1,11,,,,,,10,,,,2,8,,,,,,2,,,4,4,,,,,,,,,,,,1,6,,,,,,,2,2,,,,,1,1
SOUTH,13,200,21,,,,1,,1,,,,1,,,,2,,,,,,,1,,,1,1,,,,,,1,1,,1,,,1,,1,,,,,1,,,,4,,,,,,,1,1,,,,1,,
SOUTH,13,201,58,,,1,,,3,,,11,,1,,,4,1,,,,,5,,,,2,1,,,,,,,1,,4,2,,,,,,,,,1,,,,9,,,,,5,,4,,,,,1,,2
SOUTH,13,202,16,1,,,,,2,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,3,2,,1,,,1,
SOUTH,13,203,15,,,3,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,2,,,1,2,,,,,,,,,,,,,2,,,,,,,1,1,,,,,1,
SOUTH,13,204,20,,,1,,,5,,,1,,,,,2,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,1,,,,1,1,,3,,,,,,2,
SOUTH,13,205,17,2,,,,,,,,,,,,,1,,,,,,1,2,,,,,1,,,,,,,,2,1,1,,1,,,,,,1,,,1,1,,,,,1,,,,,,,,,1
SOUTH,13,206,18,,,,,,3,,,1,1,,,,3,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,1,2,,1,1,,,,,,
SOUTH,13,207,8,1,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
SOUTH,13,208,9,1,,,,,1,,,1,,,,,,,,,,,,1,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
SOUTH,13,209,9,,,,,,,,,,,,,,2,,,,,,1,,,,1,,,,,,,1,,,2,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
SOUTH,13,210,6,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1
SOUTH,13,211,15,2,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,1,,,,1
SOUTH,13,212,6,,,,,,,,,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
SOUTH,13,213,49,,,,,,7,1,,8,,,,,9,,,,,,1,2,,,,,,,,,,1,1,,2,4,,,,,,,,,,,,,10,,,,,1,,,,,,,,1,1
SOUTH,13,214,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
SOUTH,13,216,23,2,,,,,1,,,3,,,,,2,,,,,,,,,,,,,1,,,,,,,3,1,,,,,,,,,,,,,3,,,1,,,,1,3,,,,,,2
SOUTH,13,217,22,1,,1,,,3,,,4,,,,,1,,,,,,,1,,,,,,,,,,2,,,1,1,,,,,,,,,,,,,2,,,,1,1,,1,,,,,,,2
SOUTH,13,218,46,,,,,,,,,7,,,,,9,,,,,,,1,,,1,,1,,,,,1,,,4,3,,,,,,,,,,,,,9,,,,,1,,2,,,1,,,1,5
SOUTH,13,219,61,1,,1,,,9,,,3,,,,,1,,,,,,,2,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,7,,,,,28,,1,1,,,,1,,2
SOUTH,13,220,13,1,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,1,,,,1,,,1,,,,,1,,,,1,,
SOUTH,13,221,2,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,14,224,72,6,,1,,,,,,7,1,1,,,7,,,,,,2,,,,3,1,1,,,,,6,3,,1,3,,2,1,,,,1,,,,,,13,,1,,,,,1,,,,,,3,7
SOUTH,14,225,56,3,,,,,4,,,8,,,,,5,,,,,,,2,,,,,,,,,,1,2,,5,3,,2,,,,,,,2,1,,,12,,,,1,,,1,1,,,,,,3
SOUTH,14,226,25,1,1,,,,3,,,2,,1,,,3,,,,,,1,,,,,,,,,,,1,1,,2,,,,,1,,,,,,,,,4,,,,,,,1,1,,,,,2,
SOUTH,14,229,41,1,,1,,,1,,,11,1,,,,2,,,,,,1,1,,,,,1,,,,,3,1,,4,1,,,,,,,1,,1,,,,5,,,,1,,,2,,,,,,1,1
SOUTH,14,230,53,2,,,,,3,,,14,,,,,,,,,,,,1,,,,,,,1,,,2,,,9,2,,,,1,,,,,,,,,8,,,,,,,5,,,,,,1,4
SOUTH,14,231,57,4,,,,,2,,,7,,,,,10,,,,,,,,1,,,,1,,,,,,1,,4,2,,1,,,,,1,,1,,,,4,,,,1,2,,2,5,,,,,3,5
SOUTH,14,232,33,,,,,,1,,,7,,,,,2,,,,,,1,2,,,,,,,,,,,1,1,2,2,,,,,,,,,,,,,6,,,1,,1,,3,,,,,,,3
SOUTH,14,235,45,2,,1,1,,3,,,1,,,,,5,,,,,,1,1,,,,,,,,,,,,,3,1,,1,,,,,,,3,,,,10,,,1,3,,,4,1,,,,,,3
SOUTH,14,236,40,,,,1,,4,,,6,,,,,3,,,,,,2,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,7,,,,,,,5,1,,,,2,2,3
SOUTH,14,239,28,,,,,,4,,,3,,,,,,,,,,,,1,,,1,,,,,,,2,,,3,1,,2,,,,,,,1,,,,7,,,,,1,,2,,,,,,,
SOUTH,14,240,12,,,,,,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,
SOUTH,14,241,25,,,,,,3,,,6,,,,,2,,,,,,1,,,,,,,,,,,,1,,2,,,3,,,,,,,,,,,3,,,1,,1,,2,,,,,,,
SOUTH,14,242,36,2,,,,,4,,,5,1,,,,2,,,,,,1,,,,,,,,1,,,2,1,,6,,,,,,,,,,,,,,2,,,,,1,,2,2,,,,,1,3
SOUTH,14,247,19,1,,1,,,5,,,4,1,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,1
SOUTH,14,248,55,,,1,1,,12,,,9,,,,,8,,,,1,,,,,,,1,,,,,,1,2,,4,3,,,,,,,,,,,,,9,,,1,,1,,,,,,,,,1
CENTRAL,21,13,20,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,2,,,,1,1,,5,3,,,,,1,
CENTRAL,21,14,19,1,,,,,1,,,,,,,,4,,,,,,1,,,,,,,,,,,1,,,2,,,,,,,,,,,,,1,2,,,,1,,,2,,,,,,2,1
CENTRAL,21,15,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,1,,,,,,,3,,,,,,,
CENTRAL,21,16,5,,,,,,,,,1,,,,,,,,,,,,1,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,17,16,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,5,,,7,,,,,,,
CENTRAL,21,18,6,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1
CENTRAL,21,183,37,1,1,,,,1,,,4,,,,,3,,,,,,6,,,,,1,,,,,,1,,,3,2,,,,,,,1,,,,,5,4,,,,,,,,2,,,1,,,1
CENTRAL,21,184,53,1,,2,1,,9,,,10,1,,,,3,,,,,1,,,,,,,,,,,,1,3,,3,,,,,1,,,,,,,,1,11,,,,,1,,1,,,,,,1,2
CENTRAL,21,185,35,,,1,,,,1,1,8,,,,,3,,,,,,,1,,,,,,,,,,3,,,1,3,,,1,,,,,,1,,,,5,,,,1,1,,4,,,,,,,
CENTRAL,21,186,11,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,
CENTRAL,21,187,42,1,1,,,,3,,,6,,,,,6,,,,,,,,,,,3,,1,,,,,1,,1,,,,,,,,,,2,,,,9,,,,,2,,2,,,,,,1,3
CENTRAL,21,188,21,,,,,,3,,,3,1,,,,2,,,,,,,1,,,,,,,,,,2,1,,,,,,,,1,,,,,,,,3,,,,,1,,,1,,,,,,2
CENTRAL,21,189,10,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,1,,,1,,1,,1,,,,1,,,
CENTRAL,21,19,21,,,,,,,,,1,,,,,2,,1,,,,,,,,,4,,,,,,,,,1,,,1,1,,,,,,1,,,3,1,,,,,3,,1,,,,,,1,
CENTRAL,21,190,27,,1,,,,,,,4,1,,,,2,,,,,,,1,,,,1,,,,,,1,,,4,1,,,,1,,,,,,,,,7,,,,,1,,1,1,,,,,,
CENTRAL,21,191,7,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,
CENTRAL,21,192,12,,,,,,,,,,,,,,4,,,,,,,1,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,1,,,1,,2,,,,,,,,,
CENTRAL,21,193,7,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,2
CENTRAL,21,194,27,1,,2,,,,,,3,1,,,,1,,,,,,,,,,,,,,,,,,2,,1,1,,,1,1,,,,,1,,,,7,,,,1,,,,,,1,1,,,2
CENTRAL,21,195,18,,,,,,2,2,,1,,,,,3,,,,,,1,1,,,1,1,,,,,,,1,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,
CENTRAL,21,196,56,1,1,2,,,3,,,5,,,,,2,,,,,,2,1,,,1,7,,,,,,,,,5,2,,,,1,,,,,,,,,12,,,,,5,,,2,1,,,,,3
CENTRAL,21,197,22,,,,,,1,1,,2,1,,,,2,,,,,,,,,,,,,,,,,4,3,,,,,2,,,,,,,,,,,4,,,,,,,1,1,,,,,,
CENTRAL,21,20,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,21,19,,,,,,,,,2,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
CENTRAL,21,22,33,,,,,,5,,,4,,,,,1,,,,,,,3,,,,,1,,,,,3,,,1,,,,,,,,,,1,,,,4,,,,1,2,,2,2,,1,,,1,1
CENTRAL,21,24,6,,,,,,,,,1,,1,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
CENTRAL,22,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,25,14,,,,,,,,,,1,1,,,2,,,,1,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,1,,2,,,,,2,,,,,,,,1,
CENTRAL,22,26,4,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,27,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,
CENTRAL,22,28,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,29,3,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,30,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
CENTRAL,22,31,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
CENTRAL,22,33,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,
CENTRAL,22,34,13,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,2,1,,,,,,,,,,,,,3,,,,,1,,,1,,,,,1,
CENTRAL,22,36,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,37,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,39,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,40,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
CENTRAL,22,41,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,42,11,1,,1,,,1,,,,1,,,,,,,,,,4,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,43,6,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,
CENTRAL,22,44,9,,,,1,,1,1,,1,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
CENTRAL,22,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,46,33,,,,3,,1,1,,4,,,,,,,,,,,,1,,,2,,,,,,,2,1,,2,2,,1,,2,,,,,1,,,,,,,2,1,1,,2,3,,,,,1,
CENTRAL,22,47,19,1,1,,,,,,,3,,,,1,2,,,,,,1,,,,,1,,,,,,1,,,2,,,,,,,,,,1,,,,1,,,,,1,,,,,1,,,,2
CENTRAL,22,48,4,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,49,8,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,1,,,,,,
CENTRAL,22,50,21,,,,2,,1,,,2,,,,,1,,,,,,,1,,,,,,,,,,,,,3,1,,,,1,,,,,,,,,5,,,,,,,1,,1,1,,,1,
CENTRAL,22,51,28,,,1,,,2,,,4,,,,,1,,,,,,3,,,,,1,,1,,,,2,,,,,,,,,,,,,,,,,3,,1,1,1,2,,1,2,,,,,1,1
CENTRAL,22,52,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,53,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
CENTRAL,22,54,9,,,,,,,,,1,,,,,2,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,
CENTRAL,22,55,5,,,,,,1,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
CENTRAL,22,56,6,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,
CENTRAL,22,59,7,,,,,,1,,,2,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
CENTRAL,22,60,33,,,1,,,3,1,,4,,,,,,,,,1,,,,,,,6,,,,,,1,,,2,2,,,,,,,,,,,,1,3,,,1,,2,,1,,,,2,,1,1
CENTRAL,22,64,34,,,1,,,1,,,1,1,,,1,3,,,,,,4,1,,,1,4,,,,,,,1,,1,1,,1,,,,,,,,,,6,3,,,1,,,,,,,,1,,,1
CENTRAL,23,155,150,,,,,1,,,2,6,,,,1,7,,2,,,,5,3,,,4,35,,1,,,,3,1,,16,15,,,,,,,,,,,,27,5,,,,1,6,,2,,,,,2,2,3
CENTRAL,23,156,102,1,,3,5,,5,1,,9,,,,,2,,,,,,1,2,,,1,1,,1,1,,,5,,,7,19,,,,1,,,,,1,,,,7,,,,,4,,12,2,,,,1,6,4
CENTRAL,23,157,142,,,1,,,1,,,7,,2,,,5,,2,,,,3,4,,,1,14,,,,,,4,1,1,15,16,,,1,,,,,,,,,35,13,,,,,7,,2,3,,1,,2,,1
CENTRAL,23,158,15,,,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,1,,,,,1,,2,,,,,1,,1
CENTRAL,23,159,85,2,,1,,,10,1,,12,1,,,1,1,,,,,,1,1,,,6,4,,1,,,,2,1,,5,6,,,4,,,,,,1,,,1,17,,,,,3,,1,1,,,,,1,
CENTRAL,23,160,16,,,,,,,,1,2,,,,,4,,,,,,,,,,,,,,,,,1,,1,,3,,,,,,,,,,,,,,,,,,1,,2,1,,,,,,
CENTRAL,23,161,52,,,,,,11,,,14,1,,,,2,1,1,,,,,1,,,,,,,,,,,,1,2,2,,,,,,,,,,1,,,8,,,3,1,1,,1,,,,,,1,
CENTRAL,24,162,89,,,2,,,,,,4,,,,,5,,,,,,2,11,,1,,15,,,,,,3,,,5,9,,,,,,,,,1,,,1,12,,,,1,7,,7,,,,,,1,2
CENTRAL,24,163,54,1,,2,,,3,,,11,,,,,6,,,,1,,,1,,,1,,,,,,,1,,,2,2,,,1,1,,,,,,,,,8,,,,1,1,,5,1,,,,1,1,3
CENTRAL,24,164,8,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,1
CENTRAL,24,165,91,1,,2,,,6,,1,5,1,,,,7,,,,,,1,,,,1,9,1,1,1,,,1,1,,7,7,,,,,,,,,2,,,7,12,,1,,,5,,7,1,,1,,,,2
CENTRAL,24,166,6,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,1,,,,
CENTRAL,24,167,44,,1,1,,,1,,,2,,,,,4,,,,,,5,,,1,,8,,1,,,,2,,,3,3,,,,,,,,,,,,,5,,,,,4,,1,,,,,,,2
CENTRAL,24,168,12,,,1,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
CENTRAL,24,169,42,1,,2,,,5,,,4,,,,,1,,,,,,,1,,,,,,,,,,3,,1,2,2,,,,1,,,,,2,1,,,7,,,,,2,,1,2,,,,,3,1
CENTRAL,24,170,46,,,,,,5,,,5,,,,,6,,,,,,1,1,,,,,1,1,,,,2,,,3,2,,1,,,,,,,2,,,1,8,,,,,,,1,1,,,,,1,4
CENTRAL,24,171,12,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,1,1,,,,3,,,,,,,,,,,,,2,,,1,,,,,,,,,,,
CENTRAL,24,172,25,,,1,,,,,,3,,,,,2,1,,,,,2,1,,,1,2,,,,,,,,,2,,,1,,,,,,,,,,3,3,,,,,1,,,1,,,,,,1
CENTRAL,24,173,30,,,1,,,,,,2,,,,,5,,,,,,,,,,1,9,,,,,,1,,,,,,,,,,,,,,,,,5,,,1,,1,,4,,,,,,,
CENTRAL,24,174,13,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,2,,,,,,,1,,1,,,,,
CENTRAL,24,175,14,,,,,,2,,,3,1,,,,1,,,,,,,,,,,,,,,,,1,,,,3,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,
CENTRAL,24,176,12,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,1,,4,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,
CENTRAL,24,177,14,,,,,,3,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,1,,,,,,,2,2,,,,,,
CENTRAL,24,178,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,
