PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,ASSIST/PROMOTE PROSTITUTION,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
CENTRAL,21,190,16,1,,,,,,,,2,,1,,,1,,,,,,,1,,,,,,,1,,,,2,1,,,1,,1,,,1,,,,,,3,,,,,,,,,,,,,,
CENTRAL,21,191,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
CENTRAL,21,192,12,,,,,,,1,,2,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,1
CENTRAL,21,193,7,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
CENTRAL,21,194,23,,,,,,2,,,4,1,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,1,,,,6,,,1,,1,,,2,,,,,1,1
CENTRAL,21,195,19,,,,,,1,,,5,,,,,1,,,,,,,,,,,,,,,1,1,,2,1,,,,,,,,,,,,,,4,,,,,2,,,,,1,,,,
CENTRAL,21,196,58,1,,,,,8,,,12,,,,,3,,1,,,,4,1,,1,,,,,,2,,,2,1,,,1,,,,,,,,1,,,8,,,,,,,6,3,,,,1,1,1
CENTRAL,21,197,22,,,1,,,1,,,2,1,,,,4,,,,,,,,,,1,,,,,,,,4,1,,,,,1,,,1,,,,,,3,,,,,1,,,1,,,,,,
CENTRAL,21,20,7,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,1,
CENTRAL,21,21,10,,,1,,,1,,,4,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
CENTRAL,21,22,40,,,2,1,,1,,,13,,,,,3,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,,,,,5,,,,1,1,,1,4,,,,,1,3
CENTRAL,21,24,6,,,,,,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
CENTRAL,22,23,8,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,
CENTRAL,22,25,18,,1,2,,,,,,1,,,,,1,,,,,,,1,,,,,1,,,1,,,1,2,,,,,,,,,,,1,,,1,,,1,,3,,,,,1,,,,
CENTRAL,22,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,27,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,28,3,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,29,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
CENTRAL,22,30,6,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,
CENTRAL,22,31,4,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
CENTRAL,22,33,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,34,11,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,1,,,,1,,1,,,,,,,,,,,1,1,,,,,1,,1,,,,,,,1
CENTRAL,22,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,
CENTRAL,22,36,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
CENTRAL,22,38,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,5,,,,,,,
CENTRAL,22,39,2,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
CENTRAL,22,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,42,13,,,,,,,,,5,,,,,1,,,,,,1,,,,2,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
CENTRAL,22,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,44,8,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,1,,1,,1,,,,,,,1
CENTRAL,22,45,6,,,1,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,46,24,,,1,1,,1,1,2,5,,,,,,,,,,,,1,,,,,,,,,2,,1,1,,,,,1,,,,,,,,,1,,,,,2,,1,2,,1,,,,
CENTRAL,22,47,18,1,,1,,,1,,,2,2,,,,,,,,,,,,,1,,,,,,,,,2,,,,1,,1,,,,,,,,,2,,,,,1,,3,,,,,,,
CENTRAL,22,48,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,
CENTRAL,22,49,7,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,1,,,1,,,,,,
CENTRAL,22,50,19,2,,1,,,1,,,4,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,1,,1,2,,,,,,
CENTRAL,22,51,32,1,,,,,3,1,,3,2,,,,1,,,,,,,,,,,,1,,,,,,,2,,,1,,1,,,,,,,,,3,,,,2,2,,2,3,,,,1,1,2
CENTRAL,22,52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,53,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,54,11,,,,2,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,,2,,,,,,
CENTRAL,22,55,10,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,
CENTRAL,22,56,8,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,
CENTRAL,22,59,16,1,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,1,2,,6,,,,,,,
CENTRAL,22,60,51,,,,,,3,1,1,5,,,,1,1,,,,,,,,,,3,,,,,2,,,2,3,,,1,,,,1,,,,1,,3,5,,,1,2,3,,9,1,2,,,,,
CENTRAL,22,64,38,,,2,,,,,,7,1,,,,2,,,,,,2,,,1,2,,,,,,,,,3,,,,,,,,,,,,,10,2,,,,,2,,2,,,1,,,1,
CENTRAL,23,155,132,,,1,,,3,,,13,2,,,,3,,1,,,,2,5,1,1,17,,1,,,2,1,,16,16,,,1,,,,,,,,1,,21,5,,,,,12,,2,4,,,,,,1
CENTRAL,23,156,79,1,,5,,,3,,,6,,,,,1,,,,,,,2,,4,,,,,,4,2,,5,9,,2,,,,,1,,,1,1,,,6,,,,2,2,,15,2,,,,2,2,1
CENTRAL,23,157,138,1,,,,,1,,,12,,,,,7,1,2,,,,6,,,4,8,,,,,2,,,15,18,,,1,,,,,,,1,,,39,2,,,,2,5,,6,2,,1,,1,,1
CENTRAL,23,158,16,,,1,,,,,1,2,,,,,4,,,,,,,,,2,,,,,,,1,,1,,,,,,1,,,,,1,,,,1,,,1,,,,,,,,,,,
CENTRAL,23,159,91,1,1,2,,,3,1,1,12,,1,,,2,1,,,,,,1,,2,2,,,,,3,2,,2,6,1,,1,,1,,,,,2,,,,17,,,1,1,6,,7,4,,,,2,3,2
CENTRAL,23,160,15,,,,,,,,,2,,,,,2,,,,,,,,,,,,1,,,,,,2,5,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,
CENTRAL,23,161,47,,1,,,,4,1,1,9,,,,,3,,,,,,,2,1,,,,1,,,,,,5,2,,2,1,,,,,,,,2,,1,3,,,,,2,,4,,,,,,1,1
CENTRAL,24,162,48,1,,,,,,,,4,1,,,,7,,2,,,,1,,,,,,,,,,,,7,6,,,,,1,,,,,,,,1,4,,,,,4,,3,2,1,1,,,1,1
CENTRAL,24,163,50,2,1,2,,,3,,,8,,,,,4,,,,1,,,2,,,,,,,,,,,3,4,,,1,,1,,,,,3,,,,6,,,,,2,,3,2,,,,,,2
CENTRAL,24,164,22,,,1,,1,,,,1,,,,,3,,,,,,,,,,2,,,,,,,,1,,,,,,,,,5,,1,,,,1,,,,1,1,,2,,,,,1,,1
CENTRAL,24,165,127,3,,3,,,6,1,,12,3,,,,10,,,,,,2,6,,1,8,,,,,2,2,,13,6,,,,,5,1,,,,3,,,6,7,,1,1,,5,,6,3,1,1,,3,1,5
CENTRAL,24,166,12,,,,,,1,,,,,,,,3,,,,,,,1,,,,,,,,,,,2,1,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,1
CENTRAL,24,167,37,1,,,,,1,,,3,1,,,,4,,,,,,5,,,1,4,,,,,1,,,6,2,,,,,,,,,,1,,,1,2,,,,,1,,1,1,,,,,,1
CENTRAL,24,168,12,1,,1,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,1,,2,,,,,,,
CENTRAL,24,169,50,1,1,,,,2,,1,7,,,,,1,,,,1,,,3,,2,,,,,,1,,,4,7,1,,,,,,,,,,,,,10,,,1,,2,,1,2,,,,,2,
CENTRAL,24,170,34,2,,,,,1,,,4,,,,,5,,,,,,2,,,1,,1,,,,,,,2,3,,,1,,,,,,,2,1,,,3,,,,1,,,3,,,1,,,,1
CENTRAL,24,171,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
CENTRAL,24,172,25,,,3,,,,,,1,,,,,,,1,,,,2,1,,,2,1,,,,,,,1,4,,,,,,,,,,1,,,2,,,,,1,,,3,1,,,,,1,
CENTRAL,24,173,28,2,,,,,1,,,5,,,,,4,,,,,,1,,,,3,,1,,,2,,,2,,,,,,,,,,,1,,,,2,,,,,,,2,,,1,,,,1
CENTRAL,24,174,9,,1,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,,,,,,1
CENTRAL,24,175,14,,,,,,,,,5,,,,,3,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,
CENTRAL,24,176,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,24,177,12,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,2,,,1,,,,1,,
