PRECINCT,BEAT,REPORTING AREA,TOTAL,AGGRAVATED ASSAULT,ALL OTHER OFFENSES,ANNOYING PHONE CALLS,ARSON,BAD CHECKS,BURGLARY/B & E,CPS REFERRAL,CURFEW,DAMAGE PROPERTY,DECEASED PERSON,DISORDERLY CONDUCT,DRUG EQUIPMENT - POSSESS,DRUG/NARCOTICS OFFENSES,DRUNKENNESS,EMBEZZLE,EXTORT,"FAMILY OFFENSES, NONVIOLENT",FORCIBLE FONDLING,FORCIBLE SODOMY,FORGERY/COUNTERFEITING,FRAUD - IMPERSONATE,FRAUD BY WIRE,FRAUD/FALSE PRETENSES/SWINDLE,FRAUD-ILLEGAL USE CREDIT CARD/ATM,HABITUAL TRAFFIC OFFENDER,HIT AND RUN,HOMICIDE/MURDER,INCEST WITH MINOR,INDECENT EXPOSURE,INTIMIDATION,JUVENILE - RUNAWAY,KIDNAP/ABDUCTION,LARCENY,LEAVING THE SCENE,LIQUOR LAW VIOLATIONS,MISSING PERSON,NEGLECT CHILD,OBSCENE MATERIAL/PORNOGRAPHY,OVERDOSE,PEEPING TOM,POCKET PICKING,PROSTITUTION,PURSE SNATCHING - NO FORCE,ROBBERY,"SEX ASSAULT, RAPE",SEXUAL ASSAULT W/AN OBJECT,SHOPLIFTING,SIMPLE ASSAULT,STATUTORY RAPE - NO FORCE,STOLEN PROPERTY OFFENSES,SUICIDE,TAMPERING WITH AUTO,THEFT FROM BUILDING,THEFT FROM COIN OPERATED MACHINE,THEFT FROM VEHICLE,THEFT PARTS FROM VEHICLE,TOBACCO VIOLATION,TRESPASSING,TRUANCY - REGULAR PATROL,UNAUTHORIZED USE OF VEHICLE,VEHICLE THEFT,WEAPON OFFENSE
SOUTH,11,246,37,,,,,,5,,,8,,,,3,,,,,,,,,,,,,,,,,,4,2,4,1,,,,,,,,,,,,,,5,,,,,,,1,,,1,1,,,2
SOUTH,11,251,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,12,10,24,,,,1,,2,,,2,,,,1,,,,,,,,,,,1,,,,,,1,,,1,2,,,,,,,,,,1,,,,3,,,,1,,,5,1,,,,,1,1
SOUTH,12,11,30,,,2,,,,,,5,,,,2,,1,,,,,,1,,,,,,,,,2,,,,1,,,1,,,,,,,,,,,6,,,,,1,,4,,,,1,1,2,
SOUTH,12,12,20,,,,,,,,2,1,,,,,,,1,,,,,,,,,,,,,,,3,,2,1,,,,,,,,,,,,,,3,,,,,2,,5,,,,,,,
SOUTH,12,2,51,2,1,3,,,,,,5,1,,,3,,,,1,,,,,,,1,,,,,,3,1,,3,4,,1,,,,,,,,1,,,,14,,,1,,1,,,1,,,,1,1,2
SOUTH,12,3,35,,,,,,,,1,4,,,,2,,,,,,,,,,,11,,,,,1,1,,,3,1,,,1,,,,,,,,1,,,1,,,,,2,,2,1,,,,,1,2
SOUTH,12,4,27,,,,,,,,,2,,,1,,,,,,,,3,1,,2,4,,,,,,,,,2,1,,,,,,,,,,,,,3,3,,,1,,,,,1,,,,,3,
SOUTH,12,6,10,,,,,,1,,,2,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,
SOUTH,12,7,10,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,1
SOUTH,12,8,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,12,9,10,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,4,2,,,,,,
SOUTH,13,198,27,,,,,,,,1,2,,,,2,,,,,,,1,,,1,,,,,,,,,,4,2,,,,,,,,5,,,,,5,2,,,,,,,1,1,,,,,,
SOUTH,13,199,53,1,,,,,,,,4,,,1,9,,,,,,,2,,,1,2,,1,,,,1,6,,8,3,,,,,,,,,,,,,,12,,1,,,1,,,,,,,,,
SOUTH,13,200,21,,,,,,,,,4,,,1,2,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,1,,,,6,,,,,2,,,1,,,,,1,
SOUTH,13,201,62,,,,,,3,,,7,,,,2,,,,,,,4,1,,6,1,,1,,,,1,,,1,3,,,,,,,1,,1,2,,,,11,,,1,,4,1,3,3,,1,,,,4
SOUTH,13,202,9,,,,,,1,,,3,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,
SOUTH,13,203,11,,,,,,1,,,3,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1,
SOUTH,13,204,23,1,,,,,2,,,6,,,,3,,,,,,,,,,,,,,,,,,1,,,2,,,1,,,,,,,1,,,,1,,,1,,,,1,,,,,,,3
SOUTH,13,205,26,,,,,,1,,,4,1,,,3,,1,,,,,1,2,,1,,1,,,,,1,,,1,,,,,,,,,,,,,,4,2,,,,,1,,1,,,,,,,1
SOUTH,13,206,10,,,1,,,2,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,1,,,,,,
SOUTH,13,207,14,,,,,,1,,,,,,,7,,,,,,,,,,,,,,,,,1,,,2,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,
SOUTH,13,208,9,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,2
SOUTH,13,209,16,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,4,,,,,2,,,,,,,,,1
SOUTH,13,210,11,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,1,,,,1,2,,,,,,,,,,,,,,1,,,,,,,2,,,,,1,,
SOUTH,13,211,9,,,,,,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,
SOUTH,13,212,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
SOUTH,13,213,26,,,,,,5,,,4,,,,4,,,,,,,,1,,,,,,,,,,1,,4,1,,,,,,,,,,,,,,2,,,,,,,1,3,,,,,,
SOUTH,13,214,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,2,,,,,,,,,1
SOUTH,13,215,4,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,13,216,11,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,4,,,,,,,,2,,,,,,1
SOUTH,13,217,22,,,,,,5,1,,4,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,2,,,1,3,,,,,1,,,1,,,,,,1
SOUTH,13,218,45,2,,,3,,4,,,5,,,,7,,,,,,,,,,,,,1,,,,3,1,,,,,,,,,,,,,2,2,,,6,,,1,,,,,,1,,,,,7
SOUTH,13,219,32,,2,,,,2,,,7,,,,5,,,,,,,,1,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,4
SOUTH,13,220,11,,,,,,1,,,1,,,,2,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,2
SOUTH,13,221,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH,14,224,54,1,,1,1,,3,,,6,1,,,8,,,,,,,,,,,,,,1,,,4,5,,1,1,,,,,1,,,,,,,1,,13,,,,,3,,1,,,,,,1,1
SOUTH,14,225,54,4,,,1,,2,,,5,,1,,9,,,,,,,1,,,,1,,,,,,,7,,3,,,,,,,,,,,3,,,,10,,1,1,,,,,,,1,,1,,3
SOUTH,14,226,30,1,,,,,1,,,5,,,,5,,,,,,,,1,,,,,,,,,1,,1,1,4,,,,,,,,1,,,,,,4,,,,,,,,2,,,,,1,2
SOUTH,14,229,28,1,,,,,1,,,7,,,,3,,,,,,,,,,,,,,,,,2,,,4,2,,1,,,,,,1,,,,,,3,,,,,1,,1,,,,,,,1
SOUTH,14,230,42,,,2,,,1,,,8,1,1,,5,,,,,,,,,,,,,,,,,1,1,,8,1,,,,,,,,,,,,,,7,,,,,4,,1,,,,,,1,
SOUTH,14,231,68,4,1,,,,2,,,4,,,,9,,,,,,1,1,4,,2,4,,,,,,,,,5,1,,1,,,,,,,,1,,,1,10,,1,,,1,,1,2,,,,1,2,9
SOUTH,14,232,39,1,,,,,1,,,6,,,1,3,,,,,,1,,,,,1,,,,,,,1,,5,3,,,,,,,,,,,,,2,7,,,,1,,,1,2,,,,,1,2
SOUTH,14,235,45,3,,,,,1,,,3,1,1,,5,,,,,,,,,,3,,,,,,,1,1,1,7,,,1,,,,,,,,,,,,6,,,,,4,,,2,,,,1,3,1
SOUTH,14,236,27,2,,1,,,3,,,1,,,,2,,,,,,,,1,,1,1,,,,,,1,,,,2,,,,,,,,,,,,,,6,,,,,3,,,,,,,,1,2
SOUTH,14,239,35,1,,,,,5,,,2,,,,2,,,,,,,1,1,,,,,,,,,4,2,,2,3,,,,,1,,,,,,,,,3,,,,,1,,5,,,,,1,,1
SOUTH,14,240,8,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,
SOUTH,14,241,9,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,1,,,,2,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,
SOUTH,14,242,35,2,,,,,3,,,4,,,1,6,,,,,,,,1,,1,,,,,,,,2,,2,2,,,1,,,,,,,,,,,4,,,,2,,,2,,,,,,,2
SOUTH,14,247,22,,,1,,,6,,,1,1,,,4,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,1,,,1,1,,,2,,,,,,,1
SOUTH,14,248,65,,,,1,,6,,,12,1,,,12,,,,,,,,2,,,,,,,,,2,1,,2,1,,,,,,,,,,2,,,,10,,,,,2,,1,2,,,,1,,7
CENTRAL,21,13,8,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
CENTRAL,21,14,23,,,,,,,,,4,,,,1,,,,,,,1,1,,3,,,,,,,,1,,3,1,,,,,,,,,,,,,1,,,,2,,1,,3,,,,,,1,
CENTRAL,21,15,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
CENTRAL,21,16,6,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
CENTRAL,21,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,21,183,23,,,,,,1,,,2,,,,1,,,,,,,,,,1,2,,,,,,2,,,2,1,,,,1,,,,,,1,,,6,,,,,,,,,,,1,1,,,1
CENTRAL,21,184,43,2,,,,,8,,,6,,,,7,,,,,,,1,,,,,,,,,,2,1,1,1,1,,,,,,,,,,,,,,5,,1,,,1,,,3,,,1,,1,1
CENTRAL,21,185,27,1,,,,,1,1,1,3,1,,,7,,,,,,,,,,,,,,,,,,2,,,1,,1,,,,,,,,,,,,1,,,,,4,,,1,,,,1,,1
CENTRAL,21,186,10,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,2,,,,,,,,,1,,2,,,,1,,,1
CENTRAL,21,187,18,,,,,,,,,1,,,,6,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,3,,,,,2,,,1,,,,,,2
CENTRAL,21,188,42,2,,1,,,1,1,,4,1,,1,10,,,,,,,,,,,1,,,,,,,2,,2,,,,,,,,,,,,1,,,10,,,,,1,,1,1,,,,,1,1
CENTRAL,21,189,17,1,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,1,,,1,,,,,,,,,7,,,,,,1,,,,,,,,,,,,1,1,1
CENTRAL,21,19,29,,1,,1,,,,,7,,,,,,,,,,,,,,1,7,,,,,,,,,,3,,,1,,,,,,,1,,,1,,,,,,2,,1,,1,,,,,2
CENTRAL,21,190,11,,,,,,,,,2,1,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,
CENTRAL,21,191,6,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,
CENTRAL,21,192,11,,,,,,1,,,1,,,,2,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,1,,,,,,,,,1
CENTRAL,21,193,13,,,,,,,1,,2,,,,,,,,,,,,1,,,2,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,1,
CENTRAL,21,194,18,,,1,,,1,,,3,,,,,,,,,,,1,1,,,,,,,,,1,1,,2,3,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,
CENTRAL,21,195,9,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,2,,2,2,,,,,,
CENTRAL,21,196,38,,,,,,3,,,2,,,,2,,,,,,1,2,,,1,,1,,,,,2,1,1,2,1,,,,,,,,,,1,1,,1,9,,,,,,,,1,,,1,1,3,1
CENTRAL,21,197,28,,,1,,,1,,,,,,,5,,,,,,,,2,,1,,1,,,,,2,1,,2,1,,3,,1,,,,,,,,,,5,,,,,1,,1,,,,,,,
CENTRAL,21,20,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,21,21,11,,,2,,,,,,1,,,1,2,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1
CENTRAL,21,22,48,,,1,1,,3,1,,11,,,1,3,,,,,,,,1,,,3,,,,,,1,1,,5,1,,,,,1,,,,,,,,,4,,,,,4,,,1,,,,2,2,1
CENTRAL,21,24,12,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,3,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,
CENTRAL,22,25,14,,,,,,,,,1,1,,,2,,,,,,,,,,,,,1,,,,3,,,,2,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,1,
CENTRAL,22,27,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,2,,,,
CENTRAL,22,28,5,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
CENTRAL,22,30,4,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,
CENTRAL,22,31,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,32,5,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,34,15,,,1,1,,2,,,,,,,,,,,,1,,,,,,2,,,,,,1,,,,1,,,,,,,,,,1,,,1,1,,,,,,,1,,,,,1,,1
CENTRAL,22,37,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,38,3,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,40,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
CENTRAL,22,41,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,42,13,,,,,,,,,1,1,,,,,,,,,,1,,,,2,,,,,,2,,,,,,,,,,,,,,,,,3,2,,,,,,,1,,,,,,,
CENTRAL,22,43,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,
CENTRAL,22,44,14,1,,,,,2,,,2,,,,1,,,,,,,,,,,2,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,1
CENTRAL,22,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,46,26,,,2,,,2,,,2,2,,,2,,,,,,,,3,,,,,,,,,,1,,1,,,,,,,,,,,,,,,7,,,,,3,,,1,,,,,,
CENTRAL,22,47,20,,,,,,2,,,2,1,,,1,,,,,,,1,,,,1,,,,,,,,,1,2,,,,,,,,,,,,,,4,,,,,2,,1,1,,,,,,1
CENTRAL,22,49,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,50,18,,,,,,,,,6,1,,1,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,3,,,1,,,,1,,,,,,,1
CENTRAL,22,51,28,,,1,,,,1,,8,,,,2,,,,,,,,1,,,,,,,,,,,,2,2,,1,,,1,,,,,,,,,3,,,,,1,,3,,,,,,1,1
CENTRAL,22,52,5,,,,,,1,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
CENTRAL,22,53,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
CENTRAL,22,54,14,,,1,,,,,,2,,,,1,,,,,,,,,,,2,,,,,,,,,2,2,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,1
CENTRAL,22,55,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,22,56,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
CENTRAL,22,59,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
CENTRAL,22,60,33,1,,,,,3,,,3,1,,1,4,,,,,,,,,,1,2,,2,,,,,,,1,4,,,1,,,,,,,1,,,1,4,,,,,2,,,,,,1,,,
CENTRAL,22,64,25,,,,,,1,,,1,1,,,,,,,,,,,,,,3,,,,,,,,,1,3,,,,,1,,,,,,,,7,3,,,,,3,,,,,,,1,,
CENTRAL,23,155,119,,1,,,1,,,,1,1,,,1,,1,,,,,2,2,,,9,,2,,,,1,,,16,14,1,1,1,,,,,,1,2,,,38,6,,,1,1,6,,2,2,,,1,,,4
CENTRAL,23,156,79,1,2,2,,,7,1,,13,1,,1,5,1,,,1,,,,2,,1,1,,1,,,1,1,,2,4,4,,,1,,,,,,,1,,1,,7,,,,2,5,,3,,,1,,,2,4
CENTRAL,23,157,83,,,,,1,1,,,3,,,,2,,3,,,,,,3,,2,9,,1,,,,2,,,7,12,,,1,,,,,,,,,,24,1,,,,1,1,,4,1,,,,,3,1
CENTRAL,23,158,14,,,,,,1,,,1,1,,1,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2
CENTRAL,23,159,83,3,1,,,,6,,,13,1,,,5,,,,,,,4,1,,1,,,,,,,3,1,,7,6,,,1,,3,,,,,3,,,1,11,,,2,,3,,3,,,,,1,,3
CENTRAL,23,160,17,,,1,,,,,,2,,,,5,,,,,,,,,,,,,1,,,,,,,1,3,,,,,,,,1,,,,,,,,,,,1,,,1,1,,,,,
CENTRAL,23,161,21,,,1,,,2,,,7,1,,,1,,,,,,,,,,1,2,,,,,,1,1,,2,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
CENTRAL,24,162,50,,,2,,,1,1,,8,,,,6,,1,,,,,2,1,,1,,,,,,,2,,,1,9,,,,,,,,,,2,,,,6,,,,,2,,4,,,,,,,1
CENTRAL,24,163,44,,,2,,,,1,,7,,,,3,,,,,,,2,2,,1,1,,,,,,1,,,3,3,,,,,,,,,,1,1,,,5,,,2,,3,,2,2,,,,,1,1
CENTRAL,24,164,9,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,2,,,,,,,1,,,,,1,,
CENTRAL,24,165,96,2,,1,1,,3,,,10,1,,1,6,,1,,,,,2,2,,1,4,,2,,,1,7,1,,3,5,,2,2,,,,,,,2,,,12,7,,,1,,2,,5,4,,1,,,,4
CENTRAL,24,166,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,
CENTRAL,24,167,25,1,1,,,,,,,1,1,,,5,,1,,,,,1,1,,,,,,,,,,,,1,2,,,,,,,,,,2,,,,4,,,,,2,,1,,,,,,,1
CENTRAL,24,168,9,,,1,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,1,
CENTRAL,24,169,44,1,,2,1,,4,,,2,5,,,2,,1,,,,,,3,,,,,,,,,,1,,1,4,,,,,,,,,,,,,,7,,,,,4,,2,1,,,,,,3
CENTRAL,24,170,39,2,1,2,,,4,,,2,,,,4,,,,,,,1,,,,1,,,,,,3,,,1,2,,,1,,,,,,,1,,,,6,,,,,,,3,,1,,,1,,3
CENTRAL,24,171,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,172,33,,,1,,,,1,,5,,,,7,,,,,,,,,,,2,,,,,,,,,,6,,,,,,,,,,,,1,2,4,,,,,,,3,,,1,,,,
CENTRAL,24,173,22,,,,,,,,,3,,,,3,,1,,,,,,,,,1,,,,,,,,,2,1,,,,,,,,,,1,,,1,3,,,,,1,,1,,,,1,,1,2
CENTRAL,24,174,13,,,4,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,2,,,,,,,,2,,,,,,
CENTRAL,24,175,15,1,,,,,1,,,3,,,,,,,,,1,,,1,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,3,,,,,,,1,,,,,,,1
CENTRAL,24,176,6,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,
CENTRAL,24,177,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,178,4,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
CENTRAL,24,179,4,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL,24,180,17,,,,,,,,,1,,,1,2,,,,,,,,3,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2
CENTRAL,24,181,8,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,1,1,,,,,,,,,
