TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Damascus PD ,814,9828,80,0,1,0,1,0,2,3,0,1,0,35,1,2,5,1,0,9,29,0,0,0,0,0,2
Dayton PD ,1530,1699.34,26,0,1,0,0,0,0,4,0,0,2,8,1,0,3,0,0,1,8,0,0,0,0,0,1
Dublin PD ,2534,6590.37,167,0,1,0,0,0,2,21,0,0,17,60,7,9,4,1,0,34,26,0,0,0,0,0,3
Dumfries PD ,4961,2499.49,124,0,0,0,0,0,2,15,0,0,12,52,6,2,3,1,1,21,10,0,0,0,0,0,0
Edinburg PD ,1041,1921.22,20,0,0,0,0,1,0,8,0,0,1,5,0,1,2,0,0,4,0,0,0,0,0,0,2
Elkton PD ,2726,3154.8,86,0,0,2,0,0,1,11,0,0,5,34,2,2,1,1,1,16,16,0,0,0,0,0,1
Exmore PD ,1460,7191.78,105,0,0,0,0,1,3,20,0,0,7,41,0,4,4,1,0,22,7,0,0,0,0,0,0
Farmville PD ,8216,8982.47,738,0,0,2,4,7,10,107,2,0,38,235,5,23,24,15,3,184,104,0,1,0,0,0,12
Front Royal PD ,14440,9286.7,1341,0,2,6,5,6,5,327,0,0,56,414,26,30,65,10,3,374,129,0,1,0,0,0,11
Gate City PD ,2034,7030.48,143,0,0,0,2,0,3,15,0,0,16,47,2,2,4,0,1,24,32,0,0,0,0,0,4
Glade Spring PD ,1456,206.04,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Glasgow PD ,1133,617.82,7,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen Lyn PD ,115,9565.21,11,0,0,0,0,0,1,1,0,0,0,5,0,1,1,0,0,1,1,0,0,0,0,0,0
Gordonsville PD ,1496,3074.86,46,0,0,0,1,0,0,5,0,0,7,10,2,0,1,0,0,13,10,0,0,0,0,0,0
Gretna PD ,1267,3157.06,40,0,0,0,0,2,1,16,0,0,5,8,0,2,1,0,0,2,4,0,0,0,0,0,1
Grottoes PD ,2668,2511.24,67,0,0,1,1,0,0,8,0,0,6,16,0,2,4,0,0,15,16,1,0,0,0,0,0
Grundy PD ,1021,1077.37,11,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,3,0,0,0,0,0,0,0
Halifax PD ,1309,3743.31,49,0,0,0,0,1,0,8,1,0,1,24,1,0,0,0,0,8,6,0,0,0,0,0,2
Haymarket PD ,1782,2132.43,38,0,0,0,1,0,1,4,0,0,1,11,0,0,7,0,0,7,9,0,0,0,0,0,0
Haysi PD ,498,3614.45,18,0,0,0,0,0,0,1,1,0,3,8,0,1,2,0,0,3,2,0,0,0,0,0,0
Herndon PD ,23292,4400.65,1025,0,9,4,7,13,27,257,0,1,25,361,11,5,57,4,1,215,75,2,10,0,3,0,8
Hillsville PD ,2681,8728.08,234,0,0,1,2,0,12,32,0,0,14,91,10,8,15,4,2,45,25,0,0,0,0,0,3
Honaker PD ,1449,1449.27,21,0,0,0,0,0,1,5,0,0,5,8,1,0,0,0,0,3,2,0,0,0,0,0,0
Hurt PD ,1304,1533.74,20,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,1,4,5,0,0,0,0,0,0
Independence PD ,947,2639.91,25,0,0,0,0,0,2,6,0,0,1,5,0,1,1,0,0,6,3,0,0,0,0,0,4
Jonesville PD ,1034,4932.3,51,1,0,0,0,1,1,10,0,0,7,18,1,1,0,0,0,9,4,0,0,0,0,0,0
Kenbridge PD ,1257,3102.62,39,0,0,0,0,0,5,17,0,0,3,9,0,3,1,1,0,5,1,0,0,0,0,0,1
Kilmarnock PD ,1487,6052.45,90,0,0,0,0,0,2,10,0,0,6,51,1,4,2,8,1,10,1,0,0,0,0,0,1
LaCrosse PD ,604,5132.45,31,0,1,0,0,0,2,3,1,0,1,9,0,3,0,0,0,8,2,0,0,0,1,0,0
Lawrenceville PD ,1438,7023.64,101,0,1,0,1,3,0,15,1,0,20,40,2,0,7,0,0,11,10,0,0,0,0,0,3
Lebanon PD ,3424,7038.55,241,0,0,1,1,0,2,23,1,0,11,144,0,10,8,2,2,17,31,0,0,0,0,0,2
Leesburg PD ,42616,5009.85,2135,0,4,6,27,6,48,480,3,0,55,790,21,39,240,29,8,370,325,4,6,0,5,0,16
Louisa PD ,1555,6945.33,108,0,0,0,2,0,3,28,5,0,3,36,0,15,4,3,0,13,8,0,0,0,0,0,2
Luray PD ,4895,5577.11,273,0,0,0,1,0,2,34,0,0,30,126,5,5,14,2,0,64,9,0,0,0,0,0,0
Marion PD ,5968,8595.84,513,0,4,2,5,0,31,127,1,0,25,171,3,20,21,3,1,84,56,2,1,0,0,0,13
Middleburg PD ,673,2971.76,20,0,0,0,0,0,0,2,0,0,0,6,0,5,2,1,0,3,2,0,0,0,0,0,0
Middletown PD ,1265,3873.51,49,0,1,1,4,0,1,7,0,0,2,15,0,5,2,0,0,11,4,0,0,0,0,0,1
Mt. Jackson PD ,1994,2507.52,50,0,0,1,4,1,0,4,0,0,3,28,4,0,2,1,0,5,1,0,0,0,0,0,1
Narrows PD ,2029,2069.98,42,0,1,2,1,0,0,7,0,0,1,24,1,0,1,0,0,3,6,1,0,0,0,0,0
New Market PD ,2146,2842.49,61,0,0,1,0,0,1,7,0,0,4,20,0,1,2,0,0,8,25,0,0,0,0,0,1
Occoquan PD ,934,321.19,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Onancock PD ,1263,3642.12,46,0,0,0,1,1,0,6,0,0,4,11,1,1,2,0,0,18,4,0,0,0,0,0,0
Onley PD6 ,516,387.59,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Orange PD ,4721,5316.67,251,0,0,1,2,4,0,42,1,0,14,107,3,13,21,3,0,34,37,0,0,0,0,0,4
Parksley PD ,842,2731.59,23,0,0,0,1,1,0,4,0,0,1,9,0,0,1,0,0,2,4,0,0,0,0,0,0
Pearisburg PD ,2786,5419.95,151,0,0,0,3,0,1,20,0,0,6,60,3,3,24,1,0,13,26,0,0,0,0,0,2
Pembroke PD ,1128,5673.75,64,0,0,0,4,0,2,4,0,0,5,35,2,2,2,0,0,10,0,0,1,0,0,0,0
Pennington Gap PD11 ,1781,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocahontas PD ,389,1285.34,5,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Pound PD ,1037,3471.55,36,0,0,0,0,0,1,5,0,0,1,16,1,4,0,0,0,9,0,0,0,0,0,0,1
Pulaski PD ,9086,10213.51,928,0,5,2,12,3,14,135,2,0,66,322,26,89,143,3,4,153,202,1,6,0,0,0,14
Purcellville PD ,7727,2083.6,161,0,0,0,0,0,1,30,0,0,2,57,1,6,14,2,0,34,30,0,1,0,0,0,2
Quantico PD ,480,4791.66,23,0,0,0,0,0,0,8,0,0,0,6,1,0,0,0,0,9,1,0,0,0,0,0,1
Remington PD ,598,1337.79,8,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0
Rich Creek PD ,774,3229.97,25,0,0,0,0,0,0,1,0,0,2,9,0,2,3,0,0,6,2,0,0,0,0,0,0
Richlands PD ,5823,8397.73,489,0,0,0,5,2,8,95,7,1,46,190,4,26,26,3,0,64,64,2,1,0,0,0,11
Rocky Mount PD ,4799,9335.27,448,0,1,4,3,8,8,61,1,0,28,172,2,13,13,4,5,55,104,0,3,0,1,0,13
Rural Retreat PD ,1483,1146.32,17,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,10,1,0,0,0,0,0,0
Saltville PD ,2077,5970.14,124,0,0,0,0,0,2,18,0,0,3,72,0,0,2,0,0,30,7,0,0,0,0,0,0
Shenandoah PD ,2373,4129.79,98,0,1,0,0,0,2,11,0,0,14,42,2,3,2,1,0,11,11,0,0,0,0,0,1
Smithfield PD ,8089,5105.69,413,0,2,1,0,2,15,88,1,0,34,133,9,9,38,4,0,80,30,0,0,0,0,0,10
South Boston PD ,8142,10943.25,891,1,0,4,4,15,16,171,1,0,98,320,11,10,34,18,2,172,46,2,4,0,0,0,15
South Hill PD ,4650,7634.4,355,0,1,3,5,3,9,66,2,0,12,177,11,4,2,6,0,68,0,0,0,0,0,0,4
St. Paul PD ,970,2164.94,21,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,5,1,0,0,0,0,0,0
Stanley PD ,1689,4262.87,72,0,0,1,0,0,0,7,0,0,9,39,0,1,1,0,0,11,7,0,0,0,0,0,0
Stephens City PD ,1829,6506.28,119,0,0,1,2,1,0,35,0,0,13,43,3,4,0,0,0,23,2,0,0,0,0,0,0
Strasburg PD ,6398,3798.06,243,0,0,2,9,0,3,52,0,0,7,85,2,3,19,0,0,57,18,0,2,0,1,0,1
Tappahannock PD ,2375,13894.73,330,0,1,1,0,1,9,71,1,0,10,116,1,8,13,4,3,42,61,0,1,0,0,0,9
Tazewell PD ,4627,5835.31,270,0,0,2,1,0,2,55,0,0,15,82,3,12,10,1,1,35,54,0,1,0,0,0,9
Timberville PD ,2522,1189.53,30,0,0,0,0,0,0,0,0,0,4,14,2,0,3,1,0,10,0,0,0,0,0,0,1
Victoria PD ,1725,2202.89,38,0,0,0,0,0,1,19,0,0,4,9,1,0,0,0,0,3,5,0,0,0,0,0,0
Vienna PD ,15687,2906.86,456,0,2,1,3,8,8,59,1,0,9,182,5,7,55,2,3,126,52,0,0,0,0,0,4
Vinton PD ,8098,9372.68,759,0,2,3,8,4,34,220,1,0,22,223,2,21,67,2,0,125,79,0,4,0,4,0,11
Warrenton PD ,9611,6274.06,603,0,1,5,5,7,7,107,0,1,21,219,5,22,52,6,0,104,78,4,3,0,0,0,9
Warsaw PD ,1512,1388.88,21,0,0,0,0,0,0,3,0,0,3,10,0,0,1,0,0,2,3,0,0,0,0,0,0
Waverly PD ,2149,4885.99,105,0,0,0,0,3,4,18,0,0,5,25,2,0,0,0,0,20,35,0,0,0,0,0,7
Weber City PD ,1327,7234.36,96,0,1,1,0,0,0,6,0,0,6,37,1,2,7,0,1,8,35,0,0,0,0,0,1
West Point PD ,3306,3811.25,126,1,0,1,0,2,0,18,0,0,14,45,1,6,17,1,0,24,18,0,0,0,0,0,0
White Stone PD ,352,1420.45,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0
Windsor PD ,2626,3998.47,105,0,0,0,1,1,2,22,0,0,33,25,0,0,3,0,2,12,5,0,0,0,0,0,0
Wise PD ,3286,4716.98,155,0,0,0,0,0,1,16,0,0,5,87,2,2,7,2,1,30,13,0,0,0,0,0,0
Woodstock PD ,5097,4355.5,222,0,0,0,6,0,4,32,0,0,3,95,4,7,28,6,1,18,50,0,0,0,0,0,8
Wytheville PD ,8211,5553.52,456,0,2,1,1,3,12,33,3,0,15,207,7,16,45,1,1,100,71,0,0,0,0,0,5
