Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
State Police,,,16,0,0,0,0,0,0,0,1,0,0,1,0,0,11,0,0,0,3,0,0,0,0,0,0
Emporia PD ,5946,13925.32,828,1,4,5,5,14,21,108,1,0,115,269,23,31,21,1,2,228,75,0,0,1,0,1,13
State Police,,,12,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,6,0,0,0,0,0,0
Fairfax PD ,22866,5177.99,1184,0,6,5,9,12,19,261,1,1,39,495,15,8,69,10,1,207,73,2,0,0,0,0,10
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falls Church PD ,12567,4376.54,550,0,0,0,4,5,6,66,0,0,21,194,14,14,30,2,1,116,92,0,0,25,0,0,3
State Police,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Franklin PD ,8680,12465.43,1082,0,7,10,5,12,16,305,2,0,102,362,16,23,20,5,4,258,104,0,0,2,0,0,36
State Police,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Fredericksburg PD ,25484,10457.54,2665,1,5,3,20,24,73,696,5,0,102,938,32,24,223,29,6,389,371,2,6,0,0,0,43
State Police,,,13,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,9,0,0,0,0,0,0
Galax PD,7125,10764.91,767,0,1,0,1,4,27,207,0,0,33,316,12,24,54,5,3,128,71,0,0,0,0,0,9
State Police,,,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
Hampton PD ,137372,8182.16,11240,9,32,19,54,157,173,2321,31,2,812,4205,278,204,530,142,29,2347,904,4,13,1,7,0,473
State Police,,,88,0,0,0,0,0,12,3,0,0,0,1,1,1,41,1,1,1,30,0,0,0,0,0,4
Harrisonburg PD ,50057,4966.33,2486,1,21,13,17,19,67,486,7,1,159,877,34,52,173,16,8,657,275,1,3,0,2,0,51
State Police,,,258,0,0,0,0,0,1,1,0,0,0,4,3,1,7,0,0,0,240,0,0,0,0,0,8
Hopewell PD ,22779,10303.34,2347,2,11,5,13,39,95,719,13,0,311,601,60,56,195,16,9,307,255,6,1,3,2,0,36
State Police,,,41,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,0,0,0,0
Lexington PD ,7197,2223.14,160,0,1,2,1,1,1,22,2,0,17,59,2,2,8,1,0,43,13,0,0,0,0,0,1
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynchburg PD ,76448,8486.81,6488,4,23,22,118,72,182,2180,9,2,522,1869,100,69,314,21,10,966,994,2,2,1,17,0,120
State Police,,,32,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,15,0,0,0,0,0,0
Manassas PD ,39060,6710.18,2621,4,11,17,25,52,59,841,4,1,122,674,58,33,234,9,4,531,327,7,13,0,1,2,21
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Manassas Park PD ,14540,3954.6,575,0,5,3,9,4,6,191,0,0,14,152,13,6,40,2,4,94,113,0,0,0,1,0,9
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinsville PD ,13902,8164.29,1135,2,0,2,10,14,27,243,1,0,68,414,21,13,40,4,1,184,101,3,1,0,0,0,39
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Newport News PD ,181027,8743.44,15828,15,88,52,99,390,398,3648,84,2,1099,4639,356,225,963,66,45,2886,1885,7,8,2,76,0,942
State Police,,,48,0,0,0,0,0,1,1,0,0,0,1,1,0,20,0,0,0,25,0,0,0,0,0,2
Norfolk PD ,243985,9926.02,24218,29,30,81,137,626,694,4874,39,4,2213,9267,774,194,713,71,25,4024,1074,6,2,1,184,1,152
State Police,,,97,1,0,0,0,0,5,0,0,0,0,2,5,3,50,0,1,0,30,0,0,0,0,0,3
Norton PD ,4099,10075.62,413,0,0,0,3,1,1,89,0,1,7,225,4,8,23,3,3,56,55,0,0,1,1,0,3
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petersburg PD ,32948,10352.67,3411,6,6,9,9,53,93,563,3,0,435,934,100,53,75,10,11,553,593,1,0,2,4,0,109
State Police,,,60,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,56,0,0,0,0,0,2
Poquoson PD ,12240,3782.67,463,0,0,1,4,2,5,122,1,0,29,104,5,8,38,0,3,125,38,0,2,0,0,0,12
State Police,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Portsmouth PD ,96368,11330.52,10919,12,66,46,55,235,259,2794,11,2,1353,3740,272,145,574,52,41,2211,591,5,7,6,19,0,237
State Police,,,31,0,0,0,0,0,12,0,0,0,0,3,3,1,22,0,0,2,2,0,0,0,0,0,0
Radford PD ,16532,8661.98,1432,1,10,7,13,8,40,335,4,0,100,365,16,36,155,5,9,290,319,0,4,0,0,0,27
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond PD ,206238,10238.17,21115,36,77,44,74,679,676,4481,58,1,1887,5871,913,317,827,75,56,3733,2096,1,10,7,71,0,652
State Police,,,109,0,0,0,0,0,0,2,1,0,0,5,4,5,6,0,4,1,92,0,0,0,0,0,6
Roanoke PD ,97206,13324.28,12952,8,13,34,43,179,394,4439,33,2,945,3607,290,66,442,61,10,2005,1648,2,7,0,80,0,212
State Police,,,54,0,0,0,0,0,0,0,0,0,0,3,0,1,16,0,0,0,35,0,0,0,0,0,0
Salem PD ,24970,5887.06,1470,0,2,6,2,8,14,327,0,0,73,551,27,23,99,24,8,315,209,0,0,0,1,0,25
State Police,,,15,0,0,0,0,0,1,0,0,0,0,0,0,1,11,0,0,0,3,0,0,0,0,0,0
Staunton PD ,24222,6316.57,1530,1,3,5,34,16,25,284,6,0,39,452,28,60,156,15,17,228,189,6,5,0,0,0,26
State Police,,,5,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
Suffolk PD ,85692,7206.04,6175,3,33,19,78,76,162,1935,32,0,520,1770,106,80,296,31,15,1122,513,0,4,0,2,0,129
State Police,,,13,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,5,0,0,0,0,0,0
Virginia Beach PD,441246,6026.79,26593,15,47,60,182,414,290,6446,133,12,2034,9667,454,505,1508,282,53,3729,2377,12,21,21,53,4,580
State Police,,,119,0,0,0,0,0,2,1,0,0,0,6,3,4,51,0,0,5,47,0,0,0,0,0,9
Waynesboro PD ,21099,8242.09,1739,0,2,10,20,16,48,471,1,0,106,639,39,30,73,15,9,386,135,1,3,0,0,0,35
State Police,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Williamsburg PD,14256,4285.91,611,1,5,1,3,14,13,165,0,0,21,206,9,15,33,12,2,117,64,3,0,0,0,0,12
State Police,,,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,0,0,0,0,0,0
Winchester PD ,26167,9962.93,2607,0,8,3,34,29,34,677,1,0,132,978,31,40,170,24,12,432,463,3,1,0,4,0,37
State Police,,,138,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,2,133,0,0,0,0,0,0
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
