ST,County,StateFIPS,CountyFIPS,Population,Deaths,Med_Cost,Work_Cost,U_C_Rate
VA,MONTGOMERY,51,121,638483,27,16536.07094,4058850.137,4.228773515
VA,NELSON,51,125,104489,,,,
VA,NEW KENT,51,127,119418,,,,
VA,NORTHAMPTON,51,131,88390,,,,
VA,NORTHUMBERLAND,51,133,87089,,,,
VA,NOTTOWAY,51,135,110535,,,,
VA,ORANGE,51,137,222246,,,,
VA,PAGE,51,139,167828,,,,
VA,PATRICK,51,141,130881,,,,
VA,PITTSYLVANIA,51,143,440499,21,6230.189729,3033967.859,4.767320698
VA,POWHATAN,51,145,190704,,,,
VA,PRINCE EDWARD,51,147,155582,,,,
VA,PRINCE GEORGE,51,149,245376,,,,
VA,PRINCE WILLIAM,51,153,2581020,77,40757.05636,13690360.05,2.983316673
VA,PULASKI,51,155,244437,,,,
VA,RAPPAHANNOCK,51,157,51550,,,,
VA,RICHMOND,51,159,65060,,,,
VA,ROANOKE,51,161,635326,,,,
VA,ROCKBRIDGE,51,163,154268,,,,
VA,ROCKINGHAM,51,165,517332,,,,
VA,RUSSELL,51,167,201301,,,,
VA,SCOTT,51,169,162238,,,,
VA,SHENANDOAH,51,171,284958,,,,
VA,SMYTH,51,173,227047,,,,
VA,SOUTHAMPTON,51,175,127827,,,,
VA,SPOTSYLVANIA,51,177,826201,,,,
VA,STAFFORD,51,179,853560,28,23687.13999,4062576.216,3.280378649
VA,SURRY,51,181,48927,,,,
VA,SUSSEX,51,183,84808,,,,
VA,TAZEWELL,51,185,311658,22,8690.914072,2892178.188,7.059019823
VA,WARREN,51,187,254958,,,,
VA,WASHINGTON,51,191,376892,,,,
VA,WESTMORELAND,51,193,119590,,,,
VA,WISE,51,195,290645,,,,
VA,WYTHE,51,197,201325,,,,
VA,YORK,51,199,449229,,,,
VA,ALEXANDRIA CITY,51,510,924235,38,16600.2169,6786270.607,4.111508437
VA,BEDFORD CITY,51,515,43246,,,,
VA,BRISTOL CITY,51,520,123561,,,,
VA,BUENA VISTA CITY,51,530,46510,,,,
VA,CHARLOTTESVILLE CITY,51,540,292141,,,,
VA,CHESAPEAKE CITY,51,550,1522619,99,80584.11307,17009273.11,6.501954855
VA,COLONIAL HEIGHTS CITY,51,570,122033,,,,
VA,COVINGTON CITY,51,580,42201,,,,
VA,DANVILLE CITY,51,590,309938,53,29036.08935,8645461.571,17.10019423
VA,EMPORIA CITY,51,595,40417,,,,
VA,FAIRFAX CITY,51,600,152204,,,,
VA,FALLS CHURCH CITY,51,610,78566,,,,
VA,FRANKLIN CITY,51,620,59164,,,,
VA,FREDERICKSBURG CITY,51,630,159942,,,,
VA,GALAX CITY,51,640,48266,,,,
VA,HAMPTON CITY,51,650,976801,84,72478.84487,14800966.13,8.599499796
VA,HARRISONBURG CITY,51,660,325228,,,,
VA,HOPEWELL CITY,51,670,156595,,,,
VA,LEXINGTON CITY,51,678,48658,,,,
VA,LYNCHBURG CITY,51,680,504305,,,,
VA,MANASSAS,51,683,252969,,,,
VA,MANASSAS PARK,51,685,90230,,,,
VA,MARTINSVILLE CITY,51,690,99049,,,,
VA,NEWPORT NEWS CITY,51,700,1277970,147,100673.43,26900780.23,11.50261743
VA,NORFOLK CITY,51,710,1693869,256,251289.6433,45416656.87,15.11332931
VA,NORTON CITY,51,720,27030,,,,
VA,PETERSBURG CITY,51,730,225630,51,20432.03096,9001903.573,22.60337721
VA,POQUOSON,51,735,84154,,,,
VA,PORTSMOUTH CITY,51,740,679262,106,80485.25636,18656674.51,15.60517149
VA,RADFORD CITY,51,750,113315,,,,
VA,RICHMOND CITY,51,760,1403308,392,271650.4125,68492603.21,27.93399596
VA,ROANOKE CITY,51,770,666577,69,70527.03825,10549361.81,10.35139226
VA,SALEM CITY,51,775,171555,,,,
VA,STAUNTON CITY,51,790,166117,,,,
VA,SUFFOLK CITY,51,800,566082,42,29931.6403,7315346.73,7.419419801
VA,VIRGINIA BEACH CITY,51,810,3052504,135,75567.38878,22714507.51,4.422598627
VA,WAYNESBORO CITY,51,820,145270,,,,
VA,WILLIAMSBURG CITY,51,830,91389,,,,
VA,WINCHESTER CITY,51,840,180441,,,,
