TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Herndon PD,21666,5903.25,1279,1,2,7,9,24,54,288,3,1,45,439,25,16,48,8,4,305,75,2,1,0,2,0,14
Hillsville PD0,2742,6309.26,173,0,0,2,4,0,11,17,1,0,6,49,9,21,9,2,2,34,25,0,1,0,0,0,0
Honaker PD,922,3253.79,30,0,0,0,0,0,3,7,0,0,4,8,0,0,0,0,0,5,5,0,0,0,0,0,0
Hurt PD,1248,961.53,12,0,0,0,0,0,0,2,0,0,1,4,1,1,1,0,0,2,0,0,0,0,0,0,0
Independence PD,930,2795.69,26,0,0,1,0,0,0,4,0,0,2,7,2,3,3,0,0,2,5,0,0,0,0,0,1
Jonesville PD,990,2929.29,29,0,0,0,1,0,0,6,0,0,6,8,0,0,0,0,0,7,1,0,0,0,0,0,0
Kenbridge PD,1312,3125,41,0,0,1,1,0,6,12,0,0,0,8,1,5,1,0,0,7,3,0,0,0,0,0,1
Kilmarnock PD0,1218,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaCrosse PD,606,1485.14,9,0,0,0,0,0,0,2,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0
Lawrenceville PD,1234,6482.98,80,0,2,1,1,0,4,16,0,0,9,20,1,1,2,3,0,16,7,0,0,0,0,0,5
Lebanon PD,3227,8831.73,285,0,1,3,1,2,3,29,1,0,23,124,5,36,26,8,1,45,9,2,0,0,0,0,4
Leesburg PD,34828,6193.29,2157,0,0,12,17,19,41,500,4,0,55,678,48,29,143,35,11,433,349,0,3,0,0,0,54
Louisa PD0,1477,3859.17,57,0,0,0,0,1,0,4,0,0,8,23,4,6,1,0,0,9,4,0,0,0,0,0,1
Luray PD,4878,5084.05,248,0,0,1,1,0,4,22,0,0,11,118,3,8,6,1,0,85,0,0,0,0,0,0,4
Marion PD,6168,11413.74,704,0,1,1,4,3,42,148,4,1,40,178,10,16,19,7,0,154,140,0,5,0,0,0,12
McKenney PD0,481,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleburg PD,842,7007.12,59,0,0,0,0,0,0,19,0,0,6,18,3,0,1,1,0,15,2,0,0,0,0,0,0
Middletown PD,1078,4267.16,46,0,0,3,1,0,0,5,0,0,10,15,2,5,4,0,0,10,0,0,0,0,0,0,0
Mt. Jackson PD,1732,4387.99,76,0,0,0,0,1,1,8,0,0,9,26,1,4,0,0,1,27,7,0,0,0,0,0,2
Narrows PD,2145,2191.14,47,0,0,0,0,1,0,2,0,0,3,15,0,2,2,0,0,9,15,0,0,0,0,0,0
New Market PD,1798,2169.07,39,0,0,0,0,0,0,1,0,0,9,18,0,2,2,0,0,8,1,0,0,0,0,0,0
Occoquan PD,765,392.15,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Onancock PD,1493,5827.19,87,0,0,0,0,0,4,17,0,0,5,16,1,9,0,0,0,20,13,0,0,0,0,0,0
Onley PD,498,13052.2,65,0,0,0,0,1,0,1,0,0,0,36,0,4,1,0,0,4,16,0,0,0,0,0,4
Orange PD,4327,7996.3,346,1,1,1,2,5,9,87,0,0,11,114,5,5,9,4,1,86,38,0,0,0,0,0,5
Parksley PD,837,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pearisburg PD7,2769,3033.58,84,0,0,1,0,0,0,8,0,0,7,29,0,3,2,2,0,16,19,0,0,0,0,0,4
Pembroke PD11,1163,2321.58,27,0,1,0,0,0,0,5,0,0,5,6,0,0,0,0,2,11,0,0,0,0,0,0,0
Pennington Gap PD,1771,564.65,10,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,2,0,0,0,0,0,0,0
Pocahontas PD5,433,4157.04,18,0,0,0,0,0,0,4,1,0,1,7,1,0,0,0,0,4,1,0,0,0,0,0,0
Pound PD,1084,10055.35,109,0,0,0,0,0,4,16,0,0,10,29,0,8,3,0,0,21,32,0,0,0,0,0,0
Pulaski PD,9169,8692.33,797,0,4,5,10,10,17,134,4,0,82,260,21,35,27,6,4,172,134,1,3,0,0,0,14
Purcellville PD,4479,5001.11,224,0,1,0,1,1,2,43,2,0,6,78,2,4,9,4,0,64,15,0,1,0,0,0,7
Quantico PD,612,7026.14,43,0,0,0,0,1,0,4,0,0,4,28,0,0,2,0,1,2,2,0,0,0,0,0,0
Rich Creek PD0,678,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richlands PD,4120,15169.9,625,3,2,1,3,3,14,102,3,0,63,185,7,45,63,1,0,117,107,0,0,0,1,0,16
Rocky Mount PD,4555,6212.95,283,0,0,3,2,5,6,48,2,0,9,98,8,9,13,3,2,37,52,0,0,0,0,0,5
Rural Retreat PD,1341,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saltville PD,2271,7089.38,161,0,1,2,0,0,4,9,2,0,10,46,4,3,1,0,0,71,22,0,0,0,0,0,2
Shenandoah PD,1877,5487.48,103,0,0,0,1,0,4,10,0,0,5,31,3,1,6,0,0,23,21,0,1,0,0,0,0
Smithfield PD,6784,9581.36,650,0,0,0,7,10,13,117,1,0,27,262,14,27,32,2,2,135,37,0,0,1,0,0,26
South Boston PD,8151,10354.55,844,0,4,5,8,15,26,151,5,0,80,309,13,22,20,6,0,161,75,0,1,0,0,0,16
South Hill PD,4582,10257.52,470,0,4,1,3,6,22,117,0,0,24,195,20,17,10,12,0,83,0,0,0,0,0,0,1
St. Paul PD6,967,206.82,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Stanley PD,1335,3895.13,52,0,0,0,0,0,3,8,0,0,0,22,1,0,0,0,0,15,6,0,0,0,0,0,0
Stephens City PD,1222,8428.8,103,0,0,0,2,0,1,19,0,0,7,42,0,3,0,1,0,31,1,0,0,0,0,0,0
Strasburg PD,4188,5921.68,248,0,0,0,0,1,4,30,0,0,12,85,3,3,7,1,1,72,44,0,0,0,0,0,6
Tappahannock PD,2144,18470.14,396,0,0,2,0,1,10,59,0,0,9,119,6,21,21,6,2,51,114,0,0,0,0,0,17
Tazewell PD,4159,6636.21,276,0,3,2,8,1,6,48,0,0,15,93,11,25,8,1,1,43,32,0,0,0,0,0,9
Timberville PD,1703,1996.47,34,0,0,0,0,0,1,4,0,0,5,10,4,2,1,0,0,4,3,0,0,0,0,0,2
Victoria PD,1776,2477.47,44,0,0,4,0,0,4,8,0,0,2,19,2,2,0,0,0,4,2,0,0,0,0,0,1
Vienna PD4,14850,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vinton PD,7742,10371.99,803,0,4,3,8,3,10,178,0,0,35,240,19,21,38,4,2,106,231,0,1,0,0,0,24
Warrenton PD,8295,7426.16,616,0,2,4,3,2,28,102,0,1,24,222,7,20,29,12,1,153,57,1,0,0,0,0,16
Warsaw PD,1367,1901.97,26,0,0,0,1,1,0,3,0,0,0,9,0,2,1,0,0,9,0,0,0,0,0,0,0
Waverly PD,2199,3319.69,73,1,1,0,3,0,5,15,0,1,6,20,4,2,0,0,0,12,10,0,0,0,0,0,2
Weber City PD,1288,8307.45,107,0,1,0,0,1,4,7,0,1,13,38,2,6,3,0,0,18,25,0,0,0,0,0,1
West Point PD,2986,4621.56,138,0,0,1,0,3,1,21,0,0,9,42,3,2,4,1,0,44,18,0,0,0,0,0,2
Wise PD,3233,5103.61,165,0,5,2,0,1,3,12,0,0,14,85,6,11,15,1,0,24,18,0,0,0,0,0,1
Woodstock PD,4153,2504.21,104,0,0,0,0,2,6,28,1,0,5,23,5,3,3,0,2,8,25,0,0,0,0,0,5
Wytheville PD,7917,7060.75,559,0,4,8,5,3,6,70,3,0,57,244,16,22,14,5,0,138,65,0,0,0,0,0,8
