COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Greensville County SO,12538,5248.05,658,3,6,8,5,4,21,172,0,0,69,181,18,11,21,0,0,131,33,0,0,0,1,0,15
State Police,,,46,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,1,42,0,0,0,0,0,0
Halifax County SO,26968,1909.67,515,1,0,1,5,4,12,93,0,0,66,163,28,7,8,1,0,87,34,0,1,0,0,0,16
State Police,,,39,0,0,0,0,0,2,1,0,0,0,4,2,1,4,0,0,3,24,0,1,0,0,0,3
Hanover County SO,89366,2797.48,2500,3,5,0,26,21,33,490,5,0,89,893,40,54,90,41,12,402,392,5,4,0,1,0,86
State Police,,,62,0,0,0,0,0,1,6,0,0,0,2,4,5,23,0,0,0,24,0,0,0,0,0,2
Henry County SO,54506,4716.91,2571,8,7,13,28,32,105,446,14,0,309,824,73,146,152,31,2,381,191,3,1,0,0,0,75
State Police,,,38,0,0,0,2,0,3,2,0,0,0,1,4,1,8,0,0,0,16,0,0,0,0,0,2
Highland County SO,2391,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0
Isle of Wight County SO,26281,4025.72,1058,1,4,4,17,7,17,209,2,0,106,316,37,13,50,0,0,214,94,2,0,0,1,0,33
State Police,,,25,0,0,0,0,0,2,0,1,0,0,0,1,3,6,0,0,0,10,0,0,0,0,0,2
King & Queen County SO 0,6969,1965.85,137,1,2,0,1,0,6,26,1,0,23,31,2,1,1,1,0,25,32,0,0,0,0,0,2
State Police,,,13,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,11,0,0,0,0,0,0
King George County SO,21299,5310.11,1131,0,6,5,23,1,15,360,1,1,68,319,26,20,79,4,4,217,129,1,0,0,0,0,37
State Police,,,5,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0
King William County SO,11920,1484.89,177,0,2,0,2,1,11,62,0,0,12,41,5,6,8,1,1,21,29,0,0,0,0,0,6
State Police,,,10,0,0,0,1,0,0,1,0,0,0,3,1,0,2,0,0,0,2,0,0,0,0,0,0
Lancaster County SO,10347,1787.95,185,2,0,2,4,1,10,41,2,0,20,72,1,1,10,1,0,36,5,0,0,0,0,0,4
State Police,,,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Lee County SO,22370,3008.49,673,0,2,2,0,4,28,65,0,1,171,269,5,16,2,0,0,121,14,0,0,0,0,0,1
State Police,,,34,0,0,0,0,0,0,0,8,0,0,6,6,0,3,0,0,4,8,0,0,0,0,0,0
Loudoun County SO,229456,3200.61,7344,2,15,26,44,41,104,1768,84,7,299,2475,202,76,647,79,39,1855,681,2,4,0,2,1,144
State Police,,,78,0,0,0,0,0,5,6,1,0,0,8,11,11,11,0,0,2,28,0,0,0,0,0,0
Louisa County SO,28765,3288.71,946,1,2,9,13,4,10,173,1,0,81,335,21,14,22,3,0,205,102,2,0,0,0,0,18
State Police,,,57,0,1,0,0,0,1,3,0,0,0,2,0,0,1,0,0,0,51,0,0,0,0,0,1
Lunenburg County SO,10277,1410.91,145,0,0,1,1,0,0,12,2,0,27,50,7,1,3,0,1,32,13,0,1,0,0,0,2
State Police,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,2
Madison County SO,13720,3498.54,480,0,6,1,6,0,6,129,0,0,26,152,11,8,7,4,1,133,22,0,1,0,0,0,10
State Police,,,54,0,0,0,0,0,0,1,0,0,0,2,0,5,4,1,0,0,42,0,1,0,0,0,0
Mathews County SO,9176,3280.3,301,0,0,0,2,0,5,65,9,0,34,97,8,7,10,1,1,78,19,0,0,0,0,0,2
State Police,,,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,0,0,0
Mecklenburg County SO,23969,3587.96,860,0,4,11,10,11,27,153,9,0,90,272,40,75,26,2,4,198,25,0,0,0,1,0,25
State Police,,,206,0,0,0,0,0,0,1,1,0,1,0,3,2,5,0,0,2,193,0,0,0,0,0,1
Middlesex County SO,10253,3189.31,327,1,0,4,2,1,10,80,2,0,39,78,11,5,7,1,0,88,31,0,0,0,0,0,4
State Police,,,85,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,82,0,0,0,0,0,0
Montgomery County SO,31747,5219.39,1657,1,7,6,26,5,43,600,5,0,165,366,50,18,59,2,4,359,155,2,0,0,0,0,30
State Police,,,122,1,0,0,0,0,3,1,0,0,1,7,2,1,12,0,2,6,93,0,0,0,0,0,2
Nelson County SO,15066,4115.22,620,0,3,0,13,0,8,126,0,0,55,207,21,7,29,1,0,177,24,1,0,0,0,0,17
State Police,,,24,0,0,0,0,0,4,2,1,0,1,5,1,0,1,0,0,0,9,0,1,0,0,0,2
New Kent County SO,16398,3909.01,641,0,3,3,6,5,14,142,1,1,52,199,16,9,26,1,0,157,74,1,0,0,0,0,10
State Police,,,48,0,0,0,0,0,1,0,0,0,0,6,2,2,0,0,1,1,38,0,1,0,0,0,0
Northampton County SO,10630,3866.41,411,1,1,0,1,8,5,96,2,0,75,137,5,5,9,1,0,88,9,0,0,0,0,0,8
State Police,,,70,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,1,56,0,0,0,0,0,6
Northumberland Co. SO,13161,2363.04,311,0,0,5,0,1,6,63,0,0,41,84,6,16,13,8,0,71,30,0,0,0,0,0,7
State Police,,,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
Nottoway County SO,9487,2835.45,269,0,5,1,5,3,12,60,0,0,18,71,9,2,4,0,0,53,63,1,2,0,0,0,11
State Police,,,13,0,0,0,0,0,1,1,1,0,0,1,0,0,2,0,0,0,7,0,0,0,0,0,0
Orange County SO,25483,2162.22,551,2,3,6,17,2,15,100,2,0,51,194,15,7,8,7,3,115,124,1,0,0,0,0,19
State Police,,,104,1,1,1,0,0,0,1,1,0,0,2,0,0,5,0,0,0,91,0,0,0,0,0,4
Page County SO,16044,4730.74,759,1,2,6,32,1,18,123,6,0,106,238,16,37,56,4,0,192,55,1,7,0,0,0,18
State Police,,,142,0,0,0,0,0,0,4,1,0,0,6,2,2,2,0,1,4,124,0,0,0,0,0,3
Patrick County SO,19517,3576.37,698,0,0,7,4,2,27,144,5,0,71,265,49,31,36,21,0,153,23,0,1,0,0,0,18
State Police,,,10,0,0,0,0,0,0,2,0,0,0,0,1,2,3,0,0,0,1,0,0,0,0,0,1
Pittsylvania County SO,58499,2090.63,1223,1,9,12,23,11,44,410,4,0,205,289,40,24,28,2,0,246,121,5,2,0,0,0,52
State Police,,,77,0,0,0,1,0,1,2,0,0,2,17,31,6,13,0,0,0,11,0,0,0,0,0,2
Powhatan County SO,26865,1976.55,531,0,0,1,3,3,3,110,6,0,62,149,16,1,17,3,0,145,52,1,0,0,0,0,11
State Police,,,28,0,0,0,1,0,5,5,0,0,0,2,0,0,1,0,0,1,13,0,0,0,0,0,0
Prince Edward County SO,13835,867.36,120,0,1,1,4,1,8,39,0,0,9,13,0,4,6,3,1,24,7,0,0,0,0,0,4
State Police,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Pulaski County SO,23016,4770.59,1098,3,2,9,9,4,23,217,8,0,75,401,28,39,47,19,0,220,94,1,1,0,0,0,16
State Police,,,75,0,0,0,0,0,0,2,0,0,1,14,3,1,4,1,1,2,53,0,0,0,0,0,1
Rappahannock County SO,6931,1673.64,116,1,0,1,3,2,3,25,0,0,25,24,3,4,4,0,0,23,6,0,0,0,0,0,0
State Police,,,10,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,5,0,0,0,0,0,1
Richmond County SO,8328,3410.18,284,0,2,2,3,1,5,58,0,0,4,71,16,47,23,1,1,22,36,1,1,0,1,0,4
State Police,,,9,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0
Rockbridge County SO,20608,2984.27,615,0,6,6,18,2,7,103,1,0,54,217,13,17,29,4,2,99,80,0,0,0,0,0,14
State Police,,,35,0,0,0,0,0,0,2,0,0,0,16,0,1,1,0,0,2,13,0,0,0,0,0,0
Rockingham County SO,57927,1104.83,640,1,2,8,45,5,14,72,0,0,101,191,16,20,16,6,6,182,63,5,2,0,0,0,27
State Police,,,129,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,121,0,0,0,0,0,5
Russell County SO,24782,3458.15,857,2,4,5,16,2,21,244,7,0,89,173,36,9,14,2,0,166,141,1,0,0,0,0,17
State Police,,,40,0,0,0,0,0,0,0,2,0,0,2,1,30,1,0,0,0,5,0,0,0,0,0,0
Scott County SO,20469,3400.26,696,3,3,4,11,2,24,130,0,0,124,260,39,24,12,2,0,182,16,2,1,0,0,0,18
State Police,,,36,0,0,0,0,0,0,1,2,0,2,4,4,0,6,0,0,4,17,0,0,0,0,0,1
Shenandoah County SO,27209,2708.66,737,0,0,0,1,3,26,216,0,0,54,181,14,5,58,3,3,177,40,0,2,0,0,0,20
State Police,,,215,0,0,0,0,0,3,1,0,0,0,3,3,0,3,0,2,1,199,0,0,0,0,0,6
Smyth County SO,21873,4462.12,976,1,11,9,15,0,33,227,10,0,99,251,25,13,14,3,2,210,106,0,3,0,1,0,19
State Police,,,85,0,0,0,0,0,1,3,2,0,1,12,1,0,10,0,1,3,54,0,0,0,0,0,3
Southampton County SO,16342,3965.24,648,1,5,6,7,5,24,85,3,1,71,173,20,12,9,0,0,126,120,1,0,0,0,0,13
State Police,,,98,0,0,0,0,0,1,2,0,0,0,2,2,0,0,0,0,3,84,0,0,0,0,0,5
Spotsylvania County SO,117737,4278.18,5037,4,0,18,103,19,161,1181,15,0,9,1612,67,100,434,71,4,970,575,0,1,0,8,0,117
State Police,,,17,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,12,0,0,0,0,0,0
Stafford County SO,120511,3510.05,4230,3,33,22,57,38,88,852,29,2,195,1281,160,114,379,48,27,1192,480,1,7,0,9,1,112
State Police,,,12,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,7,0,0,0,0,0,1
Surry County SO,6854,3034.72,208,0,2,3,7,4,25,50,0,0,43,41,2,3,7,0,0,44,5,0,0,0,0,0,5
State Police,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
Sussex County SO,9903,4756.13,471,1,1,6,5,3,24,105,2,0,62,136,21,8,10,0,1,95,42,0,0,0,0,0,8
State Police,,,28,0,0,0,0,0,2,1,0,0,1,2,2,1,5,0,0,0,14,0,0,0,0,0,1
Tazewell County SO,29227,3657.57,1069,0,11,4,24,3,20,150,1,0,166,386,41,55,46,6,0,287,90,1,1,0,0,0,24
State Police,,,24,0,0,0,2,0,2,0,1,0,0,3,0,0,7,0,0,0,10,0,0,0,0,0,0
Warren County SO,20883,3079.05,643,0,2,2,10,1,8,85,5,0,61,177,25,9,27,2,1,119,136,0,1,0,0,0,18
State Police,,,127,1,0,0,0,0,0,2,0,0,0,2,1,0,3,0,0,1,116,0,0,0,0,0,1
Washington County SO,41916,5045.8,2115,0,7,10,32,11,34,312,3,1,184,880,44,167,150,14,3,297,108,1,1,0,0,0,46
State Police,,,46,0,0,0,0,0,5,1,1,0,1,12,6,1,8,0,1,5,8,0,0,0,0,0,2
Westmoreland County SO,13440,4129.46,555,2,6,0,7,5,20,155,2,7,29,150,11,12,34,0,10,118,56,0,1,0,0,0,18
State Police,,,16,0,0,0,3,0,1,0,1,0,1,2,0,0,0,0,0,1,10,0,0,0,0,0,0
Wise County SO,26684,4223.5,1127,1,12,13,13,2,37,385,35,0,156,283,33,10,10,6,5,243,130,1,0,0,0,0,37
State Police,,,146,0,0,0,2,0,2,0,1,0,1,11,2,5,8,1,0,0,23,0,0,91,0,0,0
Wythe County SO,18567,2730.65,507,1,2,2,6,2,19,31,2,0,37,173,26,21,16,3,6,62,171,0,0,0,1,0,27
State Police,,,139,0,1,0,1,1,3,4,1,0,4,65,5,4,8,1,0,4,43,0,0,0,0,0,1
York County SO,63139,4152.74,2622,4,25,8,41,21,30,490,12,1,164,858,33,49,189,29,14,768,234,4,1,0,1,0,61
State Police,,,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0
