Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Hampton PD,147300,8327.22,12266,10,32,36,115,284,281,1926,38,1,998,4992,1107,183,488,230,25,2848,871,5,7,1,10,0,390
State Police,,,251,0,1,0,0,0,2,2,0,0,0,3,1,2,34,0,1,4,168,0,1,0,0,0,53
Harrisonburg PD,40900,6801.95,2782,1,7,11,23,32,79,371,14,3,175,1163,94,71,114,27,19,976,268,1,0,0,0,0,44
State Police,,,37,0,0,0,0,0,2,0,0,0,0,1,0,1,13,0,0,0,20,0,0,0,0,0,3
Hopewell PD,22200,14103.6,3131,0,10,5,28,56,111,1028,14,3,285,986,140,58,39,8,7,847,335,1,2,0,1,0,92
State Police,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0
Lexington PD,7000,3271.42,229,0,0,2,5,1,8,45,1,0,7,95,4,3,2,0,0,56,20,0,0,0,0,0,9
State Police,,,9,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,3,1,0,0,0,0,0
Lynchburg PD,65300,9503.82,6206,6,35,22,72,83,178,2099,22,0,453,2054,219,144,236,22,28,1021,548,4,5,0,23,0,126
State Police,,,50,0,0,0,0,0,1,0,0,0,0,2,1,0,25,0,0,0,11,0,0,0,0,0,12
Manassas PD,36400,8895.6,3238,0,12,16,20,54,59,837,16,1,151,1123,151,66,125,22,1,581,262,4,0,0,2,0,68
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Manassas Park PD,10800,7111.11,768,0,1,1,7,6,14,207,10,0,21,253,50,7,18,3,0,191,52,0,0,0,0,0,32
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Martinsville PD,15600,11756.41,1834,1,2,18,15,22,46,281,11,0,84,631,64,116,73,22,1,448,117,0,0,0,0,1,26
State Police,,,17,0,0,0,0,0,2,0,0,0,0,2,0,0,3,2,0,2,7,0,0,0,0,0,1
Newport News PD,181100,10826.06,19606,30,146,97,148,453,764,5226,110,1,1508,6991,1225,284,646,129,62,4164,1277,9,4,1,42,1,577
State Police,,,123,0,0,0,0,0,3,2,0,0,0,2,2,0,17,1,0,7,70,0,0,0,0,0,21
Norfolk PD,234500,10884.43,25524,31,36,127,206,813,637,4078,24,1,1702,11556,1521,541,148,98,40,4577,1357,12,3,1,164,0,135
State Police,,,98,0,0,0,0,0,2,1,0,0,0,7,1,5,8,0,0,12,48,0,0,0,0,0,18
Norton PD,4000,9775,391,0,0,6,5,1,18,67,1,0,11,191,5,14,9,1,6,96,42,1,0,0,0,0,12
State Police,,,5,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Petersburg PD,33100,17362.53,5747,5,26,23,21,113,205,1042,8,0,515,1995,323,174,164,46,148,1662,671,5,0,5,2,0,129
State Police,,,54,0,0,0,0,0,2,2,0,0,0,3,1,7,3,0,0,4,32,0,0,0,0,0,6
Poquoson PD,11500,2713.04,312,2,3,0,1,0,8,33,2,0,12,98,7,7,10,30,1,88,37,0,0,0,0,0,8
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portsmouth PD,99700,13105.31,13066,12,68,31,35,477,584,3325,15,2,1449,4525,679,118,101,100,128,4005,1173,3,0,4,44,0,346
State Police,,,30,0,0,0,0,0,2,0,0,0,0,2,1,2,6,0,0,4,9,0,0,0,0,0,5
Radford PD0,16100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,11,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,6,0,0,0,0,0,0
Richmond PD,197800,15679.47,31014,70,185,114,196,1429,1134,5605,165,6,2931,11572,3089,209,141,25,20,5982,1507,16,1,4,148,0,704
State Police,,,121,0,0,0,1,0,1,2,1,1,0,15,2,5,5,1,0,3,74,0,0,0,0,0,13
Roanoke PD,94500,11362.96,10738,5,16,41,58,136,405,2086,34,3,696,4504,337,175,276,110,9,2618,596,8,11,0,52,0,211
State Police,,,56,0,0,0,0,0,1,0,0,0,0,4,0,1,25,0,0,1,17,0,0,0,0,0,10
Salem PD,24800,5915.32,1467,2,2,4,4,10,12,291,7,0,51,606,34,76,64,28,11,353,123,0,0,0,0,0,21
State Police,,,17,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,6,0,0,0,0,0,4
Staunton PD,23600,8245.76,1946,1,3,4,15,3,40,467,5,0,106,709,43,100,61,26,11,470,104,1,0,0,0,0,22
State Police,,,23,0,0,2,0,0,0,1,0,0,0,1,0,0,10,0,0,0,4,0,0,0,0,0,5
Suffolk PD,65600,7371.95,4836,5,31,30,51,105,248,1327,22,3,375,1936,152,79,80,21,14,954,191,0,1,0,3,1,176
State Police,,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,11,0,0,0,0,0,3
Virginia Beach PD,427800,7443.19,31842,12,53,110,204,370,355,6788,181,2,2257,13712,955,400,808,347,48,6939,2673,30,4,2,97,1,537
State Police,,,107,0,0,0,0,0,3,0,0,0,0,4,0,3,17,0,0,6,62,0,0,0,0,0,16
Waynesboro PD5,19600,10224.48,2004,0,5,8,18,13,133,458,16,1,117,807,52,34,62,19,7,470,114,2,0,0,1,0,49
State Police,,,9,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,4,0,0,0,0,0,1
Williamsburg PD,12000,6266.66,752,0,5,5,3,10,39,136,1,0,43,336,24,14,24,9,4,190,40,0,0,0,0,0,11
State Police,,,35,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
Winchester PD,23800,12995.79,3093,0,8,10,36,21,39,796,20,0,162,1217,57,71,104,28,57,631,488,2,2,0,2,0,48
State Police,,,77,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,56,0,0,0,0,0,7
