COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Floyd County SO,14200,2091.54,297,0,0,2,3,2,6,2,7,0,40,146,12,5,3,2,1,133,4,0,1,0,0,0,6
State Police,,,10,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1
Fluvanna County SO,21200,2533.01,537,1,1,6,7,1,38,92,4,0,58,184,17,9,6,1,2,170,31,1,0,0,1,0,12
State Police,,,24,0,0,0,0,0,0,0,0,0,1,4,2,1,0,0,0,0,15,0,0,0,0,0,2
Franklin County SO,44634,2070.17,924,2,2,17,17,5,40,105,1,0,89,481,46,31,28,0,2,235,42,4,0,0,0,0,10
State Police,,,46,0,0,0,0,0,8,1,0,0,2,5,4,4,6,0,0,4,8,0,0,0,0,0,9
Frederick County SO,59339,4609.11,2735,1,6,22,55,7,15,735,6,1,258,1076,100,36,27,17,11,750,123,6,0,0,1,0,48
State Police,,,143,1,0,1,0,0,5,3,0,0,1,27,3,3,9,0,0,4,85,0,0,0,0,0,9
Giles County SO,9910,978.8,97,1,3,0,8,0,6,71,0,0,5,1,0,0,0,0,1,0,0,4,0,0,0,0,6
State Police,,,15,0,1,0,0,0,0,1,0,1,0,4,1,0,0,0,0,1,8,0,0,0,0,0,0
Gloucester County SO,35000,3260,1141,0,2,3,9,3,18,298,13,0,59,432,20,16,19,11,2,309,65,0,2,0,0,0,21
State Police,,,136,0,0,0,0,0,2,4,0,0,0,8,0,0,4,0,0,2,115,0,0,0,0,0,4
Goochland County SO,17200,1180.23,203,1,0,2,3,5,34,5,0,1,14,67,15,5,10,3,2,60,2,1,0,0,0,0,8
State Police,,,30,0,0,0,0,0,0,2,0,0,1,6,0,3,1,0,0,4,13,0,0,0,0,0,1
Grayson County SO,15415,2062.92,318,2,2,0,2,3,8,104,3,0,64,107,7,4,0,1,0,49,24,0,0,0,0,0,20
State Police,,,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,10,0,0,0,0,0,1
Greene County SO,15800,2930.37,463,0,0,5,8,3,15,94,8,0,27,135,11,12,4,3,4,128,63,0,0,0,0,0,11
State Police,,,16,0,0,0,0,0,1,1,0,0,0,2,0,0,2,1,0,0,9,0,0,0,0,0,0
Greensville County SO,11600,1810.34,210,0,0,0,1,2,35,2,0,0,8,108,9,5,1,1,1,23,16,0,0,0,0,0,4
State Police,,,31,0,0,0,0,0,0,1,0,0,0,3,1,3,2,0,0,1,18,0,0,0,0,0,4
Halifax County SO,27520,2347.38,646,2,4,3,12,6,25,151,4,0,74,250,22,4,4,0,0,102,27,0,0,0,0,0,32
State Police,,,106,0,0,0,0,0,3,2,0,0,3,8,4,0,12,0,0,2,79,0,0,0,0,0,4
Hanover County SO,82481,3095.25,2553,0,3,4,23,20,37,517,8,0,132,883,35,55,65,19,9,470,342,6,0,0,0,0,59
State Police,,,133,0,0,0,5,0,9,11,0,0,0,5,1,7,33,0,1,1,48,0,1,0,0,0,21
Henry County SO,57900,4879.1,2825,7,12,16,25,31,164,640,8,0,369,1287,111,76,62,29,2,383,120,4,2,0,0,0,84
State Police,,,138,0,0,0,0,0,13,1,0,0,6,16,22,8,17,0,1,13,36,0,0,0,0,0,17
Highland County SO,2600,1500,39,0,0,0,0,0,0,7,1,0,5,12,2,0,3,0,0,11,1,0,0,0,0,0,0
State Police,,,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1
Isle of Wight County SO,23776,3932.53,935,1,1,5,13,5,8,200,11,0,112,366,30,15,12,0,2,244,18,0,0,0,0,0,19
State Police,,,71,0,0,0,0,0,1,0,0,0,2,0,1,2,18,0,0,0,45,0,0,0,0,0,4
King & Queen County SO 0,6800,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,31,1,0,0,1,0,0,14,1,0,3,3,0,0,0,0,0,2,11,0,0,0,0,0,1
King George County SO,17000,5394.11,917,2,12,3,15,4,25,312,8,0,90,328,23,8,18,1,4,254,37,2,1,0,0,0,23
State Police,,,22,0,0,0,0,0,2,6,0,0,0,4,1,0,1,0,0,1,9,0,0,0,0,0,0
King William County SO,10734,1565.12,168,0,0,2,1,0,3,31,1,0,8,56,5,1,2,2,1,25,40,0,0,0,0,0,7
State Police,,,13,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,0,1
Lancaster County SO,10156,2215.43,225,3,2,2,2,1,10,47,1,0,39,97,11,15,5,0,0,49,11,0,0,0,0,0,3
State Police,,,30,0,1,0,0,1,1,7,0,0,0,2,0,1,2,0,0,0,19,0,0,0,0,0,3
Lee County SO,20624,3743.21,772,2,1,0,3,4,17,199,1,0,126,369,16,1,4,0,0,61,97,0,0,0,0,0,0
State Police,,,30,0,0,0,0,0,0,0,1,0,0,9,3,0,3,0,0,2,12,0,0,0,0,0,0
Loudoun County SO,153673,4280.51,6578,4,24,23,52,32,193,1585,48,1,302,2672,175,133,439,108,38,1583,479,0,1,0,1,0,164
State Police,,,86,0,0,0,0,0,5,5,0,0,2,20,4,3,8,10,0,8,23,0,0,0,0,0,4
Louisa County SO,24999,3956.15,989,0,3,7,13,5,12,165,3,0,119,445,15,6,9,2,1,301,45,3,0,0,0,0,19
State Police,,,35,0,0,0,0,0,3,6,0,0,0,4,1,1,0,0,0,2,18,0,0,0,0,0,4
Lunenburg County SO,10026,2922.4,293,0,1,1,2,0,11,58,8,0,42,81,9,0,14,1,0,66,41,3,0,0,0,0,14
State Police,,,34,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,33,0,0,0,0,0,0
Madison County SO,12600,1904.76,240,0,1,1,7,0,5,75,1,0,32,69,12,5,0,0,0,65,3,1,0,0,0,0,11
State Police,,,32,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,27,0,0,0,0,0,2
Mathews County SO,9300,2967.74,276,0,0,1,3,0,5,67,6,0,26,125,6,2,1,1,2,49,10,0,0,0,0,0,6
State Police,,,19,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0
Mecklenburg County SO,23793,3147.98,749,1,0,4,12,7,33,98,4,0,93,343,38,40,7,0,4,210,7,0,0,0,0,0,18
State Police,,,150,0,0,0,0,1,3,2,0,0,3,4,8,1,9,0,0,4,115,0,0,0,1,0,5
Middlesex County SO,10200,2029.41,207,0,1,2,0,0,5,19,0,0,17,97,7,0,1,0,0,61,6,0,0,0,0,0,3
State Police,,,55,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,51,0,0,0,0,0,0
Montgomery County SO,27780,5489.56,1525,0,5,11,26,2,25,615,5,0,127,433,36,11,27,3,1,285,94,1,7,0,0,0,23
State Police,,,177,0,1,0,1,2,7,2,0,0,0,6,5,2,9,0,0,4,133,0,0,0,0,0,10
Nelson County SO,14400,3180.55,458,2,2,2,12,3,14,98,4,0,79,170,22,10,6,3,1,154,16,0,0,0,0,0,7
State Police,,,26,0,0,0,0,0,1,2,0,0,1,3,3,2,2,0,0,0,13,0,0,0,0,0,0
New Kent County SO,13600,4411.76,600,1,5,4,22,2,14,168,4,0,41,216,9,17,10,4,1,134,40,1,0,0,0,0,18
State Police,,,43,0,0,0,1,0,7,2,0,0,1,4,0,2,0,0,0,1,27,0,0,0,0,1,5
Northampton County SO,10730,4063.37,436,0,6,2,2,5,19,102,0,0,65,198,15,17,5,3,3,72,5,0,0,0,0,0,16
State Police,,,76,0,0,0,0,0,2,3,0,0,1,4,2,1,0,0,0,1,66,0,0,0,0,0,1
Northumberland Co. SO,12400,1766.12,219,0,1,1,0,0,3,18,0,0,28,123,5,1,2,0,0,90,4,0,1,0,0,0,0
State Police,,,10,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,3
Nottoway County SO,9158,2020.09,185,0,0,1,3,0,3,50,1,0,13,66,10,2,1,0,0,36,22,0,2,0,0,0,1
State Police,,,37,1,0,0,0,0,4,3,0,0,0,0,1,0,4,0,0,0,24,0,0,0,0,0,3
Orange County SO,20879,1240.48,259,0,3,3,9,1,10,95,2,0,29,78,16,2,1,0,0,43,19,1,0,0,1,0,13
State Police,,,56,0,0,0,0,0,3,1,0,0,0,1,2,1,8,0,0,1,38,0,0,0,0,0,2
Page County SO,15225,3073.89,468,0,0,3,15,0,17,41,4,0,91,157,15,3,6,2,2,204,30,0,1,0,0,0,12
State Police,,,41,0,0,0,0,0,0,2,0,0,0,1,0,1,13,1,0,1,16,0,0,0,0,0,7
Patrick County SO,19500,3938.46,768,0,8,20,5,4,12,156,7,0,114,340,55,63,56,1,0,166,34,2,0,0,0,0,23
State Police,,,19,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,3,8,0,0,0,0,0,3
Pittsylvania County SO,58529,1698.3,994,4,4,10,33,7,54,345,4,0,155,305,33,25,15,2,1,166,142,4,1,0,0,0,35
State Police,,,160,0,0,0,0,0,3,9,0,0,0,24,50,6,16,0,0,16,38,0,0,0,1,0,11
Powhatan County SO,23000,2000,460,1,1,4,9,3,5,96,5,0,44,168,16,22,5,0,0,81,42,0,0,0,0,0,13
State Police,,,29,0,0,0,1,0,7,5,1,0,0,3,1,1,1,0,0,4,7,0,0,0,0,0,0
Prince Edward County SO,13155,1087.03,143,2,1,2,1,1,6,76,0,0,1,15,1,7,2,0,0,12,17,0,0,0,0,0,16
State Police,,,15,0,0,0,0,0,0,1,0,0,1,2,0,0,5,0,0,1,5,0,0,0,0,0,1
Pulaski County SO,23439,3720.29,872,2,2,7,19,3,11,133,2,0,120,414,17,41,4,10,4,199,67,1,0,0,1,0,14
State Police,,,53,0,0,0,0,0,1,1,0,0,0,22,1,0,1,0,0,1,22,0,1,0,0,0,4
Rappahannock County SO,7000,1828.57,128,1,0,0,7,0,2,39,0,0,13,39,3,5,1,0,1,35,9,0,0,0,0,0,8
State Police,,,23,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,14,4,0,0,0,0,1
Richmond County SO,7525,1421.92,107,1,0,0,0,0,6,35,0,0,11,40,6,4,2,0,1,5,12,1,0,0,0,0,3
State Police,,,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Rockbridge County SO,20154,228.24,46,0,0,1,2,1,0,14,1,0,2,16,2,0,1,0,0,8,2,0,0,0,0,0,2
State Police,,,114,0,1,1,1,1,0,5,1,0,2,33,7,2,8,0,0,10,53,1,0,0,0,0,8
Rockingham County SO,54366,1098.11,597,1,2,7,51,4,13,76,0,1,84,247,18,25,17,4,6,120,71,3,0,0,0,0,27
State Police,,,113,0,1,0,0,2,4,2,0,0,0,24,15,2,10,0,1,15,41,0,1,0,0,0,14
Russell County SO,25682,1865.11,479,0,0,2,3,3,2,72,5,0,69,198,14,5,1,0,2,118,25,1,0,0,0,0,0
State Police,,,130,0,0,0,2,1,0,1,0,0,1,4,2,101,2,0,1,1,16,0,0,0,0,0,0
Scott County SO,20008,3658.53,732,0,2,3,9,1,15,177,11,1,99,353,23,19,12,2,1,185,20,0,0,0,0,0,17
State Police,,,15,0,0,0,0,0,0,0,4,0,0,1,1,0,2,0,0,2,4,0,0,0,0,0,1
Shenandoah County SO,23517,3053.11,718,0,5,2,3,1,16,197,4,0,100,251,13,10,16,2,8,226,28,0,0,0,0,0,14
State Police,,,136,0,0,0,2,0,1,0,0,0,1,7,1,4,15,1,0,5,88,0,0,0,1,0,14
Smyth County SO,22520,3858.79,869,0,0,12,9,0,18,218,13,0,75,281,17,12,15,2,0,195,75,1,0,0,0,1,24
State Police,,,77,0,0,0,1,0,0,0,0,0,0,9,2,1,8,1,0,3,47,0,0,0,0,0,6
Southampton County SO,15710,3857.41,606,0,0,2,6,1,19,120,1,1,71,232,25,17,9,0,2,148,33,1,0,0,0,0,15
State Police,,,27,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,17,0,0,0,0,0,4
Spotsylvania County SO,94400,5114.4,4828,0,9,24,71,29,103,1038,10,1,212,1798,91,94,217,78,4,1097,294,1,3,0,0,2,70
State Police,,,157,0,0,0,0,0,1,12,0,0,3,37,5,5,17,1,1,12,65,0,0,0,0,0,11
Stafford County SO,98000,4482.65,4393,2,8,27,84,18,41,1147,11,1,155,1599,113,75,67,25,11,1157,489,0,3,0,3,0,88
State Police,,,134,0,0,0,1,0,4,6,0,0,0,21,4,5,16,1,2,20,63,0,0,0,0,0,7
Surry County SO,7000,3628.57,254,0,0,2,2,1,23,88,2,0,43,88,5,6,3,0,1,43,9,1,0,0,0,0,3
State Police,,,42,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1
Sussex County SO,10091,4945,499,4,3,1,2,5,40,141,8,0,48,159,14,27,5,2,0,107,15,0,0,0,0,0,15
State Police,,,29,0,0,0,1,1,0,1,0,0,0,0,2,0,2,0,0,1,20,0,0,0,0,0,6
Tazewell County SO,29246,4985.29,1458,1,4,13,8,7,276,287,12,0,148,538,37,90,48,1,10,229,63,0,0,1,0,0,21
State Police,,,56,0,0,0,1,1,1,2,2,0,1,14,2,1,10,0,0,6,15,0,0,0,0,0,3
Warren County SO,18611,2122.4,395,0,1,3,8,1,4,47,1,1,55,177,22,10,7,2,0,100,5,0,0,0,0,0,7
State Police,,,180,0,1,0,0,1,2,1,0,0,0,4,0,0,9,0,0,3,157,0,0,0,0,0,5
Washington County SO,41265,2830.48,1168,2,8,7,7,4,36,221,8,1,82,556,40,37,25,4,2,225,63,0,0,0,0,0,21
State Police,,,53,0,0,0,0,0,0,1,4,0,0,10,1,6,11,1,0,3,16,0,0,0,0,0,0
Westmoreland County SO,13472,2122.92,286,0,0,1,8,4,15,86,3,0,30,95,9,17,14,0,5,55,7,0,0,0,0,0,17
State Police,,,20,0,0,1,2,0,2,4,0,0,1,3,0,0,1,0,0,1,6,0,0,0,0,0,0
Wise County SO,27165,4016.19,1091,2,6,7,14,7,60,567,7,0,97,262,35,11,12,0,1,170,74,0,2,0,1,0,22
State Police,,,47,0,0,0,0,0,0,0,1,1,0,2,4,4,4,3,0,1,27,0,0,0,0,0,0
Wythe County SO,18646,2922.87,545,2,2,3,10,2,6,68,2,0,26,203,6,30,8,0,5,103,135,0,1,0,0,0,29
State Police,,,101,0,0,0,0,0,0,3,0,0,0,50,2,3,6,0,0,3,33,0,0,0,0,0,4
York County SO,58700,4698.46,2758,1,12,3,35,22,69,480,21,1,99,1120,45,40,101,28,12,753,311,1,0,0,0,0,56
State Police,,,240,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,227,0,0,0,0,0,9
