TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Clarksville PD,1329,4589.91,61,0,0,0,0,0,6,3,0,0,0,33,4,0,0,1,0,12,4,0,0,0,0,0,0
Clinchco PD,424,3301.88,14,0,0,0,0,0,3,4,0,0,2,3,0,0,0,0,0,4,3,0,0,0,0,0,0
Clintwood PD,1549,2388.63,37,0,0,0,0,1,0,4,0,0,1,22,0,1,1,0,0,7,0,0,0,0,0,0,0
Coeburn PD,1996,3607.21,72,0,0,0,1,0,9,12,0,0,4,36,1,0,0,0,1,12,1,0,0,0,0,0,0
Colonial Beach PD,3228,6784.38,219,0,1,2,0,5,6,35,1,0,13,75,11,0,0,2,2,51,36,0,0,0,0,0,3
Courtland PD10,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crewe PD,2378,5677.03,135,0,0,0,1,0,7,33,0,0,1,64,1,0,0,0,0,21,9,0,0,0,0,0,0
Culpeper PD0,9664,8391.97,811,0,3,3,7,4,14,220,2,0,23,242,13,64,27,23,1,170,64,1,0,0,0,0,12
Damascus PD0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dayton PD,1344,2678.57,36,0,0,0,0,0,0,6,0,0,0,11,0,0,1,0,1,18,2,0,0,0,0,0,0
Dublin PD,2288,3933.56,90,0,1,0,0,0,2,9,1,0,8,45,1,8,4,2,0,14,5,0,0,0,0,0,2
Dumfries PD,4937,7514.68,371,0,0,3,1,11,18,61,0,0,25,110,26,5,7,2,0,90,44,0,0,0,1,0,9
Edinburg PD,813,246,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Elkton PD,2042,342.8,7,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,2,2,0,0,0,0,0,0
Exmore PD8,1136,7922.53,90,0,0,0,0,4,2,4,0,0,7,52,2,0,1,5,0,19,0,0,0,0,1,0,0
Farmville PD,6845,3739.95,256,1,2,1,2,3,8,31,0,0,2,124,8,9,0,0,0,36,19,0,0,0,0,0,12
Fries PD 11,614,325.73,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Front Royal PD,13589,10927.95,1485,0,1,7,17,9,10,383,2,0,67,520,49,49,29,6,0,419,22,0,0,0,0,0,21
Gate City PD,2159,3890.69,84,0,0,2,0,0,0,14,0,0,6,29,3,5,1,0,0,33,2,0,0,0,0,0,1
Glade Springs PD10,1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glasgow PD,1046,478.01,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0
Glen Lyn PD0,151,16556.29,25,0,0,0,0,0,1,6,2,0,1,12,0,2,0,0,0,6,0,0,0,0,0,0,0
Gordonsville PD11,1498,3471.29,52,0,0,0,1,0,4,10,0,0,5,16,0,2,4,3,0,8,5,0,0,0,0,0,1
Gretna PD,1257,2625.29,33,0,0,0,0,0,1,4,1,0,1,12,4,1,0,0,0,11,1,0,0,0,0,0,0
Grottoes PD 1,2114,1702.93,36,0,0,0,0,0,0,2,0,0,1,10,0,0,1,1,0,5,18,0,0,0,0,0,1
Grundy PD,1105,1357.46,15,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,2,5,0,0,0,0,0,0
Halifax PD0,1389,1655.86,23,0,0,0,0,2,0,4,0,0,2,8,2,1,0,0,2,4,2,0,0,0,0,0,0
Haymarket PD,879,3299.2,29,0,0,0,0,0,0,2,0,0,1,17,1,1,1,0,0,6,2,0,0,0,0,0,0
Haysi PD 0,186,537.63,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Herndon PD,21655,5670.74,1228,0,2,6,7,18,34,326,1,1,21,567,43,12,29,9,10,224,83,0,1,0,0,0,35
Hillsville PD0,2607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honaker PD,945,4761.9,45,0,0,0,0,0,2,6,1,0,14,26,1,0,0,0,0,10,0,0,0,0,0,0,0
Hurt PD,1276,1253.91,16,0,0,0,1,1,1,3,0,0,0,8,0,1,0,0,0,1,0,0,0,0,0,0,0
Independence PD,971,926.87,9,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
Jonesville PD,995,4321.6,43,0,0,0,0,5,3,4,0,0,9,15,2,0,0,0,0,12,1,0,0,0,0,0,0
Kenbridge PD,1253,6624.1,83,0,0,2,1,0,2,18,0,0,10,31,5,5,3,0,0,12,5,0,1,0,0,0,7
Kilmarnock PD 0,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaCrosse PD 0,618,3236.24,20,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,1,11,3,0,0,0,0,0,1
Lawrenceville PD,1275,3921.56,50,0,0,0,0,0,1,5,1,0,2,26,1,2,0,0,0,9,4,0,0,0,0,0,1
Lebanon PD,3273,4521.84,148,0,0,0,2,2,2,31,4,0,12,53,5,9,1,0,0,37,5,0,0,0,0,0,3
Leesburg PD,28311,7968.63,2256,0,12,13,12,15,51,661,18,3,67,724,62,43,83,33,13,550,257,2,3,0,3,0,52
Louisa PD 0,1401,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luray PD,4871,1888.72,92,0,0,0,0,0,0,1,0,0,15,64,4,2,2,0,0,26,2,0,0,0,0,0,0
Marion PD,6349,5528.42,351,0,0,0,4,1,17,41,0,0,9,148,16,21,6,2,1,83,20,0,0,0,0,0,4
McKenney PD 0,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleburg PD,632,4905.06,31,0,0,0,1,0,1,5,0,0,1,19,0,1,1,0,0,4,0,0,0,0,0,0,0
Middletown PD,1015,3448.27,35,0,0,0,0,0,1,5,0,0,3,17,0,0,0,0,0,11,1,0,0,0,0,0,0
Mt. Jackson PD,1664,3605.76,60,0,0,0,0,0,0,10,0,0,3,28,3,10,0,0,2,8,4,0,0,0,0,0,0
Narrows PD 11,2111,1279.01,27,0,0,1,0,1,4,4,0,0,2,8,0,0,1,0,0,5,5,0,0,0,0,0,0
New Market PD,1637,3176.54,52,0,0,0,2,0,9,4,0,0,5,27,2,1,0,2,2,7,1,0,0,0,0,0,1
Occoquan PD,759,2371.54,18,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,7,0,0,0,0,0,0,0
Onancock PD,1525,2229.5,34,0,0,0,0,0,2,7,0,0,3,14,2,1,0,0,0,4,2,0,0,0,0,0,0
Onley PD,496,13508.06,67,0,0,0,0,0,2,2,0,0,3,36,2,5,2,2,0,5,12,1,0,0,0,0,0
Orange PD ,4123,4001.94,165,0,0,3,3,1,3,33,1,0,10,91,3,0,2,10,0,18,4,1,0,0,0,0,2
Parksley PD ,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pearisburg PD ,2729,3297.91,90,0,0,0,2,0,0,11,0,0,1,27,3,7,3,1,0,27,5,1,0,0,0,0,2
Pembroke PD ,1134,529.1,6,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0
Pennington Gap PD0 ,1781,1403.7,25,0,0,1,0,0,2,3,0,0,4,14,0,0,0,0,0,3,0,0,0,0,0,0,0
Pocahontas PD ,441,5442.17,24,0,0,0,0,4,6,6,1,0,1,2,2,0,0,0,0,5,0,0,0,0,0,0,0
Pound PD ,1089,7438.01,81,2,0,0,2,0,9,11,0,0,2,29,4,1,0,0,1,27,9,0,0,0,0,0,2
Pulaski PD ,9473,10545.76,999,1,1,9,17,6,22,151,5,0,85,446,17,58,26,5,12,216,161,1,0,0,0,0,21
Purcellville PD ,3584,1227.67,44,0,0,0,0,1,1,2,1,0,3,18,2,0,1,1,1,18,0,0,0,0,0,0,0
Quantico PD ,561,4634.58,26,0,0,0,0,0,5,8,0,0,3,1,2,0,0,0,0,8,2,0,0,0,0,0,0
Rich Creek PD0,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richlands PD ,4144,8132.23,337,0,0,1,2,0,11,46,6,1,40,145,6,38,29,2,1,67,38,0,0,0,0,0,4
Rocky Mount PD ,4066,8976.88,365,0,0,2,4,1,15,61,1,0,27,143,5,4,24,3,1,74,38,0,1,0,0,0,15
Rural Retreat PD0 ,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saltville PD ,2204,7622.5,168,0,0,1,1,0,11,27,0,0,17,59,5,4,0,0,2,56,9,0,0,0,0,0,2
Shenandoah PD ,1878,3887.11,73,0,0,1,0,0,0,12,0,0,0,21,1,3,0,0,0,18,23,0,0,0,0,0,2
Smithfield PD ,6324,11733.08,742,0,0,1,6,9,15,174,0,0,32,275,30,20,10,3,3,218,27,0,1,0,0,0,20
South Boston PD ,8491,7407.84,629,5,0,6,1,15,22,114,0,0,50,274,12,24,6,11,1,118,34,0,0,0,1,0,17
South Hill PD ,4403,6540.99,288,1,0,0,3,2,23,33,2,0,13,152,11,4,1,4,0,64,3,1,0,0,0,0,2
St. Paul PD ,1000,2300,23,0,0,0,0,1,4,3,0,0,2,8,5,0,0,0,0,1,0,0,0,0,0,0,0
Stanley PD ,1326,980.39,13,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0
Stephens City PD ,1146,7068.06,81,0,0,0,1,0,0,31,1,0,3,26,2,2,3,0,0,22,1,0,0,0,0,0,0
Strasburg PD ,4017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tappahannock PD ,2068,14361.7,297,1,0,2,0,1,0,46,1,0,20,130,9,32,14,2,1,54,28,0,0,0,0,0,4
Tazewell PD ,4206,7227.76,304,0,0,1,4,0,5,50,1,0,28,128,6,16,8,2,0,85,12,0,0,0,0,0,2
Timberville PD ,1739,1265.09,22,0,0,0,0,0,1,6,0,0,2,12,0,0,1,0,0,3,3,0,0,0,0,0,1
Victoria PD ,1821,4393.19,80,0,0,2,0,1,18,11,1,0,4,27,7,4,0,0,0,3,8,0,0,0,1,0,5
Vienna PD ,14453,3667.05,530,0,0,1,0,7,9,82,1,0,18,215,9,11,36,5,0,139,27,0,0,0,0,0,5
Vinton PD ,7782,6515.03,507,0,1,3,5,2,12,158,1,0,23,196,15,6,9,4,2,94,63,0,0,0,1,0,8
Warrenton PD ,6670,5667.16,378,1,0,2,1,3,12,80,0,0,10,142,6,3,12,4,0,100,33,0,0,0,0,0,2
Warsaw PD ,1375,1890.9,26,0,0,1,0,0,1,3,0,0,4,15,1,2,0,0,0,4,0,0,0,0,0,0,1
Waverly PD ,2309,1775.66,41,0,0,1,0,0,2,7,0,0,5,9,2,0,0,0,1,13,1,0,0,0,0,0,0
Weber City PD ,1333,6001.5,80,0,0,0,2,0,3,6,0,1,6,33,1,14,1,0,1,17,4,0,0,0,0,0,0
West Point PD ,2866,7117.93,204,0,1,3,3,2,4,47,0,0,12,81,4,8,8,3,1,43,10,0,0,0,0,0,3
Wise PD ,3255,6420.89,209,0,1,1,0,0,5,28,0,0,15,95,4,16,2,2,1,44,32,0,0,0,0,0,3
Woodstock PD ,3952,2808.7,111,1,0,1,3,0,5,24,0,0,6,39,5,16,10,4,2,7,3,1,0,0,0,0,1
Wytheville PD ,7804,9238.85,721,2,1,5,6,0,18,129,4,0,56,327,20,29,18,5,1,198,14,0,0,0,0,0,10
