Date,Offense,Street,Sub,Zip,Area
7/13/2003,POSSESSION OF MARIJUANA,BYPASS ROAD,229,23185,300
7/23/2003,RECOVERED VEHICLE-STOLEN OTHER JURISDICTION,BYPASS ROAD,229,23185,300
7/25/2003,RECOVERED VEHICLE-STOLEN OTHER JURISDICTION,BYPASS ROAD,229,23185,300
11/25/2003,ROBBERY,BYPASS ROAD,229,23185,300
10/18/2003,THREATEN BODILY HARM,BYPASS ROAD,229,23185,300
4/5/2003,THREATS TO BOMB OR DAMAGE BUILDING,BYPASS ROAD,229,23185,300
3/7/2003,TRESPASSING,BYPASS ROAD,229,23185,300
11/25/2003,USE OR DISPLAY FIREARM IN COMMISSION OF FELONY,BYPASS ROAD,229,23185,300
1/31/2003,VIOLATE PROTECTIVE ORDERS,BYPASS ROAD,229,23185,300
10/22/2003,"DAMAGE PROPERTY, PRIVATE",BYPASS ROAD & PALACE LANE,229,23185,300
11/30/2003,RECKLESS - GENERAL,BYPASS ROAD & WALLER MALL,229,23185,300
12/29/2003,GRAND LARCENY,CABERNET ROAD,217,23185,300
12/29/2003,GRAND LARCENY,CABERNET ROAD,217,23185,300
12/27/2003,"BURGLARY, RESIDENTIAL",CAMERON CIRCLE,256,23185,300
12/27/2003,GRAND LARCENY,CAMERON CIRCLE,256,23185,300
12/27/2003,TRESPASSING,CAMERON CIRCLE,256,23185,300
9/6/2003,OBSCENE/THREATENING PHONE CALL,CANDLESTICK PLACE,226,23185,300
3/10/2003,GRAND LARCENY,CATABULA COURT,150,23185,300
1/5/2003,"ASSAULT, SIMPLE, DOMESTIC",CATESBY LANE,125,23185,300
7/24/2003,PEEPING INTO OCCUPIED DWELLING,CATESBY LANE,125,23185,300
11/28/2003,CITIZEN REQUESTED ASSISTANCE,CHARLES RIVER LANDING ROAD,162,23185,300
10/24/2003,FORGERY BY CHECK,COBBLE STONE,34,23185,300
10/24/2003,PETIT LARCENY,COBBLE STONE,34,23185,300
1/31/2003,"ASSAULT, SIMPLE",COBBLESTONE,34,23185,300
12/4/2003,ATTEMPTED SUICIDE,COBBLESTONE,34,23185,300
6/18/2003,IDENTITY FRAUD > $200 OR IMPRISONMENT OF VICTIM,COBBLESTONE,34,23185,300
5/9/2003,CREDIT CARD FRAUD,COLONIAL AVENUE,135,23185,300
5/9/2003,CREDIT CARD THEFT,COLONIAL AVENUE,135,23185,300
12/5/2003,"DAMAGE PROPERTY, PRIVATE",COLONIAL AVENUE,135,23185,300
10/14/2003,MAIMING,COLONIAL AVENUE,135,23185,300
8/22/2003,CITIZEN REQUESTED ASSISTANCE,COMMONS WAY,227,23185,300
12/7/2003,CITIZEN REQUESTED ASSISTANCE,COMMONS WAY,227,23185,300
12/8/2003,CITIZEN REQUESTED ASSISTANCE,COMMONS WAY,227,23185,300
1/15/2003,GRAND LARCENY,COMMONS WAY,227,23185,300
9/2/2003,GRAND LARCENY,COMMONS WAY,227,23185,300
11/24/2003,PETIT LARCENY,COMMONS WAY,227,23185,300
5/5/2003,TRESPASSING,COPSE WAY,162,23185,300
9/23/2003,GRAND LARCENY,COTTAGE COVE LANE,265,23185,300
5/8/2003,LOST PROPERTY,COTTAGE COVE LANE,265,23185,300
5/27/2003,"ASSAULT, SIMPLE, DOMESTIC",CREEDMOOR COURT,116,23185,300
5/27/2003,"ASSAULT, SIMPLE, DOMESTIC",CREEDMOOR COURT,116,23185,300
5/27/2003,CITIZEN REQUESTED ASSISTANCE,CREEDMOOR COURT,116,23185,300
2/12/2003,"ASSAULT, SIMPLE, DOMESTIC",CREEDMOR COURT,116,23185,300
1/9/2003,OVERDOSE,CREEDMORE COURT,116,23185,300
8/15/2003,ARSON,CUSTIS DRIVE,244,23185,300
3/27/2003,PETIT LARCENY,DENNIS DRIVE,162,23185,300
6/27/2003,CITIZEN REQUESTED ASSISTANCE,DODGE DRIVE,137,23185,300
3/9/2003,OBSCENE/THREATENING PHONE CALL,DODGE DRIVE,137,23185,300
6/11/2003,"ASSAULT, SIMPLE, DOMESTIC",DOUGLAS DRIVE,20,23185,300
1/2/2003,ATTEMPTED SUICIDE,DOUGLAS DRIVE,20,23185,300
1/9/2003,CITIZEN REQUESTED ASSISTANCE,DOUGLAS DRIVE,20,23185,300
4/11/2003,CITIZEN REQUESTED ASSISTANCE,DOUGLAS DRIVE,20,23185,300
12/8/2003,CITIZEN REQUESTED ASSISTANCE,DOUGLAS DRIVE,20,23185,300
6/11/2003,OBSTRUCTING JUSTICE,DOUGLAS DRIVE,20,23185,300
6/28/2003,SEXUAL BATTERY,DOUGLAS DRIVE,20,23185,300
8/9/2003,CITIZEN REQUESTED ASSISTANCE,DREW ROAD,20,23185,300
11/25/2003,DISORDERLY CONDUCT,DREW ROAD,20,23185,300
2/25/2003,"BURGLARY, RESIDENTIAL",DUNCAN DRIVE,244,23185,300
10/25/2003,CITIZEN REQUESTED ASSISTANCE,DUNCAN DRIVE,244,23185,300
7/5/2003,"DAMAGE PROPERTY, PRIVATE",DUNCAN DRIVE,244,23185,300
6/24/2003,"DAMAGE PROPERTY, PRIVATE",DUNCAN DRIVE,244,23185,300
2/25/2003,GRAND LARCENY,DUNCAN DRIVE,244,23185,300
11/7/2003,PETIT LARCENY,E MAYNOR DRIVE,244,23185,300
8/11/2003,"BURGLARY, BUSINESS",E QUEENS,162,23185,300
8/11/2003,"DAMAGE PROPERTY, BUSINESS",E QUEENS,162,23185,300
8/11/2003,PETIT LARCENY,E QUEENS,162,23185,300
5/30/2003,"BURGLARY, RESIDENTIAL",EDALE AVENUE,135,23185,300
5/30/2003,PETIT LARCENY,EDALE AVENUE,135,23185,300
