TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Bowling Green PD ,1115,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boykins PD ,559,6082.28,34,0,1,0,0,0,0,8,0,0,2,12,0,1,1,0,0,11,2,0,0,0,1,0,0
Bridgewater PD ,5660,1431.09,81,0,0,1,0,0,2,8,0,0,8,27,1,4,3,0,0,14,17,0,0,0,0,0,4
Broadway PD ,3704,350.97,13,0,0,0,0,0,1,4,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0
Brookneal PD ,1115,2242.15,25,0,0,0,0,0,0,1,0,0,1,16,0,0,3,0,0,2,2,0,0,0,0,0,0
Burkeville PD ,432,2546.29,11,0,0,0,1,0,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0
Cape Charles PD ,1008,1785.71,18,0,0,2,0,0,0,2,0,0,1,5,1,0,1,0,0,4,2,0,0,0,0,0,0
Cedar Bluff PD 9 ,1128,531.91,6,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,3,0,0,0,0,0,0
Chase City PD ,2342,6233.98,146,0,1,0,1,2,2,12,0,0,10,62,3,4,6,1,0,39,15,0,0,0,0,0,1
Chatham PD ,1258,1351.35,17,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,4,0,0,0,0,0,0,0
Chilhowie PD ,1772,4853.27,86,0,0,0,0,0,0,7,0,0,5,51,2,5,4,0,1,8,11,0,0,0,0,0,1
Chincoteague PD ,2956,5175.91,153,0,0,1,2,1,4,29,0,0,5,51,6,2,8,1,1,17,46,0,0,0,0,0,4
Christiansburg PD ,21030,7299.09,1535,0,5,7,18,4,19,449,4,0,82,578,12,18,114,21,4,149,238,1,9,0,0,0,28
Clarksville PD ,1136,4313.38,49,0,0,0,0,0,2,1,0,0,7,21,0,5,5,0,0,10,4,0,0,0,0,0,1
Clifton Forge PD ,3866,4526.64,175,0,1,1,5,0,5,46,0,0,13,73,2,0,7,0,0,32,15,0,1,0,0,0,0
Clintwood PD ,1399,3859.89,54,0,0,0,0,0,1,11,1,0,7,28,0,1,1,1,0,3,4,0,0,0,0,0,0
Coeburn PD ,2144,8582.08,184,0,0,3,1,2,6,26,0,0,15,64,3,7,3,1,3,19,49,0,0,0,0,0,10
Colonial Beach PD ,3570,2605.04,93,1,0,2,0,0,5,19,0,0,2,28,2,1,1,1,0,16,18,1,1,0,0,0,3
Crewe PD ,2325,7612.9,177,0,1,3,0,2,2,19,0,0,11,53,5,1,5,0,0,51,38,0,0,0,1,0,0
Culpeper PD ,16662,8570.39,1428,0,11,8,20,13,24,378,0,1,32,519,23,23,114,7,7,241,169,1,0,0,4,0,20
Damascus PD ,813,11685.11,95,0,0,1,0,0,6,3,0,0,1,20,4,1,3,1,0,6,59,0,0,0,0,0,4
Dayton PD ,1535,2149.83,33,0,0,0,0,0,0,4,0,0,1,7,0,1,4,0,0,13,5,0,0,0,0,0,0
Dublin PD ,2519,4406.51,111,0,0,0,0,0,2,22,0,0,8,50,2,5,4,0,0,20,2,0,0,0,0,0,1
Dumfries PD ,5170,4216.63,218,0,0,0,0,1,3,59,0,0,9,60,6,9,3,1,1,47,35,0,0,0,0,0,1
Edinburg PD ,1047,1241.64,13,0,0,0,0,0,0,2,0,0,4,3,1,1,0,0,1,1,2,0,0,0,0,0,0
Elkton PD ,2737,3470.95,95,0,0,0,1,0,0,14,0,0,7,31,5,4,0,0,1,22,21,1,0,0,0,0,3
Exmore PD ,1458,7613.16,111,0,0,0,0,3,3,8,0,0,4,53,6,2,5,2,0,16,12,3,0,0,0,0,4
Farmville PD ,8207,9296.94,763,0,0,3,5,2,6,120,1,1,34,334,10,12,18,5,1,138,86,1,2,0,0,0,12
Front Royal PD ,14558,7713.97,1123,0,3,6,15,5,8,281,1,1,51,434,20,17,53,9,0,217,114,1,0,0,0,0,10
Gate City PD ,2043,6510.03,133,0,3,2,1,0,2,27,0,0,15,32,1,1,6,0,0,23,35,0,0,0,0,0,3
Glade Spring PD ,1456,618.13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0
Glasgow PD ,1137,615.65,7,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Glen Lyn PD ,114,14912.28,17,0,0,0,0,0,0,1,0,0,3,3,1,2,2,0,0,2,5,0,0,0,0,0,0
Gordonsville PD ,1517,3427.81,52,0,0,0,0,1,3,10,0,0,2,11,2,2,1,0,0,16,5,0,0,0,0,0,1
Gretna PD ,1254,2232.85,28,0,0,0,0,0,0,2,0,0,1,16,2,1,0,0,0,7,0,0,0,0,0,0,0
Grottoes PD ,2678,2464.52,66,0,0,0,0,0,2,10,0,0,2,30,2,2,2,0,0,17,8,0,0,0,0,0,2
Grundy PD ,996,2811.24,28,0,0,0,0,0,0,2,0,0,0,15,1,2,1,0,0,8,1,0,0,0,0,0,0
Halifax PD ,1303,1841.9,24,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,11,5,0,0,0,0,0,0
Haymarket PD ,1857,2961.76,55,0,0,0,0,0,1,4,0,0,1,26,0,3,5,0,0,6,15,0,0,0,0,0,0
Haysi PD ,490,4285.71,21,0,0,0,1,0,0,1,1,0,7,8,1,0,1,0,0,1,1,0,0,0,0,0,0
Herndon PD ,23705,4053.99,961,0,4,5,9,5,18,183,0,1,27,335,8,8,57,0,1,211,115,2,2,0,4,0,6
Hillsville PD ,2675,6504.67,174,0,0,1,1,2,4,29,0,0,8,79,1,11,8,0,0,22,16,0,0,0,0,0,4
Honaker PD ,1441,763.35,11,0,1,0,0,0,0,5,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1
Hurt PD ,1290,1240.31,16,1,0,0,0,0,0,1,0,0,1,2,2,0,0,0,1,1,7,1,0,0,0,0,1
Independence PD ,936,2136.75,20,0,0,0,0,0,2,1,0,0,0,11,1,0,3,0,0,1,4,0,0,0,0,0,0
Jonesville PD ,1015,4137.93,42,0,0,0,0,1,3,10,0,0,3,18,0,0,0,0,0,3,6,0,0,0,0,0,0
Kenbridge PD ,1253,1596.16,20,0,0,0,0,0,1,10,0,0,0,4,0,3,1,0,0,2,1,0,0,0,0,0,0
Kilmarnock PD ,1475,4135.59,61,1,0,0,0,0,1,2,0,0,8,30,0,5,4,5,1,6,1,0,0,0,0,0,0
LaCrosse PD ,602,1162.79,7,0,0,0,1,0,0,1,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0
Lawrenceville PD ,1423,4075.89,58,0,0,0,0,0,1,10,0,0,7,22,1,2,2,0,0,8,5,0,0,0,0,0,2
Lebanon PD ,3427,7207.47,247,0,0,1,4,2,7,31,0,0,5,144,2,5,15,1,0,22,27,0,0,0,0,0,2
Leesburg PD ,44400,5436.93,2414,1,4,11,29,21,42,637,7,1,46,939,19,34,219,29,10,362,328,4,8,0,3,1,19
Louisa PD ,1566,6513.4,102,0,0,0,0,1,1,15,1,0,10,45,1,10,6,1,0,13,5,0,0,0,0,0,2
Luray PD ,4878,5637.55,275,0,0,2,2,3,1,45,0,0,25,114,1,5,16,3,0,62,10,0,0,0,0,0,1
Marion PD ,5936,8221.02,488,0,7,0,10,5,19,92,4,0,31,163,9,10,39,6,4,62,83,0,0,0,0,0,15
Middleburg PD ,701,2995.72,21,0,0,0,0,0,1,3,0,0,0,9,0,1,1,1,0,6,1,0,0,0,0,0,0
Middletown PD ,1288,4270.18,55,0,0,0,2,0,1,11,0,0,4,22,0,0,0,0,0,13,4,0,0,0,0,0,0
Mt. Jackson PD ,2009,1941.26,39,0,0,0,1,0,1,8,0,0,5,14,1,1,2,2,0,4,1,0,0,0,0,0,0
Narrows PD ,2011,2187.96,44,0,0,1,2,0,4,8,0,0,3,17,0,1,2,0,0,9,2,0,0,0,0,0,1
New Market PD ,2161,1943.54,42,0,0,0,0,0,1,7,0,0,5,19,0,2,3,1,0,7,1,1,0,0,0,0,0
Occoquan PD ,975,1230.76,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0
Onancock PD ,1270,4409.44,56,0,0,2,0,0,0,10,0,0,3,13,0,0,0,0,0,25,3,0,0,0,0,0,0
Onley PD ,518,1737.45,9,0,0,0,0,0,0,4,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0
Orange PD ,4778,6132.27,293,0,0,1,1,1,1,59,0,0,12,118,2,7,24,9,0,48,49,0,0,0,0,0,2
Parksley PD ,845,3076.92,26,0,0,1,0,1,0,6,0,0,1,11,1,0,0,0,0,6,0,0,0,0,0,0,0
Pearisburg PD ,2761,6157.18,170,0,0,1,0,0,1,9,1,0,4,94,0,5,16,8,0,9,32,0,0,0,0,0,3
Pembroke PD ,1116,5465.94,61,0,0,0,2,0,1,9,0,0,6,31,0,2,5,1,0,7,2,0,0,0,0,0,0
Pennington Gap PD ,1837,6532.38,120,0,0,0,0,1,0,16,2,0,17,56,0,0,0,0,0,15,20,0,0,0,1,0,1
Pocahontas PD ,385,1038.96,4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pound PD ,1040,3076.92,32,0,0,0,0,0,1,6,0,0,5,10,1,0,0,1,0,11,1,1,0,0,0,0,2
Pulaski PD ,9017,9604.08,866,0,7,3,12,7,25,121,2,0,57,282,10,69,102,32,2,152,171,0,4,0,0,0,22
Purcellville PD ,8043,1976.87,159,0,0,1,1,0,3,42,0,0,3,55,2,1,18,0,2,20,24,0,0,0,1,0,3
Quantico PD4 ,501,798.4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Remington PD11 ,606,1320.13,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,1
Rich Creek PD ,768,1953.12,15,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,6,5,0,0,0,0,0,0
Richlands PD ,5775,7463.2,431,0,1,0,2,4,5,64,3,0,49,216,4,20,29,2,3,62,47,0,0,0,0,0,4
Rocky Mount PD ,4820,8049.79,388,0,0,2,4,0,12,47,0,0,17,192,4,3,16,4,0,42,71,0,1,0,0,0,5
Rural Retreat PD ,1482,944.66,14,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,5,0,0,0,0,0,0,0
Saltville PD ,2066,6050.33,125,0,1,0,1,0,2,21,0,0,19,47,2,2,3,0,1,18,17,0,0,0,0,0,1
Shenandoah PD ,2366,4099.74,97,0,0,0,0,0,3,13,0,0,17,36,2,0,2,1,1,11,13,0,0,0,0,0,1
Smithfield PD ,8108,4181.05,339,1,1,0,0,4,9,81,1,0,8,92,4,10,18,1,1,77,53,0,0,0,4,0,6
South Boston PD ,8102,10441.86,846,0,2,1,3,8,21,177,1,0,76,329,13,11,35,13,0,153,55,0,0,0,0,0,12
South Hill PD ,4635,7745.41,359,0,0,2,3,6,12,85,0,0,18,159,14,3,5,6,2,65,0,0,0,0,0,0,3
St. Paul PD ,974,5441.47,53,0,0,1,0,0,3,4,0,0,3,30,0,2,0,0,0,8,7,0,0,0,0,0,1
Stanley PD ,1683,2733.21,46,0,0,1,0,0,0,7,0,0,5,25,1,0,0,0,0,3,5,0,1,0,0,0,0
Stephens City PD ,1860,5053.76,94,0,0,1,0,0,0,37,0,0,2,35,1,2,1,0,0,20,0,0,1,0,0,0,0
Strasburg PD ,6443,3290.39,212,0,0,0,5,1,7,27,1,0,6,81,0,2,13,0,0,58,21,0,0,0,0,0,3
Tappahannock PD ,2385,13920.33,332,0,4,3,1,2,6,40,0,0,25,122,1,11,21,3,2,47,72,0,0,0,0,0,7
Tazewell PD ,4589,6537.37,300,0,1,1,1,0,6,60,1,0,38,87,2,42,8,0,3,42,35,0,0,0,0,0,3
Timberville PD ,2532,789.88,20,0,0,0,0,0,0,5,0,0,1,7,0,0,0,0,1,8,0,0,0,0,0,0,0
Victoria PD ,1720,2790.69,48,0,0,0,0,1,6,18,2,0,4,12,1,0,1,0,0,11,3,0,0,0,0,0,1
Vienna PD ,15964,3263.59,521,0,0,1,1,3,2,90,0,1,30,153,5,8,63,1,1,123,69,0,2,0,4,0,6
Vinton PD ,8130,9544.89,776,0,0,1,4,2,33,216,0,0,23,220,5,16,78,3,0,159,79,0,4,0,0,0,13
Warrenton PD ,9735,5701.07,555,0,3,3,9,4,15,93,0,2,17,172,2,12,36,6,0,122,86,0,2,0,1,0,5
Warsaw PD ,1507,2189.78,33,0,0,0,0,0,0,4,0,0,2,14,1,1,2,0,0,7,6,0,0,0,0,0,0
Waverly PD ,2150,3162.79,68,0,2,1,0,0,5,10,1,0,3,18,1,1,2,2,0,17,12,0,0,0,0,0,4
Weber City PD ,1315,3726.23,49,0,0,0,0,1,0,3,0,0,0,16,0,2,0,0,0,6,24,0,0,0,0,0,2
West Point PD ,3315,3921.56,130,0,0,1,1,0,1,28,0,0,18,34,4,6,11,0,1,28,10,0,0,0,0,0,6
White Stone PD ,348,2011.49,7,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0
Windsor PD ,2633,4595.51,121,0,0,0,0,0,3,27,0,0,13,44,0,1,4,0,0,15,13,0,0,0,0,0,2
Wise PD ,3296,4824.02,159,0,0,0,1,1,8,27,0,0,9,71,4,6,10,3,2,27,21,0,0,0,0,0,2
Woodstock PD ,5132,6878.4,353,0,3,3,9,1,5,38,1,0,19,160,7,14,35,5,2,57,60,2,4,0,0,0,3
Wytheville PD ,8203,4376.44,359,0,2,0,3,5,11,36,0,0,7,147,5,20,32,2,2,53,75,1,1,0,0,0,7
