COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
State Police,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Charlotte County SO,12560,2898.08,364,1,0,4,2,3,15,100,2,0,47,89,1,1,8,0,1,34,91,0,1,0,0,0,3
State Police,,,68,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,62,0,0,0,0,0,0
Clarke County SO,10024,3451.71,346,0,0,1,1,0,15,123,3,2,40,96,6,3,25,1,5,16,34,0,1,0,0,0,18
State Police,,,20,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,15,0,0,0,0,0,1
Craig County SO,5258,1103.08,58,0,0,0,0,0,5,30,0,0,1,6,0,0,0,0,1,5,6,0,0,0,0,0,4
State Police,,,27,0,0,0,4,0,1,1,0,0,1,4,0,1,4,0,0,0,12,0,0,0,0,0,0
Culpeper County SO,31070,3224.97,1002,0,5,5,12,1,19,318,1,0,67,220,23,12,88,2,2,164,172,1,6,0,4,0,25
State Police,,,48,1,0,0,0,0,1,3,0,0,0,1,0,0,4,1,0,2,36,0,0,0,0,0,0
Cumberland County SO,10145,1843.27,187,0,0,0,1,0,19,68,1,0,18,39,6,3,2,0,1,26,28,1,0,0,0,0,7
State Police,,,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0,1
Dickenson County SO,13858,2099.87,291,1,2,0,9,0,6,88,0,0,9,122,11,4,8,0,2,28,32,0,0,0,0,0,10
State Police,,,36,0,0,1,2,0,2,1,4,0,0,8,2,1,5,2,0,1,9,0,0,0,0,0,0
Dinwiddie County SO,28314,3235.14,916,2,8,8,19,6,35,128,3,0,113,359,30,19,64,8,2,131,143,0,1,0,0,0,31
State Police,,,40,0,1,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,37,0,0,0,0,0,1
Essex County SO,8817,2483.83,219,0,1,1,7,0,16,50,0,0,38,46,5,1,10,0,2,50,23,0,0,0,0,0,7
State Police,,,12,0,0,0,0,0,2,2,0,0,0,2,1,0,4,0,0,3,1,0,0,0,0,0,1
Fauquier County SO,55790,3620.72,2020,2,3,9,51,4,17,482,10,0,95,426,30,19,158,10,1,429,544,0,5,0,1,2,53
State Police,,,92,0,0,0,0,0,0,2,0,0,0,1,0,1,5,0,2,0,81,0,0,0,0,0,0
Floyd County SO,15542,2046.06,318,0,1,3,2,0,7,44,2,0,29,110,6,4,15,1,0,61,42,0,2,0,1,0,11
State Police,,,36,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,35,0,0,0,0,0,2
Fluvanna County SO,26033,2154.95,561,0,4,3,9,0,13,179,4,0,57,144,7,3,45,5,1,118,44,1,2,0,0,0,6
State Police,,,14,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,12,0,0,0,0,0,0
Franklin County SO,51796,2370.83,1228,0,0,6,11,3,28,203,1,0,129,435,40,16,64,4,1,228,176,1,5,0,0,0,26
State Police,,,51,0,0,1,1,0,4,2,0,0,1,5,2,1,9,1,0,3,22,0,0,0,0,0,2
Frederick County SO,76970,4475.76,3445,2,7,27,46,11,43,1076,2,0,296,1199,89,59,149,21,13,736,269,3,19,0,1,0,61
State Police,,,168,0,0,0,0,0,1,1,0,0,0,3,0,0,0,1,0,14,149,0,0,0,0,0,4
Giles County SO,10716,3788.72,406,0,4,3,7,0,4,63,0,0,29,96,6,9,8,3,1,41,162,0,3,0,0,0,12
State Police,,,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0
Gloucester County SO,36976,4102.66,1517,2,2,8,9,6,16,462,3,0,89,604,10,12,95,11,1,172,185,0,6,0,0,0,11
State Police,,,96,0,1,0,0,0,1,3,0,0,0,4,1,1,10,1,1,1,78,0,0,0,0,0,3
Goochland County SO,21169,2130.47,451,2,0,0,0,0,14,82,0,0,50,163,7,10,56,7,3,80,43,0,0,0,0,0,13
State Police,,,21,0,0,0,3,0,0,1,0,0,1,2,0,0,0,0,0,0,16,0,0,0,0,0,2
Grayson County SO,14445,2907.58,420,1,1,2,5,1,10,90,6,0,35,118,13,11,29,1,2,64,67,0,3,0,0,0,14
State Police,,,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0
Greene County SO,18856,3701.73,698,0,1,8,4,0,11,247,2,0,30,211,9,2,34,9,0,156,64,0,2,0,1,0,7
State Police,,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
Greensville County SO,12136,2529.66,307,0,1,1,4,0,13,49,1,0,35,79,6,2,14,0,1,44,83,0,0,0,0,0,7
State Police,,,21,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,0,18,0,0,0,0,0,0
Halifax County SO,26837,3387.11,909,0,6,3,17,3,24,175,3,0,147,309,23,7,34,0,3,226,62,1,1,0,0,0,14
State Police,,,232,0,0,0,0,0,0,0,0,0,1,10,1,2,6,1,0,2,211,0,0,0,0,0,2
Hanover County SO,94071,2653.31,2496,5,5,6,28,17,57,638,4,0,99,840,44,50,196,25,18,345,426,2,5,0,3,0,47
State Police,,,132,0,0,0,0,0,1,2,0,0,0,2,1,1,62,0,1,0,68,0,0,0,0,0,55
Henry County SO,53889,4871.12,2625,5,11,8,30,28,151,503,6,0,379,846,76,58,210,11,0,273,280,0,8,0,0,0,52
State Police,,,25,0,0,0,0,1,0,1,0,0,0,4,1,1,7,0,0,0,10,0,0,0,0,0,1
Highland County SO,2288,1005.24,23,0,0,0,0,0,1,5,0,0,3,2,0,0,3,0,0,11,2,1,0,0,0,0,2
State Police,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Isle of Wight County SO,25439,3868.07,984,3,4,3,9,6,20,250,5,0,80,331,19,9,54,4,2,203,87,0,3,0,0,0,20
State Police,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0
King & Queen County SO,7427,1965.8,146,0,0,1,2,0,6,43,1,0,13,10,3,3,2,0,0,16,54,1,0,0,0,0,2
State Police,,,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
King George County SO,23945,3959.07,948,0,2,5,16,3,15,278,2,0,57,280,13,6,83,3,3,166,101,2,2,0,0,0,13
State Police,,,10,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,5,0,0,0,0,0,0
King William County SO,12699,1472.55,187,0,1,0,6,0,12,60,0,0,22,67,7,2,6,1,0,14,12,0,0,0,1,0,3
State Police,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lancaster County SO,9536,2852.34,272,0,0,4,1,1,1,42,2,0,18,79,5,2,16,0,0,95,24,1,0,0,0,0,4
State Police,,,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,2
Lee County SO,22853,2393.55,547,1,1,3,5,9,19,109,1,0,97,233,1,6,16,0,0,61,16,0,0,0,0,0,5
State Police,,,18,0,0,0,0,0,0,2,3,0,0,2,1,3,5,0,0,0,7,0,0,0,0,0,0
Loudoun County SO,280109,2805.69,7859,1,23,48,92,36,134,1946,29,10,301,2503,125,78,929,63,11,1450,1100,4,27,1,28,3,91
State Police,,,46,0,0,0,0,0,0,2,0,0,1,2,0,1,18,1,0,1,21,0,0,0,0,0,1
Louisa County SO,32141,2877.94,925,2,1,8,21,1,30,179,5,0,71,353,25,16,66,4,1,217,54,1,8,0,0,0,16
State Police,,,81,0,0,0,0,0,0,3,0,0,3,2,0,1,1,0,1,0,72,0,0,0,0,0,0
Lunenburg County SO,9946,2342.65,233,0,1,1,1,0,16,69,1,0,40,49,9,0,3,0,0,37,49,0,1,0,0,0,5
State Police,,,53,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,47,0,0,0,0,0,1
Madison County SO,13472,2842.93,383,1,2,4,4,1,5,97,3,0,17,131,2,3,29,1,1,45,45,1,9,0,0,0,5
State Police,,,24,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0
Mathews County SO,8883,2532.92,225,0,0,3,1,0,5,51,1,0,17,96,5,2,9,0,0,53,6,0,0,0,0,0,4
State Police,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
Mecklenburg County SO,23458,3371.98,791,0,4,8,11,4,21,62,13,1,152,220,12,109,52,2,9,108,20,0,1,0,0,0,14
State Police,,,346,0,0,0,0,0,0,2,0,0,0,1,2,1,1,0,0,3,351,0,0,0,0,0,2
Middlesex County SO,11009,1753.11,193,0,4,4,3,0,3,37,0,0,17,38,2,4,17,0,1,52,10,2,0,0,0,0,11
State Police,,,10,0,1,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0
Montgomery County SO,31996,4009.87,1283,0,6,6,16,1,28,438,7,0,128,316,22,7,83,6,1,243,198,2,1,0,0,0,28
State Police,,,211,0,0,0,0,0,1,1,2,0,0,1,0,2,2,1,0,1,200,0,0,0,0,0,0
Nelson County SO,15078,3309.45,499,0,9,1,13,1,13,103,1,0,69,165,12,7,25,4,2,105,37,0,1,0,0,0,11
State Police,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
New Kent County SO,19257,4263.38,821,0,4,3,7,1,14,202,1,0,100,221,9,25,95,9,13,186,103,0,4,0,0,0,28
State Police,,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,1
Northampton County SO,9975,3208.02,320,0,2,2,6,4,6,89,0,0,57,100,11,3,14,2,0,40,9,0,1,0,0,0,5
State Police,,,49,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,47,0,0,0,0,0,1
Northumberland County SO,12466,1684.58,210,1,0,2,0,0,8,77,1,0,7,47,2,4,7,0,0,44,25,0,0,0,0,0,9
State Police,,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Nottoway County SO,9482,2045.98,194,0,0,0,1,0,4,50,1,0,20,90,2,0,3,0,1,40,12,0,0,0,0,0,3
State Police,,,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1
Orange County SO,27704,1609.87,446,1,0,5,8,2,15,62,0,0,42,180,7,4,10,2,0,106,56,1,3,0,0,0,6
State Police,,,61,0,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,55,0,0,0,0,0,1
Page County SO,15288,3532.18,540,2,0,3,8,4,11,69,11,0,62,157,6,4,30,1,3,86,144,0,12,0,0,0,5
State Police,,,118,0,0,0,0,0,0,2,0,0,0,1,1,0,2,1,1,2,111,0,0,0,0,0,4
Patrick County SO,18691,3536.46,661,0,0,3,7,5,15,128,1,0,66,225,29,12,33,1,0,104,96,0,4,0,0,0,18
State Police,,,5,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0
Pittsylvania County SO,59323,2184.65,1296,1,9,6,25,8,15,379,6,0,192,344,16,8,29,5,0,168,183,0,7,0,0,0,50
State Police,,,43,0,0,0,0,0,0,0,0,0,0,14,15,1,8,0,0,2,6,1,0,0,0,0,0
Powhatan County SO,28394,1694.01,481,0,1,1,9,2,5,98,1,1,66,161,8,3,20,1,1,101,47,1,0,0,0,0,13
State Police,,,18,0,0,0,0,0,7,8,0,0,0,0,0,1,4,0,1,0,8,0,0,0,0,0,0
Prince Edward County SO,15173,1252.22,190,0,0,5,1,3,7,39,0,0,47,39,4,1,5,0,0,35,14,0,0,0,0,0,4
State Police,,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Pulaski County SO,23063,7553.22,1742,1,9,5,32,4,25,465,3,2,138,551,26,77,201,16,1,287,137,0,2,0,0,0,25
State Police,,,19,0,0,0,6,0,0,1,0,0,0,7,0,0,0,0,0,1,5,0,0,0,0,0,1
Rappahannock County SO,7457,1381.25,103,0,0,3,0,0,3,33,0,0,3,15,0,1,3,0,0,16,41,0,0,0,0,0,3
State Police,,,22,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0
Richmond County SO,7810,1869.39,146,0,0,0,1,0,1,36,1,0,7,27,8,1,9,1,1,31,25,0,1,0,0,0,3
State Police,,,5,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Rockbridge County SO,20953,3560.34,746,0,1,1,9,3,16,150,4,0,97,201,13,8,51,4,1,144,115,0,1,0,1,0,12
State Police,,,57,0,0,0,1,0,0,1,1,0,0,1,1,0,2,0,1,1,48,0,0,0,0,0,1
Rockingham County SO,58705,1228.17,721,0,2,11,33,4,37,74,0,0,133,239,7,15,44,4,7,176,51,3,5,0,0,0,12
State Police,,,221,0,0,0,0,0,0,0,0,0,0,17,20,0,3,0,1,0,186,0,0,0,0,0,14
Russell County SO,24022,3205.39,770,0,5,6,30,1,42,186,4,0,114,187,9,5,27,0,1,102,120,0,5,0,0,0,21
State Police,,,15,1,0,0,5,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Scott County SO,20087,3459.94,695,0,10,6,11,2,8,145,3,2,90,227,12,22,35,1,9,120,88,0,1,0,1,0,26
State Police,,,21,0,0,0,0,0,1,4,2,0,0,2,1,1,5,0,0,1,7,0,0,0,0,0,1
Shenandoah Couty SO,26020,3239.81,843,0,6,2,21,4,23,207,2,0,104,245,7,7,69,3,4,202,72,2,7,0,0,0,15
State Police,,,190,0,0,0,0,0,1,0,1,0,0,2,3,1,1,0,0,5,176,0,0,0,0,0,1
Smyth County SO,22338,4055.86,906,2,2,1,13,2,13,213,14,0,77,287,12,13,23,3,1,135,129,2,2,0,0,0,19
State Police,,,38,0,0,1,0,0,1,4,0,0,0,2,2,0,9,0,0,3,21,0,0,0,0,0,8
Southampton County SO,18119,4498.04,815,0,0,3,8,4,20,207,2,1,91,222,29,7,25,0,2,147,103,3,1,0,0,0,23
State Police,,,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0
Spotsylvania County SO,124526,4631.16,5767,2,30,36,97,62,169,1189,11,0,237,2009,123,74,629,56,30,740,1004,0,11,0,6,0,105
State Police,,,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
Stafford County SO,132719,4389.72,5826,2,27,23,70,40,132,1084,19,1,233,2017,101,82,606,42,27,1397,842,4,18,2,10,0,94
State Police,,,39,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,34,0,0,0,0,0,0
Surry County SO,6927,2179.87,151,1,0,0,3,3,19,49,1,0,28,35,7,2,7,1,0,14,5,0,0,0,0,0,7
State Police,,,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sussex County SO,9989,2943.23,294,1,2,1,8,6,7,61,3,0,36,89,11,2,10,2,1,42,52,0,0,0,0,0,8
State Police,,,24,0,0,0,0,0,4,3,0,0,0,1,0,0,2,0,0,0,22,0,0,0,0,0,1
Tazewell County SO,27416,5088.26,1395,0,6,10,18,3,26,355,2,2,140,425,27,23,35,5,2,159,330,0,20,0,0,2,32
State Police,,,16,0,0,1,0,0,1,1,5,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0
Warren County SO,23519,3176.15,747,0,1,7,14,1,10,111,0,0,49,314,14,10,39,2,0,134,86,0,4,0,1,0,23
State Police,,,344,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,4,336,0,0,0,0,0,6
Washington County SO,45027,3731.09,1680,0,10,13,26,1,27,264,4,2,166,686,56,30,152,11,3,222,157,2,8,0,0,0,38
State Police,,,32,0,0,0,1,0,3,2,0,0,0,4,1,0,10,1,0,2,10,0,0,0,0,0,1
Westmoreland County SO,14133,3693.48,522,0,5,1,2,0,10,137,5,0,37,137,6,6,23,4,5,97,123,0,1,0,0,0,12
State Police,,,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0
Wise County SO,25961,3170.13,823,4,8,7,21,6,19,229,2,0,141,248,24,12,22,4,0,157,68,0,1,0,0,0,18
State Police,,,26,0,0,0,1,0,1,4,1,1,0,3,0,1,4,0,0,0,9,1,0,0,0,0,0
Wythe County SO,19879,1755.62,349,0,4,2,7,1,12,38,0,0,15,77,3,3,20,2,1,38,158,0,0,0,0,0,16
State Police,,,57,0,0,0,0,0,0,1,0,0,0,18,3,0,10,0,0,2,22,0,0,0,0,0,3
York County SO,66428,4225.62,2807,0,13,2,23,16,65,427,12,0,126,1203,28,41,265,60,13,502,240,0,5,0,0,0,33
State Police,,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,35,0,0,0,0,0,3
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
