Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
State Police,,,48,0,0,0,0,0,1,0,0,0,0,1,1,1,11,0,0,0,33,0,0,0,0,0,1
Poquoson PD,11600,3318.96,385,0,0,0,2,0,3,55,2,0,21,166,6,6,9,7,6,97,58,0,0,0,0,0,3
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Portsmouth PD,97600,11945.69,11659,17,109,43,46,405,438,2909,16,0,1189,3874,503,121,96,98,61,3333,907,7,0,1,18,0,316
State Police,,,47,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,44,0,0,0,0,0,4
Radford PD0,15100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,35,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,30,0,0,0,0,0,1
Richmond PD,195300,12903.22,25200,93,121,97,156,1182,1133,4286,86,1,2850,9077,2724,206,86,20,4,4777,1381,10,2,2,341,2,712
State Police,,,111,0,0,2,0,0,1,3,0,0,1,5,4,3,10,1,0,3,79,0,1,0,1,0,6
Roanoke PD,93500,11301.6,10567,8,18,38,47,128,392,2068,35,2,603,4450,332,309,355,94,3,2029,770,3,4,0,40,0,183
State Police,,,55,0,0,0,0,1,1,0,0,0,0,9,1,1,27,0,0,1,15,0,0,0,0,0,1
Salem PD,24800,5475.8,1358,1,1,6,2,10,17,267,5,1,66,644,37,62,25,20,2,259,139,0,0,0,0,0,34
State Police,,,19,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,11,0,0,0,0,0,0
Staunton PD,22700,9066.07,2058,1,4,6,21,7,28,472,5,1,82,791,53,133,109,5,8,383,163,0,0,0,0,0,49
State Police,,,15,0,0,1,0,0,0,1,0,0,0,1,0,1,9,0,0,1,1,0,0,0,0,0,0
Suffolk PD,72700,8214.58,5972,2,58,37,49,112,250,1697,34,5,419,2302,156,87,176,32,22,1247,315,0,2,1,0,0,201
State Police,,,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0
Virginia Beach PD,428200,7078,30308,25,104,118,208,418,380,6028,191,8,2094,12386,814,258,823,326,56,5645,2866,17,14,6,66,3,579
State Police,,,90,0,0,0,1,0,11,1,0,0,0,0,0,3,30,0,0,0,47,0,0,0,0,0,9
Waynesboro PD,19700,7918.78,1560,1,7,3,12,8,80,435,7,2,70,585,35,35,41,12,5,277,124,1,0,0,0,0,37
State Police,,,15,0,0,0,0,0,2,0,0,0,0,2,1,0,8,0,0,0,2,0,0,0,0,0,1
Williamsburg PD,12800,5117.18,655,0,0,6,8,10,11,145,1,0,27,305,13,14,22,9,0,124,37,0,1,0,2,0,14
State Police,,,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42,0,0,0,0,0,1
Winchester PD,25000,12288,3072,0,9,9,31,30,35,738,6,0,169,1218,50,67,135,17,40,637,616,2,2,0,1,0,40
State Police,,,126,0,0,0,0,1,0,0,1,0,0,4,0,17,24,0,0,0,96,0,0,0,0,0,5
