TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Bridgewater PD,5203,1153.18,60,0,1,0,0,0,1,3,0,0,10,26,2,1,1,0,0,13,9,0,0,0,0,0,3
Broadway PD,2192,1824.81,40,0,0,0,0,0,1,3,0,0,7,24,3,1,0,0,0,7,2,0,0,0,0,0,1
Brookneal PD,1259,397.14,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Burkeville PD0,489,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Charles PD,1134,2204.58,25,0,0,0,1,0,1,4,0,0,2,11,0,0,0,0,0,4,1,1,0,0,0,0,0
Cedar Bluff PD,1085,4976.95,54,0,0,0,0,1,1,2,1,0,6,29,1,2,1,0,0,17,2,0,0,0,0,0,0
Chase City PD,2457,7448.1,183,0,1,2,1,3,8,44,0,0,17,59,1,3,2,1,1,49,12,0,0,0,0,0,2
Chatham PD,1338,1046.33,14,0,0,0,0,0,0,1,0,0,0,9,0,1,0,0,0,4,0,0,0,0,0,0,0
Chilhowie PD,1827,3886.15,71,0,0,0,0,0,1,10,0,0,2,19,3,7,0,0,0,15,18,0,0,0,0,0,1
Chincoteague PD,4317,4169.56,180,0,0,0,1,3,0,44,1,0,13,72,7,0,0,1,1,52,6,0,0,0,0,0,1
Christiansburg PD,16947,5658.81,959,0,4,2,10,6,8,189,2,0,46,437,15,41,46,27,0,162,65,0,0,0,0,0,12
Clarksville PD,1329,5342.36,71,0,1,0,0,0,4,15,0,0,5,20,0,2,1,0,0,11,14,0,0,0,0,0,3
Clifton Forge PD,4289,4966.19,213,0,0,1,0,0,7,49,2,0,23,72,4,5,2,0,1,55,31,0,0,0,0,0,8
Clinchco PD9,424,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clintwood PD,1549,4002.58,62,0,0,0,0,0,0,2,0,0,8,28,1,6,2,0,0,12,6,0,0,0,0,0,0
Coeburn PD8,1996,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colonial Beach PD,3228,5235.43,169,0,2,4,4,2,13,34,1,0,20,53,10,2,2,0,2,46,5,0,0,0,1,0,5
Courtland PD,1270,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crewe PD,2378,4835.99,115,0,0,0,0,0,3,8,0,0,0,65,5,2,1,1,0,29,0,0,0,0,0,0,1
Culpeper PD,9664,10068.29,973,1,0,6,5,7,23,252,3,0,21,268,13,37,75,14,6,199,172,3,1,0,1,0,18
Damascus PD,981,6320.08,62,0,0,0,0,0,1,13,0,0,5,23,4,2,1,0,0,18,3,0,0,0,0,0,0
Dayton PD,1344,1562.5,21,0,0,0,0,0,0,1,0,0,2,7,3,0,0,0,0,9,0,0,0,0,0,0,0
Dublin PD,2288,5244.75,120,0,0,0,0,0,2,13,2,0,6,53,4,10,3,1,2,24,4,0,0,0,0,0,3
Dumfries PD,4937,8000.81,395,0,6,0,0,19,14,49,0,1,57,149,32,4,5,3,3,119,29,0,1,0,0,0,3
Edinburg PD,813,984,8,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0
Elkton PD,2042,146.91,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exmore PD2,1136,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farmville PD,6845,3871.43,265,0,0,0,0,0,9,28,0,0,7,127,8,14,4,7,0,36,24,0,0,0,0,0,2
Fries PD,614,162.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Front Royal PD,13589,8955.77,1217,0,10,6,13,12,14,316,4,0,48,465,32,35,38,13,1,303,58,3,1,0,0,0,9
Gate City PD,2159,648.44,14,0,0,0,0,0,1,4,0,0,1,2,1,1,0,0,0,4,1,0,0,0,0,0,0
Glade Springs PD,1374,1310.04,18,0,0,0,0,0,0,2,0,0,1,10,0,0,1,0,0,7,0,0,0,0,0,0,0
Glasgow PD0,1046,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen Lyn PD,151,7947.01,12,0,0,0,0,0,2,1,0,0,0,4,0,0,1,0,0,4,1,0,0,0,0,0,0
Gordonsville PD,1498,4472.63,67,0,0,0,0,0,4,13,0,0,4,18,0,4,0,1,0,14,13,0,0,0,0,0,4
Gretna PD,1257,1591.08,20,0,0,0,0,0,0,2,0,0,1,11,0,0,0,0,0,6,2,0,0,0,0,0,0
Grottoes PD,2114,1655.62,35,0,0,0,0,0,2,4,0,0,6,17,0,1,0,0,0,4,5,0,0,0,0,0,1
Grundy PD,1105,2352.94,26,0,0,0,0,0,2,1,0,0,1,15,2,0,0,0,0,4,2,0,0,0,0,0,0
Halifax PD,1389,2015.83,28,0,0,0,0,0,0,10,0,0,1,12,0,0,0,0,0,9,1,0,0,0,0,0,0
Haymarket PD,879,2389.07,21,0,0,0,0,0,0,5,0,0,1,6,1,1,0,0,0,1,6,0,0,0,0,0,1
Haysi PD,186,537.63,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Herndon PD,21655,6368.04,1379,0,1,3,12,16,33,339,0,0,31,522,34,23,36,7,4,334,85,7,0,0,1,0,11
Hillsville PD0,2607,6674.33,174,0,0,0,1,0,7,7,0,0,9,98,5,9,3,0,2,49,8,0,0,0,0,0,1
Honaker PD,945,3386.24,32,0,0,0,0,0,1,17,0,0,4,9,1,0,0,0,0,3,1,0,0,0,0,0,1
Hurt PD,1276,940.43,12,0,0,1,0,0,2,1,0,0,0,1,0,4,0,0,0,0,3,0,0,0,0,0,0
Independence PD,971,1441.81,14,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0
Jonesville PD,995,1608.04,16,0,0,0,0,0,2,1,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0
Kenbridge PD,1253,3431.76,43,0,1,1,2,1,2,19,0,0,5,9,1,3,0,0,0,3,2,0,0,0,0,0,0
Kilmarnock PD0,1244,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaCrosse PD,618,8090.61,50,0,0,0,0,0,1,3,0,0,1,23,0,2,0,0,0,1,19,0,0,0,0,0,2
Lawrenceville PD,1275,4235.29,54,0,0,0,0,0,2,6,0,0,7,23,1,3,0,1,0,10,1,0,0,0,0,0,0
Lebanon PD,3273,9318.66,305,0,1,2,1,1,2,18,1,0,10,169,6,27,5,6,0,52,12,0,0,0,0,0,3
Leesburg PD,28311,7823.81,2215,1,8,15,20,16,71,603,5,0,81,812,58,34,97,26,16,422,198,1,0,0,1,0,40
Louisa PD0,1401,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luray PD,4871,1047.01,51,0,0,0,0,0,1,0,0,0,2,24,3,3,0,0,0,22,0,0,0,0,0,0,0
Marion PD,6349,7134.98,453,0,1,3,4,2,13,95,6,1,19,157,7,21,14,4,4,81,52,1,1,0,0,0,6
McKenney PD0,441,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleburg PD,632,7436.7,47,0,0,1,0,0,0,4,0,0,3,21,0,1,2,1,1,16,0,0,0,0,0,0,1
Middletown PD,1015,4630.54,47,0,0,0,0,1,1,10,0,0,0,16,6,1,0,0,0,11,3,0,0,0,0,0,1
Mt. Jackson PD,1664,4326.92,72,0,0,0,0,0,0,6,0,0,5,42,1,4,0,1,1,24,1,0,0,0,0,0,0
Narrows PD,2111,3505.44,74,0,0,1,3,0,0,8,0,0,3,22,4,0,2,0,0,25,9,0,0,0,0,0,0
New Market PD,1637,2687.84,44,0,0,0,0,0,1,7,0,0,3,15,3,1,3,0,0,9,4,0,0,0,0,0,0
Occoquan PD,759,922.26,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0
Onancock PD,1525,4852.45,74,0,0,0,0,0,1,10,0,0,1,38,2,0,0,0,0,23,1,0,0,0,0,0,0
Onley PD,496,17741.93,88,0,0,0,0,0,0,3,0,0,2,57,2,5,0,2,1,5,14,0,0,0,0,0,0
Orange PD,4123,4656.8,192,0,1,2,2,2,9,63,1,1,8,83,10,1,2,3,1,13,10,0,0,0,0,0,7
Parksley PD,837,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pearisburg PD7,2729,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pembroke PD11,1134,264.55,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennington Gap PD,1781,280.74,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
Pocahontas PD5,441,907.02,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Pound PD,1089,5785.12,63,0,0,0,0,1,2,10,0,0,2,21,2,4,0,0,2,8,18,0,0,0,0,0,0
Pulaski PD,9473,8972.87,850,0,2,9,12,3,28,103,0,0,62,307,25,58,15,1,4,174,160,2,1,0,0,0,14
Purcellville PD,3584,613.83,22,0,0,0,0,0,0,1,0,0,0,10,0,2,1,0,0,7,2,0,0,0,0,0,0
Quantico PD,561,3565.06,20,0,0,1,0,0,0,3,0,0,0,3,4,0,0,0,0,9,0,0,0,0,0,0,0
Rich Creek PD0,665,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richlands PD,4144,10883.2,451,0,0,4,0,1,5,69,2,0,41,131,7,34,42,1,0,103,96,0,0,0,0,0,3
Rocky Mount PD,4066,6714.21,273,0,1,2,0,2,7,26,0,0,14,124,4,11,6,1,1,47,53,0,0,0,0,0,8
Rural Retreat PD,1350,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saltville PD,2204,6442.83,142,0,0,0,2,0,1,15,0,0,8,37,2,2,1,0,0,68,11,0,0,0,0,0,3
Shenandoah PD,1878,3674.12,69,0,0,0,0,0,2,4,0,0,1,18,0,1,0,0,0,26,21,0,0,0,0,0,0
Smithfield PD,6324,11148,705,1,1,0,4,6,10,153,4,0,20,296,18,13,36,4,1,185,28,0,0,0,0,0,21
South Boston PD,8491,8514.89,723,0,0,0,1,18,17,94,1,0,73,375,12,19,6,4,1,143,31,0,1,0,0,0,17
South Hill PD,4403,8062.68,355,0,0,3,2,5,12,50,0,0,32,154,12,27,2,5,2,78,4,0,1,0,0,0,5
St. Paul PD6,1000,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanley PD,1326,377.07,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
Stephens City PD,1146,6020.94,69,0,0,0,0,0,0,21,0,0,4,28,3,1,3,0,0,19,2,0,0,0,0,0,2
Strasburg PD,4017,4107.54,165,0,0,3,0,0,1,38,0,0,8,72,2,4,2,1,0,48,7,0,0,0,0,0,1
Tappahannock PD,2068,12475.82,258,0,0,1,1,5,2,53,0,0,4,107,3,9,6,1,2,49,27,0,0,0,0,0,6
Tazewell PD,4206,5896.33,248,0,2,2,1,1,3,50,0,0,13,85,6,14,7,1,3,70,14,0,0,0,0,0,6
Timberville PD,1739,1840.13,32,0,0,1,0,0,3,10,0,0,1,10,1,0,0,0,0,9,1,0,0,0,0,0,0
Victoria PD,1821,2031.85,37,0,0,0,0,0,5,0,0,0,3,10,4,4,1,0,0,7,2,0,0,0,0,0,1
Vienna PD4,14453,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vinton PD,7782,8493.96,661,0,3,2,2,2,7,179,4,0,25,216,18,29,14,4,4,138,96,0,1,0,0,0,10
Warrenton PD,6670,7466.26,498,1,1,3,0,4,14,91,0,0,21,203,11,13,14,5,1,112,44,0,3,0,0,0,8
Warsaw PD,1375,4000,55,0,0,1,0,1,0,3,0,0,3,20,3,5,3,0,0,22,0,0,0,0,0,0,0
Waverly PD,2309,1169.33,27,0,0,0,1,0,1,0,0,0,3,4,0,1,0,0,1,9,7,0,0,0,0,0,1
Weber City PD,1333,4801.2,64,0,0,0,0,0,1,13,0,0,3,24,2,3,3,1,0,14,4,0,0,0,0,0,1
West Point PD,2866,5094.2,146,0,1,0,1,3,4,25,0,0,2,40,5,11,0,2,0,48,5,0,0,0,0,0,5
Wise PD,3255,7557.6,246,0,0,0,4,1,8,45,0,0,18,106,9,19,2,1,3,36,32,0,0,0,0,0,5
Woodstock PD,3952,4073.88,161,0,0,3,0,0,6,12,0,0,5,102,3,10,1,5,0,10,13,0,0,0,0,0,2
Wytheville PD,7804,10648.38,831,1,0,5,9,5,9,108,5,0,59,413,36,27,24,4,0,237,22,1,0,0,0,0,10
