COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Culpeper County SO0,26236,2942.52,772,0,1,9,20,3,21,282,4,0,44,247,16,16,16,10,2,164,28,1,2,0,0,0,15
State Police,0,0,184,0,0,0,0,0,8,7,0,0,0,10,2,4,2,1,1,1,146,0,1,0,1,0,6
Cumberland County SO,9200,2032.6,187,0,0,3,1,0,12,82,0,0,23,64,10,1,0,0,0,23,3,1,0,0,0,0,11
State Police,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,1,0,9,0,0,0,0,0,0
Dickenson County SO,13841,1820.67,252,2,1,0,4,2,10,26,2,0,60,142,1,6,1,0,0,50,4,2,0,0,0,0,4
State Police,0,0,25,0,0,0,0,0,0,0,0,0,0,3,3,1,2,0,0,5,11,0,0,0,0,0,3
Dinwiddie County SO,24259,4064.47,986,3,3,5,3,8,18,48,3,0,94,585,31,16,18,1,5,153,98,1,0,0,0,0,11
State Police,0,0,35,0,1,0,1,0,1,0,0,0,0,4,1,0,2,0,0,0,24,0,0,0,0,0,5
Essex County SO,7932,2395.36,190,1,1,2,0,2,10,40,1,0,26,78,9,5,4,0,2,43,7,0,0,0,0,0,7
State Police,0,0,12,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,8,0,0,0,0,0,0
Fauquier County SO,52230,3800.49,1985,1,9,9,39,9,62,464,17,0,78,547,34,22,69,6,5,658,225,3,1,0,0,0,68
State Police,0,0,121,0,0,0,0,0,4,1,0,0,2,14,4,0,22,0,0,7,65,0,0,0,0,0,6
Floyd County SO,14400,2069.44,298,0,0,1,1,0,2,1,1,0,45,151,14,2,5,0,0,141,1,0,0,0,0,0,7
State Police,0,0,9,0,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0
Fluvanna County SO,22300,2681.61,598,0,0,4,10,4,26,196,6,0,56,165,15,13,13,3,3,161,23,0,1,0,0,0,1
State Police,0,0,8,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0
Franklin County SO,44634,2041.04,911,2,1,7,17,5,26,103,1,0,79,444,23,18,42,5,3,281,22,1,1,0,0,0,14
State Police,0,0,29,1,0,0,2,0,1,2,0,0,0,6,3,0,8,0,0,2,3,0,0,1,0,0,2
Frederick County SO,60239,4115.27,2479,4,7,25,32,10,35,619,3,0,214,1014,90,36,37,4,4,694,88,4,0,0,0,0,47
State Police,0,0,174,1,0,0,1,0,2,6,0,0,0,20,1,6,9,0,0,13,119,0,0,0,0,0,1
Giles County SO,9810,968.39,95,0,4,3,16,0,5,79,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1
State Police,0,0,6,0,0,0,1,0,3,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Gloucester County SO,35000,3622.85,1268,2,0,5,16,3,38,375,14,1,66,480,7,20,14,5,0,240,73,3,0,0,0,0,16
State Police,0,0,124,0,0,0,0,0,0,2,0,0,1,8,0,0,7,0,0,3,101,0,0,0,1,0,3
Goochland County SO,17900,1748.6,313,2,1,0,1,3,27,2,0,1,55,157,12,5,9,2,3,122,3,0,0,0,0,0,9
State Police,0,0,19,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,3,10,0,0,0,0,0,1
Grayson County SO,15315,2298.4,352,1,2,0,9,0,9,100,4,0,66,108,9,1,6,1,0,72,41,0,0,0,0,0,13
State Police,0,0,7,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0
Greene County SO,16200,2413.58,391,0,1,1,9,2,16,92,2,0,20,111,12,8,1,3,0,108,46,0,0,0,0,0,8
State Police,0,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,4,0,0,0,0,0,0
Greensville County SO,11800,2016.94,238,2,1,3,1,1,51,7,1,0,3,122,6,1,4,0,0,28,12,2,0,0,0,0,4
State Police,0,0,33,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,1,24,0,0,0,0,0,3
Halifax County SO,27120,2149.7,583,8,4,3,6,12,27,138,3,0,58,201,25,2,6,0,0,106,18,0,0,0,0,0,19
State Police,0,0,100,1,0,1,0,1,1,1,0,0,1,9,5,2,5,1,0,3,75,0,0,0,0,0,6
Hanover County SO,84381,2987.63,2521,3,7,15,25,27,34,479,10,1,139,832,55,67,55,16,13,503,307,3,4,0,0,0,61
State Police,0,0,71,0,0,0,0,0,2,9,0,0,0,3,0,2,30,0,0,3,21,0,0,0,0,0,4
Henry County SO,56600,5526.5,3128,7,6,19,36,41,127,613,16,1,331,1484,100,180,96,14,2,457,180,4,0,0,1,0,73
State Police,0,0,76,0,0,0,0,0,10,1,0,0,1,11,9,3,13,0,0,6,26,0,0,0,0,0,7
Highland County SO,2500,1480,37,2,0,0,0,1,1,4,0,0,2,15,0,1,1,0,0,8,1,0,0,0,0,0,2
State Police,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,1
Isle of Wight County SO,24176,4268.69,1032,0,5,6,15,11,9,245,5,0,86,360,26,34,23,0,8,261,24,0,0,0,0,0,25
State Police,0,0,120,0,0,0,0,0,1,0,0,0,0,2,2,1,21,0,1,1,90,0,0,0,0,0,2
King & Queen County SO 0,6700,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,4,0,1,0,0,0,0
King George County SO,17600,5278.4,929,1,7,8,8,8,27,274,4,1,70,339,35,23,20,1,4,200,103,2,0,0,0,0,8
State Police,0,0,13,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1
King William County SO,10734,1406.74,151,1,0,0,0,1,1,48,0,0,21,73,1,3,2,1,1,7,24,0,0,0,0,0,6
State Police,0,0,15,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0
Lancaster County SO,10156,2530.52,257,0,0,2,0,1,8,52,1,0,36,127,7,12,3,0,0,69,11,0,0,0,0,1,6
State Police,0,0,25,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,3
Lee County SO,20524,4048.91,831,2,2,3,1,5,21,211,2,0,182,429,17,5,0,0,0,98,63,0,0,0,0,0,0
State Police,0,0,24,0,0,0,0,0,0,0,3,0,2,5,8,0,0,1,0,2,4,0,0,0,0,0,1
Loudoun County SO,173273,3864.99,6697,1,32,32,40,42,200,1653,68,2,266,2618,166,112,496,71,49,1779,424,0,0,0,1,0,181
State Police,0,0,82,0,1,0,0,0,2,2,0,0,1,13,1,5,12,2,0,13,33,0,0,0,0,0,1
Louisa County SO,25499,3090.31,788,1,2,6,12,5,12,123,1,0,63,347,19,12,10,1,1,264,32,2,0,0,0,0,14
State Police,0,0,71,0,0,0,0,1,2,5,0,0,4,3,2,1,2,1,0,2,52,0,0,0,0,0,4
Lunenburg County SO,10026,2822.66,283,1,4,0,14,1,8,66,2,0,37,77,10,8,13,0,1,56,28,1,0,0,0,0,11
State Police,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
Madison County SO,12900,1131.78,146,0,0,3,0,0,1,37,5,0,14,51,3,0,2,2,0,41,9,0,1,0,0,0,5
State Police,,,40,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,3,33,0,0,0,0,0,1
Mathews County SO,9300,2548.38,237,1,1,1,6,1,3,70,2,0,16,83,3,6,3,3,0,47,9,0,0,0,0,0,11
State Police,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Mecklenburg County SO,23493,3209.46,754,2,3,9,20,4,35,74,8,0,129,360,27,12,9,0,0,220,15,1,0,0,0,0,19
State Police,,,123,0,0,0,0,0,2,3,0,0,0,10,1,3,5,1,2,2,92,0,0,0,0,0,8
Middlesex County SO,9800,2510.2,246,0,4,0,1,0,3,16,1,0,34,137,4,1,2,1,0,65,5,0,0,0,0,0,6
State Police,,,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
Montgomery County SO,28280,4929.27,1394,1,5,6,30,2,23,533,5,0,138,414,24,15,40,1,0,281,89,1,3,0,0,0,14
State Police,,,171,0,0,0,0,1,1,2,0,0,0,10,5,1,11,0,1,3,138,0,0,0,0,0,2
Nelson County SO,14700,3272.1,481,0,7,4,4,1,13,97,1,0,94,182,16,6,9,1,1,146,51,0,0,0,0,0,12
State Police,,,16,0,0,0,2,0,1,0,0,0,1,2,1,0,0,0,0,0,10,0,0,0,0,0,1
New Kent County SO,14100,3886.52,548,1,3,1,12,0,16,135,1,0,48,219,16,9,16,7,5,117,47,0,4,0,0,0,14
State Police,,,32,0,0,0,0,0,2,3,0,0,0,6,1,5,1,0,0,0,12,0,0,0,0,0,3
Northampton County SO,10530,3675.21,387,0,1,0,6,9,13,76,1,0,68,199,15,9,10,0,6,58,13,1,1,0,0,0,8
State Police,,,67,0,0,0,1,0,0,0,0,0,1,5,0,3,6,0,0,1,59,0,0,0,0,0,2
Northumberland Co. SO,12800,4468.75,572,0,1,5,0,1,16,113,4,0,76,232,16,24,16,0,9,155,47,1,0,0,0,0,9
State Police,,,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nottoway County SO,9058,2185.91,198,0,0,7,2,0,10,49,1,0,18,57,4,0,1,0,0,35,36,0,0,0,0,0,4
State Police,,,15,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,11,0,0,0,0,0,1
Orange County SO,21479,1820.38,391,0,3,12,15,0,8,76,1,0,45,164,12,4,6,5,1,94,13,2,1,0,0,0,9
State Police,,,46,0,0,0,0,0,1,0,0,0,0,3,0,2,4,0,0,0,35,0,0,0,0,0,1
Page County SO,15225,2765.18,421,0,0,9,14,0,10,48,3,0,75,157,16,5,31,1,3,138,17,0,2,0,0,0,11
State Police,,,101,0,0,1,1,0,1,0,0,1,0,0,2,1,10,0,0,4,80,0,0,0,0,0,3
Patrick County SO,19500,3579.48,698,0,2,8,8,3,24,101,3,0,115,334,58,30,16,0,1,151,49,1,0,0,0,0,27
State Police,,,53,0,0,0,1,0,0,0,0,0,0,1,4,1,7,0,0,0,39,0,0,0,0,0,1
Pittsylvania County SO,58229,1889.09,1100,6,8,9,32,13,48,515,6,0,165,320,19,28,10,6,1,204,87,3,1,0,0,0,44
State Police,,,80,1,0,0,0,0,7,5,0,0,1,23,24,1,12,0,0,4,3,0,1,0,0,0,3
Powhatan County SO,24000,1879.16,451,1,0,1,2,0,5,101,4,0,46,188,17,9,9,1,0,87,36,1,0,0,0,0,10
State Police,,,20,0,0,0,1,0,3,4,0,0,0,0,1,1,1,0,0,1,4,0,0,0,0,0,4
Prince Edward County SO,13655,1318.19,180,2,5,1,3,1,15,110,0,1,6,15,4,4,1,0,3,17,8,0,0,0,0,0,18
State Police,,,14,0,0,0,0,0,2,2,0,0,0,2,0,1,4,0,0,0,3,0,0,0,0,0,0
Pulaski County SO,23039,2569.55,592,0,0,3,3,0,11,68,1,0,63,291,12,37,16,1,0,149,28,0,0,0,0,0,1
State Police,,,45,0,0,0,0,0,0,1,0,0,0,10,2,0,5,0,0,3,24,0,0,0,0,0,1
Rappahannock County SO,7000,1014.28,71,0,0,1,0,1,1,10,0,1,8,27,0,2,0,0,0,23,2,0,0,0,0,0,4
State Police,,,26,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,23,0,0,0,0,0,1
Richmond County SO,7725,932.03,72,0,0,2,0,1,4,25,0,0,3,16,6,0,0,1,0,8,9,0,0,0,0,0,5
State Police,,,12,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,6,0,0,0,0,0,1
Rockbridge County SO,19754,536.6,106,0,1,0,4,0,2,38,0,0,7,32,3,1,1,0,0,25,2,0,1,0,0,0,1
State Police,,,80,0,0,1,1,0,5,5,0,0,0,27,2,3,4,0,0,5,31,0,0,0,0,0,1
Rockingham County SO,54566,1006.12,549,1,2,12,40,3,13,97,0,0,76,215,14,18,23,9,1,115,52,1,0,0,0,0,25
State Police,,,170,0,0,0,0,0,3,5,0,0,4,15,19,5,8,0,1,13,109,0,0,1,0,0,13
Russell County SO,25382,2088.09,530,0,1,2,3,0,4,84,4,0,74,237,23,3,0,1,1,95,7,1,0,0,0,0,0
State Police,,,52,1,0,0,0,0,0,1,1,0,2,7,3,18,5,0,0,3,11,0,1,0,0,0,1
Scott County SO,19808,3488.48,691,1,4,5,9,2,20,175,6,0,73,299,22,27,20,0,1,172,13,0,1,0,0,0,13
State Police,,,23,0,0,0,0,0,2,2,1,0,0,10,0,0,2,0,0,3,3,0,0,0,0,0,0
Shenandoah County SO,24717,2496.25,617,0,1,2,0,0,11,159,2,0,53,186,19,9,21,1,5,182,43,0,1,0,2,0,26
State Police,,,155,0,0,0,0,0,2,3,0,0,0,9,1,7,3,0,0,3,127,0,0,0,0,0,3
Smyth County SO,22820,4009.64,915,4,3,7,13,0,18,199,8,0,73,300,14,33,16,2,1,233,68,1,0,0,0,0,22
State Police,,,47,0,0,0,0,0,1,3,0,0,0,7,2,0,3,3,0,0,24,0,0,0,0,0,4
Southampton County SO,16110,3289.88,530,0,0,1,6,2,10,76,3,0,67,212,33,10,10,1,2,119,20,2,0,0,1,0,15
State Police,,,18,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,12,0,0,0,0,0,0
Spotsylvania County SO,103600,4899.61,5076,3,17,23,64,37,88,972,8,0,256,1882,76,79,207,54,13,1224,407,0,2,0,2,0,78
State Police,,,129,0,1,0,1,0,7,2,0,1,1,33,6,4,17,1,0,2,57,0,1,0,0,0,1
Stafford County SO,102700,4618.3,4743,1,16,29,70,56,73,1277,20,0,195,1539,137,86,94,20,16,1284,600,1,3,0,1,3,102
State Police,,,125,0,0,0,0,0,6,3,0,0,1,10,5,1,13,8,0,7,75,0,1,0,0,0,6
Surry County SO,6800,3647.05,248,1,0,2,1,1,22,91,1,0,49,97,1,2,3,0,0,40,4,3,0,0,0,0,8
State Police,,,20,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,16,0,0,0,0,0,1
Sussex County SO,9691,5076.87,492,0,1,1,3,6,19,135,2,1,53,179,13,22,8,1,2,111,33,0,0,0,0,0,19
State Police,,,26,0,0,0,0,0,4,0,0,0,0,3,2,2,1,0,0,0,15,0,0,0,0,0,2
Tazewell County SO,28346,4819.02,1366,1,7,9,30,6,46,229,13,19,206,600,42,75,122,5,1,296,69,2,3,0,0,0,25
State Police,,,56,0,0,0,1,1,1,2,0,0,1,19,5,5,12,0,0,4,11,0,1,0,0,0,0
Warren County SO,18911,2205.06,417,2,1,3,18,1,2,61,2,0,66,187,17,6,3,2,4,98,3,1,0,0,0,0,3
State Police,,,271,0,0,1,1,0,1,2,0,0,0,2,3,1,10,0,0,2,253,0,0,0,0,0,4
Washington County SO,41065,3043.95,1250,1,4,8,13,7,49,231,9,0,96,594,36,17,21,5,1,280,70,2,2,0,0,0,12
State Police,,,29,0,0,0,0,0,3,0,1,0,1,10,2,4,2,1,0,2,3,0,1,0,0,0,0
Westmoreland County SO,13472,2605.4,351,1,9,3,9,2,6,102,4,0,34,117,19,7,10,1,2,70,27,0,0,0,0,0,11
State Police,,,11,0,0,0,1,0,2,0,1,1,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0
Wise County SO,27365,4063.58,1112,0,7,5,10,2,52,452,7,0,125,330,37,11,20,1,0,252,68,1,0,0,0,0,26
State Police,,,34,0,0,0,0,0,1,0,0,0,1,3,5,0,17,1,0,2,4,0,0,0,0,0,1
Wythe County SO,18546,2421,449,0,0,0,6,0,11,61,2,0,25,144,5,22,11,0,4,64,140,1,0,0,1,0,22
State Police,,,90,0,0,0,0,0,0,4,0,0,0,59,0,1,2,0,0,2,18,0,0,0,0,0,5
York County SO,58800,4068.02,2392,0,23,8,31,23,78,377,26,0,113,1001,43,23,124,33,6,680,234,1,1,0,0,0,49
State Police,,,197,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,191,0,0,0,0,0,4
