Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Covington PD,6300,9111.11,574,2,0,0,4,5,12,118,1,0,52,249,19,24,5,2,0,148,23,0,0,0,1,0,12
State Police,14,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0
Danville PD,47100,10471.33,4932,3,6,13,13,69,216,1460,19,2,296,1826,103,102,122,21,6,1054,258,4,0,0,5,0,107
State Police,10,0,0,0,1,0,1,0,0,0,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1
Emporia PD,5500,16036.36,882,0,3,5,6,26,33,203,6,0,62,331,30,37,14,2,1,166,61,0,0,0,1,0,34
State Police,61,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5,0,0,0,56,0,0,0,0,0,1
Fairfax PD0,22400,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falls Church PD,11100,7036.03,781,0,1,0,1,5,11,137,4,0,38,367,51,16,32,4,2,168,44,0,0,2,0,1,11
State Police,1,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Franklin PD,8100,11629.62,942,0,0,0,9,9,19,244,2,0,57,362,26,17,15,13,9,231,67,1,0,1,0,0,27
State Police,5,0,0,0,0,0,1,0,0,0,,,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1
Fredericksburg PD,20100,9631.84,1936,0,15,7,17,47,89,242,3,0,74,743,86,46,73,38,12,447,294,1,0,0,5,0,36
State Police,56,0,0,0,0,0,4,0,0,0,,,0,3,0,0,4,0,0,4,47,0,0,0,0,0,0
Galax PD10,6700,9910.44,664,0,1,3,0,4,13,130,0,0,18,218,13,80,14,3,1,121,82,1,0,0,0,0,13
State Police,3,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Hampton PD,145200,7678.37,11149,9,53,37,97,292,271,1793,35,2,976,4565,878,153,425,184,39,2711,765,9,5,1,22,0,341
State Police,131,0,0,0,1,0,9,1,0,0,,,0,3,2,4,43,0,2,1,66,0,0,0,0,0,8
Harrisonburg PD,42200,5900.47,2490,0,7,19,21,10,100,371,13,0,202,1035,71,41,89,20,13,835,303,3,4,0,1,0,76
State Police,144,0,0,0,0,0,1,0,0,0,,,0,8,2,0,12,0,0,2,118,0,0,0,0,0,4
Hopewell PD,22300,11121.07,2480,2,15,8,16,48,111,830,6,0,225,752,100,47,31,2,10,697,263,0,1,0,0,1,84
State Police,12,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0
Lexington PD,7000,3314.28,232,0,1,1,4,4,4,44,0,0,13,105,2,4,8,1,0,58,17,0,1,0,0,0,5
State Police,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynchburg PD,65600,9272.86,6083,6,35,24,72,87,192,2122,19,0,425,2012,206,123,221,24,30,1030,489,3,2,4,13,1,174
State Police,23,0,0,0,0,0,0,0,0,0,,,0,3,0,0,12,0,0,0,9,0,0,0,0,0,0
Manassas PD,37000,8200,3034,1,24,9,30,43,54,824,13,1,110,1030,129,55,139,20,1,565,266,6,2,0,1,0,79
State Police,3,0,0,1,1,0,0,0,0,0,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Manassas Park PD,11700,4888.88,572,0,3,3,2,1,8,97,5,0,15,197,44,11,16,4,1,169,36,0,0,0,0,0,29
State Police,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinsville PD,15200,11250,1710,2,3,7,11,13,43,332,2,0,54,575,29,156,74,16,0,330,161,0,0,0,0,0,25
State Police,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Newport News PD,179300,10819.29,19399,20,147,107,196,425,821,4648,119,2,1587,7022,1297,243,637,103,99,4337,1234,10,8,1,19,0,624
State Police,104,0,0,0,0,0,8,0,0,0,,,0,0,2,0,27,0,0,1,63,0,1,0,0,0,4
Norfolk PD,234100,10969.24,25679,39,64,117,192,716,506,3892,23,3,1573,12142,1630,419,212,90,31,4580,1544,12,2,0,123,0,108
State Police,119,0,0,0,0,0,10,5,0,0,,,0,2,0,8,24,1,0,2,75,0,0,0,0,0,8
Norton PD,3900,10512.82,410,0,1,2,4,0,15,50,2,0,27,211,15,7,2,2,6,118,19,0,1,0,0,0,7
State Police,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Petersburg PD,32200,14742.23,4747,6,27,18,46,79,159,928,13,0,286,1825,284,91,126,13,95,1353,395,3,0,1,3,0,102
State Police,49,0,0,0,0,0,1,0,0,0,,,0,0,0,1,9,0,0,0,36,0,0,0,0,0,2
Poquoson PD,11600,3051.72,354,0,1,2,2,0,5,42,7,0,18,113,6,12,15,1,0,116,65,0,0,0,0,0,6
State Police,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portsmouth PD,98400,13225.6,13014,10,92,38,38,428,527,3189,20,1,1338,5100,648,127,102,88,98,3920,952,7,4,1,12,1,353
State Police,24,0,0,0,0,0,4,0,0,0,,,0,3,1,1,10,0,0,0,5,0,0,0,0,0,5
Radford PD0,15500,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,19,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0
Richmond PD,193000,15716.58,30333,77,144,119,172,1294,1138,4965,191,3,2994,12191,2544,179,129,24,10,6349,1536,10,0,4,283,0,743
State Police,154,0,0,0,0,0,5,5,0,0,,,0,12,4,11,13,2,0,2,102,0,0,0,0,0,15
Roanoke PD,94600,7067.65,6686,9,9,28,44,84,285,1404,27,0,415,2617,198,139,165,53,7,1510,663,10,2,2,35,0,141
State Police,55,0,1,0,1,0,0,0,0,1,,,0,1,1,0,27,0,0,2,22,0,0,0,0,0,0
Salem PD,24900,6044.17,1505,0,3,3,8,13,11,281,6,0,54,627,39,150,26,29,11,386,119,0,1,0,0,0,24
State Police,18,0,0,0,0,0,0,1,0,0,,,0,1,0,0,11,1,0,1,3,0,0,0,0,0,0
Staunton PD,23500,9080.85,2134,0,4,6,15,6,42,467,5,0,139,770,51,154,81,17,8,514,121,2,2,0,0,0,23
State Police,18,0,0,0,0,0,0,0,0,0,,,0,2,0,0,9,0,0,0,7,0,0,0,0,0,0
Suffolk PD,69200,9241.32,6395,4,30,24,51,111,295,1731,31,0,462,2682,181,111,117,23,15,1319,290,0,4,1,1,0,178
State Police,27,0,0,0,0,0,0,0,0,0,,,0,0,1,3,2,0,0,0,22,0,0,0,0,0,0
Virginia Beach PD,428400,7231.79,30981,3,106,129,227,445,383,6299,174,4,2164,13546,863,310,799,314,63,6739,2724,20,10,2,53,0,491
State Police,144,0,0,0,0,0,12,1,0,0,,,0,2,1,9,27,0,0,2,87,0,0,0,0,0,14
Waynesboro PD,19600,9285.71,1820,0,10,8,22,18,127,405,7,1,119,672,36,74,61,15,9,393,117,0,1,0,0,0,43
State Police,7,0,0,0,0,0,0,0,0,0,,,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0
Williamsburg PD,12600,4952.38,624,0,7,3,7,12,8,140,0,0,26,267,18,7,24,9,1,164,26,0,0,0,1,0,8
State Police,47,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,45,0,0,0,0,0,3
Winchester PD,24600,13861.78,3410,0,3,15,37,30,41,859,5,0,132,1305,44,95,133,33,35,735,589,1,1,0,2,0,48
State Police,128,0,0,0,0,0,0,0,0,0,,,0,1,0,0,12,0,0,0,116,0,0,0,0,0,0
