countyplace,cdbguogid,NAME,state,STA,county,countyname,place,placenm,hhuniv,estimated_number_foreclosures,estimated_number_mortgages,estimated_foreclosure_rate,total_90_day_vacant_residential_addresses,total_residential_addresses,estimated_90_day_vacancy_rate,total_hicost_2004_to_2006_HMDA_loans,total_2004_to_2006_HMDA_loans,estimated_hicost_loan_rate,bls_unemployment_rate,ofheo_price_change
5100517440,519999,VIRGINIA STATE PROGRAM,51,VA,005,Alleghany County,17440,Clifton Forge city,451,0,#NULL!,0.0%,#NULL!,#NULL!,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%",#NULL!,#NULL!,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%",5.5%,0.0%
5100540024,519999,VIRGINIA STATE PROGRAM,51,VA,005,Alleghany County,40024,Iron Gate town,201,2,38,5.3%,0,141,0.0%,8,25,32.0%,5.5%,0.0%
5100547352,519999,VIRGINIA STATE PROGRAM,51,VA,005,Alleghany County,47352,Low Moor CDP,145,1,28,3.6%,0,110,0.0%,6,18,33.3%,5.5%,0.0%
5100571072,519999,VIRGINIA STATE PROGRAM,51,VA,005,Alleghany County,71072,Selma CDP,193,2,37,5.4%,0,135,0.0%,8,24,33.3%,5.5%,0.0%
5100599999,519999,VIRGINIA STATE PROGRAM,51,VA,005,Alleghany County,99999,,"4,606",38,"1,067",3.6%,25,"5,008",0.5%,169,703,24.0%,5.5%,0.0%
5100799999,519999,VIRGINIA STATE PROGRAM,51,VA,007,Amelia County,99999,,"4,240",91,"2,301",4.0%,0,"4,805",0.0%,427,"1,516",28.2%,4.7%,-0.4%
5100901672,519999,VIRGINIA STATE PROGRAM,51,VA,009,Amherst County,01672,Amherst town,912,9,308,2.9%,2,790,0.3%,45,203,22.2%,4.3%,0.0%
5100948520,519999,VIRGINIA STATE PROGRAM,51,VA,009,Amherst County,48520,Madison Heights CDP,"4,468",54,"1,335",4.0%,1,"4,522",0.0%,266,879,30.3%,4.3%,0.0%
5100999999,519999,VIRGINIA STATE PROGRAM,51,VA,009,Amherst County,99999,,"6,548",61,"2,180",2.8%,12,"6,451",0.2%,316,"1,437",22.0%,4.3%,0.0%
5101102072,519999,VIRGINIA STATE PROGRAM,51,VA,011,Appomattox County,02072,Appomattox town,700,11,335,3.3%,1,"1,165",0.1%,53,221,24.0%,4.7%,0.0%
510114,510114,BLACKSBURG,51,VA,121,Montgomery County,07784,Blacksburg town,"13,174",5,"2,610",0.2%,452,"14,825",3.0%,97,"1,720",5.6%,4.0%,0.0%
5101160488,519999,VIRGINIA STATE PROGRAM,51,VA,011,Appomattox County,60488,Pamplin City town,67,0,5,0.0%,0,0,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%",1,3,33.3%,4.7%,0.0%
5101199999,519999,VIRGINIA STATE PROGRAM,51,VA,011,Appomattox County,99999,,"4,564",29,977,3.0%,5,"2,796",0.2%,141,644,21.9%,4.7%,0.0%
5101303000,519013,ARLINGTON COUNTY,51,VA,013,Arlington County,03000,Arlington CDP,"86,474",486,"41,044",1.2%,"1,147","101,036",1.1%,"2,108","27,046",7.8%,2.6%,-9.1%
5101519904,519999,VIRGINIA STATE PROGRAM,51,VA,015,Augusta County,19904,Craigsville town,412,4,104,3.8%,0,276,0.0%,23,69,33.3%,3.8%,0.0%
5101520240,519999,VIRGINIA STATE PROGRAM,51,VA,015,Augusta County,20240,Crimora CDP,733,8,236,3.4%,0,720,0.0%,41,156,26.3%,3.8%,0.0%
5101522976,519999,VIRGINIA STATE PROGRAM,51,VA,015,Augusta County,22976,Dooms CDP,523,6,198,3.0%,0,547,0.0%,33,130,25.4%,3.8%,0.0%
5101527968,519999,VIRGINIA STATE PROGRAM,51,VA,015,Augusta County,27968,Fishersville CDP,"1,823",20,"1,133",1.8%,0,"2,353",0.0%,125,747,16.7%,3.8%,0.0%
5101532944,519999,VIRGINIA STATE PROGRAM,51,VA,015,Augusta County,32944,Greenville CDP,233,2,86,2.3%,0,211,0.0%,11,57,19.3%,3.8%,0.0%
5101533488,519999,VIRGINIA STATE PROGRAM,51,VA,015,Augusta County,33488,Grottoes town,0,0,0,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%",0,0,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%",0,0,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%","-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%","-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%"
5101541144,519999,VIRGINIA STATE PROGRAM,51,VA,015,Augusta County,41144,Jolivue CDP,568,6,256,2.3%,1,651,0.2%,33,169,19.5%,3.8%,0.0%
5101547720,519999,VIRGINIA STATE PROGRAM,51,VA,015,Augusta County,47720,Lyndhurst CDP,601,5,267,1.9%,0,665,0.0%,31,176,17.6%,3.8%,0.0%
5101571904,519999,VIRGINIA STATE PROGRAM,51,VA,015,Augusta County,71904,Sherando CDP,253,2,112,1.8%,0,280,0.0%,13,74,17.6%,3.8%,0.0%
5101576272,519999,VIRGINIA STATE PROGRAM,51,VA,015,Augusta County,76272,Stuarts Draft CDP,"3,151",40,"1,507",2.7%,0,"3,582",0.0%,223,993,22.5%,3.8%,0.0%
5101580864,519999,VIRGINIA STATE PROGRAM,51,VA,015,Augusta County,80864,Verona CDP,"1,535",16,606,2.6%,0,"1,339",0.0%,89,399,22.3%,3.8%,0.0%
5101585184,519999,VIRGINIA STATE PROGRAM,51,VA,015,Augusta County,85184,Weyers Cave CDP,472,8,335,2.4%,0,563,0.0%,47,221,21.3%,3.8%,0.0%
5101599999,519999,VIRGINIA STATE PROGRAM,51,VA,015,Augusta County,99999,,"14,553",163,"6,169",2.6%,3,"15,133",0.0%,911,"4,065",22.4%,3.8%,0.0%
5101799999,519999,VIRGINIA STATE PROGRAM,51,VA,017,Bath County,99999,,"2,053",7,308,2.3%,0,975,0.0%,42,203,20.7%,3.6%,0.0%
510186,510186,BRISTOL,51,VA,520,Bristol city,09816,Bristol city,"7,714",94,"1,993",4.7%,619,"8,954",6.9%,378,"1,313",28.8%,6.6%,0.0%
5101928688,519999,VIRGINIA STATE PROGRAM,51,VA,019,Bedford County,28688,Forest CDP,"3,149",22,"2,261",1.0%,26,"3,642",0.7%,171,"1,490",11.5%,3.7%,0.0%
5101999999,519999,VIRGINIA STATE PROGRAM,51,VA,019,Bedford County,99999,,"20,649",162,"9,089",1.8%,106,"24,136",0.4%,"1,013","5,989",16.9%,3.7%,0.0%
5102199999,519999,VIRGINIA STATE PROGRAM,51,VA,021,Bland County,99999,,"2,555",9,388,2.3%,1,"1,788",0.1%,39,256,15.2%,5.5%,0.0%
5102308200,519999,VIRGINIA STATE PROGRAM,51,VA,023,Botetourt County,08200,Blue Ridge CDP,"1,258",15,724,2.1%,12,"1,351",0.9%,92,477,19.3%,3.4%,0.0%
5102310744,519999,VIRGINIA STATE PROGRAM,51,VA,023,Botetourt County,10744,Buchanan town,524,4,209,1.9%,0,436,0.0%,25,138,18.1%,3.4%,0.0%
5102317680,519999,VIRGINIA STATE PROGRAM,51,VA,023,Botetourt County,17680,Cloverdale CDP,"1,121",8,507,1.6%,7,"1,088",0.6%,55,334,16.5%,3.4%,0.0%
5102321152,519999,VIRGINIA STATE PROGRAM,51,VA,023,Botetourt County,21152,Daleville CDP,524,2,308,0.6%,5,620,0.8%,22,203,10.8%,3.4%,0.0%
5102327824,519999,VIRGINIA STATE PROGRAM,51,VA,023,Botetourt County,27824,Fincastle town,133,1,78,1.3%,1,157,0.6%,6,51,11.8%,3.4%,0.0%
5102337880,519999,VIRGINIA STATE PROGRAM,51,VA,023,Botetourt County,37880,Hollins CDP,81,1,37,2.7%,0,79,0.0%,4,24,16.7%,3.4%,0.0%
5102344620,519999,VIRGINIA STATE PROGRAM,51,VA,023,Botetourt County,44620,Laymantown CDP,690,8,397,2.0%,7,741,0.9%,50,262,19.1%,3.4%,0.0%
5102379472,519999,VIRGINIA STATE PROGRAM,51,VA,023,Botetourt County,79472,Troutville town,182,1,82,1.2%,1,177,0.6%,9,54,16.7%,3.4%,0.0%
5102399999,519999,VIRGINIA STATE PROGRAM,51,VA,023,Botetourt County,99999,,"7,149",52,"3,328",1.6%,41,"7,354",0.6%,352,"2,193",16.1%,3.4%,0.0%
5102500724,519999,VIRGINIA STATE PROGRAM,51,VA,025,Brunswick County,00724,Alberta town,131,1,18,5.6%,0,137,0.0%,4,12,33.3%,6.7%,0.0%
5102510072,519999,VIRGINIA STATE PROGRAM,51,VA,025,Brunswick County,10072,Brodnax town,133,1,19,5.3%,0,120,0.0%,4,13,30.8%,6.7%,0.0%
5102544520,519999,VIRGINIA STATE PROGRAM,51,VA,025,Brunswick County,44520,Lawrenceville town,376,3,45,6.7%,3,337,0.9%,14,29,48.3%,6.7%,0.0%
5102599999,519999,VIRGINIA STATE PROGRAM,51,VA,025,Brunswick County,99999,,"5,622",45,757,5.9%,17,"5,255",0.3%,185,499,37.1%,6.7%,0.0%
510264,510264,CHARLOTTESVILLE,51,VA,540,Charlottesville city,14968,Charlottesville city,"16,861",93,"5,172",1.8%,477,"19,091",2.5%,490,"3,408",14.4%,4.6%,-0.4%
5102733648,519999,VIRGINIA STATE PROGRAM,51,VA,027,Buchanan County,33648,Grundy town,409,2,32,6.3%,0,205,0.0%,10,21,47.6%,6.1%,0.0%
5102780608,519999,VIRGINIA STATE PROGRAM,51,VA,027,Buchanan County,80608,Vansant CDP,425,2,27,7.4%,0,56,0.0%,8,18,44.4%,6.1%,0.0%
5102799999,519999,VIRGINIA STATE PROGRAM,51,VA,027,Buchanan County,99999,,"9,662",50,680,7.4%,4,"4,139",0.1%,212,448,47.3%,6.1%,0.0%
510288,510288,CHESAPEAKE,51,VA,550,Chesapeake city,16000,Chesapeake city,"69,835","1,781","57,041",3.1%,346,"81,519",0.4%,"9,033","37,587",24.0%,4.1%,-0.7%
5102922560,519999,VIRGINIA STATE PROGRAM,51,VA,029,Buckingham County,22560,Dillwyn town,186,1,16,6.3%,0,0,"-179,769,313,486,232,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000.0%",3,11,27.3%,5.1%,0.0%
5102999999,519999,VIRGINIA STATE PROGRAM,51,VA,029,Buckingham County,99999,,"5,126",29,608,4.8%,0,"1,027",0.0%,131,400,32.8%,5.1%,0.0%
5103101528,519999,VIRGINIA STATE PROGRAM,51,VA,031,Campbell County,01528,Altavista town,"1,498",16,313,5.1%,121,"1,612",7.5%,76,206,36.9%,4.3%,0.0%
5103110296,519999,VIRGINIA STATE PROGRAM,51,VA,031,Campbell County,10296,Brookneal town,525,5,114,4.4%,2,385,0.5%,25,75,33.3%,4.3%,0.0%
510312,510312,CHRISTIANSBURG,51,VA,121,Montgomery County,16608,Christiansburg town,"7,070",64,"3,463",1.8%,141,"8,903",1.6%,330,"2,282",14.5%,4.8%,0.0%
5103169536,519999,VIRGINIA STATE PROGRAM,51,VA,031,Campbell County,69536,Rustburg CDP,482,5,163,3.1%,15,563,2.7%,27,107,25.2%,4.3%,0.0%
5103178688,519999,VIRGINIA STATE PROGRAM,51,VA,031,Campbell County,78688,Timberlake CDP,"4,589",38,"1,751",2.2%,42,"4,976",0.8%,206,"1,154",17.9%,4.3%,0.0%
5103199999,519999,VIRGINIA STATE PROGRAM,51,VA,031,Campbell County,99999,,"13,559",124,"4,136",3.0%,230,"14,399",1.6%,639,"2,725",23.4%,4.3%,0.0%
5103308888,519999,VIRGINIA STATE PROGRAM,51,VA,033,Caroline County,08888,Bowling Green town,389,8,188,4.3%,0,260,0.0%,37,124,29.8%,5.2%,-0.4%
5103363928,519999,VIRGINIA STATE PROGRAM,51,VA,033,Caroline County,63928,Port Royal town,80,2,42,4.8%,0,61,0.0%,8,28,28.6%,5.2%,-0.4%
5103399999,519999,VIRGINIA STATE PROGRAM,51,VA,033,Caroline County,99999,,"7,556",405,"8,162",5.0%,0,"9,163",0.0%,"1,823","5,378",33.9%,5.2%,-0.4%
5103512600,519999,VIRGINIA STATE PROGRAM,51,VA,035,Carroll County,12600,Cana CDP,547,4,109,3.7%,0,548,0.0%,16,72,22.2%,7.3%,0.0%
5103527296,519999,VIRGINIA STATE PROGRAM,51,VA,035,Carroll County,27296,Fancy Gap CDP,97,1,20,5.0%,1,101,1.0%,2,13,15.4%,7.3%,0.0%
5103537336,519999,VIRGINIA STATE PROGRAM,51,VA,035,Carroll County,37336,Hillsville town,"1,217",10,229,4.4%,6,"1,163",0.5%,38,151,25.2%,7.3%,0.0%
5103587408,519999,VIRGINIA STATE PROGRAM,51,VA,035,Carroll County,87408,Woodlawn CDP,904,7,168,4.2%,0,854,0.0%,28,110,25.5%,7.3%,0.0%
5103599999,519999,VIRGINIA STATE PROGRAM,51,VA,035,Carroll County,99999,,"9,423",71,"1,817",3.9%,47,"9,357",0.5%,259,"1,197",21.6%,7.3%,0.0%
5103699999,519999,VIRGINIA STATE PROGRAM,51,VA,036,Charles City County,99999,,"2,669",51,"1,012",5.0%,0,"2,829",0.0%,225,667,33.7%,5.3%,-0.4%
5103714952,519999,VIRGINIA STATE PROGRAM,51,VA,037,Charlotte County,14952,Charlotte Court House town,146,2,33,6.1%,0,129,0.0%,7,22,31.8%,6.1%,0.0%
5103723376,519999,VIRGINIA STATE PROGRAM,51,VA,037,Charlotte County,23376,Drakes Branch town,211,2,43,4.7%,0,193,0.0%,9,28,32.1%,6.1%,0.0%
5103742264,519999,VIRGINIA STATE PROGRAM,51,VA,037,Charlotte County,42264,Keysville town,330,4,82,4.9%,0,299,0.0%,17,54,31.5%,6.1%,0.0%
5103761896,519999,VIRGINIA STATE PROGRAM,51,VA,037,Charlotte County,61896,Phenix town,72,1,13,7.7%,0,60,0.0%,3,9,33.3%,6.1%,0.0%
5103799999,519999,VIRGINIA STATE PROGRAM,51,VA,037,Charlotte County,99999,,"4,195",43,839,5.1%,0,"3,830",0.0%,184,553,33.3%,6.1%,0.0%
510384,510384,COLONIAL HEIGHTS,51,VA,570,Colonial Heights city,18448,Colonial Heights city,"7,037",92,"2,747",3.3%,137,"7,827",1.8%,442,"1,810",24.4%,4.7%,-0.4%
5104106216,519041,CHESTERFIELD COUNTY,51,VA,041,Chesterfield County,06216,Bellwood CDP,"2,350",39,806,4.8%,56,"2,848",2.0%,193,531,36.3%,4.0%,-0.4%
5104106728,519041,CHESTERFIELD COUNTY,51,VA,041,Chesterfield County,06728,Bensley CDP,"2,263",39,703,5.5%,30,"2,327",1.3%,191,463,41.3%,4.0%,-0.4%
5104108472,519041,CHESTERFIELD COUNTY,51,VA,041,Chesterfield County,08472,Bon Air CDP,"6,331",71,"3,487",2.0%,39,"6,955",0.6%,405,"2,298",17.6%,4.0%,-0.4%
5104116096,519041,CHESTERFIELD COUNTY,51,VA,041,Chesterfield County,16096,Chester CDP,"6,759",131,"4,573",2.9%,0,"8,469",0.0%,693,"3,013",23.0%,4.0%,-0.4%
5104116208,519041,CHESTERFIELD COUNTY,51,VA,041,Chesterfield County,16208,Chesterfield Court House CDP,"1,144",27,753,3.6%,1,"1,381",0.1%,140,496,28.2%,4.0%,-0.4%
5104126128,519041,CHESTERFIELD COUNTY,51,VA,041,Chesterfield County,26128,Ettrick CDP,"1,541",47,695,6.8%,103,"1,726",6.0%,227,458,49.6%,4.0%,-0.4%
5104150136,519041,CHESTERFIELD COUNTY,51,VA,041,Chesterfield County,50136,Matoaca CDP,874,32,510,6.3%,2,966,0.2%,155,336,46.1%,4.0%,-0.4%
5104199999,519041,CHESTERFIELD COUNTY,51,VA,041,Chesterfield County,99999,,"72,545","1,997","67,231",3.0%,115,"94,540",0.1%,"10,531","44,302",23.8%,4.0%,-0.4%
5104306968,519999,VIRGINIA STATE PROGRAM,51,VA,043,Clarke County,06968,Berryville town,"1,229",27,961,2.8%,17,"1,424",1.2%,102,633,16.1%,3.6%,-9.1%
5104308984,519999,VIRGINIA STATE PROGRAM,51,VA,043,Clarke County,08984,Boyce town,144,2,68,2.9%,0,111,0.0%,6,45,13.3%,3.6%,-9.1%
5104399999,519999,VIRGINIA STATE PROGRAM,51,VA,043,Clarke County,99999,,"3,577",67,"2,603",2.6%,28,"3,745",0.7%,247,"1,716",14.4%,3.6%,-9.1%
510450,510450,DANVILLE,51,VA,590,Danville city,21344,Danville city,"20,608",236,"3,462",6.8%,"2,744","22,652",12.1%,837,"2,281",36.7%,9.0%,0.0%
5104555592,519999,VIRGINIA STATE PROGRAM,51,VA,045,Craig County,55592,New Castle town,82,2,28,7.1%,0,60,0.0%,9,18,50.0%,4.4%,0.0%
5104599999,519999,VIRGINIA STATE PROGRAM,51,VA,045,Craig County,99999,,"1,981",44,672,6.5%,2,"1,443",0.1%,208,443,47.0%,4.4%,0.0%
5104720752,519999,VIRGINIA STATE PROGRAM,51,VA,047,Culpeper County,20752,Culpeper town,"3,956",187,"4,375",4.3%,157,"5,507",2.9%,861,"2,883",29.9%,5.1%,0.0%
5104799999,519999,VIRGINIA STATE PROGRAM,51,VA,047,Culpeper County,99999,,"8,195",329,"9,487",3.5%,112,"11,245",1.0%,"1,533","6,251",24.5%,5.1%,0.0%
5104927440,519999,VIRGINIA STATE PROGRAM,51,VA,049,Cumberland County,27440,Farmville town,258,7,127,5.5%,0,306,0.0%,29,84,34.5%,5.3%,-0.4%
5104999999,519999,VIRGINIA STATE PROGRAM,51,VA,049,Cumberland County,99999,,"3,254",73,"1,443",5.1%,1,"6,303",0.0%,325,951,34.2%,5.3%,-0.4%
5105117504,519999,VIRGINIA STATE PROGRAM,51,VA,051,Dickenson County,17504,Clinchco town,190,1,15,6.7%,1,175,0.6%,4,10,40.0%,6.3%,0.0%
5105117552,519999,VIRGINIA STATE PROGRAM,51,VA,051,Dickenson County,17552,Clintwood town,648,5,99,5.1%,3,338,0.9%,23,65,35.4%,6.3%,0.0%
5105136008,519999,VIRGINIA STATE PROGRAM,51,VA,051,Dickenson County,36008,Haysi town,83,1,9,11.1%,0,86,0.0%,2,6,33.3%,6.3%,0.0%
5105199999,519999,VIRGINIA STATE PROGRAM,51,VA,051,Dickenson County,99999,,"5,821",43,687,6.3%,21,"4,261",0.5%,182,453,40.2%,6.3%,0.0%
5105348344,519999,VIRGINIA STATE PROGRAM,51,VA,053,Dinwiddie County,48344,McKenney town,156,2,50,4.0%,0,172,0.0%,11,33,33.3%,4.7%,-0.4%
5105399999,519999,VIRGINIA STATE PROGRAM,51,VA,053,Dinwiddie County,99999,,"8,949",216,"4,111",5.3%,0,"10,090",0.0%,"1,004","2,709",37.1%,4.7%,-0.4%
5105777568,519999,VIRGINIA STATE PROGRAM,51,VA,057,Essex County,77568,Tappahannock town,843,10,244,4.1%,0,444,0.0%,44,161,27.3%,5.2%,0.0%
5105799999,519999,VIRGINIA STATE PROGRAM,51,VA,057,Essex County,99999,,"3,138",38,984,3.9%,0,"2,496",0.0%,175,648,27.0%,5.2%,0.0%
5105901912,519059,FAIRFAX COUNTY,51,VA,059,Fairfax County,01912,Annandale CDP,"19,872",398,"13,336",3.0%,272,"20,647",1.3%,"1,639","8,788",18.7%,3.1%,-9.1%
5105904088,519059,FAIRFAX COUNTY,51,VA,059,Fairfax County,04088,Bailey's Crossroads CDP,"8,538",140,"4,750",2.9%,160,"11,545",1.4%,577,"3,130",18.4%,3.1%,-9.1%
5105905928,519059,FAIRFAX COUNTY,51,VA,059,Fairfax County,05928,Belle Haven CDP,"3,119",47,"2,401",2.0%,76,"3,239",2.3%,187,"1,582",11.8%,3.1%,-9.1%
5105911464,519059,FAIRFAX COUNTY,51,VA,059,Fairfax County,11464,Burke CDP,"19,306",381,"16,693",2.3%,68,"19,693",0.3%,"1,538","11,000",14.0%,3.1%,-9.1%
5105914440,519059,FAIRFAX COUNTY,51,VA,059,Fairfax County,14440,Centreville CDP,"17,591",485,"20,000",2.4%,0,"19,291",0.0%,"1,969","13,179",14.9%,3.1%,-9.1%
5105914744,519059,FAIRFAX COUNTY,51,VA,059,Fairfax County,14744,Chantilly CDP,"14,893",321,"16,123",2.0%,15,"19,457",0.1%,"1,281","10,624",12.1%,3.1%,-9.1%
5105917376,519059,FAIRFAX COUNTY,51,VA,059,Fairfax County,17376,Clifton town,66,1,71,1.4%,0,40,0.0%,2,47,4.3%,3.1%,-9.1%
5105923984,519059,FAIRFAX COUNTY,51,VA,059,Fairfax County,23984,Dunn Loring CDP,"2,651",21,"1,749",1.2%,8,"2,837",0.3%,79,"1,152",6.9%,3.1%,-9.1%
5105929008,519059,FAIRFAX COUNTY,51,VA,059,Fairfax County,29008,Fort Belvoir CDP,"1,874",3,322,0.9%,1,"2,077",0.0%,11,212,5.2%,3.1%,-9.1%
5105929136,519059,FAIRFAX COUNTY,51,VA,059,Fairfax County,29136,Fort Hunt CDP,"4,936",34,"3,036",1.1%,76,"5,031",1.5%,126,"2,000",6.3%,3.1%,-9.1%
