Date ,Charge ,Street ,Zipcode ,SubDivsion
11/3/2006,ARSON ,BARHAM BLVD ,23690,YORKTOWN SQUARE
10/2/2006,CITIZEN REQUESTED ASSISTANCE ,BARHAM BLVD ,23690,YORKTOWN SQUARE
8/18/2006,ROBBERY ,BARHAM BLVD ,23690,YORKTOWN SQUARE
8/8/2006,"LARCENY,FROM MOTOR VEHICLE ",BARHAM BLVD ,23690,YORKTOWN SQUARE
7/20/2006,CITIZEN REQUESTED ASSISTANCE ,BARHAM BLVD ,23690,YORKTOWN SQUARE
6/10/2006,GRAND LARCENY ,BARHAM BLVD ,23690,YORKTOWN SQUARE
6/7/2006,"ASSAULT, AGGRAVATED ",BARHAM BLVD ,23690,YORKTOWN SQUARE
6/2/2006,"DAMAGE PROPERTY, PRIVATE ",BARHAM BLVD ,23690,YORKTOWN SQUARE
5/29/2006,DRUNK IN PUBLIC ,BARHAM BLVD ,23690,YORKTOWN SQUARE
5/19/2006,"ASSAULT, SIMPLE ",BARHAM BLVD ,23690,YORKTOWN SQUARE
3/27/2006,"LARCENY,FROM MOTOR VEHICLE ",BARHAM BLVD ,23690,YORKTOWN SQUARE
2/28/2006,"DAMAGE PROPERTY, PRIVATE ",BARHAM BLVD ,23690,YORKTOWN SQUARE
2/28/2006,"BURGLARY, RESIDENTIAL ",BARHAM BLVD ,23690,YORKTOWN SQUARE
2/5/2006,CITIZEN REQUESTED ASSISTANCE ,BARHAM BLVD ,23690,YORKTOWN SQUARE
1/30/2006,"DAMAGE PROPERTY, PRIVATE ",BARHAM BLVD ,23690,YORKTOWN SQUARE
12/9/2006,MOTOR VEHICLE THEFT ,BARHAM BLVD ,23690,YORKTOWN SQUARE
9/27/2006,"SALE, DISTRIBUTE MARIJUANA ",BARHAM BLVD ,23690,YORKTOWN SQUARE
9/7/2006,"ASSAULT, SIMPLE ",BARHAM BLVD ,23690,YORKTOWN SQUARE
7/29/2006,DAMAGE PROPERTY ,BARHAM BLVD ,23690,YORKTOWN SQUARE
5/12/2006,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",BARHAM BLVD ,23690,YORKTOWN SQUARE
1/29/2006,DEAD ON ARRIVAL ,BOUNDARY ROAD ,23690,
1/24/2006,CITIZEN REQUESTED ASSISTANCE ,BRIGHTWOOD TERRACE ,23690,GRAND OAKS
7/15/2006,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,BUCKNER STREET ,23690,
7/15/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,BUCKNER STREET ,23690,
10/18/2006,"ASSAULT, SIMPLE ",CANNON ROAD ,23690,BATTLE PARK
7/25/2006,"LARCENY, ALL OTHERS ",CANNON ROAD ,23690,BATTLE PARK
6/30/2006,CITIZEN REQUESTED ASSISTANCE ,CANNON ROAD ,23690,BATTLE PARK
2/18/2006,OVERDOSE ,CANNON ROAD ,23690,BATTLE PARK
3/7/2006,ASSAULT & BATTERY -POLICE OFCR OR FIREFIGHTER ,CHURCH ROAD ,23690,
9/24/2006,"DAMAGE PROPERTY, PRIVATE ",CHURCH STREET ,23690,
9/24/2006,"BURGLARY, RESIDENTIAL ",CHURCH STREET ,23690,
3/27/2006,"GRAFFITI ,PRIVATE PROPERTY ",CHURCH STREET ,23690,
3/15/2006,RECKLESS - GENERAL ,COOK ROAD ,23690,
3/15/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,COOK ROAD ,23690,
11/30/2006,CITIZEN REQUESTED ASSISTANCE ,COOK ROAD ,23690,
10/16/2006,"DAMAGE PROPERTY, PRIVATE ",COOK ROAD ,23690,
7/18/2006,"DAMAGE PROPERTY, PRIVATE ",COOK ROAD ,23690,
5/23/2006,"ASSAULT, SIMPLE ",COOK ROAD ,23690,
5/20/2006,REFUSE BLOOD/BREATH TEST ,COOK ROAD ,23690,
5/20/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,COOK ROAD ,23690,
4/12/2006,"ASSAULT, SIMPLE ",COOK ROAD ,23690,
3/3/2006,"LARCENY, ALL OTHERS ",COOK ROAD ,23690,
3/3/2006,"BREAKING & ENTER W/INT TO RAPE,ROB,MURDER -ARMED ",COOK ROAD ,23690,
12/16/2005,"LARCENY,FROM MOTOR VEHICLE ",COOK ROAD ,23690,
10/22/2006,DEATH INVESTIGATION ,COOK ROAD ,23690,
6/12/2006,"DAMAGE PROPERTY, PRIVATE ",COOK ROAD ,23690,
3/10/2006,CITIZEN REQUESTED ASSISTANCE ,COOK ROAD ,23690,
9/10/2006,"LARCENY,FROM MOTOR VEHICLE ",COOL COURT ,23690,
4/30/2006,"ASSAULT, SIMPLE ",COOL COURT ,23690,
2/10/2006,CITIZEN REQUESTED ASSISTANCE ,CRAWFORD ROAD ,23690,
12/2/2006,ELUDING POLICE ,CRAWFORD ROAD ,23690,
4/4/2006,POSSESSION OF MARIJUANA ,CRAWFORD ROAD ,23690,
3/12/2006,CITIZEN REQUESTED ASSISTANCE ,CRAWFORD ROAD ,23690,
4/21/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,CRAWFORD ROAD ,23690,
5/22/2006,THROWING OBJECT AT MOVING VEHICLE ,CRAWFORD ROAD ,23690,
4/27/2006,RECOVERED VEHICLE-STOLEN OTHER JURISDICTION ,CRAWFORD ROAD ,23690,
4/27/2006,ARSON ,CRAWFORD ROAD ,23690,
6/30/2006,LOST PROPERTY ,DOGWOOD ROAD ,23690,
1/16/2006,CITIZEN REQUESTED ASSISTANCE ,DOGWOOD ROAD ,23690,
8/1/2006,ANNOYING PHONE CALLS ,FALCON ROAD ,23690,BATTLE PARK
7/13/2006,CITIZEN REQUESTED ASSISTANCE ,FALCON ROAD ,23690,BATTLE PARK
6/13/2006,CITIZEN REQUESTED ASSISTANCE ,FALCON ROAD ,23690,BATTLE PARK
2/1/2006,RECKLESS - GENERAL ,GEO WASH MEM HWY ,23690,
1/4/2006,DRIVING W/SUSPENDED OR REVOKED LICENSE ,GEO WASH MEM HWY ,23690,
12/16/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEO WASH MEM HWY ,23690,
12/30/2006,CITIZEN REQUESTED ASSISTANCE ,GEO WASH MEM HWY ,23690,
12/18/2006,RUNAWAY JUVENILE ,GEO WASH MEM HWY ,23690,
12/14/2006,DISORDERLY CONDUCT ,GEO WASH MEM HWY ,23690,
12/14/2006,"ASSAULT, SIMPLE ",GEO WASH MEM HWY ,23690,
12/15/2006,CITIZEN REQUESTED ASSISTANCE ,GEO WASH MEM HWY ,23690,
12/18/2006,BURNING OR DESTROYING PERSONAL PROPERTY ,GEO WASH MEM HWY ,23690,
11/30/2006,LOST PROPERTY ,GEO WASH MEM HWY ,23690,
11/30/2006,THREATEN BODILY HARM ,GEO WASH MEM HWY ,23690,
12/10/2006,"DAMAGE PROPERTY, BUSINESS ",GEO WASH MEM HWY ,23690,
11/15/2006,PETIT LARCENY ,GEO WASH MEM HWY ,23690,
11/13/2006,THREATEN BODILY HARM ,GEO WASH MEM HWY ,23690,
11/13/2006,RECKLESS - GENERAL ,GEO WASH MEM HWY ,23690,
11/3/2006,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,GEO WASH MEM HWY ,23690,
11/7/2006,TRESPASSING ,GEO WASH MEM HWY ,23690,
11/8/2006,TRESPASSING ,GEO WASH MEM HWY ,23690,
11/8/2006,"DAMAGE PROPERTY, PRIVATE ",GEO WASH MEM HWY ,23690,
11/5/2006,CREDIT CARD FRAUD ,GEO WASH MEM HWY ,23690,
11/5/2006,CREDIT CARD THEFT ,GEO WASH MEM HWY ,23690,
11/1/2006,"ASSAULT, SIMPLE ",GEO WASH MEM HWY ,23690,
10/30/2006,POSSESSION OF MARIJUANA ,GEO WASH MEM HWY ,23690,
10/12/2006,GRAND LARCENY ,GEO WASH MEM HWY ,23690,
10/24/2006,PETIT LARCENY ,GEO WASH MEM HWY ,23690,
10/20/2006,PETIT LARCENY ,GEO WASH MEM HWY ,23690,
10/6/2006,GRAND LARCENY ,GEO WASH MEM HWY ,23690,
10/12/2006,UNLAWFUL PURCHASE OR POSSESS ALCOHOLIC BEVERAGE ,GEO WASH MEM HWY ,23690,
9/20/2006,PETIT LARCENY ,GEO WASH MEM HWY ,23690,
9/15/2006,POSSESSION OF MARIJUANA ,GEO WASH MEM HWY ,23690,
9/16/2006,CITIZEN REQUESTED ASSISTANCE ,GEO WASH MEM HWY ,23690,
9/8/2006,DISORDERLY CONDUCT ,GEO WASH MEM HWY ,23690,
8/29/2006,"DAMAGE PROPERTY, PRIVATE ",GEO WASH MEM HWY ,23690,
8/26/2006,"ASSAULT, SIMPLE, DOMESTIC ",GEO WASH MEM HWY ,23690,
8/27/2006,CITIZEN REQUESTED ASSISTANCE ,GEO WASH MEM HWY ,23690,
8/26/2006,"ASSAULT, SIMPLE ",GEO WASH MEM HWY ,23690,
8/21/2006,"DAMAGE PROPERTY, PUBLIC ",GEO WASH MEM HWY ,23690,
6/30/2006,PETIT LARCENY ,GEO WASH MEM HWY ,23690,
8/23/2006,"DAMAGE PROPERTY, PRIVATE ",GEO WASH MEM HWY ,23690,
6/22/2006,DRIVING W/SUSPENDED OR REVOKED LICENSE ,GEO WASH MEM HWY ,23690,
6/22/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEO WASH MEM HWY ,23690,
6/15/2006,CITIZEN REQUESTED ASSISTANCE ,GEO WASH MEM HWY ,23690,
6/14/2006,HIT & RUN ,GEO WASH MEM HWY ,23690,
6/8/2006,"DAMAGE PROPERTY, PRIVATE ",GEO WASH MEM HWY ,23690,
6/8/2006,GRAND LARCENY ,GEO WASH MEM HWY ,23690,
6/5/2006,PETIT LARCENY ,GEO WASH MEM HWY ,23690,
6/12/2006,"DAMAGE PROPERTY, BUSINESS ",GEO WASH MEM HWY ,23690,
6/12/2006,PETIT LARCENY ,GEO WASH MEM HWY ,23690,
6/12/2006,"BURGLARY, BUSINESS ",GEO WASH MEM HWY ,23690,
5/24/2006,"DAMAGE PROPERTY, PRIVATE ",GEO WASH MEM HWY ,23690,
5/21/2006,GRAND LARCENY ,GEO WASH MEM HWY ,23690,
2/23/2006,PETIT LARCENY ,GEO WASH MEM HWY ,23690,
5/15/2006,"COUNTERFEITING/FORGERY, ALL OTHERS ",GEO WASH MEM HWY ,23690,
5/11/2006,"DAMAGE PROPERTY, PRIVATE ",GEO WASH MEM HWY ,23690,
4/2/2006,DISORDERLY CONDUCT ,GEO WASH MEM HWY ,23690,
4/2/2006,"ASSAULT, SIMPLE ",GEO WASH MEM HWY ,23690,
4/26/2006,"ASSAULT, SIMPLE ",GEO WASH MEM HWY ,23690,
4/13/2006,POSSESSION OF MARIJUANA ,GEO WASH MEM HWY ,23690,
4/9/2006,CITIZEN REQUESTED ASSISTANCE ,GEO WASH MEM HWY ,23690,
4/5/2006,CITIZEN REQUESTED ASSISTANCE ,GEO WASH MEM HWY ,23690,
4/4/2006,DRIVING W/SUSPENDED OR REVOKED LICENSE ,GEO WASH MEM HWY ,23690,
3/27/2006,"DAMAGE PROPERTY, PRIVATE ",GEO WASH MEM HWY ,23690,
3/3/2006,TOBACCO PRODUCTS - POSSESSION OF PRODUCT BY PERSONS UN ,GEO WASH MEM HWY,23690,
3/3/2006,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",GEO WASH MEM HWY ,23690,
2/22/2006,CITIZEN REQUESTED ASSISTANCE ,GEO WASH MEM HWY ,23690,
2/21/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEO WASH MEM HWY ,23690,
1/30/2006,LOST PROPERTY ,GEO WASH MEM HWY ,23690,
2/16/2006,DISORDERLY CONDUCT ,GEO WASH MEM HWY ,23690,
2/16/2006,"ASSAULT, SIMPLE ",GEO WASH MEM HWY ,23690,
2/15/2006,CITIZEN REQUESTED ASSISTANCE ,GEO WASH MEM HWY ,23690,
2/10/2006,NO DRIVERS LICENSE ,GEO WASH MEM HWY ,23690,
2/10/2006,"DAMAGE PROPERTY, PRIVATE ",GEO WASH MEM HWY ,23690,
2/10/2006,MOTOR VEHICLE THEFT ,GEO WASH MEM HWY ,23690,
2/3/2006,"DAMAGE PROPERTY, PRIVATE ",GEO WASH MEM HWY ,23690,
2/6/2006,PETIT LARCENY ,GEO WASH MEM HWY ,23690,
2/7/2006,DISORDERLY CONDUCT ,GEO WASH MEM HWY ,23690,
2/7/2006,"ASSAULT, SIMPLE ",GEO WASH MEM HWY ,23690,
1/31/2006,RECKLESS - GENERAL ,GEO WASH MEM HWY ,23690,
1/19/2006,DISORDERLY CONDUCT ,GEO WASH MEM HWY ,23690,
1/19/2006,"ASSAULT, SIMPLE ",GEO WASH MEM HWY ,23690,
1/13/2006,LOST PROPERTY ,GEO WASH MEM HWY ,23690,
8/3/2006,HABITUAL OFFENDER ,GEO WASH MEM HWY ,23690,
8/3/2006,POSSESSION OF MARIJUANA ,GEO WASH MEM HWY ,23690,
2/28/2006,ELUDING POLICE -ENDANGER PERSONS OR POLICE CAR ,GEO WASH MEM HWY ,23690,
2/28/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEO WASH MEM HWY ,23690,
8/6/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEO WASH MEM HWY ,23690,
12/7/2006,CITIZEN REQUESTED ASSISTANCE ,GEO WASH MEM HWY ,23690,
12/17/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEO WASH MEM HWY ,23690,
12/17/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEO WASH MEM HWY ,23690,
12/17/2006,REFUSE BLOOD/BREATH TEST ,GEO WASH MEM HWY ,23690,
12/17/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEO WASH MEM HWY ,23690,
12/17/2006,CITIZEN REQUESTED ASSISTANCE ,GEO WASH MEM HWY ,23690,
2/18/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEO WASH MEM HWY ,23690,
12/6/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEO WASH MEM HWY ,23690,
10/29/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEO WASH MEM HWY ,23690,
4/15/2006,REFUSE BLOOD/BREATH TEST ,GEO WASH MEM HWY ,23690,
4/15/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEO WASH MEM HWY ,23690,
11/7/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEO WASH MEM HWY ,23690,
12/10/2006,CITIZEN REQUESTED ASSISTANCE ,GEO WASH MEM HWY ,23690,
12/21/2006,CITIZEN REQUESTED ASSISTANCE ,GEO WASH MEM HWY ,23690,
8/29/2006,RECKLESS - GENERAL ,GEO WASH MEM HWY ,23690,
7/25/2006,RECKLESS - GENERAL ,GEO WASH MEM HWY ,23690,
7/25/2006,POSSESSION OF CONTROLLED SUBSTANCES ,GEO WASH MEM HWY ,23690,
7/19/2006,DRIVING W/SUSPENDED OR REVOKED LICENSE ,GEO WASH MEM HWY ,23690,
7/19/2006,HIT AND RUN -PERSONAL INJURY ,GEO WASH MEM HWY ,23690,
7/19/2006,ELUDING POLICE -ENDANGER PERSONS OR POLICE CAR ,GEO WASH MEM HWY ,23690,
4/2/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEO WASH MEM HWY ,23690,
11/26/2006,DRIVING W/SUSPENDED OR REVOKED LICENSE ,GEO WASH MEM HWY ,23690,
9/11/2006,DRIVING W/SUSPENDED OR REVOKED LICENSE ,GEO WASH MEM HWY ,23690,
6/16/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEO WASH MEM HWY ,23690,
10/15/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GEO WASH MEM HWY ,23690,
12/20/2006,CITIZEN REQUESTED ASSISTANCE ,GOOSLEY ROAD ,23690,
5/26/2006,CITIZEN REQUESTED ASSISTANCE ,GOOSLEY ROAD ,23690,
1/1/2006,CITIZEN REQUESTED ASSISTANCE ,GOOSLEY ROAD ,23690,
2/6/2006,"ASSAULT, SIMPLE ",GOOSLEY ROAD ,23690,
10/30/2006,GRAND LARCENY ,GOOSLEY ROAD ,23690,KINGS COURT
6/13/2006,POSSESSION OF MARIJUANA ,GOOSLEY ROAD ,23690,KINGS COURT
5/24/2006,"DAMAGE PROPERTY, PRIVATE ",GOOSLEY ROAD ,23690,KINGS COURT
5/14/2006,"DAMAGE PROPERTY, PRIVATE ",GOOSLEY ROAD ,23690,KINGS COURT
5/14/2006,"ASSAULT, SIMPLE ",GOOSLEY ROAD ,23690,KINGS COURT
1/17/2006,CITIZEN REQUESTED ASSISTANCE ,GOOSLEY ROAD ,23690,
1/17/2006,"ASSAULT, SIMPLE ",GOOSLEY ROAD ,23690,
8/8/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,GOOSLEY ROAD ,23690,
7/15/2006,LOST PROPERTY ,GOOSLEY ROAD ,23690,
12/13/2006,IDENTITY FRAUD ,HARROD LANE ,23690,WHITE OAK
2/5/2006,DRUNK IN PUBLIC ,LAFAYETTE ROAD ,23690,SURRENDER FIELD
9/17/2006,CITIZEN REQUESTED ASSISTANCE ,LAFAYETTE ROAD ,23690,SURRENDER FIELD
7/4/2006,"ASSAULT, AGGRAVATED ",LAFAYETTE ROAD ,23690,SURRENDER FIELD
3/6/2006,DEAD ON ARRIVAL ,LAFAYETTE ROAD ,23690,SURRENDER FIELD
12/28/2006,CITIZEN REQUESTED ASSISTANCE ,LEIGH ROAD ,23690,HICKORY HILL
8/2/2006,CITIZEN REQUESTED ASSISTANCE ,LEIGH ROAD ,23690,HICKORY HILL
9/5/2006,"DAMAGE PROPERTY, PRIVATE ",LEIGH ROAD ,23690,HICKORY HILL
5/25/2006,CITIZEN REQUESTED ASSISTANCE ,LEIGH ROAD ,23690,HICKORY HILL
4/29/2006,CITIZEN REQUESTED ASSISTANCE ,LEIGH ROAD ,23690,HICKORY HILL
4/7/2006,CITIZEN REQUESTED ASSISTANCE ,LEIGH ROAD ,23690,HICKORY HILL
2/7/2006,"DAMAGE PROPERTY, PRIVATE ",LEIGH ROAD ,23690,HICKORY HILL
10/24/2006,RAPE ,LEIGH ROAD ,23690,KINGS COURT
9/29/2006,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",LEIGH ROAD ,23690,KINGS COURT
8/24/2006,USE OR DISPLAY FIREARM IN COMMISSION OF FELONY ,LEIGH ROAD ,23690,KINGS COURT
8/24/2006,RAPE ,LEIGH ROAD ,23690,KINGS COURT
8/24/2006,ABDUCTION & KIDNAPPING ,LEIGH ROAD ,23690,KINGS COURT
9/3/2006,CITIZEN REQUESTED ASSISTANCE ,MAGNOLIA LANE ,23690,HICKORY HILL
3/17/2006,"DAMAGE PROPERTY, PRIVATE ",MAGNOLIA LANE ,23690,HICKORY HILL
8/18/2006,DEAD ON ARRIVAL ,MAIN STREET ,23690,
6/16/2006,CARRYING CONCEALED WEAPON -1ST OFFENSE ,MAIN STREET ,23690,
6/16/2006,POSSESSION OF CONTROLLED SUBSTANCES ,MAIN STREET ,23690,
2/3/2006,"FRAUD, ALL OTHERS ",MAIN STREET ,23690,
8/1/2006,CITIZEN REQUESTED ASSISTANCE ,MAPLE ROAD ,23690,
7/14/2006,CITIZEN REQUESTED ASSISTANCE ,MAPLE ROAD ,23690,
6/26/2006,GRAND LARCENY ,MAPLE ROAD ,23690,
5/8/2006,"ASSAULT, SIMPLE, DOMESTIC ",MAPLE ROAD ,23690,
2/18/2006,"DAMAGE PROPERTY, PRIVATE ",MAPLE ROAD ,23690,
2/18/2006,"BURGLARY, RESIDENTIAL ",MAPLE ROAD ,23690,
1/16/2006,CITIZEN REQUESTED ASSISTANCE ,MAPLE ROAD ,23690,
10/1/2006,DRIVING UNDER THE INFLUENCE OF ALCOHOL ,MATHEWS STREET ,23690,
5/6/2006,CITIZEN REQUESTED ASSISTANCE ,MAURICE COURT ,23690,ENDVIEW WOODS
1/8/2006,CITIZEN REQUESTED ASSISTANCE ,MOORE HOUSE ROAD ,23690,SURRENDER FIELD
8/9/2006,CITIZEN REQUESTED ASSISTANCE ,MUSE LANE ,23690,
4/6/2006,"ASSAULT, SIMPLE, DOMESTIC ",MUSE LANE ,23690,
1/24/2006,IDENTITY FRAUD ,MUSE LANE ,23690,
4/18/2006,GRAND LARCENY ,NELSON ROAD ,23690,TEMPLE FARM
7/8/2006,"DAMAGE PROPERTY, PRIVATE ",NELSON STREET ,23690,
6/20/2006,"ASSAULT, SIMPLE ",OLD WILLIAMSBURG ROAD ,23690,
5/4/2001,"ASSAULT, SIMPLE, DOMESTIC ",OLD WILLIAMSBURG ROAD ,23690,
1/24/2006,ABUSE AND NEGLECT OF CHILDREN ,OLD WILLIAMSBURG ROAD ,23690,
10/12/2006,"LARCENY,FROM MOTOR VEHICLE ",OLD WILLIAMSBURG ROAD ,23690,
9/29/2006,"GRAFFITI ,PRIVATE PROPERTY ",OLD WILLIAMSBURG ROAD ,23690,
9/28/2006,"ASSAULT, SIMPLE, DOMESTIC ",OLD WILLIAMSBURG ROAD ,23690,
8/2/2006,"DAMAGE PROPERTY, PRIVATE ",OLD WILLIAMSBURG ROAD ,23690,
7/25/2006,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,23690,
7/23/2006,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,23690,
7/20/2006,PETIT LARCENY ,OLD WILLIAMSBURG ROAD ,23690,
7/8/2006,"LARCENY,FROM MOTOR VEHICLE ",OLD WILLIAMSBURG ROAD ,23690,
6/13/2006,"ASSAULT, SIMPLE, DOMESTIC ",OLD WILLIAMSBURG ROAD ,23690,
5/13/2006,"DAMAGE PROPERTY, PRIVATE ",OLD WILLIAMSBURG ROAD ,23690,
5/5/2006,OBSCENE/THREATENING PHONE CALL ,OLD WILLIAMSBURG ROAD ,23690,
4/15/2006,"ASSAULT, SIMPLE, DOMESTIC ",OLD WILLIAMSBURG ROAD ,23690,
4/27/2006,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,23690,GRAND OAKS
12/30/2006,"ASSAULT, SIMPLE, DOMESTIC ",OLD WILLIAMSBURG ROAD ,23690,
12/30/2006,PETIT LARCENY ,OLD WILLIAMSBURG ROAD ,23690,
12/30/2006,"ASSAULT, SIMPLE, DOMESTIC ",OLD WILLIAMSBURG ROAD ,23690,
12/22/2006,"ASSAULT, SIMPLE, DOMESTIC ",OLD WILLIAMSBURG ROAD ,23690,
11/19/2006,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,23690,
10/23/2006,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,23690,
11/11/2006,DRUNK IN PUBLIC ,OLD WILLIAMSBURG ROAD ,23690,
11/2/2006,ABUSE AND NEGLECT OF CHILDREN ,OLD WILLIAMSBURG ROAD ,23690,
11/9/2006,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,23690,
11/1/2006,ATTEMPTED SUICIDE ,OLD WILLIAMSBURG ROAD ,23690,
9/27/2006,DRIVING W/SUSPENDED OR REVOKED LICENSE ,OLD WILLIAMSBURG ROAD ,23690,
9/27/2006,RECEIVING STOLEN GOODS ,OLD WILLIAMSBURG ROAD ,23690,
9/27/2006,"ASSAULT, SIMPLE, DOMESTIC ",OLD WILLIAMSBURG ROAD ,23690,
9/5/2006,"FRAUD, ALL OTHERS ",OLD WILLIAMSBURG ROAD ,23690,
8/6/2006,"ASSAULT, SIMPLE ",OLD WILLIAMSBURG ROAD ,23690,
8/31/2006,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,23690,
9/1/2006,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,23690,
8/31/2006,MISSING PERSON ,OLD WILLIAMSBURG ROAD ,23690,
9/2/2006,"ASSAULT, SIMPLE, DOMESTIC ",OLD WILLIAMSBURG ROAD ,23690,
8/27/2006,"ASSAULT, SIMPLE, DOMESTIC ",OLD WILLIAMSBURG ROAD ,23690,
8/20/2006,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,23690,
8/13/2006,"FRAUD, ALL OTHERS ",OLD WILLIAMSBURG ROAD ,23690,
7/29/2006,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,23690,
7/20/2006,"DAMAGE PROPERTY, PRIVATE ",OLD WILLIAMSBURG ROAD ,23690,
7/20/2006,"BURGLARY, RESIDENTIAL ",OLD WILLIAMSBURG ROAD ,23690,
7/13/2006,UNAUTHORIZED USE OF VEHICLE ,OLD WILLIAMSBURG ROAD ,23690,
7/6/2006,CITIZEN REQUESTED ASSISTANCE ,OLD WILLIAMSBURG ROAD ,23690,
7/10/2006,"ASSAULT, SIMPLE, DOMESTIC ",OLD WILLIAMSBURG ROAD ,23690,
7/5/2006,IMPERSONATING LAW ENFORCEMENT OFFICER ,OLD WILLIAMSBURG ROAD ,23690,
6/21/2006,"ASSAULT, SIMPLE, DOMESTIC ",OLD WILLIAMSBURG ROAD ,23690,
