Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
Burglary,43,22,5,2,36,1,0,0,28,6,120,10,9,0,3,0,13,1,10,1,1,0,2,0,2,4,26,5,5,2,84,77,27,13,19,0,3,0,39,10,7,5,2,5,18,7,147,138,50,41,0,0,51,17,3,4,66,16,26,0,161,56,109,26,15,12,14,6,38,6,175,109,7,5,7,2,12,5,1383,614
Larceny,378,128,15,4,121,7,2,0,116,12,772,36,256,94,10,1,482,9,44,7,8,0,25,4,100,9,270,7,89,11,501,212,138,13,74,0,8,1,364,65,79,13,8,2,100,19,463,344,705,84,156,29,237,22,7,1,277,23,59,0,551,83,575,171,114,21,156,45,211,16,1057,537,180,25,49,2,215,114,8972,2171
Motor Vehicle Theft,20,5,4,0,1,0,2,0,0,0,16,1,5,7,1,0,4,0,8,1,0,0,0,0,5,2,0,0,1,0,27,21,2,8,0,0,2,0,0,0,3,1,5,1,10,4,35,19,0,0,0,0,1,0,0,0,12,3,4,0,55,17,47,16,20,2,0,0,0,0,25,17,10,1,7,2,0,0,332,128
Counterfeiting/Forgery,37,1,9,0,33,0,2,0,26,1,49,2,17,0,0,0,10,0,3,0,1,0,0,0,6,0,14,0,7,1,33,0,25,1,6,0,0,0,30,0,11,0,7,0,14,0,65,5,42,2,0,0,20,0,0,0,23,0,9,0,43,2,65,2,35,0,23,1,19,1,115,7,25,1,8,0,14,2,846,29
Fraud,80,1,14,0,26,1,2,1,31,1,96,1,25,5,3,0,78,0,4,0,4,0,5,0,6,0,32,1,3,0,61,1,31,0,8,0,3,0,78,2,28,0,1,0,10,0,100,5,61,0,3,0,37,0,2,0,55,2,18,0,154,0,81,5,15,0,34,1,20,1,194,11,40,1,14,0,24,1,1481,41
Embezzlement,52,9,0,0,25,0,0,0,12,0,75,2,31,2,0,0,12,0,4,0,0,0,1,0,14,0,31,1,2,0,65,1,19,0,3,0,0,0,33,1,10,0,3,0,7,2,31,9,26,0,0,0,18,0,1,0,12,0,6,0,31,1,55,5,10,0,12,0,14,0,81,0,13,1,11,0,28,2,748,36
Stolen Property,10,9,1,0,7,0,0,0,4,2,32,4,4,1,0,0,1,0,1,0,4,0,0,0,4,1,8,0,3,0,53,13,9,3,6,0,0,0,10,9,5,0,3,0,0,0,28,21,50,5,1,0,19,10,1,2,40,3,3,0,34,8,5,3,0,8,5,0,10,3,44,13,3,2,0,0,1,1,409,121
Vandalism,39,21,8,2,22,0,2,0,47,1,33,0,19,3,2,0,76,0,6,2,4,0,1,14,6,1,31,0,15,0,48,40,29,15,30,0,0,1,51,8,16,0,1,0,31,10,95,100,53,14,10,0,106,9,15,1,97,1,30,1,143,57,112,88,26,17,27,9,36,1,245,172,17,14,14,3,18,5,1561,610
Drug/Narcotic Offenses,372,21,83,11,149,4,12,0,168,7,1480,109,189,20,12,0,275,4,78,13,11,2,23,8,103,9,247,6,43,8,1415,119,264,9,159,2,9,1,730,53,161,4,88,9,89,4,1802,252,1143,32,46,6,341,9,38,16,944,25,157,1,1913,91,1189,126,109,16,193,18,301,7,2192,394,143,10,115,9,276,14,17062,1449
"Sex Offenses, Nonforcible",0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,1,0,1,0,2,1,0,0,0,0,1,0,1,0,7,1,0,0,0,0,0,1,35,3
Pornography,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,21,1
Gambling,49,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,4,12,0,0,0,1,0,0,0,8,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,86,8
Prostitution,22,0,0,0,2,0,0,0,6,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,88,0,82,0,0,0,7,0,0,0,35,0,0,0,26,0,78,0,0,0,0,0,0,0,83,0,0,0,1,0,0,0,455,0
Bribery,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0
Weapon Law Violations,38,22,4,1,13,0,2,0,28,5,123,9,28,14,0,1,72,3,5,2,0,0,2,0,4,2,17,0,5,0,146,39,20,3,25,4,0,0,41,13,25,2,13,1,18,1,179,80,142,14,5,0,40,11,0,2,97,5,4,0,190,23,73,24,11,2,13,3,55,7,232,77,13,2,9,2,21,8,1713,382
TOTAL GROUP A,1748,347,230,30,642,25,50,3,805,57,4442,232,727,183,93,12,1709,26,266,45,50,7,99,28,413,41,998,25,252,26,3573,811,783,94,643,8,48,3,2241,215,572,48,183,22,507,87,4691,1397,3575,287,249,36,1725,160,95,35,2854,131,471,5,5581,721,3805,668,532,107,708,112,1241,57,7896,2266,694,89,325,40,843,192,56359,8678
Bad Checks,16,0,73,0,26,0,3,0,215,0,116,0,11,0,0,0,176,0,19,0,1,0,0,0,9,0,22,0,81,0,16,0,88,0,27,0,0,0,118,1,8,0,2,0,8,0,7,0,90,0,0,0,29,0,0,0,33,0,89,0,45,0,17,0,22,0,33,0,77,0,62,0,9,0,0,0,29,0,1577,1
Curfew/Loitering/Vagrancy,19,0,0,6,0,0,0,0,0,22,1,77,0,68,0,0,0,39,0,13,0,0,0,0,0,15,0,0,0,0,1,248,0,0,0,34,0,0,2,0,0,0,0,0,0,0,5,275,0,0,0,0,1,11,0,13,0,12,0,0,0,69,4,33,0,0,0,0,0,65,36,915,4,3,0,0,0,2,73,1920
Disorderly Conduct,173,7,4,1,19,2,5,1,39,6,71,21,24,18,3,2,72,7,9,8,5,1,16,1,10,3,26,2,13,1,14,29,60,1,16,0,2,0,126,22,68,5,11,1,43,12,58,21,713,106,3,0,91,4,2,0,86,14,40,0,133,160,111,202,48,8,10,15,80,4,936,182,27,5,9,1,25,0,3201,873
Driving Under Influence,551,3,78,5,125,0,39,1,136,1,672,3,257,1,50,1,195,0,65,0,2,0,48,0,34,0,200,0,92,1,396,1,189,0,39,0,71,1,249,1,145,0,164,1,84,1,360,4,281,0,109,0,80,1,31,2,187,0,141,1,291,0,381,5,146,2,176,2,188,0,2158,11,118,4,101,1,221,2,8850,56
Drunkenness,869,3,53,0,418,0,26,0,556,6,557,2,94,4,54,0,594,0,72,2,19,0,131,2,43,1,269,1,162,1,1083,17,469,3,87,0,112,0,542,0,534,1,106,0,111,0,931,4,1145,8,223,2,125,0,25,8,435,0,134,0,800,6,2136,1,215,4,258,0,137,1,3960,25,162,6,106,1,97,0,17850,109
"Family Offenses, Nonforcible",1,0,3,0,14,0,0,0,0,0,14,0,24,0,0,1,2,0,1,0,1,0,0,0,4,0,9,0,2,0,79,0,12,0,1,0,0,0,7,0,0,0,1,0,0,0,170,12,121,1,2,0,33,0,0,0,121,0,5,0,341,4,25,1,4,0,2,0,33,0,51,0,13,0,0,0,5,0,1101,19
Liquor Laws Violations,585,73,30,9,29,9,3,1,58,9,152,39,19,15,15,9,20,3,4,3,3,2,24,8,9,1,54,0,19,9,31,27,336,7,11,1,30,6,251,10,69,19,2,1,32,3,26,54,565,5,32,10,40,0,30,36,51,3,521,4,84,3,243,3,49,15,72,38,48,3,1072,320,34,9,53,17,99,35,4805,819
Peeping Tom,2,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,30,2
Runaway,0,159,0,0,0,1,0,0,0,62,0,510,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,1130,0,78,0,0,0,14,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,9,0,40,0,0,0,5,0,2538
Trespass of Real Property,287,22,44,1,42,0,1,0,178,4,224,23,28,13,5,3,224,17,33,7,4,0,38,2,4,2,49,0,12,0,189,49,50,0,25,1,4,1,307,10,47,14,3,1,22,3,191,196,890,93,27,2,116,19,5,1,752,12,14,1,1041,91,543,54,19,3,55,13,97,7,595,160,19,5,8,3,29,2,6221,835
Conspiracy,0,0,0,0,17,1,0,0,1,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1
All Other (except Traffic),450,20,111,16,738,31,64,1,836,27,2771,114,889,43,61,2,1846,62,327,14,3,0,122,15,131,3,584,31,57,4,3665,144,1247,13,193,4,18,0,2297,87,355,37,140,7,538,48,458,655,4027,2559,112,2,1816,82,25,3,3648,18,307,1,5126,73,1071,174,533,18,825,33,866,8,9329,504,500,20,43,3,925,29,47054,4905
TOTAL GROUP B,2953,287,396,38,1428,44,141,4,2019,137,4587,789,1346,188,189,18,3130,128,538,48,38,3,379,28,244,25,1214,34,438,16,5474,951,2457,24,399,40,237,8,3899,184,1227,76,430,11,839,67,2209,2351,7832,2850,509,16,2331,131,118,63,5314,59,1252,7,7861,407,4538,486,1036,51,1431,101,1526,88,18206,2127,886,92,320,26,1430,75,90801,12078
GRAND TOTAL,4701,634,626,68,2070,69,191,7,2824,194,9029,1021,2073,371,282,30,4839,154,804,93,88,10,478,56,657,66,2212,59,690,42,9047,1762,3240,118,1042,48,285,11,6140,399,1799,124,613,33,1346,154,6900,3748,11407,3137,758,52,4056,291,213,98,8168,190,1723,12,13442,1128,8343,1154,1568,158,2139,213,2767,145,26102,4393,1580,181,645,66,2273,267,147160,20756
