yfips,year,fips,state,county_name,total_pop,total_pop_15to64,female_pop_15to64,male_pop_15to64,asian_pop_15to64,black_pop_15to64,latino_pop_15to64,native_pop_15to64,other_pop_15to64,white_pop_15to64,urbanicity,region,division,commuting_zone,metro_area,land_area,total_jail_adm,total_jail_adm_dcrp,female_jail_adm_dcrp,male_jail_adm_dcrp,total_jail_pop,female_jail_pop,male_jail_pop,asian_jail_pop,black_jail_pop,latino_jail_pop,native_jail_pop,white_jail_pop,total_jail_pretrial,female_jail_pretrial,male_jail_pretrial,jail_from_state_prison,jail_from_other_state_prison,jail_from_state_jail,jail_from_other_state_jail,jail_from_fed,jail_from_ice,total_jail_pop_dcrp,female_jail_pop_dcrp,male_jail_pop_dcrp,total_prison_pop,female_prison_pop,male_prison_pop,asian_prison_pop,black_prison_pop,latino_prison_pop,native_prison_pop,other_prison_pop,white_prison_pop,total_prison_adm,female_prison_adm,male_prison_adm,asian_prison_adm,black_prison_adm,latino_prison_adm,native_prison_adm,other_prison_adm,white_prison_adm,num_facilites,num_employees,confined_pop,capacity,ucr_population,index_crime,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,agr_assault_crime,burglary_crime,larceny_crime,mv_theft_crime,arson_crime
198051001,1980,51001,VA,Accomack County,31266,19420,10133,9287,,6850,,,56,12514,rural,South,South Atlantic,173,,449.324,640.0571,,,,24.6,2.2,22.4,,,,,,5,1.555556,16,3.6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,31147,511,23,488,2,4,5,12,234,236,15,3
198151001,1981,51001,VA,Accomack County,31305,19515,10162,9353,,6850,,,59,12606,rural,South,South Atlantic,173,,449.324,699.3715,,,,25.4,2.8,22.6,,,,,,6,1.611111,18,3.4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,31747,572,41,531,4,2,15,20,195,296,34,6
198251001,1982,51001,VA,Accomack County,31268,19477,10148,9329,,6803,,,61,12613,rural,South,South Atlantic,173,,449.324,758.6857,,,,26.2,3.4,22.8,,,,,,7,1.666667,20,3.2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,32128,476,35,441,3,6,8,18,155,259,23,4
198351001,1983,51001,VA,Accomack County,31212,19444,10125,9319,,6761,,,67,12616,rural,South,South Atlantic,173,,449.324,818,,,,27,4,23,,,,,,8,1.722222,22,3,0,0,0,0,0,,,,38,0,38,0,20,0,0,0,18,,,,,,,,,,0,0,0,0,32469,376,25,351,1,5,4,15,159,179,10,3
198451001,1984,51001,VA,Accomack County,31077,19396,10094,9302,,6702,,,68,12626,rural,South,South Atlantic,173,,449.324,883.4,,,,33.8,4.2,29.8,,,,,,13.2,1.777778,24,8.466666,0,0,0,0,0,,,,52,0,52,0,30,0,0,0,22,,,,,,,,,,0,0,0,0,31923,392,23,369,1,5,4,13,207,141,16,5
198551001,1985,51001,VA,Accomack County,31073,19389,10098,9291,,6663,,,70,12656,rural,South,South Atlantic,173,,449.324,948.8,,,,40.6,4.4,36.6,,,,,,18.4,1.833333,26,13.93333,0,0,0,0,0,,,,52,0,52,0,31,0,0,0,21,10,0,10,0,7,0,0,3,,0,0,0,0,30864,434,42,392,2,5,4,31,193,166,21,12
198651001,1986,51001,VA,Accomack County,31228,19504,10141,9363,,6677,,,72,12755,rural,South,South Atlantic,173,,449.324,1014.2,,,,47.4,4.6,43.4,,,,,,23.6,1.888889,28,19.4,0,0,0,0,0,,,,61,,,0,35,,0,1,25,25,,,0,12,,0,2,11,0,0,0,0,31802,635,41,594,1,3,6,31,298,251,30,15
198751001,1987,51001,VA,Accomack County,31567,19687,10229,9458,,6722,,,74,12891,rural,South,South Atlantic,173,,449.324,1079.6,,,,54.2,4.8,50.2,,,,,,28.8,1.944444,30,24.86667,0,0,0,0,0,,,,67,0,67,0,42,0,0,0,25,27,0,27,0,19,0,0,0,8,0,0,0,0,32241,588,27,561,2,4,8,13,284,247,26,4
198851001,1988,51001,VA,Accomack County,31711,19734,10262,9472,,6715,,,80,12939,rural,South,South Atlantic,173,,449.324,1145,,,,61,5,57,,,,,,34,2,32,30.33333,0,1,0,3,3,,,,82,4,78,0,53,0,0,0,29,35,4,31,0,26,0,0,0,9,0,0,0,0,32804,544,37,507,2,10,7,18,228,242,31,6
198951001,1989,51001,VA,Accomack County,31868,19720,10257,9463,,6684,,,83,12953,rural,South,South Atlantic,173,,449.324,1119.143,,,,64.2,5.8,59.2,,,,,,31.4,2,29.4,35.8,0,1.176471,0,2.96,2.96,,,,87,4,83,0,60,,0,1,26,35,,,0,26,,0,2,7,0,0,0,0,31933,563,44,519,2,5,8,29,222,271,20,6
199051001,1990,51001,VA,Accomack County,31803,19586,10183,9403,45,6537,317,19,,12668,rural,South,South Atlantic,173,,449.324,1093.286,,,,67.4,6.6,61.4,0,47,4.8,0,14.2,28.8,2,26.8,41.26667,0,1.352941,0,2.92,2.92,,,,83,,,0,56,,0,1,26,24,,,0,21,0,0,3,,0,0,0,0,31703,608,62,546,4,9,3,46,171,339,34,2
199151001,1991,51001,VA,Accomack County,32520,20027,10388,9639,46,6675,343,20,,12943,rural,South,South Atlantic,173,,449.324,1067.429,,,,70.6,7.4,63.6,0,49,4.2,0,14.8,26.2,2,24.2,46.73333,0,1.529412,0,2.88,2.88,,,,99,0,99,0,64,0,0,1,34,52,,,0,36,0,0,1,15,0,0,0,0,32205,391,69,322,3,8,9,49,92,203,24,3
199251001,1992,51001,VA,Accomack County,33215,20429,10578,9851,43,6777,387,23,,13199,rural,South,South Atlantic,173,,449.324,1041.571,,,,73.8,8.2,65.8,0,51,3.6,0,15.4,23.6,2,21.6,52.2,0,1.705882,0,2.84,2.84,,,,108,5,103,0,70,,0,2,36,42,7,35,0,31,,0,1,10,0,0,0,0,32669,430,41,389,3,8,2,28,143,224,21,1
199351001,1993,51001,VA,Accomack County,33907,20891,10795,10096,46,6892,444,27,,13482,rural,South,South Atlantic,173,,449.324,1015.714,,,,77,9,68,1,53,3,0,16,21,2,19,57.66667,0,1.882353,0,2.8,2.8,,,,110,,,0,76,0,0,1,33,72,5,67,0,61,0,0,0,11,0,0,0,0,,,,,,,,,,,,
199451001,1994,51001,VA,Accomack County,34568,21373,11026,10347,47,7010,526,31,,13759,rural,South,South Atlantic,173,,449.324,989.8572,,,,81,5,61,1,45,2,0,19,23.25,2.25,21,63.13334,0,2.058824,0,2.76,2.76,,,,129,4,125,0,88,0,0,1,40,59,5,54,0,43,0,0,0,16,0,0,0,0,32769,469,47,422,2,5,15,25,165,221,36,0
199551001,1995,51001,VA,Accomack County,35024,21709,11189,10520,44,7099,607,33,,13926,rural,South,South Atlantic,173,,449.324,964,,,,79,9,51,1,45,1,0,14,25.5,2.5,23,68.6,0,2.235294,0,2.72,2.72,,,,146,10,136,0,100,0,0,1,45,61,9,52,0,45,0,0,0,16,0,0,0,0,32692,542,57,485,0,2,21,34,110,327,47,1
199651001,1996,51001,VA,Accomack County,35680,22179,11404,10775,51,7200,733,39,,14156,rural,South,South Atlantic,173,,449.324,938.1429,,,,65,7,61,1,48,3,0,17,27.75,2.75,25,74.06667,0,2.411765,0,2.68,2.68,,,,153,7,146,0,106,0,0,0,47,55,4,51,0,40,0,0,0,15,0,0,0,0,32971,582,63,519,1,8,21,33,109,355,54,1
199751001,1997,51001,VA,Accomack County,36268,22632,11598,11034,51,7292,873,45,,14371,rural,South,South Atlantic,173,,449.324,912.2857,,,,75,8,85,1,65,3,0,24,30,3,27,79.53333,0,2.588235,0,2.64,2.64,,,,160,7,153,0,117,0,0,0,43,65,4,61,0,49,0,0,0,16,0,0,0,0,33261,672,64,608,1,7,18,38,147,406,54,1
199851001,1998,51001,VA,Accomack County,37059,23207,11849,11358,61,7405,1071,54,,14616,rural,South,South Atlantic,173,,449.324,886.4286,,,,80,10,75,0,66,4,0,15,62,6,56,85,0,2.764706,0,2.6,2.6,,,,153,5,148,0,115,,0,2,36,55,,,0,43,,0,2,10,0,0,0,0,32368,931,61,870,2,12,13,34,194,593,81,2
199951001,1999,51001,VA,Accomack County,37614,23655,12030,11625,62,7471,1262,65,,14795,rural,South,South Atlantic,173,,449.324,1147.143,,,,108,19,88,0,82,3,0,22,62,9,53,106,0,2.941176,0,2.56,2.56,,,,144,7,137,0,112,,0,1,31,53,5,48,0,45,0,0,0,8,0,0,0,0,32632,776,71,705,2,7,28,34,166,457,81,1
200051001,2000,51001,VA,Accomack County,38215,24198,12273,11925,69,7551,1472,92,,15014,rural,South,South Atlantic,173,,449.324,1242.738,1416,220,1196,104.8333,16.5,85.66666,0,75.5,3.5,0,23.16667,58.5,7.666667,50.83333,99.92857,0,3.117647,0,2.52,2.52,115,15,100,244,15,229,0,190,4,0,0,50,72,7,65,0,58,,0,2,12,0,0,0,0,37468,911,93,818,1,10,32,50,199,540,77,2
200151001,2001,51001,VA,Accomack County,37742,23837,12153,11684,76,7399,1428,80,,14854,rural,South,South Atlantic,173,,449.324,1338.333,1416,220,1196,101.6667,14,83.33334,0,69,4,0,24.33333,55,6.333333,48.66667,93.85714,0,3.294118,0,2.48,2.48,110,10,100,251,10,241,0,181,,0,1,69,67,4,63,0,46,0,0,0,21,0,0,0,0,38046,842,91,751,3,8,42,38,217,469,65,0
200251001,2002,51001,VA,Accomack County,37308,23701,12112,11589,80,7328,1490,80,,14723,rural,South,South Atlantic,173,,449.324,1433.929,1416,220,1196,98.5,11.5,81,0,62.5,4.5,0,25.5,51.5,5,46.5,87.78571,0,3.470588,0,2.44,2.44,91,8,83,274,17,257,0,201,,0,3,70,69,7,62,0,51,,0,1,17,0,0,0,0,38607,738,94,644,1,7,34,52,185,410,49,0
200351001,2003,51001,VA,Accomack County,36742,23313,11914,11399,99,7168,1535,79,,14432,rural,South,South Atlantic,173,,449.324,1529.524,1416,220,1196,95.33334,9,78.66666,0,56,5,0,26.66667,48,3.666667,44.33333,81.71429,0,3.647059,0,2.4,2.4,102,10,92,282,25,257,0,212,,0,1,69,76,11,65,0,58,0,0,0,18,0,0,0,0,38656,687,62,625,1,13,23,25,109,456,59,1
200451001,2004,51001,VA,Accomack County,36310,23129,11853,11276,100,7046,1560,84,,14339,rural,South,South Atlantic,173,,449.324,1625.119,1416,220,1196,92.16666,6.5,76.33334,0,49.5,5.5,0,27.83333,44.5,2.333333,42.16667,75.64286,0,3.823529,0,2.36,2.36,92,10,82,250,18,232,0,179,5,0,0,66,52,5,47,0,35,,0,2,15,0,0,0,0,38575,690,59,631,1,11,21,26,85,495,50,1
200551001,2005,51001,VA,Accomack County,35835,22949,11763,11186,126,6985,1590,75,,14173,rural,South,South Atlantic,173,,449.324,1720.714,1410,196,1214,89,4,74,0,43,6,0,29,41,1,40,69.57143,0,4,3,2.32,2.32,118,18,118,238,11,227,0,155,5,0,0,78,50,,,0,29,0,0,0,21,0,0,0,0,39077,699,70,629,2,5,19,44,114,450,60,5
200651001,2006,51001,VA,Accomack County,35192,22629,11599,11030,125,6781,1665,74,,13984,rural,South,South Atlantic,173,,449.324,1669.375,1842,240,1602,90,5,75.375,0,41.25,6.25,0,32.875,47.125,1,40,63.5,0,3.875,3,2.28,2.28,215,27,188,224,15,209,0,154,6,0,0,64,59,5,54,0,40,,0,1,18,0,0,0,0,38976,810,95,715,5,8,40,42,168,476,69,2
200751001,2007,51001,VA,Accomack County,34553,22285,11403,10882,124,6685,1699,73,,13704,rural,South,South Atlantic,173,,449.324,1618.036,1402,120,1282,91,6,76.75,0,39.5,6.5,0,36.75,53.25,1,40,57.42857,0,3.75,3,2.24,2.24,114,11,103,233,13,220,0,149,6,0,0,78,61,4,57,0,37,0,0,0,24,0,0,0,0,39391,885,90,795,5,11,37,37,207,515,72,1
200851001,2008,51001,VA,Accomack County,33970,21782,11167,10615,135,6500,1799,73,,13275,rural,South,South Atlantic,173,,449.324,1566.697,1614,114,1500,92,7,78.125,0,37.75,6.75,0,40.625,59.375,1,40,51.35714,0,3.625,3,2.2,2.2,94,7,87,218,11,207,0,137,5,0,0,76,61,4,57,0,38,0,0,0,23,0,0,0,0,38357,864,79,785,3,12,32,32,224,510,51,0
200951001,2009,51001,VA,Accomack County,33415,21362,10923,10439,149,6305,1833,73,,13002,rural,South,South Atlantic,173,,449.324,1515.357,1484,178,1306,93,8,79.5,0,36,7,0,44.5,65.5,1,40,45.28571,0,3.5,3,2.16,2.16,104,6,98,222.4,11.4,211,,146.6,4.4,0,0.2,71.2,63.5,3.5,60,0,43,,0,0.5,20,0,0,0,0,38302,776,77,699,2,12,29,34,231,422,46,0
201051001,2010,51001,VA,Accomack County,33164,21076,10781,10295,157,6278,1826,70,,12745,rural,South,South Atlantic,173,,449.324,1464.018,1353,242,1111,94,9,80.875,0,34.25,7.25,0,48.375,71.625,1,40,39.21429,0,3.375,3,2.12,2.12,96,5,91,226.8,11.8,215,,156.2,3.8,0,0.4,66.4,66,,,0,48,,0,1,17,0,0,0,0,33164,677,62,615,2,8,31,21,153,414,42,6
201151001,2011,51001,VA,Accomack County,33147,21057,10760,10297,163,6300,1798,62,,12734,rural,South,South Atlantic,173,,449.324,1412.679,1292,90,1202,95,10,82.25,0,32.5,7.5,0,52.25,77.75,1,40,33.14286,0,3.25,3,2.08,2.08,77,4,73,231.2,12.2,219,,165.8,3.2,0,0.6,61.6,38,4,34,0,23,0,0,0,15,0,0,0,0,33560,757,64,693,6,12,18,28,170,484,35,4
201251001,2012,51001,VA,Accomack County,33222,20865,10605,10260,151,6285,1808,66,,12555,rural,South,South Atlantic,173,,449.324,1361.339,1325,197,1128,96,11,83.625,0,30.75,7.75,0,56.125,83.875,1,40,27.07143,0,3.125,3,2.04,2.04,80,5,75,235.6,12.6,223,,175.4,,0,3.4,56.8,29,0,29,0,20,,0,1,8,0,0,0,0,33704,727,63,664,2,9,15,37,179,423,21,41
201351001,2013,51001,VA,Accomack County,33264,20620,10449,10171,162,6291,1746,64,,12357,rural,South,South Atlantic,173,,449.324,1310,1310,190,1120,97,12,85,0,29,8,0,60,90,1,40,21,1,3,3,2,2,97,12,85,240,13,227,,185,,0,3,52,48,9,39,0,36,0,0,0,12,0,0,0,0,33467,616,36,580,3,9,7,17,135,364,29,52
201451001,2014,51001,VA,Accomack County,32963,20315,10296,10019,168,6250,1726,64,,12107,rural,South,South Atlantic,173,,449.324,1310,,,,97,12,85,0,29,8,0,60,90,1,40,21,1,3,3,2,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,33156,568,82,486,4,16,8,54,81,372,29,4
201551001,2015,51001,VA,Accomack County,32965,20191,10286,9905,201,6167,1687,63,,12073,rural,South,South Atlantic,173,,449.324,1310,,,,97,12,85,0,29,8,0,60,90,1,40,21,1,3,3,2,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
201651001,2016,51001,VA,Accomack County,32911,20036,10230,9806,197,6147,1717,62,,11913,rural,South,South Atlantic,173,,449.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197051003,1970,51003,VA,Albemarle County,37852,24682,11319,13363,,2869,,,80,21733,small/mid,South,South Atlantic,31,16820,720.468,0,,,,22,0,22,,,,,,16,0,16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197151003,1971,51003,VA,Albemarle County,38164,25229,11578,13651,,2853,,,102,22274,small/mid,South,South Atlantic,31,16820,720.468,0,,,,30.5,0,30.25,,,,,,19.625,0,19.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197251003,1972,51003,VA,Albemarle County,41400,27843,12912,14931,,3118,,,136,24589,small/mid,South,South Atlantic,31,16820,720.468,0,,,,39,0,38.5,,,,,,23.25,0,23,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197351003,1973,51003,VA,Albemarle County,42263,28829,13406,15423,,3177,,,159,25493,small/mid,South,South Atlantic,31,16820,720.468,0,,,,47.5,0,46.75,,,,,,26.875,0,26.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197451003,1974,51003,VA,Albemarle County,43957,30363,14178,16185,,3288,,,188,26887,small/mid,South,South Atlantic,31,16820,720.468,0,,,,56,0,55,,,,,,30.5,0,30,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197551003,1975,51003,VA,Albemarle County,47055,32906,15507,17399,,3532,,,230,29144,small/mid,South,South Atlantic,31,16820,720.468,0,,,,64.5,0,63.25,,,,,,34.125,0,33.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197651003,1976,51003,VA,Albemarle County,47693,33743,16059,17684,,3544,,,258,29941,small/mid,South,South Atlantic,31,16820,720.468,0,,,,73,0,71.5,,,,,,37.75,0,37,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
197751003,1977,51003,VA,Albemarle County,48578,34693,16700,17993,,3597,,,287,30809,small/mid,South,South Atlantic,31,16820,720.468,0,,,,81.5,0,79.75,,,,,,41.375,0,40.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,50552,1652,62,1590,4,4,9,45,384,1142,64,0
197851003,1978,51003,VA,Albemarle County,49213,35464,17242,18222,,3619,,,317,31528,small/mid,South,South Atlantic,31,16820,720.468,3128.571,,,,90,2,88,,,,,,45,1,44,26,0,4,0,1,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,51747,1795,67,1728,3,7,16,41,365,1280,83,0
197951003,1979,51003,VA,Albemarle County,50396,36455,17931,18524,,3685,,,352,32418,small/mid,South,South Atlantic,31,16820,720.468,3299.657,,,,92.4,3,89.4,,,,,,44,1.142857,41.85714,21.6,0,3.9,0,1,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
198051003,1980,51003,VA,Albemarle County,56128,40992,20478,20514,,4192,,,444,36356,small/mid,South,South Atlantic,31,16820,720.468,3470.743,,,,94.8,4,90.8,,,,,,43,1.285714,39.71429,17.2,0,3.8,0,1,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,55559,2289,46,2243,4,5,7,30,397,1775,68,3
198151003,1981,51003,VA,Albemarle County,57280,41854,20927,20927,,4259,,,544,37051,small/mid,South,South Atlantic,31,16820,720.468,3641.829,,,,97.2,5,92.2,,,,,,42,1.428571,37.57143,12.8,0,3.7,0,1,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,56630,2617,60,2557,5,3,13,39,361,2126,61,9
198251003,1982,51003,VA,Albemarle County,57805,42118,21141,20977,,4261,,,630,37227,small/mid,South,South Atlantic,31,16820,720.468,3812.914,,,,99.6,6,93.6,,,,,,41,1.571429,35.42857,8.4,0,3.6,0,1,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,57308,2340,58,2282,8,3,11,36,266,1940,62,14
198351003,1983,51003,VA,Albemarle County,58451,42495,21386,21109,,4277,,,710,37508,small/mid,South,South Atlantic,31,16820,720.468,3984,,,,102,7,95,,,,,,40,1.714286,33.28571,4,0,3.5,0,1,0,,,,45,,,0,19,0,0,0,26,,,,,,,,,,0,0,0,0,57923,2141,46,2095,2,20,5,19,279,1752,43,21
198451003,1984,51003,VA,Albemarle County,59250,43060,21718,21342,,4308,,,798,37954,small/mid,South,South Atlantic,31,16820,720.468,4038,,,,110,6.5,103.5,,,,,,35.5,1.857143,31.14286,8,0,3.4,0,2.333333,0,,,,61,,,0,25,0,0,0,36,,,,,,,,,,0,0,0,0,59106,3669,114,3555,5,14,20,75,827,2570,124,34
198551003,1985,51003,VA,Albemarle County,61223,44408,22486,21922,,4417,,,902,39089,small/mid,South,South Atlantic,31,16820,720.468,4092,,,,118,6,112,,,,,,31,2,29,12,0,3.3,0,3.666667,0,,,,61,0,61,0,20,,0,2,39,31,,,0,7,,0,2,22,0,0,0,0,59641,2312,113,2199,5,6,12,90,243,1852,99,5
198651003,1986,51003,VA,Albemarle County,61424,44505,22558,21947,,4407,,,985,39113,small/mid,South,South Atlantic,31,16820,720.468,3714,,,,123,8,112,,,,,,49,2,47,16,0,3.2,0,5,2,,,,76,,,0,26,,0,1,49,37,,,0,15,0,0,0,22,0,0,0,0,60439,2323,118,2205,2,8,13,95,263,1846,90,6
198751003,1987,51003,VA,Albemarle County,63007,45476,23087,22389,,4493,,,1088,39895,small/mid,South,South Atlantic,31,16820,720.468,4504,,,,129,9,115,,,,,,62,6,56,22,0,3.1,0,4,1,,,,66,,,0,22,0,0,0,44,37,0,37,0,13,0,0,0,24,0,0,0,0,62134,2204,89,2115,3,6,18,62,323,1688,99,5
198851003,1988,51003,VA,Albemarle County,64918,46642,23772,22870,,4597,,,1194,40851,small/mid,South,South Atlantic,31,16820,720.468,4707,,,,140,9,122,,,,,,67,5,62,31,0,3,0,1,1,,,,68,,,0,26,0,0,0,42,28,,,0,11,0,0,0,17,0,0,0,0,62663,2586,127,2459,3,13,23,88,378,1924,153,4
198951003,1989,51003,VA,Albemarle County,66542,47497,24275,23222,,4672,,,1300,41525,small/mid,South,South Atlantic,31,16820,720.468,6628,,,,149,19,177,,,,,,64,15,49,45,0,4,0,3,3,,,,73,,,0,36,0,0,0,37,40,,,0,25,0,0,0,15,0,0,0,0,61939,2382,105,2277,2,13,15,75,457,1698,119,3
199051003,1990,51003,VA,Albemarle County,68373,48492,24820,23672,1331,4724,555,50,,41832,small/mid,South,South Atlantic,31,16820,720.468,6959,,,,200,20,180,0,116,6,0,78,95,15,80,26,0,2.5,0,9.5,2.888889,,,,80,4,76,0,42,0,0,0,38,38,4,34,0,22,0,0,0,16,0,0,0,0,68040,2252,101,2151,0,17,12,72,321,1736,91,3
199151003,1991,51003,VA,Albemarle County,69076,48361,24793,23568,1362,4731,603,49,,41616,small/mid,South,South Atlantic,31,16820,720.468,4944,,,,170,10,163,0,117,4,0,56,79,2,77,58,0,1,0,16,2.777778,,,,81,6,75,0,42,0,0,0,39,39,,,0,21,0,0,0,18,0,0,0,0,69124,2429,113,2316,1,16,17,79,384,1837,94,1
199251003,1992,51003,VA,Albemarle County,69654,48469,24829,23640,1421,4811,645,52,,41540,small/mid,South,South Atlantic,31,16820,720.468,4967.714,,,,220,27,191,1,151,2,0,64,18,9,9,95,0,4.5,0,16,2.666667,,,,104,7,97,0,51,0,0,0,53,65,9,56,0,30,,0,1,34,0,0,0,0,70124,2540,97,2443,2,17,21,57,335,1995,107,6
199351003,1993,51003,VA,Albemarle County,70824,48969,25111,23858,1444,4921,720,58,,41826,small/mid,South,South Atlantic,31,16820,720.468,4991.429,,,,220,40,180,1,159,3,0,69,115,17,98,118.6667,0,8,0,17,2.555556,,,,119,9,110,0,60,0,0,0,59,70,7,63,0,38,0,0,0,32,0,0,0,0,,,,,,,,,,,,
199451003,1994,51003,VA,Albemarle County,71863,49308,25364,23944,1443,4959,780,61,,42065,small/mid,South,South Atlantic,31,16820,720.468,4275.136,,,,204.5869,33.24537,180.7184,0.8524454,141.5059,0.8524454,0,71.60542,114.0146,16.19646,97.81811,121.3314,0,7.672009,0,18.92429,2.083755,,,,133,9,124,0,78,0,0,0,55,52,6,46,0,29,0,0,0,23,0,0,0,0,70074,2580,93,2487,2,27,15,49,345,2015,105,22
