Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Staunton PD ,24300,9728.39,2364,0,3,5,19,3,30,540,11,3,122,878,38,88,150,12,16,599,121,0,0,0,0,0,32
State Police ,,,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,4
Suffolk PD ,63500,8570.07,5442,2,76,26,53,155,208,1304,42,1,631,2360,187,56,37,9,10,1023,229,2,0,0,0,1,222
State Police ,,,17,0,0,0,0,0,0,1,0,0,2,1,1,0,1,0,0,0,6,0,0,0,0,0,7
Virginia Beach PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police ,,,176,0,0,0,0,2,3,1,0,0,0,4,1,13,4,0,0,11,106,0,1,0,0,1,42
Waynesboro PD ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police ,,,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2
Williamsburg PD ,12200,6590.16,804,0,7,2,6,8,27,155,2,0,30,398,30,11,13,5,3,149,85,0,0,0,0,0,19
State Police ,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0
Winchester PD ,22400,12933.03,2897,4,13,9,53,21,69,856,12,1,148,1207,40,84,44,20,28,576,247,0,0,0,4,0,54
State Police ,,,64,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,13
