COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
State Police,,,39,0,0,0,0,0,4,1,0,0,0,6,3,0,4,0,0,1,23,0,0,0,0,0,0
Bland County SO,7000,1428.57,100,0,1,0,1,0,0,6,1,0,28,49,6,2,0,0,0,43,7,0,0,0,0,0,0
State Police,,,27,0,0,0,0,2,0,1,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,2
Botetourt County SO,31200,2519.23,786,2,2,8,15,3,23,143,1,0,57,275,17,17,24,5,6,200,76,0,1,0,0,0,14
State Police,,,63,0,0,0,0,0,3,6,0,0,0,14,4,0,1,0,0,1,32,0,0,0,0,0,7
Brunswick County SO,17125,2668.61,457,2,3,0,6,4,12,46,5,0,74,180,13,12,3,1,2,111,30,1,1,0,0,0,9
State Police,,,59,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,50,0,0,0,0,0,6
Buchanan County SO,24495,4347.82,1065,2,5,4,8,5,34,235,7,1,213,524,53,32,30,0,7,150,46,1,0,0,0,0,40
State Police,,,87,0,0,1,0,0,2,1,0,1,3,36,7,10,3,0,0,8,18,0,0,0,0,0,4
Buckingham County SO,16100,2987.57,481,0,7,0,12,0,19,190,1,1,40,118,1,9,7,0,2,102,35,0,0,0,0,0,15
State Police,,,15,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,2,7,0,0,0,0,0,0
Campbell County SO,46216,3405.74,1574,0,9,9,37,7,54,504,8,0,101,524,29,73,78,8,3,282,77,1,3,0,0,0,40
State Police,,,46,0,0,0,0,0,3,5,0,0,0,10,3,0,5,0,0,2,16,0,0,0,0,0,3
Caroline County SO,21864,2195.38,480,3,0,6,11,6,83,130,3,0,45,152,11,5,9,8,2,60,33,2,0,0,0,0,15
State Police,,,75,1,0,0,1,1,1,2,2,0,0,22,13,0,0,0,0,6,29,0,0,0,0,0,3
Carroll County SO,27093,3200.08,867,1,10,2,9,3,41,251,5,0,129,347,38,9,22,0,10,201,87,0,0,0,0,0,59
State Police,,,24,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,2,8,0,0,0,0,0,0
Charles City County SO 0,7100,1450.7,103,0,0,0,8,2,7,33,0,0,15,32,3,0,2,0,2,12,16,0,0,0,0,0,8
State Police,,,10,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0
Charlotte County SO,12700,2645.66,336,0,2,4,0,3,15,152,0,0,30,67,17,10,11,0,5,27,82,1,0,0,0,0,15
State Police,,,59,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,62,0,0,0,0,0,0
Clarke County SO,10437,3602.56,376,1,0,2,6,0,33,49,0,1,17,160,18,9,3,5,1,102,12,0,0,0,0,0,4
State Police,,,21,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,1,13,0,1,0,0,0,2
Craig County SO,5100,1960.78,100,0,0,1,0,0,3,25,0,0,6,5,0,0,0,0,0,2,56,0,0,0,0,0,2
State Police,,,21,0,0,0,0,0,0,1,0,0,1,3,0,2,3,0,0,2,10,0,0,0,0,0,0
Culpeper County SO0,27836,2442.87,680,1,12,3,31,1,23,213,0,1,39,184,15,6,22,32,1,143,29,1,0,0,0,0,23
State Police,,,131,0,0,1,1,0,3,7,0,0,2,6,2,2,5,2,0,3,100,0,0,0,0,0,6
Cumberland County SO,9300,2311.82,215,0,1,3,4,0,10,90,2,0,20,55,2,9,3,0,0,16,6,0,0,0,1,0,17
State Police,,,6,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0
Dickenson County SO,14041,1744.88,245,0,1,2,2,0,8,19,5,0,63,132,0,5,1,0,0,54,10,0,0,0,0,0,8
State Police,,,20,0,0,1,0,0,0,0,0,0,1,0,6,3,3,0,0,1,4,0,0,0,0,0,1
Dinwiddie County SO,24859,3938.21,979,2,1,3,3,4,4,23,2,0,54,576,20,7,24,2,6,140,175,0,0,0,0,0,4
State Police,,,29,0,0,0,0,0,0,3,0,0,0,3,1,1,1,0,0,0,21,0,0,0,0,0,1
Essex County SO,8132,2348.74,191,0,0,6,1,0,8,46,2,0,20,67,5,2,1,0,0,49,10,0,0,0,0,0,7
State Police,,,12,0,0,0,1,0,0,0,0,0,1,3,1,1,4,0,0,0,3,0,0,0,0,0,0
Fauquier County SO,53730,3528.75,1896,1,15,10,21,12,50,438,21,1,110,576,46,15,86,8,1,600,170,1,2,0,0,0,55
State Police,,,96,1,0,0,0,0,0,3,0,0,2,12,3,2,13,2,0,2,56,0,0,0,0,0,2
Floyd County SO,14500,2248.27,326,0,0,0,0,0,0,0,1,0,13,159,15,8,0,0,1,152,5,0,0,0,0,0,14
State Police,,,18,0,0,0,1,1,2,1,0,0,0,2,1,0,0,0,2,1,8,0,0,0,0,0,4
Fluvanna County SO,23800,2739.49,652,0,4,8,5,3,14,262,3,0,36,168,14,12,29,0,1,116,35,4,1,0,0,0,14
State Police,,,11,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,5,0,0,0,0,0,1
Franklin County SO,45034,2176.13,980,1,0,11,19,9,35,109,1,0,78,416,49,16,39,5,2,264,65,2,1,0,0,0,8
State Police,,,44,0,0,0,0,0,1,1,0,0,0,2,4,1,20,0,0,1,12,0,0,0,0,0,1
Frederick County SO,62039,4385.95,2721,2,9,10,40,15,45,658,6,0,246,1116,81,86,52,10,6,736,99,1,3,0,0,0,42
State Police,,,191,0,0,0,0,0,5,10,0,0,1,17,5,28,31,1,0,12,107,1,1,0,0,0,2
Giles County SO,9710,998.97,97,0,2,0,6,0,20,77,0,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,3
State Police,,,12,0,0,0,0,0,2,1,0,0,0,5,1,1,1,1,0,1,1,0,0,0,0,0,0
Gloucester County SO,35400,3581.92,1268,0,1,8,14,1,27,329,12,0,34,440,22,20,25,7,0,211,194,1,1,0,1,0,18
State Police,,,132,0,0,0,0,0,0,0,0,0,0,7,2,0,3,0,0,2,118,0,0,0,0,0,5
Goochland County SO,18400,1657.6,305,1,0,1,0,1,24,4,2,0,41,145,15,9,13,0,4,109,4,0,0,0,0,0,4
State Police,,,13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1
Grayson County SO,15215,2287.21,348,1,4,2,3,1,15,102,1,0,50,97,12,9,1,0,3,65,35,3,0,0,0,0,10
State Police,,,14,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,6,0,0,0,0,0,0
Greene County SO,16600,1783.13,296,4,1,3,7,0,9,68,3,1,13,67,8,8,8,1,0,84,34,0,1,0,0,0,15
State Police,,,5,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0
Greensville County SO,12200,3229.5,394,0,0,5,6,6,48,21,0,0,5,197,17,1,7,0,6,64,17,0,0,0,0,0,2
State Police,,,15,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,12,0,0,0,0,0,1
Halifax County SO,26720,2810.62,751,4,4,5,14,7,15,143,3,0,97,337,14,6,3,0,0,119,55,0,0,0,0,0,17
State Police,,,113,0,0,0,0,1,0,1,0,0,3,8,4,0,5,0,0,5,97,0,0,0,0,0,2
Hanover County SO,86381,3115.26,2691,1,7,6,17,13,28,522,12,0,109,940,57,94,73,10,14,414,441,2,2,8,1,0,59
State Police,,,74,0,0,0,0,0,2,4,0,0,0,7,1,2,16,1,0,0,41,0,0,0,0,0,4
Henry County SO,55600,5246.4,2917,5,13,21,32,38,157,545,10,0,308,1393,105,185,84,24,1,461,136,0,2,0,1,0,44
State Police,,,81,0,0,0,0,0,11,2,0,0,0,9,10,4,9,0,0,5,34,0,0,0,0,0,7
Highland County SO,2400,291.66,7,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,3,0,0,0,0,0,0,0
State Police,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1
Isle of Wight County SO,24576,3320.31,816,0,5,2,16,6,25,192,2,0,37,289,21,6,27,1,5,208,23,0,0,0,0,0,29
State Police,,,100,0,0,0,0,0,1,0,0,0,0,1,2,0,8,0,0,0,85,0,0,0,0,0,5
King & Queen County SO 0,6800,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,11,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,3,3,0,0,0,0,0,1
King George County SO,18100,4972.37,900,1,1,4,12,3,26,257,1,0,33,288,23,18,27,8,9,194,147,0,0,1,17,0,28
State Police,,,11,1,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,1,4,0,0,0,0,0,0
King William County SO,11034,1169.11,129,1,1,2,4,0,3,46,0,0,13,46,2,4,1,0,1,5,25,0,1,0,0,0,10
State Police,,,11,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,6,0,0,0,0,0,2
Lancaster County SO,10256,2330.34,239,0,1,1,0,1,6,40,1,0,48,101,9,4,8,2,1,69,8,0,0,0,0,0,7
State Police,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Lee County SO,22024,3232.83,712,1,3,4,5,6,45,191,5,0,133,302,13,21,0,0,0,55,34,0,0,0,0,0,1
State Police,,,21,0,0,0,0,0,0,0,6,0,0,2,5,0,7,0,0,0,1,0,0,0,0,0,0
Loudoun County SO,191273,3599.56,6885,0,27,23,28,39,152,1657,51,4,337,2812,181,101,491,69,70,1827,374,1,4,0,3,0,182
State Police,,,63,0,1,0,0,1,1,1,0,1,1,14,4,10,9,0,0,6,17,1,0,0,0,0,1
Louisa County SO,25599,1894.6,485,1,1,4,5,5,12,70,1,0,40,212,9,5,7,11,0,151,21,3,0,0,0,0,7
State Police,,,53,0,0,1,1,0,2,9,0,0,0,7,0,1,1,0,1,0,30,0,1,0,0,0,2
Lunenburg County SO,9926,2286.92,227,0,4,2,8,2,0,45,3,0,27,62,9,4,5,0,0,42,51,2,0,0,0,0,8
State Police,,,61,0,0,5,0,0,0,3,0,0,0,0,0,0,1,0,0,1,53,0,0,0,0,0,1
Madison County SO,13300,977.44,130,0,1,1,1,1,1,48,1,0,5,43,1,0,3,1,0,23,12,0,0,0,0,0,2
State Police,,,31,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,25,0,0,0,0,0,1
Mathews County SO,9500,1705.26,162,0,0,0,3,0,2,43,1,0,19,81,9,2,2,0,0,25,7,0,1,0,0,0,2
State Police,,,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
Mecklenburg County SO,23593,3102.61,732,1,0,4,16,14,28,132,4,0,79,292,23,37,13,3,1,154,17,0,0,0,1,0,15
State Police,,,107,0,0,0,0,0,2,1,0,0,0,4,3,0,8,0,0,2,86,0,0,0,0,0,3
Middlesex County SO,9900,2656.56,263,0,0,0,0,0,7,39,1,0,38,114,3,5,0,0,0,62,13,1,1,0,0,0,4
State Police,,,43,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,39,0,0,0,0,0,1
Montgomery County SO,28480,5042.13,1436,0,6,8,23,3,21,498,6,1,155,410,41,19,34,1,1,305,77,1,2,0,0,0,15
State Police,,,172,1,0,0,0,1,3,2,0,0,0,3,4,3,16,3,0,4,134,0,0,0,0,0,4
Nelson County SO,14800,2756.75,408,0,3,5,5,1,10,64,0,0,30,143,25,11,4,2,0,102,53,0,0,0,0,0,15
State Police,,,31,0,0,0,0,0,0,2,0,0,1,4,1,0,1,0,0,0,23,0,0,0,0,0,2
New Kent County SO,14700,3401.36,500,0,3,0,8,1,15,160,1,1,27,167,5,6,18,4,2,108,26,0,0,0,1,0,4
State Police,,,37,0,0,0,0,0,0,1,0,0,0,3,3,1,2,0,0,2,26,0,0,1,0,0,1
Northampton County SO,10330,3591.48,371,0,5,5,3,6,7,86,1,0,57,159,8,8,3,4,3,53,19,1,0,0,0,0,13
State Police,,,72,0,0,0,1,0,0,0,0,0,0,11,0,2,3,1,0,2,56,0,0,0,0,0,5
Northumberland Co. SO,12700,3417.32,434,0,0,4,5,2,9,67,0,0,50,165,13,24,28,0,2,103,22,0,0,0,0,0,2
State Police,,,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1
Nottoway County SO,9258,1739.03,161,0,1,1,2,0,9,49,1,0,11,43,2,2,2,0,0,19,26,0,0,0,0,0,8
State Police,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0
Orange County SO,22279,1750.52,390,0,0,0,13,3,8,96,2,0,42,136,17,6,10,3,0,98,14,3,0,0,0,0,7
State Police,,,91,0,0,0,3,0,0,2,0,0,0,2,1,4,6,0,1,2,67,0,2,0,0,0,7
Page County SO,15725,1736.08,273,0,2,5,15,1,8,41,3,2,25,96,2,11,10,1,0,80,12,0,0,0,0,0,8
State Police,,,117,0,0,0,0,0,3,4,0,0,0,5,0,1,5,0,0,0,91,0,0,0,1,0,11
Patrick County SO,19200,3708.33,712,0,0,1,10,2,24,138,4,0,135,264,36,21,16,1,2,128,45,17,0,0,0,0,29
State Police,,,26,0,0,0,0,0,0,0,1,0,0,1,1,1,4,0,0,1,15,0,0,0,0,0,2
Pittsylvania County SO,57429,2094.76,1203,3,8,13,29,10,52,536,2,0,183,284,33,44,10,2,4,188,161,0,0,0,0,0,51
State Police,,,103,2,0,1,1,0,3,1,3,0,1,20,44,1,13,0,0,10,14,0,1,0,0,0,3
Powhatan County SO,24900,1847.38,460,0,2,1,9,3,5,95,1,0,40,189,22,8,7,1,0,97,38,0,0,0,0,0,10
State Police,,,39,0,0,0,10,0,3,14,0,0,0,1,0,0,3,0,0,0,7,0,1,0,0,0,0
Prince Edward County SO,13155,494.1,65,0,0,1,2,0,7,32,0,0,2,5,0,3,0,2,3,2,3,0,0,0,0,0,8
State Police,,,12,0,0,0,0,0,2,1,0,0,0,0,0,2,5,0,0,0,1,0,1,0,0,0,0
Pulaski County SO,22339,4131.78,923,0,3,5,15,4,22,159,4,0,76,430,8,47,20,6,1,188,90,0,0,0,0,0,26
State Police,,,38,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,1,27,0,0,0,0,0,0
Rappahannock County SO,6900,1000,69,1,1,0,0,0,1,20,1,0,8,25,0,1,1,0,0,16,3,0,0,0,0,0,3
State Police,,,13,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,7,0,0,0,0,0,0
Richmond County SO,8025,1333.33,107,0,0,2,0,1,3,32,2,0,4,27,9,5,4,1,0,9,9,1,0,0,0,0,2
State Police,,,8,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0
Rockbridge County SO,20054,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,102,0,1,0,0,0,2,4,0,0,0,48,4,1,4,0,0,4,34,0,1,0,0,0,5
Rockingham County SO,55766,1285.72,717,0,3,16,40,1,15,92,1,0,129,275,19,24,38,9,11,168,50,2,0,0,0,0,21
State Police,,,222,0,0,0,0,1,6,2,0,0,1,12,18,0,21,1,0,7,153,0,0,0,2,0,18
Russell County SO,24982,2665.91,666,0,0,2,3,2,3,236,4,0,108,219,21,7,2,1,0,147,10,0,0,0,0,0,2
State Police,,,64,0,0,0,0,0,0,0,1,1,0,14,4,37,34,0,0,3,1,0,0,0,0,0,0
Scott County SO,19708,3455.44,681,2,6,4,5,2,24,159,3,0,117,266,21,31,15,1,3,179,17,0,0,0,0,0,22
State Police,,,18,0,0,0,0,0,1,0,2,0,0,4,5,1,2,1,0,2,0,0,0,0,0,0,0
Shenandoah County SO,25217,2537.97,640,0,0,1,1,0,14,171,1,0,56,174,14,14,34,3,1,210,34,0,0,0,0,0,20
State Police,,,265,0,0,0,0,0,7,3,0,0,5,13,3,2,9,0,0,4,220,0,0,0,0,0,14
Smyth County SO,21920,4256.38,933,0,0,8,22,0,10,224,14,1,67,285,22,21,21,2,0,229,64,0,0,0,0,0,31
State Police,,,39,0,0,0,0,0,0,1,0,0,0,5,4,0,0,0,0,3,25,0,0,0,0,0,3
Southampton County SO,15810,3554.71,562,2,0,0,7,3,20,121,1,1,52,237,20,10,10,3,3,111,27,1,0,0,0,0,11
State Police,,,45,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,35,0,0,0,0,0,2
Spotsylvania County SO,108800,4739.88,5157,3,3,20,69,23,122,1025,10,0,205,1854,87,72,218,66,11,1253,420,1,2,0,7,0,106
State Police,,,94,0,0,0,0,0,15,2,0,0,0,15,7,1,4,0,0,7,51,0,1,0,0,0,1
Stafford County SO,109700,4339.1,4760,7,25,29,68,32,74,1153,18,4,210,1587,149,107,176,34,26,1260,658,1,5,0,2,0,103
State Police,,,78,0,0,0,0,0,6,1,1,0,0,9,3,3,5,0,1,10,42,0,1,0,0,0,7
Surry County SO,6700,3447.76,231,0,0,2,4,1,11,87,0,0,29,71,1,6,4,1,1,41,8,1,0,0,0,0,6
State Police,,,74,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72,0,0,0,0,0,1
Sussex County SO,9991,4133.72,413,0,1,1,2,3,13,127,0,0,32,139,10,11,10,0,1,73,42,0,0,0,0,0,13
State Police,,,36,0,0,0,0,0,4,2,0,0,0,6,1,2,3,0,0,0,19,0,0,0,0,0,1
Tazewell County SO,29046,4248.43,1234,2,4,9,37,4,37,191,5,0,189,505,41,28,53,4,2,310,68,1,0,0,0,0,14
State Police,,,108,1,0,0,1,0,0,1,0,0,2,16,2,43,68,0,0,10,7,0,0,0,0,0,7
Warren County SO,20011,2838.43,568,0,1,8,8,3,2,125,4,0,40,211,22,15,15,1,2,115,18,1,0,0,0,0,13
State Police,,,247,0,0,0,0,0,3,0,0,0,0,3,2,1,7,0,0,1,230,0,0,0,0,0,3
Washington County SO,41565,4633.7,1926,2,9,14,35,1,40,320,4,0,154,855,55,131,149,53,8,335,105,1,1,0,0,0,35
State Police,,,32,0,0,0,0,0,6,1,3,0,2,8,3,4,3,0,0,4,3,0,0,0,0,0,0
Westmoreland County SO,13472,2456.94,331,0,3,1,11,2,15,107,0,0,34,115,20,5,15,0,1,61,17,0,0,0,0,0,18
State Police,,,15,0,0,0,4,0,1,0,0,0,0,1,0,1,0,0,0,3,5,0,0,0,0,0,1
Wise County SO,27365,3756.62,1028,2,13,11,6,0,68,406,7,0,110,286,35,16,15,0,1,209,75,0,0,1,0,0,38
State Police,,,24,0,0,0,0,0,0,0,0,0,1,6,2,3,9,0,0,3,1,0,0,0,0,0,1
Wythe County SO,18546,2636.68,489,0,2,5,5,1,12,43,1,0,24,169,19,15,8,0,12,74,167,0,0,0,1,0,22
State Police,,,143,0,0,0,0,1,0,4,0,0,3,90,5,3,6,1,0,4,31,0,0,0,0,0,3
York County SO,60400,4077.81,2463,0,22,11,26,16,43,465,19,1,134,976,43,54,101,35,7,739,247,1,0,0,0,0,36
State Police,,,184,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,183,0,0,0,0,0,2
