TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Leesburg PD ,37476,6041.19,2264,0,9,13,25,21,36,545,4,0,62,696,48,36,171,39,16,484,340,1,1,0,3,0,51
Louisa PD ,1537,5465.19,84,1,1,2,0,0,5,6,0,0,12,29,3,3,3,1,0,21,3,0,0,0,0,0,4
Luray PD ,4878,4325.54,211,0,0,1,0,0,5,7,2,0,14,112,3,13,13,4,0,51,1,1,0,0,0,0,0
Marion PD ,6130,9412.72,577,0,1,1,5,1,39,120,0,0,31,160,6,13,18,6,1,122,107,0,0,0,0,0,9
Middleburg PD ,917,4689.2,43,0,0,0,0,0,0,8,0,0,0,18,0,1,0,2,0,20,0,0,0,0,0,0,0
Middletown PD ,1123,6233.3,70,0,0,0,0,0,0,2,0,0,5,44,1,1,2,1,0,22,0,0,0,0,0,0,0
Mt. Jackson PD ,1782,3198.65,57,0,0,0,0,0,0,10,0,0,1,23,2,0,0,0,2,16,8,0,0,0,0,0,0
Narrows PD ,2180,2522.93,55,0,0,0,0,0,2,3,0,0,2,13,0,4,3,0,0,20,12,0,0,0,0,0,0
New Market PD ,1847,1570.11,29,0,0,0,0,0,0,2,0,0,5,13,1,1,3,0,0,4,0,0,0,0,0,0,0
Occoquan PD ,809,865.26,7,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0
Onancock PD ,1448,3936.46,57,0,1,0,0,2,2,9,0,0,2,11,2,3,1,0,0,13,12,0,0,0,0,0,0
Onley PD ,491,14256.61,70,0,0,0,0,1,0,9,0,0,1,24,0,2,1,2,2,4,25,0,0,0,0,0,5
Orange PD ,4536,7583.77,344,1,1,1,10,3,11,83,1,0,21,92,5,5,12,2,2,50,97,0,0,0,0,0,12
Parksley PD 5 ,824,3640.77,30,0,0,0,0,1,0,4,1,0,2,12,0,1,3,1,0,4,0,0,0,0,0,0,1
Pearisburg PD ,2796,3969.95,111,0,0,0,0,0,0,10,0,0,13,56,0,4,7,3,1,17,12,0,0,0,0,0,2
Pembroke PD ,1184,2027.02,24,0,0,0,0,0,1,3,0,0,4,10,1,0,1,0,0,4,0,0,0,0,0,0,0
Pennington Gap PD ,1756,3189.06,56,0,0,0,0,0,0,2,0,0,12,34,0,0,0,0,0,7,1,0,0,0,0,0,0
Pocahontas PD ,429,466.2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Pound PD ,1083,10064.63,109,0,0,0,0,0,1,21,0,0,5,28,3,2,3,0,0,24,36,0,0,0,0,0,1
Pulaski PD ,9062,9379.82,850,0,11,4,12,9,15,147,3,0,84,260,22,74,63,6,3,149,165,0,4,0,1,0,20
Purcellville PD ,4846,3920.75,190,1,0,3,0,0,3,41,1,0,4,58,2,4,10,0,0,64,6,1,1,0,0,0,2
Quantico PD ,625,5600,35,0,0,0,0,0,1,2,0,0,3,14,2,1,1,0,1,10,0,0,0,0,0,0,0
Rich Creek PD ,689,5515.23,38,0,0,0,0,0,2,2,0,0,4,19,1,2,3,0,0,6,6,0,0,0,0,0,0
Richlands PD ,4089,14502.32,593,0,4,2,6,3,15,96,1,0,37,192,8,68,93,5,0,94,73,0,0,0,0,0,9
Rocky Mount PD ,4564,7843.99,358,0,2,1,3,1,8,55,0,0,19,129,7,12,11,1,1,77,58,0,0,0,0,0,10
Rural Retreat PD ,1356,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saltville PD ,2249,7692.3,173,0,0,1,3,0,11,16,1,0,13,31,3,4,10,0,2,52,36,0,0,0,0,0,1
Shenandoah PD ,1874,5336.17,100,0,0,0,0,0,1,12,1,0,20,26,1,3,6,0,0,26,9,0,0,0,0,0,0
Smithfield PD ,7000,7700,539,0,3,0,6,3,13,114,1,0,28,179,21,11,20,5,2,114,51,1,0,0,0,0,27
South Boston PD ,8064,12165.17,981,2,6,6,2,8,25,197,1,2,73,340,22,44,102,9,0,189,35,0,1,0,0,0,21
South Hill PD ,4608,8789.06,405,0,1,0,2,5,11,70,2,0,32,171,9,7,7,8,0,102,0,0,0,0,0,0,0
St. Paul PD ,976,2151.63,21,0,0,0,0,1,0,2,0,0,3,5,0,1,0,1,0,4,4,0,0,0,0,0,0
Stanley PD ,1335,3670.41,49,0,0,0,0,0,1,5,0,0,1,25,0,0,0,0,0,15,5,0,0,0,0,0,3
Stephens City PD ,1446,4149.37,60,0,0,0,1,0,1,14,0,0,5,31,1,0,1,1,0,8,0,0,0,0,0,0,0
Strasburg PD ,4308,8101.2,349,0,0,0,0,0,9,53,1,0,8,131,4,6,10,0,1,81,64,0,0,0,0,0,8
Tappahannock PD ,2155,14338.74,309,0,0,3,1,6,7,71,1,0,8,104,2,11,24,7,3,47,50,0,0,0,0,0,5
Tazewell PD ,4379,6485.49,284,0,3,2,2,1,10,58,0,0,22,79,3,32,9,1,5,45,45,0,0,0,0,0,5
Timberville PD ,1705,1642.22,28,0,0,0,1,1,2,4,0,0,1,12,1,1,0,0,0,3,4,0,0,0,0,0,1
Victoria PD ,1787,3413.54,61,0,0,0,2,0,2,17,0,0,4,21,1,5,1,2,0,9,2,1,0,0,0,0,2
Vienna PD 6 ,14873,1741.41,259,0,1,0,2,3,4,43,0,0,12,88,11,8,19,5,0,57,26,0,0,0,0,0,2
Vinton PD ,7905,9981.02,789,1,0,0,5,0,13,208,2,0,27,244,3,37,45,6,2,134,160,0,2,0,1,0,13
Warrenton PD ,8733,6561.31,573,0,0,2,1,6,18,78,0,0,21,224,10,19,37,11,2,135,41,1,0,0,1,0,5
Warsaw PD ,1365,1245.42,17,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,4,4,0,0,0,0,0,0
Waverly PD ,2207,4802.89,106,0,1,0,0,2,3,19,1,0,10,18,2,3,1,0,1,17,33,0,0,0,0,0,6
Weber City PD ,1357,6632.27,90,0,0,0,1,0,3,4,0,0,9,25,1,7,3,0,1,7,31,0,0,0,0,0,5
West Point PD ,3099,2710.55,84,0,0,0,1,0,1,12,2,0,8,18,1,6,10,3,0,17,11,0,0,0,0,0,2
White Stone PD ,344,2616.27,9,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Wise PD ,3259,5983.43,195,0,0,2,2,2,4,27,3,0,23,88,2,7,15,1,0,32,23,0,0,0,0,0,1
Woodstock PD ,4266,2883.26,123,0,0,0,0,1,7,17,0,0,0,42,7,4,9,3,0,10,24,0,1,0,0,0,2
Wytheville PD ,8136,7227.13,588,0,1,2,2,0,7,57,0,0,32,244,9,21,24,6,0,143,87,1,0,0,0,0,7
