COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
State Police,,,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,0,0,0
Dickenson County SO,14296,2392.27,342,0,3,1,4,0,10,95,4,1,43,114,5,7,8,2,0,57,32,2,0,0,0,0,15
State Police,,,7,0,0,0,0,0,0,0,1,0,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0
Dinwiddie County SO,24921,4181.21,1042,4,2,6,9,6,24,39,3,1,48,537,54,11,21,6,7,184,157,0,2,0,0,0,8
State Police,,,52,0,0,0,0,0,1,0,0,0,0,3,4,0,0,0,0,0,43,0,0,0,0,0,6
Essex County SO,7945,1913.15,152,0,0,0,1,0,3,33,0,0,6,50,7,3,5,1,1,42,9,0,0,0,0,0,11
State Police,,,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0
Fauquier County SO,53660,3691.76,1981,0,13,3,39,6,54,429,15,0,72,566,34,27,137,16,5,576,169,5,1,0,0,0,41
State Police,,,83,0,0,2,0,0,0,5,0,0,0,3,2,0,1,0,1,0,66,0,0,0,1,0,7
Floyd County SO,14600,2965.75,433,0,0,1,4,0,5,57,5,0,31,153,19,16,10,1,2,120,32,1,0,0,0,0,11
State Police,,,15,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,3,7,0,0,0,0,0,3
Fluvanna County SO,24300,2962.96,720,0,3,4,10,2,23,248,3,0,44,181,22,15,16,2,3,195,24,2,1,0,0,0,19
State Police,,,9,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0
Franklin County SO,44858,2521.28,1131,2,2,8,23,2,35,133,4,0,89,451,61,34,36,5,14,283,43,1,1,0,0,0,20
State Police,,,36,0,0,0,0,0,1,0,0,0,1,2,1,1,8,2,0,1,21,0,0,0,0,0,1
Frederick County SO,64047,3772.22,2416,1,6,24,31,15,33,654,5,0,209,895,104,56,50,19,1,601,89,3,2,0,0,0,25
State Police,,,110,0,0,0,1,0,3,2,0,0,0,14,0,3,1,0,0,6,79,0,0,0,0,0,4
Giles County SO,9352,1892.64,177,0,0,2,5,0,26,104,1,0,3,15,0,2,3,0,0,8,15,0,0,0,0,0,8
State Police,,,11,0,1,0,0,0,1,1,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0
Gloucester County SO,35200,3835.22,1350,1,1,10,13,6,14,379,8,1,45,375,15,29,33,9,0,239,227,1,0,0,0,0,25
State Police,,,187,0,0,0,0,0,0,0,0,0,0,2,1,1,4,0,0,0,180,0,0,0,0,0,6
Goochland County SO,18600,1946.23,362,2,0,2,3,3,41,4,2,0,45,165,23,5,8,0,2,125,14,0,0,0,0,1,10
State Police,,,29,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,25,0,0,0,0,0,0
Grayson County SO,15189,2449.14,372,0,3,4,9,0,18,102,4,0,65,73,13,7,2,0,3,59,68,0,0,0,0,0,10
State Police,,,25,0,0,0,0,0,0,2,0,0,0,1,1,2,1,0,0,3,15,0,0,0,0,0,2
Greene County SO,16700,2413.17,403,0,2,3,5,2,9,109,2,0,30,103,10,6,5,2,0,105,39,1,0,0,0,0,11
State Police,,,16,0,0,0,0,0,2,0,0,0,0,2,1,0,2,0,0,1,10,0,0,0,0,0,1
Greensville County SO,11700,4487.17,525,0,0,3,5,6,24,94,1,0,72,168,18,14,4,0,3,101,21,0,0,0,0,0,3
State Police,,,18,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0
Halifax County SO,26757,2208.76,591,1,1,2,8,5,14,179,0,0,54,192,6,14,2,2,0,84,38,0,0,0,0,0,13
State Police,,,66,0,0,0,0,1,3,4,1,0,3,14,2,2,0,0,0,4,39,0,0,0,0,0,2
Hanover County SO,87924,3257.35,2864,3,5,11,30,19,18,532,7,3,116,1003,70,71,108,38,24,365,505,4,0,0,0,2,73
State Police,,,50,0,0,0,2,0,1,2,0,0,0,4,1,0,2,0,1,1,34,0,0,0,0,0,3
Henry County SO,55100,4689.65,2584,7,9,12,41,39,118,567,11,0,261,947,104,147,119,37,2,304,97,4,1,0,0,0,57
State Police,,,61,0,0,0,0,0,0,0,1,0,0,3,7,2,12,0,0,0,37,0,0,0,0,0,5
Highland County SO,2400,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0
Isle of Wight County SO,24597,3569.54,878,1,2,4,15,6,15,193,7,0,8,330,20,11,18,0,4,225,65,0,0,0,0,0,15
State Police,,,31,0,0,0,0,0,1,0,0,0,0,1,1,2,10,0,1,0,17,0,0,0,0,0,2
King & Queen County SO 0,6700,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0
King George County SO,19100,4989.52,953,2,5,4,10,4,13,290,1,0,41,346,27,20,34,2,4,193,117,1,0,0,1,0,21
State Police,,,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,3
King William County SO,11026,1732.26,191,0,3,2,1,1,2,62,0,0,13,36,9,3,1,0,5,15,55,0,0,0,0,0,12
State Police,,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,1
Lancaster County SO,10065,2096.37,211,0,0,1,2,1,4,48,0,0,49,78,4,5,5,0,0,48,5,0,0,0,0,0,2
State Police,,,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Lee County SO,22644,2994.17,678,3,3,4,3,5,25,180,2,0,58,276,14,12,0,0,0,50,65,0,0,0,0,0,0
State Police,,,33,0,0,0,0,0,0,1,1,0,0,10,13,0,1,0,0,4,6,0,0,0,0,0,0
Loudoun County SO,203477,2999.84,6104,1,22,27,38,37,78,1471,56,3,249,2402,161,89,504,70,33,1454,388,2,5,0,0,2,140
State Police,,,64,0,0,0,0,0,0,3,1,0,1,13,0,17,4,1,0,10,20,0,0,0,0,0,0
Louisa County SO,26331,3285.1,865,0,4,7,14,4,17,135,1,0,59,346,25,14,19,0,0,199,56,3,1,0,0,0,20
State Police,,,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62,0,0,0,0,0,2
Lunenburg County SO,9989,2002.2,200,0,0,0,5,0,4,53,8,0,32,76,7,1,5,0,0,38,12,1,0,0,0,0,5
State Police,,,27,0,0,0,0,0,1,0,1,0,1,3,0,0,2,0,0,0,19,0,0,0,0,0,1
Madison County SO,13300,1872.18,249,0,0,2,2,1,5,99,1,0,7,68,2,3,2,2,0,71,5,0,0,0,0,0,4
State Police,,,49,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,45,0,0,0,0,0,1
Mathews County SO,9400,2531.91,238,1,0,2,1,1,3,89,3,0,22,96,6,4,6,1,0,43,10,0,0,0,0,0,6
State Police,,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Mecklenburg County SO,23349,2895.19,676,1,2,12,19,1,25,109,0,0,94,228,18,25,12,0,1,197,16,0,0,0,1,0,13
State Police,,,116,0,0,0,1,0,0,1,0,0,1,6,0,0,0,1,0,1,109,0,0,0,0,0,1
Middlesex County SO,10100,1900.99,192,0,0,1,1,2,1,40,5,0,13,78,5,2,4,0,1,33,10,0,0,0,0,0,2
State Police,,,36,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,33,0,0,0,0,0,1
Montgomery County SO,28178,5561.07,1567,1,3,13,40,2,35,558,9,0,131,371,35,13,36,1,3,335,120,2,0,0,0,0,24
State Police,,,84,0,0,0,0,0,2,2,0,0,0,3,4,0,4,0,0,2,67,0,0,0,0,0,2
Nelson County SO,14900,3617.44,539,1,1,1,2,2,10,97,1,0,51,160,17,6,54,3,1,141,52,2,0,0,0,0,20
State Police,,,31,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,1,25,0,0,0,0,0,1
New Kent County SO,14800,3702.7,548,0,2,0,7,3,6,145,2,0,43,186,7,22,20,1,3,121,35,3,0,0,0,0,19
State Police,,,45,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,2,37,0,0,0,0,0,3
Northampton County SO,10358,4933.38,511,1,2,1,3,8,22,118,1,1,90,160,12,10,9,2,1,79,20,1,0,0,0,0,17
State Police,,,58,0,0,1,0,0,0,0,0,0,0,7,1,0,0,1,0,0,53,0,0,0,0,0,1
Northumberland Co. SO,12600,3222.22,406,1,1,0,4,1,6,105,0,0,34,158,12,22,13,1,0,81,38,0,0,0,0,0,4
State Police,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
Nottoway County SO,9118,3048.91,278,0,3,1,1,0,6,74,1,0,17,70,19,7,3,0,0,47,61,0,0,0,0,0,9
State Police,,,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
Orange County SO,22685,1750.05,397,0,4,4,11,0,7,126,2,0,29,115,13,7,10,5,2,77,24,0,0,0,0,0,17
State Police,,,100,1,0,0,0,1,0,1,0,0,1,11,2,2,3,0,0,0,79,0,0,0,0,0,0
Page County SO,15593,1776.43,277,1,0,3,11,1,9,65,2,0,25,78,4,8,27,2,0,56,23,1,0,0,0,0,15
State Police,,,68,0,0,1,1,0,0,3,0,0,0,2,0,0,0,0,0,0,60,0,0,0,0,0,5
Patrick County SO,19200,3223.95,619,2,0,4,10,7,9,101,2,0,105,225,28,18,3,2,0,132,37,0,0,0,0,0,15
State Police,,,19,0,0,0,1,0,0,0,0,0,0,1,2,0,2,0,0,0,13,0,0,0,0,0,1
Pittsylvania County SO,57625,2037.31,1174,1,13,9,26,5,43,465,3,0,179,234,39,33,24,0,0,225,127,1,0,0,0,0,49
State Police,,,103,0,0,1,0,0,9,3,1,0,1,11,31,0,20,0,0,7,30,0,0,0,0,0,3
Powhatan County SO,25400,1929.13,490,0,1,1,7,2,2,96,1,0,50,162,24,12,16,2,0,93,50,1,0,0,0,0,6
State Police,,,38,0,0,0,0,0,9,14,0,0,0,1,1,0,0,0,0,0,15,0,2,0,0,0,0
Prince Edward County SO,13141,1278.44,168,0,0,6,4,0,9,91,1,0,2,11,0,5,9,3,1,10,19,0,0,0,1,0,13
State Police,,,17,1,0,0,1,0,2,0,1,0,3,6,1,1,1,0,0,1,2,0,0,0,0,0,0
Pulaski County SO,22695,3547.03,805,0,4,3,8,1,20,97,1,0,11,385,6,42,24,4,2,153,106,1,0,0,0,0,19
State Police,,,49,0,0,1,0,0,1,1,2,0,0,13,1,1,0,0,2,0,28,0,0,0,0,0,2
Rappahannock County SO,6800,1852.94,126,0,0,1,1,0,1,37,0,0,17,40,7,1,2,0,0,28,6,0,1,0,0,0,1
State Police,,,20,0,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,15,0,0,0,0,0,1
Richmond County SO,8021,1545.94,124,2,1,0,0,0,7,27,0,0,10,38,4,5,1,2,0,24,18,0,0,0,0,0,4
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rockbridge County SO,20176,3058.08,617,0,7,7,13,0,7,128,1,0,57,229,9,17,11,5,1,86,72,3,1,0,0,0,19
State Police,,,98,0,0,0,0,0,0,7,0,0,0,39,3,0,4,0,0,2,45,0,0,0,0,0,2
Rockingham County SO,55546,1224.21,680,1,5,10,39,1,12,87,0,0,119,219,12,24,27,7,4,164,43,4,0,0,1,0,16
State Police,,,138,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,133,0,0,0,0,0,8
Russell County SO,25260,3404.59,860,1,6,6,16,8,32,289,8,0,75,264,33,18,15,1,1,163,38,1,0,0,0,0,4
State Police,,,32,0,0,1,3,0,1,0,1,0,1,9,2,0,4,3,0,2,5,0,1,0,0,0,0
Scott County SO,19811,3922.06,777,0,5,5,13,6,27,171,1,0,84,292,30,31,13,1,1,212,17,1,1,0,0,0,19
State Police,,,26,0,0,0,0,0,2,2,6,0,1,9,4,0,3,0,0,0,1,0,1,0,0,0,0
Shenandoah County SO,25739,2265.04,583,1,0,1,0,1,18,188,1,0,33,154,14,10,27,2,1,154,21,0,2,0,0,0,4
State Police,,,185,0,0,0,0,0,0,2,0,0,1,18,2,2,0,0,0,0,160,0,0,0,0,0,2
Smyth County SO,22028,4575.99,1008,1,3,7,15,1,12,273,12,0,63,283,24,22,14,1,2,221,95,3,1,0,0,0,16
State Police,,,88,0,0,0,0,0,2,2,4,0,0,10,3,0,2,0,0,1,60,0,0,0,1,0,5
Southampton County SO,15964,3814.83,609,0,1,3,6,3,13,129,2,0,40,254,21,7,16,2,0,114,54,0,1,0,0,0,7
State Police,,,32,0,0,0,0,0,2,0,0,0,0,3,2,0,2,0,0,1,20,0,0,0,0,0,5
Spotsylvania County SO,112000,4089.28,4580,5,2,10,49,20,135,1051,7,0,100,1544,84,75,270,56,5,947,509,0,1,0,0,0,98
State Police,,,53,0,0,1,1,0,5,1,0,0,0,5,0,0,1,0,0,0,43,0,0,0,0,0,1
Stafford County SO,114900,3826.8,4397,5,17,26,68,20,67,893,18,1,167,1549,105,119,332,43,12,1276,479,5,5,0,1,0,97
State Police,,,90,1,1,0,0,0,1,3,0,0,0,5,4,0,1,1,0,2,70,0,4,0,0,0,3
Surry County SO,6800,3147.05,214,1,1,1,1,3,16,74,3,0,26,59,3,7,7,2,2,30,8,0,0,0,0,0,9
State Police,,,11,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0
Sussex County SO,9889,4024.67,398,1,0,1,4,1,19,98,1,0,29,144,13,11,11,2,0,72,33,1,0,0,0,0,15
State Police,,,33,0,0,0,0,0,0,1,0,0,0,7,0,0,3,0,0,0,22,0,0,0,0,0,1
Tazewell County SO,29203,4324.89,1263,0,5,11,19,2,42,145,15,0,187,492,34,58,66,2,0,308,84,5,2,0,0,0,22
State Police,,,41,0,0,0,1,0,0,2,0,0,7,19,7,3,4,0,0,8,4,0,1,0,0,0,0
Warren County SO,19740,2882.47,569,0,1,3,12,2,3,139,6,0,25,190,19,10,20,0,1,100,51,0,2,0,0,0,16
State Police,,,147,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,143,0,0,0,0,0,1
Washington County SO,40912,4328.8,1771,5,9,13,32,4,62,206,11,2,173,774,52,189,150,5,6,340,102,1,4,0,0,2,32
State Police,,,61,1,0,0,0,0,7,2,3,0,0,11,7,10,5,0,0,10,9,0,0,0,0,0,1
Westmoreland County SO,13159,3966.86,522,1,4,1,4,1,19,129,1,2,44,138,13,7,21,2,6,144,54,0,0,0,0,0,18
State Police,,,22,0,0,0,2,0,1,0,1,0,0,1,0,0,1,1,0,0,15,0,0,0,0,0,0
Wise County SO,26344,4441.23,1170,3,4,13,14,1,52,427,17,1,153,295,36,16,10,2,3,282,98,0,1,0,0,0,32
State Police,,,21,0,0,0,1,0,0,1,0,0,0,6,1,1,3,1,0,2,4,0,1,0,0,0,0
Wythe County SO,18296,2694.57,493,1,1,7,5,3,18,44,3,0,19,145,20,16,12,2,6,75,194,1,0,0,1,0,38
State Police,,,104,0,0,0,0,1,1,2,1,0,0,47,1,1,3,2,1,1,47,0,0,0,0,0,3
York County SO,61500,4606.5,2833,1,24,10,25,11,35,554,19,1,98,1111,39,80,161,37,23,819,287,0,0,0,1,0,50
State Police,,,171,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,166,0,0,0,0,0,3
