Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Manassas Park PD,12400,5750,713,0,6,5,6,5,20,134,2,0,24,239,41,11,17,8,2,212,75,0,1,0,0,0,18
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinsville PD,14700,9945.57,1462,1,2,6,15,19,30,313,2,0,90,416,25,114,46,12,0,274,136,0,0,0,1,0,33
State Police,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newport News PD,182400,10665.02,19453,18,181,103,165,526,743,5235,86,5,1462,5670,961,350,631,123,80,3908,1572,7,4,2,38,0,910
State Police,,,54,1,0,0,0,0,0,0,0,0,0,1,1,0,13,0,0,0,38,0,0,0,0,0,1
Norfolk PD,233800,10299.82,24081,35,29,80,162,690,540,3815,48,3,1437,9889,1217,242,238,83,44,4449,1598,11,3,1,173,1,139
State Police,,,149,0,0,0,0,0,15,6,0,0,0,5,1,9,67,0,0,2,44,0,0,0,0,1,17
Norton PD,3900,9153.84,357,1,2,0,4,2,14,38,1,0,20,198,8,15,9,1,1,76,25,0,0,0,0,0,8
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petersburg PD,31500,16269.84,5125,4,28,19,37,111,155,1097,32,0,574,1484,394,118,145,33,91,1525,333,5,0,2,3,0,101
State Police,,,51,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,47,0,0,0,0,0,3
Poquoson PD,11600,3025.86,351,0,2,0,0,2,7,43,4,0,37,151,10,6,6,5,0,91,27,0,0,0,0,0,7
State Police,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portsmouth PD,97800,12952.96,12668,8,147,29,29,346,504,3143,11,2,1177,3693,588,136,175,93,74,3376,1269,5,5,8,55,0,456
State Police,,,21,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,18,0,0,0,0,0,1
Radford PD0,15200,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0
Richmond PD,192900,14000.51,27007,94,158,103,140,1362,1194,4897,94,3,2698,8161,2416,283,244,34,5,4838,1778,13,1,0,257,0,773
State Police,,,58,1,0,0,0,0,2,1,0,0,0,5,1,1,3,0,0,0,40,0,1,0,0,1,4
Roanoke PD,92600,14785.09,13691,8,53,59,59,189,603,3153,46,4,979,4998,498,266,447,84,10,2619,1113,7,8,0,151,0,272
State Police,,,53,0,0,0,0,0,1,0,0,0,0,1,2,7,13,1,0,0,28,0,0,0,1,0,0
Salem PD,24600,5813,1430,0,0,4,11,8,21,283,1,0,70,577,43,49,26,23,5,342,191,1,0,0,0,0,35
State Police,,,14,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,1,5,0,0,0,0,0,0
Staunton PD,22600,8013.27,1811,1,4,5,14,10,46,435,5,0,66,627,25,171,103,25,10,298,160,2,1,0,0,0,38
State Police,,,13,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,8,0,0,0,0,0,1
Suffolk PD,75500,8793.37,6639,4,39,28,60,94,292,1945,28,0,503,2330,143,125,193,30,24,1332,266,1,3,0,4,0,171
State Police,,,7,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,3,0,0,0,0,0,0
Virginia Beach PD,432300,6689.79,28920,15,73,138,200,491,373,5895,145,2,1767,10969,773,344,770,277,54,5193,2850,23,8,2,65,0,593
State Police,,,130,0,0,0,0,0,10,2,0,0,0,5,0,9,60,0,0,1,41,0,0,0,0,0,13
Waynesboro PD,19800,8893.93,1761,2,12,2,6,9,58,413,12,0,81,619,43,119,40,20,6,372,99,3,1,0,0,0,59
State Police,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0
Williamsburg PD,13600,4941.17,672,1,2,4,3,4,6,122,1,0,28,270,22,14,28,6,0,143,85,1,0,0,1,0,23
State Police,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
Winchester PD,25500,12815.68,3268,0,6,7,42,20,47,764,6,0,111,1269,59,65,169,30,19,613,670,0,1,0,2,0,47
State Police,,,117,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,111,0,0,0,0,0,0
