Arrests by Offense,Accomack,,Albemarle ,,Alleghany ,,Amelia ,,Amherst ,,Appomattox,,Arlington,,Augusta,,Bath,,Bedford,,Bland,,Botetourt,,Brunswick ,,Buchanan ,,Buckingham ,,Campbell ,,Caroline ,,Carroll,,Charles City,,Charlotte,,Chesterfield,,Clarke,,Craig,,Culpeper,,Cumberland,,Dickenson,,Dinwiddie,,Essex,,Fairfax,,Fauquier,,Floyd,,Fluvanna,,Franklin,,Frederick,,Giles,,Gloucester,,Goochland,,Grayson,,Greene,,Greensville,,Halifax,,Hanover,,Henrico,,Henry,,Highland,,Isle of Wight,,James City,,King & Queen,,King George,,King William,,Lancaster,,Lee,,Loudoun,,Louisa,,Lunenburg,,Madison,,Mathews,,Mecklenburg,,Middlesex,,Montgomery,,Nelson,,New Kent,,Northampton,,Northumberland,,Nottoway,,Orange,,Page,,Patrick,,Pittsylvania,,Powhatan,,Prince Edward,,Prince George,,Prince William,,Pulaski,,Rappahannock,,Richmond,,Roanoke,,Rockbridge,,Rockingham,,Russell,,Scott,,Shenandoah,,Smyth,,Southampton,,Spotsylvania,,Stafford,,Surry,,Sussex,,Tazewell,,Warren,,Washington,,Westmoreland,,Wise,,Wythe,,York,,Total County,
Drunkenness,87,2,138,0,77,0,13,0,145,0,11,0,854,14,128,0,2,0,41,0,8,0,96,1,59,0,161,5,10,0,52,0,36,0,44,0,1,0,48,0,24,24,39,1,26,0,275,0,6,0,131,0,39,1,25,0,315,3,201,2,21,0,14,0,175,3,175,0,28,0,44,3,14,0,41,0,20,0,10,0,76,0,201,5,934,4,288,3,0,0,35,1,7,1,0,0,63,2,21,1,13,0,170,0,715,6,15,0,6,0,31,0,14,0,85,2,43,0,706,5,7,0,17,0,66,0,46,0,20,0,70,0,37,0,62,0,47,1,6,0,22,0,36,3,349,17,182,0,14,0,13,0,99,4,52,1,210,1,132,0,71,0,134,1,231,0,19,0,215,2,253,7,3,0,20,0,243,4,240,6,280,4,32,1,538,6,219,1,67,1,11109,149
"Family Offenses, Nonforcible",13,0,4,0,0,0,0,0,0,0,0,0,11,0,8,0,0,0,4,0,1,0,0,0,0,0,0,0,9,1,1,0,42,0,10,0,0,0,1,0,19,0,0,0,0,0,42,0,1,0,5,0,0,0,3,0,15,0,3,0,9,1,1,0,6,0,5,0,2,0,1,0,0,0,3,0,2,0,2,0,0,0,4,0,31,1,4,0,0,0,4,0,5,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,4,0,6,0,0,0,0,0,1,0,8,0,0,0,1,0,3,0,15,0,8,0,0,0,0,0,4,0,1,0,2,0,9,0,0,0,0,0,18,1,2,0,12,0,16,0,2,0,0,0,4,0,25,0,5,0,6,0,2,0,5,0,5,0,445,4
Liquor Laws Violations,7,1,40,54,38,13,2,1,1,1,3,0,42,24,19,5,1,0,10,7,0,0,7,7,8,1,1,2,5,1,8,11,13,1,5,1,0,0,1,0,135,84,5,3,6,1,9,6,5,2,5,2,0,1,5,0,50,18,23,13,4,16,1,0,47,15,118,9,7,2,7,0,14,2,4,0,3,3,0,0,9,4,107,55,160,79,6,5,1,1,9,2,50,18,0,0,12,6,14,2,4,1,10,1,164,60,8,1,2,2,2,0,2,1,10,1,4,0,175,27,3,3,3,0,12,0,12,3,2,0,6,0,2,2,0,0,17,5,3,0,12,0,10,2,31,15,7,0,9,3,9,1,20,17,19,6,66,16,5,1,0,0,64,14,42,14,0,0,44,32,95,60,0,0,12,0,27,7,15,10,6,2,15,3,58,5,11,1,24,4,2069,799
Peeping Tom,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,5
Runaway,0,0,0,0,0,0,0,2,0,0,0,0,0,91,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,780,0,0,0,0,0,4,0,0,0,0,0,14,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,133,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,116,0,2,0,1,0,2,0,64,0,0,0,0,0,0,0,0,0,1,0,2624
Trespass of Real Property,13,0,78,5,18,3,8,0,5,0,2,0,122,27,63,3,0,0,36,0,2,0,1,1,18,4,21,0,35,0,23,1,12,0,16,0,3,0,5,0,215,166,9,0,3,0,16,2,20,0,17,0,5,0,11,2,76,4,20,0,6,0,2,2,61,6,17,0,12,0,3,0,9,1,17,0,7,0,0,0,29,3,28,25,248,48,14,1,0,0,26,1,16,12,0,0,15,0,3,0,1,0,19,0,162,5,3,1,9,4,1,0,0,0,6,2,0,0,89,6,1,0,12,1,13,0,3,0,20,2,9,1,3,0,9,0,41,1,7,0,12,0,10,0,29,18,34,1,3,0,1,0,12,2,17,0,21,5,19,0,23,0,22,8,21,3,6,0,40,3,46,11,20,4,13,0,41,2,43,4,29,0,12,0,66,3,23,0,5,0,2362,404
Conspiracy,7,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,1,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,1,1,0,2,1,3,0,0,0,8,0,0,0,87,7
All Other (except Traffic),535,3,835,77,398,32,98,4,63,0,26,2,497,82,831,34,5,0,347,56,68,0,98,8,239,1,409,24,166,1,354,5,239,14,456,41,10,0,110,0,3633,321,96,11,74,0,358,35,91,2,274,0,59,8,213,15,787,22,506,9,43,13,31,1,649,24,584,19,354,5,132,4,154,5,106,40,11,2,25,0,381,10,335,39,3146,189,561,35,1,2,164,8,122,39,3,0,215,15,54,4,25,1,446,1,2002,245,31,0,162,9,95,1,22,0,142,13,4,2,1070,28,25,0,133,6,101,4,249,15,156,3,101,7,32,1,191,6,412,6,37,6,143,2,90,16,796,112,776,32,20,0,82,7,1047,53,101,2,1187,158,440,19,198,1,668,87,323,44,256,1,683,69,1952,160,68,4,153,3,218,27,508,36,228,106,189,8,1029,30,348,12,46,6,35931,2610
TOTAL GROUP B,833,9,1575,147,644,73,210,7,349,5,105,9,2118,266,1221,57,16,0,651,86,110,0,338,22,487,13,949,31,342,5,637,21,429,22,870,42,25,0,316,0,5821,1976,226,15,166,1,937,51,189,5,512,2,187,49,413,38,2958,52,1077,43,118,31,98,5,1451,65,1211,29,496,8,307,18,244,10,226,42,113,10,70,0,682,20,944,161,5756,1107,1078,85,9,3,408,16,239,120,7,0,494,41,163,7,91,4,801,2,3922,506,124,5,349,35,179,2,73,6,457,23,86,2,2707,85,72,4,236,7,261,4,421,18,315,5,319,9,155,6,368,7,758,17,137,8,282,2,232,49,2546,1163,1250,34,79,4,157,10,1359,91,330,15,1939,191,743,20,382,1,1171,114,847,67,347,3,1365,129,3144,393,124,11,303,7,725,50,1028,131,718,122,380,19,2213,79,921,19,365,13,73606,8317
GRAND TOTAL,1271,19,2485,339,904,108,307,20,708,13,229,32,4067,648,1670,92,21,1,1111,144,142,4,675,80,739,46,1527,43,584,19,1147,58,655,41,1401,59,59,1,456,3,10440,4900,318,30,268,1,1774,138,324,12,730,12,358,85,576,76,5080,129,1657,164,157,51,182,19,1791,122,1819,160,660,12,810,64,312,24,483,56,196,30,93,0,1167,76,2214,540,10159,2412,1912,171,14,3,705,61,938,371,10,0,753,80,346,44,153,10,1261,3,5422,721,272,15,477,60,276,13,134,18,768,98,119,2,3573,225,170,8,321,22,515,28,622,31,484,10,541,26,281,10,649,31,1298,48,252,9,454,2,481,88,6941,2065,1810,92,108,6,227,18,2555,239,547,40,2297,244,1342,38,710,7,1620,173,1598,110,447,3,2524,303,4571,831,219,30,442,23,1722,277,1452,138,1592,173,611,31,3047,145,1412,47,1116,100,123837,18224
