Date ,Offense ,Street ,Sub ,Zip ,Area
3/20/2003,GAS THEFT ,GEORGE WASHINGTON MEMORIAL HIGHWAY ,,23696,200
3/20/2003,GAS THEFT ,GEORGE WASHINGTON MEMORIAL HIGHWAY ,,23696,200
3/20/2003,GRAND LARCENY ,GEORGE WASHINGTON MEMORIAL HIGHWAY ,,23696,200
11/19/2003,"ASSAULT, SIMPLE ",GEORGE WASHINGTON MEMORIAL HIGHWAY ,,23696,200
12/2/2003,CITIZEN REQUESTED ASSISTANCE ,GEORGE WASHINGTON MEMORIAL HIGHWAY ,,23696,200
11/19/2003,DISORDERLY CONDUCT ,GEORGE WASHINGTON MEMORIAL HIGHWAY ,,23696,200
6/3/2003,"LARCENY,FROM MOTOR VEHICLE ",GEORGE WASHINGTON MEMORIAL HIGHWAY ,,23696,200
10/27/2003,PETIT LARCENY ,GEORGE WASHINGTON MEMORIAL HIGHWAY ,,23696,200
11/19/2003,PETIT LARCENY ,GEORGE WASHINGTON MEMORIAL HIGHWAY ,,23696,200
11/14/2003,POSSESSION OF MARIJUANA ,GEORGE WASHINGTON MEMORIAL HIGHWAY ,,23696,200
3/31/2003,DRIVING UNDER THE INFLUENCE OF ALCOHOL,GEORGE WASHINGTON MEMORIAL HIGHWAY & GOOSLE,,23696,200
3/31/2003,DRIVING W/SUSPENDED OR REVOKED LICENS  ,GEORGE WASHINGTON MEMORIAL HIGHWAY & GOOSLE,,23696,200
3/31/2003,REFUSE BLOOD/BREATH TEST ,GEORGE WASHINGTON MEMORIAL HIGHWAY & GOOSLE ,,23696,200
3/16/2003,GRAND LARCENY ,GLEN COVE ,58,23696,200
11/1/2003,"DAMAGE PROPERTY, PRIVATE ",GREGORY DRIVE ,67,23696,200
8/16/2003,"ASSAULT, SIMPLE ",HANSFORD LANE ,179,23696,200
4/8/2003,"ASSAULT, AGGRAVATED, DOMESTIC ",HERITAGE PLACE ,86,23696,200
11/25/2003,OBSCENE/THREATENING PHONE CALL ,HERITAGE PLACE ,86,23696,200
1/14/2003,"ASSAULT, SIMPLE, DOMESTIC ",JOANNE DRIVE ,25,23696,200
12/2/2003,CITIZEN REQUESTED ASSISTANCE ,JOANNE DRIVE ,25,23696,200
3/17/2003,"DAMAGE PROPERTY, PRIVATE ",JOANNE DRIVE ,25,23696,200
9/2/2003,SEXUAL BATTERY ,JOANNE DRIVE ,25,23696,200
8/4/2003,ANNOYING PHONE CALLS ,KENNETH DRIVE ,180,23696,200
10/18/2003,CITIZEN REQUESTED ASSISTANCE ,KENNETH DRIVE ,180,23696,200
3/21/2003,"LARCENY,FROM MOTOR VEHICLE ",LUDLOW DRIVE ,193,23696,200
7/10/2003,PETIT LARCENY ,LUDLOW DRIVE ,193,23696,200
4/22/2003,"ASSAULT, SIMPLE, DOMESTIC ",MARION DRIVE ,25,23696,200
10/29/2003,DEAD ON ARRIVAL ,MARION DRIVE ,25,23696,200
7/15/2003,OBSCENE/THREATENING PHONE CALL ,MARION ROAD ,25,23696,200
4/28/2003,"DAMAGE PROPERTY, PRIVATE ",MASTIN AVENUE ,86,23696,200
5/4/2003,"DAMAGE PROPERTY, PRIVATE ",MASTIN AVENUE ,86,23696,200
3/21/2003,RUNAWAY JUVENILE ,MASTIN AVENUE ,86,23696,200
9/18/2003,"LARCENY,FROM MOTOR VEHICLE ",MELODY LANE ,124,23696,200
4/25/2003,"BURGLARY, RESIDENTIAL ",OLD SEAFORD ROAD ,179,23696,200
4/25/2003,GRAND LARCENY ,OLD SEAFORD ROAD ,179,23696,200
6/18/2003,ANNOYING PHONE CALLS ,PARK LANE ,247,23696,200
10/3/2003,"LARCENY,FROM MOTOR VEHICLE ",PARKER LANE ,179,23696,200
10/3/2003,TRESPASSING ,PARKER LANE ,179,23696,200
10/3/2003,TRESPASSING ,PARKER LANE ,179,23696,200
7/19/2003,RUNAWAY JUVENILE ,PERRIN CIRCLE ,167,23696,200
2/15/2003,"BURGLARY, BUSINESS ",PRESSON ROAD ,179,23696,200
10/17/2003,"DAMAGE PROPERTY, PRIVATE ",PRESSON ROAD ,179,23696,200
2/15/2003,PETIT LARCENY ,PRESSON ROAD ,179,23696,200
2/16/2003,TRESPASSING ,PRESSON ROAD ,179,23696,200
11/14/2003,CITIZEN REQUESTED ASSISTANCE ,PURGOLD ROAD ,179,23696,200
10/28/2003,"DAMAGE PROPERTY, PRIVATE ",PUTNAM DRIVE ,167,23696,100
9/27/2003,"BURGLARY, RESIDENTIAL ",RAYMOND DRIVE ,180,23696,200
3/2/2003,CITIZEN REQUESTED ASSISTANCE ,RAYMOND DRIVE ,180,23696,200
9/27/2003,"DAMAGE PROPERTY, PRIVATE ",RAYMOND DRIVE ,180,23696,200
10/5/2003,"DEATH, SUICIDE ",RAYMOND DRIVE ,180,23696,200
9/27/2003,GRAND LARCENY ,RAYMOND DRIVE ,180,23696,200
3/21/2003,CITIZEN REQUESTED ASSISTANCE ,REBECCA DRIVE ,86,23696,200
8/2/2003,"DAMAGE PROPERTY, PRIVATE ",REBECCA DRIVE ,86,23696,200
12/2/2003,CITIZEN REQUESTED ASSISTANCE ,ROBANNA DRIVE ,167,23696,200
12/1/2003,CITIZEN REQUESTED ASSISTANCE ,ROBANNA DRIVE & THOMAS DRIVE ,167,23696,200
2/3/2003,"FORGING, UTTERING ",SEAFORD ROAD ,179,23696,200
2/1/2003,ABUSE AND NEGLECT OF CHILDREN ,SEAFORD ROAD ,179,23696,200
11/26/2003,AGGRESIVE DRIVING ,SEAFORD ROAD ,179,23696,200
12/3/2003,ANNOYING PHONE CALLS ,SEAFORD ROAD ,179,23696,200
7/10/2003,ARSON ,SEAFORD ROAD ,179,23696,200
3/13/2003,"ASSAULT, SIMPLE ",SEAFORD ROAD ,179,23696,200
8/23/2003,"ASSAULT, SIMPLE ",SEAFORD ROAD ,179,23696,200
3/30/2003,"ASSAULT, SIMPLE, DOMESTIC ",SEAFORD ROAD ,179,23696,200
11/19/2003,"BURGLARY, BUSINESS ",SEAFORD ROAD ,179,23696,200
5/14/2003,CITIZEN REQUESTED ASSISTANCE ,SEAFORD ROAD ,179,23696,200
9/6/2003,CITIZEN REQUESTED ASSISTANCE ,SEAFORD ROAD ,179,23696,200
8/29/2003,CITIZEN REQUESTED ASSISTANCE ,SEAFORD ROAD ,179,23696,200
2/11/2003,CITIZEN REQUESTED ASSISTANCE ,SEAFORD ROAD ,179,23696,200
7/28/2003,"DAMAGE PROPERTY, BUSINESS ",SEAFORD ROAD ,179,23696,200
5/4/2003,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,179,23696,200
5/4/2003,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,179,23696,200
10/23/2003,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,179,23696,200
8/18/2003,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,179,23696,200
11/19/2003,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,179,23696,200
1/3/2003,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,179,23696,200
10/23/2003,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,179,23696,200
8/23/2003,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,179,23696,200
12/18/2003,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD ,179,23696,200
1/21/2003,EMBEZZLEMENT >=$200 ,SEAFORD ROAD ,179,23696,200
3/15/2003,"GRAFFITI ,PRIVATE PROPERTY ",SEAFORD ROAD ,179,23696,200
3/15/2003,"GRAFFITI ,PRIVATE PROPERTY ",SEAFORD ROAD ,179,23696,200
2/24/2003,"GRAFITTI, PUBLIC PROPERTY ",SEAFORD ROAD ,179,23696,200
8/14/2003,GRAND LARCENY ,SEAFORD ROAD ,179,23696,200
11/19/2003,GRAND LARCENY ,SEAFORD ROAD ,179,23696,200
11/22/2003,GRAND LARCENY ,SEAFORD ROAD ,179,23696,200
6/8/2003,GRAND LARCENY ,SEAFORD ROAD ,179,23696,200
7/10/2003,"LARCENY,FROM MOTOR VEHICLE ",SEAFORD ROAD ,179,23696,200
12/2/2003,MOTOR VEHICLE THEFT ,SEAFORD ROAD ,179,23696,200
7/28/2003,PETIT LARCENY ,SEAFORD ROAD ,179,23696,200
8/11/2003,PETIT LARCENY ,SEAFORD ROAD ,179,23696,200
12/2/2003,PETIT LARCENY ,SEAFORD ROAD ,179,23696,200
6/9/2003,POSSESSION OF MARIJUANA ,SEAFORD ROAD ,179,23696,200
1/14/2003,RUNAWAY JUVENILE ,SEAFORD ROAD ,179,23696,200
2/8/2003,TAMPERING WITH VEHICLE ,SEAFORD ROAD ,179,23696,200
7/28/2003,TRESPASSING ,SEAFORD ROAD ,179,23696,200
10/4/2003,UNAUTHORIZED USE OF VEHICLE ,SEAFORD ROAD ,179,23696,200
4/19/2003,VIOLATION OF PROTECTIVE ORDER ,SEAFORD ROAD ,179,23696,200
12/2/2003,CITIZEN REQUESTED ASSISTANCE ,SEAFORD ROAD & RAYMOND DRIVE ,179,23696,200
5/30/2003,"DAMAGE PROPERTY, PRIVATE ",SEAFORD ROAD & SOMMERVILLE ,179,23696,200
11/15/2003,CITIZEN REQUESTED ASSISTANCE ,SEAFORD ROAD & WORNOM DRIVE ,179,23696,200
3/21/2003,"DAMAGE PROPERTY, PRIVATE ",SHARON DRIVE ,25,23696,200
2/9/2003,"DAMAGE PROPERTY, PRIVATE ",SHARON DRIVE ,25,23696,200
5/27/2003,PETIT LARCENY ,SHIRLEY ROAD ,179,23696,200
7/20/2003,GRAND LARCENY ,SIMMONS DRIVE ,193,23696,200
7/20/2003,"LARCENY,FROM MOTOR VEHICLE ",SIMMONS DRIVE ,193,23696,200
6/8/2003,"DAMAGE PROPERTY, BUSINESS ",SOMMERVILLE ROAD AND SEAFORD ROAD ,193,23696,200
8/21/2003,"ASSAULT, SIMPLE, DOMESTIC ",SOMMERVILLE WAY ,193,23696,200
12/12/2003,"DAMAGE PROPERTY, PRIVATE ",SOMMERVILLE WAY ,193,23696,200
12/22/2003,"DAMAGE PROPERTY, PRIVATE ",SOMMERVILLE WAY ,193,23696,200
3/21/2003,"DAMAGE PROPERTY, PRIVATE ",SOMMERVILLE WAY ,193,23696,200
3/21/2003,PETIT LARCENY ,SOMMERVILLE WAY ,193,23696,200
3/21/2003,PETIT LARCENY ,SOMMERVILLE WAY ,193,23696,200
12/2/2003,LOST PROPERTY ,SPIVEY LANE ,179,23696,200
12/1/2003,CITIZEN REQUESTED ASSISTANCE ,THOMAS ROAD ,167,23696,200
5/8/2003,"DRUGS, POSSESS COCAINE ",THOMAS ROAD ,167,23696,200
5/8/2003,DRUNK IN PUBLIC ,THOMAS ROAD ,167,23696,200
11/23/2003,CITIZEN REQUESTED ASSISTANCE ,WATERVIEW DRIVE ,179,23696,200
12/14/2003,CITIZEN REQUESTED ASSISTANCE ,WATERVIEW ROAD ,179,23696,200
7/21/2003,POSSESSION OF MARIJUANA ,WILLS CIRCLE ,167,23696,200
10/14/2003,ANNOYING PHONE CALLS ,WINSOME HAVEN DRIVE ,23,23696,200
5/14/2003,CITIZEN REQUESTED ASSISTANCE ,WINSOME HAVEN DRIVE ,23,23696,200
12/3/2003,CITIZEN REQUESTED ASSISTANCE ,WINSOME HAVEN DRIVE ,23,23696,200
5/4/2003,"LARCENY,FROM MOTOR VEHICLE ",WINSOME HAVEN DRIVE ,23,23696,200
11/30/2003,PETIT LARCENY ,WINSOME HAVEN DRIVE ,23,23696,200
5/30/2003,CITIZEN REQUESTED ASSISTANCE ,WINSOME HAVEN ROAD ,23,23696,200
8/14/2003,EXTORTION BY THREAT ,WORNMAN DRIVE ,57,23696,200
8/14/2003,OBSCENE/THREATENING PHONE CALL ,WORNMAN DRIVE ,57,23696,200
10/13/2003,CITIZEN REQUESTED ASSISTANCE ,YORK POINT DRIVE ,242,23696,200
1/15/2003,"DAMAGE PROPERTY, PRIVATE ",YORK POINT ROAD ,242,23696,200
