COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Madison County SO,13500,2318.51,313,0,0,0,6,0,9,114,0,0,20,87,7,5,11,3,0,62,10,0,0,0,0,0,4
State Police,,,36,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,33,0,0,0,0,0,1
Mathews County SO,9400,2957.44,278,0,0,1,3,1,6,73,5,0,17,75,6,6,6,3,1,72,29,0,2,0,0,0,2
State Police,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mecklenburg County SO,23724,3447.98,818,1,1,6,9,7,43,174,5,0,107,281,28,26,16,1,2,196,15,2,0,0,0,0,22
State Police,,,90,0,0,0,0,0,1,4,0,0,1,2,3,0,6,0,0,2,69,0,0,0,0,0,5
Middlesex County SO,10200,2852.94,291,0,4,3,2,0,11,64,1,0,18,104,11,2,10,3,0,58,23,1,0,0,0,0,5
State Police,,,11,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1
Montgomery County SO,31193,5087.67,1587,1,1,10,32,4,36,600,7,0,158,362,29,25,70,3,5,304,123,0,3,0,3,0,30
State Police,,,87,0,0,0,0,0,2,0,0,0,1,5,2,0,3,0,0,0,79,0,0,0,0,0,0
Nelson County SO,15000,3573.33,536,1,1,2,1,1,15,124,1,0,53,210,13,5,19,3,0,136,17,0,0,0,0,0,13
State Police,,,17,0,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,1,10,0,0,0,0,0,0
New Kent County SO,15700,3573.24,561,0,2,4,12,1,12,115,2,0,49,180,18,23,26,2,1,134,50,1,3,0,2,0,3
State Police,,,44,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,38,0,0,0,0,0,0
Northampton County SO,10615,4408.85,468,1,2,3,2,11,12,129,0,0,73,155,5,3,13,1,4,79,9,1,0,0,0,0,11
State Police,,,40,0,0,1,0,0,0,4,0,0,0,4,0,0,4,0,1,1,25,0,0,0,0,0,2
Northumberland Co. SO,12900,2945.73,380,2,0,2,0,0,12,102,2,0,44,112,6,20,7,2,1,89,40,0,1,0,0,0,3
State Police,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nottoway County SO,9414,3059.27,288,2,5,4,2,4,16,69,0,0,29,66,10,3,2,0,0,47,77,0,0,0,0,0,4
State Police,,,18,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,0
Orange County SO,23396,1808,423,2,1,5,18,2,9,109,4,1,38,132,8,6,12,0,1,87,39,0,1,0,0,0,14
State Police,,,37,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,35,0,0,0,0,0,1
Page County SO,15910,3840.35,611,0,3,2,18,1,16,83,6,0,81,199,14,8,22,2,0,186,40,1,2,0,0,0,17
State Police,,,86,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,76,0,0,0,0,0,12
Patrick County SO,19400,3025.77,587,1,0,3,9,1,8,123,4,0,72,204,40,5,11,1,0,124,33,1,1,0,0,0,17
State Police,,,11,0,0,0,0,0,0,4,0,0,1,0,1,1,1,0,0,1,6,0,0,0,0,0,1
Pittsylvania County SO,58024,1845.78,1071,3,4,10,26,13,30,421,4,1,118,275,29,23,17,3,1,223,102,3,0,0,0,0,45
State Police,,,97,0,0,0,0,0,1,2,0,0,2,14,26,5,11,1,0,4,34,0,0,0,0,0,5
Powhatan County SO,25800,1868.21,482,0,2,4,5,1,8,94,1,0,56,150,24,10,13,2,1,79,57,1,1,0,0,0,11
State Police,,,37,0,0,0,0,0,5,11,0,0,0,1,0,0,0,0,0,1,20,0,0,0,0,0,0
Prince Edward County SO,13389,1351.85,181,2,1,1,1,4,15,85,2,0,15,22,0,2,4,2,1,11,18,0,0,0,0,0,10
State Police,,,19,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,16,0,0,0,0,0,0
Pulaski County SO,23004,5081.72,1169,0,8,4,17,6,23,184,6,0,76,514,13,67,39,16,3,204,146,0,1,0,0,0,19
State Police,,,96,0,0,0,1,0,2,1,0,0,2,14,0,5,3,0,0,1,71,0,0,0,0,0,4
Rappahannock County SO,7000,1414.28,99,0,0,0,3,0,0,30,0,0,13,31,5,3,0,0,0,21,0,0,0,0,0,0,2
State Police,,,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1
Richmond County SO,8133,2127.13,173,0,1,1,1,0,25,36,2,0,12,44,6,11,5,0,0,35,22,0,0,0,0,0,5
State Police,,,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
Rockbridge County SO,20482,2729.22,559,0,7,5,6,2,6,97,2,0,37,211,7,11,23,5,2,88,83,3,1,0,0,0,14
State Police,,,64,0,0,0,0,0,5,4,1,0,0,34,2,0,0,0,0,2,18,0,0,0,0,0,0
Rockingham County SO,56618,1208.09,684,0,4,10,46,1,13,86,1,0,112,220,12,16,23,4,5,165,43,4,0,0,0,0,17
State Police,,,173,0,0,0,1,0,0,4,0,0,0,2,0,0,0,1,1,0,168,0,0,0,0,0,11
Russell County SO,24951,3719.28,928,0,7,0,4,6,34,342,10,0,126,225,39,13,10,2,0,167,38,1,0,0,0,0,9
State Police,,,27,0,0,0,0,0,1,0,1,0,0,6,4,2,4,2,0,4,6,0,0,0,0,0,0
Scott County SO,20232,3637.8,736,1,7,5,10,5,22,193,1,1,89,268,31,15,14,2,1,193,25,0,0,0,1,0,22
State Police,,,31,0,0,0,0,0,1,2,5,0,2,4,10,0,3,0,0,5,2,0,0,2,0,0,0
Shenandoah County SO,26184,2409.86,631,0,0,1,1,0,16,198,3,0,15,184,21,11,37,1,2,180,22,0,0,0,0,0,11
State Police,,,236,0,0,0,0,0,1,1,0,0,0,28,1,3,0,0,0,0,203,0,0,0,0,0,9
Smyth County SO,22077,4212.52,930,5,11,9,15,0,11,264,8,1,49,280,20,34,11,4,3,167,80,0,0,0,0,0,18
State Police,,,75,0,1,0,0,0,0,5,1,0,2,23,0,1,3,0,0,2,38,0,0,0,0,0,4
Southampton County SO,16054,4079.98,655,0,3,3,14,4,20,128,5,2,63,229,26,17,11,1,0,119,41,5,0,0,0,0,14
State Police,,,32,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,23,0,0,0,0,0,2
Spotsylvania County SO,114000,4824.56,5500,1,1,24,92,20,141,1232,23,1,91,1941,88,107,328,72,10,1203,575,1,3,0,0,0,83
State Police,,,71,0,0,1,0,0,1,3,0,0,1,8,2,0,2,0,1,8,50,0,0,0,0,0,2
Stafford County SO,117300,2472.29,2900,2,17,39,79,7,66,902,14,0,62,826,65,61,153,18,15,672,344,2,5,0,2,0,71
State Police,,,48,0,0,0,0,0,0,0,0,0,0,6,4,3,1,0,0,2,35,0,0,0,0,0,2
Surry County SO,6900,2811.59,194,0,1,0,6,1,11,81,2,0,33,35,1,7,5,0,1,27,11,1,0,0,0,0,4
State Police,,,14,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,11,0,0,0,0,0,1
Sussex County SO,9801,5019.89,492,0,5,3,3,4,19,127,2,0,53,132,25,17,15,1,0,98,50,0,1,0,0,0,8
State Police,,,23,0,0,0,0,0,1,0,0,0,1,2,1,1,1,0,1,0,16,0,0,0,0,0,3
Tazewell County SO,29282,3688.27,1080,1,5,10,24,6,32,142,7,0,196,361,43,44,44,1,0,277,89,0,1,0,0,0,22
State Police,,,51,0,0,0,0,0,0,7,3,0,9,23,4,2,3,1,0,3,9,0,0,0,0,0,2
Warren County SO,20090,2872.07,577,0,2,2,15,1,16,83,2,0,53,186,16,13,29,1,2,79,95,1,0,0,0,0,16
State Police,,,143,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,138,0,0,0,0,0,0
Washington County SO,41517,4670.37,1939,2,7,19,38,6,48,217,8,0,138,755,38,206,220,6,11,283,169,6,1,1,0,0,45
State Police,,,54,0,0,0,0,0,3,3,1,0,1,10,4,16,1,0,0,9,10,0,0,0,0,0,0
Westmoreland County SO,13399,3910.73,524,2,12,1,3,5,17,169,1,3,46,155,16,23,25,2,5,103,36,0,0,0,0,0,29
State Police,,,22,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
Wise County SO,26824,3951.68,1060,0,6,3,9,1,39,377,19,0,88,266,37,20,7,2,6,240,103,1,0,0,0,0,39
State Police,,,27,4,0,0,1,0,0,0,2,0,2,14,2,4,3,0,0,0,2,0,0,1,0,0,0
Wythe County SO,18442,2510.57,463,0,4,1,8,1,17,54,1,0,30,129,22,24,12,3,6,65,176,0,0,0,0,0,28
State Police,,,137,1,0,0,0,0,2,6,0,0,1,72,2,1,1,0,1,3,49,0,0,0,0,0,4
York County SO,61500,4617.88,2840,1,46,6,30,32,17,524,19,2,184,1058,53,59,155,40,13,800,293,1,1,0,1,0,60
State Police,,,175,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,174,0,0,0,0,0,2
