TOWNS,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Boykins PD0,603,6633.49,40,0,0,0,0,0,2,1,0,0,1,9,0,0,3,0,0,25,0,0,0,0,0,0,0
Bridgewater PD,5301,1320.5,70,0,1,0,1,0,1,5,1,0,11,32,2,3,4,0,0,15,5,0,0,0,0,0,0
Broadway PD,2429,1317.41,32,0,0,0,1,0,2,6,0,0,3,8,0,1,1,0,0,9,4,0,0,0,0,0,0
Brookneal PD,1244,2733.11,34,0,1,0,0,1,4,8,1,0,4,7,0,0,1,0,0,3,6,0,0,0,0,0,4
Burkeville PD0,479,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Charles PD,1180,4661.01,55,0,0,0,0,1,2,12,1,0,4,20,1,1,0,0,0,11,2,0,0,0,0,0,0
Cedar Bluff PD,1076,3159.85,34,0,0,0,0,0,2,9,0,0,5,11,2,0,0,0,0,5,4,0,0,0,0,0,0
Chase City PD,2393,7689.09,184,1,0,0,1,0,4,28,1,0,7,75,0,4,3,0,1,56,12,0,0,0,0,0,6
Chatham PD,1302,1305.68,17,0,0,0,0,0,0,0,0,0,3,11,1,0,1,0,0,5,0,0,0,0,0,0,0
Chilhowie PD,1784,3699.55,66,0,0,0,0,0,5,5,0,0,8,24,2,6,0,1,0,15,3,0,0,0,0,0,0
Chincoteague PD,4416,5457.42,241,0,0,0,0,2,6,46,1,0,13,68,5,3,2,2,2,43,66,0,0,0,0,0,3
Christiansburg PD,17495,8916.83,1560,0,7,5,26,5,18,347,3,0,77,525,42,81,148,22,2,230,266,3,0,0,1,0,24
Clarksville PD,1295,3243.24,42,0,0,0,0,1,0,5,1,0,1,16,0,0,1,3,0,11,2,0,0,0,0,0,3
Clifton Forge PD,4659,4485.94,209,0,0,0,2,0,8,33,1,0,29,60,2,7,4,0,0,67,19,0,0,0,0,0,4
Clinchco PD9,412,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clintwood PD,1511,4632.69,70,0,1,0,0,0,2,7,1,0,11,35,0,4,1,0,0,17,2,1,0,0,0,0,1
Coeburn PD8,1985,2367.75,47,1,0,1,0,1,2,4,1,0,8,13,4,4,1,0,0,6,5,0,0,0,0,0,2
Colonial Beach PD,3301,4241.13,140,0,2,0,1,0,3,18,0,0,6,55,8,2,1,0,1,49,10,0,0,0,0,0,3
Courtland PD,1243,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crewe PD,2315,4406.04,102,0,0,1,0,1,3,10,1,0,0,47,2,3,2,0,0,30,0,0,0,0,0,0,2
Culpeper PD,11070,12863.59,1424,0,10,7,25,13,22,340,2,0,44,442,14,51,88,25,10,344,143,4,3,0,2,0,21
Damascus PD,1094,3199.26,35,0,0,1,0,0,0,2,0,0,2,27,2,1,0,0,1,2,0,0,0,0,0,0,0
Dayton PD,1345,2899.62,39,0,0,1,0,0,0,3,0,0,0,10,3,1,6,0,0,13,4,0,0,0,0,0,0
Dublin PD,2227,5657.83,126,0,0,0,0,1,0,22,1,0,4,85,2,4,1,0,1,15,5,0,0,0,0,0,2
Dumfries PD,4848,5858.08,284,0,0,0,0,7,7,25,0,0,26,79,27,6,5,1,2,78,32,1,0,0,0,0,5
Edinburg PD,845,1301.77,11,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,3,1,0,0,0,0,0,0
Elkton PD,2038,2453.38,50,0,1,0,1,1,2,7,0,0,10,8,3,2,1,1,0,3,19,0,0,0,0,0,3
Exmore PD2,1405,3274.02,46,0,0,0,0,2,1,8,0,0,11,17,0,1,1,1,0,7,5,0,0,0,0,0,2
Farmville PD,7011,2895.45,203,1,0,0,1,1,1,13,0,0,22,84,4,8,4,0,2,25,45,0,0,0,0,0,1
Fries PD,580,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Front Royal PD,14210,7614.35,1082,0,5,5,9,7,18,284,3,0,46,367,49,39,37,15,2,240,57,0,1,0,0,0,11
Gate City PD,2080,5192.3,108,0,0,0,0,0,6,9,0,0,8,50,5,3,2,0,1,30,8,0,0,0,0,0,3
Glade Springs PD,1551,644.74,10,0,0,1,0,0,0,0,1,0,0,2,3,1,0,0,0,4,0,0,0,0,0,0,0
Glasgow PD0,1018,687.62,7,0,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Glen Lyn PD,162,14197.53,23,0,0,0,0,0,0,3,0,0,1,11,0,2,3,0,0,3,4,0,0,0,0,0,0
Gordonsville PD,1577,6277.74,99,0,0,0,0,0,1,16,0,0,2,44,4,1,0,0,1,17,17,0,0,0,0,0,2
Gretna PD,1226,1712.88,21,0,0,0,0,0,1,0,0,0,1,12,1,1,0,1,0,4,1,0,0,0,0,0,0
Grottoes PD,2166,1061.86,23,0,0,0,0,0,0,1,0,0,2,13,1,1,0,0,0,2,1,0,0,0,0,0,2
Grundy PD,1022,1956.94,20,0,0,0,0,0,0,0,0,0,1,15,1,1,0,0,0,2,0,0,0,0,0,0,1
Halifax PD,1309,3132.16,41,0,0,0,0,0,3,10,0,0,3,15,0,2,1,0,0,6,3,0,0,0,0,0,0
Haymarket PD,1019,4612.36,47,0,0,0,0,0,0,5,0,0,4,15,0,2,0,0,0,4,21,0,0,0,0,0,0
Haysi PD,181,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herndon PD,21666,5118.61,1109,0,2,5,6,10,30,299,3,0,39,329,27,7,49,3,0,292,65,1,0,0,0,0,15
Hillsville PD0,2742,7476.29,205,0,0,3,3,0,11,6,0,0,11,67,8,28,5,1,3,27,47,0,0,0,0,0,1
Honaker PD,922,5206.07,48,0,0,0,0,0,1,9,3,0,7,14,2,1,0,0,1,6,3,0,0,0,0,0,3
Hurt PD,1248,320.51,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Independence PD,930,2580.64,24,0,0,0,0,0,1,5,0,0,2,8,1,0,2,0,0,2,4,0,0,0,0,0,1
Jonesville PD,990,1616.16,16,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,2,3,4,0,0,0,0,0,0
Kenbridge PD,1312,2896.34,38,0,0,1,0,1,2,10,0,0,4,5,2,1,1,0,0,8,4,0,0,0,0,0,0
Kilmarnock PD0,1218,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaCrosse PD,606,2145.21,13,0,0,0,0,0,0,5,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0
Lawrenceville PD,1234,4538.08,56,0,0,0,0,1,6,4,0,0,7,16,1,2,3,0,0,9,10,0,0,0,0,0,3
Lebanon PD,3227,9947.31,321,0,2,1,3,2,7,49,0,0,17,133,3,20,11,7,2,72,18,0,1,0,0,0,5
Leesburg PD,34828,5788.44,2016,0,5,8,9,22,53,470,1,0,40,638,50,30,164,31,11,334,318,1,2,0,0,0,39
Louisa PD0,1477,5484.08,81,0,0,0,0,0,2,13,0,0,6,28,1,2,1,0,0,22,6,0,1,0,0,0,4
Luray PD,4878,6334.56,309,1,1,2,5,0,3,26,1,0,13,127,6,25,24,2,0,93,3,0,0,0,0,0,2
Marion PD,6168,10230.22,631,2,0,2,4,0,26,142,2,0,26,250,13,28,17,2,4,103,71,0,1,0,0,0,5
McKenney PD0,481,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middleburg PD,842,6413.3,54,0,1,0,0,0,0,3,0,0,5,28,1,1,1,1,0,8,7,0,0,0,0,0,0
Middletown PD,1078,2133.58,23,0,0,0,0,0,0,5,0,0,1,5,0,1,0,0,0,11,0,0,0,0,0,0,1
Mt. Jackson PD,1732,2713.62,47,0,0,0,0,0,2,2,0,0,4,24,1,0,1,0,2,12,4,0,0,0,0,0,1
Narrows PD,2145,2843.82,61,0,0,0,0,0,1,7,0,0,7,19,2,1,3,0,0,15,8,0,0,0,0,0,0
New Market PD,1798,1390.43,25,0,0,0,0,0,1,5,0,0,3,8,1,2,3,0,0,2,0,0,0,0,0,0,0
Occoquan PD,765,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onancock PD,1493,7233.75,108,0,1,0,1,1,1,16,0,0,6,55,4,0,0,0,0,19,5,0,0,0,0,0,2
Onley PD,498,17871.48,89,0,0,0,0,1,1,2,0,0,0,33,2,7,1,0,1,6,34,0,0,0,0,0,4
Orange PD,4327,8204.29,355,1,3,2,4,1,7,80,1,1,12,145,4,5,9,2,0,77,18,0,0,0,0,0,5
Parksley PD,837,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pearisburg PD7,2769,6247.74,173,0,0,0,0,1,2,22,0,0,7,68,4,9,1,3,2,29,37,1,1,0,1,0,4
Pembroke PD11,1163,2321.58,27,0,0,0,0,0,1,3,1,0,4,12,1,1,0,1,0,0,3,0,0,0,0,0,0
Pennington Gap PD,1771,395.25,7,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0
Pocahontas PD5,433,1385.68,6,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0
Pound PD,1084,7656.82,83,0,0,0,0,1,4,20,1,0,7,32,3,6,0,0,1,10,15,0,0,0,0,0,1
Pulaski PD,9169,9782.96,897,0,3,3,14,9,23,141,3,0,98,327,21,69,24,3,5,150,126,1,2,0,1,0,20
Purcellville PD,4479,6296.04,282,0,0,4,2,1,2,41,0,0,11,128,4,8,13,0,0,60,17,0,0,0,0,0,5
Quantico PD,612,4901.96,30,0,0,1,0,0,0,7,0,0,6,11,0,0,1,0,0,6,0,0,0,0,0,0,0
Rich Creek PD0,678,1032.44,7,0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Richlands PD,4120,11383.49,469,0,1,1,4,4,3,53,2,0,40,167,4,36,67,3,1,79,70,0,0,0,0,0,12
Rocky Mount PD,4555,6959.38,317,0,0,2,7,1,10,40,0,1,7,136,4,13,5,4,2,39,70,0,0,0,0,0,11
Rural Retreat PD,1341,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saltville PD,2271,5988.55,136,0,0,2,0,0,1,9,2,0,24,35,1,9,1,0,1,59,6,0,0,0,0,0,3
Shenandoah PD,1877,4794.88,90,0,0,0,1,0,0,3,0,0,13,34,2,0,3,0,0,17,27,0,0,0,0,0,1
Smithfield PD,6784,11645.04,790,0,4,3,3,5,8,121,3,0,40,400,28,20,32,3,2,146,39,0,0,0,0,0,18
South Boston PD,8151,9949.69,811,0,1,1,5,9,24,142,3,0,62,315,15,40,35,9,0,126,103,0,0,0,0,0,21
South Hill PD,4582,10104.75,463,1,1,0,0,6,26,87,1,0,27,167,11,21,6,9,1,109,0,2,0,0,0,0,4
St. Paul PD6,967,103.41,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanley PD,1335,1348.31,18,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0,0,7,0,0,0,0,0,0,0
Stephens City PD,1222,7037.64,86,0,1,1,1,0,1,13,0,0,6,35,1,3,3,1,0,25,0,0,0,0,0,0,1
Strasburg PD,4188,5730.65,240,0,0,0,0,0,6,32,1,0,9,114,3,7,1,0,1,59,21,0,1,0,0,0,2
Tappahannock PD,2144,19682.83,422,2,1,1,0,5,12,63,3,0,30,187,7,19,13,6,0,74,46,0,0,0,0,0,14
Tazewell PD,4159,6636.21,276,0,4,2,7,1,6,62,0,0,24,105,7,12,6,1,1,40,23,0,0,0,0,0,7
Timberville PD,1703,1702.87,29,0,1,0,0,0,3,4,0,0,2,8,1,4,3,0,1,6,6,0,0,0,0,0,0
Victoria PD,1776,2646.39,47,0,0,1,0,0,0,12,0,0,3,17,4,7,1,0,0,1,2,0,0,0,0,0,1
Vienna PD4,14850,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vinton PD,7742,12283.64,951,0,2,2,8,3,7,250,1,0,31,243,17,30,43,5,2,130,308,2,0,0,0,0,23
Warrenton PD,8295,6606.38,548,0,1,2,4,6,17,130,1,0,21,165,3,14,38,10,4,134,34,0,0,0,0,0,9
Warsaw PD,1367,1389.9,19,0,0,0,0,0,0,1,0,0,0,12,0,2,0,0,0,5,0,0,0,0,0,0,0
Waverly PD,2199,5184.17,114,0,1,1,1,0,7,14,0,0,8,28,2,0,5,0,0,17,38,0,1,0,1,0,4
Weber City PD,1288,5201.86,67,0,0,0,1,0,1,4,0,0,7,28,0,5,2,0,3,12,5,0,0,0,0,0,1
West Point PD,2986,4353.65,130,0,2,0,2,1,2,23,1,0,5,43,3,4,4,0,0,40,12,0,1,0,0,0,4
Wise PD,3233,7330.65,237,0,0,1,0,0,1,20,1,0,12,112,8,28,11,0,6,41,28,0,0,0,0,0,3
Woodstock PD,4153,1661.44,69,0,0,0,0,0,0,27,0,0,1,20,0,4,3,2,1,2,13,0,0,0,0,0,1
Wytheville PD,7917,7995.45,633,0,4,3,7,4,5,69,2,0,35,268,14,43,44,6,1,164,74,0,0,0,0,0,9
