COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Goochland County SO,17500,1822.85,319,1,1,1,0,2,36,3,2,1,67,161,15,3,3,0,1,108,9,0,0,0,0,0,4
State Police,,,44,0,0,0,0,0,0,0,1,0,1,5,1,3,0,0,0,3,27,0,0,0,0,0,7
Grayson County SO,15150,2033,308,0,0,2,4,0,8,106,1,1,54,88,10,5,2,0,1,54,30,0,0,0,0,0,18
State Police,,,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,9,0,0,0,0,0,2
Greene County SO,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,4
Greensville County SO,11600,1129.31,131,0,0,0,1,0,25,5,1,0,2,68,8,2,1,0,0,21,0,0,0,0,0,0,0
State Police,,,27,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,1,1,20,0,0,0,0,0,3
Halifax County SO,29460,2182.62,643,1,0,4,12,7,66,32,3,0,116,291,23,11,9,1,0,134,40,1,0,0,0,0,10
State Police,,,72,1,0,0,0,1,9,2,0,0,3,19,5,2,0,0,0,3,20,0,0,0,0,0,17
Hanover County SO,78540,3342.24,2625,1,7,13,17,20,44,417,2,1,124,1002,38,40,18,5,4,609,273,4,1,0,0,0,49
State Police,,,162,0,3,1,6,0,5,10,0,0,0,7,1,9,1,0,0,3,68,2,1,0,1,0,55
Henry County SO,56000,5405.35,3027,5,16,18,25,36,117,656,6,0,389,1439,143,168,43,24,1,456,63,1,3,0,0,0,94
State Police,,,68,0,0,0,0,0,5,2,0,0,1,6,4,1,2,1,0,11,21,0,1,0,0,0,17
Highland County SO,2500,880,22,0,0,0,0,0,0,0,1,0,1,12,1,0,1,0,1,5,0,0,0,0,0,0,1
State Police,,,6,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1
Isle of Wight County SO,23960,3543.4,849,0,0,4,9,10,14,183,4,0,99,363,38,17,5,3,0,209,15,0,0,0,0,0,10
State Police,,,100,0,0,0,0,0,2,1,0,0,0,2,2,0,0,0,0,1,82,0,0,0,0,0,13
King & Queen County SO,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,30,0,0,0,0,0,1,3,0,0,0,6,2,0,1,0,0,3,11,0,0,0,0,0,5
King George County SO,17000,5458.82,928,1,12,3,9,3,20,344,2,0,87,292,18,8,8,3,4,238,53,1,2,0,0,0,19
State Police,,,44,0,0,0,0,1,2,3,0,0,2,9,2,2,1,0,0,4,20,0,0,0,0,0,2
King William County SO,9800,1948.97,191,0,0,0,3,0,8,54,0,0,20,96,12,9,1,0,4,9,8,0,0,0,0,0,9
State Police,,,38,0,0,0,0,0,1,1,0,0,1,2,3,0,0,0,1,1,30,0,0,0,0,0,1
Lancaster County SO,10040,2280.87,229,0,0,1,2,1,7,27,1,0,32,104,6,7,2,0,3,63,17,0,0,0,0,0,7
State Police,,,27,0,0,0,0,0,4,2,0,0,0,1,0,1,0,0,0,2,17,0,0,0,0,0,5
Lee County SO,21630,2736.93,592,1,8,4,3,0,25,182,0,0,168,299,7,4,0,1,0,33,12,0,0,0,0,0,0
State Police,,,41,0,0,0,0,0,0,1,6,0,1,3,14,0,0,0,0,4,10,0,0,0,0,0,5
Loudoun County SO,130990,4379.72,5737,0,18,24,53,29,155,1398,6,1,327,2389,159,85,217,57,5,1591,281,2,2,1,2,1,145
State Police,,,98,0,0,0,0,0,0,8,0,0,2,27,4,1,5,3,0,11,31,0,0,0,0,0,14
Louisa County SO,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,,,37,0,0,0,0,0,0,6,0,0,0,4,0,1,1,0,0,1,18,0,1,0,0,0,5
Lunenburg County SO,9270,2017.25,187,0,1,2,2,1,5,50,3,0,35,70,6,2,2,0,0,39,9,1,1,0,0,0,7
State Police,,,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Madison County SO,12700,1755.9,223,0,0,0,0,0,3,86,2,0,31,87,9,9,0,0,0,57,2,2,0,0,0,0,4
State Police,,,32,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,23,0,1,0,0,0,2
Mathews County SO,9200,1000,92,0,0,0,0,1,1,14,2,0,17,35,4,2,1,1,1,20,13,0,0,0,0,0,2
State Police,,,10,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,6,0,0,0,0,0,0
Mecklenburg County SO,22510,3651.71,822,3,1,7,13,14,52,78,15,0,160,396,31,24,0,1,0,228,2,0,0,0,0,0,8
State Police,,,76,0,0,0,1,0,0,3,0,0,1,8,8,3,0,0,0,6,28,0,0,0,0,0,23
Middlesex County SO,9600,2687.5,258,2,0,1,2,1,3,49,1,0,56,129,12,1,3,0,0,63,3,0,0,1,0,1,1
State Police,,,21,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,17,0,0,0,0,0,0
Montgomery County SO,28400,5359.15,1522,1,5,4,27,2,107,634,6,1,120,383,36,5,12,0,1,323,63,5,1,0,0,0,23
State Police,,,143,0,0,0,0,0,0,1,0,0,0,4,2,1,1,0,0,4,115,0,0,5,0,0,12
Nelson County SO,14400,3631.94,523,0,3,3,3,0,13,98,2,0,88,197,16,25,17,0,1,169,21,1,4,0,0,0,21
State Police,,,24,0,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,15,0,0,0,0,0,2
New Kent County SO,13200,3780.3,499,2,3,6,15,3,17,142,5,0,37,183,11,10,7,1,1,104,20,0,1,0,0,0,17
State Police,,,71,0,1,0,0,1,2,4,0,0,0,10,1,2,1,0,0,3,47,0,0,0,0,0,2
Northampton County SO,10470,4221.58,442,2,0,1,7,5,12,110,1,0,64,226,15,7,5,4,3,42,5,1,0,0,0,0,9
State Police,,,87,0,0,0,0,0,1,1,0,0,1,5,3,2,0,0,0,0,76,0,0,0,0,0,0
Northumberland County SO,11700,1632.47,191,0,1,0,1,1,2,34,0,0,57,85,4,9,3,0,0,61,16,1,0,0,0,0,5
State Police,,,27,0,0,1,1,0,3,5,0,0,0,1,0,0,0,0,0,1,14,0,0,0,0,0,5
Nottoway County SO,8900,2033.7,181,1,3,1,4,3,17,56,1,0,12,42,8,0,0,0,0,29,42,0,0,0,2,0,9
State Police,,,22,0,0,0,0,0,1,4,0,0,0,1,1,1,0,0,0,3,7,0,0,0,0,0,5
Orange County SO,19700,1796.95,354,0,5,1,7,1,20,89,4,0,24,127,12,3,2,0,2,94,22,1,0,0,0,0,10
State Police,,,35,0,0,0,2,0,0,1,0,0,1,2,0,1,1,0,0,0,25,0,0,0,0,0,4
Page County SO,15260,1965.92,300,0,2,7,23,0,9,21,2,0,54,106,11,21,1,0,1,96,0,1,0,0,0,0,8
State Police,,,48,0,0,1,2,0,2,2,1,0,0,1,4,0,0,0,0,2,34,0,0,0,0,0,6
Patrick County SO,18600,3430.1,638,0,5,3,12,6,21,118,9,0,117,289,23,9,1,1,0,127,54,0,0,0,0,0,16
State Police,,,12,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,7,0,0,0,0,0,1
Pittsylvania County SO,55040,2058.5,1133,1,7,11,41,7,47,331,5,1,209,405,46,30,10,5,0,230,127,5,0,0,0,0,45
State Police,,,69,0,0,0,0,0,1,1,1,0,1,16,6,2,1,0,0,8,25,0,0,0,0,0,11
Powhatan County SO,22300,2300.44,513,0,2,2,7,0,6,105,3,0,41,188,5,8,1,1,1,141,42,0,1,0,0,0,15
State Police,,,110,0,0,0,2,0,43,54,0,0,0,4,0,1,0,0,0,1,11,0,0,0,0,0,4
Prince Edward County SO,12250,1534.69,188,0,1,0,0,5,10,118,0,0,20,29,2,6,0,0,0,8,8,0,0,0,0,0,18
State Police,,,47,0,1,0,0,0,0,2,0,0,2,3,1,2,24,0,0,1,8,0,0,0,0,0,7
Pulaski County SO,23310,3273.27,763,1,7,3,5,2,18,120,7,2,106,355,18,39,5,4,2,167,66,0,0,0,0,0,8
State Police,,,91,0,0,1,0,0,1,5,0,0,0,8,1,5,1,1,3,8,51,0,0,0,0,0,12
Rappahannock County SO,7600,2223.68,169,0,0,0,2,1,2,32,0,0,20,76,3,2,0,0,0,47,4,0,0,0,0,0,5
State Police,,,31,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,23,0,0,0,0,0,2
Richmond County SO,7730,1836.99,142,3,0,3,2,1,6,42,2,0,11,47,6,8,1,0,0,6,11,0,0,0,0,0,18
State Police,,,17,0,0,1,0,0,0,2,0,0,1,4,0,3,0,1,0,0,3,0,1,0,0,0,4
Rockbridge County SO,19010,3382.43,643,0,0,5,7,0,11,171,13,0,35,235,16,15,12,2,1,119,59,2,2,0,0,0,16
State Police,,,75,0,1,0,0,0,2,2,0,0,0,7,3,0,0,0,0,3,54,0,0,0,0,0,3
Rockingham County SO,52230,1367.03,714,1,2,12,26,6,10,102,3,0,78,261,5,17,34,6,6,231,69,4,1,0,0,0,16
State Police,,,97,0,1,0,0,0,1,0,0,0,1,18,24,6,6,0,0,10,32,0,0,0,0,0,8
Russell County SO,24520,2406.19,590,0,5,4,13,2,19,163,4,1,80,209,16,18,5,0,1,169,12,0,0,0,0,0,20
State Police,,,27,0,0,0,0,0,0,6,0,1,3,5,0,4,1,0,0,2,4,0,0,0,0,0,11
Scott County SO,19970,3430.14,685,1,1,4,10,5,13,189,7,0,89,299,17,17,10,2,3,183,7,0,0,0,0,0,19
State Police,,,30,0,0,0,0,1,1,2,1,0,1,11,0,0,1,0,0,1,9,0,0,0,0,0,4
Shenandoah Couty SO ,24900,3048.19,759,0,0,2,9,1,80,40,4,0,51,261,16,6,145,2,0,224,11,1,0,0,0,0,13
State Police ,,,125,0,0,0,0,1,0,5,0,0,0,5,1,2,1,0,1,3,101,0,0,0,0,0,16
Smyth County SO ,22030,3236.49,713,0,1,2,19,1,12,217,11,0,46,200,10,45,8,2,1,169,28,0,0,0,0,0,16
State Police ,,,58,0,0,1,1,0,1,3,1,0,0,10,2,2,1,0,0,6,21,0,0,0,1,0,13
Southampton County SO ,16080,2531.09,407,2,0,1,7,3,19,52,3,0,55,219,20,9,1,0,0,71,4,1,0,0,0,0,4
State Police ,,,69,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,65,0,0,0,0,0,3
Spotsylvania County SO ,87100,887.48,773,0,0,3,11,4,7,113,0,0,48,370,19,28,9,14,2,172,42,1,0,0,0,0,20
State Police ,,,121,0,0,0,1,0,1,4,0,0,1,21,4,6,7,1,1,9,64,0,0,0,0,0,8
Stafford County SO ,92700,4502.69,4174,1,19,31,73,20,60,970,18,1,167,1635,144,81,43,36,10,1038,408,0,1,0,2,0,85
State Police ,,,88,0,0,1,0,0,2,3,0,1,1,15,4,0,2,0,1,7,45,0,0,0,0,0,11
Surry County SO ,6400,3765.62,241,1,3,1,13,1,27,74,0,1,41,87,2,3,0,0,2,44,12,1,0,0,0,0,9
State Police ,,,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Sussex County SO ,10230,3812.31,390,2,2,3,2,9,18,90,0,0,35,147,18,17,3,0,1,58,21,0,0,0,0,0,17
State Police ,,,58,0,0,0,0,0,3,2,0,0,1,6,0,0,0,0,0,2,38,0,0,0,0,0,12
Tazewell County SO ,30450,4676.51,1424,0,11,4,12,5,475,100,12,1,159,456,34,69,45,0,9,274,28,0,1,0,0,0,38
State Police ,,,92,0,0,0,2,2,5,3,3,0,6,20,8,6,6,0,0,12,26,0,0,0,0,0,9
Warren County SO ,16400,2890.24,474,0,2,3,8,1,5,88,3,0,81,209,18,6,1,2,2,108,4,0,0,0,0,0,2
State Police ,,,83,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,72,0,0,0,0,0,12
Washington County SO ,40380,2607.72,1053,1,1,3,32,2,25,154,3,0,59,488,58,42,11,0,13,269,27,0,0,0,0,0,21
State Police ,,,51,0,0,0,0,1,2,6,1,0,0,8,3,1,3,0,2,7,16,0,0,0,0,0,9
Westmoreland County SO ,12960,2916.66,378,3,2,2,6,3,13,112,2,0,28,111,10,8,7,2,2,70,51,0,0,0,0,0,16
State Police ,,,29,0,0,0,0,0,0,1,0,0,0,2,1,2,0,0,0,0,24,0,0,0,0,0,1
Wise County SO ,26310,4059.29,1068,1,6,4,13,2,40,554,9,0,97,232,35,10,8,2,7,237,13,1,1,0,2,0,37
State Police ,,,38,1,0,0,0,0,1,2,1,0,0,5,4,0,1,1,0,7,9,0,0,1,0,0,8
Wythe County SO ,17740,3128.52,555,2,1,2,4,3,14,114,1,2,17,194,5,17,6,0,6,122,114,0,0,0,0,0,30
State Police ,,,125,0,0,1,0,1,2,7,0,0,0,57,8,3,2,0,1,4,32,0,0,0,0,0,12
York County SO ,57500,4848.69,2788,1,40,13,13,34,313,168,10,2,112,1249,83,76,79,26,45,672,225,1,0,1,0,0,102
State Police ,,,154,0,0,0,0,0,3,0,0,0,2,1,2,2,0,0,0,3,134,0,0,0,0,0,11
