COUNTY SHERIFFS & STATE POLICE,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Highland County SO ,2321,1206.37,28,0,0,0,0,0,1,4,1,0,2,10,0,0,2,0,0,12,0,0,0,0,0,0,0
State Police ,,,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Isle of Wight County SO ,27181,3837.23,1043,0,3,1,15,10,21,267,2,2,131,285,23,23,68,1,2,200,46,0,2,0,0,0,15
State Police ,,,57,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,1,52,0,0,0,0,0,1
King & Queen County SO ,6945,2217.42,154,0,0,1,2,1,12,44,4,0,18,39,8,5,4,1,0,28,9,0,0,0,0,0,3
State Police ,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King George County SO ,23584,4142.63,977,0,0,5,9,2,19,253,3,0,60,326,18,9,73,3,7,196,118,0,0,0,1,0,18
State Police ,,,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,12,0,0,0,0,0,0
King William County SO ,12629,1647,208,0,2,0,1,0,8,87,0,0,26,60,4,1,8,0,0,16,23,1,0,1,0,0,8
State Police ,,,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Lancaster County SO ,9552,3182.57,304,2,0,3,1,0,3,49,1,1,29,89,6,2,29,0,2,82,22,0,0,0,0,0,5
State Police ,,,6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1
Lee County SO ,22772,1695.06,386,4,0,4,4,2,21,62,0,0,83,170,6,12,7,0,1,29,13,0,0,0,0,0,1
State Police ,,,14,0,0,0,1,0,0,0,1,0,0,1,2,0,3,0,0,0,7,0,0,0,0,0,0
Loudoun County SO ,261295,2757.8,7206,0,25,28,61,36,123,1672,37,9,309,2373,132,92,863,47,13,1495,1002,1,19,0,19,1,84
State Police ,,,22,0,0,0,1,0,0,0,0,0,1,1,1,1,6,0,0,1,9,0,1,0,0,0,0
Louisa County SO ,31598,1784.92,564,0,1,5,9,3,29,208,3,0,66,204,0,2,20,3,0,16,28,0,0,0,0,0,6
State Police ,,,89,2,0,0,0,0,4,2,0,0,0,3,1,1,0,0,0,1,91,0,0,0,0,0,2
Lunenburg County SO ,9932,2255.33,224,0,1,2,16,0,13,49,2,0,46,58,11,4,10,0,2,39,8,2,0,0,0,0,4
State Police ,,,108,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,103,0,0,0,0,0,0
Madison County SO ,13308,2923.05,389,1,3,1,12,0,6,143,0,0,11,97,8,7,15,1,4,69,26,1,3,0,0,0,13
State Police ,,,24,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,1
Mathews County SO ,8978,2138.56,192,0,1,1,2,0,6,50,4,0,30,57,3,4,10,0,1,27,18,1,0,0,0,0,3
State Police ,,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,1
Mecklenburg County SO ,23983,2831.17,679,1,2,6,7,7,28,104,4,1,104,235,37,14,20,0,1,176,39,0,3,0,0,0,17
State Police ,,,142,0,0,0,0,0,1,0,0,0,1,5,0,0,5,0,1,2,128,0,0,0,0,0,2
Middlesex County SO ,10959,2737.47,300,1,0,7,10,0,4,72,0,0,37,106,15,3,12,1,0,47,8,0,9,0,0,0,4
State Police ,,,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0
Montgomery County SO ,30731,4822.49,1482,0,4,3,15,2,34,482,8,1,148,364,32,18,83,4,4,274,251,1,1,0,0,0,35
State Police ,,,144,1,0,0,0,0,0,3,0,0,0,1,0,4,9,0,0,0,127,0,1,0,0,1,1
Nelson County SO ,15020,3202.39,481,1,1,1,10,0,8,104,0,0,55,144,21,9,23,3,3,110,50,0,0,0,0,0,10
State Police ,,,11,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,1,7,0,0,0,0,0,0
New Kent County SO ,18429,4053.39,747,0,7,0,7,0,18,206,3,0,81,190,10,14,61,5,4,179,100,4,0,0,1,0,13
State Police ,,,35,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,45,0,0,0,0,0,1
Northampton County SO ,9920,3195.56,317,2,2,1,2,3,6,67,1,1,81,94,7,6,14,2,1,59,0,0,0,0,0,0,7
State Police ,,,50,0,0,0,0,0,0,0,0,0,0,6,1,1,4,0,0,0,40,0,0,0,0,0,4
Northumberland County SO ,12330,2497.97,308,0,1,2,6,0,12,68,3,0,35,79,5,12,25,1,0,54,35,0,0,0,0,0,12
State Police ,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2
Nottoway County SO ,9474,1984.37,188,0,0,1,2,0,2,54,2,0,13,49,8,0,1,0,0,36,37,1,0,0,0,0,0
State Police ,,,15,0,0,0,1,0,0,1,0,0,1,2,1,0,0,0,0,0,10,0,0,0,0,0,0
Orange County SO ,27264,1316.75,359,0,3,5,13,3,9,51,1,0,35,135,13,6,9,1,2,85,45,0,3,0,0,0,7
State Police ,,,76,1,0,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,68,0,0,0,0,0,1
Page County SO ,15085,3201.85,483,1,1,5,11,0,11,84,4,0,68,152,11,8,30,3,2,96,66,1,2,0,0,0,7
State Police ,,,67,0,0,0,0,0,0,3,0,0,1,2,1,1,2,1,0,1,59,0,0,0,0,0,4
Patrick County SO ,18490,3007.03,556,0,3,2,2,1,19,100,3,0,75,199,26,6,20,3,0,85,71,5,2,0,0,0,11
State Police ,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1
Pittsylvania County SO ,59666,2711.76,1618,4,7,5,33,8,30,496,4,0,253,413,36,23,47,5,1,239,192,1,1,2,0,0,40
State Police ,,,73,0,0,0,0,0,2,0,1,0,0,19,23,0,13,1,0,2,19,0,0,0,0,0,0
Powhatan County SO ,28046,1950.36,547,2,3,3,3,0,8,106,2,0,68,170,10,4,26,5,1,118,71,0,0,0,0,0,13
State Police ,,,35,0,0,0,0,0,12,8,0,0,0,0,0,0,1,0,0,1,27,0,0,0,0,0,1
Prince Edward County SO ,15152,1339.75,203,0,0,1,1,3,9,46,3,0,58,52,4,0,1,1,0,33,11,0,0,0,0,1,9
State Police ,,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pulaski County SO ,23252,7349.9,1709,2,5,6,30,7,37,583,1,0,158,494,20,66,210,13,3,256,170,0,3,0,1,0,17
State Police ,,,31,0,0,0,0,0,0,3,0,0,2,6,3,0,0,0,0,1,18,0,0,0,0,0,3
Rappahannock County SO ,7373,3689.13,272,2,1,0,0,1,2,76,2,0,19,38,3,0,1,0,0,123,35,0,0,0,0,0,2
State Police ,,,29,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
Richmond County SO ,7742,1911.65,148,0,1,0,0,1,8,48,1,0,14,31,7,0,5,0,1,8,30,0,0,0,1,0,9
State Police ,,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rockbridge County SO ,21174,2833.66,600,1,0,1,6,2,7,129,1,0,64,207,11,7,25,5,0,73,87,2,3,0,0,0,15
State Police ,,,41,0,0,1,0,0,0,1,0,0,0,7,0,0,3,0,0,0,28,0,0,0,0,0,2
Rockingham County SO ,57533,1011.59,582,0,3,14,41,1,25,70,4,0,79,192,8,8,22,5,12,94,73,5,5,0,0,0,14
State Police ,,,115,0,0,0,1,0,0,2,0,0,0,11,13,1,6,0,0,1,83,0,0,0,0,0,4
Russell County SO ,24024,2855.47,686,0,2,10,3,0,11,194,4,0,94,170,16,5,21,2,0,98,95,1,4,0,0,0,11
State Police ,,,21,0,0,0,1,0,0,0,0,0,1,5,1,0,7,0,0,0,6,0,0,0,0,0,3
Scott County SO ,19816,4395.43,871,5,13,3,14,1,9,175,3,0,135,276,17,22,34,9,7,180,86,0,2,0,1,0,26
State Police ,,,12,0,0,1,1,0,1,0,1,0,0,2,1,0,0,1,0,0,4,0,0,0,0,0,0
Shenandoah Couty SO ,25317,3870.91,980,0,1,3,31,2,13,275,7,0,86,256,14,17,62,2,2,210,141,3,4,0,1,0,18
State Police ,,,262,0,0,0,0,0,1,2,0,0,0,2,0,2,7,1,0,6,240,0,0,0,0,0,4
Smyth County SO ,22382,3909.39,875,0,5,6,10,0,16,262,7,0,59,251,22,5,44,0,1,144,86,0,0,0,0,0,15
State Police ,,,53,0,0,0,0,0,3,0,0,0,0,9,3,0,11,0,0,3,25,0,0,0,0,0,3
Southampton County SO ,18006,4270.79,769,2,3,2,14,4,20,207,3,0,86,186,26,6,22,0,1,155,76,0,0,0,0,0,16
State Police ,,,10,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,1,4,0,0,0,0,0,0
Spotsylvania County SO ,122397,4754.2,5819,7,27,29,84,49,181,1419,15,0,224,2087,105,111,490,40,18,781,784,4,16,0,1,0,107
State Police ,,,59,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,0,55,0,0,0,0,0,1
Stafford County SO ,128961,3967.86,5117,2,28,36,52,54,116,991,13,5,210,1815,130,110,509,33,30,1160,737,0,15,0,2,0,96
State Police ,,,15,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0
Surry County SO ,7058,1969.39,139,1,1,2,3,5,13,35,0,0,26,35,1,2,3,0,1,15,10,1,0,0,0,0,6
State Police ,,,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1
Sussex County SO ,9938,3803.58,378,0,1,1,7,2,16,90,1,0,57,109,7,5,9,2,5,84,35,0,0,0,0,0,26
State Police ,,,19,0,0,0,0,0,0,0,0,0,0,3,1,2,4,0,0,0,8,0,0,0,0,0,3
Tazewell County SO ,27658,4103.69,1135,3,2,4,21,0,13,224,1,1,137,395,22,32,36,4,4,167,179,1,5,0,0,0,21
State Police ,,,58,0,0,0,1,0,2,3,0,1,4,8,2,19,23,1,0,4,7,0,0,0,0,0,1
Warren County SO ,23135,2878.75,666,0,0,5,13,1,5,96,1,0,53,265,26,12,45,3,2,130,62,0,4,0,0,0,15
State Police ,,,252,0,0,0,2,0,1,2,0,0,0,0,1,1,7,0,0,1,242,0,0,0,0,0,0
Washington County SO ,44415,4203.53,1867,1,5,9,15,2,28,335,5,1,169,792,16,51,201,19,4,242,151,1,2,0,0,0,29
State Police ,,,18,0,0,0,0,0,0,1,0,0,0,4,0,0,6,0,0,0,7,0,0,0,0,0,0
Westmoreland County SO ,13912,1667.62,232,0,0,0,0,1,5,82,0,1,27,68,7,1,5,0,0,52,16,0,0,0,0,0,4
State Police ,,,8,0,0,0,4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wise County SO ,26652,3496.92,932,1,12,9,14,2,24,327,6,0,118,267,24,23,27,5,0,154,115,1,0,0,0,0,38
State Police ,,,17,1,0,1,0,0,0,1,0,0,0,6,0,6,2,0,1,0,1,0,0,0,0,0,0
Wythe County SO ,19541,2400.08,469,0,2,2,6,1,13,65,0,0,37,177,11,16,37,2,2,59,127,0,2,0,1,0,11
State Police ,,,67,0,0,0,0,0,1,0,0,0,1,13,1,0,4,0,1,1,45,0,0,0,0,0,2
York County SO ,65464,4150.37,2717,0,13,3,23,21,60,566,13,0,203,976,35,26,217,47,12,619,217,2,5,0,0,1,39
State Police ,,,84,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,80,0,0,0,0,0,3
"0-11 For those agencies without full year submission, footnote represents number of months of data submitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,
